Moscow,모스크바
Sasovo,사소보
Zvenigovo,즈베니고보
Zvenigorod,즈베니고로드
Zelenogradsk,젤레노그라츠크
Zelenogorsk,젤레노고르스크
Zavolzhsk,자볼시스크
Tarusa,타루사
Agidel’,아기델
Uglich,우글리치
Torzhok,토르조크
Toropets,토로페츠
Millerovo,밀레로보
Menzelinsk,멘젤린스크
Kondopoga,콘도포가
Konakovo,코나코보
Kola,콜라
Kizlyar,키즐랴르
Kirzhach,키르자치
Kirovsk,키롭스크
Kirov,키로프
Kireyevsk,키레옙스크
Livny,리브니
Lakinsk,라킨스크
Laishevo,라이셰보
Kimovsk,키몹스크
Khvalynsk,흐발린스크
Neman,네만
Nelidovo,넬리도보
Myshkin,미시킨
Mtsensk,므첸스크
Mozhaysk,모자이스크
Sibay,시바이
Barysh,바리시
Novaya Balakhna,발라흐나
Bakal,바칼
Bagrationovsk,바그라티오놉스크
Atkarsk,앗카르스크
Arsk,아르스크
Arkadak,아르카닥
Ardon,아르돈
Ardatov,아르다토프
Aprelevka,아프렐렙카
Tunoshna Airport,투노시나 공항
Ulan-Ude,울란우데
Europe,유럽
Tsiolkovskiy,치올콥스키
Irkutsk Airport,이르쿠츠크 국제공항
Chelyabinsk Airport,첼랴빈스크 공항
Lesnoy,레스노이
Aykhal,아이할
Aginskoye,아긴스코예
Verkhoyanskiy Khrebet,베르호얀스크 산맥
Verkhoyansk,베르호얀스크
Tommot,톰모트
Tiksi,틱시
Smidovich,스미도비치
Angara,안가라 강
Severo-Kuril’sk,세베로 쿠릴스크
Palana,팔라나
Komandorskiye Ostrova,코만도르스키예 제도
Klyuchi,클류치
Ostrov Beringa,베링 섬
Aniva,아니바
Sorsk,소르스크
Angara,안가라 강
Gukovo,구코보
Gorod Aznakayevo,아즈나카예보
Borovsk,보롭스크
Ostrov Gogland,고글란트 섬
Gdov,그도프
Istra,이스트라
Krasnoznamensk,크라스노즈나멘스크
Krasnaya Polyana,크라스나야폴랴나
Ostrov Kotlin,코틀린 섬
Korablino,코라블리노
Fokino,포키노
Dukhovshchina,두홉시나
Chernyshevskoye,체르니솁스코예
Don,돈 강
Dno,드노
Demidov,데미도프
Izborsk,이즈보르스크
Pravdinsk,프라브딘스크
Annino,안니노 역
Polessk,폴레스크
Pochinok,포치노크
Okulovka,오쿨롭카
Oka,오카 강
Novorzhev,노보르제프
Starodub,스타로두프
Staritsa,스타리차
Spas-Klepiki,스파스클레피키
Spas-Demensk,스파스데멘스크
Shatoy,샤토이
Sochi,소치
Sobinka,소빈카
Slavsk,슬랍스크
Plavsk,플랍스크
Petropavlovskaya Krepost’,페트로파블롭스크 요새
Pestovo,페스토보
Ostrov,오스트로프
Ryazhsk,랴시스크
Ruza,루자
Shatsk,샤츠크
Sebezh,세베시
Pytalovo,피탈로보
Pustoshka,푸스토시카
Suzdal’,수즈달
Sudogda,수도그다
Velizh,벨리시
Valday,발다이
Zubtsov,줍초프
Zlynka,즐린카
Adygeysk,아디게이스크
Mglin,므글린
Meshchovsk,메숍스크
Melenki,멜렌키
Kondrovo,콘드로보
Kologriv,콜로그리프
Kizhi,키시 섬
Lipki,립키
Kholm,홀름
Nesterov,네스테로프
Skopin,스코핀
Gora Shkhara,시하라산
Shelkovskaya,셸콥스카야
Mamonovo,마모노보
Mariinsky Theatre,마린스키 극장
Wrangel Island,브란겔랴 섬
Uelen,웰렌
Red Square,붉은 광장
Kostomuksha,코스토묵샤
