Pioneer plaque,先驅者鍍金鋁板
"Union Springs, Alabama",联盟泉·(阿拉巴马州)
"Searcy, Arkansas",瑟西·(阿肯色州)
"Walnut Ridge, Arkansas",沃爾納特里奇
"Winslow, Arizona",温斯洛·(亚利桑那州)
"Sitka, Alaska",锡特卡·(阿拉斯加州)
"Headland, Alabama",赫兰·(阿拉巴马州)
"Ruby, Alaska",鲁比·(阿拉斯加州)
"Seward, Alaska",苏厄德·(阿拉斯加州)
"Wasilla, Alaska",瓦西拉
"York, Alabama",约克·(阿拉巴马州)
"Bessemer, Alabama",贝瑟默·(亚拉巴马州)
"King Cove, Alaska",金科夫·(阿拉斯加州)
"Piggott, Arkansas",皮哥特·(阿肯色州)
"Pocahontas, Arkansas",波卡洪塔斯·(阿肯色州)
"Shageluk, Alaska",沙格勒克·(阿拉斯加州)
"Kent County, Michigan",肯特縣·(密歇根州)
"Sanilac County, Michigan",萨尼拉克县·(密歇根州)
"Adams County, Mississippi",亞當斯縣·(密西西比州)
"Knox County, Texas",諾克斯縣·(德克薩斯州)
"Lucas County, Ohio",盧卡斯縣·(俄亥俄州)
"Lampasas County, Texas",蘭帕瑟斯縣·(德克薩斯州)
"Mitchell County, Texas",米切爾縣·(德克薩斯州)
"Delaware County, Iowa",特拉華縣·(愛阿華州)
"Essex County, New York",艾塞克斯縣·(紐約州)
Emmy Awards,艾美奖
Federal Reserve Bank of New York,紐約聯邦儲備銀行
"Kendall County, Texas",肯德爾縣·(德克薩斯州)
"Boone County, Iowa",布恩縣·(愛阿華州)
"Boone County, Kentucky",布恩縣·(肯塔基州)
"Buchanan County, Iowa",布坎南縣·(愛阿華州)
"Fulton County, New York",富爾頓縣·(紐約州)
Perkins School for the Blind,柏金斯啟明學校
"Addison, Alabama",艾迪生·(亚拉巴马州)
"Forkland, Alabama",福克兰·(阿拉巴马州)
"Moody, Alabama",穆迪·(阿拉巴马州)
"Grimes, Alabama",格兰姆斯·(阿拉巴马州)
"Lowndesboro, Alabama",朗兹伯勒·(阿拉巴马州)
"Pine Hill, Alabama",派恩希尔·(阿拉巴马州)
"Banks, Alabama",班克斯·(阿拉巴马州)
"Providence, Alabama",普罗维登斯·(阿拉巴马州)
"Walnut Grove, Alabama",沃尔纳特格罗夫·(阿拉巴马州)
"Denton, Texas",登頓·(德克薩斯州)
Federal Communications Commission,联邦通信委员会
"Gantt, Alabama",甘特图·(阿拉巴马州)
"Pike Road, Alabama",派克路·(阿拉巴马州)
"Pleasant Groves, Alabama",普莱森特格罗夫斯·(阿拉巴马州)
"Jemison, Alabama",杰米森·(阿拉巴马州)
"Odenville, Alabama",欧德维尔·(阿拉巴马州)
"Ragland, Alabama",拉格兰德·(阿拉巴马州)
"Kern County, California",克恩县
Wounded Knee Massacre,伤膝河大屠杀
"Burleson County, Texas",伯利森縣·(德克薩斯州)
"Cherokee County, Alabama",切羅基縣·(阿拉巴馬州)
"Brown County, Texas",布朗縣·(德克薩斯州)
"Butler County, Alabama",巴特勒县·(亚拉巴马州)
History of the United States,美国历史
"Big Horn County, Montana",大角縣·(蒙大拿州)
"Hardin County, Texas",哈丁縣·(德克薩斯州)
"Franklin County, Mississippi",富蘭克林縣·(密西西比州)
Honolulu Museum of Art,檀香山艺术博物馆
Lincoln Tunnel,林肯隧道
Mount Timpanogos,廷帕诺戈斯山
"Wards Grove Township, Jo Daviess County, Illinois",沃茲格羅夫鎮區·(伊利諾伊州喬戴維斯縣)
Association for Computing Machinery,计算机协会
Baby Islands,贝比群岛
E (New York City Subway service),紐約地鐵E線
Mount Juneau,朱諾山
Oahu,歐胡島
List of boroughs and census areas in Alaska,阿拉斯加州行政区划
"Tower City, North Dakota",陶尔城·(北达科他州)
United States Electoral College,選舉人團·(美國)
"Morgan County, Alabama",摩根县·(亚拉巴马州)
"Springfield, Missouri",斯普林菲尔德·(密苏里州)
Amherst College,阿默斯特學院
"Norfolk County, Massachusetts",诺福克县·(马萨诸塞州)
"Sioux County, North Dakota",蘇縣·(北達科他州)
Green Line (MBTA),波士顿轻轨绿线
"Hanover, Indiana",漢諾弗·(印地安納州)
"Zanesville, Ohio",曾斯維爾·(俄亥俄州)
Maricopa language,馬里科帕語
"Ulster County, New York",阿爾斯特縣
"Independence County, Arkansas",獨立縣·(阿肯色州)
"Oak Hill, Alabama",橡树山·(阿拉巴马州)
"Pike County, Arkansas",派克縣·(阿肯色州)
"Clay County, Texas",克莱县·(得克萨斯州)
Park Avenue,公園大道·(紐約市)
Alaska Peninsula,阿拉斯加半島
Awolnation,Awolnation
"Malvern, Alabama",马尔文·(阿拉巴马州)
"Camden, New Jersey",肯頓·(新澤西州)
Philadelphia 76ers,费城76人
"Fort Deposit, Alabama",迪波西特堡·(阿拉巴马州)
"Powell, Alabama",鲍威尔·(阿拉巴马州)
"Silverhill, Alabama",银山·(阿拉巴马州)
Blue Dog Coalition,蓝狗联盟
Playboy,花花公子
Unified combatant command,美國一體化作戰司令部
2008 United States presidential election,2008年美国总统选举
Bitstream Inc.,Bitstream
DeviantArt,DeviantArt
1876 United States presidential election,1876年美國總統選舉
"London, Arkansas",倫敦·(阿肯色州)
"Perrytown, Arkansas",佩里敦·(阿肯色州)
"Egegik, Alaska",伊杰吉克·(阿拉斯加州)
"Houston, Alaska",休斯顿·(阿拉斯加州)
"Cass County, Illinois",卡斯縣·(伊利諾伊州)
"Pinal County, Arizona",皮納爾縣
"Washington County, Arkansas",華盛頓縣·(阿肯色州)
"Calhoun County, Illinois",卡爾霍恩縣·(伊利諾伊州)
"Garza County, Texas",加扎縣·(德克薩斯州)
"Allen Parish, Louisiana",艾伦堂区·(路易斯安那州)
"Randolph County, Arkansas",蘭道夫縣·(阿肯色州)
Funimation,Funimation
HTC–Highroad,HTC-Highroad
Memphis Open (tennis),孟菲斯公开赛
"Passaic, New Jersey",巴賽克
"Brown County, Illinois",布朗縣·(伊利諾伊州)
"Castro County, Texas",卡斯特羅縣·(德克薩斯州)
"Clay County, Illinois",克莱县·(伊利诺伊州)
"Clinton County, Iowa",克林頓縣·(愛阿華州)
"Lipscomb County, Texas",利普斯科姆縣·(德克薩斯州)
"Berkley, Colorado",伯克利·(科羅拉多州)
"Eagle County, Colorado",伊格爾縣·(科羅拉多州)
"Jack County, Texas",傑克縣·(德克薩斯州)
"Kiowa County, Colorado",凱厄瓦縣·(科羅拉多州)
Iridium Communications,铱卫星
"Churchill County, Nevada",邱吉爾縣
"Dickinson County, Iowa",迪金森縣·(愛阿華州)
"Babbie, Alabama",贝比·(阿拉巴马州)
"Pickensville, Alabama",皮肯斯韦尔·(阿拉巴马州)
"Dixon, Illinois",迪克森·(伊利诺伊州)
"Reeves County, Texas",里夫斯縣
"Cowarts, Alabama",科沃兹·(阿拉巴马州)
"Lester, Alabama",莱斯特·(阿拉巴马州)
"Susan Moore, Alabama",苏珊·摩尔·(阿拉巴马州)
"Geiger, Alabama",盖格·(阿拉巴马州)
1961 NBA expansion draft,1961年NBA扩张选秀
ARCO Arena,睡眠火車球館
Interstate 19,19號州際公路
Interstate 25,25號州際公路
"Eugene, Oregon",尤金·(俄勒岡州)
"Butler County, Nebraska",巴特勒縣·(內布拉斯加州)
Metropolitan Museum of Art,大都會藝術博物館
200 West Street,韦斯特街200号
"Abilene, Texas",阿比林·(得克萨斯州)
GRAIL,重力回溯及內部結構實驗室
Long Island Rail Road,長島鐵路
Cisco,思科系统
"Derinda Township, Jo Daviess County, Illinois",德林達鎮區·(伊利諾伊州喬戴維斯縣)
Port Imperial Street Circuit,帝國碼頭市街賽道
"Berrien County, Michigan",貝林縣·(密西根州)
"Lenawee County, Michigan",莱纳维县·(密歇根州)
Maryland House of Delegates,马里兰州众议院
"Alameda County, California",阿拉米達縣
"San Bernardino County, California",聖貝納迪諾縣
"Sunnyvale, California",森尼韦尔·(加利福尼亚州)
Kansas City Chiefs,堪薩斯城酋長
"Benton County, Washington",本頓縣·(華盛頓州)
Grant Park (Chicago),格兰特公园
Washington Wizards,华盛顿奇才
"San Diego County, California",聖迭戈縣
"Solano County, California",索拉诺县
American Broadcasting Company,美国广播公司
"Gray County, Texas",格雷縣·(德克薩斯州)
12 Hours of Sebring,锡布灵12小时耐力赛
Abkhazians,阿布哈茲人
Eleventh Amendment to the United States Constitution,美国宪法第十一修正案
"Zavala County, Texas",札瓦拉縣·(德克薩斯州)
Rusyns,卢森尼亚人
All American Racers,全美車隊
"Henry County, Iowa",亨利县·(艾奥瓦州)
Syracuse Hancock International Airport,雪城汉考克国际机场
IPad (3rd generation),IPad·(第三代)
National Postal Museum,國家郵政博物館
John A. Roebling Suspension Bridge,约翰·奥古斯都·罗布林吊桥
Red River of the North,红河·(温尼伯湖)
Yugoslavs,南斯拉夫人
Berklee College of Music,伯克利音樂學院
Central Michigan University,中密歇根大学
Dow Jones Industrial Average,道琼斯工业平均指数
Getty Villa,蓋蒂別墅
"Allegheny County, Pennsylvania",亞利加尼縣·(賓夕法尼亞州)
"Columbia County, Washington",哥倫比亞縣·(華盛頓州)
"Adair County, Kentucky",亞代爾縣·(肯塔基州)
Bay of Fundy,芬迪湾
Arthur M. Sackler Gallery,亚瑟·M·赛克勒美术馆
Waco siege,韦科惨案
"Woodbine Township, Jo Daviess County, Illinois",伍德拜恩鎮區·(伊利諾伊州喬戴維斯縣)
World Golf Hall of Fame,世界高爾夫名人堂
American Football Conference,美国橄榄球联合会
"Decatur County, Iowa",第開特縣·(愛阿華州)
"Santa Barbara, California",圣巴巴拉·(加利福尼亚州)
"Gary, Indiana",加里·(印第安纳州)
"Van Buren County, Iowa",范布倫縣·(愛阿華州)
"Mountrail County, North Dakota",芒特雷爾縣·(北達科他州)
Denver Nuggets,丹佛掘金
1st Armored Division (United States),美国陆军第1装甲师
Democratic Socialists of America,美国民主社会主义者
J. Edgar Hoover Building,約翰·埃德加·胡佛大樓
Mojave Desert,莫哈維沙漠
"Knoxville, Tennessee",諾克斯維爾
"Wood River, Illinois",伍德里弗·(伊利諾伊州)
DreamWorks Pictures,梦工厂
"Spokane, Washington",斯波坎
Boston Bruins,波士頓棕熊
Greenwich Village,格林尼治村
Haymarket affair,干草市场事件
Tropical Storm Arlene (2005),2005年热带风暴阿琳
Madison Square Garden,麦迪逊广场花园
Philadelphia Flyers,費城飛人
Sanak Islands,薩納克群島
311 South Wacker Drive,偉基河畔南311號
Hotel Chelsea,切尔西旅馆
Internet Assigned Numbers Authority,互联网号码分配局
Nickel (United States coin),5美分硬币
Atlanta Thrashers,亞特蘭大鶇鳥
Subway (restaurant),赛百味
Nashville Predators,納什維爾掠奪者
"Vallejo, California",瓦列霍·(加利福尼亚州)
3rd Marine Division,美國海軍陸戰隊第3師
Four Seasons Hotel New York Downtown,纽约市中心四季酒店
Third Amendment to the United States Constitution,美國憲法第三修正案
The Seattle Times,西雅图时报
"Civic Center, San Francisco",市政中心·(旧金山)
"Lincoln Park (Washington, D.C.)",林肯公园·(华盛顿哥伦比亚特区)
SanDisk,晟碟公司
"Blades, Delaware",布雷德斯·(特拉华州)
List of amendments to the Constitution of the United States,美国宪法修正案
"Fort Benton, Montana",本顿堡·(蒙大拿州)
2011 US Open (tennis),2011年美國網球公開賽
"Algonquin, Illinois",阿爾岡昆·(伊利諾伊州)
CA (journal),CA：临床医师癌症杂志
Douglas A-4 Skyhawk,A-4天鷹式攻擊機
Boston City Hall,波士頓市政廳
"Wendover, Utah",温多弗·(犹他州)
Jewish Defense League,犹太保卫同盟
ABBYY,ABBYY
"Hockessin, Delaware",郝凱森·(特拉華州)
"Jensen, Utah",詹森·(猶他州)
Shawnee,肖尼族
United States Court of Appeals for the Eighth Circuit,美国联邦第八巡回上诉法院
2nd Infantry Division (United States),美國陸軍第2步兵師
American International Group,美國國際集團
Lethal injection,注射死刑
7th Cavalry Regiment,美國陸軍第7騎兵團
United States presidential inauguration,美国总统就职典礼
First Battle of Bull Run,第一次馬納沙斯之役
Green Bay Packers,绿湾包装工
Los Angeles Police Department,洛杉矶警察局
"Walla Walla, Washington",瓦拉瓦拉·(华盛顿州)
"Cambridge, Ohio",剑桥·(俄亥俄州)
Fort Casey,凱西堡州立公園
Tutuila,图图伊拉岛
Guam national football team,關島足球代表隊
"Calaveras County, California",卡拉韦拉斯县
Carlsbad Caverns National Park,卡尔斯巴德洞窟国家公园
Iran–Contra affair,伊朗门事件
"McKenzie County, North Dakota",麦肯齐县·(北达科他州)
Hall of Fame Open,名人堂公开赛
78th Academy Awards,第78届奥斯卡金像奖
Crater Lake,火山口湖·(美國)
"Franklin Lakes, New Jersey",富蘭克林湖·(新澤西州)
Microsoft Bing,Microsoft·Bing
Chicago Film Critics Association Award for Best Film,芝加哥影评人协会奖最佳影片
Monument Valley,紀念碑谷
Time in the United States,美國時區
United States Army North,美國北方陸軍
2007 Major League Baseball season,2007年美國職棒大聯盟球季
"Riverton, Utah",里弗顿·(犹他州)
Alexion Pharmaceuticals,瑞颂制药
Nineteenth Amendment to the United States Constitution,美國憲法第十九修正案
Columbia Pictures,哥倫比亞影業
Peace Arch Park,和平拱門國際公園
"Bellevue, Washington",贝尔维尤·(华盛顿州)
Interstate 39,39号州际公路
Interstate 43,43号州际公路
Interstate 66,66号州际公路
Interstate 72,72号州际公路
Interstate 79,79号州际公路
Interstate 84 (Pennsylvania–Massachusetts),84号州际公路·(宾夕法尼亚州至马萨诸塞州)
University of Alaska Southeast,阿拉斯加大學東南分校
TLC (TV network),TLC·(電視頻道)
"Burlington County, New Jersey",伯靈頓郡·(紐澤西州)
1994 FIFA World Cup,1994年國際足協世界盃
"Forks, Washington",福克斯·(华盛顿州)
Zuccotti Park,祖科蒂公园
55 Water Street,沃特街55号
Lunar and Planetary Institute,月球與行星研究所
Crypt of Civilization,文明窖藏
"Elk Grove Village, Illinois",埃爾克格羅夫村·(伊利諾伊州)
"Isle of Wight County, Virginia",懷特島縣·(維吉尼亞州)
Roman Catholic Diocese of Gaylord,天主教蓋洛德教區
"Marion County, Illinois",馬里昂縣·(伊利諾伊州)
"McCall, Idaho",麦考尔
"Robinson, Illinois",魯濱遜·(伊利諾伊州)
Treyarch,Treyarch
"LaGrange, New York",拉格兰奇·(纽约州)
"Ocean Shores, Washington",洋濱市·(華盛頓州)
"Blaine Township, Wright County, Iowa",布萊恩鎮區·(愛荷華州賴特縣)
"White County, Georgia",懷特縣·(喬治亞州)
AirTran Airways,穿越航空
"Enterprise, Utah",恩特普赖斯·(犹他州)
Air Mobility Command,美国空军机动司令部
Air University (United States Air Force),美國空軍大學
Telugu people,泰盧固人
"Medina County, Ohio",梅迪納縣·(俄亥俄州)
"Trumbull County, Ohio",杜倫巴爾縣
"Goldsboro, North Carolina",戈爾茲伯勒·(北卡羅萊納州)
"Manderson, Wyoming",曼德森·(怀俄明州)
"Yauco, Puerto Rico",堯科
"Caroline County, Virginia",加羅林縣·(維吉尼亞州)
"Poquoson, Virginia",普庫森市
"Portsmouth, Virginia",朴次茅斯·(弗吉尼亚州)
Cole Prize,柯爾獎
"Prescott Valley, Arizona",普雷斯科特山谷·(亚利桑那州)
"Stafford County, Kansas",斯塔福德縣·(堪薩斯州)
Sleepy Hollow Cemetery,沉睡谷公墓
"Butler County, Kansas",巴特勒縣·(堪薩斯州)
"Scott County, Kansas",斯科特縣·(堪薩斯州)
"Doniphan County, Kansas",多尼芬縣·(堪薩斯州)
"Edwards County, Kansas",愛德華茲縣·(堪薩斯州)
"Stanton County, Kansas",斯坦頓縣·(堪薩斯州)
"Antimony, Utah",安提莫尼·(犹他州)
"Jackson County, Kansas",杰克逊县·(堪萨斯州)
Memorial Stadium (Lincoln),林肯紀念體育場
"Orange Township, Clinton County, Iowa",奧蘭治鎮區·(愛荷華州克林頓縣)
West Potomac Park,西波托馬克公園
"Wright County, Missouri",賴特縣·(密蘇里州)
AFC East,美國美式足球聯會東區
"Washington County, Indiana",華盛頓縣·(印地安納州)
City Hall-County Building,芝加哥市政厅
Chicago Fire FC,芝加哥火焰足球會
Communist Party USA,美國共產黨
Fort Dearborn,迪尔伯恩要塞
"Montezuma County, Colorado",蒙提祖馬縣·(科羅拉多州)
109th United States Congress,第109届美国国会
Super Bowl V,第五届超级碗
Billboard 200,Billboard·200
Marquette University,马凯特大学
Goldman Sachs,高盛
Molokai,摩洛凱島
Zend (company),Zend科技
SpaceX,SpaceX
Engadget,Engadget
"Little Italy, Manhattan",小意大利·(曼哈顿)
Id Software,Id·Software
"Thousand Oaks, California",千橡市·(加利福尼亞州)
Naval Act of 1938,1938年海軍法案
Project Gemini,双子座计划
