Dortmund,ドルトムント
Altona-Nord,ハンブルク＝アルトナ (北)
Altona-Altstadt,ハンブルク＝アルトナ (旧市街)
Museum Schnütgen,シュニュットゲン美術館
Billstedt,ビルステット
Billbrook,ビルブルック
Hamm,ハム区
Hammerbrook,ハンマーブルック
Horn,ホルン
Cineplex Film-ID,シネプレックス映画ID
Heilbronn,ハイルブロン
Bundesautobahn 73,アウトバーン 73
Bundesautobahn 81,アウトバーン 81
Bundesautobahn 92,アウトバーン 92
Bundesautobahn 93,アウトバーン 93
Oder,オーデル川
Attendorn,アッテンドルン
Stuttgarter Datenbank wissenschaftlicher Illustratoren-ID,シュトゥットガルト科学イラストレーター・データベースID
Bundesautobahn 98,アウトバーン 98
Bundesautobahn 99,アウトバーン 99
Baden-Württemberg,バーデン＝ヴュルテンベルク州
Drolshagen,ドロルスハーゲン
Where-On-Earth-ID,WOEID
Munzinger-Personenkennung,ムンツィンガー人物識別子
FSK-Altersfreigabe,FSK映画レイティング
Leipzig,ライプツィヒ
Biographie beim Deutschen Bundestag,ドイツ議会の議員経歴ページ
Leopoldina-Mitglieder-ID,レオポルディーナ会員識別子（新）
Steinwerder,スタインヴェルダー
Weinsberg,ヴァインスベルク
Wandsbek,ハンブルク＝ヴァンズベク
Wellingsbüttel,ヴェリングスビュッテル
Stuttgart,シュトゥットガルト
Bonn,ボン
OMDb-Film-ID,オープン・メディア・データベース 映画ID
Essen,エッセン
Blankenese,ハンブルク＝ブランケネーゼ
Bahrenfeld,ハンブルク＝バーレンフェルト
Eimsbüttel,アイムスビュッテル
Bergedorf,ベルゲドルフ区
Bramfeld,ブラムフェルト
Rotherbaum,ローターバウム
Stellingen,シュテリンゲン
Hamburg-Mitte,ハンブルク・ミッテ区
Hamburg-Nord,ハンブルク・ノルト区
Altona,ハンブルク＝アルトナ
Wannsee,ベルリン＝ヴァンゼー
Köln Hauptbahnhof,ケルン中央駅
Elbe,エルベ川
Bielefeld,ビーレフェルト
Wenden,ヴェンデン
Lennestadt,レネシュタット
Cinema-ID,Cinema.de ID
Ems,エムス川
Weser,ヴェーザー川
Bundesautobahn 94,アウトバーン 94
Bundesautobahn 95,アウトバーン 95
Bundesautobahn 96,アウトバーン 96
Eimsbüttel,アイムスビュッテル区
Wandsbek,ヴァンツベック区
Harburg,ハールブルク区
Iserlohn,イーザーローン
Karlsruhe,カールスルーエ
Amtlicher Gemeindeschlüssel,ドイツ自治体キー
Kreisschlüssel,ドイツ郡キー
Hamburg,ハンブルク
Donau,ドナウ川
Filmportal-ID,Filmportal識別子
IAT-Triathleten-ID,IAT トライアスロン選手ID
IAT-Gewichtheber-ID,IAT 重量挙げ選手ID
IAT-Wasserspringer-ID,IAT 飛込競技選手ID
Bayern,バイエルン
Mannheim,マンハイム
Neuwerk,ノイヴェルク島
Bochum,ボーフム
Leopoldina-Mitgliederkennung (veraltet),レオポルディーナ・メンバーID
Fussballdaten.de-Person-ID,Fussballdaten.de人物識別子
Olpe,オルペ
Wilhelmsburg,ヴィルヘルムスブルク
Berlin Hauptbahnhof,ベルリン中央駅
Finnentrop,フィネントロプ
OFDb-Film-ID,オンライン映画データベース識別子
Warburg,ヴァールブルク
Obersorbisch,高地ソルブ語
Hemer,ヘーマー
Olsberg,オルスベルク
Medebach,メーデバッハ
Aachen,アーヘン
Kirchhundem,キルヒフンデム
Osdorf,ハンブルク＝オスドルフ
Nienstedten,ハンブルク＝ニーンシュテッテン
Lurup,ハンブルク＝ルールプ
Iserbrook,ハンブルク＝イーザーブローク
Groß Flottbek,ハンブルク＝グロース・フロットベク
Werse,ヴェルゼ川
Wuppertal,ヴッパータール
Mosel,モーゼル川
Niedersorbisch,低地ソルブ語
Eppendorf,エッペンドルフ
GEPRIS ID (Projekt),GEPRISプロジェクトID
GEPRIS ID (Organisation),GEPRIS組織ID
GEPRIS-Personen-ID,GEPRIS人物ID
AdK-Mitgliederkennung,ADK メンバーID
DFB-Datencenter-ID,ドイツサッカー連盟人物識別子
Mastodon-Adresse,Mastodonアドレス
Brockhaus-Enzyklopädie-Kennung,ブロックハウス百科事典オンライン識別子
fernsehserien.de-ID,fernsehserien.de ID
Nürnberg,ニュルンベルク
Peene,ペーネ川
Fröndenberg/Ruhr,フレンデンベルク/ルール
Barmbek-Nord,ブラムベク＝ノルト
Soccerdonna-Spieler-ID,サッカードンナ 選手ID
Ohlsdorf,オールスドルフ
Fuhlsbüttel,フールスビュッテル
Alsterdorf,アルステルドルフ
Groß Borstel,グロス・ボルステル
Bergedorf,ハンブルク＝ベルゲンドルフ
Billwerder,ビルヴェアダー
Mulde,ムルデ川
Langenhorn,ランゲンホルン
Beckum,ベックム
Bremerhaven,ブレーマーハーフェン
Neckar,ネッカー川
Städel Museum Künstler ID,シュテーデル美術館 芸術家ID
Niedersachsen,ニーダーザクセン州
Ahlen,アーレン
Ennigerloh,エニガーロー
Selm,ゼルム
Winterberg,ヴィンターベルク
Main,マイン川
Schleswig-Holstein,シュレースヴィヒ＝ホルシュタイン州
Langenzenn,ランゲンツェン
Stuttgarter Fernsehturm,シュトゥットガルトテレビ塔
Drensteinfurt,ドレンシュタインフルト
Münster,ミュンスター
Weiden in der Oberpfalz,ヴァイデン・イン・デア・オーバープファルツ
Kaufbeuren,カウフボイレン
Freiberger Mulde,フライベルガー・ムルデ川
Markgröningen,マルクグレーニンゲン
Kongokonferenz,ベルリン会議
Piratenpartei Deutschland,ドイツ海賊党
Romani,ロマ語
Ruhr,ルール川
Neuengamme,ノイエンガンメ
Nordsee,北海
Gelsenkirchen,ゲルゼンキルヒェン
Hilchenbach,ヒルヒェンバッハ
Sendenhorst,ゼンデンホルスト
Eschelbronn,エッシェルブロン
Rheinland-Pfalz,ラインラント＝プファルツ州
Elde,エルデ川
Freiberg,フライベルク
Enz,エンツ川
Oelde,エルデ
Bestwig,ベストヴィヒ
Werne,ヴェルネ
Mecklenburg-Vorpommern,メクレンブルク＝フォアポンメルン州
Heinsberg,ハインスベルク
Saale,ザーレ川
Eslohe,エスローエ
Telgte,テルクテ
Nordrhein-Westfalen,ノルトライン＝ヴェストファーレン州
Freudenberg,フロイデンベルク
Coburg,コーブルク
Kiel,キール
Bönen,ベーネン
Holzwickede,ホルツヴィッケデ
Saarland,ザールラント州
Havel,ハーフェル川
Lemgo,レムゴー
Münsterland,ミュンスターラント
Inn,イン川
Weißenfels,ヴァイセンフェルス
Warendorf,ヴァーレンドルフ
Nettetal,ネッテタール
Sassenberg,ザッセンベルク
Gifhorn,ギフォルン
Bautzen,バウツェン
Schwerin,シュヴェリーン
Burbach,ブールバッハ
Potsdam,ポツダム
Bergneustadt,ベルクノイシュタット
H145,ユーロコプター EC 145
KZ Esterwegen,エステルウェーゲン強制収容所
Bad Münder am Deister,バート・ミュンダー・アム・ダイスター
Kleinblittersdorf,クラインブリッタースドルフ
Radevormwald,ラーデフォルムヴァルト
Landsberg,ランツベルク
Hessen,ヘッセン州
Bad Soden am Taunus,バート・ゾーデン・アム・タウヌス
Augsburg,アウクスブルク
Netphen,ネトフェン
Braunschweig,ブラウンシュヴァイク
Bad Berleburg,バート・ベルレブルク
Oranienburg,オラニエンブルク
Neunkirchen,ノインキルヒェン
Wunstorf,ヴンストルフ
Sachsen,ザクセン州
Erndtebrück,エルンテブリュック
Memmingen,メミンゲン
Aurich,アウリッヒ
Mönchengladbach,メンヒェングラートバッハ
Dreieich,ドライアイヒ
Groß Schacksdorf-Simmersdorf,グロース・シャックスドルフ
Spree,シュプレー川
Sachsen-Anhalt,ザクセン＝アンハルト州
Thüringen,テューリンゲン州
Chemnitz,ケムニッツ
Großrosseln,グロースロッセルン
Nürtingen,ニュルティンゲン
Krefeld,クレーフェルト
MBB/Kawasaki BK 117,BK117
Alpen,アルプス山脈
Rüdersdorf bei Berlin,リューダースドルフ・バイ・ベルリン
Alster,アルスター湖
Ostbevern,オストベーヴェルン
Hannover,ハノーファー
Marienheide,マリエンハイデ
Wilnsdorf,ヴィルンスドルフ
Everswinkel,エーヴァースヴィンケル
Ruhrbesetzung,ルール占領
Freiburg im Breisgau,フライブルク・イム・ブライスガウ
Brandenburg,ブランデンブルク州
Mettmann,メットマン
Düsseldorf,デュッセルドルフ
Opel,オペル
Halle (Saale),ハレ
Wipperfürth,ヴィッパーフュルト
Bensheim,ベンスハイム
Kirchheim unter Teck,キルヒハイム・ウンター・テック
Borussia Dortmund,ボルシア・ドルトムント
Falkensee,ファルケンゼー
Laatzen,ラーツェン
Reichshof,ライヒスホーフ
Bad Sassendorf,バート・ザッセンドルフ
München,ミュンヘン
Engelskirchen,エンゲルスキルヒェン
Lindlar,リンドラー
Pirmasens,ピルマゼンス
Freie Hansestadt Bremen,ブレーメン州
Arnold & Richter Cine Technik,アーノルド&リヒター
UFA,ウーファー
Lauenförde,ラウエンフェルデ
Werl,ヴェルル
Rüthen,リューテン
Völklingen,フェルクリンゲン
Ansbach,アンスバッハ
Siegburg,ジークブルク
Geseke,ゲーセケ
Wadersloh,ヴァーデルスロー
European Pressphoto Agency,EPA通信
Liste der Fußball-Pflichtspiele zwischen dem Hamburger SV und Werder Bremen,ノルト・ダービー
Quedlinburg,クヴェードリンブルク
Kassel,カッセル
Schwabach,シュヴァーバッハ
Erwitte,エルヴィッテ
Erfurt,エアフルト
Porsche,ポルシェ
Frankfurt am Main,フランクフルト・アム・マイン
Weißwasser/O.L.,ヴァイスヴァッサー/オーバーラウジッツ
NSU Motorenwerke,NSU
Friedrich-Alexander-Universität Erlangen-Nürnberg,フリードリヒ・アレクサンダー大学エアランゲン＝ニュルンベルク
Ulmer Münster,ウルム大聖堂
Ennepetal,エンネペタル
Weiße Elster,白エルスター川
Altbier,アルトビール
Deutsch-israelische Beziehungen,イスラエルとドイツの関係
Kreis Warendorf,ヴァーレンドルフ郡
Lübeck,リューベック
Das Lied der Deutschen,ドイツの歌
Suhl,ズール
Oxhoft,ホッグスヘッド
Hermann-Kesten-Preis,ヘルマン・ケステン賞
Weißenburg in Bayern,ヴァイセンブルク・イン・バイエルン
Lippetal,リッペタール
Saarbrücken,ザールブリュッケン
Beelen,ベーレン
Ettlingen,エットリンゲン
Deutsche,ドイツ人
Warstein,ヴァールシュタイン
Breckerfeld,Breckerfeld
Eppstein,エップシュタイン
Ennepe-Ruhr-Kreis,エネペ＝ルール郡
Anröchte,アンレヒテ
Buxtehude,ブクステフーデ
Landkreis Nordwestmecklenburg,ノルトヴェストメクレンブルク郡
Mainz,マインツ
Dresden,ドレスデン
Hamm,ハム市
Aesculap-Werke,エースクラップ
DB Cargo,ドイツ鉄道貨物
Welver,ヴェルファー
Möhnesee,メーネゼー
Kamp-Lintfort,カンプ＝リンフォルト
Schwelm,シュヴェルム
Landkreis Rostock,ロストック郡
Magdeburg,マクデブルク
Hofheim am Taunus,ホーフハイム・アム・タウヌス
Osnabrück,オスナブリュック
Hummelsbüttel,フンメルスビュッテル
Dechenhöhle,デヒェン洞窟
Hagen,ハーゲン
Wiesbaden,ヴィースバーデン
Maintal,マインタール
Rostock,ロストック
Burg Stargard,ブルク・シュタルガルト
Buchholz in der Nordheide,ノルトハイデのブッフホルツ
Herdecke,ヘルデッケ
Volksdorf,フォルクスドルフ
Oberhausen,オーバーハウゼン
Dahlen,ダーレン
Schorndorf,ショルンドルフ
Steilshoop,シュタイルズフープ
Würselen,ヴュルスレン
Wetter (Ruhr),ヴェッター (ルール地方)
Neumarkt in der Oberpfalz,ノイマルクト・イン・デア・オーバープファルツ
Atta-Höhle,アッタ洞窟
deutsche Fußballnationalmannschaft,サッカードイツ代表
Urbach,ウーアバッハ
Cölpin,ケルピン
Rahlstedt,ラールシュテット
Germering,ゲルメリング
Löhne,レーネ
Ahaus,アハウス
Haltern am See,ハルターン・アム・ゼー
Landkreis Vorpommern-Rügen,フォアポンメルン＝リューゲン郡
Ludwigshafen am Rhein,ルートヴィヒスハーフェン
Siemens,シーメンス
Gevelsberg,Gevelsberg
Mülheim an der Ruhr,ミュールハイム・アン・デア・ルール
Landkreis Mecklenburgische Seenplatte,メクレンブルギッシェ＝ゼーエンプラッテ郡
Friedland,フリートラント (メクレンブルク)
Voerde,フォアーデ
Herne,ヘルネ
Greven,グレーヴェン
Hoyerswerda,ホイエルスヴェルダ
Landkreis Vorpommern-Greifswald,フォアポンメルン＝グライフスヴァルト郡
Oldenburg,オルデンブルク
Coesfeld,コースフェルト
Eschenbach,エッシェンバッハ
Eilenburg,アイレンブルク
Kreis Rendsburg-Eckernförde,レンツブルク＝エッケルンフェルデ郡
Neu-Isenburg,ノイ＝イーゼンブルク
Kirchberg an der Murr,キルヒベルク・アン・デア・ムル
Landkreis Ludwigslust-Parchim,ルートヴィヒスルスト＝パルヒム郡
Gerhard-Fieseler-Werke,フィーゼラー
Erzbistum Köln,ケルン大司教
Sprockhövel,Sprockhövel
Dommitzsch,ドミッチュ
Schwäbisch Hall,シュヴェービッシュ・ハル
Süddeutschland,南ドイツ
Norddeutschland,北ドイツ
Kreis Nordfriesland,ノルトフリースラント郡
St. Ingbert,ザンクト・イングベルト
Flughafen Frankfurt Main,フランクフルト空港
Solingen,ゾーリンゲン
Saarlouis,ザールルイ
Pöhl,ペール (ザクセン州)
Baiersbronn,バイアースブロン
Königsbach-Stein,ケーニスバッハ
Steinberg,シュタインベルク
Torgau,トルガウ
Delitzsch,デーリッチュ
Forbach,フォルバッハ
Lüdinghausen,リューディングハウゼン
Schkeuditz,シュクロイディッツ
Leinfelden-Echterdingen,ラインフェルデン＝エヒターディンゲン
Leverkusen,レーヴァークーゼン
Emsdetten,エムスデッテン
Rudersberg,ルーダースベルク
Kreis Schleswig-Flensburg,シュレースヴィヒ＝フレンスブルク郡
Neuss,ノイス
Meckenheim,メッケンハイム (ノルトライン＝ヴェストファーレン州)
Ostfildern,オストフィルデルン
Kreis Dithmarschen,ディトマルシェン郡
Datteln,ダッテルン
Kernen im Remstal,ケルネン・イム・レムスタール
Senden,ゼンデン
Kreis Ostholstein,オストホルシュタイン郡
Langen,ランゲン
Sinsheim,ジンスハイム
Oschatz,オーシャッツ
Regensburg,レーゲンスブルク
Nordkirchen,ノルトキアヒェン
Kempen,ケンペン (ドイツ)
Heidelberg,ハイデルベルク
Olfen,オルフェン
Lohmar,ローマル
Ascheberg,アシェベルク
Bad Honnef,バート・ホネフ
Reichenbach im Vogtland,ライヒェンバッハ・イム・フォークトラント
Adorf/Vogtl.,アードルフ/フォークトラント
Paderborn,パーダーボルン
Falkenstein/Vogtl.,フランケンシュタイン/フォークトラント
Kreis Plön,プレーン郡
Kreis Herzogtum Lauenburg,ヘルツォークトゥーム・ラウエンブルク郡
Spiegelberg,シュピーゲルベルク
Darmstadt,ダルムシュタット
Hochdorf,ホーホドルフ
Backnang,バックナング
St. Johann,ザンクト・ヨハン
Königswinter,ケーニヒスヴィンター
Auerbach/Vogtl.,アウアーバッハ/フォークトラント
Merseburg,メルゼブルク
Havixbeck,ハーヴィクスベック
Prostitution in Deutschland,ドイツにおける売春
Kirnitzschtalbahn,キルニッツシュタール電気軌道
Freie Demokratische Partei,自由民主党
Haan,ハーン (ドイツ)
Bad Elster,バート・エルスター
Oelsnitz/Vogtl.,エルスニッツ
Billerbeck,ビラーベック
Klingenthal,クリンゲンタール
Markneukirchen,マルクノイキルヒェン
Ingolstadt,インゴルシュタット
Fußball-Bayernliga,バイエルンリーガ
Barclaycard,バークレイカード
Porta Westfalica,ポルタ・ヴェストファーリカ
Bernburg (Saale),ベルンブルク
Nottuln,ノトゥルン
Gütenbach,グーテンバッハ
Rosendahl,ローゼンダール
Landkreis Sangerhausen,ザンガーハウゼン郡
Schienenverkehr in Deutschland,ドイツの鉄道
Walddorfhäslach,ヴァルトドルフヘスラハ
Würzburg,ヴュルツブルク
Königsfeld im Schwarzwald,ケーニヒスフェルト・イム・シュヴァルツバルト
Deutsche Teilnehmer der Olympischen Winterspiele 1964,1964年インスブルックオリンピックの東西統一ドイツ選手団
St. Blasien,ザンクト・ブラジーン
Mühlhausen/Thüringen,ミュールハウゼン (テューリンゲン州)
Altstadt-Nord,アルトシュタット＝ノルド
FC Augsburg,FCアウクスブルク
Deutsche Teilnehmer der Olympischen Sommerspiele 1912,1912年ストックホルムオリンピックのドイツ選手団
Sozialistische Deutsche Arbeiterjugend,社会主義ドイツ労働青年会
Reuth,ロイト (ラインラント＝プファルツ)
Sorbisches Siedlungsgebiet,ソルブ人居住地域
Kreis Stormarn,シュトルマルン郡
Schlesischer Bankverein,シュレジエン銀行
FC Bayern München,バイエルン・ミュンヘン
Kreis Segeberg,ゼーゲベルク郡
Neuler,ノイラー
Rodewisch,ローデヴィシュ
Slowenen,スロベニア人
Altenburg,アルテンブルク
1. FC Nürnberg,1.FCニュルンベルク
Lage,ラーゲ
Wesseling,ヴェッセリンク
Einbeck,アインベック
Malz,マルツ (オラーニエンブルク)
Leutenbach,ロイテンバッハ
Papenburg,パーペンブルク
Schöneck/Vogtland,シェーネック/フォークトラント
Wolfsburg,ヴォルフスブルク
Grabenstetten,グラーベンシュテッテン
Markttor von Milet,ミレトスの市場門
Rheinbach,ラインバッハ
Ostdeutsche Eisenbahn,東ドイツ鉄道
Coschen,コッシェン
Bahnstrecke Liberec–Rybniště/Seifhennersdorf,089号線
Handelskammer Hamburg,ハンブルク商工会議所
Thallichtenberg,タリヒテンベルク
deutsche Küche,ドイツ料理
Kreis Pinneberg,ピンネベルク郡
Altstadt-Süd,アルトシュタット＝スート
Bundesstraße 51,連邦道51号線
Bundesstraße 53,ドイツ連邦道路53号線
Bundesstraße 54,連邦道 54号線
Rethem (Aller),レーテム
Tscherkessen,チェルケス人
Bundesstraße 55,ドイツ連邦道路55号線
Bundesstraße 58,連邦道58号線
Göttingen,ゲッティンゲン
Wernigerode,ヴェルニゲローデ
Grafenberg,グラーフェンベルク
Deutsche Teilnehmer der Olympischen Winterspiele 1932,1932年レークプラシッドオリンピックのドイツ選手団
Bundesrat,連邦参議院
Deutscher Orden,ドイツ騎士団
Staatswappen der Deutschen Demokratischen Republik,東ドイツの国章
Offenbach am Main,オッフェンバッハ・アム・マイン
Bottrop,ボトロップ
Helgoland,ヘルゴラント島
Emsland,エムスラント
Aichwald,アイヒヴァルト
Bad Boll,バート・ボル
Recklinghausen,レックリングハウゼン
Meppen,メッペン
Tuttlingen,トゥットリンゲン
Netzschkau,ネッツシュカウ
Deutsche Teilnehmer der Olympischen Winterspiele 1952,1952年オスロオリンピックの西ドイツ選手団
Deutsche Teilnehmer der Olympischen Sommerspiele 1956,1956年メルボルンオリンピックの東西統一ドイツ選手団
Rosenfeld,ローゼンフェルド
Kehl,ケール
Erding,エルディング
Zapfendorf,ツァプフェンドルフ
Deutsche Teilnehmer der Olympischen Winterspiele 2006,2006年トリノオリンピックのドイツ選手団
Deutsche Teilnehmer der Olympischen Sommerspiele 1928,1928年アムステルダムオリンピックのドイツ選手団
Deutsche Teilnehmer der Olympischen Sommerspiele 1936,1936年ベルリンオリンピックのドイツ選手団
Pforzheim,プフォルツハイム
Kreis Steinburg,シュタインブルク郡
Ulm,ウルム
Leer,レーア
Naumburg (Saale),ナウムブルク
Nigehörn,ニーゲヘルン島
Reutlingen,ロイトリンゲン
Zapp AG,Zapp AG
Vetschau/Spreewald,フェッチャウ/シュプレーヴァルト
Neckartailfingen,ネッカータイルフィンゲン
Winsen/Luhe,ヴィンゼン (ルーエ)
Hülben,ヒュルベン
Römerstein,レーマーシュタイン
Mönsheim,メンスハイム
Laudenbach,ラウデンバッハ
St. Leon-Rot,ザンクト・レオン＝ロート
Schönebeck,シェーネベック
Königs Wusterhausen,ケーニヒス・ヴスターハウゼン
Deutsche Teilnehmer der Olympischen Winterspiele 2002,2002年ソルトレークシティオリンピックのドイツ選手団
Lübbenau,リュッベナウ/シュプレーヴァルト
Sowjetisches Ehrenmal,ソビエト連邦戦没者顕彰碑
Schlossplatz,宮殿広場
Ispringen,イスプリンゲン
Altmühlsee,アルトミュール湖
Igelsbachsee,イーゲルスバッハ湖
Uelzen,エルツェン
Eutingen im Gäu,オイティンゲン・イム・ゲウ
Kohlberg,コールベルク
Erlangen,エアランゲン
Mörfelden-Walldorf,メルフェルデン＝ヴァルドルフ
Schwedt/Oder,シュヴェート/オーダー
Bad Saarow,バート・ザーロウ
Barsinghausen,バルジングハウゼン
Sylt,ジルト島
Fränkisches Seenland,フランコニア湖地区
Remscheid,レムシャイト
Koblenz,コブレンツ
ZDF,第2ドイツテレビ
Bergisch Gladbach,ベルギッシュ・グラートバッハ
Schwaikheim,シュヴァイクハイム
Mittellandkanal,ミッテルラント運河
Eiskunstlauf-Weltmeisterschaft 1931,1931年世界フィギュアスケート選手権
Olympiahalle München,オリンピアハレ
Max-Planck-Institut für Astrophysik,マックス・プランク天体物理学研究所
Bischofswerda,ビショフスヴェルダ
Scharhörn,シャールヘルン島
Fürth,フュルト
Balingen,バリンゲン
Großer Brombachsee,グローサー・ブロムバッハ湖
Jena,イェーナ
Aspach,アスパハ
Moers,メールス
Kleiner Brombachsee,クライナー・ブロムバッハ湖
Schwäbische Rezat,シュヴェービシェ・レーツァト川
Naturpark Altmühltal,アルトミュールタール自然公園
Anlauter,アンラウター川
Fürstenfeldbruck,フュルステンフェルトブルック
Goch,ゴッホ
Stuhr,シュトゥール
Niederlausitz,ニーダーラウジッツ
Jülich,ユーリヒ
Limburg an der Lahn,リムブルク・アン・デア・ラーン
Deutsche Teilnehmer der Olympischen Sommerspiele 2000,2000年シドニーオリンピックのドイツ選手団
Domowina,ドモヴィナ
Hattenhofen,ハッテンホーフェン
Föhr,フェール島
Deutsche Teilnehmer der Olympischen Sommerspiele 1996,1996年アトランタオリンピックのドイツ選手団
Schlesien,シレジア
Pellworm,ペルヴォルム島
Steinfurt,シュタインフルト
Zweibrücken,ツヴァイブリュッケン
Geldern,ゲルダーン
Trollenhagen,トロレンハーゲン
Zauche,ツァウヘ
Amrum,アムルム島
Trier,トリーア
Radeberg,ラーデベルク
Internationale Filmfestspiele Berlin 2004,第54回ベルリン国際映画祭
Internationale Filmfestspiele Berlin 2005,第55回ベルリン国際映画祭
Siegen,ジーゲン
Beseritz,ベゼリッツ
ARD,ドイツ公共放送連盟
Spreewald,シュプレーヴァルト
Deutsche Kommunistische Partei,ドイツ共産党
Seelze,ゼールツェ
Dietzenbach,ディーツェンバッハ
Ostro,オストロ
Rhön,レーン山地
Schwarze Elster,黒エルスター川
Limes Saxoniae,リーメス・サクソニア
Lausitzer Allianz,ヴェンディッシュ民族党
Senftenberger See,ゼンフテンベルガー湖
ostfriesisches Niederdeutsch,オストフリース語
Hildesheim,ヒルデスハイム
Dettingen unter Teck,デッティンゲン・ウンター・テック
Kamenz,カメンツ
Viernheim,フィールンハイム
Wendland,ヴェンドラント
Amt Peitz,アムト・パイツ
Amt Döbern-Land,アムト・デーベルン＝ラント
Korschenbroich,コルシェンブローホ
Pulsnitz,プルスニッツ
Doberschütz,ドーバーシュッツ
Krostitz,クロスティッツ
Allmersbach im Tal,アルマースバッハ・イム・タール
Christlich-Soziale Union in Bayern,キリスト教社会同盟
Das Erste,Das Erste
Bauernkriegspanorama,パノラマ美術館
Die Linke,左翼党
Sozialdemokratische Partei Deutschlands,ドイツ社会民主党
Crailsheim,クライルスハイム
Zwickauer Mulde,ツヴィッカウアー・ムルデ川
Brandenburgische Technische Universität,ブランデンブルク工科大学
Europa-Universität Viadrina,ヴィアドリナ欧州大学
Fehmarn,フェーマルン島
Marxheim,マルクスハイム
Durmersheim,ドゥルマースハイム
Schwetzingen,シュヴェツィンゲン
Cottbus,コトブス
Wendlingen am Neckar,ヴェンドリンゲン・アム・ネッカー
Internationale Filmfestspiele Berlin 2007,第57回ベルリン国際映画祭
Bündnis 90/Die Grünen,同盟90/緑の党
Internationale Filmfestspiele Berlin 2006,第56回ベルリン国際映画祭
Internationale Filmfestspiele Berlin 2001,第51回ベルリン国際映画祭
Gaildorf,ガイルドルフ
Letten,ラトビア人
Wülzburg,ヴュルツブルク城
Schonach im Schwarzwald,ショーナッハ
Wilthen,ヴィルテン
Internationale Filmfestspiele Berlin 2000,第50回ベルリン国際映画祭
Murrhardt,ムルハルト
Signal Iduna Park,ヴェストファーレンシュタディオン
Fürstenwalde/Spree,フュルステンヴァルデ/シュプレー
Usedom,ウーゼドム島
Christlich Demokratische Union,ドイツキリスト教民主同盟
Regionalverband Ruhr,ルール地域連合
Insel Hiddensee,ヒッデンゼー島
Heddesbach,ヘッデスバッハ
Die drei ???,カリフォルニア少年探偵団
Goethe-Universität Frankfurt am Main,ヨハン・ヴォルフガング・ゲーテ大学フランクフルト・アム・マイン
Warnow,ヴァルノウ川
Dielheim,ディールハイム
Ostseebad Insel Poel,ポエル島
Salzgitter,ザルツギッター
Eider,アイダー川
Franken,フランケン地方
Oftersheim,オフタースハイム
Mühlhausen,ミュールハウゼン
DFB-Pokal,DFBポカール
Reilingen,ライリンゲン
Rehau,レーハウ
Volksparkstadion,フォルクスパルクシュタディオン
Rot am See,ロート・アム・ゼー
Herzogin Anna Amalia Bibliothek,アンナ・アマーリア大公妃図書館
Festung Ehrenbreitstein,エーレンブライトシュタイン要塞
Trave,トラヴェ川
