Tokyo,도쿄
Jōetsu,조에쓰 시
Habikino,하비키노 시
Narita International Airport,나리타 국제공항
Kansai International Airport,간사이 국제공항
Nakano,나카노 구
Kuroishi,구로이시 시
Iwamizawa,이와미자와 시
Kitahiroshima,기타히로시마 시
Ebetsu,에베쓰 시
Chitose,지토세 시
Aomori-ken,아오모리현
Goshogawara,고쇼가와라 시
Yonezawa,요네자와 시
Yamagata-ken,야마가타 현
Toride,도리데 시
Sakura,사쿠라 시
Ryūgasaki,류가사키 시
Ōtawara,오타와라 시
Mooka,모카 시
Mobara,모바라 시
Miyako,미야코 시
Miyagi-ken,미야기 현
Kitakami,기타카미 시
Iwate,이화테 현
Ibaraki,이바라키 현
Hanamaki,하나마키 시
Fukushima-ken,후쿠시마 현
Chiba-ken,지바 현
Akita,아키타 현
Wakkanai,왓카나이 시
Tomakomai,도마코마이 시
Mutsu,무쓰 시
Ōdate,오다테 시
Obihiro,오비히로 시
Noshiro,노시로 시
Nemuro,네무로 시
Muroran,무로란 시
Uwajima,우와지마 시
Saijō,사이조 시
Ashiya,아시야 시
Annaka,안나카 시
Aichi-ken,아이치 현
Nichinan,니치난 시
Nara-ken,나라 현
Nakatsugawa,나카쓰가와 시
Nakatsu,나카쓰 시
Nago,나고 시
Nagano-ken,나가노 현
Murakami,무라카미 시
Miyoshi,미요시 시
Miyazaki,미야자키 현
Miki,미키 시
Mihara,미하라 시
Mie-ken,미에 현
Marugame,마루가메 시
Maizuru,마이즈루 시
Kyoto Prefecture,교토 부
Kumamoto,구마모토 현
Shingū,신구 시
Yukuhashi,유쿠하시 시
Yūki,유키 시
Honmachi,야쓰시로 시
Yamanashi,야마나시 현
Yamaguchi,야마구치 현
Wakayama,와카야마 현
Usuki,우스키 시
Tsuruoka,쓰루오카 시
Tsuruga,쓰루가 시
Tsubame,쓰바메 시
Toyooka,도요오카 시
Toyokawa,도요카와 시
Toyama-ken,도야마 현
Tottori,돗토리 현
Tosu,도스 시
Tokushima-ken,도쿠시마 현
Tochigi,도치기 현
Tatebayashi,다테바야시 시
Tanabe,다나베 시
Tamano,다마노 시
Takayama,다카야마 시
Tajimi,다지미 시
Tagawa,다가와 시
Shizuoka,시즈오카 현
Shiojiri,시오지리 시
Shimane-ken,시마네현
Shimada,시마다 시
Shiga,시가 현
Shibukawa,시부카와 시
Shibata,시바타 시
Sano,사노 시
Sanjō,산조 시
Saku,사쿠 시
Sakata,사카타 시
Sakado,사카도 시
Saitama-ken,사이타마 현
Saga-ken,사가 현
Oyama,오야마 시
Ōta,오타 시
Ōsaka-fu,오사카 부
Onomichi,오노미치 시
Ōmura,오무라 시
Okayama-ken,오카야마 현
Oita Prefecture,오이타 현
Ōgaki,오가키 시
Ōbu,오부 시
Noda,노다 시
Komatsu,고마쓰 시
Kokubunji,고쿠분지 시
Kochi Prefecture,고치 현
Kishiwada,기시와다 시
Kashiwazaki,가시와자키 시
Kanuma,가누마 시
Kanoya,가노야 시
Kanagawa,가나가와 현
Kameoka,가메오카 시
Kakogawachō-honmachi,가코가와 시
Kakamigahara,가카미가하라 시
Kagawa-ken,가가와 현
Kadoma,가도마 시
Izumo,이즈모 시
Iwata,이와타 시
Itō,이토 시
Ishikawa-ken,이시카와 현
Ishigaki,이시가키 시
Inuyama,이누야마 시
Ina,이나 시
Ikoma,이코마 시
Iizuka,이즈카 시
Hyōgo,효고 현
Honjō,혼조 시
Hita,히타 시
Hiroshima-ken,히로시마 현
Hirakata,히라카타 시
Hino,히노 시
Higashi-ōsaka,히가시오사카 시
Hekinan,헤키난 시
Hashimoto,하시모토 시
Hanyū,하뉴 시
Hannō,한노 시
Ōmihachiman,오미하치만 시
Gyōda,교다 시
Gunma-ken,군마현
Ginowan,기노완 시
Gifu,기후 현
Gamagōri,가마고리 시
Fukuroi,후쿠로이 시
Fukuoka Prefecture,후쿠오카 현
Fukui,후쿠이 현
Fujioka,후지오카 시
Ehime,에히메 현
Chiryū,지류 시
Chino,지노 시
Chichibu,지치부 시
Sayama,사야마 시
Fussa,훗사 시
Kimitsu,기미쓰 시
Mt. Fuji Shizuoka Airport,시즈오카 공항
Chikusei,지쿠세이 시
Kōka,고카 시
Ebina,에비나 시
Tama,다마 시
Akishima,아키시마 시
Niiza,니자 시
Ōnojō,오노조 시
Hidaka,히다카 시
Iruma,이루마 시
Inzai,인자이 시
Ōsaki,오사키 시
Susono,스소노 시
Yurihonjō,유리혼조 시
Nisshin,닛신 시
Chita,지타 시
Kani,가니 시
Asia,아시아
Kobe Airport,고베 공항
Tsushima Airport,쓰시마 공항
Fukuoka Airport,후쿠오카 공항
Oita Airport,오이타 공항
Saga Airport,사가 공항
Kumamoto Airport,구마모토 공항
Chūbu Centrair International Airport,주부 국제공항
Hiroshima Airport,히로시마 공항
Takamatsu Airport,다카마쓰 공항
Sendai Airport,센다이 공항
Tokyo International Airport,도쿄 국제공항
Naha Airport,나하 공항
Ishikari,이시카리 시
Hanawa,가즈노 시
Fukagawa,후카가와 시
Bibai,비바이 시
Abashiri,아바시리 시
Yuzawa,유자와 시
Yachimata,야치마타 시
Ushiku,우시쿠 시
Tōno,도노 시
Tōgane,도가네 시
Takahagi,다카하기 시
Shiroi,시로이 시
Sagae,사가에 시
Bonin Islands,오가사와라 제도
Ōfunato,오후나토 시
Nagai,나가이 시
Moriya,모리야 시
Kitaibaraki,기타이바라키 시
Kasama,가사마 시
Kaminoyama,가미노야마 시
Kamaishi,가마이시 시
Kakuda,가쿠다 시
Itako,이타코 시
Ishioka,이시오카 시
Iwo Jima,이오 섬
Higashine,히가시네 시
Asahi,아사히 시
Rumoi,루모이 시
Nayoro,나요로 시
Nakashibetsu,나카시베쓰 정
Misawa,미사와 시
Iyo,이요 시
Ōzu,오즈 시
Ayabe,아야베 시
Atami,아타미 시
Anan,아난 시
Nikkō,닛코 시
Nanao,나나오 시
Namerikawa,나메리카와 시
Nakama,나카마 시
Mizunami,미즈나미 시
Minamata,미나마타 시
Masuda,마스다 시
Maibara,마이바라 시
Kurayoshi,구라요시 시
Gero,게로 시
Yawata,야와타 시
Yanagawa,야나가와 시
Yamaga,야마가 시
Yaita,야이타 시
Uozu,우오즈 시
Tomioka,도미오카 시
Tokoname,도코나메 시
Toki,도키 시
Tenri,덴리 시
Tateyama,다테야마 시
Tamana,다마나 시
Takehara,다케하라 시
Takahashi,다카하시 시
Tahara,다하라 시
Suwa,스와 시
Shōbara,쇼바라 시
Shinshiro,신시로 시
Shimabara,시마바라 시
Shibushi,시부시 시
Sasayama,사사야마 시
Sakurai,사쿠라이 시
Sakaiminato,사카이미나토 시
Saiki,사이키 시
Ono,오노 시
Ōmachi,오마치 시
Obama,오바마 시
Numata,누마타 시
Komoro,고모로 시
Kitakata,기타카타 시
Kikuchi,기쿠치 시
Kashima,가시마 시
Kainan,가이난 시
Itoigawa,이토이가와 시
Ibara,이바라 시
Hitoyoshi,히토요시 시
Hirado,히라도 시
Hamada,하마다 시
Hagi,하기 시
Gose,고세 시
Gojō,고조 시
Futtsu,훗쓰 시
Miura,미우라 시
Hikari,히카리 시
Inashiki,이나시키 시
Chikuma,지쿠마 시
Takashima,다카시마 시
Katsuragi,가쓰라기 시
Nanto,난토 시
Midori,미도리 시
Miyakojima,미야코지마 시
Sōsa,소사 시
Kinokawa,기노카와 시
Shimotsuke,시모쓰케 시
Hachimantai,하치만타이 시
Izu,이즈 시
Hirakawa,히라카와 시
Towada,도와다 시
Hashima,하시마 시
Minokamo,미노카모 시
Gujō,구조 시
Ena,에나 시
Hokuto,호쿠토 시
Fujikawaguchiko,후지카와구치코 정
Dazaifu,다자이후 시
Yamaguchi Ube Airport,야마구치 우베 공항
Asahikawa Airport,아사히카와 공항
Kitakyushu Airport,기타큐슈 공항
Miho–Yonago Airport,미호 비행장
Matsuyama Airport,마쓰야마 공항
Misawa Air Base,미사와 비행장
Niigata Airport,니가타 공항
Chichijima,지치지마섬
Fukaura,후카우라 정
Hachinohe,하치노헤 시
Ashibetsu,아시베쓰 시
Akabira,아카비라 시
Ajigasawa,아지가사와 정
Tsukuba,쓰쿠바 시
Ōtaki,오타키 정
Obanazawa,오바나자와 시
Motomiya,모토미야 시
Katsuura,가쓰우라 시
Chiba Shi,지바 시
Yūbari,유바리 시
Utashinai,우타시나이 시
Sunagawa,스나가와 시
Sōya Misaki,소야 곶
Asuka,아스카 촌
Amami Ōshima,아마미오 섬
Aki,아키 시
Adachi Ku,아다치 구
Nagareyama-shi,나가레야마 시
Miyazu,미야즈 시
Miyako Island,미야코 섬
Mibu,미부 정
Kushimoto,구시모토 정
Kusatsu,구사쓰 정
Yuzawa,유자와 정
Uenohara,우에노하라 시
Tsushima,쓰시마 섬
Takeo,다케오 시
Shimoda,시모다 시
Ōtsuki,오쓰키 시
Onna,온나 촌
Okinoerabujima Island,오키노에라부 섬
Nishinoomote,니시노오모테 시
Katsuyama,가쓰야마 시
Ibusuki,이부스키 시
Hakone,하코네 정
Hachijō Jima,하치조 섬
Gobō,고보 시
Ginza,긴자
Chizu,지즈 정
Nagato,나가토 시
Kushima,구시마 시
Hamura,하무라 시
Matsuura,마쓰우라 시
Tarama,다라마 촌
Uonuma,우오누마 시
Tokyo Tower,도쿄 타워
Akashi Kaikyō Bridge,아카시 해협 대교
Abashiri-gun,아바시리 군
Kōya,고야 정
Ozora,오조라 정
Yuzhno-Kurilsk,유즈노쿠릴스크
Iturup Island,이투루프 섬
Furano,후라노 시
E San,에산 산
Benten Jima,벤텐섬
Kesennuma,게센누마 시
Iwaizumi,이와이즈미 정
Bandai San,반다이산
Noboribetsu,노보리베쓰 시
Asakusa,아사쿠사
Wajima,와지마 시
Udone-shima,우도네섬
Taiji,다이지 정
Oyama,오야마 정
Kiyosu,기요스 시
Funa Jima,후나시마섬
Tokyo National Museum,도쿄 국립박물관
Kinkaku-ji,로쿠온지
Kiyomizu-dera,기요미즈데라
Kasumigaura,가스미가우라 시
Kamisu,가미스 시
Minamiashigara,미나미아시가라 시
Kashiba,가시바 시
Musashimurayama,무사시무라야마 시
Higashiyamato,히가시야마토 시
Misato,미사토 시
Suzu,스즈 시
Kasuga,가스가 시
Uruma,우루마 시
Sanmu,산무 시
Tamura,다무라 시
Nasukarasuyama,나스카라스야마 시
Komagane,고마가네 시
Isumi,이스미 시
Yachiyo,야치요 시
Tomisato,도미사토 시
Ōshū,오슈 시
Omaezaki,오마에자키 시
Nikaho,니카호 시
Daisen,다이센 시
Oga,오가 시
Tsugaru,쓰가루 시
Aisai,아이사이 시
Motosu,모토스 시
Burevestnik Airport,부레베스트니크 공항
Umeda,우메다
Hakuba,하쿠바 촌
Fukuoka Castle ruins,후쿠오카성
Keio University,게이오기주쿠 대학
International Stadium Yokohama,요코하마 국제 종합경기장
Suzuka Circuit,스즈카 서킷
Tsushima,쓰시마 시
Shikotan Island,시코탄 섬
Kunashir Island,쿠나시르 섬
Kamuiekuuchikaushi Yama,카무이에쿠우치카우시산
Kamome-jima,가모메섬
Sendai Heiya,센다이평야
Hokota,호코타 시
Choshi,조시 시
Awara,아와라 시
Nii Jima,니지마섬
Nakijin,나키진 촌
Kumamoto Railway Station,구마모토 시
Kadena Air Base,가데나 공군 기지
