Григорий Яковлевич Перельман,グリゴリー・ペレルマン
Сергей Николаевич Лебедев,セルゲイ・レベジェフ
Карен Шахназаров,カレン・シャフナザーロフ
Ксения Александровна Раппопорт,クセニア・ラパポルト
Галина Ивановна Зыбина,ガリナ・ジビナ
Борис Акунин,ボリス・アクーニン
Глюк’oZa,グリュコーザ
Валерий Васильевич Герасимов,ワレリー・ゲラシモフ
Расул Гамзатович Гамзатов,ラスール・ガムザートフ
"Третьяков, Виктор Викторович",ヴィクトル・トレチャコフ
Екатерина Валерьевна Юрьева,エカチェリーナ・ユーリエワ
"Карасёв, Иван Владимирович",イヴァン・カラショフ
Сергей Анатольевич Курёхин,セルゲイ・クリョーヒン
Павел Романович Попович,パーヴェル・ポポーヴィチ
Эдита Пьеха,エディタ・ピエーハ
Евгений Черняев,エフゲニー・チェルニャーエフ
Стивен Сигал,スティーヴン・セガール
"Кисин, Евгений Игоревич",エフゲニー・キーシン
Владимир Крамник,ウラジーミル・クラムニク
Николай Сергеевич Апаликов,ニコライ・アパリコフ
Александр Исаевич Солженицын,アレクサンドル・ソルジェニーツィン
"Чичерова, Анна Владимировна",アンナ・チチェロワ
Елена Вячеславовна Дементьева,エレーナ・デメンチェワ
Евгения Александровна Манюкова,エウゲニア・マニオコワ
Светлана Германовна Пархоменко,スベトラーナ・パルホメンコ
Елизавета Михайловна Боярская,エリザヴェータ・ボヤルスカヤ
"Фёдоров, Владимир Анатольевич",ウラジミール・フェドロフ
Сергей Анатольевич Тороп,ヴィッサリオン
"Тигиев, Сослан Вазноевич",ソスラン・ティギエフ
Александр Аронович Винников,アレクサンドル・ヴィンニコフ
Алла Пугачёва,アーラ・プガチョワ
Анна Сергеевна Курникова,アンナ・クルニコワ
Мария Юрьевна Кириленко,マリア・キリレンコ
Надежда Викторовна Петрова,ナディア・ペトロワ
Татьяна Викторовна Лысенко,タチアナ・ルイセンコ
Нина Александровна Андреева,ニーナ・アンドレーエワ
"Смирнов, Алексей Григорьевич",アレクセイ・スミルノフ
Михаил Тимофеевич Калашников,ミハイル・カラシニコフ
Владимир Викторович Морозов,ウラジミール・モロゾフ
Роман Аркадьевич Абрамович,ロマン・アブラモヴィッチ
"Скрынников, Руслан Григорьевич",ルスラン・スクルィンニコフ
Владимир Владимирович Путин,ウラジーミル・プーチン
Александр Александрович Кокорин,アレクサンドル・ココリン
Сергей Алексеевич Белоглазов,セルゲイ・ベログラゾフ
Андрей Викторович Губин,アンドレイ・グビン
Сергей Валентинович Стадлер,セルゲイ・スタドレル
Юрий Сергеевич Осипов,ユーリー・オシポフ
Николай Геннадиевич Басов,ニコライ・バソフ
"Давыдов, Василий Васильевич",ワシリー・ダヴィドフ
Александр Михайлович Прохоров,アレクサンドル・プロホロフ
Фёдор Серафимович Дружинин,フョードル・ドルジーニン
Лукас Генюшас,ルーカス・ゲニューシャス
Анатолий Евгеньевич Карпов,アナトリー・カルポフ
"Смыслов, Василий Васильевич",ワシリー・スミスロフ
Марат Мубинович Сафин,マラト・サフィン
Согдиана,ソグディアナ・フェドリンスカヤ
Олег Константинович Попов,オレグ・ポポフ
Патриарх Кирилл,キリル1世
Виктор Иванович Ишаев,ヴィクトル・イシャエフ
Иван Сергеевич Бабиков,イヴァン・バビコフ
Анна Степановна Политковская,アンナ・ポリトコフスカヤ
"Павлюченко, Роман Анатольевич",ロマン・パヴリュチェンコ
Андрей Андреевич Козлов,アンドレイ・コズロフ
"Гусева, Клара Ивановна",クララ・グセワ
"Бесов, Олег Владимирович",オレグ・ベソフ
"Самургашев, Вартерес Вартересович",ワルテレス・サムルガチェフ
Дима Билан,ジーマ・ビラーン
Юрий Юлианович Шевчук,ユーリ・ シェフチュク
Егор Тимурович Гайдар,エゴール・ガイダル
Виталий Александрович Петров,ヴィタリー・ペトロフ
Александр Вальтерович Литвиненко,アレクサンドル・リトビネンコ
Андрей Романович Чикатило,アンドレイ・チカチーロ
"Комбаров, Кирилл Владимирович",キリル・コムバロフ
Михаил Моисеевич Ботвинник,ミハイル・ボトヴィニク
Валентина Владимировна Терешкова,ワレンチナ・テレシコワ
Дмитрий Тимофеевич Язов,ドミトリー・ヤゾフ
Виктор Георгиевич Куликов,ヴィクトル・クリコフ
Николай Васильевич Огарков,ニコライ・オガルコフ
"Степанов, Александр Александрович",アレクサンダー・ステパノフ
Алексей Пажитнов,アレクセイ・パジトノフ
"Ландис, Евгений Михайлович",エフゲニー・ランディス
Александр Александрович Разборов,アレクサンドル・ラズボロフ
Сергей Леонидович Соколов,セルゲイ・ソコロフ
Василий Иванович Петров,ヴァシーリイ・イヴァーノヴィチ・ペトローフ
"Понедельник, Виктор Владимирович",ヴィクトル・パニジェーリニク
Юрий Мильнер,ユーリイ・ミルナー
Никита Михалков,ニキータ・ミハルコフ
Алексей Ефимович Учитель,アレクセイ・ウチーチェリ
Сергей Фёдорович Бондарчук,セルゲーイ・ボンダルチューク
Жерар Депардьё,ジェラール・ドパルデュー
"Рыбаков, Ярослав Владимирович",ヤロスラフ・リバコフ
Лариса Семёновна Латынина,ラリサ・ラチニナ
Татьяна Яковлевна Елизаренкова,タチアナ・エリザレンコヴァ
Валерий Викторович Борчин,ワレリー・ボルチン
Денис Геннадьевич Нижегородов,デニス・ニジェゴロドフ
Андрей Александрович Сильнов,アンドレイ・シルノフ
Юрий Сергеевич Рытхэу,ユーリー・ルィトヘウ
Татьяна Валерьевна Архипова,タチアナ・ペトロワ・アルヒポワ
Дмитрий Пучков,ドミトリー・プチコフ
Лев Гумилёв,レフ・グミリョフ
Евгений Николаевич Бирюков,エフゲニー・ビリュコフ
Михаил Олегович Бирюков,ミハイル・ビリュコフ
Юрий Петрович Власов,ユーリー・ウラソフ
"Нетто, Игорь Александрович",イーゴリ・ネット
Олег Элекпаевич Саитов,オレグ・サイトフ
Сергей Петрович Капица,セルゲイ・カピッツァ
"Русинов, Роман Александрович",ロマン・ルシノフ
Георгий Сандерс,ゲオルグ・サンデルス
Захар Нухимович Брон,ザハール・ブロン
Павел Дуров,パーヴェル・デューロフ
Михаил Ефимович Фрадков,ミハイル・フラトコフ
Андрей Сергеевич Кончаловский,アンドレイ・コンチャロフスキー
Александр Дмитриевич Жуков,アレクサンドル・ジューコフ
Виктор Алексеевич Зубков,ヴィクトル・ズブコフ
Александр Халифман,アレクサンドル・カリフマン
Андрей Сергеевич Аршавин,アンドレイ・アルシャヴィン
Виталий Лазаревич Гинзбург,ヴィタリー・ギンツブルク
Александра Михайловна Коллонтай,アレクサンドラ・コロンタイ
Константин Сергеевич Новосёлов,コンスタンチン・ノボセロフ
"Белевская, Елена Васильевна",エレーナ・ベレフスカヤ
Мария Юрьевна Шарапова,マリア・シャラポワ
"Мальчугина, Галина Вячеславовна",ガリーナ・マルチュギナ
Тимати,ティマティ
Борис Васильевич Спасский,ボリス・スパスキー
Магомед Мустафаевич Оздоев,マゴメド・オズドエフ
Наталья Вадимовна Молчанова,ナタリア・モルチャノワ
Вероника Борисовна Дударова,ヴェロニカ・ドゥダロワ
Иван Иванович Охлобыстин,イワン・オクロロビンスティン
Zedd,Zedd
Алан Елизбарович Дзагоев,アラン・ジャゴエフ
Сергей Васильевич Лукьяненко,セルゲイ・ルキヤネンコ
Станислав Евграфович Петров,スタニスラフ・ペトロフ
"Аввакумова, Ирина Андреевна",イリーナ・アブバクモワ
Борис Дмитриевич Парыгин,パルィギン・ボリス
Александр Сокуров,アレクサンドル・ソクーロフ
Дмитрий Анатольевич Медведев,ドミートリー・メドヴェージェフ
Николай Сергеевич Морилов,ニコライ・モリロフ
"Баранова-Масалкина, Наталья Ивановна",ナタリア・バラノワ＝マサルキナ
Алёна Викторовна Сидько,アレナ・シドコ
"Куркина, Лариса Николаевна",ラリサ・クルキナ
Олег Алексеевич Пашинин,オレグ・パシニン
Сергей Викторович Лавров,セルゲイ・ラブロフ
Сергей Пускепалис,セルゲイ・パスケパリス
Геннадий Иванович Янаев,ゲンナジー・ヤナーエフ
"Хазова, Ирина Викторовна",イリーナ・カゾワ
Наталья Сергеевна Коростелёва,ナタリア・コロステロワ
"Медведева-Арбузова, Евгения Владимировна",エフゲニア・メドベデワ
Ренат Рудольфович Янбаев,レナト・ヤンバエフ
"Ушакова, Арина Андреевна",アリーナ・ウシャコワ
Елизавета Григорьевна Дементьева,エリザヴェータ・デメンティエワ
Юрий Абрамович Башмет,ユーリ・バシュメット
Владимир Игоревич Арнольд,ウラジーミル・アーノルド
Алексей Андреевич Туполев,アレクセーイ・トゥーポレフ
Мстислав Леопольдович Ростропович,ムスティスラフ・ロストロポーヴィチ
Герман Степанович Титов,ゲルマン・チトフ
Анатолий Алексеевич Белоглазов,アナトリー・ベログラゾフ
Андрей Витальевич Коротаев,アンドレイ・コレターエフ
Колосс,コロッサス
Арсен Жораевич Галстян,アルセン・ガルスチャン
Юрий Нестеренко,ジョージ・ユリ・ライト
Борис Натанович Стругацкий,ボリス・ストルガツキー
"Хагуш, Анри Енверович",アンリ・ハグシュ
"Леонова, Алёна Игоревна",アリョーナ・レオノワ
Алексий II,アレクシイ2世
Василий Иванович Белов,バーシリ・ベローフ
Михаил Борисович Ходорковский,ミハイル・ホドルコフスキー
Владимир Давидович Ашкенази,ウラディーミル・アシュケナージ
Альфред Гарриевич Шнитке,アルフレット・シュニトケ
Валентина Ивановна Матвиенко,ワレンチナ・マトヴィエンコ
Александр Кириченко,アレクサンドル・キリチェンコ
Игорь Владимирович Сысоев,イーゴリ・シソエフ
Эдуард Успенский,エドゥアルド・ウスペンスキー
Николай Анатольевич Ковалёв,ニコライ・コワレフ
Светлана Евгеньевна Савицкая,スベトラーナ・サビツカヤ
"Дроздов, Алексей Васильевич",アレクセイ・ドロズドフ
Роман Петрович Нойштедтер,ロマン・ノイシュテッター
Михаил Михайлович Касьянов,ミハイル・カシヤノフ
Виктор Эйрихович Гаус,ヴィクトル・ガウス
Роман Сергеевич Зобнин,ロマン・ゾブニン
Ксения Чумичева,ゼニア・チュニチェヴァ
Фазиль Абдулович Искандер,ファジリ・イスカンデル
Лидия Корнеевна Чуковская,リージャ・チュコフスカヤ
Марис Арвидович Янсонс,マリス・ヤンソンス
Владимир Николаевич Воронин,ウラジーミル・ヴォローニン
Ольга Владимировна Бородина,オリガ・ボロディナ
Алексей Архипович Леонов,アレクセイ・レオーノフ
"Фёдорова, Лина Алексеевна",リーナ・フェードロワ
"Мирошкин, Максим Романович",マキシム・ミロシキン
Борис Вячеславович Грызлов,ボリス・グルイズロフ
Жорес Иванович Алфёров,ジョレス・アルフョーロフ
Алексей Алексеевич Абрикосов,アレクセイ・アブリコソフ
"Журавлёва, Людмила Васильевна",リュドミーラ・ジュラヴリョーワ
Доку Хаматович Умаров,ドク・ウマロフ
Людмила Стефановна Петрушевская,リュドミラ・ペトルシェフスカヤ
"Смехов, Вениамин Борисович",ベニアミン・スメックホーブ
"Петров, Алексей Александрович",アレクセイ・ペトロフ
Екатерина Владимировна Галкина,エカチェリーナ・ガールキナ
"Жаркова, Ольга Николаевна",オーリガ・ジャルコーヴァ
Ирина Викторовна Лобачёва,イリーナ・ロバチェワ
Евгений Васильевич Шевчук,エフゲニー・シェフチュク
Александр Геннадьевич Анюков,アレクサンドル・アニュコフ
Алексей Анатольевич Навальный,アレクセイ・ナワリヌイ
Олег Иванович Романцев,オレグ・ロマンツェフ
Геннадий Андреевич Зюганов,ゲンナジー・ジュガーノフ
Юрий Иванович Манин,ユーリ・マニン
Григорий Петрович Гельмерсен,グレゴール・フォン・ヘルメルゼン
Виктор Степанович Черномырдин,ヴィクトル・チェルノムイルジン
Николай Владимирович Давыденко,ニコライ・ダビデンコ
Теодор Курентзис,テオドール・クルレンツィス
Игорь Владимирович Денисов,イゴール・デニソフ
Константин Георгиевич Зырянов,コンスタンティン・ジリャノフ
Юрий Валентинович Жирков,ユーリ・ジルコフ
Галина Сергеевна Уланова,ガリーナ・ウラノワ
Сергей Иванов,セルゲイ・イワノフ
"Поветкин, Александр Владимирович",アレクサンデル・ポベトキン
Гарри Каспаров,ガルリ・カスパロフ
"Ткачёв, Александр Васильевич",アレクサンドル・トカチェフ
Заурбек Байсангуров,ザウルベック・バイサングロフ
Юрий Николаевич Озеров,ユーリー・オゼロフ
"Романов, Григорий Васильевич",グリゴリー・ロマノフ
Людмила Гурченко,リュドミラ・グルチェンコ
Борис Вадимович Березовский,ボリス・ベレゾフスキー
Юрий Михайлович Лужков,ユーリ・ルシコフ
Илья Львович Олейников,イラ・オレイニコフ
Динияр Ринатович Билялетдинов,ディニャル・ビリャレトディノフ
"Исаев, Мансур Мустафаевич",マンスール・イサエフ
"Пономарёв, Борис Николаевич",ボリス・ポノマリョフ
"Ставиский, Максим Евгеньевич",マキシム・スタビスキー
Анатолий Борисович Чубайс,アナトリー・チュバイス
Мария Владимировна Романова,マリヤ・ウラジーミロヴナ・ロマノヴァ
Бахтиёр Бабаджанович Худойназаров,バフティヤル・フドイナザーロフ
Сергей Злобин,セルゲイ・ズロービン
Алексей Рыбников,アレクセイ・リブニコフ
Александр Степанович Попов,アレクサンドル・ポポフ
Светлана Александровна Кузнецова,スヴェトラーナ・クズネツォワ
"Зайцев, Иван (волейболист)",イバン・ザイツェフ
Иван Николаевич Шаповалов,イワン・シャポワロフ
"Сёмин, Александр Валерьевич",アレクサンドル・セミン
Марлен Хуциев,マルレン・フツィエフ
"Широкорад, Александр Борисович",アレクサンドル・シロコラート
Сергей Александрович Белов,セルゲイ・ベロフ
Светлана Ходченкова,スヴェトラーナ・コドチェンコワ
Элла Александровна Диль,エラ・ディール
Дарья Донцова,ダリヤ・ドンツォヴァ
"Жуков, Михаил Сергеевич",ミハイル・ジューコフ
"Сажидов, Сажид Халилрахманович",サジド・サジドフ
Александр Александрович Карелин,アレクサンドル・カレリン
Изабелла Юрьева,イザベッラ・ユーリエワ
Дмитрий Александрович Пригов,ドミトリー・プリゴフ
Руслан Имранович Хасбулатов,ルスラン・ハズブラートフ
Владимир Вольфович Жириновский,ヴラジーミル・ジリノフスキー
Георгий Михайлович Гречко,ゲオルギー・グレチコ
Георгий Степанович Шонин,ゲオルギー・ショーニン
"Климук, Пётр Ильич",ピョートル・クリムク
Сергей Кужугетович Шойгу,セルゲイ・ショイグ
Евгения Максимовна Тарасова,エフゲーニヤ・タラソワ
Сергей Станишев,セルゲイ・スタニシェフ
Мария Витальевна Баликоева,マリア・ベルチェノワ
Михаил Сергеевич Горбачёв,ミハイル・ゴルバチョフ
Иван Петрович Рыбкин,イワン・ルイプキン
Олег Анатольевич Чиркунов,オレグ・チルクノフ
"Юничев, Харис Харисович",ハリス・ユニチェフ
"Кузнецов, Евгений Владимирович",エフゲニー・クズネツォフ
Николай Басков,ニコライ・バスコフ
"Горлукович, Сергей Вадимович",セルゲイ・ゴルルコヴィチ
Денис Александрович Лебедев,デニス・レベデフ
"Привалова, Ирина Анатольевна",イリーナ・プリワロワ
"Пантаева, Ирина Владленовна",イリナ・パンタエヴァ
Эдуард Аркадьевич Штейнберг,エドゥアール・スタインベルグ
Анастасия Андреевна Мыскина,アナスタシア・ミスキナ
Иван Фёдорович Добронравов,イヴァン・ドブロンラヴォフ
Ирина Муцуовна Хакамада,イリーナ・ハカマダ
Михаил Шуфутинский,ミハイル・シュフティンスキー
Керим Керимов,ケリム・ケリモフ
Юрий Валентинович Лончаков,ユーリ・ロンチャコフ
"Хорошев, Игорь Петрович",イゴール・コロシェフ
Роман Сергеевич Костомаров,ロマン・コストマロフ
"Ойстрах, Игорь Давидович",イーゴリ・オイストラフ
Сергей Борисович Иванов,セルゲイ・イワノフ
Руслан Султанович Аушев,ルスラン・アウシェフ
Рем Иванович Вяхирев,レム・ヴャヒレフ
Кирилл Юрьевич Лавров,キリール・ラヴロフ
"Китаенко, Дмитрий Георгиевич",ドミトリー・キタエンコ
Константин Рауш,コンスタンティン・ラウシュ
Юрий Яковлевич Арбачаков,勇利アルバチャコフ
Алексей Андреевич Бондарев,アレクセイ・ボンダレフ
Тимур Анатольевич Дибиров,ティムール・ディビロフ
Юрий Львович Авербах,ユーリ・アヴェルバッハ
Илья Валерьевич Ковальчук,イリヤ・コワルチュク
"Дреев, Алексей Сергеевич",アレクセイ・ドレエフ
"Волков, Сергей Валерьевич",セルゲイ・ボルコフ (スキー選手)
Людвиг Дмитриевич Фаддеев,ルドウィッグ・ファーデフ
Михаил Сергеевич Галустян,ミハイル・ガルスティアン
Наташа Королёва,ナターシャ・コロレワ
Игорь Владимирович Акинфеев,イゴール・アキンフェエフ
Михаил Сергеевич Боярский,ミハイル・ボヤルスキー
Дарья Владимировна Домрачева,ダリア・ドムラチェワ
Рене Фазель,ルネ・ファゼル
"Сырцов, Сергей Александрович",セルゲイ・シルツォフ
Майя Валентиновна Усова,マイア・ウソワ
"Савельева, Елена Владимировна",エレーナ・サヴェリエワ
Светлана Алексеевна Ганнушкина,スヴェトラーナ・ガヌシュキナ
Сергей Сергеевич Митрохин,セルゲイ・ミトロヒン
Сергей Адамович Ковалёв,セルゲイ・コヴァリョフ
Сергей Викторович Залётин,セルゲイ・ザリョーチン
Павел Александрович Соловьёв,パベル・ソルヴィヨーフ
Анатолий Наумович Рыбаков,"ルィバコフ, アナトーリー,"
Роман Николаевич Широков,ロマン・シロコフ
Вячеслав Александрович Малафеев,ヴィアチェスラフ・マラフェエフ
Борис Гребенщиков,ボリス・グレベンシコフ
"Ломанов, Сергей Иванович",セルゲイ・ロマノフ
Авет Тертерян,アーヴェト・テルテリャーン
Аниш Гири,アニッシュ・ギリ
"Погребняк, Павел Викторович",パヴェル・ポグレブニャク
Фёдор Владимирович Емельяненко,エメリヤーエンコ・ヒョードル
Юрий Михайлович Ковтун,ユーリー・コフトゥン
Анна Анатольевна Павлова,アンナ・パヴロワ
Александр Гельевич Дугин,アレクサンドル・ドゥーギン
"Дадонов, Евгений Анатольевич",エフゲニー・ダドノフ
"Смирнова, Людмила Станиславовна",リュドミラ・スミルノワ
"Тарасова, Ирина Ивановна",イリーナ・タラソワ
Виктор Фёдорович Аристов,ヴィクトル・アリストフ
Павел Оганезович Арсенов,パウェル・アルセノフ
Владимир Яковлевич Шаинский,ウラジミール・シャインスキー
Геннадий Николаевич Рождественский,ゲンナジー・ロジェストヴェンスキー
"Леско, Анна Степановна",アンナ・レスコ
Алла Сергеевна Демидова,アーラ・デミドワ
"Пластинина, Кира Сергеевна",キラ・プラスティーナ
Дмитрий Сергеевич Кириченко,ドミートリー・キリチェンコ
Ася Норис,アッシア・ノリス
"Уланова, Екатерина Вадимовна",エカテリーナ・ウラノワ
Екатерина Николаевна Голубева,カテリーナ・ゴルベワ
Владимир Антонович Ивашко,ウラジーミル・イワシコ
Григорий Бенционович Остер,グリゴリー・オステル
"Анисимова, Татьяна Михайловна",タチアナ・アニシモワ
"Ломанов, Сергей Сергеевич",セルゲイ・ロマノフ
Людмила Евгеньевна Белоусова,リュドミラ・ベルソワ
Леонид Васильевич Потапов,レオニード・ポタポフ
"Рябинкина, Ольга Сергеевна",オルガ・リャビンキナ
Владимир Александрович Рыжков,ウラジーミル・ルイシコフ
"Давыдов, Сергей Сергеевич",セルゲイ・ダヴィドフ
Хаджимурат Солтанович Гацалов,ハジムラト・ガツァロフ
Валентин Сергеевич Павлов,ヴァレンチン・パヴロフ
Ингеборга Дапкунайте,インゲボルガ・ダクネイト
Артём Вячеславович Овчаренко,アルチョム・オフチャレンコ
Ибрагим Гасанбекович Гасанбеков,イブラギム・ガサンベコフ
Владимир Всеволодович Крайнев,ウラジミール・クライネフ
Аркадий Аркадьевич Бабченко,アルカジー・バブチェンコ
"Сироткин, Сергей Олегович",セルゲイ・シロトキン
"Колмаков, Александр Петрович",アレクサンドル・コルマコフ
"Нелидов, Андрей Витальевич",アンドレイ・ネリドフ
Александр Анатольевич Кержаков,アレクサンドル・ケルジャコフ
Евгений Александрович Кафельников,エフゲニー・カフェルニコフ
Сергей Владимирович Михалков,セルゲイ・ミハルコフ
Юрий Владимирович Назаров,ユーリー・ナザロフ
Николай Александрович Анненков,ニコライ・アンネンコフ
"Кечинов, Валерий Викторович",ヴァレリー・ケチノフ
"Шатков, Геннадий Иванович",ゲンナジー・シャトコフ
"Меньшов, Константин Александрович",コンスタンチン・メンショフ
Владимир Александрович Котельников,ウラジーミル・コテルニコフ
"Альбиев, Ислам-Бека Саид-Цилимович",イスラム・アルビエフ
"Горчакова, Елена Егоровна",エレーナ・ゴルチャコワ
Анатолий Алексеевич Логунов,アナトリー・ログノフ
Алексей Владимирович Березуцкий,アレクセイ・ベレズツキー
Вячеслав Александрович Фетисов,ヴァチェスラフ・フェティソフ
Василий Александрович Стародубцев,ワシリー・スタロドゥプツェフ
"Петров, Иван Иванович",イヴァン・ペトロフ (バス歌手)
"Симонов, Михаил Петрович",ミハイル・シモノフ
Рамзан Кадыров,ラムザン・カディロフ
Валерия Савиных,バレリア・サビニク
"Букина, Екатерина Борисовна",エカテリーナ・ブキナ
Александр Александрович Богомолов,アレックス・ボゴモロフ・ジュニア
Рашид Маматкулович Рахимов,ラシード・ラヒモフ
Станислав Саламович Черчесов,スタニスラフ・チェルチェソフ
"Якунин, Владимир Иванович",ウラジーミル・ヤクーニン
"Софроницкая, Вивиана Владимировна",ヴィヴィアナ・ソフロニツキー
Ирина Андреевна Гордеева,イリーナ・ゴルデーワ
"Столбова, Ксения Андреевна",クセニヤ・ストルボワ
"Рябкина, Татьяна Юрьевна",タチアナ・リャブキナ
"Фок, Владимир Александрович",ヴラジーミル・フォック
Виталий Константинович Калоев,ヴィタリー・カロエフ
"Захарченко, Виталий Юрьевич",ヴィタリー・ザハルチェンコ
"Неёлов, Юрий Васильевич",ユーリ・ネヨーロフ
Григорий Алексеевич Явлинский,グリゴリー・ヤブリンスキー
Кристина Игоревна Асмус,クリスティーナ・アスマス
Татьяна Николаевна Овечкина,タチアナ・オビチキナ
"Подладчиков, Юрий Юрьевич",ユーリ・ポドラドチコフ
Дмитрий Викторович Харин,ドミトリー・ハーリン
Владимир Иванович Федосеев,ウラジーミル・フェドセーエフ
"Косарев, Александр Борисович",アレクサンドル・コサレフ
"Карелин, Павел Владимирович",パヴェル・カレリン
Арсен Сулейманович Фадзаев,アルセン・ファザエフ
Виктор Феликсович Вексельберг,ヴィクトル・ヴェクセリベルク
Александр Моисеевич Пятигорский,アレクサンドル・ピアティゴルスキー
Илья Владимирович Цымбаларь,イリヤ・ツィンバラル
"Климов, Фёдор Александрович",ヒョードル・クリモフ
"Остапенко, Олег Николаевич",オレグ・オスタペンコ
Владислав Юрьевич Сурков,ウラジスラフ・スルコフ
"Мельников, Александр Маркович",アレクサンドル・メルニコフ
"Ле Таллек, Дамьен",ダミアン・ル・タレク
Павел Владимирович Буре,パーヴェル・ブレ
"Скворцова, Вероника Игоревна",ヴェロニカ・スクヴォルツォワ
"Капустин, Николай Гиршевич",ニコライ・カプースチン
Николай Ефимович Андрианов,ニコライ・アンドリアノフ
"Анисимова, Вера Васильевна",ベラ・アニシモワ
"Маслакова, Людмила Ильинична",リュドミラ・マスラコワ
Роман Станиславович Адамов,ロマン・アダモフ
Сергей Николаевич Игнашевич,セルゲイ・イグナシェヴィッチ
Иван Иванович Бодюл,イワン・ボディウル
Наталья Владимировна Комарова,ナターリャ・コマロワ
Борис Вениаминович Гидаспов,ボリス・ギダスポフ
Юрий Сёмин,ユーリー・ショミン
Сергей Анатольевич Старостин,セルゲイ・スタロスティン
Максим Дмитриевич Шостакович,マクシム・ショスタコーヴィチ
"Скворцов, Александр Александрович",アレクサンドル・スクボルソフ
"Никитин, Александр Константинович",アレクサンダー・ニキティン
Юрий Бондарев,ユーリー・ボンダレフ
"Кондакова, Дарья Владимировна",ダリア・コンダコワ
"Назарова, Анна Сергеевна",アンナ・ナザロワ
Виктория Петровна Брежнева,ヴィクトーリヤ・ブレジネワ
"Саутин, Дмитрий Иванович",ドミトリー・サウティン
Рахим Русланович Чакхиев,ラヒム・チャムキエフ
Евгений Евгеньевич Коротышкин,エフゲニー・コロチシュキン
Андрей Владимирович Коваленко,アンドレイ・コヴァレンコ (ロシアのサッカー選手)
Владимир Львович Машков,ウラジミール・マシコフ
"Панченко, Юрий Петрович",ユーリー・パンチェンコ
Евгений Владимирович Макеев,エフゲニー・マケエフ
Сергей Чернецкий,セルゲイ・チェルネツキー
"Хайбулаев, Тагир Камалудинович",タギル・ハイブラエフ
Михаил Михайлович Южный,ミハイル・ユージニー
Георгий Тамазович Джикия,ゲオルギ・ジキヤ
Светлана Андреевна Светикова,スヴェトラーナ・スヴェティコワ
Владимир Евгеньевич Морозов,ウラジミール・モロゾフ
"Каспаров, Юрий Сергеевич",ユーリ・カスパロフ
Светлана Иосифовна Аллилуева,スヴェトラーナ・アリルーエワ
Михаил Сергеевич Восленский,ミハイル・ヴォスレンスキー
Евгений Валерьевич Алдонин,エフゲニ・アルドニン
Александр Ефимкин,アレクサンドル・エフィムキン
Михаил Александрович Евстафьев,ミハイル・エフスタフィフ
"Давыдова, Ирина Андреевна",イリーナ・ダヴィドワ
Мария Александровна Гессен,マーシャ・ゲッセン
Денис Галимзянов,デニス・ガリムジャノフ
Арсений Сергеевич Бондарев,アルセニー・ボンダレフ
Георгий Филиппович Байдуков,ゲオルギー・バイドゥコーフ
Руслан Каримович Нигматуллин,ルスラン・ニグマトゥーリン
"Мамонтов, Анатолий Васильевич",アナトリー・マモントフ
Георгий Михайлович Вицин,ゲオルギー・ヴィツィン
Сергей Карякин,セルゲイ・カヤキン
Егор Семёнович Строев,エゴール・ストローエフ
Юрий Оганесян,ユーリイ・オガネシアン
Василий Иванович Алексеев,ヴァシーリー・アレクセーイェフ
