Lionel Messi,リオネル・メッシ
Ferzan Özpetek,フェルザン・オズペテク
Antonio Pietrangeli,アントニオ・ピエトランジェリ
Giacomo Furia,ジャコモ・フリア
Oscar Luigi Scalfaro,オスカル・ルイージ・スカルファロ
Francesco Rosi,フランチェスコ・ロージ
Steno,ステーノ
Gianni Infantino,ジャンニ・インファンティーノ
Augusto Genina,アウグスト・ジェニーナ
Ugo Gregoretti,ウーゴ・グレゴレッティ
Marcello Sorce Keller,マルチェロ・ソルチェ・ケラー
Roberto Risso,ロベルト・リッソ
Franco Oppini,フランコ・オッピーニ
Gabriele Salvatores,ガブリエレ・サルヴァトレス
Ugo Tognazzi,ウーゴ・トニャッツィ
Cornelio Sommaruga,コルネリオ・ソマルガ
Joël Retornaz,ジョエル・ルトルナ
Giuseppe Saragat,ジュゼッペ・サーラガト
Ricardo Martinelli,リカルド・マルティネリ
Giulio Terzi di Sant'Agata,ジュリオ・テルツィ・ディ・サンターガタ
Elio Petri,エリオ・ペトリ
Giuseppe Tornatore,ジュゼッペ・トルナトーレ
Primo Nebiolo,プリモ・ネビオロ
Fabrizio Donato,ファブリツィオ・ドナート
Mario Bava,マリオ・バーヴァ
Liliana Cavani,リリアーナ・カヴァーニ
Martin Scorsese,マーティン・スコセッシ
Marcello Mastroianni,マルチェロ・マストロヤンニ
Giovanni Gronchi,ジョヴァンニ・グロンキ
Luigi Einaudi,ルイージ・エイナウディ
Giovanni Leone,ジョヴァンニ・レオーネ
Nino Farina,ジュゼッペ・ファリーナ
Salvatore Quasimodo,サルヴァトーレ・クァジモド
Luigi Zampa,ルイジ・ザンパ
Antonio Segni,アントニオ・セーニ
Gina Lollobrigida,ジーナ・ロロブリジーダ
Alberto Lattuada,アルベルト・ラットゥアーダ
Mauro Goicoechea,マウロ・ゴイコエチェア
Eugenio Montale,エウジェーニオ・モンターレ
Alberto Tomba,アルベルト・トンバ
Valentino Gasparella,ヴァレンティーノ・ガスパレッラ
Luciano Pavarotti,ルチアーノ・パヴァロッティ
Arnoldo Mondadori,アルノルド・モンダドーリ
Romano Prodi,ロマーノ・プローディ
Andrea Bocelli,アンドレア・ボチェッリ
Anna Magnani,アンナ・マニャーニ
Mario Soldati,マリオ・ソルダーティ
Danilo Gallinari,ダニーロ・ガリナリ
Ennio Antonelli,エンニオ・アントネッリ
Enrico De Nicola,エンリコ・デ・ニコラ
Carlo Clerici,カルロ・クレリーチ
Carlo De Benedetti,カルロ・デ・ベネデッティ
Ludovico Einaudi,ルドヴィコ・エイナウディ
Iván Piris,イバン・ピリス
Rocco Siffredi,ロッコ・シフレディ
Ermanno Wolf-Ferrari,エルマンノ・ヴォルフ＝フェラーリ
Andrea Segre,アンドレア・セグレ
Giuseppe Battiston,ジュゼッペ・バッティストン
Cesare Pavese,チェーザレ・パヴェーゼ
Luciano Liggio,ルチアーノ・リッジョ
Beatrice Weder di Mauro,ベアトリーチェ・ウェダー・ディ・マウロ
Michele Besso,ミケーレ・ベッソ
Lucas Piazón,グスタヴォ・ルーカス・ドミンゲス・ピアソン
Frank Farian,フランク・ファリアン
Filippo Inzaghi,フィリッポ・インザーギ
Anita Pallenberg,アニタ・パレンバーグ
Sophia Loren,ソフィア・ローレン
Giorgio Diritti,ジョルジョ・ディリッティ
Gabriel Heinze,ガブリエル・エインセ
Giorgio Francia,ジョルジオ・フランシア
Papa Giovanni Paolo I,ヨハネ・パウロ1世
Emanuele Filiberto di Savoia,エマヌエーレ・フィリベルト・ディ・サヴォイア
Marco Borriello,マルコ・ボリエッロ
Eugenio Calabi,エウジェニオ・カラビ
Sara Simeoni,サラ・シメオニ
Andrea Pirlo,アンドレア・ピルロ
Karl Felix Wolff,カール・フェリックス・ヴォルフ
Fabio Quagliarella,ファビオ・クアリャレッラ
Massimo Oddo,マッシモ・オッド
Gustav Thöni,グスタヴォ・トエニ
Deborah Compagnoni,デボラ・コンパニョーニ
Kei Cozzolino,ケイ・コッツォリーノ
Amauri,アマウリ・カルヴァーリョ・デ・オリヴェイラ
Nicola Amoruso,ニコラ・アモルーゾ
Paolo Di Canio,パオロ・ディ・カーニオ
Angelo Sodano,アンジェロ・ソダーノ
Pietro Mennea,ピエトロ・メンネア
Eddy Ottoz,エディ・オットツ
Giuseppe Olmo,ジュゼッペ・オルモ
Giorgio Pantano,ジョルジオ・パンターノ
Christian Abbiati,クリスティアン・アッビアーティ
Tiziano Terzani,ティツィアーノ・テルツァーニ
Alberto Ascari,アルベルト・アスカリ
Marcello Lippi,マルチェロ・リッピ
Giovanni Trapattoni,ジョバンニ・トラパットーニ
Alfredo Dinale,アルフレード・ディナーレ
Luciano Moggi,ルチアーノ・モッジ
Tarcisio Bertone,タルチジオ・ベルトーネ
Leo Franco,レオ・フランコ
Totò,トト (俳優)
Antonietta Di Martino,アントニエッタ・ディマルティーノ
Daniele Greco,ダニエレ・グレコ
Federico Fellini,フェデリコ・フェリーニ
Roberto Baggio,ロベルト・バッジョ
Papa Pio XII,ピウス12世
Roberta Bonanomi,ロベルタ・ボナノーミ
Desirée Rancatore,デジレ・ランカトーレ
Luis Durnwalder,ルイス・ドゥルンヴァルダー
Silvius Magnago,ジルヴィウス・マニャーゴ
Marco Terrazzino,マルコ・テラッツィーノ
Mario Balotelli,マリオ・バロテッリ
Alessandro Birindelli,アレッサンドロ・ビリンデッリ
Valentina Arrighetti,ヴァレンティナ・アリゲッティ
Matteo Darmian,マッテオ・ダルミアン
Giovanni Battista Re,ジョヴァンニ・バッティスタ・レ
Nek,ネク
Gabriele Detti,ガブリエレ・デッティ
Pietro Anastasi,ピエトロ・アナスタージ
Roberto Anzolin,ロベルト・アンツォリン
Savino Bellini,サヴィーノ・ベッリーニ
Marco Cassetti,マルコ・カッセッティ
Felice Borel,フェリーチェ・ボレル
Gae Aulenti,ガエ・アウレンティ
Parmigianino,パルミジャニーノ
Giampiero Boniperti,ジャンピエロ・ボニペルティ
Giampaolo Pozzo,ジャンパオロ・ポッツォ
Zucchero Fornaciari,ズッケロ
Romeo Benetti,ロメオ・ベネッティ
Beppe Grillo,ベッペ・グリッロ
Antonio Di Pietro,アントニオ・ディ・ピエトロ
Pier Luigi Bersani,ピエル・ルイジ・ベルサーニ
Romeo Bertini,ロメオ・ベルティーニ
Gianfranco Fini,ジャンフランコ・フィーニ
Renato Schifani,レナート・シファニ
Matteo Renzi,マッテオ・レンツィ
Agnolo Bronzino,アーニョロ・ブロンズィーノ
Livio Berruti,リビオ・ベルッティ
Valerio Arri,ヴァレリオ・アリ
Roberto Mancini,ロベルト・マンチーニ
José Altafini,ジョゼ・アルタフィーニ
Gundi Busch,ガンディ・ブッシュ
Roberta Vinci,ロベルタ・ビンチ
Petra Reski,ペトラ・レスキ
Silvio Berlusconi,シルヴィオ・ベルルスコーニ
Agostino Cacciavillan,アゴスティーノ・カッチャヴィラン
Raffaele Marciello,ラファエル・マルチェッロ
Marco Benassi,マルコ・ベナッシ
Luigi Bertolini,ルイージ・ベルトリーニ
Marco Cimatti,マルコ・チマッティ
Mario Monti,マリオ・モンティ
Umberto Bossi,ウンベルト・ボッシ
Manolo Gabbiadini,マノロ・ガッビアディーニ
Francesca Piccinini,フランチェスカ・ピッチニーニ
Maria Montessori,マリア・モンテッソーリ
Simone Collio,シモーネ・コリオ
Roberto Bettega,ロベルト・ベッテガ
Riccardo Cassin,リッカルド・カシン
Fabio Cannavaro,ファビオ・カンナヴァーロ
Julio Hernán Rossi,フリオ・エルナン・ロッシ
Marco Di Vaio,マルコ・ディ・ヴァイオ
Fabrizio Miccoli,ファブリツィオ・ミッコリ
Papa Benedetto XVI,ベネディクト16世
Andrea Riccardi,アンドレア・リッカルディ
Kaspar Capparoni,カスパー・カパローニ
Bernardino Luini,ベルナルディーノ・ルイーニ
Enrico Fermi,エンリコ・フェルミ
Giovanna Mezzogiorno,ジョヴァンナ・メッツォジョルノ
Vittorio Mezzogiorno,ヴィットーリオ・メッツォジョルノ
Sergio Brio,セルジオ・ブリオ
Ilona Staller,シュターッレル・イロナ
Emma Bonino,エンマ・ボニーノ
Massimo D'Alema,マッシモ・ダレマ
Marco Pannella,マルコ・パンネッラ
Gianfranco Zola,ジャンフランコ・ゾラ
Renato Corsetti,レナート・コルセッティ
Riccardo Scamarcio,リッカルド・スカマルチョ
Antonio Cabrini,アントニオ・カブリーニ
Gianluigi Buffon,ジャンルイジ・ブッフォン
Marino Moretti,マリノ・モレッティ
Giorgio Manganelli,ジョルジョ・マンガネッリ
Giuseppe Gabrielli,ジュゼッペ・ガブリエッリ
Pippo Baudo,ピッポ・バウド
Zita di Borbone-Parma,ツィタ・フォン・ブルボン＝パルマ
Anton Malloth,アントン・マロット
Pino Presti,ピーノ・プレスティ
Lola Pagnani,ローラ・パニーニ
papa Paolo VI,パウロ6世
Assunta Legnante,アスンタ・レニャンテ
Hugo Pratt,ウーゴ・プラット
Alberto Sordi,アルベルト・ソルディ
Margherita Hack,マルゲリータ・アック
Alex Schwazer,アレックス・シュバーツァー
Arturo Martini,アルトゥロ・マルティーニ
Frank Capra,フランク・キャプラ
Stephan El Shaarawy,ステファン・エル・シャーラウィ
Edoardo Anton,エドアルド・アントン
Annibale Bergonzoli,アニベール・ベルゴンゾリ
Yves Montand,イヴ・モンタン
Umberto Eco,ウンベルト・エーコ
Giulietta Masina,ジュリエッタ・マシーナ
Sepp Kerschbaumer,セップ・ケルシュバウマー
Ettore Sottsass,エットレ・ソットサス
Monica Vitti,モニカ・ヴィッティ
Silvana Mangano,シルヴァーナ・マンガーノ
Duccio di Buoninsegna,ドゥッチョ・ディ・ブオニンセーニャ
Vasco Rossi,ヴァスコ・ロッシ
Paolo Nespoli,パオロ・ネスポリ
Arturo Toscanini,アルトゥーロ・トスカニーニ
Luchino Visconti,ルキノ・ヴィスコンティ
Isa Pola,イザ・ポーラ
Andrea Agnelli,アンドレア・アニェッリ
Tommaso Rocchi,トンマーゾ・ロッキ
Carlo Ludovico Bragaglia,カルロ・ルドヴィコ・ブラガリア
Giuliano Razzoli,ジュリアーノ・ラッツォーリ
Pietro Germi,ピエトロ・ジェルミ
Virna Lisi,ヴィルナ・リージ
Roberto Rossellini,ロベルト・ロッセリーニ
Vittorio De Sica,ヴィットリオ・デ・シーカ
Mariangela Melato,マリアンジェラ・メラート
Alida Valli,アリダ・ヴァリ
Alessandro Blasetti,アレッサンドロ・ブラゼッティ
Elsa Albani,エルサ・アルバーニ
Carlo Scarpa,カルロ・スカルパ
Mauro Bolognini,マウロ・ボロニーニ
Marco Bellocchio,マルコ・ベロッキオ
Bernardo Bertolucci,ベルナルド・ベルトルッチ
Edmond Fischer,エドモンド・フィッシャー
Andrea Barzagli,アンドレア・バルツァッリ
Giovanna Ralli,ジョヴァンナ・ラリ
Anna Maria Pierangeli,ピア・アンジェリ
Mauro Icardi,マウロ・イカルディ
Antonio Langella,アントニオ・ランジェッラ
Maria Eisner,マリア・アイスナー
Giulio Andreotti,ジュリオ・アンドレオッティ
Stefano Mauri,ステファノ・マウリ
Giuseppe Sinopoli,ジュゼッペ・シノーポリ
Gaetano Martino,ガエターノ・マルティーノ
Kengiro Azuma,吾妻兼治郎
Claudio Pizarro,クラウディオ・ピサーロ
Renato Dulbecco,レナート・ドゥルベッコ
Luigi Dallapiccola,ルイージ・ダッラピッコラ
Damiano Cunego,ダミアーノ・クネゴ
Gillo Pontecorvo,ジッロ・ポンテコルヴォ
Dino Risi,ディーノ・リージ
Paolo Genovese,パオロ・ジェノヴェーゼ
Umberto Maglioli,ウンベルト・マグリオーリ
Franco Margola,フランコ・マルゴーラ
Claudia Cardinale,クラウディア・カルディナーレ
Enzo Maresca,エンツォ・マレスカ
Abdul Rahman,アブドル・ラフマン (キリスト教改宗者)
Lydia Alfonsi,リディア・アルフォンシ
Alfredo Binda,アルフレッド・ビンダ
Masolino da Panicale,マゾリーノ
Roberto Benigni,ロベルト・ベニーニ
Ermanno Olmi,エルマンノ・オルミ
Papa Giovanni XXIII,ヨハネ23世
Ennio Morricone,エンニオ・モリコーネ
Francesco De Gregori,フランチェスコ・デ・グレゴーリ
Mario Monicelli,マリオ・モニチェッリ
Giuliano Montaldo,ジュリアーノ・モンタルド
Alberto Paloschi,アルベルト・パロスキ
Giorgio Rocca,ジョルジョ・ロッカ
Alfred Duncan,アルフレド・ドゥンカン
Carmine Gallone,カルミネ・ガローネ
Nanni Loy,ナンニ・ロイ
Raffaello Matarazzo,ラファエッロ・マタラッツォ
Marco Mariani,マルコ・マリアーニ
Ildebrando D'Arcangelo,イルデブランド・ダルカンジェロ
Peppino Garibaldi,ペピーノ・ガリバルディ
Vittorio Emanuele III di Savoia,ヴィットーリオ・エマヌエーレ3世
Mario Camerini,マリオ・カメリーニ
Luigi Comencini,ルイージ・コメンチーニ
Riccardo Burchielli,リッカルド・ベルキエリ
Matteo Manassero,マッテオ・マナセロ
Cecilia Bartoli,チェチーリア・バルトリ
Francesco Totti,フランチェスコ・トッティ
Claudio Abbado,クラウディオ・アバド
Oriana Fallaci,オリアーナ・ファラーチ
Gian Maria Volonté,ジャン・マリア・ヴォロンテ
Leonardo Sciascia,レオナルド・シャーシャ
Arturo Benedetti Michelangeli,アルトゥーロ・ベネデッティ・ミケランジェリ
Carlo Maria Martini,カルロ・マリア・マルティーニ
Abele Blanc,アベーレ・ブラン
Ivan Santaromita,イヴァン・サンタロミータ
Eros Ramazzotti,エロス・ラマゾッティ
Giuseppe De Santis,ジュゼッペ・デ・サンティス
Stefano Fiore,ステファノ・フィオーレ
Poggio Bracciolini,ポッジョ・ブラッチョリーニ
Franco Battiato,フランコ・バッティアート
Angelo Branduardi,アンジェロ・ブランドゥアルディ
Andrea Stramaccioni,アンドレア・ストラマッチョーニ
Potito Starace,ポティート・スタラーチェ
Luca Castellazzi,ルカ・カステラッツィ
Giorgio Bassani,ジョルジョ・バッサーニ
Danilo Di Luca,ダニーロ・ディルーカ
Filippa Giordano,フィリッパ・ジョルダーノ
Romano Mussolini,ロマーノ・ムッソリーニ
Cristian Zaccardo,クリスティアン・ザッカルド
Claudia Testoni,クラウディア・テストニ
Giovanni Antonini,ジョヴァンニ・アントニーニ
Gibba,ギバ
Daniel Bovet,ダニエル・ボベット
Riccardo Montolivo,リッカルド・モントリーヴォ
Nanni Moretti,ナンニ・モレッティ
Fabrizio De André,ファブリツィオ・デ・アンドレ
Pier Paolo Pasolini,ピエル・パオロ・パゾリーニ
Gian Francesco Malipiero,ジャン・フランチェスコ・マリピエロ
Rodolfo Graziani,ロドルフォ・グラッツィアーニ
Emilio Gabba,エミーリオ・ガッバ
Vanessa Beecroft,ヴァネッサ・ビークロフト
Tullio Campagnolo,トゥーリョ・カンパニョーロ
Cesare Musatti,チェーザレ・ムザッティ
Enzo Mari,エンツォ・マーリ
Marco Ferreri,マルコ・フェレーリ
Gianluca Pessotto,ジャンルカ・ペッソット
Fiordaliso,フィオルダリソ
Dario Argento,ダリオ・アルジェント
Guido Brignone,グイド・ブリニョーネ
Silvia Dionisio,シルヴィア・ディオニシオ
Mauro Maur,マウロ・マウル
Alcide De Gasperi,アルチーデ・デ・ガスペリ
Gianni Morandi,ジャンニ・モランディ
Walter Veltroni,ワルテル・ヴェルトローニ
Andreas Seppi,アンドレアス・セッピ
Antonio Conte,アントニオ・コンテ
Carlo Mattogno,カルロ・マットーニョ
Vittorio Pozzo,ヴィットーリオ・ポッツォ
Caparezza,カパレッツァ
Fabio Fazio,ファビオ・ファツィオ
Italo Calvino,イタロ・カルヴィーノ
Antonio Climati,アントニオ・クリマティ
Marco De Luca,マルコ・デ・ルカ
Arisa,アリーザ (イタリアの歌手)
Giuseppe Giannini,ジュゼッペ・ジャンニーニ
Manuele Blasi,マヌエレ・ブラージ
Livia Turco,リウィア・トゥルコ
Franco Zuculini,フランコ・スクリーニ
Pablo Piatti,パブロ・ピアッティ
Luca Lombardi,ルカ・ロンバルディ
"Arthur Wellesley, VIII duca di Wellington",アーサー・ウェルズリー
Roberto Saviano,ロベルト・サビアーノ
Angiolo Mazzoni,アンジョロ・マッツォーニ
Antonella Lualdi,アントネッラ・ルアルディ
Carlo Bergonzi,カルロ・ベルゴンツィ
Francesco Rutelli,フランチェスコ・ルテッリ
Frank Serpico,フランク・セルピコ
Massimo Gobbi,マッシモ・ゴッビ
Giordano Bellincampi,ジョルダーノ・ベリンカンピ
Marcello Baldi,マルチェロ・バルディ
Mazzino Montinari,マッツィーノ・モンティナーリ
Angelino Alfano,アンジェリーノ・アルファノ
Andrea Bosic,アンドレア・ボシック
Dario Dainelli,ダリオ・ダイネッリ
Angelo Amato,アンジェロ・アマート
Aldo Rossi,アルド・ロッシ
Giuseppe Piccioni,ジュゼッペ・ピッチョーニ
Giuseppe Capogrossi,ジュゼッペ・カポグロッシ
Giuseppe Pella,ジュゼッペ・ペッラ
Monika Hauser,モニカ・ハウザー
Primo Levi,プリーモ・レーヴィ
Lorenzo Monaco,ロレンツォ・モナコ
Gino Bartali,ジーノ・バルタリ
Michael Bublé,マイケル・ブーブレ
Patrizia Toia,パトリツィア・トイア
Giorgio de Chirico,ジョルジョ・デ・キリコ
Renzo Montagnani,レンツォ・モンタニャーニ
Angelo Grimaldi,アンジェロ・グリマルディ
Annarita Sidoti,アナリタ・シドチ
Melissa Panarello,メリッサ・パナレロ
Beniamino Gigli,ベニャミーノ・ジーリ
Luigi Durand de la Penne,ルイージ・デュランド・デッラ・ペンネ
Gina Cigna,ジーナ・チーニャ
Achille Campanile,アキーレ・カンパニーレ
Angelo Conterno,アンジェロ・コンテルノ
Tim Parks,ティム・パークス
Raniero Panzieri,ラニエロ・パンツィエリ
Giorgio Armani,ジョルジオ・アルマーニ
Gianni Vattimo,ジャンニ・ヴァッティモ
Bruna Genovese,ブルーナ・ジェノベーゼ
Franco Amurri,フランコ・アムリ
Danny Quinn,ダニー・クイン
Felix Silla,フェリックス・シラ
Carlo Lizzani,カルロ・リッツァーニ
Mariano Laurenti,マリアーノ・ラウレンティ
Peter Martell,ピーター・マーテル
Vittorio Adorni,ヴィットリオ・アドルニ
Giovanna Trillini,ジョヴァンナ・トリッリーニ
Mario Siciliano,マリオ・シシリアーノ
Franco Evangelisti,フランコ・エヴァンジェリスティ
Angelo Mascheroni,アンジェロ・マスケローニ
Andrea Dotti,アンドレア・ドッティ
Bobby Solo,ボビー・ソロ
Angelo Dibona,アンジェロ・ディボーナ
Maurizio Bianchi,マウリツィオ・ビアンキ
Gian Lorenzo Bernini,ジャン・ロレンツォ・ベルニーニ
Rita Borsellino,リタ・ボルセッリーノ
Leonardo Piepoli,レオナルド・ピエポリ
Angelo Iacono,アンジェロ・イアコノ
Angelo Longoni,アンジェロ・ロンゴーニ
Maurizio Pollini,マウリツィオ・ポリーニ
Hernán Crespo,エルナン・クレスポ
Francesco de Masi,フランチェスコ・デ・マージ
Domenico Pozzovivo,ドメニコ・ポッツォヴィーヴォ
Aldo Maldera,アルド・マルデラ
Gennaro Righelli,ジェンナロ・リゲッリ
Alberto Moravia,アルベルト・モラヴィア
Luigi Nono,ルイジ・ノーノ
Elsa Respighi,エルザ・レスピーギ
Fabio Baldato,ファビオ・バルダート
Anselmo Colzani,アンセルモ・コルツァーニ
Pietro Accardi,ピエトロ・アッカルディ
Vito Genovese,ヴィト・ジェノヴェーゼ
Angelo Damiano,アンジェロ・ダミアーノ
Verena Stuffer,ヴェレーナ・スタッファー
Gennaro Scognamiglio,ジェンナーロ・スコニャミーリョ
Lorenzo Patanè,ロレンツォ・パタン
Frank Horvat,フランク・ホーヴァット
Lucia Aliberti,ルチア・アリベルティ
Luciano Tajoli,ルチアーノ・タヨーリ
Giovanni Lanfranco,ジョヴァンニ・ランフランコ
Gloria Guida,グロリア・グイダ
Maria Chiara,マリア・キアーラ
Maurizio Damilano,マウリツイオ・ダミラノ
Giuseppe Gibilisco,ジュゼッペ・ジビリスコ
Virgilio Mortari,ヴィルジリオ・モルターリ
Christian Pescatori,クリスチャン・ペスカトリ
Javier Mascherano,ハビエル・マスチェラーノ
Angelo Varetto,アンジェロ・ヴァレット
Roberto Vittori,ロベルト・ヴィットーリ
Yvonne Sciò,イヴォンヌ・シオ
Alvaro Mancori,アルヴァロ・マンコーリ
Sandro Salvadore,サンドロ・サルヴァドーレ
Sonia Gandhi,ソニア・ガンディー
Goffredo Lombardo,ゴッフレード・ロンバルド
Nunzio Malasomma,ヌンチオ・マラソンマ
Aldo Nadi,アルド・ナディ
Dario Cataldo,ダリオ・カタルド
Enrico Berlinguer,エンリコ・ベルリンゲル
Filippo Zappata,フィリッポ・ザパタ
Jonas Gonçalves Oliveira,ジョナス・ゴンサウヴェス・オリヴェイラ
Domenico Morfeo,ドメニコ・モルフェオ
Urbano Lazzaro,ウルバーノ・ラッザロ
Paolo Maffei,パオロ・マフェイ
Primo Carnera,プリモ・カルネラ
Giuseppe Pittau,ヨゼフ・ピタウ
Giovanni Papini,ジョヴァンニ・パピーニ
Remo Giazotto,レモ・ジャゾット
Clemente Gaddi,クレメンテ・ガッディ
Domenico Cavagnari,ドメニコ・カヴァニャーリ
Massimo Girotti,マッシモ・ジロッティ
Colin Firth,コリン・ファース
Marta Bastianelli,マルタ・バスティアネッリ
Sydne Rome,シドニー・ローム
Giampiero Pinzi,ジャンピエロ・ピンツィ
Francesco Acerbi,フランチェスコ・アチェルビ
Mario Roatta,マリオ・ロアッタ
Uli Forte,ウリ・フォルテ
Rosalba Neri,ロザルバ・ネリ
Pietro Martire d'Anghiera,ピエトロ・マルティーレ・ダンギエーラ
Giuditta Rissone,ジュデッタ・リッソーネ
Franco Diogene,フランコ・ディオジェーネ
Ivan Goi,イヴァン・ゴイ
Anna Unterberger,アナ・ウンテルベルゲル
Sandra Ceccarelli,サンドラ・チェカレッリ
Ruggero Mastroianni,ルッジェロ・マストロヤンニ
Libero Tresoldi,リベロ・トレソルディ
Roberto Boninsegna,ロベルト・ボニンセーニャ
Sergio Leone,セルジオ・レオーネ
Indro Montanelli,インドロ・モンタネッリ
Barbara Frittoli,バーバラ・フリットーリ
Edoardo Ponti,エドアルド・ポンティ
Eva Mei,エヴァ・メイ
Alessandro Cicognini,アレッサンドロ・チコニーニ
Guido Fibbia,グイード・フィッビア
Gianfranco Ravasi,ジャンフランコ・ラヴァージ
Giuseppe Furino,ジュゼッペ・フリーノ
Italo Gariboldi,イータロ・ガリボルディ
Clara Calamai,クララ・カラマイ
Elisa,エリーザ
Giada De Laurentiis,ジャーダ・デ・ラウレンティス
Alessandro Bertolini,アレッサンドロ・ベルトリーニ
Carlo Cassola,カルロ・カッソーラ
Paulo Dybala,パウロ・ディバラ
Ercole Baldini,エルコーレ・バルディーニ
Guido De Angelis,グイド&マウリツィオ・デ・アンジェリス
Leonardo Bertagnolli,レオナルド・ベルタニョッリ
Cristina Comencini,クリスチナ・コメンチーニ
Ilaria Occhini,イラリア・オッキーニ
Paola Pigni,パオラ・ピニ
Antonio Benarrivo,アントニオ・ベナリーヴォ
Roberto Calderoli,ロベルト・カルデロリ
Salvatore Pappalardo,サルヴァトーレ・パッパラルド
Angelo d'Arrigo,アンジェロ・ダリーゴ
Lucio Dalla,ルーチョ・ダッラ
Éder,エデル・チタディン・マルティンス
Ignazio Silone,イニャツィオ・シローネ
Ida Galli,イーダ・ガッリ
Amadeo Bordiga,アマデーオ・ボルディーガ
Benedetto Pistrucci,ベネデット・ピストルッチ
Mike Bongiorno,マイク・ボンジョールノ
Stefano Borgonovo,ステファノ・ボルゴノーヴォ
Carlo Maratta,カルロ・マラッタ
Giuseppina Leone,ジュゼッピーナ・レオーネ
Marina Berti,マリナ・ベルティ
Erika Blanc,エリカ・ブラン
Johnny Dundee,ジョニー・ダンディー
Edinson Cavani,エディンソン・カバーニ
Duilio Loi,デュリオ・ロイ
Moreno Argentin,モレノ・アルゼンティン
Franco Selvaggi,フランコ・セルヴァッジ
Leo Nucci,レオ・ヌッチ
Pietro Nenni,ピエトロ・ネンニ
Luciano Rossi,ルチアーノ・ロッシ
Frank Costello,フランク・コステロ
Emma Gramatica,エマ・グラマティカ
Luigi Marchisio,ルイジ・マルキジオ
Arturo Di Napoli,アルツゥロ・ディ・ナポリ
Kaká,カカ
Lorenzo Stovini,ロレンツォ・ストヴィーニ
Antonio Di Natale,アントニオ・ディ・ナターレ
Domenico Siniscalco,ドメニコ・シニスカルコ
Jasmine Trinca,ジャスミン・トリンカ
Alba Parietti,アルバ・パリエッティ
Amedeo di Savoia-Aosta,アメデーオ・ディ・サヴォイア＝アオスタ
Luigi Ferdinando Tagliavini,ルイジ・フェルディナンド・タリアヴィーニ
Marco Di Loreto,マルコ・ディ・ロレート
Christian Panucci,クリスティアン・パヌッチ
Dario Ambrosini,ダリオ・アンブロジーニ
Simone Del Nero,シモーネ・デル・ネロ
Ezio Frigerio,エジオ・フリジェリオ
Giovanni Volpi,ジョヴァンニ・ヴォルピ
Elio Sgreccia,エリオ・スグレッチャ
Paolo Pulici,パオロ・プリーチ
Carlo Carrà,カルロ・カッラ
Daniele De Rossi,ダニエレ・デ・ロッシ
Leonardo Fioravanti,レオナルド・フィオラヴァンティ
