Polska,波蘭
Marszałek Sejmu Rzeczypospolitej Polskiej,眾議院議長 (波蘭)
Skierniewice,斯凱爾涅維采
Golczewo,戈爾切夫
Świebodzin,希维博津
Wolbórz,沃爾博日
Świebodzice,希維博濟采
Orzysz,奥日什乡
Pszczyna,普什奇纳乡
Śniardwy,希尼亞爾德維湖
Śrem,希雷姆
Świdnica,希维德尼察
Świdwin,希維德溫
Siemiatycze,謝米亞蒂切
Pyrzyce,佩日采
Duszniki,杜什尼基乡
Zgierz,兹盖日
Pomorze,波美拉尼亞
powiat pucki,普茨克縣
Ogród Zoologiczny w Opolu,奧波列動物園
Miejski Ogród Zoologiczny w Warszawie,华沙动物园
Terespol,泰雷斯波爾
Bytom,比托姆
Kielce,凯尔采
Polskie Stronnictwo Ludowe,波蘭人民黨
Dzwon Zygmunt,齊格蒙特鐘
Świątki,希维翁特基
Ministerstwo Spraw Zagranicznych,波蘭外交部
Wadowice,瓦多維采
Stoczek Łukowski,武庫夫地區斯托切克
Kamienna Góra,卡缅纳古拉
Lwówek Śląski,希隆斯克地區勒武韋克
Gdańsk Oliwa,格但斯克奧利瓦車站
Sea Towers,海洋塔
powiat rybnicki,里布尼克縣
Podągi,波东吉
Rzgów,日古夫
Elbląg,埃爾布隆格
powiat raciborski,拉齊布日縣
Działoszyce,贾沃希采乡
Wielkopolski Park Narodowy,大波蘭國家公園
Myszyniec,梅希涅茨
Dorohusk,多罗胡斯克
Małogoszcz,馬沃戈什奇
Świecko,希维克
Świekatowo,斯维卡托沃
Radom,拉多姆
Chorzów,霍茹夫
Płock,普沃茨克
Waza z Bronocic,布罗诺奇采陶器
Baborów,巴博魯夫
Gorzów Wielkopolski,大波蘭地區戈茹夫
Mistrzostwa Europy w Piłce Nożnej 2012/Grupa A,2012年欧洲足球锦标赛A组
Pałacyk Cukrowników,糖宮
Zabrze,扎布热
Wisłoka,維斯沃卡河
Suwałki,苏瓦乌基
Świeradów-Zdrój,希維拉杜夫-茲德魯伊
Extreme Sports Channel,極限體育頻道
Świętokrzyski Park Narodowy,聖十字國家公園
Świętoszów,斯威陶佐夫
Manifest PKWN,PKWN宣言
Gliwice,格利维采
Niemcza,涅姆恰
Osiek,奧謝克
Dąbie,栋别乡
Agencja Bezpieczeństwa Wewnętrznego,内部安全局
Mistrzostwa Europy w Piłce Nożnej 2012/Faza pucharowa,2012年歐洲國家盃淘汰賽
Grójec,格魯耶茨
Zielona Góra,綠山城
Łarpia,瓦爾皮亞河
Słupsk,斯武普斯克
Kalwaria Zebrzydowska,卡爾瓦里亞-澤布日多夫斯卡
zestaw głośnikowy,揚聲器箱
Mistrzostwa Świata w Biegach Przełajowych 2013,2013年世界越野錦標賽
Widzew Łódź,羅茲維澤夫足球俱樂部
Stargard,什切青旧城
Kościół Imienia Jezus we Wrocławiu,耶稣圣名堂 (弗罗茨瓦夫)
trasa europejska,欧洲高速公路
Żelazowa Wola,熱拉佐瓦沃拉
Zamach 20 lipca,7月20日密谋案
Rada Pomocy Żydom,热戈塔
powiat tucholski,圖霍拉縣
Żarów,扎魯夫
powiat sępoleński,森普爾諾縣
Legnica,萊格尼察
Babia Góra,巴比亞山
Wybory parlamentarne w Polsce w 1952 roku,1952年波兰议会选举
Jastrzębie-Zdrój,亞斯琴別-茲德魯伊
Pogrom kielecki,凯尔采反犹骚乱
Lubin,盧賓
Województwo krakowskie,克拉科夫省
Szlak bursztynowy,琥珀之路
Chełm,海乌姆
Nowy Targ,新塔爾格
Synagoga Wysoka w Krakowie,高猶太會堂 (克拉科夫)
Tarnów,塔爾努夫
Głusk,格武斯克乡
Most Świętokrzyski,聖十字橋
Strzegom,斯切戈姆
Polkowice,波爾科維采
Sosnowiec,索斯诺维茨
Opatów,奥帕图夫乡
Żory,若雷
Żelechów,熱萊胡夫
Ząbki,宗布基
Wojska Lądowe,波蘭陸軍司令部
Włocławek,弗沃茨瓦韦克
Bielsko-Biała,别尔斯科-比亚瓦
Radiostacja gliwicka,格利維采無線電塔
Nowa Ruda,新魯達
Organizacja Wojskowa Związek Jaszczurczy,军事组织蜥蜴联盟
Jezioro Żywieckie,日維茨湖
Żółkiewka,茹乌凯夫卡乡
trasa europejska E36,欧洲E36公路
powiat,县
Stadion Śląski,Stadion Śląski
Żabno,扎布諾
Kołobrzeg,科沃布热格
Olecko,奥莱茨科乡
Włoszczowa,弗沃什乔瓦乡
Rybnik,雷布尼克
TVP3,波蘭電視台第三台
Pawiak,帕夫亚克
Gęsiówka,鹅街监狱
Łowicz,沃維奇
Wałbrzych,瓦烏布日赫
Sąd Najwyższy,波蘭最高法院
Dąbrowa Górnicza,栋布罗瓦古尔尼恰
Ruda Śląska,鲁达希隆斯卡
Ząbkowice Śląskie,希隆斯克地區宗布科維采
Szczecin Główny,斯塞新火車總站
Oxford Tower,牛津塔
Biała,比亞瓦普魯德尼茨卡
Matczyn,马特岑
Złotów,茲沃圖夫
Złoty Stok,茲沃蒂斯托克
Tramwaje w Warszawie,華沙路面電車
Lubań,盧班
Stary Cmentarz Żydowski we Wrocławiu,弗罗茨瓦夫旧犹太墓园
Podhale,波德哈列文化區
Agencja Wywiadu,外国情报局
Żuromin,茹羅明
Żubrówka,野牛草伏特加
Stryków,斯特雷庫夫
Konkurs Eurowizji dla Młodych Tancerzy 2013,2013年歐洲青年舞蹈家大賽
powiat giżycki,吉日茨科縣
Jędrzejów,延傑尤夫
Żychlin,日赫林
Żmigród,日米格魯德
Złota 44,茲沃塔 44
Złoczew,茲沃切夫
Złote Tarasy,金色梯田
Nowy Tomyśl,新托梅希尔乡
Żerków,熱爾庫夫
Przytyk,普拉佐圖克
Żyrardów,日拉爾杜夫
Flis,木材漂流
Woźniki,沃伊尼基
Województwo zamojskie,扎莫希奇省
Łosośna,拉索斯納河
archidiecezja warszawska,天主教华沙总教区
Frombork,弗龙堡乡
powiat staszowski,斯塔舒夫縣
Jelcz,Jelcz
powiat pińczowski,平丘夫縣
Ty4,德国BR44型蒸汽机车
Buk,布克乡
Kaźmierz,卡伊梅日乡
Dziecinów,尼奇諾夫
Polskie Zakłady Lotnicze,波蘭航空廠
Polanica-Zdrój,波蘭尼卡-茲德魯伊
Polskie Koleje Państwowe,波兰国家铁路
Sochaczew,索哈契夫
Złocieniec,茲沃切涅茨
Pałac Opatów w Oliwie,修道院長宮
Brama Żuraw w Gdańsku,格但斯克起重机
Wronki,格米納弗龍基
Mistrzostwa Świata w Szermierce 1963,1963年世界击剑锦标赛
Błażowa,布瓦若瓦
Willa Caro,卡羅大宅
złoty,波兰兹罗提
powiat hrubieszowski,赫魯別舒夫縣
Kędzierzyn-Koźle,肯傑任科茲萊
Diecezja świdnicka,天主教希维德尼察教区
Bogatynia,博加蒂尼亞
Tuszyn,圖申
Wdzydze,弗濟澤湖
International Journal of Applied Mathematics and Computer Science,AMCS
Koluszki,科卢什基
Busko-Zdrój,布斯科茲德魯伊
Wielonarodowy Korpus Północno-Wschodni,東北多國部隊
Telewizja Polska,波蘭電視台
powiat kolneński,科爾諾縣
powidła,波維多爾
powiat żuromiński,茹羅明縣
stosunki polsko-węgierskie,匈牙利－波兰关系
Babiogórski Park Narodowy,巴比亞山國家公園
Kopiec Wandy,万达丘
Podkowa Leśna,波德科瓦萊希納
Koziegłowy,科傑格沃維
powiat pszczyński,普什奇納縣
Bezledy,贝兹莱德
Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie,约瑟夫·毕苏茨基体育大学
Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,马泰依科美术学院
Akademia Sztuk Pięknych w Warszawie,華沙美術學院
Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,AGH科技大学
Akademia Obrony Narodowej,華沙國防大學
Akcja Wyborcza Solidarność,團結工聯選舉行動
Grudziądz,格魯瓊茲
powiat gliwicki,格利維采縣
Pilica,比利卡
powiat mogileński,莫吉爾諾縣
Nowy Dwór Gdański,格但斯克新莊園
Dobra,多布拉
Komunistyczna Partia Polski,波兰共产党
Województwo szczecińskie,什切青省
powiat tomaszowski,馬佐夫舍地區托馬舒夫縣
Wisła,維斯瓦
Kościół św. Barbary w Krakowie,聖巴巴拉堂 (克拉科夫)
autostrada A4,A4高速公路
autostrada A6,A6高速公路
autostrada A8,A8高速公路
Żoliborz,若利博日区
Milanówek,米拉努韋克
Gostyń,戈斯滕
Bieszczady,別什查第
Śląsk Cieszyński,切申西里西亚
Kłecko,克列茨科乡
powiat gostyński,戈斯滕縣
powiat grodziski,大波蘭地區格羅濟斯克縣
powiat jarociński,亞羅欽縣
powiat kaliski,卡利什縣
Radziwiłłowie,拉齐维乌家族
Żarnowiec,札爾諾維茨
powiat kolski,科沃縣
Nowe Miasteczko,新米亞斯泰奇科
Błonie,布沃涅
Skępe,斯肯佩
Miastko,米亞斯特科
Stadion im. Ernesta Pohla,爾尼斯特-波爾體育場
Karpacz,卡爾帕奇
Pomnik Bohaterów Getta w Warszawie,隔都英雄纪念碑
Muzeum Historii Żydów Polskich w Warszawie,波蘭猶太人歷史博物館
autostrada A1,A1高速公路
powiat leszczyński,萊什諾縣
powiat krotoszyński,克羅托申縣
powiat kępiński,肯普諾縣
Jabłoń,雅布翁
futuryzm,未来主义
powiat wyszkowski,維什庫夫縣
Gołuchów,戈武胡夫乡
Lwówek,勒武韦克乡
powiat malborski,馬爾堡縣
Brańsk,布蘭斯克
Roś,羅希湖
Getto tranzytowe w Izbicy,伊兹比察集中营
Wrocław Główny,弗罗茨瓦夫火车总站
Radegast,拉的加斯特火车站
Bitwa pod Iłżą,拉多姆戰役
powiat międzychodzki,緬濟胡德縣
powiat obornicki,奧博爾尼基縣
Województwo olsztyńskie,奧爾什丁省
Ryczywół,里齐武夫乡
Krotoszyn,格米納克羅托申
powiat pilski,皮瓦縣
powiat ostrowski,大波蘭地區奧斯特魯夫縣
powiat ostrzeszowski,奧斯切舒夫縣
powiat koniński,科寧縣
powiat kościański,科希強縣
Pałac Prezydencki w Warszawie,政府宮
Polska w Konkursie Piosenki Eurowizji,波蘭在歐洲歌唱大賽之歷年表現
Rychwał,雷赫瓦烏
Krynica-Zdrój,克雷尼察-茲德魯伊
Ząbkovia Ząbki,扎布基多尔坎
Centrum Społeczności Żydowskiej w Krakowie,克拉科夫犹太社区活动中心
WIG20,WIG20指数
Główne Miasto,格但斯克主城
Olimpia Elbląg,奧林匹亞埃爾布隆格足球會
powiat pleszewski,普萊謝夫縣
powiat nowotomyski,新托梅希爾縣
powiat gnieźnieński,格涅茲諾縣
autostrada A2,A2高速公路
powiat chodzieski,霍傑日縣
powiat czarnkowsko-trzcianecki,恰恩庫夫-奇強卡縣
Zamek Książąt Pomorskich w Szczecinie,公爵城堡
Bitwa pod Mławą,Mława戰役
Wyśmierzyce,維希梅日采
powiat wielicki,維利奇卡縣
Polonia Warszawa,華沙波蘭人足球俱樂部
Pomorze Tylne,后波美拉尼亚
Warka,瓦爾卡
powiat słupecki,斯武普察縣
Górnik Zabrze,扎布热矿工
powiat rawicki,拉維奇縣
powiat szamotulski,沙莫圖維縣
Radomka,拉多姆卡河
Krzyżowa,克萊稍村
Pomnik Małego Powstańca w Warszawie,小起義者雕像
Tatrzański Park Narodowy,塔特拉國家公園
Biebrzański Park Narodowy,別布扎國家公園
Czechowice-Dziedzice,切霍維采-傑濟采
Koronowo,科羅諾沃
powiat turecki,圖雷克縣
powiat wolsztyński,沃爾什滕縣
powiat przasnyski,普扎斯內什縣
Lesko,莱斯科
Radzymin,拉濟明
Biuro Szyfrów,波兰密码局
obóz w Poniatowej,波尼亚托瓦
Marynarka Wojenna,波蘭海軍
TEM2,TEM2型柴油机车
Płońsk,普翁斯克
Ratusz Starego Miasta w Gdańsku,格但斯克老城市政厅
Biecz,別奇
Pałac królewski we Wrocławiu,弗羅茨瓦夫皇宮
Mauzoleum Walki i Męczeństwa w Warszawie,抗争与殉难纪念馆
Pruska Kolej Wschodnia,普魯士東方鐵路
TV Puls,脉冲电视
Zachęta Narodowa Galeria Sztuki,波蘭國家美術館
Konotop,科诺托普
Witka,斯梅達河
powiat wągrowiecki,翁格羅維茨縣
powiat wrzesiński,弗熱希尼亞縣
Buddyzm w Polsce,波兰佛教
powiat złotowski,茲沃圖夫縣
powiat średzki,大波蘭地區希羅達縣
Kopalnia soli Wieliczka,维利奇卡盐矿
Pielnica,佩爾尼察河
Mistrzostwa Europy w Piłce Nożnej 2012/Grupa C,2012年欧洲足球锦标赛C组
Województwo koszalińskie,科沙林省
RWE,莱茵集团
Oleśnica,奧萊希尼察
Sulechów,苏莱胡夫
Europejski długodystansowy szlak pieszy E11,E11欧洲长距离徒步路径
Porty lotnicze w Polsce,波蘭機場列表
Pińczów,平丘夫
Włoszczowa,弗沃什喬瓦
powiat brzeski,布熱格縣
powiat głubczycki,格武布奇采縣
Małogoszcz,马沃戈什奇乡
Oborniki,奥博尔尼基乡
powiat śremski,希雷姆縣
Ostrołęka,奧斯特羅文卡
Pomnik Powstania Warszawskiego,华沙起义纪念碑
Zespół pałacowo-parkowy w Natolinie,納托林
ZKŻ Zielona Góra,ZKŻ綠山城
Nidzica,尼濟察鄉
Morąg,莫龍格
Polska na Zimowych Igrzyskach Olimpijskich 2010,2010年冬季奧林匹克運動會波蘭代表團
Pleszew,普萊謝夫
powiat piski,皮什縣
Ujście,烏伊希切
powiat ostrołęcki,奧斯特羅文卡縣
Nowa Dęba,新登巴
powiat wałbrzyski,瓦烏布日赫縣
TKh49,TKh49型蒸汽机车
Knurów,克努魯夫
Będzin,本津
powiat krapkowicki,克拉普科維采縣
powiat kędzierzyńsko-kozielski,肯傑任-科茲萊縣
Opatów,奧帕圖夫
Eurokorpus,歐洲軍團
Tuba Dei,天主号筒
Piła,皮瓦
powiat kluczborski,克盧奇堡縣
powiat nyski,尼斯縣
Augustów,奧古斯圖夫
Polski Autokefaliczny Kościół Prawosławny,波蘭正教會
linia kolejowa Berlin – Szczecin,柏林－什切青铁路
Gazociąg Jamał-Europa,亚马尔-欧洲管道
Otwock,奧特沃茨克車站
Hajnówka,哈伊努夫卡
powiat prudnicki,普魯德尼克縣
Lędziny,倫濟內
powiat oleski,奧萊斯諾縣
powiat opolski,奧波萊縣
rusini karpaccy,卢森尼亚人
Zabór,扎布尔乡
smok wawelski,瓦维尔巨龙
powiat nowomiejski,諾韋米亞斯托縣
powiat strzelecki,斯切爾采縣
Plebiscyt Przeglądu Sportowego,波兰年度最佳运动员
Uniwersytet Łódzki,罗兹大学
muzyka polska,波兰音乐
Bataliony Chłopskie,农民营
Zamek w Baranowie Sandomierskim,巴拉諾夫桑多米爾斯基城堡
Leżajsk,莱扎伊斯克
Balice,巴利切
Krzyż Zasługi,功绩十字勋章
Zadrna,扎德爾納河
Polska na Letnich Igrzyskach Olimpijskich 2008,2008年夏季奥林匹克运动会波兰代表团
bracia szkolni,喇沙會
Zagłębie Lubin,盧賓扎格列比足球俱樂部
Zagłębie Wałbrzych,薩格列比華爾登堡
Polska na Letnich Igrzyskach Olimpijskich 2012,2012年夏季奧林匹克運動會波蘭代表團
Międzychód,緬濟胡德
powiat szczycieński,什奇特諾縣
powiat ostródzki,奧斯特魯達縣
Bieszczadzki Park Narodowy,別什恰迪國家公園
Anwil Włocławek,弗沃茨瓦韦克篮球俱乐部
Wysoka,維索卡
Siły Zbrojne Rzeczypospolitej Polskiej,波蘭共和國軍
powódź w Europie Środkowej,2010年中歐洪水
Cracovia,克拉科維亞足球俱樂部
Terespol,泰雷斯波尔
Bitwa w Borach Tucholskich,突丘拉森林戰役
Zagłębie Sosnowiec,索斯諾維茨足球會
Jedwabne,耶德瓦布內
Ślązacy,西里西亞人
Zagórów,扎古魯夫
Zagłębie Dąbrowskie,冬布罗瓦盆地
Diecezja drohiczyńska,天主教德罗希琴教区
Polsat,Polsat
Kuślin,库希林乡
Chojna,霍伊纳乡
Wieliczka,維利奇卡
Lotnisko Szczecin-Dąbie,斯塞新-棟別簡易機場
Polska na Zimowych Igrzyskach Olimpijskich 1924,1924年冬季奥林匹克运动会波兰代表团
Kargowa,卡爾戈瓦
Polityka,政治
Kożuchów,科茹胡夫
Kłodzko,克沃茲科
ZAKSA Kędzierzyn-Koźle,ZAKSA肯傑任科茲萊
Zakład Ubezpieczeń Społecznych,社会保险局
Katastrofa lotu Lufthansa 2904,汉莎航空2904号班机事故
Amica Wronki,弗龍基阿米卡
Mszczonów,姆什喬努夫
TV4,第四频道
Krajowy Festiwal Piosenki Polskiej w Opolu,奥波莱音乐节
Kościół św. Katarzyny w Gdańsku,格但斯克圣凯瑟琳教堂
Krobia,克羅比亞
Zamoyscy herbu Jelita,扎莫伊斯基家族
Pałac Konstantego Zamoyskiego w Warszawie,康斯坦蒂·扎莫伊斯基宫
Kaplica Zygmuntowska na Wawelu,齐格蒙特小堂
Centralne Biuro Antykorupcyjne,中央廉政局
Złocieniec,兹沃切涅茨乡
Zamość,扎莫希奇
Augustów,奥古斯图夫乡
Drelów,德雷卢夫乡
Zakopane,扎科帕內
Bazylika archikatedralna Wniebowzięcia Najświętszej Maryi Panny i św. Andrzeja we Fromborku,弗龙堡教堂
Uniwersytet Śląski w Katowicach,卡托维兹西里西亚大学
Zakroczym,扎克羅奇姆
Drawieński Park Narodowy,德拉瓦國家公園
Lubartów,盧巴爾圖夫
Pierwszy proces oświęcimski,奥斯威辛审判
Kaszubi,卡舒比人
Berlin-Warszawa-Express,柏林-华沙快车
Rewal,里沃
Lotnisko Chopina w Warszawie,华沙肖邦机场
Politechnika Gdańska,格但斯克理工大学
TVN Meteo,TVN气象频道
Fabryka Emalia Oskara Schindlera,辛德勒工廠
