곡산군,谷山郡
창성군,昌城郡
한자 문화권,漢字文化圈
김일성 장군의 노래,金日成將軍之歌
평양신문,平壤新聞
조선로동당,朝鮮勞動黨
소백수체육단,小白水體育團
백두대간,白頭大幹
수동구,水洞區
리명수체육단,鯉明水體育團
우리민족끼리,由我们民族自己
조선중앙통신사,朝鲜中央通讯社
대동강,大同江
한국 요리,韓國料理
부전군,赴戰郡
한반도,朝鮮半島
원산농업대학,元山農業綜合大學
러시아-조선민주주의인민공화국 국경,朝俄边界
김책시,金策市
39호실,朝鲜劳动党39号室
조선민주주의인민공화국의 일본인 납치,朝鲜绑架日本人事件
류경정주영체육관,柳京鄭周永體育館
조선민주주의인민공화국 국방위원회,朝鲜民主主义人民共和国国防委员会
조선인민군 항공 및 반항공군,朝鮮人民軍空軍
동해,日本海
락원군,樂園郡
회창군,檜倉郡
리원군,利原郡
대흥군,大興郡
성천군,成川郡
아리랑,阿里郎
조선민주주의인민공화국의 역사,朝鮮民主主義人民共和國歷史
옹진반도 전투,甕津戰役
은산군,殷山郡
맹산군,孟山郡
청남군,清南區
덕성군,德城郡
조선민주주의인민공화국의 인권,朝鮮民主主義人民共和國人權
희천시,熙川市
동아시아,東亞
창도군,昌道郡
고난의 행군,苦难的行军
고려성균관,高麗成均館大學
북관대첩비,北關大捷碑
자성군,慈城郡
북청군,北青郡
평원군,平原郡
덕천시,德川市
박,朴
법동군,法洞郡
천내군,川內郡
세포군,洗浦郡
판교군,板橋郡
고산군,高山郡
현정릉,恭愍王陵
동북아시아,东北亚
류경호텔,柳京飯店
제네바 합의,朝美框架协议
동창동 미사일 발사장,西海衛星發射基地
신의주공항,新義州機場
고성군,高城郡
평강군,平康郡
금강군,金剛郡
례성강,禮成江
한반도 비무장 지대,朝韩非军事区
강성대국,強盛大國
만수대의사당,萬壽臺議事堂
대성구역,大城区域
력포구역,力浦区域
개선역,凱旋站
승리역,勝利站
조선중앙동물원,朝鮮中央動物園
초산군,楚山郡
랑림군,狼林郡
조선우주공간기술위원회,朝鲜宇宙空间技术委员会
평산군,平山郡
청진공항,清津機場
조선콤퓨터쎈터,朝鮮電腦研究中心
조선로동당 총비서,朝鮮勞動黨總書記
천주교 함흥교구,天主教咸兴教区
석왕사,釋王寺
황해남도,黄海南道
김일성종합대학,金日成综合大学
조선사회민주당,朝鲜社会民主党
천도교청우당,天道教青友党
조국통일민주주의전선,祖國統一民主主義戰線
북부내륙선,北部內陸線
청년이천선,青年伊川線
조선민주주의인민공화국의 교육,朝鮮教育
간리역,间里站
서포역,西浦站
국가보위성,朝鲜民主主义人民共和国国家安全保卫部
조선민주주의인민공화국의 통신,朝鲜民主主义人民共和国通信
무산군,茂山郡
피현군,枇峴郡
태천군,泰川郡
금야군,金野郡
위화도,威化岛
화대군,花坮郡
북위 38도선,北纬38度线
광복역,光復站
락원역,乐园站
영광역,荣光站
삼지연공항,三池淵機場
청진 정치범수용소,清津集中營
개성역,开城站
아무르판,阿穆尔板块
안국사,安國寺
한반도 통일,朝鮮半島統一問題
동해북부선,東海北部線
대한해협,朝鲜海峡
한국만,西朝鲜湾
공화국의 영원한 주석,共和國永遠的主席
장자강,將子江
승리자동차종합기업소,胜利汽车制造厂
압록강체육단,鴨綠江體育團
평부선,平釜線
옹진군,甕津郡
돌아오지 않는 다리,不归桥
조선민주주의인민공화국의 행정 구역,朝鲜民主主义人民共和国行政区划
강원도,江原道
인민대학습당,人民大學習堂
중구역,中區域
양각도국제호텔,羊角島國際飯店
녕원군,寧遠郡
증산군,甑山郡
개천시,价川市
삼지연시,三池淵市
철원군,铁原郡
회양군,淮陽郡 (北韓)
꽃제비,小燕子
모란봉구역,牡丹峰区域
선교구역,船桥区域
룡성구역,龍城區域
만경대구역,万景台区域
순천시,順川市
영광군,榮光郡
읍,邑 (韓國)
김책공업종합대학,金策工業綜合大學
남양로동자구,南陽勞動者區
고려호텔,高麗飯店
조선민주주의인민공화국의 공휴일,朝鮮民主主義人民共和國節日
신도군,薪島郡
해주공항,海州機場
국제친선전람관,國際友誼展覽館
칠보산,七寶山
대동문,大同門
옥류관,玉流館
평천구역,平川區域
평양외국어대학,平壤外國語大學
평양의학대학,平壤醫學大學
김일성군사종합대학,金日成軍事綜合大學
강서구역,江西区域
광명역,光明站
만수대텔레비죤,萬壽臺電視台
룡남산텔레비죤,龍南山電視台
통일의 메아리 방송,统一回声广播电台
아시안 하이웨이,亞洲公路網
황금벌역,黄金谷站
봉화역,烽火站
건설역,建設站
보통문,普通門
붉은별역,红星站
전승역,战胜站
창평 수용소 유혈 봉기,穩城集中營
평양역,平壤站
삼석구역,三石区域
의주군,義州郡
강원선,江原線
구성시,龜城市
김일성광장,金日成廣場
한국 표준시,韩国标准时
한강,漢江
평양민속공원,平壤民俗公園
로동신문,勞動新聞
은정구역,恩情区域
중강군,中江郡
요덕 정치범수용소,耀德政治犯收容所
황해,黄海
조선민주주의인민공화국 철도성,朝鲜民主主义人民共和国铁道省
천리마동상,千里馬銅像
청년호텔,青年飯店
대성산혁명렬사릉,大城山革命烈士陵园
구월산,九月山
선덕비행장,善德機場
운산군,雲山郡
보천보전자악단,普天堡电子乐团
양각도축구경기장,羊角島競技場
할하,喀爾喀蒙古族
멸악산,滅惡山
신미도,身弥岛
국기훈장,国旗勋章
조선민주주의인민공화국 무역성,對外經濟省
홍의선,洪儀線
해방탑,解放塔
올림픽 조선민주주의인민공화국 선수단,奧林匹克運動會朝鮮代表團
전우역,战友站
혁신역,革新站
삼흥역,三兴站
건국역,建国站
모란봉,牡丹峰
부흥역,复兴站
아시안 하이웨이 6호선,亞洲公路6號線
아시안 하이웨이 1호선,亞洲公路1號線
천주교 평양교구,天主教平壤教区
조선민주주의인민공화국 사회주의헌법,朝鮮民主主義人民共和國社會主義憲法
평양국제비행장,平壤國際機場
묘향산,妙香山
랑림산맥,狼林山脉
금강산관광지,金刚山国际观光特区
황금평,黄金坪
홍원군,洪原郡
장강군,長江郡
전천군,前川郡
판문점,板門店
개성공업지구,開城工業地區
함흥시,咸興市
통천군,通川郡
6·15 남북 공동선언,南北共同宣言
갈마비행장,元山機場
광복절,韩国光复节
조선민주주의인민공화국의 철도,朝鲜铁路运输
조선의 소리 방송,朝鲜之声广播电台
평양시체육단,平壤体育团
보통강구역,普通江区域
공동경비구역,共同警備區
회령시,会宁市
한탄강,漢灘江
안변역,安边站
금성 전투,金城戰役
청천강 해전,清川江戰役
릉라도,綾羅島
.kp,.kp
기쁨조,歡樂組
장진강,长津江
만경대학생소년궁전,萬景台學生少年宮
조선민주주의인민공화국 축구 협회,朝鲜民主主义人民共和国足球协会
수안군,遂安郡
보현사,妙香山普賢寺
동한만,东朝鲜湾
두만강,圖們江
조선민주주의인민공화국 여자 축구 국가대표팀,朝鮮國家女子足球隊
평안남도,平安南道
만포시,滿浦市
평양국제영화회관,平壤国际映画会馆
평양신의주고속도로,平壤新義州高速公路
학송역,鶴松站
한국 천주교 주교회의,韓國天主教主教團
함흥역,咸兴站
함흥조차장역,咸兴操车场
혜산청년역,惠山青年站
홍현역,红岘站
황해선,黃海線
회령청년역,會寧青年站
흥남역,兴南站
관서 지방,关西地方
성불사,成佛寺
신계사,神溪寺
조선민주주의인민공화국의 사형제,朝鮮民主主義人民共和國死刑制度
만수대창작사,萬壽臺創作社
고려링크,高麗電信
공화국선수권 축구대회,朝鲜足球甲级联赛
조선중앙텔레비죤,朝鲜中央电视台
신천군,信川郡
함경남도,咸镜南道
남북정상회담,朝韩首脑会晤
허천군,虛川郡
중화군,中和郡
조선민주주의인민공화국의 국보,朝鲜民主主义人民共和国国宝
상원군,祥原郡
안악군,安岳郡
백암군,白岩郡
함경북도,咸镜北道
함북선,咸北線
평의선,平義線
회령 정치범수용소,會寧集中營
고원군,高原郡
온천군,溫泉郡
조선로동당 중앙위원회,朝鮮勞動黨中央委員會
무수단리,舞水端里
룡연군,龍淵郡
평화자동차,平和自動車
2009년 조선민주주의인민공화국 핵 실험,2009年朝鲜核试验
안변군,安邊郡
원산역,元山站
김화군,金化郡
혜산시,惠山市
량강도,两江道
양각도,羊角島
장충성당,長忠教堂
강계시,江界市
남포시,南浦特別市
우시군,雩時郡
장진군,長津郡
김정일의 죽음과 국장,金正日之死
대홍단군,大紅湍郡
개마고원,蓋馬高原
평남선,平南線
원산시,元山市
장방역,长芳站
장진호,長津湖
조국통일범민족연합,祖国统一泛民族联合
조국통일상,祖国统一奖
조선녀성,朝鮮女性
조선민주주의인민공화국의 인민배우,人民演员
조선인민군군악단,朝鮮人民軍軍樂團
창흥역,昌兴站
철령,鐵嶺
청단역,青丹站
토해선,土海線
통일전선부,朝鮮勞動黨統一戰線部
신의주시,新義州市
평양 지하철도,平壤地鐵
숙천군,肅川郡
조국통일3대헌장기념탑,統一門
조선민주주의인민공화국 원,朝鮮圓
백두산,长白山
평안북도,平安北道
황해북도,黄海北道
조선민주주의인민공화국의 국장,朝鲜国徽
청진시,清津市
기관차체육단,新义州火车头足球俱乐部
만경대,萬景臺
조선민주주의인민공화국의 검열,朝鲜信息审查
선봉구역,先锋区域
조선민주주의인민공화국의 정치,朝鮮民主主義人民共和國政治
개성시,开城特级市
문천시,文川市
북한강,北漢江
기정동,机井洞
득장지구,得將地區
북위 39도,北緯39度線
김일성경기장,金日成競技場
평양TV타워,平壤電視塔
조선민주주의인민공화국 중앙은행,朝鮮民主主義人民共和國中央銀行
세천선,細川線
두만강선,豆滿江線
량강대평역,两江大坪站
곤장덕역,棍杖德站
중봉역,仲峰站
세천역 (회령),細川站
적지역,赤池站
신양역,新阳站
독소역,篤所站
남촌역,南村站
흥암역,兴岩站
연상역,延上站
두암역,頭岩站
신장역,新章站
상경평역,上境坪站
하경평역,下境坪站
유평동역,榆坪洞站
하황토역,下黄土站
천수역,天水站
삼사역,三社站
상단역,上坍站
연수역 (연사),延水站
연사역,延社站
소도역,小桃站
신양역 (연사),新阳站
라적역,羅跡站
유곡역 (백암),榆谷站
남동역,南洞站
한국어의 남북 간 차이,朝鮮語南北差異
조선민주주의인민공화국 올림픽 위원회,朝鮮民主人民主義共和國奧林匹克委員會
독산역,篤山站
자서역,自西站
흥남본정역,興南本町站
무학역,舞鶴站
두포역,豆浦站
하덕역,荷德站
련흥역,蓮興站
서시역,西市站
두언역,豆彦站
풍상역,豐上站
부전령역,赴戰嶺站
부전역,赴戰站
차가수역,车哥水站
도안역,道安站
차호역,遮湖站
금봉강역,金峰江站
금골역,金溝站
장진역,長津站
장흥역,長興站
장풍역,長豐站
장항역,獐項站
간상봉역,间上峰站
양수역,阳水站
운중역,雲中站
관평역,館坪站
신평역,新坪站
신덕역,新德站
신증산역,新甑山站
신장역,新長站
구운봉역,旧云峰站
구시물동역,口隅水坝站
구진역,旧津站
보천역,普天站
망일리역,望日里站
동정역,東井站
동덕역,東德站
동양역,東陽站
송당역,松堂站
상음청년역,桑阴青年站
리파역,梨坡站
수촌역,水村站
수차역,水遮站
답동역,沓洞站
사포역,沙浦站
천곡역,泉谷站
사수역,泗水站
동정호역,洞庭湖站
심계역,深桂站
온수역,温水站
렴성역,濂城站
봉수역,烽燧站
백암산역,白岩山站
운흥역,云兴站
금강산,金剛山
임진강,臨津江
신흥역,新興站
쌍영총,雙楹塚
안협군,安峡郡
약수리 고분,藥水里壁畫古墓
약수역 (세포),药水站
어룡역 (구장),鱼龙站
연백군,延白郡
영양역,迎阳站
오현역,梧玄站
온성역,穩城站
온수평역,温水坪站
운흥리역,雲興里站
유현덕산,柳峴德山
은빛역,银光站
은파역,银波站
의주 남문,義州南門
인민경제대학,人民經濟大學
인민무력부 정찰총국,朝鲜人民军总参谋部侦察总局
인민정권 창건일,共和国创建日
당창건기념탑,党创建纪念塔
조국해방전쟁승리기념탑,祖國解放戰爭勝利紀念塔
청년영웅도로,青年英雄公路
외국문출판사,外文綜合出版社
평화를 위한 평양 국제 체육 및 문화축전,平壤国际体育和平文化庆典
조선4.26만화영화촬영소,SEK工作室
동아시아 공동체,東亞共同體
조선인민군 전략군,朝鲜人民军战略军
조중 국경,中朝边界
경원군,慶源郡
경성군,鏡城郡
운흥군,雲興郡
송화군,松禾郡
만포선,滿浦線
함주군,咸州郡
하기천역,下岐川站
하송흥역,下松興站
돈산역,钱山站
동암역,东岩站
동해역,东海站
중호역,中湖站
건창역,乾滄站
오시천역,五是川站
시중호역,侍中湖站
전동역,典洞站
내곡역,内曲站
농산역,农产站
리원철산역,利原鐵山站
천불산역,千佛山站
남애역,南涯站
고토역,古土站
길봉역,吉峰站
성천역,城川站
보장역,堡庄站
대신역,大新站
대흥역,大興站
대진역,大鎮站
천성역,天圣站
안골역,安溝站
부민역,富民站
부성역,富盛站
산위평역,山衛坪站
거룡역,巨龙站
광천역,廣泉站
2019년 1월 6일 일식,2019年1月6日日食
평양 궤도전차,平壤有軌電車
2035년 9월 2일 일식,2035年9月2日日食
요덕역,耀德站
동경 130도,东经130度线
서해리선,西海里線
룡성선,龍城線
남흥선,南興線
덕성선,德城線
평양 국제영화축전,平壤国际电影节
동아시아 경기 대회,東亞運動會
조선민주주의인민공화국의 문화,朝鮮民主主義人民共和國文化
독일-조선민주주의인민공화국 관계,德朝關係
어랑군,漁郎郡
금호군,琴湖地區
보천군,普天郡
동대원구역,东大院区域
사동구역,寺洞区域
순안구역,顺安区域
강남군,江南郡
희천공업대학,熙川工業大學
만수대,萬壽臺
김원균명칭 음악종합대학,平壤金元均音樂大學
옥류교,玉流橋
릉라교,綾羅橋
송도원선,松濤園線
량강호텔,兩江飯店
제13기 최고인민회의 대의원 선거,2014年朝鮮民主主義人民共和國最高人民會議選舉
갈마역,葛麻站
운봉선,云峰线
시정선,柴井线
리원선,利原线
인도네시아-조선민주주의인민공화국 관계,印度尼西亞－北朝鮮關係
정도선,鼎島線
현흥역,玄兴站
문암역,文岩站
남북공동연락사무소,南北共同聯絡事務所
화계역,花溪站
공인역,公仁站
련진역,莲津站
령남역,岭南站
령하역,岭下站
로동역,芦洞站
신련포역,新莲浦站
신룡역,新龙站
로탄역,蘆灘站
신북청역,新北青站
비단섬,绸缎岛
관곡역,寬谷站
신상역,新上站
룡당리역,龍堂里站
룡대역,龙台站
신생역,新生站
룡동역,龙洞站
룡산역,龙山站
룡원리역,龍源里站
룡정역,龍井站
룡출역,龍出站
압록강선,鴨綠江線
남동선,南洞線
태성역,台城站
룡강역,龙冈站
갈천역,葛川站
강선역,降仙站
로상역,路上站
평남온천역,平南温泉站
귀성역,贵城站
덕동역,德洞站
동광량역,东广梁站
서광량역,西广梁站
남포역,南浦站
온정역,温井站
룡월역,龙月站
마영역,麻永站
후산역,后山站
룡호역,龍湖站
평남대안역,平南大安站
보산역 (남포),保山站
청남선,清南線
풍서군,豐西郡
은률군,殷栗郡
서흥군,瑞興郡
대동군,大同郡
아시안 하이웨이 32호선,亚洲公路32号线
정백사원,平壤東正教堂
북한의 개인숭배,北韓的個人崇拜
운봉역,云峰站
상풍강역,上丰江站
구중역,旧中站
안주시,安州市
서성구역,西城区域
김형권군,金亨權郡
ISO 3166-2:KP,区划代码
조선민주주의인민공화국의 대외 관계,朝鮮民主主義人民共和國外交
북위 40도,北纬40度线
동경 125도,东经125度线
한반도 더비,南北韓足球打吡
조선민주주의인민공화국 내각,朝鮮民主主義人民共和國內閣
당창건사적관,建党事迹馆
상감령,上甘岭
김일성훈장,金日成勋章
평양학생소년궁전,平壤学生少年宫
사회주의애국청년동맹,社会主义爱国青年同盟
이천군,伊川郡
김형직군,金亨稷郡
평양교예극장,平壤巧藝劇場
룡현역,龙岘站
관해역,观海站
신아산역,新阿山站
신원역,新院站
무구역,无仇站
리만역,梨满站
괘궁정,掛弓亭
리원역,利原站
신주막역,新酒幕站
사구역,沙口站
리평역,梨坪站
사도역,蛇岛站
신참역,新站站
신창역,新仓站
농촌역,農村站
신천역,信川站
신천온천역,信川温泉站
신청역,新清站
신포역,新浦站
구룡평역,九龍坪站
마전역,麻田站
늪평역,沼坪站
사오역,沙烏站
만덕역,滿德站
구읍역,旧邑站
만풍역,万丰站
조선인민군 육군,朝鮮人民軍陸軍
2012년 하계 올림픽 조선민주주의인민공화국 선수단,2012年夏季奧林匹克運動會朝鮮代表團
북한의 지리,北韓地理
조선민주주의인민공화국의 인터넷,北韓互聯網
만수대대기념비,萬壽臺大紀念碑
조선혁명박물관,朝鮮革命博物館
감호역,鉴湖站
보통강,普通江
우의탑,友誼塔
조선기계무역총회사,朝鮮機械貿易總會社
조선그리스도교연맹,朝鮮基督教聯盟
조선민주주의인민공화국의 고속도로,朝鮮高速公路
조선인민군 해군,朝鮮人民軍海軍
제12기 최고인민회의 대의원 선거,2009年朝鮮民主主義人民共和國最高人民會議選舉
북한의 종교,朝鲜民主主义人民共和国宗教
헌릉,高麗憲陵
삼거역,三巨站
삼포역,三布站
상평역,上坪站
상통역,上通站
대외문화련락위원회,對外文化聯絡委員會
주체사상,主体思想
허천선,虛川線
안주탄광선,安州煤礦線
정방리역,正方里站
긴등역,長登站
아리랑,阿里郎 (智能手機)
말레이시아-조선민주주의인민공화국 관계,馬來西亞－朝鮮關係
인도-북한 관계,朝鲜－印度关系
북위 43도,北緯43度線
이란-조선민주주의인민공화국 관계,伊朗－朝鲜关系
청년팔원선,青年八院线
송림선,松林線
평양 개선문,凯旋门
릉라도5월1일경기장,綾羅島5月1日競技場
평양빙상관,平壤滑冰館
북위 41도,北緯41度線
북위 42도,北緯42度線
조선민주주의인민공화국아이스하키협회,朝鲜民主主义人民共和国冰球协会
평양 트롤리버스,平壤無軌電車
호위사령부,護衛司令部
노동당 유일사상 10대 원칙,確立黨的唯一思想體系十大原則
서산호텔,西山飯店
금야역,金野站 (咸镜南道)
길주군,吉州郡
러시아-조선민주주의인민공화국 관계,朝俄关系
조선민주주의인민공화국적십자회,朝鲜民主主义人民共和国红十字会
룡남산체육단,龍南山體育團
납북자,朝鲜绑架问题
안악 3호분,冬壽墓
설마리 전투,雪马里战斗
형제산구역,兄弟山区域
대동강구역,大同江区域
락랑구역,樂浪區域
평라선,平羅線
천동역,泉洞站
새동역,鸟洞站
무창역,茂昌站
경원역,慶源站
생기령역,生气岭站
묵시역,墨时站
묵천역,墨川站
귀인역,貴仁站
천을역,天乙站
문동청년역,文童青年站
문봉역,文峰站
생장역,生长站
천태역,天台站
철광역,铁矿站
장덕역,长德站
안석역,安石站
문정역,文井站
장둔역,長屯站
철송청년역,铁松青年站
장림역,长林站
서두역,西頭站
극동역,极洞站
문화역,文化站
근동역,芹洞站
안주역,安州站
라진구역,罗津区域
공화국영웅,共和国英雄
신천박물관,信川博物館
조선민주주의인민공화국 평화박물관,朝鮮民主主義人民共和國和平博物館
자유독립훈장,自由独立勋章
북한인민해방전선,北韓人民解放戰線
과학기술전당,朝鮮科學技術殿堂
통일시장,统一市场
삼지연,三池淵
조선민주주의인민공화국의 인구,北韓公民
초도,椒島機場
조선로동당 창건일,朝鲜劳动党创建日
영생탑,永生塔
원평역,院坪站
구장청년역,球场青年站
구정역,九井站
십리평역,十里坪站
구탄역,九灘站
운곡역,云谷站
구현역,鸠岘站
운리역,云里站
운성역,云城站
운송역,云松站
쌍룡역,双龙站
운포역,云浦站
운하역,运河站
단천청년역,端川青年站
쌍부역,双富站
국경역,国境站
산성역,山城站
산수역,山水站
산양대역,山羊台站
웅라역,雄羅站
웅상역,雄尚站
삼기역,三岐站
삼등역,三登站
원산금강산고속도로,元山金剛山高速公路
명호역,明湖站
삼수청년역,三水青年站
원창역,院仓站
강양역,江陽站
송가역,松街站
송관역,松觀站
송남청년역,松南青年站
송단역,松端站
송덕역,松德站
송도역,松道站
송림청년역,松林青年站
염분역,盐盆站
염전역,鹽田站
염탄역,鹽灘站
송삼역,松三站
송상역,松上站
송신역,松新站
강하역,江下站
영광역,榮光站
백산청년역,白山青年站
개고청년역,价古青年站
백석역,白石站
송전역,松田站
송정역,松亭站
홍군역,洪君站
송중역,松中站
백원역,百源站
개천역,价川站
송평역,松坪站
덕천역,德川站
조선로동당 중앙위원회 정치국 상무위원회,朝鲜劳动党中央政治局常务委员会
조선민주주의인민공화국의 부총리,朝鮮民主主義人民共和國副總理
조선민주주의인민공화국 로동성,勞動省
조선민주주의인민공화국 문화성,文化省
조선민주주의인민공화국 국가과학기술위원회,朝鮮民主主義人民共和國國家科學技術委員會
조선민주주의인민공화국 국가계획위원회,朝鲜民主主义人民共和国国家计划委员会
조선민주주의인민공화국 건설건재공업성,建設建材工業省
조선민주주의인민공화국 보건성,朝鮮民主主義人民共和國保健省
조선민주주의인민공화국 과학원,朝鲜民主主义人民共和国国家科学院
조선민주주의인민공화국 체육성,朝鲜民主主义人民共和国体育省
조선민주주의인민공화국 교육위원회,朝鮮民主主義人民共和國教育委員會
푸에블로호 피랍 사건,“普韦布洛”号事件
강안선,江岸線
심화조 사건,深化組事件
백두산 밀영,白頭山密營
방화역,傍花站 (咸鏡南道)
조선민주주의인민공화국 외무성,朝鮮民主主義人民共和國外務省
조선민주주의인민공화국의 도,朝鮮民主主義人民共和國的道
개성역사유적지구,開城歷史建築與遺蹟
개천탄광선,价川煤矿线
관리소,管理所
보천선,普天線
미국-조선민주주의인민공화국 관계,美朝關係
평양성 (고구려),长安城 (高句丽)
혜산비행장 / 惠山飛行場,惠山飛行場
대한민국-조선민주주의인민공화국 국경,朝鮮半島南北邊界
송평구역,松坪區域
대성산,大城山
평양산원,平壤產科醫院
은하수관현악단,銀河水管弦樂團
개선청년공원,凱旋青年公園
황룡산성,皇龍山城
청암구역,青岩區域
수남구역,水南區域
포항구역,浦港區域
라남구역,羅南區域
부윤구역,富潤區域
신암구역,新岩區域
태풍 노을,颱風紅霞
조선대성은행,大成银行
조선중앙방송,朝鲜中央放送委员会
조선사회주의여성동맹,朝鮮民主女性同盟
미림비행장,美林機場
월정사,月精寺 (黃海南道)
칠골교회,七谷教堂
제10기 최고인민회의 대의원 선거,1998年朝鮮民主主義人民共和國最高人民會議選舉
제11기 최고인민회의 대의원 선거,2003年朝鮮民主主義人民共和國最高人民會議選舉
조선민주주의인민공화국 U-17 축구 국가대표팀,朝鮮17歲以下足球代表隊
애국렬사릉,愛國烈士陵園
조선직업총동맹,朝鮮職業總同盟
조선민주주의인민공화국 중앙재판소,朝鮮民主主義人民共和國中央裁判所
광법사,廣法寺
관음사,觀音寺 (開城)
조선민주주의인민공화국의 정치범수용소,朝鮮民主主義人民共和國集中營
숭령전,崇靈殿
박천 전투,博川战斗
물골역,水溝站
청룡역,青龙站
서상역,西上站
금바위역,金岩石站
서석역,西席站
장연역,長淵站
청수역,青水站
금산역,金山站
금산포역,金山浦站
금생역,金生站
금성청년출판사,金星青年出版社
금송역,金松站
압록강역,鴨綠江站
미둔역,弥屯站
장천리역,长川里站
금패역,金佩站
청학역,青鶴站
미림역,美林站
장평역,长坪站
육진 방언,六镇方言
초도,椒島
초상역,草上站
장흥역,章興站
삼지연청년역,三池淵青年站
삼천역,三泉站
삼해역,三海站
삼향역,三鄉站
삼호역,三湖站
상농역,上農站
상대역,上台站
월봉역,月峰站
상도내역,上岛内站
굴송역,屈送站
창두역,昌斗站
상룡전역,上龍田站
월탄역,月灘站
상리역,上里站
대응역,大鷹站
삼지연못가역,三池淵池街站
창촌역,倉村站
창평역,蒼坪站
자산역,慈山站
자성역,慈城站
상신원역,上新院站
상일역,上一站
