"Достоевский, Фёдор Михайлович",표도르 도스토옙스키
"Кириченко, Дмитрий Сергеевич",드미트리 키리첸코
"Явлинский, Григорий Алексеевич",그리고리 야블린스키
"Новиков, Евгений Максимович",예브게니 노비코프
"Станишев, Сергей Дмитриевич",세르게이 스타니셰프
"Жук, Нина Алексеевна",니나 주크
"Анисимова, Татьяна Михайловна",타티야나 아니시모바
"Акинфеев, Игорь Владимирович",이고리 아킨페예프
"Добронравов, Иван Фёдорович",이반 도브론라보프
"Асмус, Кристина Игоревна",크리스티나 아스무스
"Иванов, Сергей Борисович",세르게이 이바노프 (정치인)
"Дугин, Александр Гельевич",알렉산드르 두긴
"Сюняев, Рашид Алиевич",라시드 수냐에프
"Иванов, Олег Александрович",올레크 이바노프
"Пичкунов, Александр Николаевич",알렉산드르 피츠쿠노프
"Дарькин, Сергей Михайлович",세르게이 다리킨
"Лисицын, Анатолий Иванович",아나톨리 리시친
"Мамаев, Павел Константинович",파벨 마마예프
"Дюков, Александр Валерьевич",알렉산드르 듀코프
"Денисов, Виталий Геннадьевич",비탈리 데니소프
"Каменский, Валерий Викторович",발레리 카멘스키
"Замолодчиков, Александр Борисович",알렉산드르 자몰롯치코프
"Погребняк, Павел Викторович",파벨 포그레브냐크
"Широков, Роман Николаевич",로만 시로코프
"Емельяненко, Фёдор Владимирович",표도르 예멜리야넨코
"Табакова, Юлия Геннадьевна",율리야 타바코바
"Альбиев, Ислам-Бека Саид-Цилимович",이슬람베카 알비예프
"Букина, Екатерина Борисовна",예카테리나 부키나
"Малафеев, Вячеслав Александрович",뱌체슬라프 말라페예프
"Кафельников, Евгений Александрович",예브게니 카펠니코프
"Шокуров, Вячеслав Владимирович",뱌체슬라프 쇼쿠로프
"Глацких, Ольга Вячеславовна",올가 글라츠키흐
"Махов, Билял Валерьевич",빌랼 마호프
"Домрачева, Дарья Владимировна",다리야 돔라체바
"Михалков, Сергей Владимирович",세르게이 미할코프
"Демихов, Владимир Петрович",블라디미르 폐트로비치 데미코프
"Буре, Павел Владимирович",파벨 부레
Хамелеон (Marvel Comics),카멜레온 (마블 코믹스)
"Неёлова, Марина Мстиславовна",마리나 네욜로바
"Великая, Софья Александровна",소피야 벨리카야
"Шевченко, Дмитрий Степанович",드미트리 솁첸코 (펜싱 선수)
"Достоевская, Анна Григорьевна",안나 스니트키나
"Соломенцев, Михаил Сергеевич",미하일 솔로멘체프
"Березуцкий, Алексей Владимирович",알렉세이 베레주츠키
"Адамов, Роман Станиславович",로만 아다모프
"Хаирова, Ксения Леонидовна",크세니야 하이로바
"Худорошкина, Ирина Александровна",이리나 후도로시키나
"Непомнящий, Ян Александрович",얀 네폼냐시
"Игнашевич, Сергей Николаевич",세르게이 이그나셰비치
"Хуштов, Асланбек Витальевич",아슬란베크 후시토프
"Бароев, Хасан Махарбекович",하산 바로예프
"Кадыров, Рамзан Ахматович",람잔 카디로프
"Бронфман, Ефим Наумович",예핌 브론프만
"Жаботинский, Леонид Иванович",레오니트 자보틴스키
"Романов, Владимир Николаевич (бизнесмен)",블라디미르 로마노프
"Гальперин, Глеб Сергеевич",글레프 갈페린
"Канунников, Максим Сергеевич",막심 카눈니코프
"Карякин, Сергей Александрович",세르게이 카랴킨
"Урманов, Алексей Евгеньевич",알렉세이 우르마노프
"Степанова, Инна Яковлевна",인나 스테파노바
"Москвина, Тамара Николаевна",타마라 모스크비나
"Клюгин, Сергей Петрович",세르게이 클류긴
"Доллежаль, Николай Антонович",니콜라이 돌레잘
"Аленичев, Дмитрий Анатольевич",드미트리 알레니체프
"Жамнов, Алексей Юрьевич",알렉세이 잠노프
"Титов, Герман Михайлович",게르만 티토프 (아이스하키 선수)
"Миронов, Борис Олегович",보리스 미로노프 (아이스하키 선수)
"Андрианов, Николай Ефимович",니콜라이 안드리아노프
"Хайбулаев, Тагир Камалудинович",타기르 하이불라예프
"Чернецкий, Сергей Витальевич",세르게이 체르네츠키
"Бородулина, Татьяна Александровна",타티야나 보로둘리나
"Вятчанин, Аркадий Аркадьевич",아르카디 뱌차닌
"Распутин, Валентин Григорьевич",발렌틴 라스푸틴
"Кокшаров, Эдуард Александрович",예두아르트 콕샤로프
"Гайдарбеков, Гайдарбек Абдулаевич",가이다르베크 가이다르베코프
"Богиев, Вадим Иосифович",바딤 보기예프
"Бикмаев, Марат Рифкатович",마라트 비크마예프
"Лавроненко, Константин Николаевич",콘스탄틴 라브로넨코
"Аветисян, Арсен Липаритович",아르센 아베티샨
"Постнова, Людмила Григорьевна",류드밀라 포스트노바
"Аллилуева, Светлана Иосифовна",스베틀라나 알릴루예바
"Шульгин, Алексей Анатольевич",알렉세이 슐긴
"Алексеев, Василий Иванович",바실리 알렉세예프
"Турчинская, Лариса Александровна",라리사 투르친스카야
"Титов, Егор Ильич",예고르 티토프
"Мамут, Александр Леонидович",알렉산드르 마무트
"Скобцева, Ирина Константиновна",이리나 스코브세바
"Курамагомедов, Заур Исматулаевич",자우르 쿠라마고메도프
"Гуляев, Николай Алексеевич (конькобежец)",니콜라이 굴랴예프 (스피드스케이팅 선수)
"Инаркиев, Эрнесто Казбекович",에르네스토 이나르키예프
"Фадеев, Александр Владимирович",알렉산더 파데예프
"Казанкина, Татьяна Васильевна",타티야나 카잔키나
"Кузенкова, Ольга Сергеевна",올가 쿠젠코바
"Лаврова, Наталья Александровна",나탈리야 라브로바
"Феофанова, Светлана Евгеньевна",스베틀라나 페오파노바
"Волкова, Юлия Олеговна",율리야 볼코바
"Катина, Елена Сергеевна",레나 카티나
"Лебедева, Татьяна Романовна",타티야나 레베데바
"Боннэр, Елена Георгиевна",옐레나 본네르
"Ходченкова, Светлана Викторовна",스베틀라나 홋첸코바
"Патрушев, Николай Платонович",니콜라이 파트루셰프
"Тухманов, Давид Фёдорович",다비트 투흐마노프
"Мунзук, Максим Монгужукович",막심 문주크
"Синайский, Василий Серафимович",바실리 시나이스키
"Чурикова, Инна Михайловна",인나 추리코바
"Отарсултанов, Джамал Султанович",자말 오타르술타노프
"Орейро, Наталия",나탈리아 오레이로
"Власов, Роман Андреевич",로만 블라소프
"Юшкевич, Дмитрий Сергеевич",드미트리 유시케비치
"Насыров, Мурат Исмаилович",무라트 나시로프
"Слуцкая, Ирина Эдуардовна",이리나 슬루츠카야
"Слесаренко, Елена Владимировна",옐레나 슬레사렌코
"Пресс, Тамара Натановна",타마라 프레스
"Сёмин, Александр Валерьевич",알렉산드르 쇼민 (아이스하키 선수)
"Ойстрах, Игорь Давидович",이고리 오이스트라흐
"Водянова, Наталья Михайловна",나탈리야 보댜노바
"Абакумова, Мария Васильевна",마리야 아바쿠모바
"Гребешков, Денис Сергеевич",데니스 그레베시코프
"Комаров, Леонид Александрович",레오 코마로브
"Гранкин, Сергей Юрьевич",세르게이 그란킨
"Никулин, Игорь Юрьевич",이고리 니쿨린 (육상 선수)
"Сабиров, Шамиль Алтаевич",샤밀 사비로프
"Николаев, Валентин Владимирович",발렌틴 니콜라예프 (레슬링 선수)
"Мехонцев, Егор Леонидович",예고르 메혼체프
"Чапман, Анна Васильевна",애나 채프먼
"Клишина, Дарья Игоревна",다리야 클리시나
"Путина, Людмила Александровна",류드밀라 푸티나
"Ладынина, Марина Алексеевна",마리나 레디니나
"Токарева, Виктория Самуиловна",빅토리야 토카레바
"Андрейченко, Наталья Эдуардовна",나탈리야 안드레이첸코
"Романова, Мария Владимировна",마리야 블라디미로브나 여대공
"Аринбасарова, Наталия Утевлевна",나탈리야 아린바사로바
"Волков, Александр Александрович (волейболист)",알렉산드르 볼코프 (배구 선수)
"Хорошев, Игорь Петрович",이고르 호로셰프
"Быков, Сергей Владимирович",세르게이 비코프
"Исайчев, Владимир Евгеньевич",블라디미르 이사이체프
"Опалев, Максим Александрович",막심 오팔레프
"Корбан, Геннадий Владимирович",겐나디 코르반
"Мастеркова, Светлана Александровна",스베틀라나 마스테르코바
"Прохоров, Михаил Дмитриевич",미하일 프로호로프
"Рулин, Олеся Юрьевна",올레샤 루린
"Быкова, Тамара Владимировна",타마라 비코바
"Роднина, Ирина Константиновна",이리나 로드니나
"Хоркина, Светлана Васильевна",스베틀라나 호르키나
"Медведева, Светлана Владимировна",스베틀라나 메드베데바
"Скобликова, Лидия Павловна",리디야 스코블리코바
"Алекперов, Вагит Юсуфович",바기트 알렉페로프
"Хакамада, Ирина Муцуовна",이리나 하카마다
"Королёв, Игорь Борисович",이고리 코롤료프
"Захаревич, Юрий Иванович",유리 자하레비치
"Новиков, Игорь Дмитриевич",이고리 드미트리예비치 노비코프
"Шейк, Ирина",이리나 셰이크
"Ким, Нелли Владимировна",넬리 킴
"Акиньшина, Оксана Сергеевна",옥사나 아킨시나
"Бондаренко, Ольга Петровна",올가 본다렌코
"Воробьёва, Наталья Витальевна",나탈리야 보로비요바 (레슬링 선수)
"Поздняков, Станислав Алексеевич",스타니슬라프 포즈드냐코프
"Магомедов, Хаджимурад Сайгидмагомедович",하지무라트 마고메도프
"Антоненко, Ирина Игоревна",이리나 안토넨코
"Талызина, Валентина Илларионовна",발렌티나 탈리지나
"Елесина, Елена Борисовна",옐레나 옐레시나
"Лазутина, Лариса Евгеньевна",라리사 라주티나
"Волков, Александр Александрович (политик)",알렉산드르 알렉산드로비치 볼코프 (정치인)
"Маркелов, Леонид Игоревич",레오니트 마르켈로프
"Ооржак, Шериг-оол Дизижикович",셰리크올 오르자크
"Гурцкая, Диана Гудаевна",디아나 구르츠카야
"Хаматова, Чулпан Наилевна",출판 하마토바
"Александров, Александр Данилович",알렉산드르 다닐로비치 알렉산드로프
"Гири, Аниш",아니쉬 기리
"Санчес, Майкл Робертович",미카엘 산체스
"Юмин, Владимир Сергеевич",블라디미르 유민
"Харин, Дмитрий Викторович",드미트리 하린
"Юровский, Владимир Михайлович (дирижёр)",블라디미르 유롭스키
"Третьяков, Александр Владимирович (скелетонист)",알렉산드르 트레티야코프 (스켈레톤 선수)
"Хрущёв, Сергей Никитич",세르게이 흐루쇼프
"Немчинов, Сергей Львович",세르게이 넴치노프
"Шталенков, Михаил Алексеевич",미하일 시탈렌코프
"Рушайло, Владимир Борисович",블라디미르 루샤일로
"Войнович, Владимир Николаевич",블라디미르 보이노비치
"Подольская, Наталья Юрьевна (певица)",나탈리야 포돌스카야
"Цымбаларь, Илья Владимирович",일리야 침발라리
"Магомедов, Сейфулла Сеферович",세이풀라 마고메도프
"Кондратьева, Людмила Андреевна",류드밀라 콘드라티예바
"Котова, Татьяна Владимировна",타티야나 코토바 (육상 선수)
"Федорива, Александра Андреевна",알렉산드라 페도리바
"Форшева, Олеся Александровна",올레샤 포르셰바
"Комова, Виктория Александровна",빅토리야 코모바
"Рудьева, София Андреевна",소피야 루디예바
"Вознесенский, Андрей Андреевич",안드레이 보즈네센스키
"Степанова, Юлия Игоревна",율리야 스테파노바
"Гончар, Сергей Викторович",세르게이 곤차르
"Хабибулин, Николай Александрович",니콜라이 하비불린
"Фок, Владимир Александрович",블라디미르 포크
"Боголюбов, Николай Николаевич",니콜라이 보골류보프
"Егоров, Георгий Михайлович",게오르기 예고로프
"Вырупаев, Константин Григорьевич",콘스탄틴 비루파예프
"Горпишин, Вячеслав Николаевич",뱌체슬라프 고르피신
"Жижикин, Игорь Витальевич",이고리 지지킨
"Королёв, Евгений Александрович",예브게니 코롤료프
"Файзулин, Виктор Игоревич",빅토르 파이줄린
"Мурадов, Ширвани Гаджикурбанович",시르바니 무라도프
"Джонс, Рой",로이 존스 주니어
"Фетисов, Вячеслав Александрович",뱌체슬라프 페티소프
"Шариков, Сергей Александрович",세르게이 샤리코프
"Буре, Валерий Владимирович",발레리 부레
"Крылов, Владимир Валентинович",블라디미르 크릴로프
"Кривелёва, Светлана Владимировна",스베틀라나 크리벨료바
"Гущина, Юлия Александровна",율리야 구시치나
"Назарова, Наталья Викторовна",나탈리야 나자로바
"Печёнкина, Юлия Сергеевна",율리야 페촌키나
"Сидорова, Анна Владимировна",안나 시도로바
"Корзун, Дина Александровна",디나 코르준
"Ларионов, Игорь Николаевич",이고리 라리오노프
"Лобинцев, Никита Константинович",니키타 로빈체프
"Васюнов, Александр Сергеевич",알렉산드르 바슈노프
"Изотов, Данила Сергеевич",다닐라 이조토프
"Саутин, Дмитрий Иванович",드미트리 사우틴
"Коротышкин, Евгений Евгеньевич",예브게니 코로티시킨
"Чахкиев, Рахим Русланович",라힘 차흐키예프
"Таймазов, Тимур Борисович",티무르 타이마조프
"Непряев, Иван Николаевич",이반 네프랴예프
"Мусульбес, Давид Владимирович",다비트 무술베스
"Синай, Яков Григорьевич",야코프 시나이
"Чермошанская, Юлия Игоревна",율리야 체르모샨스카야
"Фирова, Татьяна Павловна",타티야나 피로바
"Грачёв, Павел Сергеевич",파벨 그라초프
"Окуджава, Булат Шалвович",불라트 오쿠자바
"Любшин, Станислав Андреевич",스타니슬라프 륩신
"Слуцкий, Леонид Викторович",레오니트 슬루츠키
"Хабенский, Константин Юрьевич",콘스탄틴 하벤스키
"Магомаев, Муслим Магометович",무슬림 마고마예프
"Торгованов, Дмитрий Николаевич",드미트리 토르고바노프
"Воротников, Виталий Иванович",비탈리 보로트니코프
"Цой, Анита Сергеевна",아니타 초이
"Абдулов, Александр Гавриилович",알렉산드르 아브둘로프
"Дылдин, Максим Сергеевич",막심 딜딘
"Зязиков, Мурат Магометович",무라트 쟈지코프
"Батиров, Мавлет Алавдинович",마블레트 바티로프
"Мордюкова, Нонна Викторовна",논나 모르듀코바
"Лепешинская, Ольга Васильевна",올가 레페신스카야
"Андиев, Сослан Петрович",소슬란 안디예프
"Крепкина, Вера Самойловна",베라 크레프키나
"Энквист, Людмила Николаевна",루드밀라 엥크비스트
"Хэммон, Бекки",베키 해먼
"Ледяхов, Игорь Анатольевич",이고리 레댜호프
"Никифоров, Юрий Валерьевич",유리 니키포로프
"Магомедов, Магомедсалам Магомедалиевич",마고메드살람 마고메도프
"Алиев, Муху Гимбатович",무후 알리예프
"Константинов, Виталий Викторович",비탈리 콘스탄티노프
"Карпенко, Виктор Александрович (футболист)",빅토르 카르펜코
"Ганеев, Реналь Рамилевич",레날 가네예프
"Сухов, Павел Владиславович",파벨 수호프
"Ахматхузин, Артур Камилевич",아르투르 아흐맛후진
"Хадарцев, Махарбек Хазбиевич",마하르베크 하다르체프
"Фриске, Жанна Владимировна",잔나 프리스케
"Литвинова, Людмила Анатольевна",류드밀라 리트비노바
"Мельник, Фаина Григорьевна",파이나 멜니크
"Булыкин, Дмитрий Олегович",드미트리 불리킨
"Ильина, Вера Сергеевна",베라 일리나
"Фридзон, Виталий Валерьевич",비탈리 프리존
"Любимов, Юрий Петрович",유리 류비모프
"Плисецкая, Майя Михайловна",마이야 플리세츠카야
"Подклетнов, Евгений Евгеньевич",예브게니 폿클레트노프
"Левенштейн, Владимир Иосифович",블라디미르 레벤시테인
"Чуркин, Виталий Иванович",비탈리 추르킨
"Пономарёва, Нина Аполлоновна",니나 포노마료바
Земфира,젬피라
"Ромашина, Светлана Алексеевна",스베틀라나 로마시나
"Манкиев, Назир Юнузович",나지르 만키예프
"Трегубов, Виктор Николаевич",빅토르 트레구보프
"Рязанцев, Александр Александрович",알렉산드르 랴잔체프
"Кара-оол, Шолбан Валерьевич",숄반 카라올
"Михайлов, Максим Михайлович",막심 미하일로프 (배구 선수)
"Вдовиченков, Владимир Владимирович",블라디미르 브도비첸코프
"Черышев, Денис Дмитриевич",데니스 체리셰프
"Щенников, Георгий Михайлович",게오르기 셴니코프
"Тихонов, Виктор Васильевич (1988)",빅토르 티호노프 (1988년)
"Садулаев, Абдул-Халим Абусаламович",아브둘할림 사둘라예프
"Пелевин, Виктор Олегович",빅토르 펠레빈
"Панкратов, Денис Владимирович",데니스 판크라토프
"Рогачёва, Людмила Васильевна",류드밀라 로가초바
"Магнитский, Сергей Леонидович",세르게이 마그니츠키
"Меньшиков, Олег Евгеньевич",올레크 멘시코프
"Шишкин, Юрий Николаевич",유리 쉬쉬킨
"Россель, Эдуард Эргартович",예두아르트 로셀
"Дмитриев, Роман Михайлович",로만 드미트리예프
"Фридман, Уильям Фредерик",윌리엄 F. 프리드먼
"Тотров, Рустам Станиславович",루스탐 토트로프
"Мишкутёнок, Наталья Евгеньевна",나탈리야 미시쿠툐노크
"Болотников, Пётр Григорьевич",표트르 볼로트니코프
"Заварзина, Алёна Игоревна",알료나 자바르지나
"Макаров, Сергей Александрович",세르게이 마카로프 (육상 선수)
"Лисица, Валентина Евгеньевна",발렌티나 리시차
"Гамова, Екатерина Александровна",예카테리나 가모바
"Ахмадулина, Белла Ахатовна",벨라 아흐마둘리나
"Яшин, Алексей Валерьевич",알렉세이 야신
"Лапшин, Тимофей Алексеевич",티모페이 랍신
"Лукас, Майкл",마이클 루커스
"Павлов, Виктор Павлович",빅토르 파블로프
Носорог (Marvel Comics),라이노 (마블 코믹스)
"Макаров, Николай Егорович",니콜라이 예고로비치 마카로프
"Савельева, Людмила Михайловна",류드밀라 사벨리예바
"Кац, Мария Львовна",유디피
"Толстоганова, Виктория Викторовна",빅토리야 톨스토가노바
"Пивоварова, Александра Игоревна",사샤 피보바로바
"Иванова, Олимпиада Владимировна",올림피아다 이바노바
"Зубов, Сергей Александрович",세르게이 주보프
"Проханов, Александр Андреевич",알렉산드르 프로하노프
"Маринато, Гильерме",길례르미 마리나투
"Балуевский, Юрий Николаевич",유리 발루옙스키
"Канаева, Евгения Олеговна",예브게니야 카나예바
"Гордеева, Екатерина Александровна",예카테리나 고르데예바
"Гриньков, Сергей Михайлович",세르게이 그린코프
"Греф, Герман Оскарович",게르만 그레프
"Силуанов, Антон Германович",안톤 실루아노프
"Жуков, Сергей Петрович",세르게이 주코프 (아이스하키 선수)
"Томашова, Татьяна Ивановна",타티야나 토마쇼바
"Кабаева, Алина Маратовна",알리나 카바예바
"Карповцев, Александр Георгиевич",알렉산드르 카르폽체프
"Садова, Наталья Ивановна",나탈리야 사도바
"Табаков, Олег Павлович",올레크 타바코프
"Шарифов, Шариф Наидгаджавович",섀리프 섀리포프
"Чухрай, Григорий Наумович",그리고리 추흐라이
"Яковлева, Елена Алексеевна",옐레나 야코블레바
"Меджидов, Магомедрасул Юсуб оглы",매햄매드래술 매지도프
"Якименко, Алексей Андреевич",알렉세이 야키멘코
"Черемисинов, Алексей Борисович",알렉세이 체레미시노프
"Колобова, Виолетта Витальевна",비올레타 콜로보바
"Шутова, Любовь Андреевна",류보비 슈토바
"Решетников, Вениамин Сергеевич",베니아민 레셰트니코프
"Родионов, Евгений Александрович",예브게니 로디오노프
