Ernests Gulbis (tenisists),厄內斯特·古爾比斯
Anastasija Sevastova,安娜絲塔西卓·希瓦妥娃
Jānis Birks,雅尼斯·比尔克斯
Kurzemes Marija Amālija,庫爾蘭的瑪麗亞·艾瑪莉亞
Helmuts Štegmanis,赫尔穆斯·斯蒂格曼
Oskars Melbārdis,奥斯卡斯·梅尔巴季斯
Laura Ikauniece,劳拉·伊考涅采
Jānis Peive,贾尼斯·佩维
Jurijs Rubenis,尤里·鲁本
Kristīne Gurecka,克里斯汀·舍费尔
Krišjānis Barons,克里沙尼·巴隆斯
Ginta Lapiņa,金塔·拉皮娜
Eduards Liepiņš (1889—1938),爱德华·列平
Rihards Kols,理查德·科爾斯
Kaspars Bērziņš,卡斯帕斯·別爾津什
Edgars Vinters,埃德加·温特尔
Jānis Blūms (basketbolists),揚尼斯·布盧姆斯
Kristaps Porziņģis,克里斯塔普斯·波爾津吉斯
Aļona Ostapenko,耶蓮娜·奧斯塔朋科
Agnese Āboltiņa,阿格内塞·阿博尔季尼亚
Georgs Pelēcis,格奥尔格斯·佩里西斯
Mārtiņš Meiers (basketbolists),馬丁斯·美耶斯
Māris Kučinskis,馬里斯·庫欽斯基斯
Māris Liepa,馬里斯·里耶帕
Rodions Kurucs,羅迪昂斯·庫魯斯
Rolands Freimanis,罗兰兹·弗赖马尼斯
Raimonds Vējonis,雷蒙茲·韋約尼斯
Deniss Vasiļjevs,丹尼斯·瓦西里耶夫斯
Haralds Kārlis,哈拉爾德斯·卡利斯
Deandrē Jedlins,德安德烈·叶德林
Pēteris Briedis,彼得·布里迪斯
Jānis Vucāns,賈尼斯·福燦
Pjotrs Avens,彼得·奥列戈维奇·阿文
Gunta Vaičule,岡塔·拉迪賽娃
Kaspars Vecvagars,卡斯帕斯·維瓦加斯
Pēteris Strautmanis,彼得·斯特劳曼尼斯
Laimdota Straujuma,萊姆多塔·斯特勞尤馬
Artis Lazdiņš,阿迪斯·拉津斯
Artūrs Plēsnieks,阿图尔斯·普莱斯尼克斯
Jānis Strēlnieks,揚尼斯·斯特雷爾涅克斯
Kristers Aparjods,克里斯特斯·阿帕約茲
Edgars Rinkēvičs,埃德加斯·林克維奇斯
Aigars Šķēle,埃加爾斯·什克萊
Žanis Peiners,扎尼斯·佩內斯
Rebeka Ibrahima,蕾贝卡·易卜拉欣
Arturs Krišjānis Kariņš,克里什亞尼斯·卡林什
Jānis Timma,揚尼斯·提馬
Alberts Bels,阿尔贝茨·贝尔斯
Jānis Vagris,贾尼斯·瓦格里斯
Tobu,Tobu·(音樂製作人)
Evika Siliņa,埃维卡·西利尼亚
Elīza Tīruma,伊麗莎·季魯馬
Tīna Laura Graudiņa,季娜·格劳季尼亚
Anastasija Samoilova,阿纳斯塔西娅·萨莫伊洛娃
Agnis Čavars,阿格尼斯·恰瓦斯
Roberts Plūme (kamaniņu braucējs),羅伯茨·普呂姆
Agate Rašmane,阿加特·拉什马内
Mārtiņš Bots,馬丁斯·博茨
Ritvars Suharevs,里特瓦尔斯·苏哈雷夫斯
