François Hollande,フランソワ・オランド
Jean-Dominique Cassini,ジョヴァンニ・カッシーニ
Léon Walras,レオン・ワルラス
Marcel Duchamp,マルセル・デュシャン
Gustave Doré,ギュスターヴ・ドレ
Anna de Noailles,アンナ・ド・ノアイユ
Fahid Ben Khalfallah,ファヒド・ベン・ハルファラー
Bernard Arnault,ベルナール・アルノー
Charles Marie de La Condamine,シャルル＝マリー・ド・ラ・コンダミーヌ
Rachida Dati,ラシダ・ダティ
Edmond Dulac,エドマンド・デュラック
Florian Thauvin,フロリアン・トヴァン
Marie-Jeanne-Baptiste de Savoie,マリー・ジャンヌ・ド・サヴォワ＝ヌムール
Eugène Delacroix,ウジェーヌ・ドラクロワ
Maurice Ravel,モーリス・ラヴェル
Frédéric Chopin,フレデリック・ショパン
Julien Offray de La Mettrie,ジュリアン・オフレ・ド・ラ・メトリー
Michel Onfray,ミシェル・オンフレ
Évariste Galois,エヴァリスト・ガロア
Robert Brasillach,ロベール・ブラジヤック
Paul Thiry d'Holbach,ポール＝アンリ・ティリ・ドルバック
Tony Garnier,トニー・ガルニエ
Jules Verne,ジュール・ヴェルヌ
Sigamary Diarra,シガマリ・ディアッラ
Sambou Yatabaré,サンブ・ヤタバレ
Mehdi Mostefa,メフディ・モステファ
Frédéric Hantz,フレデリック・アンツ
Robert Schuman,ロベール・シューマン
Jérôme Rothen,ジェローム・ロタン
Robert Delaunay,ロベール・ドローネー
Marie Curie,マリ・キュリー
Jean-Marie Le Pen,ジャン＝マリー・ル・ペン
Mahiedine Mekhissi-Benabbad,マイディーヌ・メキシベナバ
Nicolas Leblanc,ニコラ・ルブラン
Charles Messier,シャルル・メシエ
Émile Durkheim,エミール・デュルケーム
Julien Sablé,ジュリアン・サブレ
Tristan Tzara,トリスタン・ツァラ
Georges Seurat,ジョルジュ・スーラ
Édith Piaf,エディット・ピアフ
Françoise Sagan,フランソワーズ・サガン
Gustave Courbet,ギュスターヴ・クールベ
Philippe II Auguste,フィリップ2世・(フランス王)
Oumar Sissoko,オウマル・シッソコ
Louis Antoine de Saint-Just,ルイ・アントワーヌ・ド・サン＝ジュスト
Yannick Cahuzac,ヤニック・カユザック
Wahbi Khazri,ワフビ・ハズリ
Serge Gainsbourg,セルジュ・ゲンスブール
Renaud,ルノー・セシャン
Simone de Beauvoir,シモーヌ・ド・ボーヴォワール
Renaud Lavillenie,ルノー・ラビレニ
Charles Aznavour,シャルル・アズナヴール
Henri Barbusse,アンリ・バルビュス
Louis Armand (ingénieur),ルイ・アルマン
Joseph Gallieni,ジョゼフ・ガリエニ
Jean-Armel Kana-Biyik,ジャン＝アルメル・カナ＝ビイク
Emmanuel d'Orléans,エマニュエル・ドルレアン
Gao Xingjian,高行健
Albert Camus,アルベール・カミュ
Barbara,バルバラ・(歌手)
Laurent Blanc,ローラン・ブラン
Marcel Proust,マルセル・プルースト
Zinédine Zidane,ジネディーヌ・ジダン
Marie-Anne Pierrette Paulze,マリー＝アンヌ・ピエレット・ポールズ
Paul Lasne,ポール・ラスヌ
Frédéric Sammaritano,フレデリク・サンマリターノ
Harlem Désir,アルレム・デジール
Jean Françaix,ジャン・フランセ
Nicolas Appert,ニコラ・アペール
Paul Cézanne,ポール・セザンヌ
Robert le Danois,ロベール2世・(ルーアン大司教)
Brigitte Bardot,ブリジット・バルドー
Hugo Lloris,ウーゴ・ロリス
Corentin Martins,コランタン・マルティンス
Sabri Lamouchi,サブリ・ラムシ
Émilie du Châtelet,エミリー・デュ・シャトレ
Adil Rami,アディル・ラミ
Mathieu Debuchy,マテュー・ドゥビュシー
Igor Stravinsky,イーゴリ・ストラヴィンスキー
Irène Joliot-Curie,イレーヌ・ジョリオ＝キュリー
Jonathan Ayité,ジョナタン・アイテ
Bernard Mendy,ベルナール・メンディ
Daniel Sanchez,ダニエル・サンチェス
Jonathan Schmid (football),ジョナタン・シュミット
Samuel Beckett,サミュエル・ベケット
Fernandel,フェルナンデル
Olivier Giroud,オリヴィエ・ジルー
Yohan Cabaye,ヨアン・キャバイェ
Jean-Marc Ayrault,ジャン＝マルク・エロー
Napoléon III,ナポレオン3世
Pierre Curie,ピエール・キュリー
Napoléon II,ナポレオン2世
Ismaël Traoré,イスマエル・トラオレ
Auguste Renoir,ピエール＝オーギュスト・ルノワール
Roger Martin du Gard,ロジェ・マルタン・デュ・ガール
Karim Benzema,カリム・ベンゼマ
Kenny Lala,ケニー・ララ
Catherine de Clèves,カトリーヌ・ド・クレーヴ
Florent Malouda,フローラン・マルダ
Laurent Koscielny,ローラン・コシールニー
Louis Bonaparte,ルイ・ボナパルト
Louis XV,ルイ15世・(フランス王)
Paul Gauguin,ポール・ゴーギャン
Nadar,ナダール
Joseph Deniker,ジョゼフ・ドゥニケール
Patrice Évra,パトリス・エヴラ
Joseph Bonaparte,ジョゼフ・ボナパルト
Philippe Mexès,フィリップ・メクセス
Édouard Manet,エドゥアール・マネ
Amélie de Leuchtenberg,アメリー・ド・ボアルネ
Jules Richard (industriel),ジュール・リシャール
Marvin Compper,マーヴィン・コンパー
René Girard,ルネ・ジラール
Samir Nasri,サミル・ナスリ
Mathieu Valbuena,マテュー・ヴァルブエナ
Franck Ribéry,フランク・リベリー
Anthony Réveillère,アントニー・レヴェイエール
Blaise Matuidi,ブレーズ・マテュイディ
Charles X,シャルル10世・(フランス王)
Boris Vian,ボリス・ヴィアン
Louis-Philippe Ier,ルイ・フィリップ・(フランス王)
Michel Ney,ミシェル・ネイ
Alexandre Dumas,アレクサンドル・デュマ・ペール
Henri Becquerel,アンリ・ベクレル
Valérie Donzelli,ヴァレリー・ドンゼッリ
Olivier Ledroit,オリヴィエ・ルドロワ
Eugène Charles Catalan,ウジェーヌ・シャルル・カタラン
Steve Mandanda,スティーヴ・マンダンダ
Jérémy Ménez,ジェレミー・メネス
Yann M'Vila,ヤン・エムヴィラ
Alou Diarra,アルー・ディアッラ
Sébastien Loeb,セバスチャン・ローブ
Alfred Jarry,アルフレッド・ジャリ
Michel Larionov,ミハイル・ラリオーノフ
Jules Hardouin-Mansart,ジュール・アルドゥアン＝マンサール
Dominique Pinon,ドミニク・ピノン
Nicolas Poussin,ニコラ・プッサン
Jacques Offenbach,ジャック・オッフェンバック
Jacques Derrida,ジャック・デリダ
Alexandre Alekhine,アレクサンドル・アレヒン
Sidney Govou,シドニー・ゴブ
Gaël Clichy,ガエル・クリシー
Cédric Carrasso,セドリック・カラッソ
Marvin Martin,マルヴァン・マルタン
Hatem Ben Arfa,ハテム・ベン・アルファ
Bacary Sagna,バカリ・サニャ
William Gallas,ウィリアム・ギャラス
Djibril Cissé,ジブリル・シセ
Louis XI,ルイ11世・(フランス王)
Éric Abidal,エリック・アビダル
Jean Ier le Posthume,ジャン1世・(フランス王)
Louis X,ルイ10世・(フランス王)
Nicolas Anelka,ニコラ・アネルカ
Paul Bocuse,ポール・ボキューズ
David Guetta,デヴィッド・ゲッタ
Louis Daguerre,ルイ・ジャック・マンデ・ダゲール
Claude Simon,クロード・シモン
Sully Prudhomme,シュリ・プリュドム
Sébastien Squillaci,セバスティアン・スキラシ
André-Pierre Gignac,アンドレ＝ピエール・ジニャック
Joseph Fourier,ジョゼフ・フーリエ
Abou Diaby,アブー・ディアビ
Jérémy Toulalan,ジェレミー・トゥララン
Marouane Chamakh,マルアーヌ・シャマフ
Philippe V le Long,フィリップ5世・(フランス王)
Henri Bergson,アンリ・ベルクソン
J. M. G. Le Clézio,ジャン＝マリ・ギュスターヴ・ル・クレジオ
Jeanne II d'Auvergne,ジャンヌ2世・(オーヴェルニュ女伯)
Ilona Mitrecey,イローナ・ミトルセー
Augustin Louis Cauchy,オーギュスタン＝ルイ・コーシー
Anatole France,アナトール・フランス
François II (roi de France),フランソワ2世・(フランス王)
Nadia Boulanger,ナディア・ブーランジェ
Alexis de Tocqueville,アレクシ・ド・トクヴィル
Clément V,クレメンス5世・(ローマ教皇)
Suger,シュジェール
Catherine de Médicis,カトリーヌ・ド・メディシス
Ferdinand d'Orléans (1844-1910),フェルディナン・ドルレアン・(アランソン公)
François Étienne Kellermann,フランソワ・エティエンヌ・ケレルマン
Dominique de Villepin,ドミニク・ド・ビルパン
Zabou Breitman,ザブー・ブライトマン
Bruno Cremer,ブリュノ・クレメール
Zacarias Moussaoui,ザカリアス・ムサウイ
François Mitterrand,フランソワ・ミッテラン
Marion Cotillard,マリオン・コティヤール
Voltaire,ヴォルテール
Frédéric Mistral,フレデリック・ミストラル
David Ginola,ダヴィド・ジノラ
Sophia Loren,ソフィア・ローレン
Saint-John Perse,サン＝ジョン・ペルス
Georges Pompidou,ジョルジュ・ポンピドゥー
Honoré de Balzac,オノレ・ド・バルザック
Mickaël Pagis,ミカエル・パジ
Charles de Gaulle,シャルル・ド・ゴール
Jean-Étienne Guettard,ジャン＝エティエンヌ・ゲタール
Urbain V,ウルバヌス5世・(ローマ教皇)
Gabriel Lippmann,ガブリエル・リップマン
Coluche,コリューシュ
Gustave Flaubert,ギュスターヴ・フローベール
Josquin des Prés,ジョスカン・デ・プレ
Étienne Marcel,エティエンヌ・マルセル
Jacques Chirac,ジャック・シラク
Charles VII (roi de France),シャルル7世・(フランス王)
Tamatoa Wagemann,タマトア・ワグマン
Guillaume Apollinaire,ギヨーム・アポリネール
Carla Bruni,カーラ・ブルーニ
Ève Francis,エーヴ・フランシス
Valéry Giscard d'Estaing,ヴァレリー・ジスカール・デスタン
Guy de Maupassant,ギ・ド・モーパッサン
Jean-Paul Sartre,ジャン＝ポール・サルトル
Patrick Chila,パトリック・シーラ
Aatif Chahechouhe,アーティフ・シャヘシュヘ
Francis Ambrière,フランシス・アンブリエール
Bartholomew Ogbeche,バーソロミュー・オグベチェ
Miralem Pjanić,ミラレム・ピャニッチ
Anselme de Cantorbéry,アンセルムス
Mehdi Baala,メディー・バアラ
Zao Wou-Ki,ザオ・ウーキー
Charles IX (roi de France),シャルル9世・(フランス王)
René Descartes,ルネ・デカルト
Jean-François Millet,ジャン＝フランソワ・ミレー
Pān Yuliang,潘玉良
Jean Reno,ジャン・レノ
Jean Perrin,ジャン・ペラン
Louis VII le Jeune,ルイ7世・(フランス王)
Hector Léveillé,エクトル・レヴェイエ
Pierre Desproges,ピエール・デプロージュ
Louis de Funès,ルイ・ド・フュネス
Bourvil,ブールヴィル
Antoine de Saint-Exupéry,アントワーヌ・ド・サン＝テグジュペリ
Bixente Lizarazu,ビセンテ・リザラズ
Django Reinhardt,ジャンゴ・ラインハルト
Étienne Sandorfi,イシュトヴァーン・サンドルフィ
Charles VIII (roi de France),シャルル8世・(フランス王)
Georges Petit (galeriste),ジョルジュ・プティ
Maximilien de Robespierre,マクシミリアン・ロベスピエール
Thierry Omeyer,ティエリー・オメイエール
Mickaël Landreau,ミカエル・ランドロー
Jean-Baptiste Camille Corot,ジャン＝バティスト・カミーユ・コロー
Pavel Dourov,パーヴェル・ドゥーロフ
Patrick Ricard,パトリック・リカール
Charles Maurras,シャルル・モーラス
Gilles-Éric Séralini,ジル＝エリック・セラリーニ
George Sand,ジョルジュ・サンド
Manuel Valls,マニュエル・ヴァルス
Alain Prost,アラン・プロスト
Michel Foucault,ミシェル・フーコー
Camille Pissarro,カミーユ・ピサロ
Valery Larbaud,ヴァレリー・ラルボー
Jean Victor de Besenval de Brünstatt,ジャン＝ヴィクトル・ド・ブザンヴァル・ド・ブルンシュタット
Aurore Clément,オーロール・クレマン
Wissam Ben Yedder,ウィサム・ベン・イェデル
Camille Saint-Saëns,カミーユ・サン＝サーンス
Gérard Philipe,ジェラール・フィリップ
Frédéric Joliot-Curie,フレデリック・ジョリオ＝キュリー
Louis Aragon,ルイ・アラゴン
Heinrich Heine,ハインリヒ・ハイネ
André The Giant,アンドレ・ザ・ジャイアント
Elsa Triolet,エルザ・トリオレ
Jérôme Neuville,ジェローム・ヌヴィユ
Florent Manaudou,フローラン・マナドゥ
Adam de la Halle,アダン・ド・ラ・アル
Bernard Lacombe,ベルナール・ラコンブ
Michel Platini,ミシェル・プラティニ
Jean-Michel Aulas,ジャン・ミシェル・オラス
Camille Muffat,カミーユ・ムファ
Élisa Bonaparte,エリザ・ボナパルト
Jérôme Bonaparte,ジェローム・ボナパルト
Lucien Bonaparte,リュシアン・ボナパルト
Pierre-Simon de Laplace,ピエール＝シモン・ラプラス
André Malraux,アンドレ・マルロー
Martin IV,マルティヌス4世・(ローマ教皇)
Claude Pinoteau,クロード・ピノトー
Willy Sagnol,ウィリー・サニョル
Anne d'Autriche (1601-1666),アンヌ・ドートリッシュ
Joachim Murat,ジョアシャン・ミュラ
Alphonse Daudet,アルフォンス・ドーデ
Olivier Messiaen,オリヴィエ・メシアン
Émile Bréhier,エミール・ブレイエ
Émile Boutroux,エミール・ブートルー
Olivier Py,オリヴィエ・ピィ
Ulrich Ramé,ユルリク・ラメ
Jehanne d'Alcy,ジュアンヌ・ダルシー
Louise de Lorraine-Vaudémont,ルイーズ・ド・ロレーヌ＝ヴォーデモン
Zoumana Camara,ズマナ・カマラ
Émile Cartailhac,エミール・カルタイヤック
Aravane Rezaï,アラバン・レザイ
Marie-José Pérec,マリー＝ジョゼ・ペレク
Martine Aubry,マルティーヌ・オブリー
Yeardley Smith,イヤードリー・スミス
Alexandre Alphonse,アレクサンドル・アルフォンス
Henri-Marie Ducrotay de Blainville,アンリ・ブランヴィル
Anouk Aimée,アヌーク・エーメ
Émile Benveniste,エミール・バンヴェニスト
Philip Sainton,フィリップ・セイントン
Paul Signac,ポール・シニャック
Émile Champion,エミール・シャンピオン
Joséphine Baker,ジョセフィン・ベーカー
Louis-Ferdinand Céline,ルイ＝フェルディナン・セリーヌ
Isabelle de France (1295-1358),イザベラ・オブ・フランス
Émile Cohl,エミール・コール
Alain (philosophe),エミール＝オーギュスト・シャルティエ
Austen Henry Layard,オースティン・ヘンリー・レヤード
Émile Coué,エミール・クーエ
Ousmane Coulibaly,ウスマン・クリバリ
Paul Baysse,ポール・ベス
Letizia Bonaparte,マリア・レティツィア・ボナパルト
Pierre Laval,ピエール・ラヴァル
Georges-Louis Leclerc de Buffon,ジョルジュ＝ルイ・ルクレール・ド・ビュフォン
Claude de France (1499-1524),クロード・ド・フランス
Françoise Mbango Etone,フランソワーズ・ムバンゴ
Alizé Cornet,アリーゼ・コルネ
Louis Réard,ルイ・レアール
Émile Durand (musicien),エミール・デュラン
Macha Méril,マーシャ・メリル
Henri Salvador,アンリ・サルヴァドール
Marcel Aymé,マルセル・エイメ
Lucien Petit-Breton,ルシアン・プティブルトン
Charles de Freycinet,シャルル・ド・フレシネ
Émile Gallé,エミール・ガレ
Charles de France (1686-1714),シャルル・ド・ブルボン・(ベリー公)
Nicolas Mahut,ニコラ・マユ
Antoine Becquerel,アントワーヌ・セザール・ベクレル
Fabrice Ehret,ファブリス・エレ
Yannick Sagbo,ヤニック・サグボ
Pierre-Emerick Aubameyang,ピエール＝エメリク・オーバメヤン
Paul Éluard,ポール・エリュアール
Matthieu Delpierre,マチュー・デルピエール
Georges Méliès,ジョルジュ・メリエス
Adèle de Champagne,アデル・ド・シャンパーニュ
Isabelle Aubret,イザベル・オーブレ
Carlos Gardel,カルロス・ガルデル
Isabelle d'Aragon (1247-1271),イザベル・ダラゴン
Olivier Sorlin,オリヴィエ・ソルラン
Paul Cornu (inventeur),ポール・コルニュ
Raoul Dufy,ラウル・デュフィ
Laure Manaudou,ロール・マナドゥ
Lucile Hadzihalilovic,ルシール・アザリロヴィック
Jean Buridan,ジャン・ビュリダン
Geneviève de Gaulle-Anthonioz,ジュヌヴィエーヴ・ド・ゴール＝アントニオーズ
Jean Dausset,ジャン・ドーセ
Marie-Thérèse d'Autriche (1638-1683),マリー・テレーズ・ドートリッシュ
René Primevère Lesson,ルネ＝プリムヴェール・レッソン
Henri Giraud (militaire),アンリ・ジロー
Michel Serrault,ミシェル・セロー
Germaine Dulac,ジェルメーヌ・デュラック
Íngrid Betancourt,イングリッド・ベタンクール
Robert Capa,ロバート・キャパ
Abel Decaux,アベル・ドゥコー
Abel Goumba,アベル・グンバ
Abel Pavet de Courteille,アベル・パヴェ・ド・クルテイユ
Clotilde Hesme,クロティルド・エスム
Marie de Guise (1515-1560),メアリ・オブ・ギーズ
Hortense de Beauharnais,オルタンス・ド・ボアルネ
Nathalie Dechy,ナタリー・ドシー
Jean Nicot,ジャン・ニコ
Abel Bonnard,アベル・ボナール
Agnès Varda,アニエス・ヴァルダ
Isabelle de France (1389-1409),イザベラ・オブ・ヴァロワ
Thierry Henry,ティエリ・アンリ
Emmanuel Levinas,エマニュエル・レヴィナス
Jean-Claude Trichet,ジャン＝クロード・トリシェ
Man Ray,マン・レイ
Constantin Brâncuși,コンスタンティン・ブランクーシ
Valérie Trierweiler,ヴァレリー・トリールヴァイレール
Irène Jacob,イレーヌ・ジャコブ
Pierre d'Ailly,ピエール・ダイイ
Sébastien Bassong,セバスティアン・バソング
Le Pétomane,ル・ペトマーヌ
François Furet,フランソワ・フュレ
Alexis Bouvard,アレクシス・ブヴァール
André Maginot,アンドレ・マジノ
Madame du Barry,デュ・バリー夫人
Madame de Maintenon,マントノン侯爵夫人フランソワーズ・ドービニェ
Diane de Poitiers,ディアーヌ・ド・ポワチエ
Yaacov Agam,ヤコブ・アガム
Coco Chanel,ココ・シャネル
Jacques Maritain,ジャック・マリタン
Sébastien Grosjean,セバスチャン・グロジャン
Eugène Scribe,ウジェーヌ・スクリーブ
Pascal Chimbonda,パスカル・シンボンダ
Alexandre Koyré,アレクサンドル・コイレ
Anne Brochet,アンヌ・ブロシェ
Marion Clignet,マリオン・クリニェ
Marie-Monique Robin,マリー＝モニク・ロバン
Leslie Caron,レスリー・キャロン
Ève Curie,エーヴ・キュリー
Clémence de Hongrie,クレマンス・ド・オングリー
Isabelle Caro,イザベル・カロ
Lili Boulanger,リリ・ブーランジェ
Kiki de Montparnasse,アリス・プラン
Pauline Bonaparte,ポーリーヌ・ボナパルト
Iannis Xenakis,ヤニス・クセナキス
Jacques Dupont (cyclisme),ジャック・デュポン
Nina Berberova,ニーナ・ベルベーロヴァ
Gad Elmaleh,ガッド・エルマレ
Jérémie Aliadière,ジェレミー・アリアディエール
Jacques Thibaud,ジャック・ティボー
Jean-Baptiste Kléber,ジャン＝バティスト・クレベール
Charles Fabry,シャルル・ファブリ
Jean-Pierre Cassel,ジャン＝ピエール・カッセル
Stephanie Szostak,ステファニー・ショスタク
Caroline Bonaparte,カロリーヌ・ボナパルト
Max Linder,マックス・ランデー
Caroline Otero,ラ・ベル・オテロ
Charlotte Gainsbourg,シャルロット・ゲンズブール
Guillaume Brune,ギヨーム＝マリ＝アンヌ・ブリューヌ
Henri Dutilleux,アンリ・デュティユー
Jean-Antoine Houdon,ジャン＝アントワーヌ・ウードン
Patrick Vieira,パトリック・ヴィエラ
Edgar Degas,エドガー・ドガ
Ivan Bounine,イヴァン・ブーニン
Louis Joseph Gay-Lussac,ジョセフ・ルイ・ゲイ＝リュサック
Micheline Bernardini,ミシュリーヌ・ベルナルディーニ
Georges Charpak,ジョルジュ・シャルパク
Albert Fert,アルベール・フェール
Adriana Karembeu,アドリアナ・カランブー
Ambroise Paré,アンブロワーズ・パレ
Alexandre Benois,アレクサンドル・ベノワ
Louis Renault (juriste),ルイ・ルノー・(法学者)
Michèle Mercier,ミシェル・メルシェ・(俳優)
Edme Mariotte,エドム・マリオット
Pierre Savorgnan de Brazza,ピエール・ブラザ
Romain Rolland,ロマン・ロラン
Jean Le Rond d'Alembert,ジャン・ル・ロン・ダランベール
Kanga Akalé,カンガ・アカレ
Marguerite Duras,マルグリット・デュラス
Michel Fourniret,ミシェル・フルニレ
Édith Cresson,エディット・クレッソン
Jacques Delors,ジャック・ドロール
Anne-Marie d'Orléans,アンナ・マリーア・ドルレアンス
Louise-Élisabeth de France,ルイーズ・エリザベート・ド・フランス
Pascal Lamy,パスカル・ラミー
Bernard Brunhes (géophysicien),ベルナール・ブリュンヌ
Bernard Lamy,ベルナール・ラミ
Joseph Philippe François Deleuze,ジョゼフ・フィリップ・フランソワ・ドゥルーズ
Pierre François Lacenaire,ピエール・フランソワ・ラスネール
Jean-Baptiste Faure,ジャン＝バティスト・フォール
Souphanouvong,スパーヌウォン
Léo Ferré,レオ・フェレ
Jean-Marc Nattier,ジャン＝マルク・ナティエ
Milan Rastislav Štefánik,ミラン・シュテファーニク
Georges Braque,ジョルジュ・ブラック
Henriette d'Angleterre,ヘンリエッタ・アン・ステュアート
Léa Seydoux,レア・セドゥ
Anne de Foix,アンヌ・ド・フォワ
Constance d'Arles,コンスタンス・ダルル
Madame de Montespan,モンテスパン侯爵夫人フランソワーズ・アテナイス
Maurice André,モーリス・アンドレ
Marie-Antoinette d'Autriche,マリー・アントワネット
Jean Arp,ジャン・アルプ
Steevy Chong Hue,スティーヴィ・チョン・フエ
Jean-Marie Collot d'Herbois,ジャン＝マリー・コロー・デルボワ
Boris Kaufman,ボリス・カウフマン
Joseph Laurent,ジョゼフ＝ジャン＝ピエール・ロラン
Théodore Caruelle d'Aligny,テオドール・カリュエル・ダリニー
Louis Lacombe (compositeur),ルイ・ラコンブ
Dany Robin,ダニー・ロバン
Geoffroi Ier de Villehardouin,ジョフロワ1世・ド・ヴィルアルドゥアン
Cassandre (graphiste),アドルフ・ムーロン・カッサンドル
Nicolas Douchez,ニコラ・ドゥシェ
André Gide,アンドレ・ジッド
Arsène Wenger,アーセン・ベンゲル
Paul Celan,パウル・ツェラン
Aristide Maillol,アリスティド・マイヨール
Isabeau de Bavière,イザボー・ド・バヴィエール
György Kurtág,クルターグ・ジェルジュ
Gabriel Marcel,ガブリエル・マルセル
François de Sales,フランシスコ・サレジオ
