Latvija,라트비아
Brīvības piemineklis,자유 기념비
FK Liepājas Metalurgs,FK 리에파야스 메탈루르크스
Latvijas futbola Virslīga,비르스리가
Dziesmotā revolūcija,노래 혁명
Lielvārde,리엘바르데
Skonto FC,스콘토 FC
Dzintara ceļš,호박의 길
Baldone,발도네
Eiropas autoceļš E77,유럽 고속도로 77호선
Air Baltic Corporation,에어발틱
Brocēnu novads,브로체니 시
Baltijas Dziesmu un deju svētki,노래와 춤의 축전
Ask.fm,Ask.fm
Pļaviņu novads,플랴비냐스시
Aknīstes novads,아크니스테시
Balvu rajons,발비구
Baltijas tīģeri,발트의 호랑이
Tukuma novads,투쿰스 시
Ludzas novads,루자 시
Eiropas autoceļš,유럽 고속도로
Cēsis,체시스
Dievturība,디에브투리바
SK Blāzma,SK 블라즈마
Valmiera,발미에라
Latvijas dzelzceļš,라트비아 철도
FK Rīgas Futbola skola,FK RFS
Vienotība,단결
Rīgas apriņķis,리가스 아프린치스
Daugavpils novads,다우가프필스시
Latvijas diplomātisko misiju uzskaitījums,라트비아의 재외공관 목록
Latvijas—Baltkrievijas robeža,라트비아-벨라루스 국경
rudzu maize,호밀빵
Latvija 1928. gada Ziemas Olimpiskajās spēlēs,1928년 동계 올림픽 라트비아 선수단
Latvija 1924. gada Ziemas Olimpiskajās spēlēs,1924년 동계 올림픽 라트비아 선수단
Latvija 2006. gada Ziemas Olimpiskajās spēlēs,2006년 동계 올림픽 라트비아 선수단
Aldaris (uzņēmums),알다리스
Kuldīga,쿨디가
Mikrotīkls,미크로틱
somi,핀족
Latvija 2010. gada Ziemas Olimpiskajās spēlēs,2010년 동계 올림픽 라트비아 선수단
Latvijas Republikas Ministru prezidents,라트비아의 총리
Saulkrastu novads,사울크라스티 시
lats,라트비아 라트
Latvija 1996. gada Vasaras Olimpiskajās spēlēs,1996년 하계 올림픽 라트비아 선수단
Zaļo un Zemnieku savienība,녹색농민연합
Limbaži,림바지
Liepāja,리예파야
Visu Latvijai,모두를 위한 라트비아!
Baltijas Kauss futbolā,발틱컵
vācbaltieši,발트 독일인
Latvijas himna,라트비아의 국가
Līgatnes novads,리가트네시
pārkrievošana,러시아화
Rīgas Vagonbūves rūpnīca,리가 차량 제작 공장
Saules aptumsums 2018. gada 11. augustā,2018년 8월 11일 일식
Dienas Lapa,디에나스 라파
Vārkavas novads,바르카바시
latgaļi,라트갈레인
Abrenes apriņķis,압레네 지역
Latvijas sieviešu futbola izlase,라트비아 여자 축구 국가대표팀
Latvijas Olimpiskā komiteja,라트비아 올림픽 위원회
25. austrumu meridiāns,동경 25도
latviešu virtuve,라트비아 요리
Latvijas hokeja izlase,라트비아 아이스하키 국가대표팀
Sports Latvijā,라트비아의 스포츠
Latvijas Republikas proklamēšanas diena,라트비아 독립기념일
Mūsa,무샤강
Latvijas pareizticīgā baznīca,라트비아 정교회
Latvija 2014. gada Ziemas Olimpiskajās spēlēs,2014년 동계 올림픽 라트비아 선수단
Ventspils novads,벤츠필스시
Mēmele,네무넬리스강
Latvijas Nacionālā bibliotēka,라트비아 국립도서관
Latvijas Zaļā partija,라트비아 녹색당
Rīgas līcis,리가만
Latvijas Nacionālais mākslas muzejs,라트비아 국립미술관
Latvijas—Krievijas miera līgums,라트비아-소련 리가 평화 조약
Latvijas Krievu savienība,라트비아 러시아계 연합
Tēvzemei un Brīvībai/LNNK,조국과 자유를 위해/LNNK
Vispārējie latviešu Dziesmu un Deju svētki,라트비아의 노래와 춤의 축전
katoļticība Latvijā,라트비아의 로마 가톨릭교회
Rēzeknes novads,레제크네 시
Miķeļi,라트비아 추수 감사제
Rīgas HES,리가 수력 발전소
FK Auda,FK 아우다
Jēkabpils novads,예캅필스 시
FS METTA/Latvijas Universitāte,FS 메타/라트비야스 우니베르시타테
Limbažu novads,림바지 시
Baltijas valstu augstākās ēkas,발트 3국의 마천루 목록
Jāņi,자니
Latvijas Zemnieku savienība,라트비아 농민연합
rupjmaize,루피마이제
Jelgavas novads,옐가바 시
Nasdaq Riga,나스닥 리가
Romualds Ražuks,로무알츠 라죽스
Nacionālā apvienība "Visu Latvijai!"—"Tēvzemei un Brīvībai/LNNK",국민연합
Latvijas Tautas fronte,라트비아 인민전선
biezpiena plācenīši,시르니키
SmartLynx Airlines,SmartLynx Airlines
Lestene,레스테네
FK Liepāja,FK 리에파야
Auces novads,아우체시
Lielveikala "Maxima" sagrūšana Rīgā,리가 슈퍼마켓 지붕 붕괴 사고
Krāslavas novads,크라슬라바 시
Rugāju novads,루가이시
Pāvilostas novads,파빌로스타시
Valkas novads,발카시
Viļakas novads,빌랴카시
PeR,PeR
Latvijas politisko partiju uzskaitījums,라트비아의 정당
Vecpiebalgas novads,베츠피에발가시
Cēsu novads,체시스 시
Nīcas novads,니차시
Ciblas novads,치블라시
Ilūkstes novads,일룩스테시
Latvijai un Ventspilij,라트비아와 벤츠필스를 위하여
Balvu novads,발비 시
Latvijas krievi,러시아계 라트비아인
Kandavas novads,칸다바시
Eiropas autoceļš E262,유럽 고속도로 262호선
Alsungas novads,알숭가시
Amatas novads,아마타시
Latvijas saimniecība,라트비아의 경제
Viļānu novads,빌랴니시
Beverīnas novads,베베리나시
Ropažu novads,로파지시
Baldones novads,발도네시
Aglonas novads,아글로나시
Jaunpils novads,야운필스시
Lubānas novads,루바나시
Atmoda,진심으로 라트비아를 위하여
Smiltenes novads,스밀테네 시
Durbes novads,두르베시
Engures novads,엥구레시
Ērgļu novads,에르글리시
Burtnieku novads,부르트니에키시
FK Spartaks Jūrmala,FK 스파르탁스 유르말라
Viesītes novads,비에시테시
Ķeguma novads,체굼스시
Ķekavas novads,체카바 시
Tērvetes novads,테르베테시
Riebiņu novads,리에비니시
Rucavas novads,루차바시
Rundāles novads,룬달레시
Raunas novads,라우나시
Salaspils novads,살라스필스시
Madonas novads,마도나 시
Liepājas partija,리예파야당
Jāņu siers,야니 치즈
Riga FC,리가 FC
Saskaņa,사회민주당 "조화"
Garkalnes novads,가르칼네시
Babītes novads,바비테시
Vecumnieku novads,베춤니에키시
Sējas novads,세야시
Skrundas novads,스크룬다시
Siguldas novads,시굴다 시
Krustpils novads,크루스트필스시
Līvānu novads,리바니시
Strenču novads,스트렌치시
Priekuļu novads,프리에쿨리시
Neretas novads,네레타시
Mārupes novads,마루페시
Ogres novads,오그레 시
Salacgrīvas novads,살라츠그리바시
Inčukalna novads,인추칼른스시
Jaunpiebalgas novads,야운피에발가시
Grobiņas novads,그로비냐시
Dundagas novads,둔다가시
Preiļu novads,프레일리 시
Cesvaines novads,체스바이네시
Talsu novads,탈시 시
Priekules novads,프리에쿨레시
Mālpils novads,말필스시
Pārgaujas novads,파르가우야시
Kocēnu novads,코체니시
Rojas novads,로야시
Krimuldas novads,크리물다시
Saldus novads,살두스 시
Rūjienas novads,루이에나시
Latvijas demogrāfija,라트비아의 인구
Apes novads,아페시
Mazsalacas novads,마스살라차시
Skrīveru novads,스크리베리시
Stopiņu novads,스토피니시
Baltinavas novads,발티나바시
Ikšķiles novads,익슈칠레시
Bauskas novads,바우스카 시
Latvija 2000. gada Vasaras Olimpiskajās spēlēs,2000년 하계 올림픽 라트비아 선수단
Kuldīgas novads,쿨디가 시
Iecavas novads,이에차바시
Latvija 1924. gada Vasaras Olimpiskajās spēlēs,1924년 하계 올림픽 라트비아 선수단
Ozolnieku novads,오졸니에키시
Dagdas novads,다그다시
Mērsraga novads,메르스락스시
Olaines novads,올라이네시
Carnikavas novads,차르니카바시
Terra Mariana,테라 마리아나
Latvijas Reģionu apvienība,라트비아 지역 연합
Aizputes novads,아이스푸테시
Salas novads,살라시
Kārsavas novads,카르사바시
Krievvalodīgie,러시아어권
Latvijas—Krievijas robeža,라트비아-러시아 국경
Latvijas—Lietuvas robeža,라트비아-리투아니아 국경
Jaunjelgavas novads,야우넬가바시
Eiropas autoceļš E264,유럽 고속도로 264호선
Latvijas—Igaunijas robeža,라트비아-에스토니아 국경
Ādažu novads,아다지 시
Alūksnes novads,알룩스네시
Alojas novads,알로야시
Zilupes novads,질루페시
Par cilvēcīgu Latviju,누가 국가를 소유하는가?
Latvija 2018. gada ziemas olimpiskajās spēlēs,2018년 동계 올림픽 라트비아 선수단
Latvijas Pareizticīgā Autonomā Baznīca,라트비아 자치 정교회
Joom,Joom
Tukuma novads,투쿰스시
Smiltenes novads,스밀테네시
Talsu novads,탈시시
Ādažu novads,아다지시
Ķekavas novads,체카바시
COVID-19 pandēmija,코로나바이러스감염증-19 유행
COVID-19 pandēmija Eiropā,유럽의 코로나바이러스감염증-19 유행
COVID-19 pandēmija Latvijā,라트비아의 코로나바이러스감염증-19 범유행
Valsts nozīmes bibliotēku kopkatalogs,Electronic Union Catalogue of Latvian Libraries of National Significance
Korejas Republikas vēstniecība Latvijā,주라트비아 대한민국 대사관
Jēkabpils novads,예캅필스시
Krāslavas novads,크라슬라바시
Kuldīgas novads,쿨디가시
Limbažu novads,림바지시
Ludzas novads,루자시
Dobeles novads,도벨레시
Jelgavas novads,옐가바시
Preiļu novads,프레일리시
Madonas novads,마도나시
Ogres novads,오그레시
Saulkrastu novads,사울크라스티시
Siguldas novads,시굴다시
Rēzeknes novads,레제크네시
Saldus novads,살두스시
Aizkraukles novads,아이스크라우클레시
Balvu novads,발비시
Bauskas novads,바우스카시
Cēsu novads,체시스시
