Los Angeles,엘에이
Holland,홀랜드
Battle Creek,배틀크리크
Minnesota,미네소타주
Framingham,프레이밍햄
Brookline,브루클라인
Waukegan,워키건
Anderson,앤더슨
West Virginia,웨스트버지니아주
Lafayette,라피엣
Andover,앤도버
Alabama,앨라배마주
Anniston,애니스턴
Auburn,오번
Jackson,잭슨
Johnson City,존슨시티
Franklin,프랭클린
Oklahoma,오클라호마주
Stillwater,스틸워터
Florence,플로렌스
Greenville,그린빌
Meridian,머리디언
Mississippi,미시시피주
Biloxi,빌럭시
Hattiesburg,해티즈버그
Salisbury,솔즈베리
Silver Spring,실버스프링
Tupelo,투펄로
Frederick,프레더릭
Gaithersburg,게이더스버그
Hagerstown,헤이거스타운
Rockville,록빌
Broken Arrow,브로큰애로
Hamilton,해밀턴
North Carolina,노스캐롤라이나주
Edmond,에드먼드
Enid,이니드
Lawton,로턴
Springfield,스프링필드
Portsmouth,포츠머스
Lynchburg,린치버그
Suffolk,서퍽
Charlottesville,샬러츠빌
Spring,스프링
Sugar Land,슈거랜드
Temple,템플
Texarkana,텍사캐나
Port Arthur,포트아서
Blacksburg,블랙스버그
Texas,텍사스주
Victoria,빅토리아
Longview,롱뷰
Huntsville,헌츠빌
Ashburn,애슈번
Spartanburg,스파턴버그
Bryan,브라이언
Carrollton,캐럴턴
Harlingen,할링전
Frisco,프리스코
Galveston,갤버스턴
Lewisville,루이스빌
Baytown,베이타운
Gastonia,개스토니아
Columbia,컬럼비아
Cumberland,컴벌랜드
Laurel,로럴
Bethesda,베서스다
York,요크
Anderson,앤더슨
Atlantic City,애틀랜틱시티
Toms River,톰스리버
Saint Joseph,세인트조지프
Missouri,미주리주
Waldorf,월도프
Lake Charles,레이크찰스
Louisiana,루이지애나주
Monroe,먼로
Alexandria,알렉산드리아
Bossier City,보셔시티
Rome,롬
Roswell,로즈웰
Macon,메이컨
Marietta,매리에타
Gainesville,게인즈빌
Georgia,조지아
Duluth,덜루스
Florence,플로렌스
Gadsden,개즈던
Decatur,디케이터
Dothan,도선
Arkansas,아칸소주
Rogers,로저스
Springdale,스프링데일
Conway,콘웨이
North Little Rock,노스리틀록
Jonesboro,존즈버러
Fayetteville,페이엣빌
Boynton Beach,보인턴비치
Bradenton,브레이든턴
Pembroke Pines,펨브로크파인즈
Sarasota,새러소타
Ocala,오캘라
Panama City,패너마시티
Daytona Beach,데이토나비치
Florida,플로리다주
Fort Myers,포트마이어스
Winter Park,윈터파크
Albany,올버니
Augusta,오거스타
Bessemer,베서머
Covington,커빙턴
Owensboro,오언즈버러
Bowling Green,볼링그린
Kansas,캔자스주
Lawrence,로렌스
Manhattan,맨해튼
Decatur,디케이터
Belleville,벨빌
Bloomington,블루밍턴
Carmel,카멀
Terre Haute,테레호테
Medford,메드퍼드
West Jordan,웨스트조던
Corvallis,코밸리스
Ogden,오그던
Hillsboro,힐즈버러
Missoula,미줄라
Montana,몬태나주
Oregon,오리건주
Casper,캐스퍼
Laramie,래러미
Kennewick,케너윅
Kirkland,커클랜드
Lakewood,레이크우드
Hawaii,하와이주
Federal Way,페더럴웨이
North Dakota,노스다코타주
Auburn,오번
Bellingham,벨링햄
Bremerton,브레머튼
Puyallup,퓨앨럽
Redmond,레드먼드
Pierre,피어
Rapid City,래피드시티
South Dakota,사우스다코타주
Washington,워싱턴주
Yakima,야키마
Fairbanks,페어뱅크스
Wyoming,와이오밍주
Alaska,알래스카주
Kentucky,켄터키주
Virginia,버지니아주
Alamogordo,앨라모고도
Caldwell,콜드웰
Moscow,모스코
Castro Valley,캐스트로밸리
Colton,콜턴
Covina,코비나
Danville,댄빌
Brea,브레아
Brentwood,브렌트우드
Dublin,더블린
East Los Angeles,이스트로스앤젤레스
Encinitas,엔시니터스
Encino,엔시노
Burlingame,벌링게임
Newport,뉴포트
Fountain Valley,파운틴밸리
Ridgecrest,리지크레스트
Lakewood,레이크우드
San Francisco International Airport,샌프란시스코 국제공항
San Gabriel,샌게이브리얼
Santee,샌티
Woodland,우들랜드
Sherman Oaks,셔먼오크스
Sierra Nevada,시에라네바다 산맥
Pittsburg,피츠버그
Placentia,플라센티아
Poway,파웨이
Redondo Beach,리돈도비치
Commerce City,커머스시티
Imperial Beach,임피리얼비치
Truckee,트러키
Twentynine Palms,투웬티나인팜스
National City,내셔널시티
Spring Valley,스프링밸리
McCarran International Airport,매캐런 국제공항
Mesquite,메스키트
Paradise,패러다이스
Cedar City,시더시티
Eureka,유리카
Janesville,제인스빌
Vermont,버몬트주
Hanford,핸퍼드
Menlo Park,멘로파크
Montebello,몬테벨로
La Mirada,라미라다
Lake Forest,레이크포리스트
Lemon Grove,레몬그로브
Loma Linda,로마린다
Lompoc,롬포크
Los Angeles International Airport,로스앤젤레스 국제공항
Lynwood,린우드
Manhattan Beach,맨해튼비치
New Castle,뉴캐슬
Norristown,노리스타운
Apple Valley,애플밸리
Barstow,바스토
Cheshire,체셔
Traverse City,트래버스시티
Royal Oak,로열오크
Stratford,스트랫퍼드
Plymouth,플리머스
Salem,세일럼
Lexington,렉싱턴
Taunton,톤턴
Watertown,워터타운
Westfield,웨스트필드
Bangor,뱅고어
Medford,메드퍼드
Ohio,오하이오주
Parma,파마
Lakewood,레이크우드
Massillon,마실론
Kearney,카니
New Hampshire,뉴햄프셔주
Dublin,더블린
Grand Island,그랜드아일랜드
Cuyahoga Falls,카이어호가폴스
Troy,트로이
Uniondale,유니언데일
Poughkeepsie,포킵시
Newburgh,뉴버그
Milford,밀퍼드
New London,뉴런던
Norwich,노리치
Greenwich,그리니치
Winchester,윈체스터
Union City,유니언시티
Hoboken,호보컨
Bayonne,베이온
Jamestown,제임스타운
John F. Kennedy International Airport,존 F. 케네디 국제공항
Passaic,퍼세이익
Perth Amboy,퍼스앰보이
Lake Champlain,챔플레인 호
Auburn,오번
Flushing,플러싱
Harlem,할렘
Bay City,베이시티
Minnetonka,미네통카
Bloomington,블루밍턴
Brooklyn Park,브루클린파크
Westland,웨스틀랜드
Logan International Airport,로건 국제공항
Skokie,스코키
Urbana,어배너
Chelsea,첼시
Mishawaka,미셔와카
Indiana,인디애나 주
Valparaiso,밸퍼레이조
West Lafayette,웨스트라피엣
Athens,애선스
Revere,리비어
Oak Ridge,오크리지
Maryville,메리빌
Hendersonville,헨더슨빌
Shawnee,쇼니
South Carolina,사우스캐롤라이나주
Vicksburg,빅스버그
Laurel,로럴
Bartlesville,바틀즈빌
Muskogee,머스코지
Middletown,미들타운
Fredericksburg,프레더릭스버그
Petersburg,피터스버그
Danville,댄빌
Tennessee,테네시주
Palestine,팔레스타인
Marshall,마셜
McKinney,매키니
Dallas/Fort Worth International Airport,댈러스 포트워스 국제공항
Monroe,먼로
Thomasville,토머스빌
College Park,칼리지파크
Maryland,메릴랜드주
Chester,체스터
Beaufort,뷰퍼트
Winston-Salem,윈스턴세일럼
Cape Girardeau,케이프지라도
Northport,노스포트
Newnan,뉴넌
Houma,호마
Selma,셀마
Brunswick,브런즈윅
Dalton,돌턴
Decatur,디케이터
Thomasville,토머스빌
Jasper,재스퍼
Bella Vista,벨라비스타
Benton,벤턴
Bentonville,벤턴빌
Cullman,컬먼
Sylacauga,실러코가
Russellville,러셀빌
Pine Bluff,파인블러프
Jacksonville,잭슨빌
New Castle,뉴캐슬
Saint Augustine,세인트오거스틴
Sanford,샌퍼드
Stuart,스튜어트
Vero Beach,비로비치
Miami Gardens,마이애미가든스
Coral Springs,코럴스프링스
Key West,키웨스트
Ashland,애슐랜드
Overland Park,오벌랜드파크
Quincy,퀸시
Springfield,스프링필드
Layton,레이턴
Grants Pass,그랜츠패스
Kalispell,칼리스펠
Great Salt Lake,그레이트솔트 호
Issaquah,이사콰
Hilo,힐로
Minot,마이놋
Edmonds,에드먼즈
Bothell,보셀
Lynnwood,린우드
Marysville,메리즈빌
East Harlem,이스트할렘
Kahului,카훌루이
Kodiak,코디액
Wasilla,와실라
Massachusetts,매사추세츠주
Pennsylvania,펜실베이니아주
White House,백악관
Silicon Valley,실리콘밸리
Fort Liberty,포트 브래그
Los Alamos,로스앨러모스
Carlsbad,칼즈배드
Las Vegas,라스베이거스
Sahuarita,사후아리타
Cerritos,세리토스
Claremont,클레어몬트
Coachella,코첼라
Florence,플로렌스
Tombstone,툼스톤
Adelanto,아델란토
Albany,올버니
Cypress,사이프러스
Dana Point,데이나포인트
Bishop,비숍
El Centro,엘센트로
Emeryville,에머리빌
Calabasas,칼라바사스
Payson,페이슨
Phoenix Sky Harbor International Airport,피닉스 스카이 하버 국제공항
Rhode Island,로드아일랜드주
Stevens Point,스티븐스포인트
Florence,플로렌스
Fruita,프루이타
Lafayette,라피엣
Salton Sea,솔턴 호
San Fernando,샌퍼넌도
San Marino,샌마리노
Seal Beach,실비치
Dodge City,도지시티
West Hollywood,웨스트할리우드
South Pasadena,사우스패서디나
Stanford,스탠퍼드
Temple City,템플시티
Denver International Airport,덴버 국제공항
Healdsburg,힐즈버그
Highland,하일랜드
Hollister,홀리스터
Yucaipa,유카이파
Yucca Valley,유카밸리
Aspen,애스펀
Union City,유니언시티
Universal City,유니버설시티
Venice,베니스
King City,킹시티
Morro Bay,모로베이
Newark,뉴어크
Boulder City,불더시티
Wheeling,휠링
Sitka,싯카
Aberdeen,애버딘
Ojai,오하이
Grand Terrace,그랜드테라스
Grass Valley,그래스밸리
Hacienda Heights,아시엔다하이츠
Maywood,메이우드
Mill Valley,밀밸리
Mono Lake,모노 호
Montclair,몬트클레어
Lafayette,라피엣
Laguna Beach,러구나비치
Lake Tahoe,타호 호
Auburn,오번
Beaumont,보몬트
Lebanon,레버넌
Wilkes-Barre,윌크스배리
Beckley,베클리
Waterville,워터빌
Trenton,트렌턴
Roseville,로즈빌
Martinsburg,마틴즈버그
Wallingford,월링퍼드
Washington Dulles International Airport,워싱턴 덜레스 국제공항
Marshalltown,마셜타운
Malden,몰든
Marlborough,말버러
Weymouth,웨이머스
Auburn,오번
Brunswick,브런즈윅
Newburyport,뉴버리포트
Sandusky,선더스키
Marysville,메리즈빌
Troy,트로이
Pittsburgh International Airport,피츠버그 국제공항
Columbus,콜럼버스
Roseville,로즈빌
Cloquet,클로켓
Cottage Grove,코티지그로브
Stillwater,스틸워터
Jamestown,제임스타운
Derry,데리
Lebanon,레버넌
Monroe,먼로
Findlay,핀들레이
Saratoga Springs,새러토가스프링스
Brunswick,브런즈윅
Washington Heights,워싱턴하이츠
West Point,웨스트포인트
Stony Brook,스토니브룩
Tarrytown,태리타운
Alliance,얼라이언스
Ashtabula,애슈터뷸라
Bowling Green,볼링그린
La Guardia Airport,라가디아 공항
Lake Placid,레이크플래시드
Lockport,록포트
Long Beach,롱비치
Long Island City,롱아일랜드시티
Highland Park,하일랜드파크
Chicago Midway International Airport,시카고 미드웨이 국제공항
Chicago O'Hare International Airport,오헤어 국제공항
Danville,댄빌
DeKalb,디캘브
Maywood,메이우드
Berwyn,버윈
Fairfield,페어필드
Williamsburg,윌리엄스버그
Summit,서밋
West New York,웨스트뉴욕
Westfield,웨스트필드
Englewood,엥글우드
Fort Lee,포트리
Garfield,가필드
Hackensack,해컨색
Harrison,해리슨
Asbury Park,애즈베리파크
Huntington,헌팅턴
Jackson Heights,잭슨하이츠
Kingston,킹스턴
Morristown,모리스타운
New Jersey,뉴저지주
Newark Liberty International Airport,뉴어크 리버티 국제공항
Chinatown,차이나타운
Amsterdam,앰스터댐
Freeport,프리포트
Coney Island,코니아일랜드
Corning,코닝
Hibbing,히빙
Kentwood,켄트우드
Fridley,프리들리
Owatonna,오와토나
Ypsilanti,입실랜티
Apple Valley,애플밸리
Virginia,버지니아
Winona,위노나
Woodbury,우드베리
Minneapolis-St Paul International Airport,미니애폴리스 세인트폴 국제공항
Plainfield,플레인필드
Franklin,프랭클린
Danvers,댄버스
Dedham,데덤
Wheaton,휘턴
Wilmette,윌멧
Zion,자이언
Westfield,웨스트필드
Beverly,베벌리
Connecticut,코네티컷주
Memphis International Airport,멤피스 국제공항
Lebanon,레버넌
McComb,매콤
Starkville,스탁빌
Ocean City,오션 시티
Mount Airy,마운트에어리
Raleigh-Durham International Airport,롤리 더럼 공항
Moore,무어
Kettering,케터링
Loveland,러브랜드
Fairfax,페어팩스
Terrell,테럴
Uvalde,유밸디
Waxahachie,웍서해치
Mineral Wells,미네랄웰스
Abingdon,애빙던
Dallas Love Field,댈러스 러브 필드
Freeport,프리포트
George Bush Intercontinental Airport,조지 부시 인터콘티넨털 공항
Kingsville,킹스빌
Bellaire,벨레어
Austin-Bergstrom International Airport,오스틴 버그스트롬 국제공항
Henderson,헨더슨
Hendersonville,헨더슨빌
Charlotte Douglas International Airport,샬롯 더글러스 국제공항
Aberdeen,애버딘
West Chester,웨스트체스터
Philadelphia International Airport,필라델피아 국제공항
Athens,애선스
Branson,브랜슨
Monroe,먼로
Covington,커빙턴
Lake Pontchartrain,폰차트레인 호
Winchester,윈체스터
Abbeville,애비빌
Hartsfield-Jackson Atlanta International Airport,하츠필드 잭슨 애틀랜타 국제공항
Cumming,커밍
Oxford,옥스퍼드
Fairfield,페어필드
Camden,캠던
Talladega,탤러디가
Troy,트로이
Searcy,서시
Texarkana,텍사캐나
District of Columbia,컬럼비아 특별구
Delaware,델라웨어주
Milford,밀퍼드
Conyers,코니어스
Covington,커빙턴
Miami International Airport,마이애미 국제공항
North Miami,노스마이애미
Panama City Beach,패너마시티비치
Cocoa Beach,코코아비치
Coral Gables,코럴게이블즈
Englewood,엥글우드
Inverness,인버네스
Paducah,퍼듀카
Richmond,리치먼드
Danville,댄빌
Mammoth Cave National Park,매머드 케이브 국립공원
Salina,설라이나
Shawnee,쇼니
Georgetown,조지타운
Leavenworth,레번워스
Plainfield,플레인필드
Richmond,리치먼드
Indianapolis International Airport,인디애나폴리스 국제공항
Commonwealth of the Northern Mariana Islands,북마리아나제도
Yorktown,요크타운
Salt Lake City International Airport,솔트레이크시티 국제공항
Taylorsville,테일러스빌
Vernal,버널
Aberdeen,애버딘
Tigard,타이거드
Park City,파크시티
North Platte,노스플랫
Ashland,애슐랜드
Draper,드레이퍼
Evanston,에번스턴
Jackson,잭슨
Lake Stevens,레이크스티븐스
Waipahu,와이파후
Hilo International Airport,힐로 국제공항
Daniel K. Inouye International Airport,호놀룰루 국제공항
Centralia,센트레일리아
Cheney,체니
Anacortes,아나코티스
Arlington,알링턴
Battle Ground,배틀그라운드
Blaine,블레인
Burien,벼리언
Lynden,린던
Monroe,먼로
Mount Vernon,마운트버넌
Dickinson,디킨슨
Port Angeles,포트앤젤레스
Seattle-Tacoma International Airport,시애틀 터코마 국제공항
Shoreline,쇼라인
Spokane Valley,스포캔밸리
Sunnyside,서니사이드
Walla Walla,왈라왈라
West Richland,웨스트리칠랜드
Johns Creek,존스크릭
Bethel,베설
Kailua,카일루아
Hooper Bay,후퍼베이
Lahaina,라하이나
Yellowstone National Park,옐로스톤 국립공원
Nome,놈
Unalaska,어널래스카 섬
Anchorage International Airport,테드 스티븐스 앵커리지 국제공항
Lake Mead,미드 호
Appalachian Mountains,애팔래치아 산맥
Walt Disney World Resort,월트 디즈니 월드 리조트
Scott Air Force Base,스콧 공군 기지
Chaco Culture National Historical Park,차코 문화 국립역사공원
Aberdeen,애버딘
Death Valley,데스 밸리
Big Bear Lake,빅베어레이크
Disneyland,디즈니랜드
Globe,글로브
Mohave County,모하비 군
Oro Valley,오로밸리
Middletown,미들타운
Watertown,워터타운
Fort Bragg,포트브래그
Leadville,레드빌
San Bernardino County,샌버너디노 군
Sequoia National Park,세쿼이아 국립공원
Solana Beach,솔라나비치
Rancho Mirage,랜초미라지
Ukiah,유카이아
Needles,니들스
Nevada City,네바다시티
Winchester,윈체스터
Ely,일리
Snyder,스나이더
Bryce Canyon National Park,브라이스 캐니언 국립공원
Big Bend National Park,빅벤드 국립공원
Newtown,뉴타운
Mount Shasta,마운트샤스타
Mount Shasta,섀스타 산
Crescent City,크레센트시티
Ferndale,펀데일
Zion National Park,자이언 국립공원
Prince of Wales Island,프린스오브웨일스 섬
Skagway,스캐그웨이
Monroe,먼로
Piedmont,피드몬트
Marysville,메리즈빌
Millbrae,밀브레
Koreatown,코리아타운
La Cañada Flintridge,라카냐다플린트리지
Angels Camp,에인절스캠프
Avalon,애벌론
Rochelle,로셸
Presque Isle,프레스크아일
Hyannis,하이애니스
Manchester-by-the-Sea,맨체스터바이더시
Southbridge,사우스브리지
Uxbridge,억스브리지
Williamstown,윌리엄스타운
Winchester,윈체스터
Winthrop,윈스럽
North Adams,노스애덤스
Shaker Heights,셰이커하이츠
Shelby,셸비
Hershey,허시
Berlin,벌린
Franklin,프랭클린
Marquette,마켓
Michigan,미시간주
East Cleveland,이스트클리블랜드
Fremont,프리몬트
Peekskill,픽스킬
Stewart International Airport,스튜어트 국제공항
Ashland,애슐랜드
Lake Forest,레이크포리스트
Macomb,머콤
Blue Island,블루아일랜드
Bridgeview,브리지뷰
Tenafly,테너플라이
East Rutherford,이스트러더퍼드
Palisades Park,팰리세이즈파크
Central Park,센트럴 파크
Armonk,아몽크
Bethpage,베스페이지
Lake George,조지 호수
East Village,이스트빌리지
Highland Park,하일랜드파크
Ely,일리
Golden Valley,골든밸리
New Ulm,뉴얼름
Alexandria,알렉산드리아
Great Barrington,그레이트배링턴
Harvard University,하버드 대학교
Concord,콩코드
Woodstock,우드스톡
Amesbury,에임즈베리
Ashland,애슐랜드
Auburn,오번
Barnstable,반스터블
Bay City,베이시티
Darien,대리엔
Great Smoky Mountains National Park,그레이트스모키 산맥 국립공원
Tahlequah,탈레콰
Oxford,옥스퍼드
Marietta,매리에타
Ada,에이다
Jamestown,제임스타운
Lorton,로턴
Richmond,리치먼드
West,웨스트
Jacksonville,잭슨빌
Brownwood,브라운우드
Fredericksburg,프레더릭스버그
Gainesville,게인즈빌
Dickinson,디킨슨
Kitty Hawk,키티호크
Ferguson,퍼거슨
Chelsea,첼시
Childersburg,칠더스버그
Clanton,클랜턴
Millbrook,밀브룩
Crowley,크롤리
Breaux Bridge,브로브리지
Roanoke,로어노크
Russellville,러셀빌
Dahlonega,덜라너가
Dunwoody,던우디
Fayette,페이엣
Lincoln,링컨
