Angela Merkel,앙겔라 메르켈
Walther von Brauchitsch,발터 폰 브라우히치
Michael Fassbender,마이클 패스벤더
Carl Dahlhaus,카를 달하우스
Senta Berger,젠타 베르거
Peter Altmaier,페터 알트마이어 (1958년)
Dana Vávrová,다나 바브로바
Stefan George,슈테판 게오르게
Hans Adolf Krebs,핸스 애돌프 크레브스
Gerhard Domagk,게르하르트 도마크
Magda Schneider,마그다 슈나이더
Werner Maihofer,베르너 마이호퍼
August Wilhelm (Braunschweig-Wolfenbüttel-Bevern),아우구스트 빌헬름 폰 브라운슈바이크볼펜뷔텔베페른 공작
Herbert Kroemer,허버트 크뢰머
Lothar Bisky,로타어 비스키
Hans Furler,한스 푸를러
Alex Wright,앨릭스 라이트
Hannelore Kohl,하넬로레 콜
Heinz London,하인츠 론돈
Jochen Hecht,요헨 헥트
Karl Allgöwer,카를 알괴버
Erich Hartmann (Jagdflieger),에리히 하르트만
Moritz Schlick,모리츠 슐리크
Joachim Peiper,요아힘 파이퍼
Wilhelm List,빌헬름 리스트
Magda Goebbels,마그다 괴벨스
Hans von Seeckt,한스 폰 젝트
Paul von Lettow-Vorbeck,파울 폰 레토포어베크
Sophie von der Pfalz,조피 폰 데어 팔츠 공녀
Andreas Hinkel,안드레아스 힝켈
Kurt Meyer (SS-Mitglied),쿠르트 마이어
Arthur Nikisch,아르투르 니키슈
Hasso von Manteuffel,하소 폰 만토이펠 남작
Karen Horney,카렌 호나이
Ernst Ruska,에른스트 루스카
James Last,제임스 라스트
Traudl Junge,트라우들 융에
Klaus von Klitzing,클라우스 폰 클리칭
Karin Dor,카린 도어
Walther Funk,발터 풍크
Thomas Brdarić,토마스 브르다리치
Wilhelm Röpke (Wirtschaftswissenschaftler),빌헬름 뢰프케
Paula Riemann,파울라 리만
Emilie Schindler,에밀리 쉰들러
Wolfgang Paul (Physiker),볼프강 파울
Ulrich Plenzdorf,울리히 플렌츠도르프
Tom Tykwer,톰 티크베어
Mark Medlock,마크 메드록
Katja Riemann,카차 리만
Tron (Hacker),트론 (해커)
Christl Cranz,크리스틀 크란츠
Sabine Bergmann-Pohl,자비네 베르크만폴
Niklas Luhmann,니클라스 루만
Ernst Bloch,에른스트 블로흐
Heike Drechsler,하이케 드렉슬러
Hans Modrow,한스 모드로
Paul Hindemith,파울 힌데미트
Marika Kilius,마리카 킬리우스
Hans-Jürgen Bäumler,한스위르겐 보임러
Sebastian Bachmann,제바스티안 바흐만
Antje Buschschulte,안톄 부슈슐테
Alexander Sulzer,알렉산더 줄처
Klaus-Dieter Sieloff,클라우스디터 질로프
Maurizio Gaudino,마우리치오 가우디노
Wolfgang Rolff,볼프강 롤프
Hans Pietsch (Go-Spieler),한스 피치
Ernst Zermelo,에른스트 체르멜로
Ulf Timmermann,울프 티머만
Hans Jonas,한스 요나스
Anneliese Michel,아넬리제 미헬
Johann Kasimir (Pfalz-Simmern),요한 카지미어 폰 팔츠지머른 궁정백
Ernst Baier,에른스트 바이어
Sarah Hecken,자라 헤켄
Hape Kerkeling,하페 케르켈링
Britta Steffen,브리타 슈테펜
Helmuth Weidling,헬무트 바이틀링
Elisabeth Schwarzkopf,엘리자베트 슈바르츠코프
Wilhelm Furtwängler,빌헬름 푸르트벵글러
Ulrich Mühe,울리히 뮈헤
Kuno von Westarp,쿠노 폰 베스타르프
Harald Schmidt,하랄트 슈미트
Gottfried Benn,고트프리트 벤
Ermanno Wolf-Ferrari,에르만노 볼프-페라리
Melitta Schenk Gräfin von Stauffenberg,멜리타 솅크 그래핀 폰 슈타우펜베르크
Erich von dem Bach-Zelewski,에리히 폰 뎀 바흐
Gerhard Barkhorn,게르하르트 바르크호른
Wilhelm II. (Württemberg),빌헬름 2세 (뷔르템베르크)
Rolf Kanies,롤프 카니스
Werner Stengel,베르너 슈텡겔
Walter Baade,발터 바데
Hans-Gert Pöttering,한스게르트 푀테링
Robert Michels,로베르트 미헬스
Erich Mielke,에리히 밀케
Frank Wieneke,프랑크 비네케
Jörg Fiedler,외르크 피들러
Anna Seghers,아나 제거스
Til Schweiger,틸 슈바이거
Johannes Coccejus,요한 코케이우스
Alexander von Falkenhausen (General),알렉산더 폰 팔켄하우젠 남작
Barbara Meier,바르바라 마이어
Harald Quandt,하랄트 크반트
Maria Sibylla Merian,마리아 지빌라 메리안
Heike Makatsch,하이케 마카치
Wolfram Sievers,볼프람 지페르스
Reinhard Genzel,라인하르트 겐첼
Imke Duplitzer,임케 두플리처
Balthasar Hubmaier,발타자르 후부마이어
Albert Göring,알베르트 괴링
Gudrun Burwitz,구드룬 부르비츠
Sören Kam,쇠렌 캄
Stipe Erceg,스티페 에르체그
Friedrich August III. (Sachsen),프리드리히 아우구스트 3세 (작센)
Karl Hermann Frank,카를 헤르만 프랑크
Joschka Fischer,요슈카 피셔
Karl Rahner,카를 라너
Volker Schlöndorff,폴커 슐뢴도르프
August Diehl,아우구스트 딜
Nicolaus Reimers,니콜라우스 라이머스
Konrad Hesse,콘라트 헤세
Diana Amft,디아나 암프트
Ludwig Müller (Theologe),루트비히 뮐러
Torsten Albig,토르스텐 알비히
Ernst Albrecht,에른스트 알브레히트
Ernst August I. (Sachsen-Weimar-Eisenach),에른스트 아우구스트 1세 폰 작센바이마르아이제나흐 공작
Gustav Noske,구스타프 노스케
Hans Pfitzner,한스 피츠너
Georg Friedrich Prinz von Preußen,게오르크 프리드리히 폰 프로이센 왕자
Thomas de Maizière,토마스 데메지에르
Johann Reichhart,요한 라이히하르트
Martin Wuttke,마르틴 부트케
Detlev Buck,데틀레프 부크
Christiane Paul,크리스티아네 파울
Helmut Gollwitzer,헬무트 골비처
Lale Andersen,랄레 안데르센
Christa Wolf,크리스타 볼프
Michael Groß,미하엘 그로스
Wilhelm Schickard,빌헬름 시카르트
Albrecht Brandi,알브레히트 브란디
Adolf Meyer (Architekt),아돌프 마이어
Martin Walser,마르틴 발저
Alfred Döblin,알프레트 되블린
Annegret Kramp-Karrenbauer,안네그레트 크람프카렌바우어
Max Raabe,막스 라베
Herbert Otto Gille,헤르베르트 길레
Markus Wolf,마르쿠스 볼프
Georg Keppler,게오르크 케플러
Ernst Krieck,에른스트 크리크
Herbert Kegel,헤르베르트 케겔
Dorothea Röschmann,도로테아 뢰슈만
Peter Schreyer,피터 슈라이어
Helmut Käutner,헬무트 코이트너
Wolfgang Abendroth,볼프강 아벤트로트
Wolfgang Staudte,볼프강 슈타우테
Ernst-Wolfgang Böckenförde,에른스트볼프강 뵈켄푀르데
Friedrich Kittler,프리드리히 키틀러
Gerard Kleisterlee,헤라르트 클레이스테를레이
Luise Rinser,루이제 린저
Otto von Waldburg,오토 폰 발트부르크
Georg Gaffky,게오르크 가프키
Anton Ackermann,안톤 아커만
Josef Rosemeyer,요제프 로제마이어
Hans Ferdinand Mayer,한스 페르디난트 마이어
Max Trapp,막스 트라프
Christine Wenzel,크리스티네 브링커
Tomas Maier,토마스 마이어
Nicolas Limbach,니콜라스 림바흐
Norbert Grupe,윌헴 본 홈버그
Hans Knappertsbusch,한스 크나퍼츠부슈
Eugen Jochum,오이겐 요훔
Claudia Pechstein,클라우디아 페히슈타인
Carl Friedrich Goerdeler,카를 프리드리히 괴르델러
Heiner Müller,하이너 뮐러
Thomas Berthold,토마스 베르톨트
Leopold Jessner,레오폴트 예스너
Christian Reitz (Sportschütze),크리스티안 라이츠 (사격 선수)
Martin Sandberger,마르틴 잔트베르거
Stefanie Zweig,슈테파니 츠바이크
Elisabeth Röhm,엘리자베스 룀
Otto Deßloch,오토 데슬로흐
Jan Hendrik Schön,얀 헨드릭 쇤
Lothar de Maizière,로타어 데메지에르
Hans Oster,한스 오스터
Hermann-Bernhard Ramcke,헤르만베른하르트 람케
Antje Traue,안톄 트라우에
Woldemar Voigt (Physiker),볼데마르 포크트
Ernst Casimir (Nassau-Dietz),나사우디츠 백작 에른스트 카시미르 1세
Andreas Scholl (Sänger),안드레아스 숄
Heinrich Hoffmann (Fotograf),하인리히 호프만 (사진가)
Wilhelm Burgdorf,빌헬름 부르크도르프
Günter Schabowski,귄터 샤보프스키
Helmut Knochen,헬무트 크노헨
Kurt Maetzig,쿠르트 매치히
Götz Otto,괴츠 오토
Zacharias Ursinus,자카리아스 우르시누스
Günter Wand,귄터 반트
Hermann Gunkel,헤르만 궁켈
Fritz Thyssen,프리츠 티센
Karl Koller (General),카를 콜러 (1898년)
Jürgen Stark (Ökonom),위르겐 슈타르크
Mandy Capristo,맨디 카프리스토
Caspar Olevian,카스파 올레비안
Konrad Henlein,콘라트 헨라인
Kurt Schumacher,쿠르트 슈마허
Wilhelm Gustloff,빌헬름 구스틀로프
Hans Krebs (Offizier),한스 크렙스 (1898년)
Walter Krupinski,발터 크루핀스키
Lil Dagover,릴 다고버
Vadim Glowna,바딤 글로브나
Walther Schreiber,발터 슈라이버
Claus Clausen,클라우스 클로슨
Friedrich Meinecke,프리드리히 마이네케
Hans-Ulrich Wehler,한스울리히 벨러
Curt Goetz,쿠르트 괴츠
Loki Schmidt,로키 슈미트
Carl Stumpf,카를 슈툼프
Karl Otto Koch,카를오토 코흐
Hans Heinrich Lammers,한스 라머스
Ludwig von Battenberg,바텐베르크 공자 루이
Johannes Brandrup,요하네스 브란트루프
Ruth Fuchs,루트 푸흐스
Benno Ohnesorg,베노 오네조르크
Theo Morell,테오도어 모렐
Berthold IV. (Zähringen),베르톨트 4세 폰 체링겐 공작
Gustav Knuth,구스타프 크누트
Ferdinand Beyer,페르디난트 바이어
Wilhelm Groener,빌헬름 그뢰너
Franz Seldte,프란츠 젤테
Otto Ernst Remer,오토 에른스트 레머
Karl von Goebel,카를 폰 괴벨 기사
Rochus Misch,로후스 미슈
Aljona Savchenko,알리오나 사브첸코
Hermann Weingärtner,헤르만 바인게르트너
Elisabeth Schumann,엘리자베트 슈만
Hermann Heller (Jurist),헤르만 헬러
Friedrich Hoßbach,프리드리히 호스바흐
Claus Offe,클라우스 오페
Matthias Ringmann,마티아스 링만
Cornell Borchers,코르넬 보르헤르스
Fady Maalouf,파디 말루프
Karl-Michael Vogler,카를미하엘 포글러
Helmut Roleder,헬무트 롤레더
Udo Samel,우도 자멜
Viktoria Luise von Preußen,빅토리아 루이제 폰 프로이센 왕녀
Otto Günsche,오토 귄셰
Bruno Labbadia,브루노 라바디아
Erich Priebke,에리히 프리프케
Magnus Hirschfeld,마그누스 히르슈펠트
Sıla Şahin-Radlinger,슬라 샤힌
Angela Winkler,앙겔라 빙클러
Helena Fromm,헬레나 프롬
Johannes Ludwig (Rennrodler),요하네스 루트비히 (루지 선수)
Berthold Laufer,베르톨트 라우퍼
Vittorio Hösle,비토리오 회슬레
Hans Schmidt-Isserstedt,한스 슈미트 이세르슈테트
Marina Kiehl,마리나 킬
Sérgio da Silva Pinto,세르지우 핀투
Julian Schuster,율리안 슈스터
Ramin Djawadi,라민 자와디
Kurt Daluege,쿠르트 달루에게
Hans-Jürgen von Arnim,한스위르겐 폰 아르님
Felix Steiner,펠릭스 슈타이너
Herbert Backe,헤르베르트 바케
Friedrich I. (Pfalz),프리드리히 1세 폰 데어 팔츠 선제후
Ernst Hartert,에른스트 하르테르트
Joel Matip,조엘 마티프
Carl Runge,카를 룽게
Jessica Schwarz,예시카 슈바르츠
Iris Berben,이리스 베르벤
Andrea Nahles,안드레아 날레스
Karl Grün (Journalist),카를 테오도어 페르디난트 그륀
Heinrich von Preußen (1862–1929),하인리히 폰 프로이센 왕자 (1862년)
Hans Spemann,한스 슈페만
Christoph Höhne,크리스토프 회네
"Albert Speer (Architekt, 1934)",알베르트 슈페어 (1934년)
Anja Kling,아냐 클링
Nicolette Krebitz,니콜레테 크레비츠
Gertrud von le Fort,게르트루트 폰 르포르
Stefano Celozzi,슈테파노 첼로치
"Wilhelm His (Mediziner, 1863)",빌헬름 히스 주니어
Roland Freisler,롤란트 프라이슬러
Thomas Kretschmann,토마스 크레치만
Hildegard Knef,힐데가르트 크네프
Tibor Pleiß,티보어 플라이스
Maximilian von Weichs,막시밀리안 폰 바이흐스
Michael Schenker,미하엘 쉥커
Wilhelm von Preußen (1882–1951),빌헬름 폰 프로이센 황태자
Christine Kaufmann,크리스티네 카우프만
Thomas Godoj,토마스 고도이
Katrin Sass,카트린 자스
Katja Flint,카차 플린트
Katharina Thalbach,카타리나 탈바흐
Mathieu Carrière,마티외 카리에
Alexander Klaws,알렉산더 클라우스
Emma zu Waldeck und Pyrmont,에마 추 발데크운트피르몬트
Gedeon Burkhard,게데온 부르크하르트
Karl Hanke,카를 항케
Alice Schwarzer,알리체 슈바르처
Karl Kaufmann (Gauleiter),카를 카우프만
Maria Anna von der Pfalz (1667–1740),마리아 아나 폰 팔츠노이부르크
Viktoria von Baden,바덴의 빅토리아
John Rabe,욘 라베
Viktoria von Hessen-Darmstadt,빅토리아 폰 헤센다름슈타트 대공녀
Andrea Sawatzki,안드레아 사바츠키
Heiko Gerber,하이코 게르버
Ulric Neisser,율릭 나이서
Ingrid Krämer-Gulbin,잉그리트 크레머
Fritz Feld,프리츠 펠드
