Lionel Messi,리오넬 메시
Eduardo De Filippo,에두아르도 드 필리포
Francesco Coco (calciatore),프란체스코 코코
Silvio Berlusconi,실비오 베를루스코니
Renato Corsetti,레나토 코르세티
Umberto Eco,움베르토 에코
Luigi Comencini,루이지 코멘치니
Danny Quinn,대니 퀸
Marco Bellocchio,마르코 벨로키오
Bernardo Bertolucci,베르나르도 베르톨루치
Giovanna Trillini,조반나 트릴리니
Dario Argento,다리오 아르젠토
Pietro da Cortona,피에트로 다 코르토나
Luigi Delneri,루이지 델네리
Giorgio de Chirico,조르조 데 키리코
Giorgio Armani,조르조 아르마니
Primo Carnera,프리모 카르네라
Julius Evola,율리우스 에볼라
Guido Pizarro (calciatore),기도 피사로
Giuseppe Signori,주세페 시뇨리
Gian Lorenzo Bernini,잔 로렌초 베르니니
Felix Silla,펠릭스 실라
Alberto Moravia,알베르토 모라비아
Javier Mascherano,하비에르 마스체라노
Papa Paolo VI,교황 바오로 6세
Colin Firth,콜린 퍼스
Giorgio Perlasca,조르조 페를라스카
Sandro Salvadore,산드로 살바도레
Angelo Scola,안젤로 스콜라
Sonia Gandhi,소냐 간디
Giovanni Goria,조반니 고리아
Andrea Dotti (medico),안드레아 도티
Angelo Domenghini,안젤로 도멘기니
Giorgia Meloni,조르자 멜로니
Angelino Alfano,안젤리노 알파노
Eraldo Monzeglio,에랄도 몬첼리오
Ugo Locatelli,우고 로카텔리
Stephan El Shaarawy,스테판 엘 샤라위
Arturo Toscanini,아르투로 토스카니니
Nanni Loy,난니 로이
Marco Ferreri,마르코 페레리
Franco Frattini,프랑코 프라티니
Enrico Bombieri,엔리코 봄비에리
Luchino Visconti,루키노 비스콘티
Mario Monicelli,마리오 모니첼리
Beniamino Gigli,베니아미노 질리
Gianni Vattimo,잔니 바티모
Alex Schwazer,알렉스 슈바처
Gillo Pontecorvo,질로 폰테코르보
Duccio di Buoninsegna,두초
Maurizio Pollini,마우리치오 폴리니
Hernán Crespo,에르난 크레스포
Luigi Nono (compositore),루이지 노노
Dino Risi,디노 리시
Luigi Dallapiccola,루이지 달라피콜라
Cecilia Bartoli,체칠리아 바르톨리
Sergio Leone,세르조 레오네
Alfredo Casella,알프레도 카셀라
Lino Ventura,리노 벤투라
Lorenzo Buffon,로렌초 부폰
Marco Verratti,마르코 베라티
Marco Motta,마르코 모타
Luciano Tajoli,루치아노 타욜리
Klaus Dibiasi,클라우스 디비아시
Alba Parietti,알바 파리에티
Amedeo di Savoia-Aosta (1943),아메데오 디 사보이아아오스타 (1943년)
Ennio Morricone,엔니오 모리코네
Papa Giovanni XXIII,교황 요한 23세
Achille Varzi,아킬레 바르치
Stefano Okaka,스테파노 오카카
Gabriel Paletta,가브리엘 팔레타
Andy Selva,안디 셀바
Dalida,달리다
Enrico Chiesa,엔리코 키에사
Anna Maria Ferrero,안나 마리아 페레로
Barbara Bouchet,바르바라 부셰
Francesco Totti,프란체스코 토티
Roberto Benigni,로베르토 베니니
Patrick Thaler,파트리크 탈러
Enrico Berlinguer,엔리코 베를링구에르
Elisa (cantante 1977),엘리사 (이탈리아의 가수)
Paulo Dybala,파울로 디발라
Ornella Muti,오르넬라 무티
Carlo M. Cipolla,카를로 치폴라 (1922년)
Nanni Moretti,난니 모레티
Fabrizio De André,파브리지오 데 안드레
Pier Paolo Pasolini,피에르 파올로 파솔리니
Antonio Di Natale,안토니오 디 나탈레
Edinson Cavani,에딘손 카바니
Cesare Danova,체사레 다노바
Alessandro Altobelli,알레산드로 알토벨리
Axel Braun,액설 브론
Christian Panucci,크리스티안 파누치
Paolo Pulici,파올로 풀리치
Massimo Girotti,마시모 지로티
Lucio Dalla,루초 달라
Éder (calciatore 1986),에데르 시타징 마르칭스
Davide Astori,다비데 아스토리
Artemio Franchi,아르테미오 프란키
Armin Zöggeler,아르민 최겔러
Gianluca Curci,잔루카 쿠르치
Matteo Ferrari,마테오 페라리
Violante Placido,비올란테 플라치도
Franco Battiato,프랑코 바티아토
Daniele De Rossi,다니엘레 데 로시
Carlo Carrà,카를로 카라
Alessio Cerci,알레시오 체르치
Domenico Berardi,도메니코 베라르디
Carlo Lizzani,카를로 리차니
Alessandro Puccini,알레산드로 푸치니
Valentino Rossi,발렌티노 로시
Martina Valcepina,마르티나 발체피나
Francesca Archibugi,프란체스카 아르키부지
Antonio Conte,안토니오 콘테
Sandro Cuomo,산드로 쿠오모
Cristiano Doni,크리스티아노 도니
Valentino Mazzola,발렌티노 마촐라
Ezio Pinza,에치오 핀차
Nicolas Vaporidis,니콜라스 바포리디스
Giovanni Benelli,조반니 베넬리
Laura Morante,라우라 모란테
Aleandro Rosi,알레안드로 로시
Marco Galiazzo,마르코 갈리아초
Damiano Tommasi,다미아노 톰마시
Nicola Cabibbo,니콜라 카비보
Francesco Quinn,프란체스코 퀸
Ruggero Deodato,루제로 데오다토
Francesca Comencini,프란체스카 코멘치니
Piero Cappuccilli,피에로 카푸칠리
Nicola Sansone,니콜라 산소네
Laura Pausini,라우라 파우시니
Marco Marchionni,마르코 마르키오니
Mario Andretti,마리오 안드레티
Bruno Maderna,브루노 마데르나
Simone Padoin,시모네 파도인
Gianpiero Combi,잔피에로 콤비
Pietro Vierchowod,피에트로 비에르코보드
Lazar' Naumovič Berman,라자르 베르만
Ivan Zaytsev,이반 자이체브
Rahman Rezaei,라만 레자에이
Nicole Grimaudo,니콜 그리마우도
Ciro Immobile,치로 임모빌레
Roberto Cavalli,로베르토 카발리
Sandro Munari,산드로 무나리
Mark Iuliano,마르크 율리아노
Daniele Massaro,다니엘레 마사로
Aristide Guarneri,아리스티데 과르네리
Barbara De Rossi,바르바라 데로시
Alcides Ghiggia,알시데스 기지아
Alberico Evani,알베리고 에바니
Marisa Merlini,마리사 메를리니
Lorenzo Ariaudo,로렌초 아리아우도
Carla Del Poggio,카를라 델포조
Marina Massironi,마리나 마시로니
Don Backy,돈 백키
Dino Grandi,디노 그란디
Gabriele Oriali,가브리엘레 오리알리
Guido Celano,구이도 첼라노
Patrizia Panico,파트리치아 파니코
Enrico Albertosi,엔리코 알베르토시
Aldo Moro,알도 모로
Mauro Nespoli,마우로 네스폴리
Battista Farina,바티스타 파리나
Ivano Brugnetti,이바노 브루녜티
Carolina Morace,카롤리나 모라체
Serge Reggiani,세르주 레지아니
Stefania Rocca,스테파니아 로카
Cristian Stellini,크리스티안 스텔리니
Aldo Serena,알도 세레나
Anna Galiena,안나 갈리에나
Andrea Costa (calciatore),안드레아 코스타 (축구 선수)
Alberto Bigon,알베르토 비곤
Amedeo Carboni,아메데오 카르보니
Amedeo Biavati,아메데오 비아바티
Amedeo Amadei,아메데오 아마데이
Massimiliano Allegri,마시밀리아노 알레그리
Nereo Rocco,네레오 로코
Amedeo Nazzari,아메데오 나자리
Nicola Berti,니콜라 베르티
Ederson Honorato Campos,이데르송 오노라투 캄푸스
Isa Miranda,이사 미란다
Luca Calvani,루카 칼바니
Mario Carotenuto,마리오 카로테누토
Enrico Glori,엔리코 글로리
Attilio Ferraris,아틸리오 페라리스
Nicolás Pareja,니콜라스 파레하
Gianni Agnelli,잔니 아녤리
Bruno Conti,브루노 콘티
Davide Faraoni,다비데 파라오니
Filippo Timi,필리포 티미
Danny Huston,대니 휴스턴
Miguel Bosé,미겔 보세
Enrico Letta,엔리코 레타
Edoardo Gabbriellini,에도아도 가브리엘리니
Miriam Leone,미리암 레오네
Silvio Orlando,실비오 올란도
Fábio Deivson Lopes Maciel,파비우 데이비송 로페스 마시에우
Massimiliano Gallo,마시밀라노 갈로
Armando Castellazzi,아르만도 카스텔라치
Salvator Rosa,살바토르 로사
Charles Ponzi,찰스 폰지
Dario Marianelli,다리오 마리아넬리
Victor de Sabata,빅토르 데 사바타
Giulio Base,줄리오 바세
Bruno Zumino,브루노 추미노
Ennio Fantastichini,엔니오 판타스티키니
Pierfrancesco Favino,피에르프란체스코 파비노
Johnny Dorelli,조니 도렐리
Lorenzo Minotti,로렌초 미노티
Roberto Mussi,로베르토 무시
Carlo Ginzburg,카를로 긴츠부르그
Franco Causio,프란코 카우시오
Susanna Driano,수산나 드리아노
Vittorio Gregotti,비토리오 그레고티
Armando Picchi,아르만도 피키
Eva Grimaldi,에바 그리말디
Ugo Ferrante,우고 페란테
Francesco Graziani,프란체스코 그라치아니
Matteo Brighi,마테오 브리기
Giovanni Sartori,조반니 사르토리
Carlos Diogo,카를로스 디오고
Giuseppe Baresi,주세페 바레시
Jádson,자드송
Francesco Barilli,프란체스코 바릴리
Giuliano Gemma,줄리아노 젬마
Elsa Schiaparelli,엘사 스키아파렐리
Riccardo Cucciolla,리카르도 쿠치올라
Gino Cervi,지노 세르비
Gaetano De Sanctis,가에타노 데 산크티스
Alessandro Lambruschini,알레산드로 람브루스키니
Gazebo (cantante),가체보
Gabriele Ferzetti,가브리엘레 페르제티
Fernando De Napoli,페르난도 데 나폴리
Vincent Gardenia,빈센트 가데니아
Dalila Di Lazzaro,달리아 디 라자로
Michele Scarponi,미켈레 스카르포니
Giorgio Chinaglia,조르조 키날리아
Tito Gobbi,티토 고비
Anna Falchi,안나 팰치
Elsa Martinelli,엘사 마르티넬리
Carlo Ancelotti,카를로 안첼로티
Paoletta Magoni,파올레타 마고니
Vittorio Storaro,비토리오 스토라로
Roberto Regazzi,로베르토 레가찌
Leo Gullotta,레오 굴로타
Massimo Ranieri,마시모 라니에리
Chiara Cainero,키아라 카이네로
Scilla Gabel,쉴라 가벨
Elio Vittorini,엘리오 비토리니
Carla Gravina,카를라 그라비나
Gabry Ponte,가브리 폰테
Valerio Massimo Manfredi,발레리오 마시모 만프레디
Alessandra Amoroso,알레산드라 아모로소
Naike Rivelli,나이케 리벨리
Luigi Lo Cascio,루이지 로 카시오
Alessandro Haber,알레산드로 하버
Roberto Herlitzka,로베르토 에를리츠카
Carlo Molfetta,카를로 몰페타
Dionigi Tettamanzi,디오니지 테타만치
Paolo Rossi (calciatore 1956),파올로 로시
Sal Borgese,살바토레 보르게스
Adolfo Baloncieri,아돌포 발론치에리
Adolfo Celi,아돌포 셀리
Adolfo Consolini,아돌포 콘솔리니
Alberto Cova,알베르토 코바
Giuliana De Sio,줄리아나 데 시오
Claudia Gerini,클라우디아 제리니
Franco Maria Malfatti,프란코 마리아 말파티
Alfredo Foni,알프레도 포니
Antonio Cassano,안토니오 카사노
Enzo Ferrari,엔초 페라리
Vittorio Emanuele di Savoia (1937),비토리오 에마누엘레 디 사보이아
Ferruccio Parri,페루초 파리
Vittorio Caprioli,비토리오 카프리올리
Paolo Villaggio,파올로 빌라조
Gian Piero Gasperini,잔 피에로 가스페리니
Massimiliano Rosolino,마시밀리아노 로솔리노
Francesco Guidolin,프란체스코 구이돌린
Lina Sastri,리나 사스트리
Claudio Marchisio,클라우디오 마르키시오
Artur Moraes,아르투르 모라이스
Dante Spinotti,단테 스피노티
Guglielmo Stendardo,굴리엘모 스텐다르도
Joe Manganiello,조 맹거넬로
Johnny Torrio,조니 토리오
Fulvio Collovati,풀비오 콜로바티
Al Cliver,알 클리버
Ave Ninchi,아브 닌치
Daria Nicolodi,다리아 니콜로디
Mariacarla Boscono,마리아카를라 보스코노
Gianfranco Ferré,잔프랑코 페레
Gianni Amelio,잔니 아멜리오
Giacomo Rossi Stuart,자코모 로시 스튜어트
Toti Dal Monte,토티 달 몬테
Dino Zoff,디노 초프
Lisa Gastoni,리사 가스토니
Manuel Pasqual,마누엘 파스콸
Virginio Rosetta,비르지니오 로세타
Luigi Allemandi,루이지 알레만디
Renato Izzo,레나토 이초
Tommaso Padoa-Schioppa,톰마소 파도아스키오파
Fabiano Caruana,파비아노 카루아나
Mario Scelba,마리오 셸바
Paola Pitagora,파올라 피타고라
Gigi Proietti,지지 프로이에티
Salvo Randone,살보 란도네
Elena Sofia Ricci,엘레나 소피아 리치
Antonio Stradivari,안토니오 스트라디바리
Daniela Giordano (attrice 1946),다니엘라 조르다노
Alberto Gilardino,알베르토 질라르디노
Alfredo Ottaviani,알프레도 오타비아니
Bernardo Corradi,베르나르도 코라디
Leopoldo Trieste,레오폴도 트리에스테
Marco Sau,마르코 사우
Claudio Baglioni,클라우디오 발리오니
Massimo Serato,마시모 세라토
Gianluca Zambrotta,잔루카 참브로타
Monica Guerritore,모니카 구에리토레
Bruno Sammartino,브루노 삼마르티노
Piero Sraffa,피에로 스라파
Walter Mazzarri,발테르 마차리
Giovanni Lombardo Radice,조반니 롬바르도 라디체
Juan Martín Maldacena,후안 말다세나
Giuseppe Siri,주세페 시리
Paolo Negro,파올로 네그로
Clemente Russo,클레멘테 루소
Ettore Bastico,에토레 바스티코
Mauricio Macri,마우리시오 마크리
Delio Rossi,델리오 로시
Fabio Capello,파비오 카펠로
Ivano Bordon,이바노 보르돈
Rita Levi-Montalcini,리타 레비몬탈치니
Riccardo Chailly,리카르도 샤이
Moreno Torricelli,모레노 토리첼리
Lorella De Luca,로렐라 데 루카
Gianni De Biasi,잔니 데 비아시
Daniele Dessena,다니엘레 데세나
Valerio Adami,발레리오 아다미
Bruno Nicolai,브루노 니콜라이
Roberto Maroni,로베르토 마로니
Ferruccio Novo,페루초 노보
Fabiano Santacroce,파비아노 산타크로체
Gustavo Petro,구스타보 페트로
Marino Marini (scultore),마리노 마리니
Marco Materazzi,마르코 마테라치
Luca Toni,루카 토니
Riccardo Giacconi,리카르도 자코니
Diego Lugano,디에고 루가노
Amy Adams,에이미 아담스
Franco Moschino,프랭코 모스키노
Paolo Maldini,파올로 말디니
Benito Lorenzi,베니토 로렌치
Annibale Bugnini,안니발레 부니니
Francesco Antonioli,프란체스코 안토니올리
Luca Marrone,루카 마로네
Carlo Rubbia,카를로 루비아
Francesca Schiavone,프란체스카 스키아보네
Pierluigi Collina,피에를루이지 콜리나
Adriana Asti,아드리아나 아스티
Paolo Sorrentino,파올로 소렌티노
Roberto Tricella,로베르토 트리첼라
Giuseppe Milano,주세페 밀라노
Toto Cutugno,토토 쿠투뇨
Fabio Lione,파비오 리오네
Gianpiero Marini,잠피에로 마리니
Rik Battaglia,릭 바탈리아
Enrico Dante,엔리코 단테
Massimo Ambrosini,마시모 암브로시니
Christian Vieri,크리스티안 비에리
Reinhold Messner,라인홀트 메스너
Giovanni Arrighi,조반니 아리기
Stefano Tacconi,스테파노 타코니
Michael Agazzi,미카엘 아가치
Tiziano Ferro,티지아노 페로
Giovanni Galli,조반니 갈리
Tony Terlazzo,앤서니 털러조
Pietro Parolin,피에트로 파롤린
Alberto Braglia,알베르토 브랄리아
Mauro Camoranesi,마우로 카모라네시
Franco Baresi,프란코 바레시
Renzo Piano,렌초 피아노
Alberto Aquilani,알베르토 아퀼라니
Vincenzo Iaquinta,빈첸초 이아퀸타
Thiago Motta,티아고 모타
Andrea Baldini,안드레아 발디니
Andrea Aureli,안드레아 오렐리
Ruggiero Rizzitelli,루제로 리치텔리
Omero Tognon,오메로 토뇬
Giuseppe Meazza,주세페 메아차
Benedetto Croce,베네데토 크로체
Bettino Craxi,베티노 크락시
Aldo Protti,알도 프로티
Mario Castelnuovo-Tedesco,마리오 카스텔누오보-테데스코
Giulia Michelini,줄리아 미켈리니
Angelo Infanti,안젤로 인판티
Andrea Cassarà,안드레아 카사라
Andrea Carnevale,안드레아 카르네발레
Pietro Rava,피에트로 라바
Andrea Cossu,안드레아 코수
Andrea Collinelli,안드레아 콜리넬리
Mario Zanin,마리오 차닌
Roger Piantoni,로제 피앙토니
Ugo Fano,우고 파노
Pio da Pietrelcina,피에트렐치나의 비오
Gianni Rodari,잔니 로다리
Angelo Bagnasco,안젤로 바냐스코
Pierluigi Casiraghi,피에를루이지 카시라기
Emanuele Giaccherini,에마누엘레 자케리니
Andrea Fortunato,안드레아 포르투나토
Maurizio Stecca,마우리지오 스테카
Guido Cantelli,귀도 칸텔리
Gelindo Bordin,젤린도 보르딘
Adriano Celentano,아드리아노 첼렌타노
Samantha Cristoforetti,사만타 크리스토포레티
Ildebrando Pizzetti,일데브란도 피체티
Andrea Mantovani,안드레아 만토바니
Andrea Minguzzi,안드레아 민구치
Andrea Mandorlini,안드레아 만도를리니
Sara Gama,사라 가마
Anita Caprioli,아니타 카프리올리
Nicola di Grecia (1969),그리스와 덴마크의 왕자 니콜라오스 (1969년)
Maximilian Sciandri,맥시밀리언 시안드리
Pietro Badoglio,피에트로 바돌리오
Antonio Sabato Jr.,안토니오 사바토 주니어
Stefano Baldini,스테파노 발디니
Giancarlo Antognoni,잔카를로 안토뇨니
Domenico Modugno,도메니코 모두뇨
Giorgio Di Centa,조르조 디 첸타
Valentino (stilista),발렌티노 가라바니
Francesco Moriero,프란체스코 모리에로
Francesco Zagatti,프란체스코 차가티
Guccio Gucci,구찌오 구찌
Roberto Calvi,로베르토 칼비
Luca Rossettini,루카 로세티니
Margherita Buy,마르게리타 부이
Mattia De Sciglio,마티아 데 실리오
Robert Acquafresca,로베르트 아콰프레스카
Giuliano Amato,줄리아노 아마토
Carolina Crescentini,카롤리나 크레센티니
Michele Placido,미켈레 플라치도
Giuseppe Occhialini,주세페 오키알리니
Giovanni Pasquale,조반니 파스콸레
Arturo Dominici,아르투로 도미니치
Simone Pepe,시모네 페페
Isabella Rossellini,이사벨라 로셀리니
Raoul Bova,라울 보바
Salvatore Luria,샐버도어 에드워드 루리아
Jacopo Amigoni,자코포 아미고니
Mattia Destro,마티아 데스트로
Franco Modigliani,프란코 모디글리아니
Samuele Longo,사무엘레 론고
Aureliano Bolognesi,아우렐리아노 볼로녜시
Giovanni Battista Caproni,조반니 바티스타 카프로니
Stéphane Grappelli,스테판 그라펠리
Flavia Pennetta,플라비아 펜네타
Pontormo,자코포 다 폰토르모
Federico Casarini,페데리코 카사리니
Michele Pazienza,미켈레 파치엔차
Carlo Cudicini,카를로 쿠디치니
Roberto Cammarelle,로베르토 캄마렐레
Michele Ferri,미켈레 페리
Claudio Villa,클라우디오 빌라
Marco Andreolli,마르코 안드레올리
Nico Pulzetti,니코 풀체티
Tarcisio Burgnich,타르치시오 부르니치
Nicolas Bean,니콜라스 빈
Giovanni Ferrari,조반니 페라리
Davide Biondini,다비데 비온디니
Nino Cerruti,니노 세루티
Giacomo Bulgarelli,자코모 불가렐리
Lido Vieri,리도 비에리
Tranquillo Barnetta,트란퀼로 바르네타
Leonardo Bonucci,레오나르도 보누치
Lamberto Dini,람베르토 디니
Lucky Luciano,러키 루치아노
Federico Macheda,페데리코 마케다
Igor Markevitch,이고르 마르케비치
Antonello Fassari,안토넬로 파사리
Antonello Cuccureddu,안토넬로 쿠쿠레두
Pietro Paolo Virdis,피에트로 파올로 비르디스
Antonia Truppo,안토니아 트루포
Alessandro Diamanti,알레산드로 디아만티
Andrea Poli,안드레아 폴리
Franco Albini,프란코 알비니
Gabriele Amorth,가브리엘레 아모르트
Romeo Neri,로메오 네리
Giuseppe Tomasi di Lampedusa,주세페 토마시 디 람페두사
Antonio Nocerino,안토니오 노체리노
Alessandro Costacurta,알레산드로 코스타쿠르타
Ignazio Abate,이냐치오 아바테
Christian Maggio,크리스티안 마조
Sebastian Giovinco,세바스티안 조빈코
Mario Corso,마리오 코르소
Agostina Belli,아고스티나 벨리
Salvatore Baccaro,살바토레 바카로
Jovanotti,조바노티
Fabio Cudicini,파비오 쿠디치니
Sergio Bertoni,세르조 베르토니
Nino Rota,니노 로타
Luciano Floridi,루치아노 플로리디
Domenico Criscito,도메니코 크리시토
Milo Manara,밀로 마나라
Annunzio Paolo Mantovani,만토바니
Goffredo Petrassi,고프레도 페트라시
Nevio Scala,네비오 스칼라
Cesare Prandelli,체사레 프란델리
Gino Peruzzi,히노 페루시
Graziano Pellè,그라치아노 펠레
