동해시,東海市·(韓國)
북구 (광주광역시),北区·(光州广域市)
부산진구,釜山镇区
북구 (대구광역시),北区·(大邱广域市)
북구 (포항시),北区·(浦项市)
북구 (부산광역시),北区·(釜山广域市)
북구 (울산광역시),北區·(蔚山廣域市)
분당구,盆唐區
권선구,勸善區
금정구,金井区
구로구,九老區
광진구,廣津區
남구 (대구광역시),南区·(大邱广域市)
금천구,衿川區
남구 (광주광역시),南区·(光州广域市)
남구 (부산광역시),南区·(釜山广域市)
미추홀구,彌鄒忽區
남구 (울산광역시),南區·(蔚山廣域市)
2018년 동계 올림픽,2018年冬季奥林匹克运动会
분당선,盆唐線
기흥역,器兴站
대한민국의 성매매,韩国性交易产业
부산광역시,釜山廣域市
경기도,京畿道
안성시,安城市·(韓國)
안양시,安養市
양주시,楊州市
양산시,梁山市
인천광역시,仁川廣域市
여수시,麗水市·(韓國)
영주시,榮州市
전주시,全州市
동해,日本海
순창군,淳昌郡
오산시,烏山市
신안군,新安郡·(韓國)
영천시,永川市
강남역,江南站·(首尔)
서울 지하철 9호선,首爾地鐵9號線
경의선,京義線
한국철도공사,韓國鐵道公社
서울 지하철 2호선,首爾地鐵2號線
서북구,西北區·(天安市)
송파구,松坡區
성북구,城北區·(韓國)
성동구,城東區·(韓國)
성산구,城山区
양양군,襄陽郡·(韓國)
양구군,楊口郡
상당구,上黨區·(韓國)
상록구,常綠區
사상구,沙上区
사하구,沙下区
대한항공 007편 격추 사건,大韓航空007號班機空難
용인시,龍仁市
대한민국 표준어,標準語·(韓國)
중구 (인천광역시),中區·(仁川廣域市)
중구 (부산광역시),中区·(釜山广域市)
중랑구,中浪區
중원구,中院區
중구 (서울특별시),中區·(首爾特別市)
중구 (울산광역시),中區·(蔚山廣域市)
싸이월드,Cyworld
정자역,亭子站
서구 (광주광역시),西区·(光州广域市)
서구 (대구광역시),西区·(大邱广域市)
서구 (대전광역시),西区·(大田广域市)
서구 (부산광역시),西区·(釜山广域市)
서구 (인천광역시),西區·(仁川廣域市)
서대문구,西大門區
이어도,苏岩礁
훈민정음,訓民正音
충주시,忠州市
통영시,統營市
파주시,坡州市
유성구,儒城区
은평구,恩平區
옥천군,沃川郡
옹진군 (인천광역시),甕津郡·(仁川廣域市)
양천구,陽川區
연수구,延壽區
예천군,醴泉郡
영도구,影岛区
용산구,龍山區·(韓國)
영통구,靈通區
연제구,莲堤区
이천시,利川市·(韓國)
익산시,益山市
양평군,楊平郡
진해구,镇海区·(韩国)
영광군 (전라남도),靈光郡
연천군,漣川郡
영동군,永同郡
여주시,驪州市
영덕군,盈德郡
영암군,靈巖郡
영월군,寧越郡·(韓國)
예산군,禮山郡
영양군,英陽郡
대한해협,朝鲜海峡
을지로입구역,乙支路入口站
서대문역,西大门站
서수로,釜山海峽
쓰시마 해협,對馬海峽
안암역,安岩站
새절역,赛折站
일산동구,一山東區
중구 (대구광역시),中区·(大邱广域市)
일산서구,一山西區
중구 (대전광역시),中区·(大田广域市)
임실군,任實郡
장성군,長城郡
장안구,長安區·(韓國)
의정부시,議政府市
의왕시,義王市
한려해상국립공원,閑麗海上國立公園
서초역,瑞草站
대한민국의 공휴일,韓國節日
동덕여자대학교,同德女子大學
역촌역,驿村站
선릉역,宣陵站
경춘선,京春線
2012년 코리아 그랑프리,2012年韩国大奖赛
수도권 전철 1호선,首都圈電鐵1號線
정석비행장,靜石飛行場
동아시아,东亚
동북아시아,东北亚
제주도,济州岛
진주시,晋州市·(韩国)
진천군,镇川郡
철원군 (남),鐵原郡·(韓國)
창녕군,昌宁郡
청도군,清道郡
진안군,鎮安郡
증평군,曾坪郡
정선군,旌善郡
장흥군,長興郡
진도군,珍島郡
청주시,清州市
천안시,天安市
태백시,太白市
춘천시,春川市
장수군,長水郡
함안군,咸安郡·(韓國)
평택시,平澤市
태안군,泰安郡
칠곡군,漆谷郡
수인선,水仁線
수도권 전철,首都圈電鐵
경부선,京釜線
왕십리역,往十里站
죽전역 (용인),竹田站·(京畿道)
고속터미널역,高速巴士客运站
수영구,水营区
수정구,壽井區
수성구,寿城区
제주시,濟州市
정읍시,井邑市
해남군,海南郡
합천군,陜川郡
함평군,咸平郡
함양군,咸陽郡·(韓國)
홍성군,洪城郡
여의도,汝矣島
서울숲역,首爾林站
경인선,京仁線
광명역,光明站·(京畿道)
"민주당 (대한민국, 2011년)",民主黨·(大韓民國2011年)
63빌딩,63大廈
서울평화상,首尔和平奖
서울 지하철 7호선,首爾地鐵7號線
완도군,莞島郡
제천시,堤川市
울진군,蔚珍郡
울주군,蔚州郡
완주군,完州郡
화순군,和順郡
홍천군,洪川郡
음성군,陰城郡
의령군,宜寧郡
의성군,義城郡
인제군,麟蹄郡
읍,邑·(朝鮮半島)
지스타,韓國國際遊戲展示會
남해군,南海郡·(韓國)
하동군,河東郡·(韓國)
원주시,原州市
청송군,青松郡
해운대구,海雲臺區
청원군,清原郡
팔달구,八達區
청양군,青陽郡
울림엔터테인먼트,Woollim娛樂
YG 엔터테인먼트,YG娛樂
인피니트,INFINITE
흥덕구,兴德区
부산 도시철도,釜山都市鐵道
조선대학교,朝鮮大學·(韓國)
현대자동차,現代汽車
양평역 (양평),杨平站
대한민국의 고속도로,韓國高速公路
양평역 (서울),杨坪站
대모산입구역,大母山站
보정역,宝亭站
신갈역,新葛站
수내역,薮内站
구성역 (용인),驹城站
이매역,二梅站
미금역,美金站
개포동역,开浦洞站
서현역,書峴站
이수역,梨水站
송광사,松廣寺
운현궁,雲峴宮
스타필드 코엑스몰,COEX商場
대한민국 해군,韓國海軍
대한민국 문화체육관광부,文化體育觀光部
영남대학교,嶺南大學·(韓國)
가천대학교,嘉泉大學
경주 불국사 다보탑,佛國寺多寶塔
국회의사당 (대한민국),國會議事堂·(韓國)
대한민국의 텔레비전 프로그램 목록,韓國綜藝節目列表
경주역 (폐역),庆州站·(废站)
구의역,九宜站
한대앞역,漢陽大學站·(京畿道)
신길온천역,新吉溫泉站
소사역,素砂站
농업협동조합 (대한민국),農業協同組合·(韓國)
한국어 신문 목록,韩国报纸列表
대한민국 문화재청,文化財廳
LG 트윈스,LG雙子
이마트,易買得
종로구,鐘路區
기아 (기업),起亚汽车
중앙선,中央線·(韓國)
금강산선,金刚山线
옥수역,玉水站·(首尔)
포항공과대학교,浦項工科大學
고려대학교,高麗大學
한양대학교,漢陽大學
충청북도,忠清北道
수서역,水西站·(首尔)
압구정로데오역,狎鸥亭罗德奥站
도곡역,道谷站
선정릉역,宣靖陵站
가천대역,嘉泉大學站
태평역,太平站·(韓國)
강남구청역,江南区厅站
한티역,漢堤站
복정역,福井站·(首爾)
충청남도,忠清南道
모란역,牡丹站·(京畿道)
홍대입구역,弘益大學站
천안아산역,天安牙山站
오송역,五松站
대구역,大邱站
동대구역,東大邱站
강변역,江邊站·(首爾)
디지털미디어시티역,数码媒体城站
김천역,金泉站·(庆尚北道)
개화역,開花站
용답역,龍踏站
공덕역,孔德站
한양대역,漢陽大學站·(首爾)
뚝섬역,纛岛站
구로디지털단지역,九老數碼園區站
봉천역,奉天站·(首尔)
잠실새내역,蚕室新川站
상왕십리역,上往十里站
이대역,梨花女子大學站
신정네거리역,新亭十字路口站
대한민국 제헌 국회의원 선거,大韓民國制憲國會議員選舉
방배역,方背站
목동야구장,木洞棒球場
엠넷,Mnet
망월사역,望月寺站
의정부역,議政府站
KBS홀,KBS電視台音樂廳
사천공항,泗川機場
서울시립대학교,首爾市立大學
한국과학기술연구원,韩国科学技术研究院
평창알펜시아스키점프센터,阿爾卑西亞跳台滑雪場
서울특별시장,首爾特別市長
테헤란로,德黑蘭路
삼성역,三成站
성수역,聖水站
양천구청역,阳川区厅站
서울대학교,首爾大學
포미닛,4minute
연세대학교,延世大學
한국과학기술원,韩国科学技术院
영등포역,永登浦站
오적 필화 사건,五贼笔祸事件
신도림역,新道林站
신기역 (삼척),新基站·(江原特別自治道)
서울 지하철 8호선,首爾地鐵8號線
플레디스 엔터테인먼트,PLEDIS娛樂
동중국해,东海
안동 하회마을,河回村
황해,黄海
포천시,抱川市
낙동강,洛東江
신탄리역,新炭里站
대한민국 국방부,韩国国防部
야탑역,野塔站
한국노동조합총연맹,韩国劳动组合总联盟
소요산역,逍遥山站
서대문형무소,西大門刑務所
하남시,河南市
포항시,浦项市
화성시,華城市
상월곡역,上月谷站
마포구청역,麻浦区厅站
동해의 이름에 대한 논쟁,日本海命名爭議
독바위역,瓮岩站
헬로비너스,Hello·Venus
인사동,仁寺洞
태안해안국립공원,泰安海岸國立公園
화천군,華川郡
횡성군,橫城郡
흑석역,黑石站·(首尔)
상주시,尚州市
가능역,佳陵站
망원역,望远站
삼각지역,三角地站·(首尔)
도봉역,道峰站
역곡역,驛谷站
응암역,鹰岩站
인천공항1터미널역,仁川国际机场1号航站楼站
신논현역,新論峴站
김포공항역,金浦机场站
호남선,湖南線
부산대학교,釜山大学
검암역,黔岩站
공항화물청사역,机场货物办公楼站
부산역,釜山站
계양역,桂陽站
V-리그 (대한민국),V聯賽·(韓國)
한강,漢江·(韓國)
수원역,水原站·(韓國)
금정역,衿井站
가산디지털단지역,加山數碼園區站
임진강역,临津江站
가좌역,加佐站
병점기지선,饼店基地线
화서역,华西站
서동탄역,西东滩站
경찰병원역,警察医院站
병점역,餅店站
세류역,細柳站
울산역,蔚山站
서대전역,西大田站
의왕역,义王站
천안역,天安站
마야인,玛雅人
안양역,安養站
금천구청역,衿川区厅站
경주역,慶州站
오리역,梧里站
고잔역,古栈站
증산역 (서울),缯山站
신이문역,新里門站
제기동역,祭基洞站
돌곶이역,石串站
회룡역,回龍站·(京畿道)
대한민국 헌법재판소,韩国宪法法院
천주교 춘천교구,天主教春川教區
대한민국의 원자력 발전,韩国核能
송정역 (서울),松亭站·(首尔)
구산역,龟山站·(首尔)
대한민국 기획재정부,企划财政部
월계역,月溪站
독도 분쟁,独岛主权争议
광복절,光复节·(朝鲜半岛)
대한민국 해양경찰청,海洋警察廳
한국항공우주산업,韩国航空宇宙产业
대한민국 U-23 축구 국가대표팀,韓國23歲以下國家足球隊
고려대역,高麗大學站
성균관대학교,成均馆大学
강원특별자치도,江原特別自治道
경상남도,庆尚南道
이화여자대학교,梨花女子大學
영주역,荣州站
오빈역,梧滨站
2002년 FIFA 월드컵,2002年國際足協世界盃
대한민국의 행정 구역,韩国行政区划
경상북도,庆尚北道
구리역,九里站·(京畿道)
팔당역,八堂站
도심역,陶深站
도림천역,道林川站
운길산역,云吉山站
덕소역,德沼站
신원역 (양평),新院站
국수역,菊秀站
회기역,回基站
아신역,我新站
도농역,陶农站
양수역,两水站·(韩国)
투니버스,Tooniverse
신답역,新踏站
조계사,曹溪寺·(首尔)
용두역,龍頭站
인하대학교,仁荷大學
한국교육방송공사,韓國教育廣播公司
역삼역,驛三站
아시아송 페스티벌,亚洲音乐节
홍도,红岛·(全罗南道)
삼성 라이온즈,三星獅
국가재건최고회의,國家重建最高會議
신설동역,新設洞站
하이트맥주 주식회사,海特啤酒
새마을호,新村號
미아사거리역,弥阿十字路口站
신정역,新亭站
대한민국 고용노동부,僱傭勞動部
대한민국 환경부,韩国环境部
"민주당 (대한민국, 2000년)",民主黨·(大韓民國2000年)
국립서울현충원,國立首爾顯忠院
대한민국 행정안전부,行政安全部
대한민국 제6공화국,第六共和國·(大韓民國)
서원 (한국),书院·(朝鲜半岛)
백운역,白云站·(仁川)
길음역,吉音站
수유역,水踰站
동암역,銅岩站
제물포역,濟物浦站
부평역,富平站·(韩国)
정왕역,正往站
간석역,間石站
상계역,上溪站
도원역,桃源站·(仁川)
영종도,永宗岛
종묘,宗廟·(首爾)
전북특별자치도,全北特別自治道
전라남도,全羅南道
제주특별자치도,濟州特別自治道
가락시장역,可樂市場站
천호역,千户站
암사역,岩寺站·(首尔)
교대역 (서울),首爾教育大學站
오금역,梧琴站
대구 도시철도,大邱都市鐵道
사당역,舍堂站
서빙고역,西冰库站
서경주역 (중앙선),西慶州站·(中央線)
남조선로동당,南朝鲜劳动党
남춘천역,南春川站
굴봉산역,屈峰山站
춘천역,春川站
민주주의민족전선,民主主義民族戰線
응봉역,鹰峰站
당고개역,堂岭站
백양리역,白杨里站
이촌역,二村站
한남역,漢南站
김유정역,金裕贞站
강촌역,江村站·(韓國)
운서역,雲西站
현대자동차그룹,现代汽车集团
능곡역,陵谷站
곡산역,谷山站·(京畿道)
행신역,幸信站
신촌역 (경의선),新村站·(韩国铁道公社)
수색역,水色站
대곡역 (고양),大谷站·(京畿道)
한국항공대역,韓國航空大站
일산역,一山站
운정역,云井站·(京畿道)
파주역,坡州站
송도국제도시,松島國際都市
백마역,白马站·(京畿道)
이춘재 연쇄 살인 사건,華城連環殺人案
월롱역,月笼站
탄현역,炭岘站
대한민국 여성가족부,女性家族部
금릉역,金陵站
풍산역 (고양),枫山站·(京畿道)
금촌역,金村站
울릉도,鬱陵島
울산광역시,蔚山广域市
샛강역,赛江站
노들역,鷺得站
당산역,堂山站
사평역,砂平站
노량진역,鷺梁津站
연산군묘,燕山君墓
동작역,銅雀站
선유도역,仙遊島站
광주대구고속도로,光州大邱高速公路
남해고속도로,南海高速公路
대한민국 제18대 국회의원 선거,2008年大韓民國國會選舉
국제업무지구역,國際業務園區站
종묘 제례,宗庙祭礼·(朝鲜王朝)
열린우리당,开放国民党
대한민국의 중앙행정기관,韓國中央行政機關
이스트소프트,ESTsoft
대한민국 국가보훈부,國家報勳部
미아역,弥阿站
동대문역,東大門站
중동역 (부천),中洞站·(京畿道)
쌍문역,双门站
남태령역,南泰岭站
송내역,松内站
오이도역,乌耳岛站
서초 삼성타운,三星城
삼성중공업,三星重工
동대문운동장,東大門運動場
남산 (경주),南山·(慶州市)
STX (기업),STX
신목동역,新木洞站
신반포역,新盤浦站
구반포역,旧盘浦站
한화그룹,韩华集团
국회의사당역,国会议事堂站
염창역,盐仓站
민주정의당,民主正義黨
등촌역,登村站
금호아시아나그룹,錦湖韓亞集團
HJ중공업,HJ重工
반월역,半月站
도화역,道禾站
초지역,草芝站
태종대,太宗台
상록수역,常绿树站
대야미역,大夜味站
대한민국 헌법,大韓民國憲法
금강,锦江·(韩国)
대한민국 제19대 국회의원 선거,2012年大韓民國國會選舉
창동역,倉洞站
대한민국의 인구,韓國人口
대한민국의 대외 관계,韩国外交
문산역,文山站
마곡나루역,麻谷渡口站
증미역,曾米站
공항시장역,机场市场站
양천향교역,阳川乡校站
가양역,加陽站
김천(구미)역,金泉龜尾站
서울고속버스터미널,首尔高速巴士客运站
광주광역시,光州廣域市
신방화역,新傍花站
중앙대학교,中央大學·(韓國)
건국대학교,建國大學
가톨릭대학교,韩国加图立大学
서울종합운동장 야구장,蠶室棒球場
창신역,昌信站
수도권 전철 4호선,首都圈电铁4号线
압구정동,狎鷗亭洞
예술의전당,藝術殿堂
HD현대삼호,現代三湖重工業
KIA 타이거즈,起亞虎
네이버 (기업),Naver·(公司)
KBO 리그,KBO聯盟
발교산,髮校山
국군간호사관학교,國軍看護士官學校·(韓國)
천주교 수원교구,天主教水原教区
천주교 대전교구,天主教大田教區
천주교 안동교구,天主教安东教区
경부고속철도,京釜高速線
천주교 마산교구,天主教马山教区
천주교 광주대교구,天主教光州總教區
천주교 의정부교구,天主教议政府教区
이스타항공,易斯達航空
우장산역,雨装山站
고창담양고속도로,高敞潭陽高速公路
KBS대구방송총국,KBS大邱放送總局
경마공원역,賽馬公園站
경기만,京畿灣
대공원역 (과천),首爾大公園站
철원역,铁原站
KBS대전방송총국,KBS大田放送总局
천주교 전주교구,天主教全州教區
개화산역,开花山站
거문도,巨文島
평촌역,坪村站·(京畿道)
개봉역,開峯站
부개역,富開站
오류동역,梧柳洞站
거가대교,巨加大桥
경주 석빙고,慶州石冰庫
정선선,旌善線
심천역,深川站·(忠清北道)
구룡역 (순천),九龙站·(全罗南道)
위젯 스튜디오,Wizet
숭실대학교,崇實大學
한국도로공사,韓國道路公社
천주교 청주교구,天主教清州教区
성수대교,聖水大橋
대한민국의 종교,韓國宗教
한국일보,韓國日報
매일경제신문,每日经济新闻·(韩国)
육군특수전사령부,韓國陸軍特戰司令部
현충로역,显忠路站
대곡역 (대구),大谷站·(大邱)
소말리아 해역 호송전대,清海部隊
KBS목포방송국,KBS木浦放送局
장산역,萇山站
여의도공원,汝矣島公園
도고온천역,道高温泉站
용인서울고속도로,龍仁首爾高速公路
대한민국 해양수산부,海洋水產部
한국국민당 (1981년),韓國國民黨
세브란스병원,世福兰斯医院
북한산 신라 진흥왕 순수비,北漢山新羅真興王巡狩碑
KBS부산방송총국,KBS釜山放送總局
사월역,沙月站
화랑대역 (폐역),花郎台站·(韩国铁道公社)
서부정류장역,西部客運站
대한민국의 국회의장,韓國國會議長
한국스카우트연맹,韓國童軍總會
김홍도 필 풍속도 화첩,檀园风俗图帖
부천경찰서 성고문 사건,富川警察署性拷問事件
선정릉,宣靖陵
KBS강릉방송국,KBS江陵放送局
KBS순천방송국,KBS順天放送局
대한민국 제10대 국회의원 선거,1978年大韓民國國會選舉
.kr,.kr
강릉시,江陵市
영등포구청역,永登浦区厅站
잠실나루역,蚕室渡口站
녹천역,鹿川站
선학역,仙鹤站
방화역,傍花站
범계역,凡溪站
굽은다리역,曲橋站
방학역,放鶴站
여의나루역,汝矣渡口站
아현역,阿峴站
하계역,下溪站
수락산역,水落山站
노원역,芦原站·(首尔)
도봉산역,道峰山站
한국조폐공사,韓國造幣公社
중계역,中溪站
장암역,长岩站
서울 양화나루와 잠두봉 유적,切头山
마들역,马得站
거제시,巨濟市
경산시,慶山市
공주시,公州市
고양시,高陽市
계룡시,雞龍市
광명시,光明市
과천시,果川市
공릉역,孔陵站
먹골역,墨谷站
태릉입구역,泰陵站
어린이대공원역,儿童大公园站
청담역,清潭站·(首尔)
용마산역,龙马山站
건대입구역,建國大學站
중화역 (서울),中和站·(首尔)
군자역,君子站
사가정역,四佳亭站
중곡역,中谷站
면목역,面牧站
자양역 (서울),紫陽站·(首爾)
숭실대입구역,崇實大學站
신대방삼거리역,新大方丁字路口站
반포역,盘浦站
내방역,内方站
남성역,南城站·(首尔)
장승배기역,長丞拜基站
상도역,上道站·(首尔)
논현역,论岘站
천주교 부산교구,天主教釜山教区
KS X 1001,KS·X·1001
학동역,鹤洞站·(首尔)
S-LCD,三星顯示
대한민국의 선거,大韓民國選舉
동해남부선,東海南部線
대한민국 환,韓圜
국립한국해양대학교,韓國海洋大學
천주교 제주교구,天主教济州教区
용인 경전철,龙仁轻电铁
금산사,金山寺·(韓國)
을지로4가역,乙支路4街站
서울 SK 나이츠,首爾SK騎士
DSP 미디어,DSP媒體
인천SSG랜더스필드,文鶴棒球場
광주무등경기장 야구장,光州無等綜合競技場棒球場
국민중심당,國民中心黨
무궁화호,無窮花號
한국여자프로농구,韓國女子籃球聯賽
당산철교,堂山鐵橋
충남대학교,忠南大学
임진각국민관광지,臨津閣
대구시민운동장 야구장,大邱市民運動場棒球場
발산역,钵山站
대구 지하철 화재 참사,2003年大邱地鐵縱火案
자갈치시장,札嘎其市场
마장역,馬場站·(首爾)
답십리역,踏十里站
남제주군,南濟州郡
방이역,芳荑站
행당역,杏堂站
다이아몬드 타워,釜山塔
목동역,木洞站
화곡역,禾谷站
명일역,明逸站
고덕역,高德站
청담대교,清潭大橋
영주 소수서원,紹修書院
광나루역,廣渡口站
상수역,上水站·(首爾)
거여역,巨餘站
오목교역,梧木桥站
대한민국의 역사 드라마 목록,韩国时代剧列表
남창역,南仓站·(蔚山)
대구선,大邱線
KBS광주방송총국,KBS光州放送總局
넷마블,網石遊戲
MBC FM4U,MBC·FM4U
청해진,莞岛清海镇遗址
KBS포항방송국,KBS浦项放送局
대구은행역,大邱银行站
정글 엔터테인먼트,Jungle娛樂
대한민국 제11대 국회의원 선거,1981年大韓民國國會選舉
대화역,大化站
주엽역,注葉站
마두역,馬頭站·(京畿道)
삼송역,三松站·(京畿道)
화정역 (고양),花井站
정발산역,鼎钵山站
백석역,白石站·(京畿道)
원당역,元堂站
지축역,紙杻站
구파발역,舊把撥站
광주시 (경기도),廣州市·(韓國)
광양시,光陽市
밀양 여중생 집단 성폭행 사건,密陽性暴力事件
외대앞역,韓國外國語大學站
광운대역,光云大學站
연신내역,延新川站
월곡역,月谷站
이태원역,梨泰院站
봉화산역,烽火山站
한화 이글스,韓華鷹
월드컵경기장역 (서울),世界杯体育场站
광흥창역,广兴仓站
아모레퍼시픽,愛茉莉太平洋
키움 히어로즈,培證英雄
분황사,芬皇寺
한국정보통신대학교,韓國情報通信大學
경주 계림,雞林·(慶州市)
호서대학교,湖西大學
아주대학교,亞洲大學·(韓國)
창조한국당,創造韓國黨
북제주군,北濟州郡
종로 (서울),鐘路
구리시,九里市
군산시,群山市
구미시,龟尾市
임학역,林鹤站
테크노파크역,科技公园站
장전역,長箭站
한남대학교,韓南大學
라이따이한,越戰韓越混血兒
대한민국 제14대 국회의원 선거,1992年大韓民國國會選舉
동래온천,東萊溫泉
동관왕묘,東關王廟
귤현역,橘岘站
단국대학교,檀國大學
한세대학교,韓世大學
가리산 (강원),加里山·(江原特別自治道)
군포시,軍浦市
김천시,金泉市
김제시,金堤市
아천역,牙川站
신치역,新峙站
신풍역 (여수),新丰站·(全罗南道)
신평역 (대구),新坪站
신현역 (문경),新峴站·(慶尚北道)
신음역,新音站
심포리역 (삼척),深浦里站·(江原道)
신흥리역,新興里站
수철리역,水铁里站
시동역,诗洞站
신길역 (폐역),新吉站·(京畿道)
신마산역,新马山站
신갈역 (폐역),新葛站·(废站)
남원시,南原市
남양주시,南楊州市
나주시,羅州市
온수역,温水站·(首尔)
철산역,铁山站·(京畿道)
남구로역,南九老站
대림역,大林站·(首尔)
보라매역,波拉美站
춘의역,春衣站
광명사거리역,光明十字路口站
까치울역,喜鵲屋站
천왕역,天旺站
부천종합운동장역,富川综合运动场站
신중동역,新中洞站
신풍역,新丰站·(首尔)
명덕역,明德站·(大邱)
범어사역,梵魚寺站
KBS전주방송총국,KBS全州放送總局
화명역 (도시철도),華明站·(釜山地鐵)
부산진역 (도시철도),釜山镇站·(釜山地铁)
오산화성고속도로,烏山華城高速公路
상동역 (부천),上洞站·(京畿道)
부천시청역,富川市厅站
잠실역,蚕室站
목포역,木浦站
석촌역,石村站
굴포천역,掘浦川站
몽촌토성역,梦村土城站
강동구청역,江东区厅站
삼산체육관역,三山体育馆站
N서울타워,N首爾塔
일성록,日省錄
산인역,山仁站
속초역,束草站
송석역,松石站
창원역,昌原站
삼가역 (폐역),三街站·(国铁)
세교리역,细桥里站
세교역,细桥站
서대문역 (폐역),西大门站·(国铁)
서소문역,西小门站
상동역 (남원),上洞站·(全罗北道)
상색역,上色站
선진역,船津站·(南韓)
서경주신호소,西慶州信號所
격렬비열도,格列飞列岛
수덕역 (전라남도),水德站
삼죽역,三竹站
삼천포역,三千浦站
석정리역,石亭里站
한국자동차산업협회,韩国汽车工业协会
천주교 대구대교구,天主教大邱總教區
천주교 인천교구,天主教仁川教區
교보문고,教保文庫
보문역,普门站
해인사,海印寺
한남대교,漢南大橋
대한민국의 부통령,韩国副总统
김포시,金浦市
김해시,金海市
대전한화생명이글스파크,大田棒球場
전주국제영화제,全州國際電影節
대구대학교,大邱大学
전쟁기념관 (대한민국),戰爭紀念館·(韓國)
국립국악원,國立國樂院
부천국제판타스틱영화제,富川國際奇幻電影節
중부고속도로,中部高速公路
대한민국의 국가무형문화재,国家无形文化财
영남에어,嶺南航空
한국예술종합학교,韓國藝術綜合學校
광주역,光州站
사직야구장,社稷棒球場
형산강,兄山江
개똥녀,狗屎女事件
강남 (서울),江南·(首爾)
영산강,荣山江
한국 광복군,韓國光復軍
올림픽대교,奥林匹克大桥
롯데백화점,樂天百貨
화랑대역,花郎台站
칠성시장역,七星市场站
성덕대왕신종,圣德大王神钟
불곡산 (양주),佛谷山·(杨州市)
서울 원각사지 십층석탑,圓覺寺址十層石塔
대한민국 제15대 국회의원 선거,1996年大韓民國國會選舉
오뚜기,奥多吉
예천비행장,醴泉飛行場
영동역,永同站
한국배구연맹,韓國排球聯盟
대한민국 제12대 국회의원 선거,1985年大韓民國國會選舉
운길산,云吉山
약목역,若木站
KBS안동방송국,KBS安东放送局
카카오엠,Kakao·M
정방폭포,正房瀑布
정읍역,井邑站
인천경제자유구역,仁川自由经济区
가덕산,加德山
국도 제6호선,國道6號·(韓國)
서울주교좌성당,首尔圣公会座堂
KBS진주방송국,KBS晋州放送局
"민주당 (대한민국, 1955년)",民主黨·(大韓民國1955年)
대한민국 제16대 국회의원 선거,2000年大韓民國國會選舉
간석오거리역,间石五岔路口站
군산공항,群山機場
동막역,东幕站·(仁川)
화엄사,华严寺·(韩国)
호암미술관,湖巖美術館
동춘역,东春站
경부고속도로,京釜高速公路
갈산역 (인천),葛山站·(仁川)
문학경기장역,文鶴體育場站
녹사평역,绿莎坪站
인천대입구역,仁川大學站
