Polska,波兰
Małopolska,小波兰
Obrzycko,奧布日茨科
Nowy Tomyśl,新托梅希爾
Tychy,蒂黑
Czarnków,恰恩庫夫
Chodzież,霍傑日
Ostrów Wielkopolski,大波蘭地區奧斯特魯夫
Koszalin,科沙林
Pniewy,普涅維
Orlen Arena,Orlen體育館
Ełk,埃烏克
Województwo wielkopolskie,大波兰省
Lista prezydentów Polski,波兰总统列表
Order Uśmiechu,微笑勋章
Województwo zachodniopomorskie,西濱海省
Język wilamowski,維拉莫維安語
Olsztyn,奥尔什丁
Powiat olsztyński,奧爾什丁縣
Rzeszów,热舒夫
Język romski,罗姆语
Kotlina Freienwaldzka,奧德布魯赫
Manufaktura (Łódź),曼菲蘿·(羅茲)
Kalisz,卡利什
Kwisa,克維薩河
Konin,科寧·(波蘭)
Koło (miasto),科沃
Kostrzyn,科斯琴·(大波蘭省)
Lech Poznań,波茲南萊克足球俱樂部
Środa Wielkopolska,大波蘭地區希羅達
Września,弗熱希尼亞
Biblioteka Raczyńskich w Poznaniu,拉琴斯基圖書館
Zamek Królewski w Poznaniu,皇家城堡·(波茲南)
Ratusz w Poznaniu,波兹南市政厅
Teatr Wielki im. Stanisława Moniuszki w Poznaniu,波茲南大劇院
Order Orła Białego,白鷹勳章
Nowy Dwór Królewski,克鲁莱夫斯基新庄园
Wronki,弗龍基
Rawicz,拉維奇·(波蘭)
Opole,奥波莱
Język polski,波兰语
Nowy Sącz,新松奇
Chrzanów,赫扎努夫
Stosunki polsko-rosyjskie,波蘭—俄羅斯關係
Sopot,索波特
Racibórz,拉齐布日
Zielonka (miasto),傑隆卡
Jastrowie,亞斯特羅維
Powiat siedlecki,謝德爾采縣
Kazimierz (Kraków),卡齐米日·(克拉科夫)
Polskie Wydawnictwo Muzyczne,波蘭音樂出版社
Katedra św. Wincentego i św. Jakuba we Wrocławiu,聖味噌爵聖雅各伯主教座堂
Jezioro Leśniańskie,萊希尼亞湖
Osieczna,奧謝奇納
Słubice,斯武比采
Biskupiec,比斯庫佩茨
Opalenica,奧帕萊尼察
Niezależny Samorządny Związek Zawodowy „Solidarność”,團結工聯
Sanok,萨诺克
Warta,瓦尔塔河
Muzeum Warszawy,華沙博物館
Kutno,庫特諾
Łupawa (rzeka),武帕瓦河
Łuków,武庫夫
Język rusiński,卢森尼亚语
Karpaty,喀尔巴阡山脉
Tarnobrzeg,塔尔诺布热格
ESCP Business School,ESCP欧洲高等商学院
Polacy,波蘭人
Polonez (taniec),波蘭舞曲
Łęczna,文奇納
Łęg (dopływ Wisły),文格河
Gdańsk,格但斯克
Etnolekt śląski,西里西亞語
Wrocław,弗罗茨瓦夫
Kraków,克拉科夫
Polskie Linie Lotnicze LOT,LOT波蘭航空
Ścinawa,希齊納瓦
Pieszyce,佩希采
Grabów nad Prosną,普羅斯納河畔格拉布夫
Wolbórz,沃爾博日
Stary Browar (Poznań),斯塔里布勞沃
Województwo jeleniogórskie,耶萊尼亞古拉省
Końskowola,孔斯科沃拉
Łużyce,卢萨蒂亚
Kurów (powiat puławski),库鲁夫
Wieluń,维隆
Wielkopolski Park Narodowy,大波蘭國家公園
Powiat poznański,波茲南縣
Sejm Rzeczypospolitej Polskiej,众议院·(波兰)
Most Śląsko-Dąbrowski,斯拉科-東布羅夫斯基橋
Polesie,波利西亞
Ślesin,希萊辛
Język cerkiewnosłowiański,教會斯拉夫語
Wolin (miasto),沃林
Świebodzin,希维博津
Biała Podlaska,比亞瓦-波德拉斯卡
II liga polska w piłce nożnej,波蘭足球丙級聯賽
Senat Rzeczypospolitej Polskiej,参议院·(波兰)
Ziębice,津比采
Przemyśl,普热梅希尔
Police,波利采
Świder (rzeka),希維德河
Polska Partia Socjalistyczna,波兰社会党
Rząd Rzeczypospolitej Polskiej na uchodźstwie,波蘭流亡政府
Stronnictwo Narodowo-Demokratyczne,波兰国家民主党
Świdnik,斯維德尼克
Świdnica,希维德尼察
Ślęża,斯萊扎山
Śmigiel,希米蓋爾
Ślęza,希倫扎河
Świebodzice,希維博濟采
Świdwin,希維德溫
Środa Śląska,希隆斯克地區希羅達
Śniardwy,希尼亞爾德維湖
Śrem,希雷姆
Częstochowa,琴斯托霍瓦
Zabrze,扎布热
Chorzów,霍茹夫
Zgierz,兹盖日
Pomorze,波美拉尼亞
Elbląg,埃爾布隆格
Brzeg (miasto),布熱格
Karkonosze,克尔科诺谢山
Beskidy,贝斯基德山
Łomża,沃姆扎
Zielona Góra,綠山城
Płock,普沃茨克
Wadowice,瓦多維采
Ministerstwo Spraw Zagranicznych (Polska),波蘭外交部
San,桑河·(歐洲)
Polskie Stronnictwo Ludowe,波蘭人民黨
Kielce,凯尔采
Bitwa pod Grunwaldem,格伦瓦德之战
Bytom,比托姆
Język kaszubski,卡舒比语
Myszyniec,梅希涅茨
Sokolnictwo,鹰猎
Wielkopolska,大波兰
Województwo pilskie,皮瓦省
Świecie,希維切
Świeradów-Zdrój,希維拉杜夫-茲德魯伊
Skierniewice,斯凱爾涅維采
Uznam,乌瑟多姆岛
Synagoga Remu,萊姆猶太會堂
Język karaimski,卡拉伊姆語
Międzyrzec Podlaski,缅济热茨
Język pruski,古普魯士語
Stargard,什切青旧城
Lublin,卢布林
Legnica,萊格尼察
Bielsko-Biała,别尔斯科-比亚瓦
Tarnów,塔爾努夫
Włocławek,弗沃茨瓦韦克
Gorzów Wielkopolski,大波蘭地區戈茹夫
Radom,拉多姆
Język połabski,波拉布語
Zamach 20 lipca,7月20日密谋案
Trasa europejska,欧洲高速公路
Dzwon Zygmunt,齐格蒙特钟
Słupsk,斯武普斯克
Siemiatycze,謝米亞蒂切
Pyrzyce,佩日采
Terespol,泰雷斯波爾
Kamienna Góra,卡缅纳古拉
Stoczek Łukowski,武庫夫地區斯托切克
Świętokrzyski Park Narodowy,聖十字國家公園
Most Świętokrzyski,聖十字橋
Lwówek Śląski,希隆斯克地區勒武韋克
Powiat pucki,普茨克縣
Ogród Zoologiczny w Opolu,奧波列動物園
Wisłoka,維斯沃卡河
Grójec,格魯耶茨
Gliwice,格利维采
Sosnowiec,索斯诺维茨
Mistrzostwa Europy w Piłce Nożnej 2012/Grupa A,2012年欧洲足球锦标赛A组
Kalwaria Zebrzydowska,卡爾瓦里亞-澤布日多夫斯卡
Mistrzostwa Świata w Biegach Przełajowych 2013,2013年世界越野錦標賽
Rybnik,雷布尼克
Dąbrowa Górnicza,栋布罗瓦古尔尼恰
Jastrzębie-Zdrój,亞斯琴別-茲德魯伊
Łowicz,沃維奇
Ruda Śląska,鲁达希隆斯卡
Pałacyk Cukrowników,糖宮
Nowy Targ,新塔爾格
Niemcza,涅姆恰
Osiek (miasto),奧謝克
Pogrom kielecki,凯尔采反犹骚乱
Mistrzostwa Europy w Piłce Nożnej 2012/Faza pucharowa,2012年歐洲國家盃淘汰賽
Chełm,海乌姆
Suwałki,苏瓦乌基
Żabno,扎布諾
.pl,.pl
Polski Komitet Wyzwolenia Narodowego,波兰民族解放委员会
Dom Kereta,奇勒屋
Bydgoszcz,比得哥什
E36 (trasa europejska),欧洲E36公路
Szlak bursztynowy,琥珀之路
Żarów,扎魯夫
Kołobrzeg,科沃布热格
Lubin,盧賓
Żelechów,熱萊胡夫
Żelazowa Wola,熱拉佐瓦沃拉
Świnoujście,希維諾烏伊希切
Widzew Łódź (piłka nożna),羅茲維澤夫足球俱樂部
Strzegom,斯切戈姆
Nowa Ruda,新魯達
Polkowice,波爾科維采
Ząbkowice Śląskie,希隆斯克地區宗布科維采
Żerków,熱爾庫夫
Żmigród,日米格魯德
Żychlin,日赫林
Żyrardów,日拉爾杜夫
Żory,若雷
Żuromin,茹羅明
Żubrówka (wódka),野牛草伏特加
Stryków,斯特雷庫夫
Lubań (województwo dolnośląskie),盧班
Powiat giżycki,吉日茨科縣
Wałbrzych,瓦烏布日赫
Babia Góra,巴比亞山
Kościół Imienia Jezus we Wrocławiu,耶稣圣名堂·(弗罗茨瓦夫)
Łarpia,瓦爾皮亞河
Powiat pińczowski,平丘夫縣
Szczecin Główny,斯塞新火車總站
Powiat (Polska),县·(波兰)
Chałubińskiego 8,牛津塔
Biała (miasto),比亞瓦普魯德尼茨卡
Wojska Lądowe,波蘭陸軍
Polanica-Zdrój,波蘭尼卡-茲德魯伊
Koluszki,科卢什基
Ząbki,宗布基
Jezioro Żywieckie,日維茨湖
Powiat sępoleński,森普爾諾縣
Powiat tucholski,圖霍拉縣
Tuszyn,圖申
Dziecinów (powiat otwocki),尼奇諾夫
Błażowa,布瓦若瓦
Złocieniec,茲沃切涅茨
Złoczew,茲沃切夫
Złoty Stok,茲沃蒂斯托克
Złote Tarasy,金色梯田
Sochaczew,索哈契夫
Powiat staszowski,斯塔舒夫縣
Złoty,波兰兹罗提
Bogatynia,博加蒂尼亞
Grudziądz,格魯瓊茲
Synagoga Wysoka w Krakowie,高猶太會堂·(克拉科夫)
Bieszczady,別什恰迪山脈
Powiat hrubieszowski,赫魯別舒夫縣
Śląsk Cieszyński,切申西里西亚
Żoliborz,若利博日区
Złotów,茲沃圖夫
Jędrzejów,延傑尤夫
Stadion Śląski,西利西亞體育場
Polskie Koleje Państwowe,波兰国家铁路
Wdzydze (jezioro),弗濟澤湖
International Journal of Applied Mathematics and Computer Science,AMCS
Telewizja Polska,波蘭電視台
Kopiec Wandy,万达丘
Milanówek,米拉努韋克
Podkowa Leśna,波德科瓦萊希納
Woźniki,沃伊尼基
Gostyń,戈斯滕
Powiat pszczyński,普什奇納縣
TVP3,波蘭電視台第三台
Tramwaje w Warszawie,華沙電車
Powiat chodzieski,霍傑日縣
Futuryzm,未来主义
Archidiecezja warszawska,天主教华沙总教区
Łosośna (dopływ Niemna),拉索斯納河
Powiat czarnkowsko-trzcianecki,恰恩庫夫-奇強卡縣
Miastko,米亞斯特科
Powiat wyszkowski,維什庫夫縣
Wrocław Główny,弗罗茨瓦夫火车总站
Muzeum Historii Żydów Polskich Polin,波蘭猶太人歷史博物館
Koziegłowy (miasto),科傑格沃維
Pilica (miasto),比利卡·(西里西亞省)
Powiat gliwicki,格利維采縣
Województwo zamojskie,扎莫希奇省
Pałac Opatów w Oliwie,修道院長宮
Brama Żuraw w Gdańsku,格但斯克起重机
Baureihe 44,德意志国铁路44型蒸汽机车
Województwo szczecińskie (1975–1998),什切青省
Powiat kępiński,肯普諾縣
Powiat leszczyński,萊什諾縣
Powiat międzychodzki,緬濟胡德縣
Rychwał,雷赫瓦烏
Powiat krotoszyński,克羅托申縣
Powiat koniński,科寧縣
Powiat kościański,科希強縣
Powidła,波維多爾
Powiat kolneński,科爾諾縣
Busko-Zdrój,布斯科茲德魯伊
Wisła (miasto),維斯瓦
Autostrada A2 (Polska),A2高速公路·(波蘭)
Autostrada A1 (Polska),A1高速公路·(波蘭)
Powiat ostrowski (województwo wielkopolskie),大波蘭地區奧斯特魯夫縣
Powiat ostrzeszowski,奧斯切舒夫縣
Powiat pilski,皮瓦縣
Powiat obornicki,奧博爾尼基縣
Powiat pleszewski,普萊謝夫縣
Autostrada A4 (Polska),A4高速公路·(波蘭)
Dobra (powiat turecki),多布拉·(大波蘭省)
Mistrzostwa Świata w Szermierce 1963,1963年世界击剑锦标赛
Powiat mogileński,莫吉爾諾縣
Powiat grodziski (województwo wielkopolskie),大波蘭地區格羅濟斯克縣
Powiat gnieźnieński,格涅茲諾縣
Powiat gostyński,戈斯滕縣
Nowy Dwór Gdański,格但斯克新莊園
Powiat jarociński,亞羅欽縣
Powiat kaliski,卡利什縣
Powiat kolski,科沃縣
Powiat wolsztyński,沃爾什滕縣
Powiat turecki,圖雷克縣
Powiat słupecki,斯武普察縣
Powiat rawicki,拉維奇縣
Powiat nowotomyski,新托梅希爾縣
Powiat szamotulski,沙莫圖維縣
Radziwiłłowie herbu Trąby,拉齐维乌家族
Nowe Miasteczko,新米亞斯泰奇科
Województwo olsztyńskie (1975–1998),奧爾什丁省
Powiat wągrowiecki,翁格羅維茨縣
Krynica-Zdrój,克雷尼察-茲德魯伊
Komunistyczna Partia Polski,波兰共产党
Powiat żuromiński,茹羅明縣
Kędzierzyn-Koźle,肯傑任科茲萊
Diecezja świdnicka,天主教希维德尼察教区
Stosunki polsko-węgierskie,匈牙利—波兰关系
Pomorze Tylne,后波美拉尼亚
Polska w Konkursie Piosenki Eurowizji,波蘭在歐洲歌唱大賽之歷年表現
Czechowice-Dziedzice,切霍維采-傑濟采
Karpacz,卡爾帕奇
Polonia Warszawa (piłka nożna),華沙波蘭人足球俱樂部
Babiogórski Park Narodowy,巴比亞山國家公園
Powiat tomaszowski (województwo łódzkie),馬佐夫舍地區托馬舒夫縣
Powiat wrzesiński,弗熱希尼亞縣
Powiat złotowski,茲沃圖夫縣
Powiat średzki (województwo wielkopolskie),大波蘭地區希羅達縣
Oleśnica,奧萊希尼察
RWE (koncern),莱茵集团
Górnik Zabrze,扎布热矿工
Powiat śremski,希雷姆縣
Powiat nowomiejski,諾韋米亞斯托縣
Uniwersytet Łódzki,罗兹大学
ZKŻ Zielona Góra,ZKŻ綠山城
Bracia szkolni,喇沙會
Polska na Zimowych Igrzyskach Olimpijskich 2010,2010年冬季奧林匹克運動會波蘭代表團
Ratusz Starego Miasta w Gdańsku,格但斯克老城市政厅
Pruska Kolej Wschodnia,普魯士東方鐵路
Morąg,莫龍格
Pomnik Małego Powstańca w Warszawie,小起义者雕像
Marynarka Wojenna,波蘭海軍
Błonie,布沃涅
Powiat przasnyski,普扎斯內什縣
Roś,羅希湖
Bitwa pod Iłżą (1939),拉多姆戰役
Wyśmierzyce,維希梅日采
Zamek Książąt Pomorskich w Szczecinie,公爵城堡
Pałac królewski we Wrocławiu,弗羅茨瓦夫皇宮
Powiat malborski,馬爾堡縣
Skępe,斯肯佩
Brańsk,布蘭斯克
Polska na Letnich Igrzyskach Olimpijskich 2008,2008年夏季奥林匹克运动会波兰代表团
Zadrna,扎德爾納河
Rusini karpaccy,卢森尼亚人
Ślązacy,西里西亞人
Zagórów,扎古魯夫
Zagłębie Sosnowiec (piłka nożna),薩列比索斯諾維茨
Zagłębie Lubin (piłka nożna),盧賓扎格列比足球俱樂部
Polityka (tygodnik),政治周刊
Polska na Letnich Igrzyskach Olimpijskich 2012,2012年夏季奧林匹克運動會波蘭代表團
Zagłębie Wałbrzych (piłka nożna),薩格列比華爾登堡
Piła (miasto),皮瓦
Powiat piski,皮什縣
Pleszew,普萊謝夫
Ujście (miasto),烏伊希切
Olimpia Elbląg,奧林匹亞埃爾布隆格足球會
Główne Miasto,格但斯克主城
Wysoka (miasto),維索卡
Diecezja bielsko-żywiecka,天主教别尔斯科–日维茨教区
Knurów,克努魯夫
Pielnica,佩爾尼察河
Kopalnia Soli „Wieliczka”,维利奇卡盐矿
Lesko,莱斯科
Radomka (dopływ Wisły),拉多姆卡河
Sulechów,苏莱胡夫
Nowa Dęba,新登巴
Zamość,扎莫希奇
Krzeszowice,克熱紹維采
Zambrów,贊布魯夫
Pałac Konstantego Zamoyskiego w Warszawie,康斯坦蒂·扎莫伊斯基宫
Ostrołęka,奧斯特羅文卡
Krobia,克羅比亞
Powiat głubczycki,格武布奇采縣
Powiat brzeski (województwo opolskie),布熱格縣
Biecz,別奇
Malbork,马尔堡·(波兰)
Koronowo,科羅諾沃
Włoszczowa,弗沃什喬瓦
Zakroczym,扎克羅奇姆
Kożuchów,科茹胡夫
Polska na Zimowych Igrzyskach Olimpijskich 1924,1924年冬季奥林匹克运动会波兰代表团
Pińczów,平丘夫
Porty lotnicze w Polsce,波蘭機場列表
Opatów,奧帕圖夫
Tuba Dei,天主号筒
Eurokorpus,歐洲軍團
Zakopane,扎科帕內
ZAKSA Kędzierzyn-Koźle,ZAKSA肯傑任科茲萊
Lędziny,倫濟內
Warka,瓦爾卡·(波蘭)
Kaplica Zygmuntowska na Wawelu,齐格蒙特小堂
Centralne Biuro Antykorupcyjne,中央廉政局
Hajnówka,哈伊努夫卡
Zespół pałacowo-parkowy w Natolinie,納托林
Witka,斯梅達河
Powiat kluczborski,克盧奇堡縣
Powiat ostrołęcki,奧斯特羅文卡縣
Powiat szczycieński,什奇特諾縣
Powiat kędzierzyńsko-kozielski,肯傑任-科茲萊縣
Powiat krapkowicki,克拉普科維采縣
Pomnik Powstania Warszawskiego,华沙起义纪念碑
Zachęta Narodowa Galeria Sztuki,扎切塔國家美術館
Powiat ostródzki,奧斯特魯達縣
Międzychód,緬濟胡德
Zamek w Baranowie Sandomierskim,巴拉諾夫桑多米爾斯基城堡
Bieszczadzki Park Narodowy,別什恰迪國家公園
Uniwersytet Warszawski,华沙大学
Mistrzostwa Europy w Piłce Nożnej 2012/Grupa C,2012年欧洲足球锦标赛C组
Płońsk,普翁斯克
Powiat wielicki,維利奇卡縣
Tatrzański Park Narodowy (Polska),塔特拉國家公園
Biebrzański Park Narodowy,別布扎國家公園
Gazociąg Jamał-Europa,亚马尔-欧洲管道
Centrum Społeczności Żydowskiej w Krakowie,克拉科夫犹太社区活动中心
Pałac Prezydencki w Warszawie,總統府·(華沙)
Radzymin,拉濟明
Kaszubi,卡舒比人
Kargowa,卡爾戈瓦
Powiat wałbrzyski,瓦烏布日赫縣
Polsat,Polsat
Jedwabne,耶德瓦布內
Powiat strzelecki,斯切爾采縣
Diecezja drohiczyńska,天主教德罗希琴教区
Leżajsk,莱扎伊斯克
Skoki (miasto),斯科基
Nowe Skalmierzyce,新斯卡爾梅日采
Wieliczka,維利奇卡
Polski Autokefaliczny Kościół Prawosławny,波蘭正教會
Augustów,奧古斯圖夫
Lotnisko Chopina w Warszawie,华沙肖邦机场
Politechnika Gdańska,格但斯克理工大学
Berlin-Warszawa-Express,柏林-华沙快车
Siły Zbrojne Rzeczypospolitej Polskiej,波蘭共和國軍
Powiat nyski,尼斯縣
Będzin,本津
Katastrofa lotu Lufthansa 2904,汉莎航空2904号班机事故
Powiat opolski (województwo opolskie),奧波萊縣
Powiat prudnicki,普魯德尼克縣
Powiat oleski,奧萊斯諾縣
Lubsko,盧布斯科
Rawa Mazowiecka,馬佐夫舍地區拉瓦
Mistrzostwa Europy U-19 w Piłce Nożnej 2006,2006年歐洲U-19足球錦標賽
Bitwa w Borach Tucholskich,突丘拉森林戰役
Gdańsk Główny,格但斯克火車總站
Biała Rawska,比亞瓦拉夫斯卡
Krosno Odrzańskie,奧得河畔克羅斯諾
Poręba,波倫巴
Kaszuby,卡舒比亞
Jezioro Żarnowieckie,扎爾諾維茨湖
Jelenia Góra,耶萊尼亞古拉
Zgorzelec,茲戈熱萊茨
Kłodzko,克沃茲科
Wolin (wyspa),沃林島
Międzyzdroje,緬濟茲德羅耶
Bóbr (dopływ Odry),布布爾河
Zawiercie,扎维尔切
Dolne Łużyce,下盧薩蒂亞
Płaska (gmina),普瓦斯卡乡
Nowinka (gmina),诺温卡乡
Raba (dopływ Wisły),拉巴河·(維斯瓦河支流)
Augustów (gmina wiejska),奥古斯图夫乡
Żary,扎雷
Lubartów,盧巴爾圖夫
Raciąż,拉瓊日
Żarki,札基
Drawieński Park Narodowy,德拉瓦國家公園
Fabryka Emalia Oskara Schindlera,辛德勒工廠
Krynki,克倫基
Bargłów Kościelny (gmina),巴格武夫-科希切尔内乡
Powiat moniecki,蒙基縣
Ruś Czerwona,紅魯塞尼亞
Obóz zagłady w Treblince,特雷布林卡灭绝营
Sudety,蘇台德山脈
Obóz zagłady w Sobiborze,索比堡滅絕營
Armia Krajowa,波蘭家鄉軍
Chojnów,霍伊努夫
Hymn Polski,波兰没有灭亡
Kościół św. Katarzyny w Gdańsku,格但斯克圣凯瑟琳教堂
Synagoga Pod Białym Bocianem we Wrocławiu,白鸛猶太會堂
Województwo,波蘭各省列表
Tczew,特切夫
TVP2,波蘭電視台第二台
Raków Częstochowa,拉科夫捷斯托佐華工人體育會
Mszczonów,姆什喬努夫
Bazylika archikatedralna Wniebowzięcia Najświętszej Maryi Panny i św. Andrzeja we Fromborku,圣母升天圣安德肋圣殿总主教座堂
Ruciane-Nida,魯恰內尼達
Obóz pracy w Trawnikach,特拉夫尼基集中营
Ryn,雷恩·(波蘭)
Pałac Biskupi w Krakowie,主教宫·(克拉科夫)
Olszyna,奧爾希納
Katastrofa kolejowa pod Szczekocinami,2012年什切科齐内火车相撞事故
Ruch Chorzów,羅切霍茹夫足球俱樂部
Zamek Grodziec,格羅策城堡
Resko,雷斯科
Trzcińsko-Zdrój,奇欽斯科-茲德魯伊
Park Narodowy „Ujście Warty”,瓦塔國家公園
Dialekt śląski języka niemieckiego,西里西亞語·(德語方言)
Andrzejki,聖安德魯日
Pierwszy proces oświęcimski,奧斯威辛審判
Powiat szczecinecki,什切齊內克縣
Powiat gryficki,格雷菲采縣
Powiat myśliborski,梅希利布日縣
Powiat policki,波利采縣
Województwo kieleckie (1975–1998),凱爾采省
Muzeum Narodowe w Warszawie,華沙國家博物館
Opołonek,奧波洛涅克山
Śnieżka,斯涅日卡山
Lipiany,利皮亞內
Dobra (powiat łobeski),多布拉
Bitwa pod Tannenbergiem,坦能堡戰役·(1914年)
Skawina,斯卡維納
Getto warszawskie,華沙猶太區
Jastarnia,亞斯塔爾尼亞
Bazylika katedralna św. Michała Archanioła i św. Floriana Męczennika w Warszawie,圣弥额尔圣福里安圣殿主教座堂·(华沙-普拉加)
Frombork,弗龙堡
Lębork,倫堡
Darłowo,達爾沃沃
Gorczański Park Narodowy,戈爾塞國家公園
Pałac Staszica w Warszawie,斯塔西茨宮
Park Mużakowski,穆斯考爾公園
Bolesławiec,博萊斯瓦維茨
Korytarz polski,波兰走廊
Prawo i Sprawiedliwość,法律與公正
Szczekociny,什切科齊內
Kcynka,克齊寧卡河
Gniew (miasto),格涅夫
Prosna,普羅斯納河
Hala Stulecia we Wrocławiu,百年廳
Krasnystaw,克拉斯內斯塔夫
Starogard Gdański,格但斯克舊城
Kostrzyn nad Odrą,奥得河畔科斯琴
Platforma Obywatelska,公民綱領·(波蘭)
Pradawne i pierwotne lasy bukowe Karpat i innych regionów Europy,喀尔巴阡山脉及欧洲其它地区的原始山毛榉林
Rega,雷加河
Bug,西布格河
Wilczy Szaniec,狼穴
Nowa Sól,新蘇爾
Sztabin (gmina),什塔宾乡
Powiat koszaliński,科沙林縣
Wodzisław Śląski,希隆斯克地區沃濟斯瓦夫
Uniejów,烏涅尤夫
Park Narodowy Gór Stołowych,桌山國家公園
Ojcowski Park Narodowy,奧伊楚夫國家公園
Płoty,普沃蒂
Polski Związek Piłki Nożnej,波蘭足球協會
Getto krakowskie,克拉科夫猶太人區
Gubin,古賓·(波蘭)
Tomaszów Mazowiecki,馬佐夫舍地區托馬舒夫
Bełchatów,貝烏哈圖夫
Zgromadzenie Narodowe (Polska),国民大会·(波兰)
Rzeź Woli,沃拉大屠殺
Powiat oleśnicki,奧萊希尼察縣
Woliński Park Narodowy,沃林國家公園
Wigierski Park Narodowy,威格里國家公園
Kampinoski Park Narodowy,坎皮諾斯國家公園
Karkonoski Park Narodowy,克爾科諾謝國家公園·(波蘭)
Port lotniczy Lublin,盧布林機場
Ziemia dobrzyńska,多布任地區
Nizina Środkowoeuropejska,北歐平原
Stolperstein,绊脚石·(艺术项目)
E28 (trasa europejska),欧洲E28公路
Uniwersytet Wrocławski,弗羅茨瓦夫大學
Most Kierbedzia,科伊勒倍嘉橋
Strzelce Opolskie,斯切爾采奧波萊斯基
Powiat gorzowski,戈茹夫縣
Powiat krośnieński (województwo lubuskie),奧得河畔克羅斯諾縣
Powiat międzyrzecki,緬濟熱奇縣
Bisztynek,比什蒂內克
Zamek Chojnik,喬伊尼克城堡
Bobolice,博博利采
Wyszogród (województwo mazowieckie),維紹格魯德
Praszka,普拉什卡
Serock,塞羅茨克
Soldau (obóz),索尔达乌集中营
Ozimek,奧濟梅克
Annopol,安諾波爾
Piotrków Trybunalski,彼得庫夫-特雷布納爾斯基
Powiat nowosolski,新蘇爾縣
Powiat sulęciński,蘇倫欽縣
Powiat strzelecko-drezdenecki,斯切爾采-德雷茲登科縣
Jordanów,約爾達努夫
Powiat łęczycki,文奇察縣
Powiat kutnowski,庫特諾縣
Westerplatte,西盤半島
Magurski Park Narodowy,馬古拉國家公園
Mistrzostwa Świata w Short Tracku 2003,2003年世界短道速滑锦标赛
Narwiański Park Narodowy,納雷夫國家公園
Pieniński Park Narodowy,皮耶尼內國家公園
Poleski Park Narodowy,波列斯國家公園
Siemianowice Śląskie,希隆斯克地區謝米亞諾維采
Piekary Śląskie,希隆斯克地區佩卡雷
Metro w Warszawie,华沙地铁
Zamek w Kórniku,庫爾尼克城堡
Trzciel,奇切爾
Siedlce,謝德爾采
Puławy,普瓦維
Powiat żarski,扎雷縣
Powiat żagański,扎甘縣
Biłgoraj,比烏戈拉伊
Kętrzyn,肯琴
Pabianice,帕比亞尼采
Stębark,斯泰巴克
Suchowola,蘇霍沃拉
