Zygmunt I Stary,齐格蒙特一世
Maria Andegaweńska,瑪麗亞一世·(匈牙利)
Henryk Sienkiewicz,亨利克·显克微支
Łukasz Piszczek,盧卡斯·皮什切克
Władysław Sikorski,瓦迪斯瓦夫·西科尔斯基
Georges Charpak,乔治·夏帕克
Irena Sendlerowa,伊雷娜·森德勒
Krzysztof Penderecki,克里斯托弗·潘德列茨基
Adam Wiercioch,亚当·维尔乔赫
Wisława Szymborska,維斯瓦娃·辛波絲卡
Kazimierz Nycz,加西彌祿·內茲
Ludwik Hirszfeld,路德维克·希尔斯菲尔德
Bronisław Komorowski,布羅尼斯瓦夫·科莫羅夫斯基
Marcin Baszczyński,马尔钦·巴什琴斯基
Adrian Mierzejewski,阿德里安·梅澤耶夫斯基
Jerzy Skolimowski,耶日·斯科利莫夫斯基
Bronisław Geremek,布罗尼斯瓦夫·盖莱梅克
Leonid Hurwicz,里奥尼德·赫维克兹
Roman Polański,羅曼·波蘭斯基
Sebastian Boenisch,塞巴斯蒂安·伯尼施
Jerzy Popiełuszko,耶日·波比耶乌什科
Bolesław II Szczodry,波列斯瓦夫二世
Bolesław IV Kędzierzawy,波列斯瓦夫四世
Witold Lutosławski,维托尔德·卢托斯瓦夫斯基
Władysław Szpilman,瓦迪斯瓦夫·斯皮爾曼
Adolf Schulz-Evler,阿道夫·舒尔茨-埃夫勒
John Tavares,约翰·塔瓦雷斯
Leszek Kołakowski,莱谢克·科拉科夫斯基
Adam Zagajewski,亚当·扎加耶夫斯基
Jakub Świerczok,雅庫布·希維爾喬克
Cezary Wilk,塞萨里·威尔克
Bolesław V Wstydliwy,波列斯瓦夫五世
Daniel Libeskind,丹尼爾·里伯斯金
Jan I Olbracht,扬一世·阿尔布雷赫特
Kazimierz I Odnowiciel,卡齊米日一世
Zygmunt Bauman,齐格蒙特·鲍曼
Magdalena Abakanowicz,玛格达莱娜·阿巴卡诺维奇
Romain Gary,罗曼·加里
Stanisław Dziwisz,斯坦尼斯瓦夫·济维齐
Krystian Zimerman,克里斯蒂安·齐默尔曼
Emmanuel Olisadebe,埃曼努埃尔·奥利萨德贝
Jerzy Spława-Neyman,耶日·内曼
Tomasz Sikora (biathlonista),托马什·西科拉
Maciej Lampe,马齐·兰佩
Andrzej Szarmach,安杰伊·沙尔马赫
Tomasz Kucharski,托马什·库哈尔斯基
Karol Kłos,卡羅爾·克沃斯
Robert Kubica,罗伯特·库比卡
Marian Rejewski,马里安·雷耶夫斯基
Sławomir Skrzypek,斯瓦沃米尔·斯克日普克
Marcin Matkowski,馬辛·麥考斯基
Roman Ingarden,罗曼·英伽登
Edward Ochab,爱德华·奥哈布
Bohdan Andrzejewski,博赫丹·安杰耶夫斯基
Henryk Gulbinowicz,亨利·羅曼·古爾比諾維茨
Bartłomiej Jaszka,巴特沃梅伊·亚什卡
Wojciech Bartnik,沃伊切赫·巴尔特尼克
Jakub Wujek,波蘭語版聖經（全譯本）
Savielly Tartakower,萨维利·塔塔科维
Zbigniew Herbert,齊別根紐·赫伯特
Bartosz Kurek,巴爾托斯·庫雷克
Bartosz Soćko,巴尔托什·索科
Kazimierz Kuratowski,卡齐米日·库拉托夫斯基
Siemomysł (książę Polan),謝莫米斯烏
Jan Lisiecki,扬·利谢茨基
Marek Saganowski,馬雷克·薩加諾斯基
Rafał Wolski (piłkarz),拉法爾·沃爾斯基
Artur Siódmiak,阿图尔·休德米亚克
Alfred Wierusz-Kowalski,阿尔弗雷德·科瓦尔斯基
Marcin Gortat,马尔钦·戈塔特
Benedykt Kocot,贝内迪克特·科措特
Bartłomiej Tomczak,巴特沃梅伊·托姆恰克
Przemysław Wacha,普热梅斯瓦夫·瓦查
Mateusz Kusznierewicz,马特乌什·库什涅雷维奇
Bogdan Golik,波格丹·高力克
Aleksander Tansman,亚历山大·汤斯曼
Krzysztof Lijewski,克日什托夫·利耶夫斯基
Janusz Zarenkiewicz,雅努什·扎伦凯维奇
Krzysztof Putra,克日什托夫·普特拉
Bolesław Piasecki,波列斯瓦夫·皮亞塞基
Chamique Holdsclaw,沙米克·霍尔兹克劳
Paweł Baraszkiewicz,帕韦乌·巴拉什凯维奇
Bruno Rodzik,布魯諾·羅茲克
Wojciech Łobodziński,沃伊切赫·洛博津斯基
Tadeusz Brzeziński (dyplomata),塔德乌什·布热津斯基
Marek Galiński (kolarz),馬雷克·加林斯基·(單車手)
Mariusz Jurasik,马里乌什·尤拉西克
Stefan Wyszyński,斯德望·維辛斯基
Władysław Anders,瓦迪斯瓦夫·安德斯
Zbigniew Jaremski,兹比格涅夫·雅雷姆斯基
Zbigniew Kaczmarek (sztangista),兹比格涅夫·卡奇马雷克
Zbigniew Gut,兹比格涅夫·古特
Zbigniew Bartman,茲比格紐·巴特曼
Zawisza Czarny z Garbowa,黑扎維沙
Mieczysław Rakowski,米奇斯瓦夫·拉科夫斯基
Zbigniew (polski książę),茲比格涅夫·(波蘭)
Zbigniew Messner,兹比格涅夫·梅斯内尔
Olivia Smoliga,奥利维娅·斯莫利加
Adam Michnik,亚当·米奇尼克
Henryk Petrich,亨里克·佩特里赫
Antoni Karwowski,安东尼·卡沃斯基
Marian Dudziak,马里安·杜齐亚克
Mirosław Hermaszewski,米羅斯瓦夫·赫爾曼謝夫斯基
Mariusz Jop,馬柳斯·約普
Władysław Stasiak,瓦迪斯瓦夫·斯塔夏克
Marek Dopierała,马雷克·多皮耶拉瓦
Adam Seroczyński,亚当·塞罗琴斯基
Beata Sokołowska-Kulesza,贝娅塔·索科沃夫斯卡-库莱沙
Marek Łbik,马雷克·乌比克
Janusz Kamiński (operator filmowy),亞努斯·卡明斯基
Bernard świdnicki,希維德尼察的伯納德
Teodor Leszetycki,提奥多·莱谢蒂茨基
Grzegorz Schetyna,格热戈日·谢蒂纳
Zbigniew Pietrzykowski,兹比格涅夫·皮耶奇科夫斯基
Zbigniew Preisner,泽贝纽·普莱斯纳
Zdzisław Beksiński,濟斯瓦夫·貝克辛斯基
Zdzisław Krzyszkowiak,兹齐斯瓦夫·克日什科维亚克
Janusz Kusociński,雅努什·库索钦斯基
Kazimierz Lipień,卡齐米日·利平
Robert Biedroń,罗伯特·比德隆
Emerson Fittipaldi,埃默松·菲蒂帕尔迪
Stanisława Walasiewicz,斯坦尼斯瓦娃·瓦拉谢维奇
Krzysztof Matyjaszewski,克日什托夫·马蒂亚谢夫斯基
Michał Jurecki,米哈乌·尤雷茨基
Artur Rubinstein,阿图尔·鲁宾斯坦
Bartosz Jurecki,巴尔托什·尤雷茨基
Ryszard Katus,理夏德·卡图斯
Piotr Świerczewski,彼得·希维尔切夫斯基
Éric Srecki,埃里克·斯雷基
Jan Gottlieb Bloch,扬·戈特利布·布洛赫
Henryk VIII legnicki,亨里克八世·(萊格尼察)
Sebastián Setti,施巴斯坦·薛迪
Rafał Szukała,拉法乌·舒卡瓦
Radosław Majewski,拉多斯瓦夫·马耶夫斯基
Dan Dickau,丹·迪考
Rudolf Weigl,鲁道夫·魏格尔
Stanisław Jaśkowski,斯坦尼斯瓦夫·亚希科夫斯基
Nâzım Hikmet,納欣·希克美
Radosław Wojtaszek,拉多斯瓦夫·沃伊塔泽克
Harald Konopka,哈拉尔德·科诺普卡
Lukas Sinkiewicz,盧卡斯·辛基維奇
Sławomir Zawada,斯瓦沃米尔·扎瓦达
Wojciech Szczęsny,沃伊切赫·什琴斯尼
Jerzy Brzęczek,耶日·布任切克
Antoni Szymanowski,安东尼·希马诺夫斯基
Roman Ogaza,罗曼·奥加扎
Tomasz Tłuczyński,托马什·特武琴斯基
Robert Sycz,罗伯特·瑟奇
Wacław płocki,普沃茨克的瓦茨拉夫
Kamila Augustyn,卡米拉·奥古斯丁
Karol Joseph Bobko,卡罗尔·鲍勃科
Jerzy Rybicki,耶日·雷比茨基
Jacek Majchrowski,亚切克·马赫罗夫斯基
Marek Grechuta,马雷克·格雷彻塔
Paweł Golański,帕維烏·戈蘭斯基
Zenon Jaskuła,泽农·亚斯库瓦
Zenon Licznerski,泽农·利奇内尔斯基
Łeonid Krawczuk,列昂尼德·克拉夫丘克
Michał Żyro,米切爾·佐羅
Mariusz Fyrstenberg,馬利尤斯·費騰柏格
Józef Grudzień,约瑟夫·格鲁津
Piotr Stępień (zapaśnik),彼得·斯滕平
Israel Epstein,伊斯雷尔·爱泼斯坦
Paul Zielinski,保罗·杰林斯基
Bohdan Paczyński,玻丹·帕琴斯基
Franciszek Gąsienica Groń,弗朗齐歇克·贡谢尼察·格龙
Marcin Lewandowski,马尔钦·莱万多夫斯基
Damian Janikowski,达米扬·雅尼科夫斯基
Damian Wleklak,达米安·弗莱克拉克
Tomasz Wójtowicz,托马什·武伊托维奇
Józef Czapski,约瑟夫·恰普斯基
Aleksander Kłak,亚历山大·克瓦克
Czesław Młot-Fijałkowski,切斯瓦夫·姆沃特-菲亚乌科夫斯基
Ignacy Jan Paderewski,伊格纳奇·扬·帕德雷夫斯基
Wacław Niżyński,瓦斯拉夫·弗米契·尼金斯基
Jerzy Dudek,耶日·杜德克
Jon Johansen,约恩·莱克·约翰森
Arkadiusz Onyszko,阿尔卡迪乌什·奥内什科
Ryszard Kubiak,理夏德·库比亚克
Czesław Lang,切斯瓦夫·兰格
Anna Jagodzińska,安娜·雅高冼思嘉
Mitch Kupchak,米契·庫普恰克
Wojciech Zabłocki,沃伊切赫·扎布沃茨基
Marek Leśniewski,马雷克·莱希涅夫斯基
Wojciech Kurtyka,歐特克·克提卡
Tomasz Motyka,托马什·莫蒂卡
Dariusz Adamczuk,达留什·亚当丘克
Artur Boruc,阿尔图尔·博鲁茨
Mateusz Skutnik,马修·斯库尼克
Bob Kurland,鲍勃·库兰
Tadeusz Dembończyk,塔德乌什·德姆邦奇克
Jan Szczepański (bokser),扬·什切潘斯基
Łukasz Moreń,卢卡斯·莫伦
Wojciech Szkudlarczyk,沃伊切赫·苏库德拉尔塞克
David Seymour (fotoreporter),大衛·西蒙
Benedykt Dybowski,本內迪科特·迪波夫斯基
Szymon Askenazy,西蒙·阿什肯納茲
Henryk Iwaniec,亨里克·伊萬尼克
Adrian Zieliński (sztangista),阿德里安·杰林斯基
Leszek Drogosz,莱谢克·德罗戈什
Hilary Koprowski,希拉里·科普罗夫斯基
Józef Lipień,约瑟夫·利平
Brunon Bendig,布鲁农·本迪格
Jerzy Adamski (bokser),耶日·亚当斯基
Bernard Ormanowski,贝纳德·奥尔马诺夫斯基
Dariusz Gęsior,达留什·根肖尔
Dariusz Szubert,达留什·舒伯特
Doda (piosenkarka),多罗塔·拉布切夫斯卡
Grzegorz Mielcarski,格热戈日·梅尔察尔斯基
Tomasz Frankowski,托马什·弗兰库斯基
Kazimierz Bartel,卡齐米日·巴尔泰尔
Konrad Niedźwiedzki,康拉德·涅季维兹基
Radosław Zawrotniak,拉多斯瓦夫·扎夫罗特尼亚克
Hubert Skrzypczak,胡贝特·斯克日普恰克
Dawid Kubacki,達維德·庫巴茨基
Piotr Szulkin,皮奧特爾·舒爾金
Wojciech Kowalczyk,沃伊切赫·科瓦尔奇克
Jacob Leib Talmon,雅各布·托曼
Ludomir Chronowski,卢多米尔·赫罗诺夫斯基
Alfred Tarski,阿尔弗雷德·塔斯基
Agnieszka Radwańska,阿格涅什卡·拉德萬斯卡
Adam Małysz,亚当·马维什
Andrzej Gołota,安杰伊·戈沃塔
Krzysztof Ławrynowicz,克希什托夫·拉夫里诺维奇
Robert Acquafresca,罗伯特·阿夸弗雷斯卡
Dariusz Ławrynowicz,达留什·拉夫里诺维奇
Dariusz Wosz,达留什·沃什
Paweł Nastula,帕维乌·纳斯图拉
Bolesław III Rozrzutny,波列斯瓦夫三世·(西里西亞)
Jerzy Pawłowski (szermierz),耶日·帕夫沃夫斯基
Kamil Syprzak,卡米尔·瑟普扎克
Janusz Gortat,雅努什·戈尔塔特
Michał Winiarski,米扎爾·維尼阿爾斯基
Damien Perquis (ur. 1984),達米恩·佩爾基
Adam Zamoyski (historyk),亚当·扎莫伊斯基
Kazimierz Fajans,卡西米爾·法揚斯
Kazimierz Barburski,卡齐米日·巴尔布尔斯基
Joanna Fiodorow,乔安娜·费奥多罗
Alain Finkielkraut,阿兰·芬基尔克罗
Jakub Rzeźniczak,雅庫布·澤斯尼查克
Piotr Pustelnik,皮奥特·皮斯代尔尼克
Lucjan Lis,卢茨扬·利斯
Maurycy Lilien,以法蓮·摩西·利立
Nikolai Topor-Stanley,尼古拉·杜普史丹利
Maria Kaczyńska,玛丽亚·卡钦斯卡
Boris Sawinkow,鲍里斯·维克托罗维奇·萨温科夫
Łukasz Żygadło,盧卡斯·兹伊加德羅
Łukasz Szukała,盧卡什·蘇卡拉
Friedrich von Beust,弗里德里希·費迪南德·馮·貝斯特
Ryszard Podlas,理夏德·波德拉斯
Leszek Dunecki,莱谢克·杜内茨基
Janusz Sidło,雅努什·西德沃
Carl Yastrzemski,卡尔·雅泽姆斯基
Józef Rotblat,约瑟夫·罗特布拉特
Sławomir Peszko,斯拉沃米爾·佩什科
Arkadiusz Skrzypaszek,阿尔卡迪乌什·斯克日帕谢克
Marian Szeja,马里安·谢亚
Ignacy Skorupka,斯科鲁普卡
Sylwia Bogacka,瑟尔维娅·博加茨卡
Wojciech Fortuna,沃伊切赫·福尔图纳
Aleksander Gierymski,亚历山大·吉列姆斯基
Janusz Kierzkowski,雅努什·凯日科夫斯基
Stanislaus Kobierski,斯坦尼斯劳斯·科别尔斯基
Szemu’el Noach Eisenstadt,什穆埃尔·诺厄·艾森施塔特
Andrzej Udalski,安杰伊·乌达尔斯基
Waldemar Sobota,瓦爾德馬·索博塔
Jean Graczyk,让·格拉奇克
Stanisław Skrowaczewski,斯坦尼斯瓦夫·斯克罗瓦切夫斯基
Ryszard Kapuściński,雷沙德·卡普钦斯基
Agata Wróbel,阿加塔·弗鲁贝尔
Agnieszka Wojtkowska,阿格涅什卡·维特科夫斯卡
Marcin Lijewski,马尔钦·利耶夫斯基
Waldemar Baszanowski,瓦尔德马·巴沙诺夫斯基
Konrad Czerniak,康拉德·科澤尼亞克
Michał Kwiatkowski (kolarz),米哈乌·克维亚特科夫斯基
Grzegorz Marek Michalski,格熱戈日·米哈爾斯基
Curtis Tomasevicz,柯蒂斯·托马塞维奇
Leopold Staff,利奥波德·斯塔夫
Artur Sobiech,阿图尔·索比希
Leon Pinsker,利奥·平斯克
Agnieszka Holland,阿格涅絲卡·霍蘭
Grażyna Bacewicz,格拉奇娜·巴切维茨
Pola Negri,波拉·内格里
Irena Szewińska,伊雷娜·谢温斯卡
Izabella Scorupco,依莎貝拉·絲科魯波
Paweł Zagumny,帕維烏·扎古姆內
Marek Kamiński (podróżnik),马雷克·卡明斯基
Tamara Łempicka,塔瑪拉·德·藍碧嘉
Maciej Kot,马切伊·科特
Tara Lipinski,塔拉·利平斯基
Anna Jagiellonka,安娜·雅蓋隆卡
Justyna Kowalczyk,尤斯蒂娜·科瓦尔奇克
Anna Rogowska,安娜·罗戈夫斯卡
Martha Stewart,瑪莎·史都華
Andrzej Kobylański,安杰伊·科贝兰斯基
Marcin z Opawy,奥帕瓦的马丁
Piotr Markiewicz,彼得·马尔凯维奇
Andrzej Lis,安杰伊·利斯
Włodzimierz Zawadzki (zapaśnik),沃齐米日·扎瓦兹基
Lesław Ćmikiewicz,莱斯瓦夫·奇米凯维奇
Rafał Piszcz,拉法乌·皮什奇
Robert Andrzejuk,罗伯特·安杰尤克
Marek Koźmiński,马雷克·科日明斯基
Robert Mateusiak,罗伯特·马特斯亚克
Michał Kucharczyk,米歇爾·庫恰爾切克
Kamila Skolimowska,卡米拉·斯科利莫夫斯卡
Anja Rubik,安嘉·魯貝克
Przemysław Miarczyński,普热梅斯瓦夫·米亚尔琴斯基
Oscar Lewicki,奧斯卡·萊維茨基
Tadeusz Mytnik,塔德乌什·梅特尼克
Stanisław Szozda,斯坦尼斯瓦夫·绍兹达
Kazimierz Kmiecik,卡齐米日·克梅奇克
Henryk Trębicki,亨里克·特伦比茨基
Sergiusz Wołczaniecki,塞尔吉乌什·沃乌恰涅茨基
Filip Peliwo,菲利普·佩利沃
Krzysztof Zwoliński,克日什托夫·兹沃林斯基
Barbara Wysoczańska,芭尔芭拉·维索钱斯卡
Ida Haendel,艾達·亨德爾
Elżbieta Krzesińska,埃尔日别塔·克热辛斯卡
Maria Dąbrowska,瑪麗亞·東布羅夫斯卡
Erich Juskowiak,埃里希·尤斯科维亚克
Maria Kwaśniewska,玛丽亚·克瓦希涅夫斯卡
Julian Marchlewski,尤利安·马尔赫莱夫斯基
Roman Bierła,罗曼·别尔瓦
Juliusz Słowacki,尤利烏什·斯沃瓦茨基
Halina Konopacka,哈利娜·科诺帕茨卡
Daria Werbowy,黛莉亞·維寶莉
Henryk Zygalski,亨里克·佐加尔斯基
Paweł Wszołek,帕韋烏·沃萊克
Wiesław Rudkowski,维斯瓦夫·鲁德科夫斯基
Torben Piechnik,杜賓·派尼克
Paweł Edmund Strzelecki,帕維爾·艾德蒙·斯特爵雷茨基
Aleksander mazowiecki,馬佐夫舍的亞歷山大
Karol Bielecki,卡罗尔·别莱茨基
Józef Pińkowski,约瑟夫·平科夫斯基
Alice Miller,愛麗絲·米勒
Edyta Górniak,艾迪塔·歌娳婭
Magdalena Tul,玛格达莉娜·图尔
Urszula Radwańska,厄蘇拉·拉德萬斯卡
Jakub Jarosz,雅庫布·雅羅什
Anna Fotyga,安娜·福蒂加
Tomasz Zahorski,托馬斯·扎霍斯基
Rafał Gliński,拉法乌·格林斯基
Jan Bochenek (sztangista),扬·博赫内克
Mieszko cieszyński,梅什科一世·(切申公爵)
Kazimierz I cieszyński,卡齊米日一世·(切申公爵)
Tadeusz Rut (lekkoatleta),塔德乌什·鲁特
Henryk Nielaba,亨里克·涅拉巴
Michał Butkiewicz (szermierz),米哈乌·布特凯维奇
Emil Ochyra,埃米尔·奥黑拉
Zygmunt Pawlas,齐格蒙特·帕夫拉斯
Piotr Nowakowski (siatkarz),皮奥特爾·諾瓦克沃斯基
Michał Ruciak,米扎爾·盧西亞克
Krzysztof Ignaczak,克爾兹伊斯茨托夫·伊格納兹扎克
Zbigniew Skrudlik,兹比格涅夫·斯克鲁德利克
Piotr Jabłkowski,彼得·雅布乌科夫斯基
Bogusław Zych,博古斯瓦夫·齐赫
Adam Lisewski,亚当·利塞夫斯基
Mariusz Strzałka,马里乌什·斯恰乌卡
Dagmara Wozniak,达格玛拉·沃伊尼亚克
Zygfryd Szołtysik,齐克弗里特·绍乌蒂西克
Euzebiusz Smolarek,尤泽比乌兹·斯莫拉雷克
Zygmunt Berling,齐格蒙特·贝林格
Zygmunt Maszczyk,齐格蒙特·马什奇克
Szymon Ziółkowski,希蒙·久乌科夫斯基
Józef Cyrankiewicz,约瑟夫·西伦凯维兹
Uri Orlew,尤里·奥莱夫
Marian Jaworski,瑪利亞諾斯·雅沃爾斯基
Martin Max,马丁·马克斯
Jan Jarkowski (inżynier),伊凡·亚尔科夫斯基
Marian Spychalski,马里安·斯彼哈尔斯基
Tadeusz Konwicki,塔德烏什·康維茨基
Heinrich Kwiatkowski,海因茨·克维亚特科夫斯基
Mateusz Ponitka,馬特烏什·波尼特卡
Ewa Kopacz,埃娃·科帕奇
Janusz Korwin-Mikke,雅努什·科尔温-米克
Aleksander Zawadzki,亚历山大·萨瓦茨基
Jerzy Klempel,耶日·克莱姆佩尔
Ireneusz Paliński,伊雷纽什·帕林斯基
Natalia Partyka,娜達莉雅·柏迪卡
Lucyna Langer-Kałek,卢齐娜·朗格尔
Anna świdnicka,安娜·希維德尼察
Luiza Złotkowska,路易莎·兹沃特科夫斯卡
Ludovic Obraniak,奧布拉尼亞克
Rafał Majka,拉法乌·马伊卡
Stefan Hula (ur. 1947),斯特凡·胡拉·(1947年)
Hubert Kostka,胡贝特·科斯特卡
Konrad Wasielewski,康拉德·瓦谢莱夫斯基
Teodor Kocerka,特奥多尔·科采尔卡
Artur Olech,阿图尔·奥莱赫
Tadeusz Kotarbiński,塔德乌什·柯塔宾斯基
Monika Soćko,莫妮卡·索科
Teresa Ciepły,特雷莎·切普维
Henryk Rozmiarek,亨里克·罗兹米亚雷克
Samo Chalupka,萨莫·哈卢普卡
Krystyna Skarbek,克里斯蒂娜·斯卡贝克
Kazimierz Paździor,卡齐米日·帕日焦尔
Marek Kolbowicz,马雷克·科尔博维奇
Jakub Wawrzyniak,雅库布·瓦夫日尼亚克
Denis Urubko,丹尼斯·纽博克
Wiesław Maniak,维斯瓦夫·马尼亚克
Alicja Rosolska,阿莉恰·罗索尔斯卡
Olga Tokarczuk,奧爾嘉·朵卡萩
Jarosława Jóźwiakowska,雅罗斯瓦娃·比耶达
Michael Klim,迈克尔·克利姆
Ryszard Parulski,理夏德·帕鲁尔斯基
Ewa Sonnet,伊娃·索內特
Grażyna Gęsicka,格拉日娜·杰西卡
Tomasz Radzinski,托马斯·拉津斯基
Basia,Basia
Janusz Szrom,亚努西·史罗坶
Jan Gmyrek,扬·格梅雷克
Ignacy Szyszyłowicz,伊格纳茨·冯·塞塞沃维奇
Tomasz Jodłowiec,托馬什·約托維奇
Stefan Kaczmarz,斯特凡·卡茨馬爾茲
Maciej Sadlok,馬切伊·薩德洛克
Henryk Wieczorek,亨里克·维乔雷克
Michał Łasko,米凱爾·拉斯科
Marian Zieliński,马里安·杰林斯基
Grzegorz Krychowiak,格里高兹·科里喬維亞克
Paweł Korzeniowski,帕维尔·科热尼奥夫斯基
Janina Fetlińska,雅尼纳·费特林斯卡
Jerzy Pietrzyk,耶日·皮耶奇克
Marian Foik,马里安·福伊克
