Portugal,포르투갈
Distrito de Braga,브라가현
Lista de destinos da TAP Air Portugal,TAP 포르투갈 항공의 운항 노선
Abrantes,아브란트스
Almada,알마다
Província ultramarina,프로빈시아 우트라마리누
Instituto Camões,카몽이스 문화원
Hanno (elefante),한노 (코끼리)
Paço da Ribeira,리베이라궁
Universidade de Coimbra,코임브라 대학교
Estrada europeia 90,유럽 고속도로 90호선
Avis,아비스 (포르투갈)
Futebol Clube Paços de Ferreira,FC 파수스드페헤이라
Tavira,타비라
Miranda do Douro,미란다두도루
Sines,시네스
Albufeira,알부페이라
Novo Cinema,노부 시네마
Tondela,톤델라
Distrito de Bragança,브라간사현
Castelo Branco,카스텔루브랑쿠
Santa Maria de Belém,산타마리아드벨렝
Banco de Portugal,포르투갈 은행
Distrito de Vila Real,빌라헤알현
Organização territorial de Portugal,포르투갈의 행정 구역
TVI,TVI
Banco Nacional Ultramarino,대서양은행
Anadia (Portugal),아나디아
Estação Ferroviária do Cais do Sodré,카이스두소드레역
Campeonato Europeu de Futebol Sub-21 de 2006,2006년 UEFA U-21 축구 선수권 대회
Estação Ferroviária de Porto-Campanhã,캄파냥역
Fundão (Portugal),푼당 (포르투갈)
Gare do Oriente,오리엔트역
Estação Ferroviária de Coimbra-B,코임브라 B역
Demografia de Portugal,포르투갈의 인구
Sociedade Independente de Comunicação,SIC (포르투갈)
Aeroporto Humberto Delgado,리스본 공항
Pessoas–Animais–Natureza,사람-동물-자연
Euronext Lisboa,유로넥스트 리스본
Académico de Viseu Futebol Clube,아카데미코 드 비제우 FC
Organização dos Estados Ibero-americanos,이베로아메리카 국가 기구
Paisagem da Cultura da Vinha da Ilha do Pico,피쿠섬의 포도밭 문화 경관
Arganil,아르가닐
Cantanhede (Portugal),칸타녜드
Figueira da Foz,피게이라다포스
Estado Novo (Portugal),포르투갈 제2공화국
Constituição portuguesa de 1976,포르투갈 헌법
Montijo,몬티주
Luso-tropicalismo,루소트로피칼리즘
Estação Ferroviária do Rossio,호시우역
Sé de Lisboa,리스본 대성당
Clube de Futebol Andorinha de Santo António,CF 안도리냐
Club Football Estrela da Amadora,CF 이스트렐라 다 아마도라
Batalha de Lagos,라구스 해전
Escudo português,포르투갈 이스쿠두
Sport Clube de Mirandela,SC 미란델라
Sporting Clube de Portugal B,스포르팅 CP B
Final do Campeonato Europeu de Futebol de 2004,UEFA 유로 2004 결승전
Copa Europeia/Sul-Americana de 1987,1987년 인터콘티넨털컵
Paralelo 38 N,북위 38도
Aveiro,아베이루
Três F,3F 정책 (포르투갈)
Nazaré (Portugal),나자레 (포르투갈)
Portugal no Festival Eurovisão da Canção,포르투갈의 유로비전 송 콘테스트 참가
Final da Liga dos Campeões da UEFA de 2003–04,2004 UEFA 챔피언스리그 결승전
Valença (Portugal),발렌사 (포르투갈)
Missões diplomáticas de Portugal,포르투갈의 재외공관 목록
Vila Real,빌라헤알
Chaves (Portugal),샤베스
Comité Olímpico de Portugal,포르투갈 올림픽 위원회
Santo António (Funchal),산투안토니우 (푼샬)
Final da Liga dos Campeões da UEFA de 2013–14,2014 UEFA 챔피언스리그 결승전
Lista do Património Mundial em Portugal,포르투갈의 세계유산
Castelo de Belver,벨베르성
Clube de Futebol Os Armacenenses,CF 오스 아르마세넨세스
Colégio Militar (Portugal),포르투갈 육군군사참모대학교
III Divisão,테르세이라 디비장
Queijo de Azeitão,아제이탕 치즈
Orbest,오르베스트 항공
Cimeiras Ibéricas,이베리아 정상회담
Estrada europeia 801,유럽 고속도로 801호선
Museu Nacional Ferroviário,포르투갈 국립 철도박물관
Copa do Mundo FIFA de Futebol de Areia de 2015,2015년 FIFA 비치사커 월드컵
Azores Airlines,아조레스 항공
Anadia Futebol Clube,아나디아 FC
Copa Europeia/Sul-Americana de 2004,2004년 인터콘티넨털컵
Academia Militar (Portugal),포르투갈 육군사관학교
Feriados em Portugal,포르투갈의 공휴일
Casa do Sport Lisboa e Benfica em Macau,SL 벤피카 드 마카오
Clube Desportivo Pinhalnovense,CD 핀할노벤세
Clube Operário Desportivo,CD 오페라리우
Distritos de Portugal,포르투갈의 현
ZEM,ZEM (밴드)
Estádio da Luz,이스타디우 다 루스
Ilha do Bugio,부지오섬
Mister Mundo 2007,미스터 월드 2007
Final da Liga Europa da UEFA de 2013–14,2014 UEFA 유로파리그 결승전
Mr. World 2003,미스터 월드 2003
Mr. World 2000,미스터 월드 2000
Mr. World 1998,미스터 월드 1998
Mr. World 1996,미스터 월드 1996
Real Sport Clube,헤알 SC
Voo Martinair 495,마르틴에어 495편 충돌 사고
Farol de Aveiro,프라이아다바라 등대
Motim 1-2-3,12.3 사건
Instituto dos Pupilos do Exército,포르투갈 육군군사방위직업학교
Manual dos Inquisidores,대심문관의 비망록
Eleições autárquicas portuguesas de 2013,2013년 포르투갈 지방 선거
Partido da Solidariedade Nacional,포르투갈 국가연대국민회의연합당
Capelinha das Aparições,성모 마리아 발현 대성당
Primeira Liga de 2014–15,프리메이라리가 2014-15
Espinho (Portugal),이스피뉴
Copa do Mundo FIFA de 2030,2030년 FIFA 월드컵
Universidade de Lisboa (1911-2013),리스본 대학교 (1911~2013년)
Presunto do Alentejo,알렌테주 햄
Bacalhau (gastronomia),바칼랴우
Rivalidade Cristiano Ronaldo–Messi,메호대전
Mr. World 2016,미스터 월드 2016
Surto de Legionella em Portugal de 2014,2014년 포르투갈 레지오넬라 유행
Incêndio florestal de Pedrógão Grande em 2017,2017년 포르투갈 산불
Lista de golos de Cristiano Ronaldo pela Seleção Portuguesa de Futebol,크리스티아누 호날두의 국가대표팀 득점 목록
Portugal nos Jogos Olímpicos de Inverno de 2018,2018년 동계 올림픽 포르투갈 선수단
Mr. World 2019,미스터 월드 2019
Liga das Nações da UEFA de 2018–19 – Fase Final,2019년 UEFA 네이션스리그 결선 토너먼트
Final da Liga dos Campeões da UEFA de 2019–20,2020 UEFA 챔피언스리그 결승전
Extinction Rebellion,멸종에의 반란
Final da Liga dos Campeões da UEFA de 2020–21,2021 UEFA 챔피언스리그 결승전
Pandemia de COVID-19 na Europa,유럽의 코로나19 범유행
Pandemia de COVID-19,코로나19 범유행
Primeira Liga de 2020–21,프리메이라리가 2020-21
Pandemia de COVID-19 em Portugal,포르투갈의 코로나19 범유행
Liga 3,리가 3 (포르투갈)
Primeira Liga de 2021–22,프리메이라리가 2021-22
Primeira Liga de 2022–23,프리메이라리가 2022-23
Surto de varíola dos macacos em 2022,2022~2023년 엠폭스 유행
