당진시,唐津市 (忠清南道)
다이아몬드 타워,釜山タワー
해인사 장경판전,海印寺大蔵経板殿
자갈치시장,チャガルチ市場
대구 지하철 화재 참사,大邱地下鉄放火事件
마장역,馬場駅
구리시,九里市
구미시,亀尾市
사가정역,四佳亭駅
용마산역,龍馬山駅
중곡역,中谷駅
군자역,君子駅
어린이대공원역,子供大公園駅
건국대역,建大入口駅
자양역 (서울),トゥクソム遊園地駅
청담역,清潭駅
군산시,群山市
남제주군,南済州郡
사평역,砂平駅
한국조폐공사,韓国造幣公社
양화나루와 잠두봉 유적,切頭山殉教博物館
장암역,長岩駅
도봉산역,道峰山駅
수락산역,水落山駅
마들역,マドゥル駅
전쟁기념관,戦争記念館
한국예술종합학교,韓国芸術総合学校
한밭종합운동장 야구장,大田ハンバッ運動場野球場
대구대학교,大邱大学校
중부고속도로,統営-大田・中部高速道路
영남에어,嶺南エア
광주역,光州駅
전주국제영화제,チョンジュ国際映画祭
예술의전당,芸術の殿堂
창신역,昌信駅
잠실야구장,蚕室総合運動場野球場
KIA 타이거즈,起亜タイガース
방학역,放鶴駅
녹천역,鹿川駅
SK 와이번스,SKワイバーンズ
마곡역,麻谷駅
마천역,馬川駅
마포역,麻浦駅
길동역,吉洞駅
경인교대입구역,京仁教大入口駅
무의도,舞衣島
울산 현대모비스 피버스,蔚山モービスフィバス
인천터미널역,仁川ターミナル駅
군포시,軍浦市
상일동역,上一洞駅
가야산국립공원,伽倻山国立公園
북촌 한옥마을,北村韓屋村
작전역,鵲田駅
캠퍼스타운역,キャンパスタウン駅
서울 사직단,ソウル社稷壇
지식정보단지역,知識情報団地駅
노량진수산시장,鷺梁津水産市場
인천시청역,仁川市庁駅
거창 양민 학살 사건,居昌事件
코리아중앙데일리,コリア・ジュンアン・デイリー
금산사,金山寺
대한민국의 선거,韓国の選挙
안다미로,アンダミロ
동해남부선,東海南部線
대한민국 환,大韓民国ファン (1953年–1962年)
국도 제6호선,国道6号線
가덕산,加徳山
KBS안동방송국,KBS安東放送局
운길산,雲吉山
대한민국 제14대 국회의원 선거,第14代総選挙
동관왕묘,東關王廟
장전역,長箭駅
대한민국의 천연기념물,大韓民国指定天然記念物
한남대학교,韓南大学校
한세대학교,韓世大学校
오대산,五台山
발산역,鉢山駅
행당역,杏堂駅
답십리역,踏十里駅
방이역,芳荑駅
고덕역,高徳駅
오목교역,梧木橋駅
목동역,木洞駅
천주교 부산교구,天主教釜山教区
KS X 1001,KS X 1001
DSP 미디어,DSPメディア
경부고속철도,京釜高速線
이스타항공,イースター航空
중국국제항공 129편 추락 사고,中国国際航空129便墜落事故
롯데백화점,ロッテ百貨店
사직야구장,社稷野球場
목동 하이페리온,木洞ハイペリーオン
강남,江南
형산강,兄山江
산인역,山仁駅
삼가역,三街駅
삼죽역,三竹駅
삼천포역,三千浦駅
상동역,上洞駅
상색역,上色駅
상후원역,上後原駅
서경주신호소,西慶州信号所
서대문역,西大門駅
서소문역,西小門駅
서악역,西岳駅
석정리역,石亭里駅
선진역,船津駅
세교리역,細橋里駅
세교역,細橋駅
속초역,束草駅
송석역,松石駅
수덕역,水徳駅
수철리역,水鉄里駅
시동역,詩洞駅
신갈역,新葛駅
신길역,新吉駅 (京畿道)
신마산역,新馬山駅
신음역,新音駅
신치역,新峙駅
신평역,新坪駅 (大邱広域市)
테크노파크역,テクノパーク駅
박촌역,朴村駅
계산역,桂山駅
부평삼거리역,富平三ゴリ駅
신연수역,新延寿駅
동수역,東樹駅
해운대해수욕장,海雲台海水浴場
예술회관역,芸術会館駅
목포공항,木浦空港
