Dortmund,多特蒙德
Gelsenkirchen,盖尔森基兴
Hückeswagen,许克斯瓦根
Lindlar,林德拉尔
Waldbröl,瓦尔德布勒尔
Bergneustadt,贝尔格诺伊斯塔特
Wiehl,维赫尔
Aurich,奥里希
Marienheide,马林海德
Wipperfürth,维珀菲尔特
Braunschweig,不伦瑞克
Reichshof,赖希斯霍夫
München,慕尼黑
Saarbrücken,萨尔布吕肯
Radevormwald,拉德福尔姆瓦尔德
Heinsberg,海因斯贝格
Memmingen,梅明根
Ennigerloh,埃尼格尔洛
Wunstorf,文斯托尔夫
Thüringen,圖林根州
Hannover,汉诺威
Schwerin,什未林
Mönchengladbach,门兴格拉德巴赫
Wilnsdorf,维尔恩斯多尔夫
Dreieich,德赖艾希
Erfurt,爱尔福特
Magdeburg,马格德堡
Morsbach,莫尔斯巴赫
Mainz,美因茨
Dresden,德累斯顿
Ostbevern,奥斯特贝费尔恩
Nümbrecht,宁布雷希特
Telgte,泰尔格特
Rüthen,吕滕
Sassenberg,萨森贝尔格
Warendorf,瓦伦多尔夫
Saarland,萨尔兰州
Nürtingen,尼尔廷根
Chemnitz,开姆尼茨
Brandenburg,勃兰登堡州
Freie Hansestadt Bremen,不來梅州
Löhne,勒讷
Everswinkel,埃费尔斯温克尔
Falkensee,法尔肯塞
Rheinland-Pfalz,莱茵兰-普法尔茨
Sachsen-Anhalt,萨克森-安哈尔特州
Kirchheim unter Teck,基尔夏伊姆翁特尔特克
Erwitte,埃尔维特
H145,欧直EC145直升机
KZ Esterwegen,伊斯特维根集中营
Werl,韦尔
Bad Münder am Deister,代斯特尔山麓巴德明德尔
Krefeld,克雷费尔德
Pirmasens,皮尔马森斯
Laatzen,拉岑
Bautzen,包岑
Halle (Saale),萨勒河畔哈雷
Siegburg,西格堡
Frankfurt am Main,美茵河畔法蘭克福
Groß Schacksdorf-Simmersdorf,大沙克斯多夫-西默斯多夫
Bad Sassendorf,巴德萨森多尔夫
Welver,韦尔费尔
Warstein,瓦尔斯泰因
Rostock,罗斯托克
Wadersloh,瓦德尔斯洛
Ansbach,安斯巴赫
Poppenbüttel,汉堡-波彭比特尔
Lippetal,利佩塔尔
Möhnesee,默讷塞
Geseke,格塞克
Hagen,哈根
Gevelsberg,格费尔斯贝尔格
Alster,阿爾斯特河
Wellendingen,韦伦丁根
Mettmann,梅特曼
Landsberg,兰茨贝格
Alpen,阿尔卑斯山
Ennepe-Ruhr-Kreis,恩內珀-魯爾縣
Breckerfeld,布雷克费尔德
Schorndorf,绍尔恩多尔夫
Rüdersdorf bei Berlin,柏林附近吕德尔斯多夫
Bensheim,本斯海姆
Kleinblittersdorf,小布利特斯多夫
Buxtehude,布克斯特胡德
Epfendorf,埃普芬多尔夫
Neumarkt in der Oberpfalz,诺伊马尔克特
Oberland am Rennsteig,伦斯泰希地区奥伯兰
MBB/Kawasaki BK 117,MBB/川崎 BK-117
Freiburg im Breisgau,弗赖堡
Sprockhövel,施普罗克赫弗尔
Bad Soden am Taunus,陶努斯山麓巴德索登
Ahaus,阿豪斯
Völklingen,弗尔克林根
Arnold & Richter Cine Technik,阿萊
Ennepetal,恩讷珀塔尔
Crossen an der Elster,埃尔斯特河畔克罗森
Anröchte,安勒希特
Forbach,福尔巴
Eschenbach,埃申巴赫
Oberhausen,奥伯豪森
Kreis Warendorf,瓦伦多夫县
Landkreis Rostock,羅斯托克縣
Lübeck,吕贝克
Kämpfelbach,肯普费尔巴赫
Wetter (Ruhr),韦特尔
Großrosseln,大罗瑟尔恩
Opel,欧宝
Rudersberg,鲁德尔斯贝尔格
Kassel,卡塞尔
Eschbronn,埃施布龙
Königsbach-Stein,柯尼希斯巴赫-施泰因
Baiersbronn,拜埃尔斯布龙
Herdecke,黑尔德克
Kirchberg an der Murr,穆尔河畔基尔希贝格
Porsche,保时捷
Delitzsch,代利奇
Taucha,陶哈
Mülheim an der Ruhr,米尔海姆
Ruhrbesetzung,占领鲁尔
Schwelm,施韦尔姆
Buchholz in der Nordheide,诺德海德地区布赫霍尔茨
Borussia Dortmund,多特蒙德足球俱樂部
Schwabach,施瓦巴赫
Belgern,贝尔格尔恩
Dahlen,达伦_(德国)
UFA,乌发电影公司
Lauenförde,劳恩弗尔德
Landkreis Vorpommern-Rügen,聖狄奧多‧格倫姆姆
Ludwigshafen am Rhein,路德维希港
Kreis Nordfriesland,北弗里斯兰县
Landkreis Nordwestmecklenburg,西北梅克伦堡县
Schkeuditz,施科伊迪茨
Hamm,哈姆
Siemens,西门子公司
Landkreis Ludwigslust-Parchim,路德维希斯卢斯特-帕尔希姆县
Quedlinburg,奎德林堡
European Pressphoto Agency,欧洲新闻图片社
Liste der Fußball-Pflichtspiele zwischen dem Hamburger SV und Werder Bremen,北方德比
NSU Motorenwerke,NSU車廠
Friedrich-Alexander-Universität Erlangen-Nürnberg,埃朗根-纽伦堡大学
Hückelhoven,许克尔霍芬
Eilenburg,艾伦堡
Würselen,维尔塞伦
Maintal,迈因塔尔
Osnabrück,奥斯纳布吕克
Deutsche,德意志人
Hofheim am Taunus,霍夫海姆阿姆陶努斯
Kamp-Lintfort,坎普-林特福尔特
Bad Düben,巴德迪本
Gerhard-Fieseler-Werke,費舍爾
solid,左翼青年Solid
Erzbistum Köln,天主教科隆總教區
Vöhringen,弗赫林根
Landkreis Mecklenburgische Seenplatte,梅克倫堡湖區郡
Herne,黑尔讷
Leutenbach,洛伊滕巴赫
Oschatz,奥沙茨
Leverkusen,勒沃库森
Ettlingen,埃特林根
Schildau,席尔道
deutsche Fußballnationalmannschaft,德國國家足球隊
St. Ingbert,圣因格贝尔特
Kreis Schleswig-Flensburg,石勒苏益格-弗伦斯堡县
Eningen unter Achalm,埃宁根翁特尔阿哈尔姆
Königswinter,柯尼希斯温特
Landkreis Vorpommern-Greifswald,西波美拉尼亞-格來斯瓦德郡
Schwäbisch Hall,施韦比施哈尔
Oldenburg,奥尔登堡
Rheinbach,赖因巴赫
Oxhoft,豬頭
Hermann-Kesten-Preis,赫尔曼·凯斯滕奖
Das Lied der Deutschen,德意志之歌
Kreis Dithmarschen,迪特马尔申县
Dommitzsch,多米茨希
Mügeln,米格尔恩
Brigachtal,布里加赫塔尔
Torgau,托尔高
Heidelberg,海德堡
Kernen im Remstal,雷姆斯塔尔谷地克尔嫩
Schenkenzell,申肯策尔
Suhl,苏尔
Bösingen,伯辛根
Königsfeld im Schwarzwald,黑林山区柯尼希斯费尔德
Greven,格雷芬
Schienenverkehr in Deutschland,德国铁路运输
Unterkirnach,翁特尔基尔纳
Neu-Isenburg,新伊森堡
Weiße Elster,魏瑟埃爾斯特河
Deutsch-israelische Beziehungen,德國－以色列關係
Dauchingen,道欣根
Sonnenbühl,索嫩比赫尔
Voerde,福埃尔德
Hoyerswerda,霍耶斯韦达
Bad Honnef,巴德霍内夫
Weißwasser/O.L.,魏斯瓦塞爾
Haltern am See,哈尔滕
Germering,格尔梅林格
Weißenburg in Bayern,拜恩州魏森堡
Cölpin,策尔平
Spiegelberg,施皮格尔贝尔格
Römerstein,勒梅尔斯泰因
Neuss,诺伊斯
St. Blasien,圣布拉辛
Groß Nemerow,大内梅罗
Mehrstetten,梅尔斯特滕
Gütenbach,居滕巴赫
Kreis Rendsburg-Eckernförde,伦茨堡-埃肯弗德县
Walddorfhäslach,瓦尔多尔夫黑斯拉
Coesfeld,科埃斯费尔德
Solingen,索林根
Kreis Segeberg,塞格贝格县
Würzburg,维尔茨堡
Bezirksliga,行政区联赛
DB Cargo,德铁辛克铁路
Straubenhardt,施特劳本哈尔特
Hülben,许尔本
Leinfelden-Echterdingen,莱因费尔登-埃希特尔丁根
Saarlouis,萨尔路易
Meckenheim,梅肯海姆
Darmstadt,达姆施塔特
Ascheberg,阿舍贝尔格
Niederkassel,下卡塞尔
Handelskammer Hamburg,汉堡商会
Ulmer Münster,乌尔姆主教座堂
Cammin,卡明
Burg Stargard,布尔格斯塔尔加尔德
Pragsdorf,普拉格斯多夫
Holldorf,霍尔多夫
Lindetal,林德塔尔
Sozialistische Deutsche Arbeiterjugend,社会主义德国工人青年
Reuth,罗伊特
Lohmar,洛马尔
Flughafen Frankfurt Main,法兰克福机场
Bad Brambach,巴德布兰巴赫
Kirnitzschtalbahn,基爾尼茨什河谷電車
Freie Demokratische Partei,自由民主党
Galenbeck,加伦贝克
Kreis Ostholstein,东荷尔斯泰因县
Regensburg,雷根斯堡
St. Leon-Rot,圣莱翁-罗特
Datzetal,达策塔尔
Laudenbach,劳登巴赫
Grabenstetten,格拉本斯特滕
Kreis Plön,普伦县
Ostfildern,奥斯特菲尔登
Glienke,格林克
Paderborn,帕德博恩
Eppstein,埃普斯泰因
Genzkow,根茨科
Helenesee,黑勒訥湖
Barclaycard,巴克莱信用卡
Nordkirchen,北基兴
Eichhorst,艾肖尔斯特
Mühlhausen/Thüringen,米尔豪森
Langen,朗根
Mönsheim,门斯海姆
Friedland,弗里德兰 (梅前州)
Mister Gay World,世界同志先生
Kreis Herzogtum Lauenburg,劳恩堡县
Norddeutschland,北德國
Bergen,贝尔根_(萨克森州)
Süddeutschland,南德國
Emsland,埃姆斯兰地区
Lüdinghausen,吕丁格豪森
Kreis Stormarn,施托尔曼县
Ingolstadt,英戈尔施塔
Emsdetten,埃姆斯代滕
Havixbeck,哈菲克斯贝克
Datteln,达特尔恩
Olfen,奥尔芬
Ostdeutsche Eisenbahn,德东铁路
Limbach,林巴赫
Bad Boll,巴德博尔
Bundesrat,德国联邦参议院
Seewald,塞瓦尔德
Bösenbrunn,伯森布伦
Eichigt,艾希格特
Zamilapark,扎米拉公园
Grünbach,格林巴赫
Heinsdorfergrund,海恩斯多尔费尔格伦德
Neckartailfingen,内卡尔泰尔芬根
Thallichtenberg,塔利希滕贝尔格
Billerbeck,比莱尔贝克
Geierswalder See,蓋爾斯瓦爾德湖
Papenburg,帕彭堡
Backnang,巴克南
Muldenhammer,穆尔登哈梅尔
Merseburg,梅泽堡
Kempen,肯彭
Mühlental,米赫伦塔尔
Porta Westfalica,波尔塔韦斯特法利卡
Grafenberg,格拉芬贝格
Rosendahl,罗森达尔
Hattenhofen,哈滕霍芬
Haan,哈恩
Aichwald,艾希瓦尔德
Schlesien,西里西亞
Nottuln,诺图尔恩
Bernburg (Saale),贝恩堡
Kreis Steinburg,斯坦堡县
Ulm,乌尔姆
Loßburg,洛斯堡
Kohlberg,科尔贝格
Neumark,诺伊马克_(萨克森州)
Neustadt/Vogtl.,福格特兰地区诺伊施塔特
Wolfsburg,沃尔夫斯堡
Neuensalz,诺伊恩萨尔茨
Rosenfeld,羅森菲爾德 (德國)
Reichenbach im Vogtland,赖兴巴伊姆福格特兰
Adorf/Vogtl.,阿多夫
Steinmauern,施泰因毛埃尔恩
Zandt,灿特
Pforzheim,普福尔茨海姆
Ellefeld,埃莱费尔德
Kreis Pinneberg,平讷贝格县
Offenbach am Main,美因河畔奥芬巴赫
Friolzheim,弗里奥尔茨海姆
Theuma,托伊马
Tirpersdorf,蒂尔佩尔斯多夫
Triebel,特里贝尔
Sinsheim,辛斯海姆
Eutingen im Gäu,奥伊廷根伊姆戈伊
Werda,韦尔达
Schwaikheim,施魏克海姆
Weischlitz,魏施利茨
Steinberg,施泰因贝格_(萨克森州)
Bischofswerda,比绍夫斯韦尔达
Pöhl,珀赫尔
Rosenbach/Vogtl.,福格特兰地区罗森巴赫
Zangberg,仓贝尔格
Slowenen,斯洛維尼亞人
Rethem (Aller),雷特姆
Zansen,燦森湖
Recklinghausen,雷克林豪森
Altenburg,阿尔滕堡
Zamdorf,扎姆多夫
Zwota,茨沃塔
Fußball-Bayernliga,巴伐利亚足球联赛
FC Augsburg,奥格斯堡足球俱乐部
Tscherkessen,切尔克斯人
TSV Straubing,施特劳宾体育俱乐部
Erding,埃尔丁
Zandtbach,燦特巴赫河
Deutsche Teilnehmer der Olympischen Winterspiele 2006,2006年冬季奥林匹克运动会德国代表团
Kehl,凯尔
Aspach,巴克南附近阿斯帕赫
Auerbach/Vogtl.,奧爾巴赫
Oelsnitz/Vogtl.,厄尔斯尼茨
Helgoland,黑尔戈兰岛
Lage,拉格
1. FC Nürnberg,纽伦堡足球俱乐部
Posterstein,波斯特尔斯泰因
Treuen,特罗伊恩
Vollmershain,福尔梅尔斯海恩
FC Bayern München,拜仁慕尼黑足球俱乐部
Göttingen,哥廷根
Bottrop,博特罗普
Kamenz,卡门茨
Dettingen unter Teck,德廷根翁特尔特克
Markneukirchen,马尔克诺伊基尔兴
Mühltroff,米赫尔特罗夫
Allmersbach im Tal,阿尔默斯巴赫
Elstra,埃尔斯特拉
Großröhrsdorf,格罗斯勒赫尔斯多夫
Wesseling,韦塞林格
Zare,察雷河
Lübbenau,吕贝瑙
Zapel,察佩尔
Bernsdorf,贝恩斯多夫_(包岑县)
Netzschkau,内茨希考
Mylau,米劳
Elsterberg,埃尔斯特尔贝尔格
Falkenstein/Vogtl.,福格特兰地区法尔肯施泰因
Jonaswalde,约纳斯瓦尔德
Thonhausen,通豪森
Weißenberg,魏森贝尔格
Wilthen,维尔滕
Fürth,菲尔特
Zapfendorf,察普芬多尔夫
Zarow,察羅河
Zarpen,察尔彭
Zarrenthiner Kiessee,察倫廷基斯湖
Zarrendorf,察伦多夫
Bergisch Gladbach,贝尔吉施格拉德巴赫
Radeberg,拉德贝尔格
Bad Elster,巴德埃尔斯特尔
Bräunlingen,布罗因林根
Ispringen,伊斯普林根
Internationale Filmfestspiele Berlin 2007,第57届柏林电影节
Rodewisch,罗德维施
Schirgiswalde-Kirschau,席尔吉斯瓦尔德-基尔绍
Niedereschach,尼德雷沙
Pausa/Vogtl.,保萨
Uelzen,于尔岑
Nöbdenitz,内布德尼茨
Murrhardt,穆拉尔特
Wildenbörten,维尔登伯尔滕
Löbichau,勒比肖
Internationale Filmfestspiele Berlin 2000,第50屆柏林影展
Schöneck/Vogtland,舍內克 (薩克森自由州)
Neuler,诺伊莱尔
Schwedt/Oder,施韦特
Vetschau/Spreewald,费茨肖
Meppen,梅彭
Einbeck,埃因贝克
Leer,莱尔
Internationale Filmfestspiele Berlin 2004,第54屆柏林影展
Internationale Filmfestspiele Berlin 2005,第55屆柏林影展
Tuttlingen,图特林根
Königs Wusterhausen,柯尼希斯武斯特豪森
Wittichenau,维蒂歇瑙
Zarrentin am Schaalsee,沙尔湖滨察伦廷
Zarnewanz,察尔内万茨
Erlangen,埃朗根
Gutenborn,古滕博尔恩
Zarnow,察爾諾河
Schonach im Schwarzwald,绍纳伊姆斯希瓦尔茨瓦尔德
Wernigerode,韦尔尼格罗德
Reutlingen,罗伊特林根
Lengenfeld,伦根费尔德
Klingenthal,克林根塔尔
Winsen/Luhe,溫森
Remscheid,雷姆沙伊德
Koblenz,科布倫茨
Wehingen,韦欣根
Naumburg (Saale),瑙姆堡
Föhr,弗爾
deutsche Küche,德国飲食文化
Fürstenfeldbruck,菲尔斯滕费尔德布鲁克
Niederlausitz,下劳希茨
Niedersorbisches Gymnasium Cottbus,下索布语高级中学
Wendland,文德兰
Dithmarschen,迪特馬爾申
Durmersheim,杜尔梅尔斯海姆
Spreewald,施普雷河森林
Deutsche Kommunistische Partei,德国的共产党
Wendlingen am Neckar,内卡河畔文德林根
Zwickauer Mulde,茨維考穆爾德河
Brandenburgische Technische Universität,布蘭登堡理工大學
Europa-Universität Viadrina,奥德河畔法兰克福欧洲大学
Goch,戈赫
Jena,耶拿
Siegen,锡根
Pulsnitz,普尔斯尼茨
Oftersheim,奥夫特尔斯海姆
Königsbrück,柯尼希斯布吕克
Lauta,劳塔
Mörfelden-Walldorf,默尔费尔登-瓦尔多尔夫
Sylt,叙尔特岛
Gaildorf,盖尔多尔夫
Limes Saxoniae,薩克森界牆
Senftenberger See,森夫滕貝格湖
Internationale Filmfestspiele Berlin 2006,第56届柏林国际电影节
Internationale Filmfestspiele Berlin 2001,第51屆柏林影展
Amrum,阿姆鲁姆岛
Dielheim,迪尔海姆
Schönebeck,舍纳贝克
Trier,特里尔
Bargteheide,巴尔格特海德
Ahrenviölfeld,阿伦菲厄尔费尔德
Beilrode,拜尔罗德
Dreetzsee,德雷茨湖
Arzberg (Sachsen),阿茨贝格_(萨克森州)
Hildesheim,希尔德斯海姆
Löwenstedt,勒文斯特
Eislingen/Fils,艾斯林根
Barsinghausen,巴尔辛格豪森
Straßenbahn Cottbus,科特布斯電車
Reilingen,賴林根
Rot am See,滨湖罗特
Haselund,哈塞伦德
Personalausweis (Deutschland),德國身分證
Staatswappen der Deutschen Demokratischen Republik,德意志民主共和國國徽
Moers,默爾斯
Herbertingen,黑尔贝尔廷根
Mühlhausen,米赫尔豪森
Deutscher Orden,条顿骑士团
Pellworm,佩尔沃尔姆
Insel Hiddensee,因塞尔希登塞
Rhön,倫山
Schwarze Elster,黑埃爾斯特河
Zschopau,喬保河
ostfriesisches Niederdeutsch,东弗里斯兰下萨克森语
Mauer,毛厄
Gruibingen,格鲁伊宾根
Malxe,馬爾克瑟河
Geldern,格尔德尔恩
Signal Iduna Park,西格納伊度納公園
Fehmarn,费马恩
Heddesbach,黑德斯巴赫
Veltins-Arena,維爾廷斯球場
Volksparkstadion,禾克斯公園球場
Limburg an der Lahn,兰河畔林堡
Doberschütz,多贝尔许茨
Balingen,巴林根
Korschenbroich,科尔申布罗伊希
Bondelum,邦德卢姆
DFB-Pokal,德国足协杯
Franken,弗兰肯
Waibstadt,魏布斯塔特
Dreiheide,德赖海德
Großer Brombachsee,大布羅姆巴赫湖
Plankstadt,普兰克斯塔特
Nußloch,努斯洛
Satteldorf,萨特尔多尔夫
Sowjetisches Ehrenmal,苏军纪念碑
Schlossplatz,宫廷广场
Olympische Winterspiele 2014/Eishockey (Herren)/Qualifikation,2014年冬季奧林匹克運動會–男子冰球資格賽
Rügen,吕根岛
Stuhr,施图尔
Altmühlsee,阿爾特米爾湖
Igelsbachsee,伊格爾斯巴赫湖
Cottbus,科特布斯
ZDF,德國電視二台
Dietzenbach,迪岑巴赫
Pfullingen,普富林根
Mittellandkanal,中德运河
Eiskunstlauf-Weltmeisterschaft 1931,1931 柏林
Deutsche Fußballmeisterschaft 1990,1990年德国女子足球锦标赛
Olympiahalle München,慕尼黑
Max-Planck-Institut für Astrophysik,马克斯·普朗克天体物理研究所
Schwetzingen,施韦青根
Oste,奧斯特河
Steiff,史黛芙公司
Börse Frankfurt,法兰克福证券交易所
Ostseebad Insel Poel,因塞尔波埃尔
Deutsche Fußballmeisterschaft 1979,1979年德国女子足球锦标赛
Internationale Filmfestspiele Berlin 2002,第52屆柏林影展
Internationale Filmfestspiele Berlin 2008,第58屆柏林電影節
Meckesheim,梅克斯海姆
Eider,艾德河
Salzgitter,萨尔茨吉特
Immenstedt,伊门斯特
Vichtbach,菲希特巴赫河
Zugspitze,楚格峰
Trave,特拉維河
Bahnhof Köln Messe/Deutz,科隆展会/道依茨车站
Tomburg,通布堡
Starzlach,施塔茨拉赫河 (布賴塔赫河支流)
Ruhlander Schwarzwasser,魯蘭德施瓦茨瓦瑟河
Vorpommern,西波美拉尼亞
Alfdorf,阿尔夫多尔夫
Reichartshausen,赖夏尔茨豪森
Kleiner Brombachsee,小布龍巴赫湖
Schwäbische Rezat,施瓦本雷扎特河
Anlauter,安勞特河
Cavertitz,卡费尔蒂茨
Warnow,瓦諾夫河
Bad Saarow,巴德萨罗夫
Usedom,乌瑟多姆岛
Jülich,于利希
Liebschützberg,利布许茨贝尔格
Zweibrücken,茨魏布吕肯
Steinfurt,施泰因富尔特
Seelze,塞尔策
Laußig,劳西希
Neverin,内费林
Neuenkirchen,诺伊恩基兴 (梅克伦堡湖区县)
Mengen,门根
Müritz,米里茨湖
Harburg,漢堡-哈爾堡
Helmstadt-Bargen,黑尔姆斯塔特-巴尔根
Trochtelfingen,特罗特尔芬根
Hettingen,黑廷根
Elsnig,埃尔斯尼希
Jesewitz,耶塞维茨
Moorburg,摩爾堡
Ilmenau,伊爾默瑙河
Wernau (Neckar),韦尔瑙
Bille,比勒河
Brunn,布伦 (梅前州)
Gera,格拉
Schloss Hohenbaden,霍亨巴登城堡
Löbnitz,勒布尼茨
Viernheim,菲尔恩海姆
Bensberg,本斯贝格
Crailsheim,克赖尔斯海姆
Krostitz,克罗斯蒂茨
Kaiserslautern,凯撒斯劳滕
Wulkenzin,武尔肯钦
Zirzow,齐尔措
Trollenhagen,特罗伦哈根
Woggersin,沃格尔辛
Cloppenburg,克洛彭堡
Neugraben-Fischbek,汉堡-诺伊格拉本-费希贝克
Letten,拉脫維亞人
Welzheim,韦尔茨海姆
Gütersloh,居特斯洛
Spechbach,施佩希巴赫
Neidenstein,奈登斯泰因
Plochingen,普洛欣根
Rocket Internet SE,火箭网
Ratingen,拉廷根
Mockrehna,莫克雷纳
Staven,施塔芬
Rackwitz,拉克维茨
Sponholz,施蓬霍尔茨
ARD,德国公共广播联盟
Dornstetten,多尔恩斯特滕
Brandenburger Tor,勃兰登堡门
Deutz,道依茨
Berliner Fernsehturm,柏林电视塔
Biberach an der Riß,里斯河畔比伯拉赫
Langenburg,朗根堡
Fürstenwalde/Spree,菲尔斯滕瓦尔德
Zinna,齐纳
Wiedemar,维德马尔
Veringenstadt,费林根斯塔特
Naundorf,诺因多夫
Blankenhof,布兰肯霍夫
Frankfurt-Sachsenhausen,薩克森町
Wartburg,瓦爾特堡
Neukyhna,诺伊基纳
Beseritz,贝塞里茨
Christlich Demokratische Union,德国基督教民主联盟
Schönwölkau,申韦尔考
Blumberg,布倫伯格
Sozialdemokratische Partei Deutschlands,德国社会民主党
Neddemin,内德明
Das Erste,德国电视一台
Sowjetisches Ehrenmal Schönholzer Heide,苏军纪念碑
Neckarbischofsheim,内卡尔比绍夫斯海姆
Sanssouci,無憂宮
Neuffen,诺伊芬
