Angela Merkel,アンゲラ・メルケル
Gonzalo Castro,ゴンサロ・カストロ
Herbert Achternbusch,ハーバート・アハターンブッシュ
Anselm Grün,アンゼルム・グリューン
Günther Kaufmann,ギュンター・カウフマン
Nicolas König,ニコラス・ケーニッヒ
Hans Wilsdorf,ハンス・ヴィルスドルフ
Elmar Borrmann,エルマー・ボルマン
Richard David Precht,リヒャルト・ダーフィト・プレヒト
Sepp Maier,ゼップ・マイヤー
Reinhard Marx,ラインハルト・マックス
Trixi Worrack,トリクシー・ヴォラク
Alfons Kontarsky,アルフォンス・コンタルスキー
Paul Münch,パウル・ミュンヒ
Tom Wlaschiha,トム・ヴラシア
Alex Hitzinger,アレックス・ヒッチンガー
Karl Albrecht,カール・アルブレヒト
Max Klinger,マックス・クリンガー
Christian Wulff,クリスティアン・ヴルフ
Helmut Kohl,ヘルムート・コール
Rudolf Mößbauer,ルドルフ・メスバウアー
Rudi Völler,ルディ・フェラー
Reinhold Schünzel,ラインホルト・シュンツェル
Ernst Hartwig,エルンスト・ハルトヴィッヒ
Hanna Schygulla,ハンナ・シグラ
Helmut Schmidt,ヘルムート・シュミット
Joachim Gauck,ヨアヒム・ガウク
Uli Hoeneß,ウリ・ヘーネス
Karl Carstens,カール・カルステンス
Rupert Mayer,ルーペルト・マイヤー
Siegfried Sommer,ジークフリート・ゾンマー
Michael Herbig,ミヒャエル・ヘルビーク
Harald Lesch,ハラルト・レッシュ
Hans-Josef Becker,ハンス=ヨセフ・ベッカー
Horst Köhler,ホルスト・ケーラー
Eugen Roth,オイゲン・ロート
Ludwig Thoma,ルートヴィヒ・トーマ
Richard von Weizsäcker,リヒャルト・フォン・ヴァイツゼッカー
Bastian Schweinsteiger,バスティアン・シュヴァインシュタイガー
Werner Thissen,ヴェルナー・ティッセン
Konstantin Wecker,コンスタンティン・ヴェッカー
Ezriel Carlebach,アズリエル・カルレバッハ
Michael von Faulhaber,ミヒャエル・フォン・ファウルハーバー
Albrecht von Bayern,アルブレヒト・フォン・バイエルン
Rainer Maria Woelki,ライナー・ヴェルキ
Roman Herzog,ローマン・ヘルツォーク
Manfred Wolf,マンフレート・ウォルフ
Roy Black,ロイ・ブラック
Franz Xaver Kroetz,フランツ・クサーヴァー・クロイツ
Karl Valentin,カール・ヴァレンティン
Hans Kohlhase,ハンス・コールハース
Karl-Heinz Wiesemann,カール＝ハインツ・ヴィーゼマン
Ulrike Nasse-Meyfarth,ウルリケ・マイフェルト
Silvio Gesell,シルビオ・ゲゼル
Ferdinand Tönnies,フェルディナント・テンニース
Walter Scheel,ヴァルター・シェール
Zedd,Zedd
Fritz Walter,フリッツ・ヴァルター
Johannes Rau,ヨハネス・ラウ
Walter Kasper,ヴァルター・カスパー
Werner Herzog,ヴェルナー・ヘルツォーク
Rudolph Moshammer,ルドルフ・モシャマー
Heinrich Lübke,ハインリヒ・リュプケ
Carl Orff,カール・オルフ
Stefan Bötticher,シュテファン・ベティヒャー
Ottmar Hitzfeld,オットマー・ヒッツフェルト
Georg Fürst,ゲオルク・フュルスト
Bernd Schuster,ベルント・シュスター
Ernst Otto Fischer,エルンスト・フィッシャー
Feodor Lynen,フェオドル・リュネン
Ludwig III. von Bayern,ルートヴィヒ3世
Paul Breitner,パウル・ブライトナー
Oskar Maria Graf,オスカー・マリーア・グラーフ
Johannes Schmoelling,ヨハンズ・シュモエリング
Hilde Hildebrand,ヒルデ・ヒルデブラント
Uwe Seeler,ウーヴェ・ゼーラー
Roberto Blanco,ロベルト・ブランコ
Anton Adner,アントン・アドナー
Günter Netzer,ギュンター・ネッツァー
Hermann Hesse,ヘルマン・ヘッセ
Lothar Matthäus,ローター・マテウス
Reinhard Bütikofer,ラインハルト・ブティコファー
Alois Irlmaier,アロイス・イルマイヤー
Gunther Kohlmey,グンター・コールマイ
Axel Fischer,アクセル・フィッシャー
Karl Witzell,カール・ヴィッツェル
Franz Xaver Schwarz,フランツ・クサーヴァー・シュヴァルツ
Herbert Klein,ヘルベルト・クライン
Franz Josef Strauß,フランツ・ヨーゼフ・シュトラウス
Gustav Heinemann,グスタフ・ハイネマン
Manfred Gerlach,マンフレート・ゲルラッハ
Holger Apfel,ホルガー・アプフェル
Birol Ünel,ビロル・ユーネル
Egon Krenz,エゴン・クレンツ
Marcel Reich-Ranicki,マルツェル・ライヒ＝ラニツキ
Reinhard Baumeister,ラインハルト・バウマイスター
Cordelia Edvardson,コルデリア・エドヴァルドソン
Michael Buchberger,ミヒャエル・ブーフベルガー
Nico,ニコ
Konrad Bloch,コンラート・ブロッホ
Ludwig Schick,ルートヴィヒ・シック
Rafid Ahmed Alwan,カーブ
Edmund Stoiber,エドムント・シュトイバー
Stefan Effenberg,シュテファン・エッフェンベルク
Dieter Hildebrandt,ディーター・ヒルデブラント
Christian Stückl,クリスチャン・シュテュッカル
Robert Zollitsch,ロバート・ツォリチュ
Theodor Heuss,テオドール・ホイス
Horst Seehofer,ホルスト・ゼーホーファー
Jo Baier,ヨ・バイアー
Oliver Riedel,オリバー・リーデル
Uwe Rahn,ウーベ・ラーン
Pierre Littbarski,ピエール・リトバルスキー
Walter Jens,ヴァルター・イェンス
Hans Richter,ハンス・リヒター
Björn Lindemann,ビョルン・リンデマン
Erich Honecker,エーリッヒ・ホーネッカー
Friedrich Ebert,フリードリヒ・エーベルト
Marika Rökk,マリカ・レック
Hans Magnus Enzensberger,ハンス・マグヌス・エンツェンスベルガー
Joseph Frings,ヨーゼフ・フリングス
Ernst Tiburzy,エルンスト・ティブルツィ
Anne-Sophie Mutter,アンネ＝ゾフィー・ムター
Otfried Preußler,オトフリート・プロイスラー
Mario Gómez,マリオ・ゴメス
Paul von Hindenburg,パウル・フォン・ヒンデンブルク
Katrin Göring-Eckardt,カトリン・ゲーリング＝エッカルト
Wolfgang Overath,ヴォルフガング・オフェラート
Bernard Katz,ベルンハルト・カッツ
Martin Hengel,マルティン・ヘンゲル
Ewald-Heinrich von Kleist,エヴァルト＝ハインリヒ・フォン・クライスト＝シュメンツィン
Corona Schröter,コローナ・シュレーター
Hermann Haken,ヘルマン・ハーケン
Herta Müller,ヘルタ・ミュラー
Erik Zabel,エリック・ツァベル
Günther Beckstein,ギュンター・ベックシュタイン
Tilo Gutzeit,ツィロ・グーツァイト
Hans-Adolf Prützmann,ハンス・アドルフ・プリュッツマン
Günther Herbig,ギュンター・ヘルビヒ
Herman Sörgel,ヘルマン・セルゲル
Walter Groß,ウォルター・グロス
Albrecht III.,アルブレヒト3世
Raphael Schäfer,ラファエル・シェーファー
Sofian Chahed,ソフィアン・シャヘド
Walter Eucken,ヴァルター・オイケン
Sidney Sam,シドニー・サム
Jochen Rindt,ヨッヘン・リント
Timo Gebhart,ティモ・ゲプハルト
Abraham Gotthelf Kästner,アブラハム・ケストナー
Joachim I.,ヨアヒム1世
Heinrich Rubens,ハインリヒ・ルーベンス
Ronald Pofalla,ローラント・ポファッラ
Koray Günter,コライ・ギュンター
Laura Ludwig,ラウラ・ルートビヒ
Franciszek Smuda,フランチシェク・スムダ
Linda Stahl,リンダ・シュタール
Günter Grass,ギュンター・グラス
Frank Ordenewitz,フランク・オルデネビッツ
Andreas Ottl,アンドレアス・オットル
Franz Beckenbauer,フランツ・ベッケンバウアー
Paul Kalkbrenner,ポール・カークブレンナー
Fritz Kalkbrenner,フリッツ・カルクブレンナー
Michael Glos,ミヒャエル・グロース
Kurt Aland,クルト・アーラント
Martin Schmitt,マルティン・シュミット
Loriot,ヴィッコ・フォン・ビューロー
Ludwig Mies van der Rohe,ルートヴィヒ・ミース・ファン・デル・ローエ
Jonas Reckermann,ヨナス・レッカーマン
Julius Brink,ユリウス・ブリンク
Rosa Valetti,ローザ・ファレッティ
Hans von Kulmbach,ハンス・フォン・クルムバッハ
Hermann Staudinger,ヘルマン・シュタウディンガー
Erich Maria Remarque,エーリッヒ・マリア・レマルク
Joachim Löw,ヨアヒム・レーヴ
Ludwig Berger,ルドウィッヒ・ベルゲル
Georg Hackl,ゲオルク・ハックル
Lena Meyer-Landrut,レナ・マイヤー＝ランドルート
Hilde Schrader,ヒルデ・シュレーダー
Philipp,フィリップ
Georg Ludwig von Schleswig-Holstein-Gottorf,ゲオルク・ルートヴィヒ・フォン・シュレースヴィヒ＝ホルシュタイン＝ゴットルプ
Ernst Mayr,エルンスト・マイヤー
Sandra Bullock,サンドラ・ブロック
Sebastian Vettel,セバスチャン・ベッテル
Wolfgang Unzicker,ヴォルフガング・ウンツィカー
Ernst Steinitz,エルンスト・スタイニッツ
Georg,ゲオルク
Wolf Blitzer,ウルフ・ブリッツァー
Adrian Sutil,エイドリアン・スーティル
Albert Schweitzer,アルベルト・シュバイツァー
Betty Heidler,ベティ・ハイドラー
Christina Obergföll,クリスティーナ・オーバークフォル
Lothar Zagrosek,ローター・ツァグロセク
Heinrich Ehrler,ハインリヒ・エールラー
Rob Pilatus,ロブ・ピラトゥス
Tim Hoogland,ティム・ホーグラント
Lothar Collatz,ローター・コラッツ
Adil Chihi,アディル・シヒ
Eugen Polanski,オイゲン・ポランスキ
Adolf Butenandt,アドルフ・ブーテナント
Ludwig Kübler,ルートヴィヒ・キュブラー
Friedrich Melchior Grimm,グリム
Alfred Schwarzmann,アルフレート・シュヴァルツマン
Oliver Kirch,オリヴァー・キルヒ
Wilfried Dietrich,ウィルフリード・ディートリック
Claus Luthe,クラウス・ルーテ
Ulrich von Wilamowitz-Moellendorff,ウルリヒ・フォン・ヴィラモーヴィッツ＝メレンドルフ
Peer Steinbrück,ペール・シュタインブリュック
Rudolf Nebel,ルドルフ・ネーベル
Karl II. August,カール3世アウグスト・クリスティアン
Karl Heinrich Barth,カール・ハインリヒ・バルト
Karl Hein,カール・ハイン
Peter Frenkel,ペーター・フレンケル
"Prinz Maria Emanuel, Markgraf von Meißen",マリア・エマヌエル・フォン・ザクセン
Martin Noth,マルティン・ノート
Christoph Blumhardt,クリストフ・フリードリッヒ・ブルームハルト
Bernhard Weiß,ベルンハルト・ヴァイス
Rita Wilden,リタ・ウィルデン
Thomas Rupprath,トーマス・ルプラト
Christian Weber,クリスティアン・ヴェーバー
Eduard Metzger,エドゥアルト・メッツガー
Bernd Schneider,ベルント・シュナイダー
Gottfried Heinrich zu Pappenheim,ゴットフリート・ハインリヒ・グラーフ・ツー・パッペンハイム
Dorothea von Brandenburg-Kulmbach,ドロテア・フォン・ブランデンブルク
Andrea Maria Schenkel,アンドレア・M・シェンケル
Heinz Keßler,ハインツ・ケスラー
Johann Alexander Döderlein,ヨハン・アレクサンダー・デーダーライン
Alfred Meyer,アルフレート・マイヤー
Harald Schmid,ハラルト・シュミット
Elisabeth Charlotte von der Pfalz,エリーザベト・シャルロッテ・フォン・デア・プファルツ
Heinrich Böll,ハインリヒ・ベル
Otto von Northeim,オットー・フォン・ノルトハイム
Thomas Müller,トーマス・ミュラー
Meinhard III.,マインハルト3世
Reiner Knizia,ライナー・クニツィア
Valerius Cordus,ヴァレリウス・コルドゥス
Gerhard Stöck,ゲルハルト・シュテック
Karl Blossfeldt,カール・ブロスフェルト
Philipp Lahm,フィリップ・ラーム
Karl-Hans Riehm,カール＝ハンス・リーム
Paul Spiegel,パウル・シュピーゲル
Leonid Kreutzer,レオニード・クロイツァー
Aloys Kontarsky,アロイス・コンタルスキー
Heino,ハイノ
Wolfgang Reinhold,ヴォルフガング・ラインホルト
Wolfgang Kosack,ヴォルフガング・コサック
Ulrich Huber,ウルリクス・フベルス
Carl Gustav Hempel,カール・ヘンペル
Paul Rudolph,パウル・ルドルフ
Otto Lehmann,オットー・レーマン
Christoph II.,クリストフ2世
Max Lorenz,マックス・ロレンツ
Hubert Hahne,フーベルト・ハーネ
Henry Koster,ヘンリー・コスター
Uta Frith,ウタ・フリス
Carl von Linde,カール・フォン・リンデ
Toni Garrn,トニ・ガーン
Heidi Biebl,ハイディ・ビーブル
Karl-Heinrich Bodenschatz,カール＝ハインリヒ・ボーデンシャッツ
Elisabeth Grümmer,エリーザベト・グリュンマー
Johann Albert Fabricius,ヨハン・アルベルト・ファブリキウス
Ludwig Kaas,ルートヴィヒ・カース
Johannes Joachim Degenhardt,ヨハネス・ヨアヒム・デーゲンハルト
Andreas Hermes,アンドレアス・ヘルメス
Florian Gallenberger,フローリアン・ガレンベルガー
Agnes Pockels,アグネス・ポッケルス
Otto Frank,オットー・フランク
Erwin Schrödinger,エルヴィン・シュレーディンガー
Gerhard Klopfer,ゲルハルト・クロップファー
Günther Maleuda,ギュンター・マロイダ
Edith Frank-Holländer,エーディト・フランク
Jan Hochscheidt,ヤン・ホッフシャイト
Nicolas Höfler,ニコラス・ヘフラー
Oliver Lampe,オリヴァー・ランペ
Bernd Eichinger,ベルント・アイヒンガー
Rüdiger Safranski,リュトガー・ザフランスキー
Nikolaus von Oldenburg,ニコラウス・フォン・オルデンブルク
Walter Kaufmann,ワルター・カウフマン
Agnes-Maria von Andechs-Meranien,アニェス・ド・メラニー
Günther Lützow,ギュンター・リュッツオウ
Godehard von Hildesheim,ヒルデスハイムのゴーデハルト
Rosa Luxemburg,ローザ・ルクセンブルク
Hans Böhm,ハンス・ベーム
Kerstin Szymkowiak,ケルスティン・シムコビアク
Gerd Müller,ゲルト・ミュラー
Otto Willi Gail,オットー・ヴィリー・ガイル
Adam Neuser,アダム・ノイザー
Josefine Preuß,ヨゼフィーネ・プロイス
Viktoria Rebensburg,ビクトリア・レーベンスブルグ
Sabine Busch,ザビーネ・ブッシュ
Manfred Eicher,マンフレート・アイヒャー
Anton Ulrich,アントン・ウルリヒ (ザクセン＝マイニンゲン公)
Basilius Besler,バシリウス・ベスラー
Sophie Luise von Mecklenburg-Schwerin,ゾフィー・ルイーゼ・ツー・メクレンブルク＝シュヴェリーン
Täve Schur,グスタフ＝アドルフ・シューア
Maria Höfl-Riesch,マリア・ヘフィル・リーシュ
Markus Söder,マルクス・ゼーダー
Erika Steinbach,エーリカ・シュタインバッハ
Wolfgang Völz,ヴォルフガング・フェルツ
Margot Frank,マルゴット・フランク
Hertha Sponer,ハータ・シュポナー
Stefan Raab,シュテファン・ラープ
Hermann Josef Abs,ヘルマン・ヨーゼフ・アプス
Katja Seizinger,カーチャ・ザイツィンガー
Wilhelm Ostwald,ヴィルヘルム・オストヴァルト
Ludwig Georg Simpert,ルートヴィヒ・ゲオルク
Kurt Welter,クルト・ヴェルター
Alexander Markowitsch Ostrowski,A. オストロフスキ
Robert Siodmak,ロバート・シオドマク
Curtis Bernhardt,カーティス・バーンハート
Klaus Wowereit,クラウス・ヴォーヴェライト
Hans Schmidt,ハンス・シュミット
Werner Jaeger,ヴェルナー・イェーガー
Hannelore Kraft,ハンネローレ・クラフト
Ralf Bartels,ラルフ・バーテルス
Verena Sailer,フェレナ・ザイラー
Herbert Eulenberg,ヘルベルト・オイレンベルク
Ellen von Unwerth,エレン・ヴォン・アンワース
Tatjana Patitz,タチアナ・パティッツ
Steffi Graf,シュテフィ・グラフ
Walter Burkert,ヴァルター・ブルケルト
Max Taut,マックス・タウト
Hermann Volk,ヘルマン・フォルク
Adolf Merckle,アドルフ・メルクレ
Gertrud von Helfta,ヘルフタのゲルトルード
Nadine Kleinert,ナディネ・クライナート
Jakob Sporrenberg,ヤーコプ・シュポレンベルク
Jaki Liebezeit,ヤキ・リーベツァイト
Heinrich IV.,ハインリヒ4世
Feodora von Sachsen-Meiningen,フェオドラ・フォン・ザクセン＝マイニンゲン
Friedrich von Hohenzollern,フリードリヒ・フォン・ホーエンツォレルン＝ジグマリンゲン
Altmann von Passau,アルトマン・フォン・ナッサウ
Karl I.,カール1世
Martin Cromer,マルチン・クロメル
Franz Babinger,フランツ・バビンガー
Norbert Blüm,ノルベルト・ブリューム
Maximilian Maria von Thurn und Taxis,マクシミリアン・マリア・フォン・トゥルン・ウント・タクシス
Friedrich Gundolf,フリードリヒ・グンドルフ
Friedrich III.,フリードリヒ3世
Hedwig Courths-Mahler,ヘートヴィヒ・クルツ＝マーラー
Wolfgang Haken,ヴォルフガング・ハーケン
Hermann Prieß,ヘルマン・プリース
Johannes von Thurn und Taxis,ヨハンネス・フォン・トゥルン・ウント・タクシス
Hans Jacob Reissner,ハンス・ライスナー
Gustav Radbruch,グスタフ・ラートブルフ
Georg Ratzinger,ゲオルク・ラッツィンガー
Christian Vietoris,クリスチャン・ベアトリス
Malte Mohr,マルテ・モーア
Jacob Christian Schäffer,ヤーコブ・クリスティアン・シェーファー
Reinhard Selten,ラインハルト・ゼルテン
Adalbert von Preußen,アーダルベルト・フォン・プロイセン
Curt Backeberg,クルト・バッケベルク
Rudi Glöckner,ルディ・グレックナー
Norbert Röttgen,ノルベルト・レットゲン
Carina Wiese,カリーナ・ビーゼ
Michael Schumacher,ミハエル・シューマッハ
Kurt Beck,クルト・ベック
Martina Gedeck,マルティナ・ゲデック
Charlotte Beradt,シャルロッテ・ベラート
Elisabeth Lemmerhirt,マリア・エリザベート・レムマーヒルト
Ekkehard von Aura,アウラのエッケハルト
Anton Schwarzkopf,アントン・シュワルツコフ
Konrad von Thüringen,コンラート・フォン・テューリンゲン
Rüdiger von der Goltz,リュディガー・フォン・デア・ゴルツ
Walter F. Otto,ワルター・フリードリヒ・オットー
Stefan Wolle,シュテファン・ヴォレ
Andres Veiel,アンドレアス・ファイエル
Justus Möser,ユストゥス・メーザー
Rolf-Dieter Heuer,ロルフ＝ディータ・ホイヤー
Ernst von Salomon,エルンスト・フォン・ザロモン
Tommy Haas,トミー・ハース
Helmar Frank,ヘルマー・フランク
Bruno Paul,ブルーノ・パウル
Walther Müller,ヴァルター・ミュラー
Stefan Lindemann,シュテファン・リンデマン
Carl Severing,カール・ゼーフェリンク
Ralf Scheepers,ラルフ・シーパース
Jürgen Roters,ユルゲン・ロータース
Danny Latza,ダニー・ラッツァ
Johann Ernst III.,ヨハン・エルンスト3世 (ザクセン＝ヴァイマル公)
Richard Strauss,リヒャルト・シュトラウス
Jürgen Trittin,ユルゲン・トリッティン
August II.,アウグスト2世
Christian III.,クリスティアン3世
Stephan I.,シュテファン1世
Hans Bleckwenn,ハンス・ブレックヴェン
Albert Peter,アルベルト・ペーテル
Renate Künast,レナーテ・キュナスト
Michael Ballack,ミヒャエル・バラック
Gerhard Fieseler,ゲルハルト・フィーゼラー
Wolfgang Hohlbein,ヴォルフガング・ホールバイン
Ernst Lubitsch,エルンスト・ルビッチ
Wilhelm Bousset,ウィルヘルム・ブセット
Andreas Staier,アンドレアス・シュタイアー
Ines Müller,イネス・ミュラー
Benedikt Ried,ベネディクト・リート
Franka Potente,フランカ・ポテンテ
Dietrich von Hildebrand,ディートリッヒ・フォン・ヒルデブラント
Wilhelm Marschall,ヴィルヘルム・マルシャル
Eugen Drewermann,オイゲン・ドレーヴァーマン
Albert Renger-Patzsch,アルベルト・レンガー＝パッチュ
Albrecht Graf von Goertz,アルブレヒト・フォン・ゲルツ
Kurt Weill,クルト・ワイル
Kurt Knispel,クルト・クニスペル
Joseph H. Pilates,ジョセフ・ピラティス
Hellmuth Walter,ヘルムート・ヴァルター
Frank Busemann,フランク・ブーゼマン
August Heißmeyer,アウグスト・ハイスマイヤー
Robert Schuman,ロベール・シューマン
Otto Heckmann,オットー・ヘックマン
Engelbert Humperdinck,エンゲルベルト・フンパーディンク
Ludwig IX.,ルートヴィヒ9世
Hans von Obstfelder,ハンス・フォン・オープストフェルダー
Gershon Kingsley,ガーション・キングスレイ
Alexandra Maria Lara,アレクサンドラ・マリア・ララ
Ernst Nolte,エルンスト・ノルテ
Cem Özdemir,ジェム・オズデミル
Beate Klarsfeld,ベアーテ・クラースフェルト
Alex Christensen,アレックス・フリステンセン
Uwe Ampler,ウーヴェ・アンプラー
Wilhelm Worringer,ウィルヘルム・ヴォリンガー
Markus Rühl,マーカス・ルール
William Dieterle,ウィリアム・ディターレ
Gesine Lötzsch,ゲジーネ・レッチュ
Corinna Harfouch,コリンナ・ハルフォーフ
Max Ophüls,マックス・オフュルス
Klaus-Jürgen Wrede,クラウス＝ユルゲン・ヴレーデ
Gisela von Schwaben,ギーゼラ
Julia Franck,ユーリア・フランク
Paul Giesler,パウル・ギースラー
Wolfgang Schäuble,ヴォルフガング・ショイブレ
Walter Frentz,ヴァルター・フレンツ
Sami Khedira,サミ・ケディラ
Johnny Cecotto jr.,ジョニー・チェコットJr.
Nicolaus von Below,ニコラウス・フォン・ベロウ
Sophie Dorothea Marie von Preußen,ゾフィー・ドロテア・フォン・プロイセン
Mildred Scheel,ミルトレート・シェール
Leni Riefenstahl,レニ・リーフェンシュタール
Karoline von Günderrode,カロリーネ・フォン・ギュンダーローデ
Gertrud von Sachsen,ゲルトルート・フォン・ザクセン
Irmgard Möller,イルムガルト・メーラー
Wilhelm IV. von Sachsen-Weimar,ヴィルヘルム (ザクセン＝ヴァイマル公)
Ludwig Claisen,ルートヴィヒ・クライゼン
Frank Peter Zimmermann,フランク・ペーター・ツィンマーマン
Friedrich Wilhelm Kritzinger,フリードリヒ・ヴィルヘルム・クリツィンガー
Alfred Hugenberg,アルフレート・フーゲンベルク
Gudrun Ensslin,グドルン・エンスリン
Gregor Gysi,グレゴール・ギジ
Markus Weinzierl,マルクス・ヴァインツィール
Andreas Seyfarth,アンドレアス・ザイファルト
Mady Rahl,マディ・ラール
DJ Hell,DJ Hell
Werner Haase,ヴェルナー・ハーゼ
Gerda Christian,ゲルダ・クリスティアン
Heinz Josef Algermissen,ハインツ・ヨーゼフ・アルガーミッセン
Gerda Steinhoff,ゲルタ・シュタインホフ
Christian II.,クリスティアン2世
Ulli Lommel,ウリ・ロンメル
Wu Jiaduo,呉佳多
Klaus Kinski,クラウス・キンスキー
Friedrich Wilhelm Murnau,F・W・ムルナウ
Wim Wenders,ヴィム・ヴェンダース
Ernst Barkmann,エルンスト・バルクマン
Augustin Souchy,アウグスティン・ソウヒ
Philipp von Hutten,フィリップ・フォン・フッテン
Norbert Reithofer,ノルベルト・ライトホーファー
Alfred Eisenstaedt,アルフレッド・アイゼンスタット
Änis Ben-Hatira,アニス・ベン＝ハティラ
Helmut Gröttrup,ヘルムート・グレトルップ
Kurt Jooss,クルト・ヨース
Ronald Rauhe,ロナルド・ロイエ
Walter Moers,ヴァルター・メアス
Bernd Förster,ベルント・フェルスター
Ralf König,ラルフ・ケーニヒ
Rolf Hoppe,ロルフ・ホッペ
Monika Maron,モニカ・マーロン
Uschi Glas,ウシ・グラース
Georg Moritz von Sachsen-Altenburg,ゲオルク・モーリッツ・フォン・ザクセン＝アルテンブルク
Edmund Schlink,エドムント・シュリンク
Walther von Dyck,ヴァルター・フォン＝ダイク
Christian Friedrich Hornschuch,クリスティアン・フリードリヒ・ホルンシュック
Erich Karkoschka,エーリッヒ・カルコシュカ
Wilhelm Körner,ヴィルヘルム・ケルナー
Rudolf Klein-Rogge,ルドルフ・クライン＝ロッゲ
Marcel Wüst,マルセル・ヴュスト
David McAllister,デイヴィッド・マカリスター
Thomas Dörflein,トーマス・デルフライン
Dorothea von Anhalt-Zerbst,ドロテア・フォン・アンハルト＝ツェルプスト
Wilhelm II.,ヴィルヘルム2世 (マイセン辺境伯)
Rüdiger Vogler,リュディガー・フォーグラー
Max J. Friedländer,マックス・フリートレンダー
Anna Christine Luise von Pfalz-Sulzbach,アンナ・クリスティーネ・ルイーゼ・フォン・プファルツ＝ズルツバッハ
Hans von Salmuth,ハンス・フォン・ザルムート
Heinrich Freiherr von Stackelberg,ハインリッヒ・フォン・シュタッケルベルグ
Heinrich Eduard Jacob,ハインリヒ・エドゥアルト・ヤコブ
Thomas Pogge,トマス・ポッゲ
Margarethe von Trotta,マルガレーテ・フォン・トロッタ
Franz Roh,フランツ・ロー
Johannes Nider,ヨハンネス・ニーダー
Ulrich Lins,ウイリッヒ・リンス
Sigrid Peyerimhoff,ジークリット・D・パヤリンホフ
Werner Naumann,ヴェルナー・ナウマン
Karlheinz Förster,カールハインツ・フェルスター
Wilhelm,ヴィルヘルム
Brigitte Fassbaender,ブリギッテ・ファスベンダー
Johann Reinhard III.,ヨーハン・ラインハルト3世
Ludwig Friedrich I.,ルートヴィヒ・フリードリヒ1世 (シュヴァルツブルク＝ルードルシュタット侯)
Karl Dietrich Bracher,カール・ディートリヒ・ブラッハー
Ernst Maisel,エルンスト・マイゼル
Bernhard Goetzke,ベルンハルト・ゲッケ
Leif Lampater,ライフ・ランパター
Jürgen Vogel,ユルゲン・フォーゲル
Max von Laue,マックス・フォン・ラウエ
Philippine Charlotte von Preußen,フィリッピーネ・シャルロッテ・フォン・プロイセン
Ernst von Bayern,エルンスト・フォン・バイエルン
Jürgen Moser,ユルゲン・モーザー
Magnus I.,マグヌス1世 (メクレンブルク公)
Otmar Freiherr von Verschuer,オトマー・フライヘル・フォン・フェアシューアー
Ludwig Bieberbach,ルートヴィヒ・ビーベルバッハ
Paul Peter Ewald,パウル・ペーター・エバルト
Robert Schwentke,ロベルト・シュヴェンケ
Tanja Szewczenko,タニヤ・シェフチェンコ
Claudia Leistner,クラウディア・ライストナー
Leonard Nelson,レオナルト・ネルソン
Wolfgang Krull,ヴォルフガング・クルル
Oskar Perron,オスカー・ペロン
Karl Ernst,カール・エルンスト
Marco Werner,マルコ・ヴェルナー
Moritz von der Pfalz,モーリッツ・フォン・デア・プファルツ
Otto Lummer,オットー・ルンマー
Esther Vilar,エスター・ヴィラール
Karl Genzken,カール・ゲンツケン
Felix Schoft,フェリックス・ショフト
Hans Joachim Alpers,ハンス・ヨアヒム・アルパース
Ernst Friedrich,エルンスト・フリードリヒ
Lucas Luhr,ルーカス・ルーア
