Diego Velázquez,委拉斯開茲
Nicolás Federmann,尼古劳斯·费德曼
Carlos II de España,卡洛斯二世·(西班牙)
Luis Fernando de Baviera,巴伐利亞的路德維希·斐迪南
Eduardo Mendoza,爱德华多·门多萨·伽里加
Ricky Martin,瑞奇·馬丁
María de las Mercedes de Borbón y Habsburgo-Lorena,波旁的瑪麗亞·梅塞德斯·(1880年—1904年)
Manuel Valls Galfetti,曼努埃尔·瓦尔斯
Fernando Alonso,费尔南多·阿隆索
Penélope Cruz,佩内洛普·克鲁兹
Mario Vargas Llosa,马里奥·巴尔加斯·略萨
Fernando Álvarez de Toledo y Pimentel,第三代阿尔瓦公爵费尔南多·阿尔瓦雷斯·德·托莱多
Julio Salinas,胡里奥·萨利纳斯
Isco,伊斯高
Plácido Domingo,普拉西多·多明哥
Juan Ramón Jiménez,胡安·拉蒙·希梅内斯
Javier Solana,哈维尔·索拉纳
Arturo Pérez-Reverte,阿圖洛·貝雷茲-雷維特
José Comas y Solá,朱塞普·科马斯·索拉
Soraya Sáenz de Santamaría,索拉亚·萨恩斯·德圣玛丽亚
Juan de Persia,波斯的道恩·胡安
Manuel Almunia,曼努埃尔·阿穆尼亚
Raúl González Blanco,劳尔·冈萨雷斯·布兰科
Mariano Rajoy,马里亚诺·拉霍伊
Vicente Aleixandre,维森特·阿莱克桑德雷
Javier Bardem,哈維爾·巴登
Sofía de Grecia,希臘的索菲亞
Leonor de Austria,奧地利的艾蕾諾爾·(1498-1558)
Ana de Austria (reina de España),安娜·馮·奧地利·(1549年—1580年)
Emilio Butragueño,艾美路·布達堅奴
Francis Xavier Morgan,弗朗西斯·泽维尔·摩根
Felipe González,费利佩·冈萨雷斯
Eduardo Chillida,爱德华多·奇利达
Jorge Semprún,豪尔赫·森普伦
Margarita de Austria-Estiria,奥地利的玛格丽特·(西班牙王后)
Pedro de la Rosa,佩德罗·德·拉·罗萨
Óscar Pereiro,奥斯卡·佩雷罗·西奥
Camilo José Cela,卡米洛·何塞·塞拉
Alberto Contador,阿尔伯托·康塔多
Fernando Torres,費蘭度·托利斯
Antonio Banderas,安东尼奥·班德拉斯
Enrique Simonet,恩里克·西蒙奈
Juan Carlos Onetti,胡安·卡洛斯·奥内蒂
Carles Puyol,卡莱斯·普约尔
Margarita de Austria (1480-1530),奥地利的玛格丽特·(萨伏伊公爵夫人)
José Martí,何塞·马蒂
Carme Chacón,卡梅·查孔
Juan de Austria,奧地利的唐胡安
Eugenia de Montijo,歐仁妮·德·蒙提荷
Antoni Tàpies,安東尼·塔皮埃斯
Miguel Delibes,米格爾·戴利貝斯
José Luis Rodríguez Zapatero,何塞·路易斯·罗德里格斯·萨帕特罗
Federico García Lorca,费德里戈·加西亚·洛尔卡
Iker Casillas,伊克尔·卡西利亚斯
David Villa,大卫·比利亚
Jacinto Benavente,哈辛托·贝纳文特
Marc Márquez,馬克·馬爾克斯
Pánfilo de Narváez,潘菲洛·德·纳尔瓦埃斯
Jonathan dos Santos,莊拿芬·杜斯山度士
Jean Reno,尚·連奴
Thiago Alcántara,蒂亚戈·阿尔坎塔拉
Cesc Fàbregas,薩斯克·法比加斯
Xavi Hernández,哈維
Andrés Iniesta,安德烈斯·伊涅斯塔
Isabel Clara Eugenia de Austria,伊莎貝爾·克拉拉·歐亨妮亞
Margarita Teresa de Austria,瑪加麗塔·特蕾莎
Carlos Sastre,卡洛斯·萨斯特雷
Miguel Induráin,米格尔·安杜兰
María de Austria y Portugal,奧地利的瑪麗亞·(1528-1603)
María Ana de Austria (emperatriz del Sacro Imperio Romano Germánico),西班牙的瑪麗亞·安娜
Vicente Guaita,維辛迪·古艾達
Juan Bernat,胡安·贝尔纳特
Catalina de Erauso,卡塔利娜·德埃劳索
Rafa Benítez,拉斐尔·贝尼特斯
Isabel de Valois (reina de España),伊丽莎白·德·法蘭西·(1545年—1568年)
Daniel Sánchez Ayala,丹尼爾·艾耶拉
Gerard Piqué,杰拉德·皮克
Alfonso XIII de España,阿方索十三世
José Manuel Pinto,何塞·曼努埃尔·平托
Julen Lopetegui,祖倫·盧柏迪古
Alonso Berruguete,阿朗索·贝鲁格特
Tomás de Berlanga,托馬斯·德·貝蘭加
Ignacio de Loyola,依納爵·羅耀拉
Sergio González Soriano,塞尔希奥·冈萨雷斯
Augusto Roa Bastos,奥古斯托·罗亚·巴斯托斯
José Raúl Capablanca,何塞·劳尔·卡帕布兰卡
Oriol Junqueras,奧里奧爾·洪克拉斯
Carlos de Austria (príncipe de Asturias),唐·卡洛斯·(阿斯圖里亞斯親王)
David de Gea,大衞·迪基亞
Dani Güiza,丹尼·古爾沙
Eloy Gutiérrez Menoyo,埃洛伊·古铁雷斯·梅诺约
Andrés Guardado,安德烈斯·瓜尔达多
Francisco Pizarro,法蘭西斯克·皮澤洛
Antonio María Rouco Varela,安多尼·瑪利亞·羅烏科·巴雷拉
Vasco Núñez de Balboa,瓦斯科·努涅斯·德·巴尔沃亚
Pierre-Emerick Aubameyang,皮埃尔-埃默里克·奥巴梅扬
Santiago Ramón y Cajal,圣地亚哥·拉蒙-卡哈尔
Pueblo español,西班牙人
David Silva,大衛·席爾瓦
Teresa de Jesús,亞維拉的德蘭
Catalina de Aragón,阿拉貢的嘉芙蓮
Dani Parejo,丹尼尔·帕雷霍
Sergio Canales,沙治奧·簡拿利斯
Juan Carlos I de España,胡安·卡洛斯一世
Fernando Morientes,費蘭度·摩連迪斯
Enrique Iglesias,安立奎·伊格萊西亞斯
Ignacio Camacho (futbolista español),伊拿斯奧·甘馬曹
José de Figueroa y Alonso-Martínez,何塞·德菲格罗亚
Álex Corretja,亚历克斯·科雷查
Álvaro de Figueroa y Alonso-Martínez,阿尔瓦罗·德菲格罗亚
Pepe Reina,佩佩·雷纳
Víctor Valdés,域陀·華迪斯
Pedro Mártir de Anglería,皮特·马特·德安吉拉
Pep Guardiola,佩普·瓜迪奥拉
Manuel Pablo,曼努埃尔·巴勃罗
Bojan Krkić,博揚·柯爾基奇
Pedro (futbolista),佩德罗·罗德里格斯·雷德斯马
David Cal,戴维·卡尔
Antoni Gaudí,安东尼·高迪
Ismael Serrano,意斯梅尔·塞拉諾
Sergio Busquets,塞尔希奥·布斯克茨
Álvaro Morata,艾華路·莫拉達
Francisco Martínez de la Rosa,弗朗西斯科·马丁内斯·德拉罗萨
Manolo Jiménez Jiménez,马诺洛·希门尼斯
Ramón María Narváez,第一代瓦伦西亚公爵拉蒙·马里亚·纳尔瓦埃斯
Mikel Arteta,米克尔·阿尔特塔
Santi Cazorla,桑蒂·卡索拉
Javier Portillo,查維·加西亞·樸迪路
Markel Susaeta,马克尔·苏塞塔
Joan Llaneras,胡安·利亚内拉斯
Jesús Navas,捷西斯·拿華斯
Javi Paredes,查維亞·柏利迪斯
Alberto Bueno,阿爾貝托·布埃諾
Álvaro González Soberón,阿尔瓦罗·冈萨雷斯·索韦龙
Javi Navarro,查維·拿華路
Alfonso Menéndez Vallín,阿方索·梅嫩德斯
Alfredo Di Stéfano,阿尔弗雷多·迪斯蒂法诺
Isaac Cuenca,伊萨克·昆卡
José Callejón,荷西·卡利祖
Fernando Sanz y Martínez de Arizala,费尔南·桑
Iago Aspas,伊亞高·艾斯帕斯
Camilo Cienfuegos,卡米洛·西恩富戈斯
Emiliano Insúa,艾美利安奴·恩素亞
Joaquín Sorolla,华金·索罗拉
Carlos II de Parma,卡洛二世·(帕尔马)
Felipe Reyes,费利佩·雷耶斯
Miguel Ángel Moratinos,米格尔·安赫尔·莫拉蒂诺斯
Quique Sánchez Flores,基克·桑切斯·弗洛雷斯
Juan de Grijalva,胡安·德·格里哈尔瓦
Álex Fernández Iglesias,亞歷克斯·費爾南德茲
Luis Buñuel,路易斯·布努埃尔
Alejandro Cao de Benós de Les,朝鮮一
Josep Maria Subirachs,荷西·瑪利亞·蘇比拉克斯
Isabel II de España,伊莎贝拉二世·(西班牙)
Fausto Delhuyar,福斯托·德卢亚尔
Álvaro Domínguez,阿尔瓦罗·多明格斯·索托
Santiago Calatrava,聖地牙哥·卡拉特拉瓦
Lupe Fuentes,盧佩·芳德斯
Xisco Jiménez,薛斯高·(1986年)
Juan Mata,桑·馬達
Carlos IV de España,卡洛斯四世
Miguel de Unamuno,米蓋爾·德·烏納穆諾
Abraham Minero,阿夫拉姆·米內羅
Paco Montañés,弗朗切斯科·蒙坦尼斯
Cristian Tello,克里斯蒂安·特略
Juan de la Cueva,胡安·德·拉·奎瓦
Lope de Vega,洛佩·德·维加
Pedro Almodóvar,佩德罗·阿尔莫多瓦尔
María Amalia de Sajonia,瑪麗亞·阿瑪莉亞·(薩克森)
Isabel de Borbón-Parma,伊莎貝拉·(帕爾馬郡主)
Juan Ponce de León,胡安·庞塞·德莱昂
Miguel Servet,米格爾·塞爾韋特
Felipe Pedrell,费利佩·佩德雷尔
Michu,米捷
Mikel Balenziaga,米克爾·巴倫齊亞加
Elena de Borbón,艾蓮娜·(西班牙王女)
Aritz Aduriz,阿里特斯·阿杜里斯
Salva Sevilla,薩爾瓦·塞維拉
Benito Floro,贝尼托·弗洛罗
Juan Carlos Ferrero,胡安·卡洛斯·费雷罗
Isaac Albéniz,伊萨克·阿尔贝尼斯
Emilio Mola,埃米利奥·莫拉
Roberto Acuña,杜路·阿肯拿
Jesús Franco,傑斯·佛朗哥
Jaime Alguersuari,哈伊梅·阿古尔苏阿里
Fernando Llorente,費蘭度·路蘭迪
Gonzalo Castro (futbolista alemán),干沙路·卡斯度
Juana de Austria,奧地利的喬安娜
Max Aub,马克斯·奥夫
Iñaki Urdangarin,伊納基·烏丹加林
Gabri García,加夫里
Francisco de Asís de Borbón,弗朗西斯科·(加的斯公爵)
Mikel Alonso,米高·阿朗素
Francisco Franco,弗朗西斯科·佛朗哥
Alejandro González Iñárritu,阿利安卓·崗札雷·伊納利圖
Carlos Marchena,卡洛斯·马切纳
Adelardo Rodríguez,阿德拉多·罗德里格斯
Manolo Escobar,馬諾洛·埃斯科瓦爾
Fernando VII de España,费尔南多七世
Bartolomé Colón,巴爾托洛梅奧·哥倫布
Alfonso de Orleans-Borbón y Ferrara-Pignatelli,加列拉公爵阿方索·德·奧爾良-波旁
Matilde Camus,玛蒂尔德·卡缪
Pablo Sarabia,巴勃羅·薩拉比亞
Javier Saviola,哈维尔·萨维奥拉
Pedro Calderón de la Barca,佩德罗·卡尔德隆·德·拉·巴尔卡
Amancio Ortega,阿曼西奥·奥尔特加
Francisco de Toledo,福朗西斯科·托萊多
Magaly Carvajal,玛加莉·卡瓦哈尔
Santiago Casares Quiroga,桑迪亚戈·卡萨雷斯·基罗加
Josemaría Escrivá de Balaguer,施禮華
Juana I de Castilla,胡安娜·(卡斯蒂利亚)
Juan Antonio Samaranch,胡安·安东尼奥·萨马兰奇
Juan de la Cierva,胡安·德拉谢尔瓦
Jordi Alba,佐迪·艾巴
Louis Blanc,路易·布朗
Nahmánides,納賀蒙尼德
Juan Antonio Pizzi,祖安·安東尼奧·比斯
Gerard Deulofeu,杰拉德·德乌洛费乌
Iván Navarro Pastor,伊萬·納瓦羅
Luis Salom,路易斯·薩羅姆
Alfonso de Portago,阿方索·德波塔戈
Dani Alves,丹尼尔·阿尔维斯
Marc Gené,马克·吉尼
Arantxa Sánchez Vicario,阿蘭查·桑切斯·維卡里奧
Joan Capdevila Méndez,霍安·卡普德维拉
David Ferrer,大卫·费雷尔
Pedro Cea,何塞·佩德羅·塞阿
Benito Pérez Galdós,贝尼托·佩雷斯·加尔多斯
Francisco Hernández de Córdoba (explorador de Yucatán),弗朗西斯科·埃爾南德斯·德·科爾多瓦·(尤卡坦征服者)
Josemi González,荷西美
Bartolomé Esteban Murillo,巴托洛梅·埃斯特萬·牟利羅
Fran Vázquez,弗兰·瓦斯奎兹
Cani (futbolista),魯本·加西亞
Jon Andoni Goikoetxea,伊昂·安东尼·戈伊科切亚
Fernando Verdasco,費爾南多·貝爾達斯科
Luis Váez de Torres,路易斯·瓦斯·德·托雷斯
Ramón Serrano Suñer,拉蒙·塞拉诺·苏涅尔
Paco Soler,帕科·索莱尔
Fran (futbolista nacido en 1969),弗兰·冈萨雷斯
Juan Aguilera Herrera,胡安·阿吉莱拉
Rafael Muñoz Pérez,拉斐尔·穆尼奥斯
Fernando San Emeterio,費爾南多·聖埃米迪里奧
Aleix Vidal,阿萊克斯·比達爾
José Ángel Crespo,何塞·安赫尔·克雷斯波
Rocío Molina Cruz,蘿西歐·莫林那
Casemiro,卡斯米路
Turón (Granada),图龙·(格拉纳达省)
Arnau Puig,阿尔瑙·普奇
Fernando Fernández Martín,费尔南多·费尔南德斯·马丁
Gregorio Manzano,格雷戈里奥·曼萨诺
Alberto Ullastres,阿尔韦托·卡尔沃
Carlos Roca,卡洛斯·罗加
José Blanco López,何塞·布兰科·洛佩斯
Juankar,胡安·卡洛斯·(足球運動員)
Andrés Segovia,安德烈斯·塞戈维亚
Raymond Domenech,雷蒙·多梅内克
Miguel Primo de Rivera,米格尔·普里莫·德·里维拉
Alejandro Grimaldo,亞力斯·格里馬爾多
Carles Rexach,卡爾斯·雷克薩奇
Pau Gasol,保罗·加索尔
Xabi Prieto,沙比·皮亞圖
Carlos Gurpegi,卡洛斯·古尔佩吉
Valentín Gómez Farías,巴伦廷·戈麦斯·法里亚斯
Gabi Fernández,加比·(足球运动员)
Fernando VI de España,斐迪南六世
María Estela Martínez de Perón,伊莎貝爾·裴隆
Mario Gaspar,馬里奥·加斯帕爾·佩雷茲
Jonathan Pereira,約拿坦·佩雷拉·羅德里格斯
Rubén Rochina,魯本·羅切納
Felipe VI de España,費利佩六世
Carlos Jiménez Sánchez,卡洛斯·希门尼斯
Jesé Rodríguez,謝斯·洛迪古斯
David Marrero,大衛·馬雷羅
Daniel Ballart,丹尼尔·巴利亚尔特
Alfredo Kraus,阿尔弗雷多·克劳斯
Jaume Collet-Serra,贊美·哥勒-施拉
Jonathan Aspas,約拿坦·阿斯帕斯
Roberto Martínez Montoliu,罗伯托·马丁内斯
Alonso de Ercilla,阿隆索·德·埃尔西利亚
Javier Moscoso,哈维尔·莫斯科索
Jorge de Oteiza,豪尔赫·奥泰萨
Carlos Moyá,卡洛斯·莫亚
Manuel de Falla,曼努埃尔·德·法雅
Joaquín Caparrós,华金·卡帕罗斯
Sergio Llull,塞尔希奥·柳利
Carlos de Borbón y Austria-Este,卡洛斯·(马德里公爵)
Alberto Lopo,阿尔贝托·洛波
Benicio del Toro,班尼西歐·狄奧·托羅
Marcos Senna,马科斯·塞纳
Pablo Prigioni,巴勃罗·普里吉奥尼
Manu del Moral,文奴·迪摩奴
Ernesto Valverde,埃内斯托·巴尔韦德
Ambrosio Spínola,安布羅西奧·斯皮諾拉
Javier Fernández Fernández,哈维尔·费尔南德斯·费尔南德斯
José Antonio Griñán,何塞·安东尼奥·格里尼安
Maverick Viñales,馬維里克·維那勒斯
Letizia Ortiz,莱蒂西亚·(西班牙王后)
Eduardo Noriega,愛德華多·諾列加
Edu Albácar,埃杜·阿爾巴卡爾
Javi Martínez,查維·馬天尼斯
Rafael del Riego,拉斐爾·德爾列戈
Ibai Gómez,伊拜·戈麥斯
Guti (futbolista),何塞·马利亚·古铁雷斯·埃尔南德斯
Adrián López Rodríguez,阿德里安·洛佩斯·罗德里格斯
Carlos de Borbón-Dos Sicilias (1870-1949),卡洛斯·(波旁-兩西西里)
Alfonso de Borbón y Battenberg,波旁的阿方索·(1907年—1938年)
Luis Doreste,路易斯·多雷斯特
Rubén Castro,魯賓·卡斯度
Sergio Ballesteros,塞尔吉奥·巴列斯特罗斯
Raúl de Tomás,勞爾·德·托馬斯
Antonio Millán-Puelles,安東尼奧·米良
Gustavo Adolfo Bécquer,古斯塔沃·阿道夫·贝克尔
Eduardo Dato,爱德华多·达托
Adolfo Nicolás Pachón,倪勝民
Carlos Arias Navarro,卡洛斯·阿里亚斯·纳瓦罗
Juan Belencoso,祖安·巴倫古素
José Enrique Varela,何塞·恩里克·巴莱拉
Salvador Artigas,萨尔瓦多·阿提加斯
Victoria Abril,维多利亚·阿布利尔
Manuel Azaña,曼努埃尔·阿萨尼亚
Pascual Cervera y Topete,帕斯夸爾·塞韋拉-托佩特
Xabi Alonso,哈維·阿隆索
Ricardo Blázquez,利則·布拉斯克斯·佩雷斯
Juan de Herrera,胡安·德·埃雷拉
Miguel Ángel Moyá,米基爾·安祖·莫亞
Pedro Luis Farnesio,皮埃爾·路易吉·法爾內塞
Baltasar Gracián,巴尔塔沙·葛拉西安
Raül López,劳尔·洛佩斯
Manuel Amorós,曼努埃尔·阿莫罗
Miguel Muñoz,米基爾·文奴斯
Juan N. Méndez,胡安·内波穆塞诺·门德斯
Juan Manuel Asensi,胡安·阿森西
Pau Ribas,保·列巴斯
Joaquim Rifé,华金·里费
Ramón Eguiazábal,拉蒙·埃吉亚萨瓦尔
Miguel Ángel Corona,科羅納
Melchor Cano,梅尔希奥·卡诺
Alfonso Alonso,阿方索·阿隆索
Torcuato Fernández-Miranda,托尔夸托·费尔南德斯-米兰达
Juan Pablo Pujol,胡安·鞄·普约尔
Juan Sebastián Elcano,胡安·塞巴斯蒂安·埃尔卡诺
Francisco de Quevedo,弗朗西斯科·德·戈维多
María Sánchez Lorenzo,瑪麗亞·桑切斯·洛倫佐
Luis Molowny,路易斯·莫洛尼
Santiago Ventura,聖地亞哥·文圖拉
Jaime de Borbón y Borbón-Parma,海梅·(马德里公爵)
Miguel Palanca,米基爾·帕蘭卡
Alberto Entrerríos,阿尔韦托·恩特雷里奥斯
Miguel Linares,米格尔·利纳雷斯
Pablo Sarasate,帕布罗·德·萨拉萨蒂
Francesc Arnau,弗朗西斯科·阿尔诺
Pedro Sarmiento de Gamboa,佩德罗·甘博阿·德·萨尔米恩托
José Canalejas,何塞·卡纳莱哈斯·门德斯
Gregorio Álvarez,格雷戈里奥·阿尔瓦雷斯
Fernando Hierro,费尔南多·耶罗
José Manuel Jurado,荷西·文奴爾·祖拉度
Julio Medem,胡立歐·麥登
Pedro de San José de Betancur,伯多祿·德·貝當古
Albert Rocas,阿尔韦特·罗加斯
Jesús Caldera,赫苏斯·卡尔德拉
Berni Rodríguez,贝尔尼·罗德里格斯
Sergio Sánchez Ortega,塞尔希奥·桑切斯·奥特加
Alberto Urdiales,阿尔韦托·乌迪亚莱斯
Ismael Ruiz Salmón,伊斯梅尔·鲁伊斯
José Villalonga,何塞·比利亚隆加·略伦特
Juan Antonio Bayona,胡安·安东尼奥·巴亚纳
János Németh,内梅特·亚诺什
Raúl Baena,魯爾·巴爾拿
Bartolomé de las Casas,巴托洛梅·德拉斯·卡薩斯
Antonio Puerta,安東尼奧·佩亞達
Víctor Ruiz Torre,域陀·雷斯
Francisco de Orellana,法蘭西斯科·德·奧雷亞納
Paquillo Fernández,帕基略·费尔南德斯
Eusebio Sacristán,尤西比奧·沙基斯坦
Diego de Almagro,迭戈·德·阿爾馬格羅
Andrés Manuel del Río,安德烈·曼努埃尔·德尔里奥
José Javier Hombrados,何塞·哈维尔·翁布拉多斯
Juan Ignacio Cirac Sasturain,胡安·伊格纳西奥·西拉克·萨斯图赖因
Juanmi Jiménez,胡安米
Valentí Massana,巴伦蒂·马萨纳
Javier Fernández López,哈維爾·費南德茲
Domingo Báñez,多明戈·巴涅斯
David Barrufet,戴维·巴鲁费特
Mario Suárez,马里奥·苏亚雷斯·马塔
Francisco de Zurbarán,弗朗西斯科·德·苏巴朗
Juanfran Torres,胡安·弗朗西斯科·托雷斯
Álvaro Negredo,艾華路·尼格度
Carlos Luis de Borbón y Braganza,卡洛斯·路易斯·德·波旁
Carlos de Borbón-Dos Sicilias,卡洛斯·(卡拉布里亞公爵)
Jonathan Soriano,約拿坦·索里亞諾
Carlos Prieto Martos,卡洛斯·普列托
Pau Casals,帕乌·卡萨尔斯
Rafael Rullán,拉斐尔·鲁利安
James Rodríguez,哈梅斯·罗德里格斯
Julen Aguinagalde,胡伦·阿吉纳加尔德
Eugenio Montero Ríos,尤金尼奥·蒙特罗·里奥斯
José de Espronceda,何塞·德·埃斯普龍塞達
Tomás Carbonell,托马斯·卡沃内利
Buenaventura Durruti,布埃纳文图拉·杜鲁蒂
Iago Herrerín,亚戈·埃雷林
Vicente del Bosque,比森特·德尔博斯克
Marc López,马克·洛佩斯·(网球运动员)
Ander Iturraspe,安德尔·伊图拉斯佩
Jordi Mollà,詹迪·莫拉
Dragan Škrbić,德拉甘·什克尔比奇
Ricky Rubio,里奇·魯比奧
Andrés Palop,安德雷斯·帕洛普
Luis I de España,路易斯一世·(西班牙)
Pedro Munitis,佩德罗·穆尼蒂斯
Enrique Vila-Matas,恩里克·维拉-马塔斯
Conde-duque de Olivares,加斯帕尔·德·古兹曼
Carlos Sainz,卡洛斯·塞恩斯
Bruno Soriano,布魯諾·索里亞諾
Juan Bautista Benlloch,胡安·本略奇-維沃
Ricardo Madrazo,里卡多·马德拉索
Aitor Karanka,艾托·卡兰卡
Jacinto Quincoces,哈辛托·金科塞斯
Sergio Corino,塞尔希奥·科里诺
Alexéi Shírov,阿列克谢·希洛夫
Leonor de Borbón,阿斯图里亚斯女亲王莱昂诺尔
Albert Riera Ortega,埃尔伯特·里拉
Tomás Luis de Victoria,湯馬斯·路易斯·德·維多利亞
Juanito Gutiérrez,胡安·古铁雷斯·莫雷诺
Andoni Zubizarreta,安多尼·苏维萨雷塔
Rodrigo Moreno Machado,罗德里戈·莫雷诺·马查多
Jimmy Jump,吉米跳
Rubén de la Red,鲁本·德拉雷德
Miguel López-Alegría,迈克尔·洛佩斯-阿莱格里亚
Rafael López Gómez,拉菲尔·洛佩斯·戈麦斯
Jesús Padilla Gálvez,赫苏斯·帕迪利亚·加尔韦斯
Toribio de Benavente,托里比奥·德贝纳文特·莫托里尼亚
Juan Luis Mora,胡安·路易斯·莫拉
Roberto Solozábal,罗伯托·索洛萨瓦尔
Juan Bautista Aznar,胡安·包蒂斯塔·阿斯纳尔-卡瓦尼亚斯
Gerardo García León,謝拉度·加西亞·利安
Tommy Robredo,托米·羅布雷多
Rubén Garabaya,鲁文·加拉瓦亚
José Sánchez Guerra,何塞·桑切斯·古埃拉
Manuel Losada Villasante,曼努埃尔·洛萨达·比利亚桑特
Adolfo Suárez,阿道弗·苏亚雷斯
Francisco Hernández de Córdoba (fundador de Nicaragua),弗朗西斯科·埃爾南德斯·德·科爾多瓦·(尼加拉瓜創立者)
Pablo Andújar,巴勃羅·安杜哈爾
Míchel Salgado,米歇尔·萨尔加多
Andreu Fontàs,安德鲁·丰塔斯
Joseba Llorente,荷西巴·路蘭迪
María de las Mercedes de Orleans,奧爾良公主梅塞德斯
Roberto Soldado,羅拔圖·蘇達度
Raúl Fabiani,魯爾·法比安尼
Vicente Martín y Soler,比森特·马丁-索勒
Fernando Abril Martorell,费尔南多·阿夫里尔·马托雷尔
Antoni Ramallets,安东尼奥·拉马莱茨
Adrián Menéndez,艾德里安·梅嫩德斯-馬塞拉斯
Adrián González Morales,阿德里安·岡薩雷斯·(1988年)
Juan Ramón López Caro,胡安·拉蒙·洛佩斯·卡罗
Carlos Hugo de Borbón-Parma,卡洛斯·烏戈·(帕爾馬)
Anabel Medina,安娜貝爾·梅迪娜·加里格斯
Vicente Blasco Ibáñez,比森特·布拉斯科·伊巴涅斯
María Cristina de Habsburgo-Lorena,奧地利的瑪麗亞·克里斯蒂娜·(1858年—1929年)
Luis de Góngora,路易斯·德·贡戈拉·伊·阿尔戈特
Claudio Acquaviva,克劳迪奥·阿奎维瓦
Joan Martí i Alanis,祖安·馬丁·艾蘭尼斯
José Antonio Hermida,何塞·安东尼奥·埃米达
Carlos Westendorp,卡洛斯·韦斯滕多普
Pío Baroja,皮奥·巴罗哈
Carmen Polo,卡门·波罗
Don Quijote (personaje),唐吉訶德·(角色)
David López-Zubero,戴维·洛佩斯-苏韦罗
Virginia Ruano,比希尼婭·魯阿諾·帕斯夸爾
María Luisa de Orleans,瑪麗-路易絲·德·奧爾良
Felipe I de Parma,菲利波一世·(帕爾馬公爵)
Manuel Roxas,曼努埃爾·羅哈斯·(菲律賓)
Luis Enrique Martínez García,路易斯·恩里克
Jeb Bush,傑布·布希
María Luisa de Parma,帕爾馬的瑪麗亞·路易莎
María Luisa de Borbón,瑪麗亞·路易莎·(西班牙)
Bernardino de Sahagún,贝尔纳迪诺·德萨阿贡
María Vladímirovna Románova,瑪麗亞·弗拉基米洛夫娜·羅曼諾娃
Juancho Pérez,胡安·佩雷斯
José Calvo Sotelo,何塞·卡尔沃·索特洛
Luis García Berlanga,路易斯·加西亚·贝尔兰加
Alberto Zapater,阿爾貝托·薩帕特爾
Cristóbal Balenciaga,克里斯托瓦爾·巴倫西亞加
Manuel Lucena,曼努埃尔·卢塞纳
Fernando de Alarcón,埃尔南多·德·阿拉孔
Ignasi Miquel,伊格纳西·米克尔
Jaime Mayor Oreja,海梅·马约尔·奥雷哈
Salvador de Madariaga,萨尔瓦多·德·马达里亚加
Felipe IV de España,費利佩四世
"Francisco de Sandoval y Rojas, I duque de Lerma",弗朗西斯科·德·桑多瓦爾
Sergi Roberto,塞尔吉·罗贝托
Ana de Armas,安娜·德哈瑪斯
Gonzalo de Borbón y Dampierre,岡薩洛·(阿基坦公爵)
