México,メキシコ
Academia Mexicana de Artes y Ciencias Cinematográficas,メキシコ映画芸術科学アカデミー
Academia de San Carlos,サン・カルロス・アカデミー
Meridiano 105 oeste,西経105度線
Guarijíos,グァリヒオ族
Baja California,バハ・カリフォルニア州
ixcateco,イチャテコ族
paipai,パイパイ語
mayo,マヨ語
Villahermosa,ビヤエルモサ
Anexo:Gran Premio de México de 1965,1965年メキシコグランプリ
Anexo:Gran Premio de México de 1963,1963年メキシコグランプリ
Anexo:Gran Premio de México de 1964,1964年メキシコグランプリ
Niños Héroes,ニーニョス・エロエス
Segundo Imperio Mexicano,メキシコ第二帝政
Central Nuclear,ラグナベルデ原子力発電所
Sierra de San Pedro Mártir,シエラ・デ・サン・ペドロ・マルティル
Río Colorado,コロラド川
México en los Juegos Olímpicos de Pekín 2008,2008年北京オリンピックのメキシコ選手団
México en los Juegos Olímpicos de Vancouver 2010,2010年バンクーバーオリンピックのメキシコ選手団
México en los Juegos Olímpicos de París 1900,1900年パリオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Londres 2012,2012年ロンドンオリンピックのメキシコ選手団
Zihuatanejo,シワタネホ
Guerrero,ゲレーロ州
México en los Juegos Olímpicos de Los Ángeles 1932,1932年ロサンゼルスオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Ámsterdam 1928,1928年アムステルダムオリンピックのメキシコ選手団
México en los Juegos Olímpicos de París 1924,1924年パリオリンピックのメキシコ選手団
Ríos de México,メキシコの河川の一覧
matrimonio entre personas del mismo sexo en México,メキシコにおける同性結婚
Miss Universo 1978,ミス・ユニバース1978
español,スペイン語
Miss Universo 1972,ミス・ユニバース1972
Miss Universo 1971,ミス・ユニバース1971
Miss Universo 1970,ミス・ユニバース1970
Miss Universo 1977,ミス・ユニバース1977
Cuernavaca,クエルナバカ
Aeroméxico Connect,アエロメヒコ・コネクト
Aeroméxico,アエロメヒコ航空
Aeropuerto Internacional De Torreón Francisco Sarabia,フランシスコ・サラビア国際空港
Estadio de Béisbol Monterrey,エスタディオ・デ・ベイスボル・モンテレー
Lago de Xochimilco,ショチミルコ湖
Sahuaripa,サワリパ
Tenejapa,テネハパ
Explosiones de Guadalajara de 1992,グアダラハラ爆発事故
Anexo:Volcanes de México,メキシコの火山の一覧
Tuxtla Gutiérrez,トゥストラ・グティエレス
San Luis Potosí,サン・ルイス・ポトシ
Tumbalá,トゥンバラ
Golfo de Campeche,カンペチェ湾
Guanajuato,グアナフアト
Revolución Mexicana,メキシコ革命
Naucalpan de Juárez,ナウカルパン
Chichén Itzá,チチェン・イッツァ
Yucatán,ユカタン州
Estado de Veracruz,ベラクルス州
Chilpancingo de los Bravo,チルパンシンゴ
México en los Juegos Olímpicos de Lillehammer 1994,1994年リレハンメルオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Albertville 1992,1992年アルベールビルオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Londres 1948,1948年ロンドンオリンピックのメキシコ選手団
Zamora de Hidalgo,サモーラ・デ・イダルゴ
Culiacán,クリアカン
Uxmal,ウシュマル
San Francisco de Campeche,カンペチェ
Sierra Madre Oriental,東シエラマドレ山脈
México en los Juegos Olímpicos de Salt Lake City 2002,2002年ソルトレークシティオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Atenas 2004,2004年アテネオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Sankt-Moritz 1928,1928年サンモリッツオリンピックのメキシコ選手団
Zapopan,サポパン
peso mexicano,メキシコ・ペソ
Chihuahua,チワワ (チワワ州)
Toluca de Lerdo,トルーカ
gastronomía de México,メキシコ料理
Hierve el Agua,イエルベ・エル・アグア
Tlaquepaque,トラケパケ
Nezahualcóyotl,ネツァワルコヨトル
Río Bravo,リオ・グランデ川
Cuauhtémoc,シウダー・クアウテモック
México en los Juegos Olímpicos de Atlanta 1996,1996年アトランタオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Berlín 1936,1936年ベルリンオリンピックのメキシコ選手団
Colima,コリマ州
Aerounion,アエロユニオン
Partido Verde Ecologista de México,環境主義緑の党
Secretaría de Turismo de México,メキシコ政府観光局
selección de fútbol sub-17 de México,U-17サッカーメキシコ代表
Torreón,トレオン
Cancún,カンクン
Ciudad de México,メキシコシティ
Tepic,テピク
Morelos,モレロス州
Colima,コリマ
Chicxulub Puerto,チクシュルーブ
Tigres de Quintana Roo,キンタナロー・タイガース
México en la Copa Mundial de Fútbol de 2006,2006 FIFAワールドカップメキシコ代表
yidis,イディッシュ語
Placa Norteamericana,北アメリカプレート
vino de México,メキシコワイン
Los Zetas,ロス・セタス
Álamos,アラモス (ソノラ州)
Paricutín,パリクティン山
Xalapa-Enríquez,ハラパ
Anexo:Saltos en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの飛込競技
Gran Premio de México,メキシコグランプリ
Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピック
Mérida,メリダ (ユカタン州)
Durango,ドゥランゴ州
Autódromo Hermanos Rodríguez,エルマノス・ロドリゲス・サーキット
Santiago de Querétaro,ケレタロ
Aeropuerto Internacional General Servando Canales,ヘネラル・セルバンド・カナレス国際空港
Estatuilla de Tuxtla,トゥシュトラの小像
Frontera entre Guatemala y México,グアテマラ・メキシコ国境
Zona Metropolitana de Veracruz,ベラクルス都市圏
Anexo:Gran Premio de México de 1990,1990年メキシコグランプリ
Anexo:Gran Premio de México de 1991,1991年メキシコグランプリ
Anexo:Gran Premio de México de 1992,1992年メキシコグランプリ
Campeonato Mundial de Lucha de 1978,1978年レスリング世界選手権
Veracruz,ベラクルス
La Paz,ラパス (バハ・カリフォルニア・スル州)
selección de fútbol de México,サッカーメキシコ代表
Universidad de Guadalajara,グアダラハラ大学
Fosa Mesoamericana,中央アメリカ海溝
Cucapá,ココパ族
Policía Federal,連邦警察 (メキシコ)
Agua Prieta,アグア・プリエタ
Batalla de Camarón,カマロンの戦い
Ecatepec de Morelos,エカテペック
Guadalajara,グアダラハラ
zapoteca,サポテク語
Jalisco,ハリスコ州
Michoacán,ミチョアカン州
Querétaro,ケレタロ州
Incidente de Tampico,タンピコ事件
Vuelta a Chihuahua,ブエルタ・チワワ・インテルナシオナル
Escudo Nacional de México,メキシコの国章
San Luis Potosí,サン・ルイス・ポトシ州
Zacatecas,サカテカス州
Ciudad Acuña,アクーニャ
chiricahua,チリカワ語
Lago de Texcoco,テスココ湖
Quintana Roo,キンタナ・ロー州
Pachuca de Soto,パチューカ
Tamaulipas,タマウリパス州
Apaxco,アパスコ
Nayarit,ナヤリット州
Anexo:Halterofilia en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのウエイトリフティング競技
Anexo:Gran Premio de México de 1968,1968年メキシコグランプリ
Motozintla,モトシントラ
Mesoamérica,メソアメリカ
Anexo:Gran Premio de México de 1986,1986年メキシコグランプリ
Anexo:Gran Premio de México de 1967,1967年メキシコグランプリ
Anexo:Gran Premio de México de 1970,1970年メキシコグランプリ
Anexo:Gran Premio de México de 1969,1969年メキシコグランプリ
Tláhuac,トラウアック
Tlalpan,トラルパン
"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",イベロアメリカ諸国機構
Miss Universo 1962,ミス・ユニバース1962
Miss Universo 1964,ミス・ユニバース1964
Miss universo 1965,ミス・ユニバース1965
Miss Universo 1963,ミス・ユニバース1963
chocolate caliente,ホット・チョコレート
Anexo:Boxeo en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのボクシング競技
Istmo de Tehuantepec,テワンテペク地峡
Nuevo León,ヌエボ・レオン州
Puebla,プエブラ州
Fonovisa Records,フォノビサ・レコード
Uruapan,ウルアパン
Universidad Nacional Autónoma de México,メキシコ国立自治大学
Dzibilchaltún,ズィビルチャルトゥン
Grijalva,グリハルバ川
Pirámide del Sol,太陽のピラミッド
Pirámide de la Luna,月のピラミッド
Universidad Autónoma de Nuevo Sur,ヌエボ・レオン州立大学
Golfo de México,メキシコ湾
Senado de México,元老院
náhuatl,ナワトル語
Las Estrellas,カナル・デ・ラス・エストレージャス
Hidalgo,イダルゴ州
Club de Fútbol América,クラブ・アメリカ
Chetumal,チェトゥマル
maya,ユカテコ語
matrimonio entre personas del mismo sexo en el Distrito Federal de México,メキシコシティにおける同性結婚
Ciudad Juárez,シウダー・フアレス
Lenguas chinantecas,チナンテク語族
mazateca,マザテック語
otomí,オトミ語
Árbol del Tule,トゥーレの木
Plan DN-III-E,プラン・DN-III-E
San José Chinantequilla,サン・ノゼ・チナンテク
Idioma quiché,キチェ語
Mayos de Navojoa,マジョス・デ・ナボホア
Citlaltépetl,オリサバ山
ISO 3166-2:MX,ISO 3166-2:MX
Hospicio Cabañas,オスピシオ・カバーニャス
Sierra Madre de Chiapas,シエラマドレ
criollo afroseminola,アフロ・セミノール語
apache occidental,サンカルロス・アパッチ語
Tabasco,タバスコ州
Tampico,タンピコ
Aeropuerto Internacional de Mar de Cortés,プエルト・ペニャスコ国際空港
Complejo Cantarell,カンタレル油田
Capilla abierta,カピージャ・アビエルタ
Isla Espíritu Santo,エスピリトゥサント島
México en los Juegos Olímpicos de Sarajevo 1984,1984年サラエボオリンピックのメキシコ選手団
Altamira,アルタミラ
Bahía de Sebastián Vizcaíno,セバスティアン・ヴィスカイノ湾
Alvarado,アルバラード
Teotihuacan,テオティワカン
Team Rebaque,レバーク
Corona regional del centro de México,メキシコシティ・メガロポリス
Observatorio Astrofísico Nacional de Tonantzintla,トナンツィントラ天文台
Las Posadas,ラ・ポサーダス
Aeropuertos y Servicios Auxiliares,アエロプエルトス・イ・セルビシオス・アウクシリアレス
Aguascalientes,アグアスカリエンテス州
Anexo:Hípica en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの馬術競技
Zona Rosa de la Ciudad de México,ソナ·ロサ
país neutral,中立国
Sinaloa,シナロア州
Rambler Classic,ランブラー・クラシック
Guerra contra el narcotráfico en México,メキシコ麻薬戦争
Río Sarabia,サラビア川
Estado de Oaxaca,オアハカ州
Acapulco de Juárez,アカプルコ
Heroica Ciudad de Cananea,カナネア
península de California,バハ・カリフォルニア半島
Campeche,カンペチェ州
yaqui,ヤキ語
lengua de señas yucateca,ユカテク・マヤ手話
Municipio de Tequixquiac,テキシキアック
Trópico de Cáncer,北回帰線
Tlaxcala,トラスカラ州
Primer Imperio Mexicano,メキシコ第一帝政
Monterrey,モンテレイ
tarahumaras,タラフマラ族
Aeropuerto Nacional de Guerrero Negro,ゲレロ・ネグロ空港
Estado de México,メヒコ州
véneto,ヴェネト語
Chamula,チャムーラ
Disa,ディサ・レコード
Calakmul,カラクムル
Desierto de Colorado,コロラド砂漠
Carretera Panamericana,パンアメリカンハイウェイ
Palenque,パレンケ
cucapá,ココパ語
jacalteco,ハカルテク語
mam,マム語
Idioma tepehuán,テペワン語
Toniná,トニナー
Carrera Panamericana,カレラ・パナメリカーナ・メヒコ
Casa Luis Barragán,ルイス・バラガン邸と仕事場
Secretaría de la Defensa Nacional de México,国防省 (メキシコ)
Arquidiócesis de Yucatán,ユカタン司教
Popocatépetl,ポポカテペトル山
chol,チョル語
chuj,チュフ語
ixil,イシル語
Orden de las Escuelas Pías,エスコラピオス修道会
Miss Universo 1989,ミス・ユニバース1989
Palaú,パラウ (メキシコ)
Sierra del Pinacate,ピナカテ火山
HEINEKEN México,クアウテモック・モクテスマ・ブルワリー
Frontera entre Estados Unidos y México,アメリカ＝メキシコ国境
Bahía Adair,アダイル湾
Isla de Jaina,ハイナ島
Meridiano 90 oeste,西経90度線
Pasaporte mexicano,メキシコ旅券
Chiapa de Corzo,チアパデコルソ
Medalla Belisario Domínguez,ベリサリオ・ドミンゲス名誉勲章
Cronología de la historia de México,メキシコの年表
Secretaría de Medio Ambiente y Recursos Naturales de México,メキシコ天然資源・環境省
husos horarios de México,メキシコ時間
Puebla de Zaragoza,プエブラ
Diablos Rojos del México,メキシコシティ・レッドデビルズ
Fuerzas Armadas de México,メキシコ軍
Mexcaltitán,メスカルティタン
Pericos de Puebla,プエブラ・パロッツ
Club Celaya,セラヤFC
Miss Universo 1993,ミス・ユニバース1993
Tulum,トゥルム
Eje Neovolcánico,トランスメキシコ火山帯
Cofre de Perote,コフレ・デ・ペロテ
quekchí,ケクチ語
Téenek,ワステク語
Idioma Wixarika,ウイチョル語
lacandón,ラカンドン語
Jaltenco,ハルテリコ
Nueva Vizcaya,ヌエバ・ビスカヤ
Islas Marietas,マリエタ諸島
Happy Science,幸福の科学
Batalla de Puebla,プエブラの会戦
Chamula,チャムーラ
Acteal,アクテアル
Frontera,フロンテラ
Club deportivo Guadalajara,CDグアダラハラ
Anexo:Medallero de los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのメダル受賞数一覧
Parque nacional Lagunas de Montebello,モンテベジョ湖群国立公園
Chapultepec,チャプルテペク
El Bajío,バヒーオ
San Juan Bautista Tuxtepec,サン・フアン・バウティスタ・トゥクステペク
Ciudad López Mateos,シウダー・ロペス・マテオス
Guanajuato,グアナフアト州
seri,セリ語
tektiteko,テクティテコ語
tojolabal,トホラバル語
Ligas Menores de Béisbol,マイナーリーグ
Amecameca,アメカメカ
Cosamaloapan,コサマロアパン
Tres Zapotes,トレス＝サポーテス
Juegos Parapanamericanos de 1999,1999年パラパンアメリカン競技大会
Pulque,プルケ
Alfabeto de Landa,ランダのアルファベット
Monte Albán,モンテ＝アルバン
Tamuín,タムイン
El Siglo de Torreón,エル・シグロ・デ・トレオン
Secretaría de Relaciones Exteriores de México,外務省
Coatzacoalcos,コアツァコアルコス
acateco,アカテク語
Idioma amuzgo,アムスゴ語
chontal de Tabasco,チョンタル語
distribución geográfica del idioma español,スペイン語圏
Auditorio Nacional,ナショナル・オーディトリアム
Universidad de Monterrey,モンテレイ大学
Algodoneros de Guasave,アルゴドネロス・デ・グアサベ
Yaquis de Ciudad Obregón,ヤキス・デ・オブレゴン
Cemex,セメックス
Cempoala,センポアラ
Centro de Investigación y Docencia Económicas,経済教育研究センター
Centro de Investigación y Seguridad Nacional,国家安全調査局
Liga ARCO Mexicana del Pacífico,リーガ・メヒカーナ・デル・パシフィコ
Salinas,サリナス・デ・イダルゴ
Batalla de San Juan de Ulúa,ベラクルスの戦い (1838年)
Sisal,シサル
Premio Nacional de Ciencias y Artes,国家芸術科学賞
Xitle,シトレ
Grupo Modelo,グルポ・モデロ
Río Fuerte,フエルテ川
Partido del Siglo,世紀の試合
chicha,チチャ
.mx,.mx
entidad territorial administrativa de México,メキシコの州
mayas,マヤ人
Castillo de Chapultepecec,チャプルテペク城
Isla San Benedicto,サン・ベネディクト島
Desierto de Yuma,ユマ砂漠
XVI Conferencia sobre Cambio Climático,第16回気候変動枠組条約締約国会議議
Río Conchos,コンチョス川
Gran desierto de Altar,アルタル大砂漠
Orden Mexicana del Águila Azteca,メキシコ・アギラ・アステカ勲章
Apatzingán de la Constitución,アパツインガン・デ・ラ・コンスティトゥシオン
purépecha,タラスコ語
Idioma tarahumara,タラフマラ語
tsotsil,ツォツィル語
Mazatlán,マサトラン
Anexo:Ciudades más pobladas de México,メキシコの都市の一覧
Baja California Sur,バハ・カリフォルニア・スル州
Tijuana,ティフアナ
Volaris,ボラリス
Santuario de ballenas de El Vizcaíno,エル・ビスカイノ生物圏保護区
Tiquicheo de Nicolás Romero,ティキチェオ
Victoria de Durango,ドゥランゴ (ドゥランゴ州)
Museo Nacional de Antropología,メキシコ国立人類学博物館
chiapaneco,チアパネック語
San Cristóbal de las Casas,サン・クリストバル・デ・ラス・カサス
Brote de cólera en Haití,ハイチのコレラ流行
América Móvil,アメリカ・モービル
San Luis Fútbol Club,サン・ルイスFC
Club Tijuana,クラブ・ティフアナ
Final de la Copa Mundial de Fútbol de 1970,1970 FIFAワールドカップ・決勝
Primera República Federal,メキシコ合衆国 (19世紀)
Comala,コマラ
Comic Relief,コミック・リリーフ
Interjet,インテルジェット
tequila,テキーラ
Copa Mundial de Fútbol Juvenil de 1983,1983 FIFAワールドユース選手権
Isla Clarión,クラリオン島
Real Club España,RCエスパーニャ
Club Deportivo Marte,CDマルテ
Sonora,ソノラ州
Tenosique de Pino Suárez,テノシケ
Isla Cedros,セドロス島
Ciudad Ixtepec,シウタード・イステペク
Pueblo cora,コラ族
Paralelo 32 norte,北緯32度線
Cosalá,コサラ
Estadio Cuauhtémoc,エスタディオ・クアウテモック
Coatepec,コアテペク (ベラクルス州)
Cobá,コバー
Sistema Arrecifal Mesoamericano,メソアメリカ堡礁システム
Calpulalpan,カルプラルパン
Científicos,ロス・シエンティフィコス
Cineteca Nacional,シネテカ・ナシオナル
Ciudad Ayala,シウダ・アジャラ
Ciudad Guzmán,シウダ・グスマン
Romaní vlax,ワラキア方言群
Jalapa,ハラパ自治体
Municipio de Zumpango,スンパンゴ (メキシコ)
Concordia,コンコルディア (メキシコ)
Copa México,コパ・メヒコ
Ixtapaluca,イスタパルカ
matanza de Tóxcatl,トシュカトル大祭の虐殺
Acta de Independencia del Imperio Mexicano,メキシコ帝国独立宣言
911,911番
Tonalá,トナラ
Vuelo 302 de Aerounion,アエロユニオン302便墜落事故
Tekom,テコム
Museo Nacional de Arte,メキシコ国立美術館
Palacio de Bellas Artes,ベジャス・アルテス宮殿
Paralelo 31 norte,北緯31度線
Béisbol en los Juegos Panamericanos de 2011,2011年パンアメリカン競技大会における野球競技
Estadio Caliente,エスタディオ・カリエンテ
Tacotalpa,タコタルパ自治体
Jonuta,ホヌタ自治体
Xochitécatl,ショチテカトル
Cerro de las Campanas,鐘の丘
Izúcar de Matamoros,イスカル・デ・マタモロス
Ciudad Altamirano,シウダー・アルタミラノ
Plan de Ayutla,アユトラの陰謀
Arrecife Alacranes,アラクラネス岩礁国立公園
Mayapán,マヤパン
Tollan-Xicocotitlan,トゥーラ＝シココティトラン
La Barca,ラバルカ
Mollete,モレテ
Pinturas rupestres de la sierra de San Francisco,シエラ・デ・サン・フランシスコの岩絵群
Nacajuca,ナカフカ自治体
Macuspana,マクスパナ自治体
Balancán,バランカン自治体
Municipio de Coscomatepec,コスコマテペク
Viesca,ビエスカ
Ejutla de Crespo,エフトラ
Grito de Dolores,ドロレスの叫び
Isla San Pedro Mártir,サン・ペドロ・マルティル島
Isla Santa Cruz,サンタ・クルス島
Ocean Star Cruises,オーシャンスター・クルーズ
Zoológico de Chapultepec,チャプルテペック動物園
México en los Juegos Panamericanos de 2011,2011年パンアメリカン競技大会のメキシコ選手団
Tajín,タヒン
Cuitzeo del Porvenir,クイツェオ・デル・ポルベニル
Laguna Salada,ラグーナ・サラダ
Estadio Corona,エスタディオ・コロナ
Parque nacional Cabo Pulmo,プルモ岬国立公園
Parque nacional Iztaccíhuatl-Popocatépetl,イスタシワトル・ポポカテペトル国立公園
Cuahilama,クァイラマ
Sierra de San Francisco,シエラ・デ・サンフランシスコ
Magdalena,マグダレーナ
Garibaldi-Lagunilla,ガリバルディ駅
Museo Franz Mayer,フランツ・マイヤー美術館
línea 8 del Metro de la Ciudad de México,8号線
Jesús María (Aguascalientes),ヘスス・マリア
Universiada de Verano 1979,1979年夏季ユニバーシアード
Sierra Madre Occidental,シエラ・マドレ・オクシデンタル
Kahlúa,カルーア
Templo de Kukulcán,エル・カスティーヨ (チチェン・イッツァ)
Campeonato Sub-20 de la Concacaf de 2013,2013年のCONCACAF U-20選手権
geografía de México,メキシコの地理
Cochimí,コチミ人
Escuela de Escultura y Pintura Frida Kahlo,フリーダ・カーロ記念館
Municipio de Fresnillo,フレスニージョ
Aeropuerto Internacional Licenciado Gustavo Díaz Ordaz,プエルト・バヤルタ国際空港
Relaciones exteriores de México,メキシコの国際関係
Música de México,メキシコの音楽
Aeropuerto Internacional de Puebla,プエブラ国際空港
Museo Guggenheim de Guadalajara,グッゲンハイム・グアダラハラ
Champotón,チャンポトン
Colonia Roma,コロニア・ローマ
Yecapixtla,イェカピクストラ
Sierra de Ajusco-Chichinauhtzin,アフスコ＝チチナウツィン山地
Montañas más altas de México,メキシコの山の一覧
Batalla del Molino del Rey,モリノ・デル・レイの戦い
Estadio Olímpico Carlos Vega Villalba,エスタディオ・フランシスコ・ビジャ
Meridiano 95 oeste,西経95度線
Partido del Trabajo,労働党
"Iglesia anglicana de México, A.R.",メキシコ聖公会
Campeonato Mundial de Ajedrez 2007,世界チェス選手権2007
Santa María Huatulco,ワタルコ
Secretaría de Salud de México,保健相
Guasave,グアサベ
Anexo:Baloncesto en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのバスケットボール競技
Anexo:Guerras de México,メキシコの関連する戦争一覧
La Raza,ラ・ラサ駅
Río Papaloapan,パパロアパン川
Celaya,セラヤ (メキシコ)
La Reserva de las Biosfera Chamela-Cuixmala,チャメラ・クイシュマラ生物保護区
Río Sinaloa,シナロア川
Isla San Lorenzo (Baja California),サン・ロレンソ島
sitio de Tenochtitlan,テノチティトラン包囲戦
Topolobampo,トポロバンポ
Hopelchén,オペルチェン自治体
Empresas ICA,エンプレサスICA
Capulálpam de Méndez,カプラルパム・デ・メンデス
Prismas basálticos de Santa María Regla,サンタ・マリア・レグラの玄武岩質柱群
Distrito Federal,メキシコ連邦区
Texcoco de Mora,テスココ
Accidente del Learjet en Ciudad de México de 2008,2008年メキシコ内務省チャーター機墜落事故
Río Rico,リオ・リコ
World Trade Center Ciudad de México,ワールドトレードセンター・メキシコシティ
Ciudad Tula,トゥラ
Torre Reforma,トーレ・レフォルマ
Carmen,カルメン
Aeropuerto Internacional de Los Cabos,ロス・カボス国際空港
Museo de Arte Popular,民芸博物館 (メキシコシティ)
Lago de Zumpango,スンパンゴ湖
náhuatl istmeño,地峡メカヤパン・ナワトル語
Ciudad Constitución,シウダーコンスティトゥシオン
Santa María del Tule,サンタ・マリア・デル・トゥーレ
Ku-Maloob-Zaap,ク・マロブ・サップ油田
Partido de los Pobres,貧困党
Juegos Panamericanos de 2011,2011年パンアメリカン競技大会
Selección de béisbol de México,野球メキシコ代表
línea 5 del Metro de la Ciudad de México,5号線
línea 2 del Metro de la Ciudad de México,2号線
política de México,メキシコの政治
Huamantla,ウアマントゥラ
Cascadas de Agua Azul,アグアアズル
San Felipe,サン・フェリペ (バハ・カリフォルニア州)
Arquidiócesis de México,ローマカトリックメキシコ大司教区
Sian Ka'an,シアン・カアン生物圏保護区
México en la Copa Mundial de Fútbol de 2002,2002 FIFAワールドカップメキシコ代表
Aeropuerto Nacional de Lázaro Cárdenas,ラサロ・カルデナス空港
Anexo:Gran Premio de México de 1962,1962年メキシコグランプリ
Asedio de Veracruz,ベラクルス包囲戦
Influencia hispánica en la cultura filipina,ラテンアジア
Río Balsas,バルサス川
Pueblo huasteco,ワステカ族
Cueva de los cristales,クリスタルの洞窟
Decena Trágica,悲劇の十日間
Tututepec,トトテペク王国
MasAir Cargo México,マスエア
Coras de Tepic,コラスFC
Club Universidad Nacional,クラブ・ウニベルシダ・ナシオナル
Cuicuilco,クィクィルコ
Isla Natividad,ナティヴィダード島
Idioma cuitlateco,クイトラテック語
Chochense,カデレイタ・ヒメネス
Rito de los voladores,ダンサ・デ・ロス・ボラドーレス
Rally de México,ラリー・メキシコ
Premio Xavier Villaurrutia,ハビエル・ビジャウルティア賞
Larráinzar,サン・アンドレス・ララインサル
Telehit,テレヒット
Tapachula,タパチュラ
Reserva de la biosfera de Calakmul,カラクムル生物圏保護区
Viveros de Coyoacán,ビベロス・デ・コジョアカン
Porfiriato,ポルフィリアート
Magnicharters,マグニチャーター
Ajijic,アヒヒック
Usumacinta,ウスマシンタ川
Monasterios en las faldas del Popocatépetl,ポポカテペトル山腹の16世紀初頭の修道院群
Isla Tiburón,ティブロン島
Tlatlauquitepec,トゥラトゥラウキテペク
Juegos Panamericanos de 1955,1955年パンアメリカン競技大会
Dorados de Sinaloa,ドラドス・デ・シナロア
La Quebrada,ラ・ケブラーダ (アカプルコ)
Consejo Mundial de Lucha Libre,CMLL
mexicanos,メキシコ人
Paraíso,パライソ (メキシコ)
Tapijulapa,タピフラパ
Nueva Alianza,新しい同盟党
Anexo:México en 2009,2009年のメキシコ
Aeromexpress,アエロメクスプレス
Campeonato Mundial de Judo de 1969,1969年世界柔道選手権大会
Neza FC,トロス・ネサ
La Concordia,ラ・コンコルディア
Paralelo 25 norte,北緯25度線
