Россия,俄罗斯
Ямало-Ненецкий автономный округ,亚马尔-涅涅茨自治区
Салехард,萨列哈尔德
Вологда,沃洛格达
Хоккей с шайбой на зимних Олимпийских играх 2014,2014年冬季奧林匹克運動會冰球比賽
Вологодская область,沃洛格达州
Хабаровск,伯力
Приладожский,普里拉多日斯基
Теракт на Дубровке,莫斯科歌劇院脅持事件
Хакасия,哈卡斯共和国
Красноярский край,克拉斯諾亞爾斯克邊疆區
Елизово,叶利佐沃
Еманжелинск,葉曼熱林斯克
Енисейск,葉尼塞斯克
Емва,葉姆瓦
Череповец,切列波韋茨
Республика Коми,科米共和国
Самарский метрополитен,薩馬拉地鐵
Вологда (река),沃洛格達河
Тотьма,托季馬
Иркутская область,伊尔库茨克州
Дружная Горка (Ленинградская область),德鲁日纳亚戈尔卡·(列宁格勒州)
Иркутск,伊爾庫茨克
Дагестан,达吉斯坦共和国
Чечня,车臣共和国
Якутия,萨哈（雅库特）共和国
Яхрома (приток Сестры),亞赫羅馬河
Ермолино (Калужская область),叶尔莫利诺·(卡卢加州)
"Сулица (река, впадает в Куйбышевское водохранилище)",蘇利察河
Ненецкий автономный округ,涅涅茨自治区
Надым,納德姆
Рахья,拉希亚
Ефимовский,叶菲莫夫斯基·(市级镇)
Никольский (Подпорожский район),尼科利斯基·(列宁格勒州)
Вырица,维里察
Сыктывкар,瑟克特夫卡爾
Лебяжье (Ломоносовский район),列比亚日耶·(罗蒙诺索夫区)
Абхазский язык,阿布哈茲語
Лесогорский,列索戈尔斯基
Дубровка (Всеволожский район),杜布罗夫卡·(弗谢沃洛日斯克区)
Государственный музей изобразительных искусств имени А. С. Пушкина,普希金造型藝術博物館
Красный Бор (Тосненский район),红博尔·(托斯诺区)
Железногорск-Илимский,热列兹诺戈尔斯克-伊利姆斯基
Железнодорожный (Балашиха),熱列茲諾多羅日內
Жердевка,热尔杰夫卡
Махачкала,馬哈奇卡拉
Грозный,格罗兹尼
Забайкальский край,外貝加爾邊疆區
Владикавказ,弗拉季高加索
Жуковский (город),茹科夫斯基·(莫斯科州)
Заводоуковск,扎沃多烏科夫斯克
Завитинск,扎维京斯克
Ессентуки,葉先圖基
Ершов (город),葉爾紹夫
Железноводск,热列兹诺沃茨克
Ефремов (город),葉夫列莫夫
Якутск,雅库茨克
Нарьян-Мар,纳里扬马尔
Железногорск (Красноярский край),热列兹诺戈尔斯克·(克拉斯诺亚尔斯克边疆区)
Ленинградская область,列宁格勒州
Бурятия,布里亞特共和國
Улан-Удэ,烏蘭烏德
Жигулёвск,日古廖夫斯克
Жиздра (город),日兹德拉
Жуков (город),茹科夫
Жирновск,日尔诺夫斯克
Жуковка (город),茹科夫卡
Псков,普斯科夫
Великий Новгород,大诺夫哥罗德
Ставрополь,斯塔夫罗波尔
Псковская область,普斯科夫州
Сызрань,塞茲蘭
Ставропольский край,斯塔夫罗波尔边疆区
UTC%2B10:00,UTC%2B10:00
Гатчина,加特契纳
Корожечна,科羅熱奇納河
Заречный (Пензенская область),扎列奇內·(奔薩州)
Заречный (Свердловская область),扎列奇內·(斯維爾德洛夫斯克州)
Заринск,扎林斯克
Ярцево,亞爾采沃
Ясногорск (Тульская область),亞斯諾戈爾斯克
Амур,黑龙江
Заинск,扎因斯克
Амурская область,阿穆尔州
Заволжск,扎沃爾日斯克
Задонск,扎東斯克
Заволжье (город),扎沃爾日耶
Ингушетия,印古什共和国
Магас,馬加斯
Северная Осетия,北奥塞梯-阿兰共和国
Благовещенск,海兰泡
UTC%2B7:00,UTC%2B07:00
Дальнегорск,达利涅戈尔斯克
Закаменск,扎卡缅斯克
Заозёрск,扎奧焦爾斯克
Заполярный,扎波利亞爾內
Западная Двина (город),西德維納
Зарайск,扎賴斯克
Юхнов,尤赫諾夫
Ядрин,亞德林
Нальчик,納利奇克
Янаул,亞納烏爾
Яровое,亞羅沃耶
Яранск,亞蘭斯克
Севастополь,塞瓦斯托波爾
Гатчинский район,加特契納區
Большой Гатчинский дворец,加特契納宮
Pussy Riot,暴動小貓
Звенигово,兹韦尼戈沃
Звенигород,兹韦尼哥罗德
Зверево,兹韦列沃
Кромы,克罗梅·(奥廖尔州)
Ясный,亞斯內
Чукчагирское озеро,丘克恰吉爾斯科耶湖
.рф,.рф
Воскресенские ворота,伊伯利亞門和禮拜堂
Водлозеро,沃德洛澤羅湖
Ивня,伊夫尼亚
Группа советских войск в Германии,苏军驻德集群
Саратов,薩拉托夫
Еврейская автономная область,犹太自治州
Восточный Маныч,東馬內奇河
Малый Чембар,小切姆巴爾河
Яндекс,Yandex
Кабардино-Балкария,卡巴爾達-巴爾卡爾共和國
Россия на летних Олимпийских играх 2008,2008年夏季奥林匹克运动会俄罗斯代表团
Зеленокумск,澤列諾庫姆斯克
Зеленодольск,泽廖诺多利斯克·(俄罗斯)
Оренбургская область,奧倫堡州
Советский район (Марий Эл),蘇維埃茨基區·(馬里埃爾共和國)
Выборгский район (Ленинградская область),維堡區·(列寧格勒州)
Кингисеппский район,金吉謝普區
Коммунар (Гатчинский район),科穆納爾
Оренбург,奥伦堡
Черкесск,切爾克斯克
Зерноград,澤爾諾格勒
Тальменка,塔利缅卡·(阿尔泰边疆区)
Бокситогорский район,博克西托戈爾斯克區
Волосовский район,沃洛索沃區
Волховский район,沃爾霍夫區
Карачаево-Черкесия,卡拉恰伊-切尔克斯共和国
Саратовская область,萨拉托夫州
Лужники (стадион),卢日尼基体育场
Приволжский федеральный округ,伏爾加聯邦管區
Автотор,阿維托托爾
Чикой (река),楚庫河
Саяны,薩彥嶺
Кузнецкий угольный бассейн,庫茲巴斯
Синяя (приток Великой),錫尼亞亞河·(韋利卡亞河支流)
Мордовия,莫尔多瓦共和国
Хабаровский край,哈巴罗夫斯克边疆区
Сахалин,库页岛
Яблоновый хребет,雅布洛諾夫山脈
Ханка,兴凯湖
Александро-Невский район,亞歷山德羅-涅夫斯基區
Зея (город),结雅
Златоуст,兹拉托乌斯特
Зима (город),济马
Десна (приток Днепра),傑斯納河
Злынка,兹伦卡
Сахалинская область,萨哈林州
МММ,MMM騙局
Российско-финляндские отношения,芬蘭—俄羅斯關係
Русины,卢森尼亚人
Змеиногорск,兹梅伊诺戈尔斯克
Дом Павлова,巴甫洛夫大楼
Шенкурский район,申庫爾斯克區
Ильмень,伊爾門湖
Цимлянское водохранилище,齐姆良斯克水库
Острова Диомида,迪奧米德群島
Корякский округ,科里亚克区
Большой театр,莫斯科大剧院
Медведевский район,梅德韋傑沃區
Русский язык,俄语
Россия на летних Олимпийских играх 2012,2012年夏季奧林匹克運動會俄羅斯代表團
Волжский район (Марий Эл),伏爾加斯克區
Московский вокзал (Санкт-Петербург),莫斯科站·(聖彼得堡)
Звениговский район,茲韋尼戈沃區
Бердяуш,别尔佳乌什
Новосибирские острова,新西伯利亞群島
Биробиджан,比罗比詹
Саранск,萨兰斯克
Киров,基洛夫·(基洛夫州)
Российско-польские отношения,波蘭—俄羅斯關係
Судак (город),蘇達克
Федерация (комплекс небоскрёбов),聯邦塔
Знаменск (Астраханская область),兹纳缅斯克·(阿斯特拉罕州)
Зубцов,祖布佐夫
Мосфильм,莫斯科电影制片厂
Ципа,齊帕河
Новокузнецк,新库兹涅茨克
Кижи (остров),基日島
"Киевская (станция метро, Кольцевая линия)",基輔站·(莫斯科地鐵環狀線)
Сбербанк России,俄罗斯联邦储蓄银行
Люберцы,柳別爾齊
Удмуртия,乌德穆尔特共和国
Ижевск,伊熱夫斯克
Битцевский лес,莫斯科森林公园
Волжский,伏尔加斯基
Пермский край,彼爾姆邊疆區
Массандра,馬桑德拉
Соловецкие острова,索洛韦茨基群岛
Гаспра,哈斯普拉
Игарка,伊加爾卡
Ивдель,伊夫傑利
Болгарский язык,保加利亚语
Кириши,基里希
Киришский район,基里希區
Нижний Тагил,下塔吉尔
Кировская область,基洛夫州
Набережные Челны,卡马河畔切尔内
Магнитогорск,马格尼托哥尔斯克
Зуевка,祖耶夫卡
Ивантеевка,伊萬捷耶夫卡
Онон,鄂嫩河
Россия-2,俄羅斯-2
Большой Цивиль,齊維利河
Сибирь,西伯利亚
Марий Эл,马里埃尔共和国
Кировский район (Ленинградская область),基洛夫斯克區
Лодейнопольский район,洛傑伊諾耶波列區
Избербаш,伊茲別爾巴什
Изобильный,伊佐比利內
Крым,克里米亚
Южно-Сахалинск,南萨哈林斯克
Мариинский театр,马林斯基剧院
Капша,卡普沙河
Буряты,布里亚特人
Теракт в аэропорту Домодедово,2011年多莫傑多沃國際機場炸彈襲擊事件
Вайгач,瓦伊加奇岛
Инза,因扎
Инсар (город),因薩爾
Красноярские авиалинии,克拉斯诺亚尔斯克航空·(1993年)
Елец,葉列茨
Ельня,葉利尼亞
Калач-на-Дону,頓河畔卡拉奇
Ипатово,伊帕托沃
Таван-Богдо-Ула,塔彎博格多
Пушкин (город),普希金·(聖彼得堡)
Великие Луки,大卢基
Камчатский край,堪察加邊疆區
Айны,阿伊努族
Петропавловск-Камчатский,堪察加彼得罗巴甫洛夫斯克
Югыд ва,尤格德瓦國家公園
Шира (озеро),希拉湖
Колпь (приток Суды),科爾普河
Камчатская область,堪察加州
Снеговой (вулкан),斯涅戈沃伊火山
Усть-Камчатский район,烏斯季堪察茨克區
Хор (река),霍爾河
Правобережный район,普拉沃別列日內區
Ирбит,伊爾比特
Исилькуль,伊西利庫爾
Ухта (приток Ижмы),烏赫塔河
Истра (город),伊斯特拉·(莫斯科州)
Искитим,伊斯基季姆
Ишим,伊希姆
Пролив Лаперуза,宗谷海峡
Командорские острова,科曼多尔群岛
Новодевичье кладбище,新圣女公墓
Вязьма,維亞濟馬
Волоколамск,沃洛科拉姆斯克
Инта,因塔
Казбек,卡茲別克山
Дмитров,德米特罗夫
Усть-Ордынский Бурятский автономный округ,乌斯季-奥尔登斯基布里亚特自治区
Зеленоград,泽列诺格勒
Уссури,乌苏里江
Лужский район,盧加區·(俄羅斯)
Ломоносовский район (Ленинградская область),羅蒙諾索夫區
Подпорожский район,波德波羅日耶區
Магадан,马加丹
Ковров,科夫罗夫
Абаза (город),阿巴扎
Алейск,阿列伊斯克
Адыгейск,阿迪格斯克
Калач (город),卡拉奇·(沃羅涅日州)
Кадников,卡德尼科夫
Таганрогский залив,塔甘羅格灣
Ишимбай,伊希姆拜
Карельский перешеек,卡累利阿地峽
Полесье,波利西亞
Хамниганы,哈米尼干
Имандра,伊曼德拉湖
Русский мост,俄罗斯岛大桥
Нарва (река),纳尔瓦河·(注入纳尔瓦湾)
Грибановский район,格里巴诺夫斯基区
Укок,烏科克高原
Рузаевский район,魯扎耶夫卡區
Угра,烏格拉河
Магаданская область,马加丹州
Приозерский район,普里奧焦爾斯克區
Приозерск,普里奧焦爾斯克
Белокуриха,別洛庫里哈
Анадырь,阿纳德尔
Чукотский автономный округ,楚科奇自治区
Абдулино,阿卜杜利诺
Бийск,比斯克
Газпром,俄罗斯天然气工业股份公司
Агрыз,阿格雷兹
Агидель,阿吉杰利
Камбарка,坎巴爾卡
Военно-воздушные силы Российской Федерации,俄罗斯空军
Золотой мост,金角湾大桥
Зея (река),结雅河
Ключевская Сопка,克柳切夫火山
2ТЭ70,2TE70型柴油机车
Иланский район,伊蘭斯基區
Большой Санкт-Петербургский государственный цирк,奇尼塞利馬戲團
Игнатьево (аэропорт),伊格納耶沃機場
Бадяриха,巴佳里哈河
Арбат,阿尔巴特街
Уфа (река),烏法河
Справедливая Россия — За правду,公正俄罗斯—爱国者—为了真理
Сура (приток Волги),蘇拉河
Вторая лига России по футболу,俄羅斯乙組足球聯賽
Калачинск,卡拉欽斯克
Калтан,卡爾坦
Калининск,加里寧斯克
Камень-на-Оби,鄂畢河畔卡緬
"Каменка (город, Россия)",卡緬卡·(奔薩州)
Каменск-Шахтинский,卡緬斯克-沙赫京斯基
Кереть (озеро),克列季湖
Восточно-Сибирская железная дорога,东西伯利亚铁路局
Калязин,卡利亞津
Камешково,卡梅什科沃
Камызяк,卡梅賈克
Московский район (Санкт-Петербург),莫斯科區·(聖彼得堡)
Красносельский район (Санкт-Петербург),紅村區·(聖彼得堡)
Взрывы в Московском метрополитене (2010),2010年莫斯科地铁连环爆炸事件
Петродворцовый район,彼得宮區
Красная Поляна,卡拉斯拉雅波利亞納
Российская национальная библиотека,俄罗斯国家图书馆
Киржачский район,基爾扎奇區
День Победы,勝利日·(5月9日)
Петроградский район,彼得格勒区
Курортный район (Санкт-Петербург),庫羅爾特內區
Уса (приток Печоры),烏薩河·(伯朝拉河支流)
Печора,伯朝拉河
Грузинский язык,格鲁吉亚语
Кандалакша,坎达拉克沙
Алатырь,阿拉特里·(俄罗斯)
Канск,坎斯克
Карабаш,卡拉巴什·(車里雅賓斯克州)
Алапаевск,阿拉帕耶夫斯克
Алагир,阿拉吉尔
Смоленская операция (1943),斯摩棱斯克戰役·(1943年)
"Локомотив (хоккейный клуб, Ярославль)",雅罗斯拉夫尔火车头
Голос России,俄罗斯之声
Даргинцы,達爾金人
Аргументы и факты,论据与事实
"Крылья Советов (футбольный клуб, Самара)",萨马拉苏维埃之翼足球俱乐部
Амкар,彼爾姆安卡足球俱樂部
Армянский язык,亚美尼亚语
Море Лаптевых,拉普捷夫海
Сула (приток Мезени),蘇拉河·(梅津河流域)
Карабулак (город),卡拉布拉克·(印古什共和國)
Воч,沃奇河
Троице-Сергиева лавра,谢尔盖圣三一修道院
ЛДПР,俄罗斯自由民主党
Россия-1,俄羅斯-1
Государственный Русский музей,俄羅斯博物館
Азнакаево,阿茲納卡耶沃
Сланцевский район,斯蘭齊區
Ангарск,安加尔斯克
Амурск,阿穆尔斯克
Кола (автодорога),R21公路·(俄羅斯)
Московское большое кольцо,A108公路·(俄羅斯)
Канаш,卡納什
Кумыки,庫梅克人
Колва (приток Вишеры),科爾瓦河·(彼爾姆邊疆區)
Северная Двина,北德维纳河
Западная Двина,道加瓦河
Емца (река),葉姆察河
Пинега (река),皮涅加河
Касли,卡斯利·(車里雅賓斯克州)
Касимов,卡西莫夫
Москва-Сити,莫斯科国际商业中心
Новодевичий монастырь,新聖女修道院
Греческий язык,希腊语
Центральный район (Санкт-Петербург),中央区·(圣彼得堡)
Новосибирский метрополитен,新西伯利亞地鐵
Внуково (аэропорт),伏努科沃國際機場
Ак-Довурак,阿克多武拉克
Азов,亞速·(城市)
Катав-Ивановск,卡塔夫-伊萬諾夫斯克
Каспийск,卡斯皮斯克
Аксай (Ростовская область),阿克赛
Московская государственная консерватория имени П. И. Чайковского,莫斯科音樂學院
Итуруп,择捉岛
Камышин,卡梅申
Камышлов,卡梅什洛夫
Гданьский залив,格但斯克湾
Свирь,斯維里河
Чулым (приток Оби),丘雷姆河
Становой хребет,外兴安岭
Эвенкийский автономный округ,埃文基自治区
Илеша,伊列沙河
Ёжуга (приток Пинеги),葉茹加河
Юла (приток Пинеги),尤拉河
Большой Зеленчук,大澤連丘克河
Исаакиевский собор,圣以撒主教座堂
Спас на Крови,滴血救世主教堂
Путорана,普托拉納高原
Большой Кинель,大基涅利河
Выя (приток Пинеги),維亞河
Советско-Гаванский район,蘇維埃港區
Ленские столбы,勒拿河柱状岩自然公园
А104 (автодорога),A104公路·(俄羅斯)
Украинский язык,乌克兰语
Белорусский язык,白俄罗斯语
Анжеро-Судженск,安熱羅-蘇真斯克
Андреаполь,安德烈亞波爾
Битва при Гумбиннене,贡宾嫩战役
Катайск,卡泰斯克
Качканар,卡奇卡納爾
Кедровый (город),克德羅維
Аргун (город),阿爾貢
Арамиль,阿拉米爾
Апрелевка,阿普雷列夫卡
Апатиты,阿帕季特
Анива (город),阿尼瓦
Алдан (город),阿尔丹
Идиш,意第緒語
Александровск (Пермский край),亞歷山德羅夫斯克·(彼爾姆邊疆區)
Александров (город),亞歷山德羅夫·(弗拉基米爾州)
"Алексеевка (город, Белгородская область)",阿列克謝耶夫卡
Алексин,阿列克辛
Карачаевск,卡拉恰耶夫斯克
Карасук (город),卡拉蘇克
Александровск-Сахалинский,萨哈林岛亚历山德罗夫斯克
Алзамай,阿尔扎迈
Каргат (город),卡爾加特
Карачев,卡拉切夫
Карталы,卡爾塔雷
Карпинск,卡爾平斯克
Альметьевск,阿尔梅季耶夫斯克
Каргополь,卡爾戈波爾
"Южный (остров, Новая Земля)",尤日內島
Первомайский (ЗАТО),五一镇·(基洛夫州)
Санкт-Петербургская соборная мечеть,圣彼得堡清真寺
Кутузовский проспект,庫圖佐夫大街
Томь,托木河
Колгуев,科尔古耶夫岛
Коликъёган,科利克甘河
Дахадаевский район,達哈達耶沃區
Абакан (река),阿巴坎河
Телецкое,捷列茨科耶湖
Группа Ломоносова,洛莫諾索夫火山群
Ваганьковское кладбище,瓦甘科沃公墓
Крымский район,克雷姆斯克區
Полянка (станция метро),林地站
Венгеровский район,文格羅沃區
Флаг Адыгеи,阿迪格共和國國旗
Российско-кубинские отношения,古俄關係
Арск,阿爾斯克
Паспорт гражданина Российской Федерации,俄羅斯內部護照
Флаг Республики Коми,科米共和國國旗
Искра (газета),火星报
Кировский район (Санкт-Петербург),基洛夫區·(聖彼得堡)
Хасавюрт,哈薩維尤爾特
Асино,阿西诺
Казахский язык,哈萨克语
Кизел,基澤爾
Кемь (город),凱姆
Кашира,卡希拉
Кашин,卡申·(特維爾州)
Таймырский (Долгано-Ненецкий) автономный округ,泰梅爾（多爾干-涅涅茨）自治區
Кизилюрт,克孜勒尤爾特
Байкальский хребет,貝加爾山脈
Верхоянский хребет,上揚斯克山脈
Таманский полуостров,塔曼半岛
Старая Ладога,舊拉多加
Шхара,什哈拉山
Остров Октябрьской Революции,十月革命岛
Кимры,基姆雷
Кинель,基涅利
Кимовск,基莫夫斯克
"Цна (река, впадает в Мстино)",茨納河·(姆斯季諾湖流域)
Цна (приток Мокши),茨納河
Печорское море,伯朝拉海
Пскова,普斯科瓦河
Усть-Коксинский район,烏斯季科克薩區
Ахтубинск,阿赫图宾斯克
Аткарск,阿特卡爾斯克
Персидский язык,波斯语
Корейский язык,朝鮮語
Ванавара,瓦納瓦拉
Арзамас,阿爾扎馬斯
Ардатов (Мордовия),阿爾達托夫·(莫爾多維亞共和國)
Живой Журнал,LiveJournal
Президент Российской Федерации,俄罗斯总统
Кихпиныч,基赫皮內奇火山
Мраморный дворец (Санкт-Петербург),大理石宫·(圣彼得堡)
Ейский район,葉伊斯克區
Кежемский район,克日馬區
UCoz,UCoz
Шахматная олимпиада 1994,第31届国际象棋奥林匹克
Тюльганский район,秋利甘區
Мехреньга,梅赫列尼加河
Покшеньга,波克申加河
Флаг Республики Алтай,阿尔泰共和国国旗
Кокшеньга,科克申加河
Алексеевское (Татарстан),阿列克謝耶夫斯科耶·(韃靼斯坦共和國)
Салаватский район,薩拉瓦特區
Балей,巴列伊
Балашов (город),巴拉紹夫
Московский государственный университет,莫斯科国立大学
Сибинский диалект,锡伯语
Удэгейский язык,烏德蓋語
Кириллов (город),基里洛夫·(俄罗斯城镇)
Киров (Калужская область),基洛夫·(卡卢加州)
Кирово-Чепецк,基洛沃-切佩茨克
Кировград,基洛夫格勒·(斯維爾德洛夫斯克州)
Аркадак,阿爾卡達克
Арсеньев (город),阿尔谢尼耶夫
Северо-Американская плита,北美洲板塊
Адмиралтейский район,海军部区
Выборгский район (Санкт-Петербург),維堡區·(聖彼得堡)
Артём (город),阿尔乔姆
