Jūrmala,尤爾馬拉
Gulbenes novads,古爾貝內市鎮
Rīgas "Dinamo",里加迪納摩
Salaspils koncentrācijas nometne,薩拉斯皮爾斯集中營
Rīgas geto,里加猶太區
Ludzas rajons,盧扎區
Olaine,奧萊內
Skonto FC,斯康圖足球俱樂部
Dzintara ceļš,琥珀之路
Vangaži,萬加日
Strenči,斯特倫奇
Daugava,道加瓦河
Latvijas evaņģēliski luteriskā baznīca,拉脫維亞福音路德教會
Latvija Olimpiskajās spēlēs,奥林匹克运动会拉脱维亚代表团
Gaujas nacionālais parks,戈雅國家公園
Latvijas Universitāte,拉脱维亚大学
Skrunda,斯克倫達
Autoceļš A8,A8公路
Bauska,包斯卡
Vaiņodes novads,瓦伊尼奧代市鎮
Latvija Eirovīzijas dziesmu konkursā,拉脱维亚在欧洲歌唱大赛之历年表现
Aizkraukles novads,艾茲克勞克萊市鎮
Kokneses novads,科克內塞市鎮
Cēsu rajons,采西斯區
Gulbenes rajons,古爾貝內區
Valdemārpils,瓦爾代馬爾皮爾斯
FK Jelgava,葉爾加瓦足球俱樂部
Latvijas Republikas Ārlietu ministrija,拉脫維亞外交部
zemgaļi,瑟米加利亚人
baškīri,巴什基爾人
Auce,奧采
Rūjiena,魯伊耶納
Liepājas starptautiskā lidosta,利耶帕亚国际机场
Dobeles novads,多貝萊市鎮
Jelgavas rajons,葉爾加瓦區
Līgatne,利加特內
Baloži,巴洛日
Grobiņa,格羅比尼亞
Ilūkste,伊盧克斯泰
Biksti,比克斯季
Rail Baltica,波羅的海鐵路
Madona,馬多納
Rāznas nacionālais parks,拉茲納國家公園
Dzelzceļa līnija Jelgava—Reņģe,格卢达-伦尼杰铁路
Lielvārdes novads,利耶爾瓦爾代市鎮
Trīs brāļi,里加三兄弟
Seda,塞達
JFK Olimps,奧林匹斯
Air Baltic Corporation,波罗的海航空
baltkrievu valoda,白俄罗斯语
Latvijas eiro monētas,拉脫維亞的歐元硬幣
Preiļi,普雷利
Naukšēnu novads,瑙克謝尼市鎮
FK Daugava,里加道加瓦足球俱乐部
.lv,.lv
Dinaburg FC,甸拿堡
Alūksnes rajons,阿盧克斯內區
Baltijas valstu okupācija,佔領波羅的海國家
Ludzas novads,盧扎市鎮
latgaliešu rakstu valoda,拉特加萊語
Sivers,西韋爾斯湖
Diena,Diena
Alūksne,阿盧克斯內
Omuļupe,厄赫內河
Rīgas ASK,ASK里加
Baltijas valstis,波罗的海国家
Reformu partija,札特勒斯改革黨
Baltijas Kauss futbolā,波羅的海盃
Ventspils rajons,文茨皮尔斯区
Rēzeknes rajons,雷澤克內區
Latvijas Nacionālā opera un balets,拉脫維亞國家歌劇院
Viestura ordenis,维思特斯指揮官級大十字勳章
Pļaviņas,普利亚维尼亚斯
tramvaju satiksme Daugavpilī,陶格夫匹尔斯电车
Durbes kauja,杜尔贝战役
Balvu rajons,巴爾維區
Daugavpils,陶格夫匹尔斯
lībiešu valoda,立窝尼亚语
Pļaviņu novads,普利亞維尼亞斯市鎮
Aknīstes novads,阿克尼斯泰市鎮
Ērgļi,厄格里
FC Daugava,道加瓦足球俱乐部
Brīvības piemineklis,自由紀念碑
Mikrotīkls,MikroTik
Triju Zvaigžņu ordenis,三星勋章
Barons kvartāls,BK 公爵
krievs,俄羅斯人
Latvijas gada labākais futbolists,雷沃森
Autoceļš A1 (Latvija),A1公路
Baldone,巴爾東埃
Brocēnu novads,布羅采尼市鎮
Jelgavas diecēze,天主教葉爾加瓦教區
Baltijas Dziesmu un deju svētki,波罗的海歌舞庆典活动
pārkrievošana,俄羅斯化
Ādaži,阿达日
Eiropas autoceļš E22,欧洲E22公路
Ķekava,凱卡瓦
Ķegums,基耶古姆斯
Ķīpsala,基普萨拉
Rīgas pils,里加城堡
Valka,瓦爾卡
Cēsis,采西斯
Talsi,塔尔西
Eiropas autoceļš,欧洲高速公路
Ask.fm,Ask.fm
Vanšu tilts,曼舒大桥
Madonas rajons,馬多納區
FC Jūrmala,祖瑪拿足球會
Engures ezers,恩古雷湖
Latvijas futbola Virslīga,拉脫維亞足球高級聯賽
Priekule,普列庫萊
Stende,斯滕代
FK Liepājas Metalurgs,美達雷斯足球會
Abava,阿巴瓦河
Rīgas Valsts 1. ģimnāzija,里加国家第一中学
latvieši,拉脫維亞人
Sēlija,塞羅尼亞
Eiropas autoceļš E77,欧洲E77公路
Dailes teātris,戴列斯劇場
Latvijas dzelzceļš,拉脱维亚铁路
Daugavpils novads,陶格夫匹爾斯市鎮
Dundaga,敦达加
Latvijas diplomātisko misiju uzskaitījums,拉脫維亞駐外機構列表
FK Rīgas Futbola skola,里加足球学校
Līksna,利克斯纳
Vienotība,團結黨
Rīgas VEF,里加VEF籃球俱樂部
BK Ventspils,文茨皮爾斯籃球俱樂部
Saulkrastu novads,紹爾克拉斯蒂市鎮
Autoceļš A14 (Latvija),A14公路
Autoceļš A2 (Latvija),A2公路
Autoceļš A3 (Latvija),A3公路
Autoceļš A4 (Latvija),A4公路
Autoceļš A5 (Latvija),A5公路
Autoceļš A6 (Latvija),A6公路
Autoceļš A7 (Latvija),A7公路
Latvijas Republikas Ministru prezidents,拉脫維亞總理
Subate,蘇巴泰
Melngalvju nams,黑头宫
1937. gada Eiropas čempionāts basketbolā,1937年歐洲籃球錦標賽
Aglona,阿格納
Rēzeknes-Aglonas diecēze,天主教雷澤克內-阿格洛納教區
Transports Latvijā,拉脫維亞交通
Līgatnes novads,利加特內市鎮
Rīgas Autobusu Fabrika,里加公共汽车制造厂
Baltijas tīģeri,波罗的之虎
Tukuma novads,圖庫姆斯市鎮
Lāčplēša Kara ordenis,殺熊者勳章
Ēdoles pils,埃多爾城堡
Saldus pagasts,萨尔杜斯堂区
Vecpiebalgas pagasts,旧皮耶巴尔加堂区
Dzērbenes pagasts,泽尔贝内堂区
Cēsu apriņķis,采西斯县
Jaunpils pils,新皮爾斯城堡
Brocēni,布罗采尼站
Jersikas pagasts,耶尔斯卡堂区
Valmiera,瓦爾米耶拉
lats,拉脫維亞拉特
Inčukalns,印楚卡倫斯
Mārupe,马鲁佩
Rucava,鲁察瓦
Mērsrags,梅爾斯拉格斯
Latvijas pase,拉脫維亞護照
Pirates of the Sea,海上海盜
Ape,阿佩
Ulbroka,乌尔布罗卡
Vecrīga,里加老城
Dziesmotā revolūcija,歌唱革命
Lielvārde,利耶爾瓦爾代
Latvijas Mobilais Telefons,拉脫維亞行動電話
Bīriņu muiža,比里尼宮
Skrunda,斯克伦达站
Skrīveri,斯克里韦里站
Slocene,斯洛采内河
Smārde,斯马尔代
Saules aptumsums 2018. gada 11. augustā,2018年8月11日日食
Carnikava,察爾尼卡瓦
Latvijas Televīzija,拉脫維亞電視台
Latvija 2012. gada Vasaras Olimpiskajās spēlēs,2012年夏季奧林匹克運動會拉脫維亞代表團
Latvija 2010. gada Ziemas Olimpiskajās spēlēs,2010年冬季奥林匹克运动会拉脱维亚代表团
Latvija 2008. gada Vasaras Olimpiskajās spēlēs,2008年夏季奥林匹克运动会拉脱维亚代表团
Latvijas basketbola izlase,拉脫維亞國家男子籃球隊
Rudbāržu pagasts,鲁德巴尔日堂区
Lutriņu pagasts,卢特里尼堂区
Īslīces pagasts,以斯利采堂区
Kolkas pagasts,科尔卡堂区
Vaives pagasts,瓦伊韦堂区
Kalnciems,坎希姆斯
Latvijas futbola 1. līga,拉脫維亞第一聯賽
Visu Latvijai,全為拉脫維亞！
5. Saeimas vēlēšanas,1993年拉脫維亞國會選舉
Rāznas ezers,拉茲納湖
Valles kauja,瓦尔霍夫战役
Bārta,巴爾塔河
Saskaņas Centrs,和諧中間聯盟
Latvijas ģeogrāfija,拉脫維亞地理
Vecpiebalga,旧皮耶巴尔加
Burtnieks,布爾特內克斯湖
trasjanka,俄白語
Dzelzceļa līnija Torņakalns—Tukums II,里加－图库姆斯鐵路
Priekuļu pagasts,普里埃库利堂区
Rojas osta,罗亚港
Rudbāržu pils,鲁德巴尔日宫
Ventspils,文茨皮尔斯
Latvija 1924. gada Ziemas Olimpiskajās spēlēs,1924年冬季奥林匹克运动会拉脱维亚代表团
Aiviekste,艾維埃克斯泰河
Rīgas līcis,里加湾
somi,芬兰人
Rudbārži,鲁德巴尔日站
rupjmaize,拉脱维亚黑麦面包
vācbaltieši,波罗的海德国人
Spāre,斯帕雷站
Zaļo un Zemnieku savienība,綠人與農民聯盟
Latvijas himna,上帝保祐拉脫維亞
Klintaines pagasts,克林泰内堂区
Skultes pagasts,斯库尔泰堂区
Vīpes pagasts,维佩堂区
Dundagas pagasts,敦达加堂区
Bērze,贝尔泽
Bērzupe,贝尔祖佩站
Cena,采拿
Cena,采拿站
Kuldīga,库尔迪加
Dobeles pils,多貝萊城堡
Sitas ezers,錫塔湖
Buļļupe,布柳佩河
Murata ezers,穆拉季湖
Latvijas Valsts policija,拉脫維亞國家警察
Latvijas statistiskie reģioni,拉脫維亞統計區
Stende,斯滕代火车站
Ozolnieki,奧佐爾涅基
Roja,罗亚
Skrīveri,斯克里韋里
Mūsa,穆沙河
Tet Rīgas maratons,里加馬拉松
Daugavgrīva,道加格里伐
Delfi (portāls),德爾斐
Latvijas Nacionālā bibliotēka,拉脫維亞國家圖書館
Latvijas Zaļā partija,拉脱维亚绿党
Kaujas pie Daugavpils,陶格夫匹爾斯戰役
European Hit Radio,歐洲熱門電台
Dzelzceļa līnija Rīga—Daugavpils,里加－道加瓦皮尔斯鐵路
Lielais Ludzas ezers,大盧扎湖
Salaspils,萨拉斯皮尔斯站
Jaunolaine,新奥莱内
Dorupe,多鲁佩站
Dundagas pils,敦達加城堡
Durbe,杜尔贝站
Kurzemes pussala,库尔兰半岛
Cukurfabrika,楚库尔法布里卡站
Ventspils viduslaiku pils,雲特史比斯城堡
Ventspils II,文茨皮尔斯II站
Ventspils,文茨皮尔斯I站
Viesturi,维埃斯图里站
Dalbe,达尔贝
Dalbe,达尔贝站
Dzelzceļa līnija Daugavpils—Kurcums,陶格夫匹尔斯-库尔楚姆斯铁路
Daugmale,道格马莱站
Jelgava,叶尔加瓦站
Liepāja,利耶帕亚站
Neretiņa,內雷塔河
latgaļi,拉特加萊人
Latvijas Gaisa spēki,拉脫維亞空軍
rudzu maize,裸麥麵包
Latvijas Vienības partija,拉脱维亚团结党
Rīgas Ekonomikas augstskola,里加斯德哥尔摩经济学院
Eša ezers,埃熱澤爾斯湖
Kūku pagasts,库卡斯教区
Latvijas Olimpiskā komiteja,拉脫維亞奧林匹克委員會
25. austrumu meridiāns,东经25度线
latviešu virtuve,拉脫維亞飲食
Viesturu pagasts,维埃斯图里堂区
Ceļošanas kārtība Latvijas pilsoņiem,拉脫維亞公民簽證要求
Alotene,阿洛滕内站
Cēsu vaivadija,文登省
Dobeles meteorīta krāteris,多貝萊撞擊坑
Priekuļi,普里埃庫利
Vabole,瓦博莱
Vagonu parks,瓦戈努帕尔克斯站
Varakļānu muiža,瓦拉克利亚尼宫
Vispārējie latviešu Dziesmu un Deju svētki,拉脱维亚歌舞节
Rundāles pils,隆黛爾宮
Tiņģeres muiža,季尼杰雷庄园
Tore,托雷站
Torņakalns,托尔尼亚卡尔内斯站
Tukums II – Jelgava dzelzceļa līnija,图库姆斯-叶尔加瓦铁路
Tīraine,季赖内站
Ugāle,乌加莱站
Usma,乌斯马站
Rīgas Vagonbūves rūpnīca,里加车辆制造厂
Gaiziņkalns,蓋幸肯山
Liepāja,利耶帕亚
Limbaži,林巴日
Šķirotava,什基罗塔瓦站
Gaisma,盖斯马站
Gardene,加尔登内
Glūda,格卢达站
Latvijas Biozinātņu un tehnoloģiju universitāte,拉脱维亚生命科学与技术大学
Kaņieris,卡涅里斯湖
Demokrātiskā Centra partija,拉脱维亚社会民主中心党
Dobele,多贝莱站
Melluži,梅卢日
Asari,阿萨里站
Atgāzene,阿特加泽内站
Babītes pagasts,巴比泰堂区
Babīte,巴比泰站
Babītes ezers,巴比泰湖
Vārkavas novads,瓦爾卡瓦市鎮
Iecava,耶察瓦
Karosta,卡洛斯塔
Lielupe,利耶卢佩
Latvijas Republikas Tieslietu ministrija,拉脫維亞司法部
Ilmāja,伊尔玛亚站
Daugavas stadions,道加瓦體育場
Latvijas pareizticīgā baznīca,拉脫維亞正教會
Rīgas Doms,里加主教座堂
Aģe,阿格耶河
Zemgales tilts,里加铁桥
Pļaviņas,普利亚维尼亚斯站
Ludzas pils,卢扎城堡
Tukums II,图库姆斯第二车站
Saldus,萨尔杜斯站
Latvijas Krievu savienība,拉脱维亚俄罗斯族联盟
Tēvzemei un Brīvībai/LNNK,為了祖國與自由/拉脫維亞民族獨立運動
Rīgas ģerbonis,里加市徽
Jaundubulti,新杜布尔季
Lielstraupes pils,利斯特勞普城堡
Saukas ezers,紹卡斯湖
Tadaiķi,塔代基站
Cukurs C-6bis,希庫爾斯C.6bis俯衝轟炸機
Dartz,Dartz
Dzērbenes muiža,泽尔贝内庄园
Džūkste,朱克斯泰站
Džūkstes pagasts,祖克斯特堂區
BA Turība,图里巴站
Jaunais laiks,新时代党
Zvāre,兹瓦莱站
Īves pagasts,伊韦堂区
Ķegums,基耶古姆斯站
Ventspils novads,文茨皮爾斯市鎮
Zvejnieki,茲韋伊尼埃基墓葬羣
Mēmele,內穆內利斯河
LGBT tiesības Latvijā,拉脫維亞LGBT權益
Latvijas Ceļš,拉脱维亚道路
11. Saeimas vēlēšanas,2011年拉脫維亞議會選舉
Jelgavas pils,葉爾加瓦宮
Latvijas Republikas Zemessardze,拉脫維亞國民警衛隊
Lielvārde,利耶尔瓦尔代站
Ogre,奥格雷站
Alauksts,阿勞克斯特斯湖
Tautas partija,人民黨 (拉脫維亞)
Kurzemes reģions,庫爾澤梅計畫區
Ģibuļu pagasts,吉布里堂区
Kandava,坎达瓦站
Latvija 2014. gada Ziemas Olimpiskajās spēlēs,2014年冬季奧林匹克運動會拉脫維亞代表團
"Latvijas Vides, ģeoloģijas un meteoroloģijas centrs",拉脱维亚环境、地质与气象中心
Ķemeru nacionālais parks,凱邁里國家公園
Rītupe,烏特羅亞河
nāvessods Latvijā,拉脱维亚死刑制度
Salaca,薩拉察河
Fomins & Kleins,福明斯和克萊恩斯
Ventspils osta,文茨皮尔斯港
Kaibala,凯巴拉站
Latvijas kino,拉脫維亞電影
Dendrārijs,植物园站_(拉脱维亚)
Jaunpagasts,新堂区
Vabole (stacija),瓦博莱站
Vaivari,瓦伊瓦里
Vaivari,瓦伊瓦里站
Dzērbene,泽尔贝内
Lubāns,盧班斯湖
Latvijas Nacionālais mākslas muzejs,國立拉脫維亞美術館
Latvijas—Krievijas miera līgums,拉脫維亞-蘇俄和平條約
Lašupe,拉舒佩站
Zunda Towers,尊达塔
Drīdzis,德里濟斯湖
Dubna,杜布納河 (道加瓦河流域)
Usmas ezers,烏斯馬湖
Latvijai un Ventspilij,為了拉脫維亞和文茨皮爾斯
Lašupe,拉舒佩
Pelēkie zirņi,灰豌豆
Rīgas Kristus Piedzimšanas pareizticīgo katedrāle,里加圣诞主教座堂
Stendes muiža,斯滕代庄园
Dinaburgas pils,迪納布爾加城堡
Sports Latvijā,拉脫維亞體育
Jaunogre,新奥格雷站
Jaunolaine,新奥莱内站
Dzelzceļa līnija Jelgava—Krustpils,叶尔加瓦-克鲁斯特皮尔斯铁路
Jumprava,尤姆普拉瓦站
Jumpravas pagasts,尤姆普拉瓦堂区
Imanta,伊曼塔站
Tukums I,图库姆斯I站
Zasulauka Depo,德波站
Smārde,斯马尔代站
Ķemeri,凱邁里站
Salacgrīvas jahtu osta,萨拉茨格里瓦港
Volvo Open Cup,富豪公開賽
Jumprava,尤姆普拉瓦
Jelgavas novads,葉爾加瓦市鎮
Liepājas ezers,利耶帕亞湖
Glūdas pagasts,格卢达堂区
Grobiņas vidusslaiku pils,格羅比尼亞城堡
Latvijas Basketbola savienība,拉脫維亞籃球協會
Latvijas Zinātņu akadēmija,拉脱维亚科学院
Jāņavārti,雅尼亚瓦尔季站
Demokrātiskais Centrs,民主中心
Latvijas Republikas proklamēšanas diena,拉脱维亚独立日
Dzintari,津塔里
Dzintari,津塔里站
Austrumeiropas platforma,東歐克拉通
Skonto stadions,斯孔托体育场
Latvijas Zemnieku savienība,拉脱维亚农民联盟
Latvijas Republikas Augstākā Padome,拉脫維亞最高蘇維埃
FS METTA/Latvijas Universitāte,梅塔足球俱乐部
Limbažu novads,林巴日市鎮
Jēkabpils novads,葉卡布皮爾斯市鎮
Ķīšezers,基舍澤爾斯湖
Latvijas Sociāldemokrātiskā Strādnieku partija,拉脱维亚社会民主工人党
Nacionālā apvienība "Visu Latvijai!"—"Tēvzemei un Brīvībai/LNNK",民族聯盟 (拉脫維亞)
Gardene,加尔登内站
Rēzeknes novads,雷澤克內市鎮
Liepājas osta,利耶帕亚港
Koknese,科克内塞站
Krustpils pils,克魯斯特皮爾斯城堡
Dzelzceļa līnija Krustpils—Rēzekne II,克鲁斯特皮尔斯-雷泽克内铁路
Krāslavas pils,克拉斯拉瓦新宫
Krāslavas ordeņa pils,克拉斯拉瓦旧宫
Lielvārdes pils,利耶爾瓦爾代城堡
Liepupes pagasts,利普教區
FK Auda,FK奥达
Nepilsoņi,非公民
Zemgales Olimpiskais centrs,泽姆加莱奥林匹克中心
Zosēnu pagasts,藻塞尼堂区
Jersika,杰西卡公国
Latvijas Nacionālās Neatkarības Kustība,拉脫維亞民族獨立運動黨
Dubulti,杜布尔季站
Jersika (stacija),耶尔斯卡站
Dzelzceļa līnija Rīga—Jelgava,里加－叶尔加瓦鐵路
Pārdaugava,帕尔道加瓦
Ropažu novads,羅帕日市鎮
Latvijas Tautas fronte,拉脱维亚人民阵线
Latvijas volejbola izlase,拉脫維亞國家男子排球隊
Iecava,耶察瓦河
Latvijas Basketbola līga,拉脱维亚篮球联赛
Slīteres nacionālais parks,斯里特國家公園
biezpiena plācenīši,錫爾尼基
Kolkasrags,科尔卡角
The Baltic Times,波羅的海時報
Latvijas Radio,拉脱维亚电台
BFC Daugavpils,陶格夫匹尔斯足球俱乐部
Krustpils pagasts,克鲁斯特皮尔斯堂区
SmartLynx Airlines,山貓航空
Latvijas Okupācijas muzejs,拉脱维亚被占领时期博物馆
Kūdra,库德拉站
Kūkova,庫赫瓦河
Milzkalne,米尔兹卡尔内站
Līči,利奇站
Viļakas novads,維利亞卡市鎮
Lutriņi,卢特里尼
Līgciems,利格茨埃姆站
Līvbērze,利夫贝尔泽
Līvāni (stacija),利瓦尼站
Lielupe,利耶卢佩站
Liepas pagasts,利耶帕堂区
Līksna (stacija),利克斯纳站
Aizkraukles kauja,埃兹卡乌克战役
Kolka,科爾卡
Saeimas priekšsēdētājs,拉脫維亞議會議長
Rušons,魯紹納斯湖
Baltijas valstu nacionālo parku uzskaitījums,波罗的海三国国家公园列表
LPP/LC,拉脫維亞第一黨/拉脫維亞之路
Par Latvijas Republikas neatkarības atjaunošanu,重建独立的拉脱维亚共和国
Ozolsala,奥佐尔萨拉站
Padone,帕多内站
Pasažieru vilciens,拉脱维亚铁道客运公司
Majori,马约里站
Melluži,梅卢日站
Latvijas Nacionālais simfoniskais orķestris,拉脱维亚国家交响乐团
Latvijas Pagaidu valdība,拉脫維亞臨時政府
Latvijas kuģniecība,拉脱维亚航运公司
latviešu zīmju valoda,拉脱维亚手语
NBS Speciālo uzdevumu vienība,特別任務單位
Latvijas Republikas aizsardzības ministrs,拉脱维亚国防部长
Sieksāte,锡埃克萨泰站
Latvijas Sarkanais Krusts,拉脫維亞紅十字會
Tautsaimnieku politiskā apvienība,經濟學家政治聯盟
Praviņi,普拉维尼站
Pāvilostas osta,帕维洛斯塔港
Pumpuri,普姆普里
Puze,普泽站
Dzelzceļa līnija Ventspils—Maskava,文茨皮尔斯-莫斯科铁路
Mežciems (stacija),梅日齐姆斯站
Mikrofona aptauja,麦克风 (歌曲比赛）
Milzkalne,米尔兹卡尔内
Latvijas Republikas Ekonomikas ministrija,经济部
Latvijas Republikas Satiksmes ministrija,拉脫維亞運輸部
nacionālais parks,拉脫維亞國家公園
Ludza,勒扎河
Pūre,普雷站
Lubes pagasts,卢贝堂区
Majori,马约里
Namiķi,纳米基_(卢特里尼堂区)
Krāslavas novads,克拉斯拉瓦市镇
Mežaparka Lielā estrāde,梅薩帕克露天舞臺
Miķeļbāka,米开洛夫斯科
Latvijas politika,拉脫維亞政治
Jāņi,亞尼節
Latvijas Nacionālais teātris,拉脫維亞國家劇院
Nīcgale,尼茨加莱
Olaine,奥莱内站
Saulkalne,绍尔卡尔内
Terehova,德雷霍瓦
Tiņģere,季尼杰雷
Ozolnieki,奧佐爾涅基車站
Olaines pagasts,奥莱内堂区
Ciblas novads,齊布拉市鎮
Rīgas Horālā sinagoga,合唱大猶太會堂 (里加)
Rīgas sinagoga,佩塔夫猶太會堂
Daugavpils Universitāte,陶格夫匹尔斯大学
Nīcas novads,尼察市鎮
Mākslas muzejs "Rīgas Birža",拉脫維亞外國藝術美術館
Pirmais Baltijas kanāls,第一波罗的海频道
Vendi,温迪
Salaspils pagasts,萨拉斯皮尔斯堂区
Rēzekne,雷澤克內河
Latvijas augstskolas,拉脱维亚大学列表
Latvijas Nacionālais vēstures muzejs,國立拉脫維亞歷史博物館
tramvaju satiksme Liepājā,利亞帕亞電車
LETA,拉脱维亚通讯社
Lilaste,利拉斯泰
Liepājas partija,利耶帕亞黨
Rīdzene,里泽内
Rītausmas,里陶斯马斯
Sabile,萨比莱站
Rīgas arhibīskapija,天主教里加總教區
Auces novads,奧采市鎮
Ventas rumba,文塔瀑布
Saka,萨卡河
Amatas novads,阿馬塔市鎮
Latvijas saimniecība,拉脫維亞經濟
Pāvilostas novads,帕維洛斯塔市鎮
Valkas novads,瓦爾卡市鎮
Josta,约斯塔站
Latvijas dzelzceļa vēstures muzejs,拉脱维亚铁路历史博物馆
Vēlēšanas Baltijā (1940),人民议会
Nīcgale (stacija),尼茨加莱站
Nīcgales pagasts,尼茨加莱堂区
Slampe,斯拉姆佩站
Priedaine,普里埃代内
Imanta,伊曼塔
Vecmīlgrāvis,維茨米爾格拉維斯
Zasulauks,扎苏劳克斯
Bulduri,布尔杜里
Cēsu novads,采西斯市镇
Latvijas politisko partiju uzskaitījums,拉脫維亞政黨列表
Tērvete,特尔韦特
Trepe (stacija),特雷佩站
Vecpiebalgas novads,舊皮耶巴爾加市鎮
Spāre,斯帕雷
Smiltenes novads,斯米爾泰內市鎮
Durbes novads,杜爾貝市鎮
Mihaila Čehova Rīgas Krievu teātris,里加俄羅斯劇場
Rīgas Latviešu biedrība,里加拉脱维亚学会
reliģija Latvijā,拉脱维亚宗教
Slokas stadions,斯洛卡球場
Sloka,斯洛卡站
Smārdes pagasts,斯马尔代堂区
