Diego Velázquez,디에고 벨라스케스
Julen Lopetegui,훌렌 로페테기
Carme Chacón,카르메 차콘
Pepe Reina,페페 레이나
Pep Guardiola,펩 과르디올라
Carles Puyol,카를레스 푸욜
Juan Carlos Onetti,후안 카를로스 오네티
Thiago Alcántara,티아고 알칸타라
Jonathan dos Santos,호나탄 도스 산토스
Federico García Lorca,페데리코 가르시아 로르카
Antonio Banderas,안토니오 반데라스
Mariano García Remón,마리아노 가르시아 레몬
Lope de Vega,로페 데 베가
Isabel de Valois (reina de España),발루아의 엘리자베트
Sergio González Soriano,세르히오 곤살레스 소리아노
Alfredo Di Stéfano,알프레도 디 스테파노
Cesc Fàbregas,세스크 파브레가스
Xavi Hernández,차비 에르난데스
Fernando Torres,페르난도 토레스
Gerard Piqué,제라르드 피케
Jean Reno,장 르노
David de Gea,다비드 데 헤아
Alfonso XIII de España,알폰소 13세
José Manuel Pinto,호세 마누엘 핀토
Santiago Calatrava,산티아고 칼라트라바
Isabel de Borbón-Parma,파르마 공녀 이사벨라
Bojan Krkić,보얀 크르키치
Pedro (futbolista),페드로 로드리게스 레데스마
Lupe Fuentes,루프 푸엔테스
Juan Mata,후안 마타
Andrés Iniesta,안드레스 이니에스타
Santiago Ramón y Cajal,산티아고 라몬 이 카할
Ignacio de Loyola,이냐시오 데 로욜라
Isabel II de España,이사벨 2세 (스페인)
Dani Güiza,다니엘 귀사
Alejandro Cao de Benós de Les,알레한드로 페레스
Álvaro Domínguez,알바로 도밍게스 소토
César Rodríguez,세사르 로드리게스 알바레스
Daniel Sánchez Ayala,다니엘 아얄라
Curro Torres,쿠로 토레스
Ángel Suquía,앙헬 수키아 고이코에체아
Juana de Austria,후아나 데 에스파냐 왕녀
Matilde Camus,마틸데 카무스
Pedro Calderón de la Barca,페드로 칼데론 데 라 바르카
Carlos IV de España,카를로스 4세 (스페인)
Vasco Núñez de Balboa,바스코 누녜스 데 발보아
Andrés Guardado,안드레스 과르다도
Javier Ángel Balboa,하비에르 발보아
José Luis Pérez Caminero,호세 루이스 카미네로
Antonio María Rouco Varela,안토니오 마리아 로우코 발레라
Pierre-Emerick Aubameyang,피에르에므리크 오바메양
Miguel de Unamuno,미겔 데 우나무노
Secun de la Rosa,세쿤 데라로사
Manuel Pablo,마누엘 파블로
Xisco Jiménez,시스코 히메네스
Luis Miguel Arconada,루이스 아르코나다
Vicente Guaita,비센테 과이타
Juan Bernat,후안 베르나트
Fernando Morientes,페르난도 모리엔테스
Dani Parejo,다니엘 파레호
Sergio Canales,세르히오 카날레스
Enrique Iglesias,엔리케 이글레시아스
Juana I de Castilla,후아나 (카스티야)
Juan Antonio Samaranch,후안 안토니오 사마란치
Emma Penella,엠마 페넬라
Jesús Navas,헤수스 나바스
Markel Susaeta,마르켈 수사에타
Mikel Arteta,미켈 아르테타
Santi Cazorla,산티 카소를라
Javier Portillo,하비에르 포르티요
Martín Fiz,마르틴 피스
Michu,미겔 페레스 쿠에스타
Julen Guerrero,훌렌 게레로
Juan Carlos I de España,후안 카를로스 1세
Víctor Valdés,빅토르 발데스
Iago Aspas,이아고 아스파스
Sergio Busquets,세르히오 부스케츠
Álvaro Morata,알바로 모라타
Raúl Vicente Amarilla,라울 비센테 아마리야
Isaac Cuenca,이사크 쿠엥카
José Callejón,호세 카예혼
Felipe Caicedo,펠리페 카이세도
Manolo Preciado,마누엘 프레시아도
Luis Buñuel,루이스 부뉴엘
Cristian Tello,크리스티안 테요
Antoni Gaudí,안토니 가우디
Emiliano Insúa,에밀리아노 인수아
Carlos II de Parma,카를로 2세 디 파르마 공작
Quique Sánchez Flores,키케 산체스 플로레스
Fernando VII de España,페르난도 7세
Carlos Marchena,카를로스 마르체나
Benito Floro,베니토 플로로
Juan Carlos Ferrero,후안 카를로스 페레로
Juan Antonio Pizzi,후안 안토니오 피시
Isaac Albéniz,이사크 알베니스
Miguel Servet,미카엘 세르베투스
Dani Alves,다니 아우베스
Juan Ponce de León,후안 폰세 데 레온
Javier Saviola,하비에르 사비올라
Álex Fernández Iglesias,알렉스 페르난데스
Camilo Cienfuegos,카밀로 시엔푸에고스
Manolo Jiménez Jiménez,마누엘 히메네스 히메네스
Aritz Aduriz,아리츠 아두리스
Pedro Almodóvar,페드로 알모도바르
Elena de Borbón,루고 여공작 인판타 엘레나
Josemaría Escrivá de Balaguer,호세마리아 에스크리바
Miriam Díaz-Aroca,미리암 디아스 아로카
Jordi Alba,조르디 알바
Fernando de Rojas,페르난도 데 로하스
Adelardo Rodríguez,아델라르도 로드리게스
Santiago Segura,산티아고 세구라
Alberto Bueno,알베르토 부에노
Alejandro González Iñárritu,알레한드로 곤살레스 이냐리투
Álvaro González Soberón,알바로 곤살레스 (1990년)
Arantxa Sánchez Vicario,아란차 산체스 비카리오
Fernando Llorente,페르난도 요렌테
Juan de la Cierva,후안 데 라 휘에르바
Joan Capdevila Méndez,주안 캅데빌라
Paco Soler,파코 솔레르
Fran (futbolista nacido en 1969),프란 곤살레스
Gerard Deulofeu,제라르드 데울로페우
Luis Milla,루이스 미야
Pablo Sarabia,파블로 사라비아
Mikel Balenziaga,미켈 발렌시아가
Francisco Franco,프란시스코 프랑코
Amancio Ortega,아만시오 오르테가
Benito Pérez Galdós,베니토 페레스 갈도스
María Estela Martínez de Perón,이사벨 페론
Gonzalo Castro (futbolista alemán),곤살로 카스트로
Francisco de Asís de Borbón,프란시스코 데 카디스 공작
Juan Ruiz de Alarcón,후안 루이스 데 알라르콘
Jaume Collet-Serra,자우메 코예트세라
José Ángel Crespo,호세 앙헬 크레스포
Jesé Rodríguez,헤세 로드리게스
Iñaki Urdangarin,이나키 우르단가린
Bata (futbolista),아구스틴 사우토 아라나
Bartolomé Esteban Murillo,바르톨로메 에스테반 무리요
Andrés Segovia,안드레스 세고비아
Raymond Domenech,레몽 도메네크
Carlos Aguilera Martín,카를로스 아길레라 마르틴
Mario Gaspar,마리오 가스파르
Casemiro,카제미루
Domènec Balmanya,도메네크 발마냐
Rafael Muñoz Pérez,라파엘 무뇨스
Pedro Cea,페드로 세아
Felipe VI de España,펠리페 6세
Fernando Verdasco,페르난도 베르다스코
David Ferrer,다비드 페레르
Miguel Bosé,미겔 보세
Gabri García,가브리 가르시아
Roberto Martínez Montoliu,로베르토 마르티네스
Jon Andoni Goikoetxea,혼 안도니 고이코에체아
Francisco Camarasa,프란시스코 호세 카마라사
Aleix Vidal,알레시 비달
Patricia Conde (presentadora),파트리시아 콘데
Francisco Chaparro Jara,파코 차파로
Ambrosio Spínola,암브로시오 스피놀라 도리아
Francisco de Quevedo,프란시스코 데 케베도
Miguel Ángel Moyá,미겔 앙헬 모야
Fernando VI de España,페르난도 6세
Pau Gasol,파우 가솔
Miguel Primo de Rivera,미구엘 프리모 데 리베라
Gregorio Manzano,그레고리오 만사노
Manolo Jiménez Abalo,마누엘 히메네스 아발로
Juan Vizcaíno,후안 비스카이노
Chico Flores,호세 마누엘 플로레스
Jorge Otero,호르헤 오테로
Josep Escolà,주제프 에스콜라
Carlos Moyá,카를로스 모야
Cani (futbolista),루벤 그라시아
Manuel de Falla,마누엘 데 파야
Dani García Lara,다니 가르시아 라라
Raúl Fernández-Cavada,라울 페르난데스카바다
Alejandro Grimaldo,알렉스 그리말도
Benicio del Toro,베니시오 델 토로
Marcos Senna,마르코스 세나
Carles Rexach,카를레스 렉사치
Xabi Prieto,샤비 프리에토
Valentín Gómez Farías,발렌틴 고메스 파리아스
Andoni Goikoetxea,안도니 고이코에체아 올라스코아가
Carlos Gurpegi,카를로스 구르페기
Ferrán Corominas,페란 코로미나스
Juan Manuel Asensi,후안 마누엘 아센시
Gabi Fernández,가브리엘 페르난데스 아레나스
Alfonso de Borbón y Battenberg,아스투리아스 공 알폰소
Juan García Postigo,후안 가르시아 포스티고
Alfonso Silva Placeres,알폰소 실바
Eva González (modelo),에바 곤살레스
Natalia Sánchez,나탈리아 산체스
Letizia Ortiz,스페인 왕비 레티시아
Juan Sebastián Elcano,후안 세바스티안 엘카노
Ismael Urzaiz,이스마엘 우르사이스
Javi Martínez,하비 마르티네스
Baltasar Gracián,발타사르 그라시안
DJ Sammy,DJ 새미
Ibai Gómez,이바이 고메스
Guti (futbolista),구티 (축구 선수)
Miguel Muñoz,미겔 무뇨스
Ernesto Valverde,에르네스토 발베르데
Manuel Amorós,마뉘엘 아모로스
Valdo,발도
Jaime Huélamo,하이메 우엘라모
Joaquín Caparrós,호아킨 카파로스
Alberto Lopo,알베르토 로포
Raúl de Tomás,라울 데 토마스
Heriberto Herrera,에리베르토 에레라
Pascual Cervera y Topete,파스쿠알 세르베라
Chus Pereda,헤수스 마리아 페레다
Juan Calatayud,후안 칼라타유드
Asier Riesgo,아시에르 리에스고
Víctor Manuel Fernández,빅토르 마누엘 페르난데스
Rubén Castro,루벤 카스트로
Victoria Abril,빅토리아 아브릴
Manuel Azaña,마누엘 아사냐
Rafael del Riego,라파엘 델 리에고
Gustavo Adolfo Bécquer,구스타보 아돌포 베케르
Luis Molowny,루이스 몰로니
Albert Rocas,알베르트 로카스
Pablo Sarasate,파블로 데 사라사테
Manu Sarabia,마누엘 사라비아
Salvador Artigas,살바도르 아르티가스
Luis Tosar,루이스 토사르
Fernando Hierro,페르난도 이에로
Pedro Luis Farnesio,피에르 루이지 파르네세
Sergio Sánchez Ortega,세르히오 산체스
Nando Muñoz,난도 무뇨스
Juan Mayorga,후안 마요르가
Eduardo Noriega,에두아르도 노리에가
Antonio López Habas,안토니오 로페스 아바스
Manolete,마놀레테
Ramón Eguiazábal,라몬 에기아사발
Antonio Puerta,안토니오 푸에르타
Bartolomé de las Casas,바르톨로메 데 라스 카사스
Rafael Martín Vázquez,라파엘 마르틴 바스케스
José Javier Hombrados,호세 하비에르 옴브라도스
Pahiño,파이뇨
Alberto Entrerríos,알베르토 엔트레리오스
José Villalonga,호세 비얄롱가 요렌테
Antonio Gelabert Armengual,안토니오 겔라베르트
Ismael Ruiz Salmón,이스마엘 루이스
Mariano Gonzalvo,마리아노 곤살보
Raúl Baena,라울 바에나
Juan Antonio Bayona,후안 안토니오 바요나
Enrique Porta,엔리케 포르타
Agustín Rodríguez Santiago,아구스틴 로드리게스 산티아고
Xabi Alonso,샤비 알론소
Pau Casals,파블로 카살스
Buenaventura Durruti,부에나벤투라 두루티
Manu Chao,마누 차오
Francisco de Orellana,프란시스코 데 오레야나
Gregorio Álvarez,그레고리오 알바레스
José Manuel Jurado,호세 마누엘 후라도
Pedro de San José de Betancur,성 페테르 베탄쿠르
Juanmi Jiménez,후안미 히메네스
José de Espronceda,호세 데 에스프론세다
Francisco de Zurbarán,프란시스코 데 수르바란
Mercedes Sampietro,메르세데스 삼피에트로
Poli Rincón,이폴리토 링콘
Jacinto Quincoces,하신토 킹코세스
José Ángel Iribar,호세 앙헬 이리바르
Alfonso de Galarreta,알폰소 데 갈라레타
Víctor Ruiz Torre,빅토르 루이스 토레
Eusebio Sacristán,에우세비오 사크리스탄
Javier Fernández López,하비에르 페르난데스
Francisco Pavón,프란시스코 파본
Álvaro Negredo,알바로 네그레도
Juanfran Torres,후안 프란시스코 토레스
Carlos Sainz,카를로스 사인스
Bárbara Lennie,바르바라 레니에
Andrés Palop,안드레스 팔로프
Luis I de España,루이스 1세 (스페인)
Ricky Rubio,리키 루비오
Oier Olazábal,오이에르 올라사발
James Rodríguez,하메스 로드리게스
Romà Forns,로마 폰스
Vicente del Bosque,비센테 델 보스케
Estanislao Argote,에스타니슬라오 아르고테
Mikel Lasa,미켈 라사
José Muguerza,호세 무게르사
Iago Herrerín,이아고 에레린
Nando González,난도 곤살레스
Rubén de la Red,루벤 데 라 레드
Leonor de Borbón,아스투리아스 여공 레오노르
Adolfo Suárez,아돌포 수아레스
Tommy Robredo,토미 로브레도
Ander Iturraspe,안데르 이투라스페
Bruno Soriano,브루노 소리아노
Juan Luis Mora,후안 루이스 모라
Azahara Muñoz,아사아라 무뇨스
Willy Toledo,기예르모 톨레도
Lorena Ayala,로레나 아얄라
Jordi Mollà,조르디 모야
Sergio Corino,세르히오 코리노
Albert Riera Ortega,알베르트 리에라
Tomás Luis de Victoria,토마스 루이스 데 빅토리아
Juanito Gutiérrez,후안 구티에레스 모레노
Andoni Zubizarreta,안도니 수비사레타
David Barrufet,다비트 바루페트
Mario Suárez,마리오 수아레스 마타
Jonathan Soriano,호나탄 소리아노
Pedro Munitis,페드로 무니티스
Xavier Montsalvatge,사비에르 몬살바헤
Francisco Rufete,프란시스코 루페테
Pablo Alfaro,파블로 알파로
Juan Ginés de Sepúlveda,후안 히네스 데 세풀베다
Ion Vélez,이온 벨레스
Javi Casas,하비 카사스
Edmundo Suárez de Trabanco,에드문도 수아레스
Alejandro Gálvez,알레한드로 갈베스
Pedro María Artola,페드로 마리아 아르톨라
Míchel Salgado,미첼 살가도
Roberto Soldado,로베르토 솔다도
Andreu Fontàs,안드레우 폰타스
Aitor Karanka,아이토르 카랑카
Antonio Buero Vallejo,안토니오 부에로 바예호
Vicente Blasco Ibáñez,빈센트 블라스코 이바네스
Iñaki Sáez,이냐키 사에스
Juanfran García,후안 프란시스코 가르시아
Antoni Ramallets,안토니 라마예츠
Gerardo García León,헤라르도 가르시아 레온
Jesús María Zamora,헤수스 마리아 사모라
Juan Ramón López Caro,후안 라몬 로페스 카로
Roberto Solozábal,로베르토 솔로사발
Luis de Góngora,루이스 데 공고라
Pío Baroja,피오 바로하
Jeb Bush,젭 부시
Koldo Álvarez,콜도 알바레스
Adriana Ozores,아드리아나 오소레스
María Cristina de Habsburgo-Lorena,마리아 크리스티나 폰 외스터라이히 여대공 (1858년)
Juan Velasco Damas,후안 벨라스코 다마스
Manolo «el del Bombo»,큰 북의 마놀로
Enrique Romero,엔리케 로메로
Imanol Agirretxe,이마놀 아기레체
Luis Enrique Martínez García,루이스 엔리케 마르티네스 가르시아
Dani Jarque,다니엘 하르케
Tito Vilanova,티토 빌라노바
Santiago Bernabéu,산티아고 베르나베우 예스테
Manuel Roxas,마누엘 로하스
Felipe I de Parma,파르마 공작 필리포
Adriana Ugarte,아드리아나 우가르테
Ikechukwu Uche,이케추쿠 우체
Victorio Unamuno,빅토리오 우나무노
Rodrigo Moreno Machado,로드리고 모레노 마차도
María Vladímirovna Románova,마리야 블라디미로브나 여대공
Ignasi Miquel,이그나시 미켈
Marisol,마리솔 (배우)
Armando Ribeiro,아르만도 리베이로
Francesc Sabaté,프란시스코 사바테 요파르트
Sisi (futbolista),시시니오 곤살레스 마르티네스
Roger García Junyent,로헤르 가르시아 후니엔트
Carmen Polo,카르멘 폴로
Paulino Rivero,파울리노 리베로
Adrián Escudero,아드리안 에스쿠데로
Lolita (cantante),롤리타 플로레스
David López Moreno,다비드 로페스 모레노
Hugo Silva (actor),우고 실바
Carlos Westendorp,카를로스 웨스텐도르프
José Manuel Pesudo,호세 마누엘 페수도
María Luisa de Orleans,마리루이즈 도를레앙
Eduardo Marquina,에두아르도 마르퀴나
Amaia Montero,아마이아 몬테이로
Quini,엔리케 카스트로 곤살레스
Pompeu Fabra,폼페우 파브라
Bernardino de Sahagún,베르나디노 데 사아군
Sergi López,세르히 로페스
José Claramunt,호세 클라라문트
Felipe IV de España,펠리페 4세
Salva Iriarte,살바 이리아르테
María Luisa Gabriela de Saboya,마리아 루이사 디 사보이아 왕녀
Isabel Farnesio,엘리사베타 파르네세 디 파르마 공녀
María Isabel López,마리아 이사벨 (가수)
María Luisa de Borbón,마리아 루도비카 폰 슈파니엔
María Luisa de Parma,마리아 루이사 디 파르마 공녀
Mariano Fortuny,마리아노 포르투니 (화가)
Adán Martín,아단 마르틴 메니스
Mikel Laboa,미켈 라보아
Goya Toledo,고야 톨레도
Elsa Pataky,엘사 파타키
Demetrio Lozano,데메트리오 로사노
Massiel,마시엘 (가수)
Soraya Arnelas,소라야 아르넬라스
Salva Ballesta,살바 바예스타
Ana de Armas,아나 데 아르마스
Antonio de Nebrija,안토니오 데 네브리하
Geraldine Chaplin,제럴딘 채플린
Cristina de Borbón,스페인 인판타 크리스티나
Víctor Muñoz,빅토르 무뇨스
Fabiola de Mora y Aragón,벨기에의 파비올라
Mariana Victoria de Borbón,마리아나 빅토리아 데 에스파냐 왕녀
Bárbara de Braganza,바르바라 지 포르투갈 왕녀
Cristóbal Balenciaga,크리스토발 발렌시아가
Salvador de Madariaga,살바도르 데 마다리아가
Víctor Sánchez del Amo,빅토르 산체스 델 아모
Sergi Roberto,세르지 로베르토
Joel Robles,호엘 로블레스
Manuel Badenes,마누엘 바데네스
José Ángel Ziganda,호세 앙헬 시간다
Félix Candela,펠릭스 칸델라
Enric Valor,엔리크 발로르 이 비베스
Jaime de Borbón y Battenberg,하이메 데 세고비아 공작
Luis Regueiro,루이스 레게이로
Fele Martínez,펠레 마르티네스
Martín Marculeta,마르틴 마르쿨레타
Alicia de Larrocha,알리시아 데 라로차
Isabel Coixet,이자벨 코셰트
Victoria de los Ángeles,빅토리아 데 로스앙헬레스
Natalia Oreiro,나탈리아 오레이로
María Antonia Fernanda de Borbón,마리아 안토니아 페르난다 데 에스파냐
Lucía Pérez,루시아 페레스
María Teresa Rafaela de España,마리아 테레사 라파엘라 데 에스파냐 왕녀
Antonio Olmo (futbolista),안토니오 올모
Alejandro Alfaro,알레한드로 알파로
Salvador Sadurní,살바도르 사두르니
Raúl Entrerríos,라울 엔트레리오스
Arsenio Iglesias,아르세니오 이글레시아스
Juan Marrero Pérez,후안 일라리오 마레로
José Manuel Ochotorena,호세 마누엘 오초토레나
Pedro Contreras,페드로 콘트레라스
Marta Baldó,마르타 발도
María Isabel de Braganza,마리아 이사벨 지 포르투갈 왕녀
Belinda (cantante),벨린다 (가수)
Carlota Joaquina de Borbón,카를로타 호아키나 데 에스파냐 왕녀
María Luisa de Borbón (1782-1824),스페인의 마리아 루이사
María Isabel de Borbón,마리아 이사벨 데 에스파냐 왕녀
Catalina Micaela de Austria,카테리나 미카엘라 데 에스파냐 왕녀
Javier Yubero,하비에르 유베로
Sanmao (escritora),싼마오
Jorge Sanz,호르헤 샌즈
Mario Casas,마리오 카사스
Joel González,호엘 곤살레스
Rubén Pérez del Mármol,루벤 페레스
Lobo Carrasco,프란시스코 호세 카라스코
Alberto Ormaetxea,알베르토 오르마에체아
Àstrid Bergès-Frisbey,아스트리드 베르제프리스베
Severo Ochoa,세베로 오초아
Leonor Watling,레오노르 와틀링
Maribel Verdú,마리벨 베르두
Adelina Patti,아델리나 파티
Nathalia Ramos,나탈리아 라모스
Rafael Marañón,라파엘 카를로스 페레스 곤살레스
Cristian Darío Álvarez,크리스티안 다리오 알바레스
Borja Oubiña,보르하 오우비냐
José Vicente Train,호세 비센테 트라인
Martí Ventolrà,마르티 벤톨라
Estanislao Figueras,에스타니슬라오 피게라스
Vicente Piera,비센테 피에라
Julio Iglesias Puga,훌리오 이글레시아스 푸가
José Eulogio Gárate,호세 에울로히오 가라테
Ferran Olivella,페란 올리베야
Paz Vega,파스 베가
Pastora Soler,파스토라 솔레르
Sara Carbonero,사라 카르보네로
Piru Gainza,아구스틴 가인사
Carmen Maura,카르멘 마우라
Sabino Barinaga,사비노 바리나가
Jesús Gil,헤수스 힐
Manolo Sánchez Delgado,마누엘 산체스 델가도
Gervasio Deferr,헤르바시오 데페르
Juan Lindo,후안 린도
Domingo Cisma,도밍고 시스마
Miguel Tendillo,미겔 텐디요
Alfredo Landa,알프레도 란다
George Santayana,조지 산타야나
David Trueba,다비드 트루에바
Juan Echanove,후안 에차노브
Belén Rueda,벨렌 루에다
Ana Belén,아나 벨렌
Marisa Paredes,마리사 파레데스
Chris Marquette,크리스 마켓
Ivana Baquero,이바나 바케로
Josep Maria Fusté,조세프 마리아 푸스테
Kily Álvarez,다비드 알바레스 아기레
Aitor Ocio,아이토르 오시오
Joan Segarra,주안 세가라
Mariano Martín,마리아노 마르틴
Ricardo Viñes,리카르도 비네스
Carlos Busquets,카를레스 부스케츠
José Rodríguez Martínez,호세 로드리게스 마르티네스
José Iraragorri,호세 이라라고리
Paco Bru,프란시스코 브루
Enrique Almaraz Santos,엔리케 알마라스 이 산토스
Sergio Escudero Palomo,세르히오 에스쿠데로 팔로모
Lorenzo Serra Ferrer,로렌소 세라 페레르
Juan José Flores,후안 호세 플로레스
Jon Kortajarena,혼 코르타하레나
Guillermo Gorostiza,기예르모 고로스티사
Iñigo Díaz de Cerio,이니고 디아스 데 세리오
Mónica Cruz,모니카 크루스
Juan Antonio Ipiña,후안 안토니오 이피냐
Manel Estiarte,마누엘 에스티아르테
Rafael Iriondo,라파엘 이리온도
Marianín,마리아닌
Elvira Lindo,엘비라 린도
Gaspar Cassadó,가스파르 카사도
Juan José Nogués,후안 호세 노게스
Juan Zambudio Velasco,후안 삼부디오 벨라스코
Jesús Huerta de Soto,헤수스 우에르타 데소토
Dolores Ibárruri,돌로레스 이바루리
Joaquín Vázquez,호아킨 바스케스
Fran Yeste,프란시스코 예스테
Igor Gabilondo,이고르 가빌론도
Nicolás García Hemme,니콜라스 가르시아
Koikili Lertxundi,코이킬리 레르춘디
Víctor Erice,빅토르 에리세
Míchel González,호세 미겔 곤살레스
José María Olazábal,호세 마리아 올라사발
Nicolás de Ovando,니콜라스 데 오반도
Roberto Marina,로베르토 마리나
Elena Anaya,엘레나 아나야
Jean Cassou,장 카수
María Valverde,마리아 발베르데
Daniel Plaza,다니엘 플라사
Niurka Montalvo,니우르카 몬탈보
Kiko Casilla,키코 카시야
Lola Flores,롤라 플로레스
Ramón Rodríguez (actor),라몬 로드리게스
Joan Fuster,조안 푸스터
Gorka Elustondo,고르카 엘루스톤도
Ascanio Sforza,아스카니오 스포르차
Malena Alterio,말레나 알테리오
Irene de Grecia,그리스와 덴마크의 공주 이리니 (1942년)
Ciriaco Errasti,시리아코 에라스티
Kike Sola,키케 솔라
Manuel Olivares,마누엘 올리바레스
Miguel Ángel González Suárez,미겔 앙헬 곤살레스 수아레스
Pako Ayestarán,파코 아예스테란
Juan Donoso Cortés,후안 도노소 코르테스
Juanele,후아넬레
Catalanes,카탈루냐인
Florentino Pérez,플로렌티노 페레스
Assumpta Serna,아숨프타 세르나
Xabi Castillo,샤비 카스티요
Isabel Preysler,이사벨 프레이슬레르
Antonio Machado,안토니오 마차도
Fernando Gómez Colomer,페르난도 고메스 콜로메르
Keylor Navas,케일로르 나바스
Marta Etura,마르타 에투라
Gonzalo Pizarro,곤살로 피사로
Julieta Serrano,훌리에타 세라노
Narciso Yepes,나르시소 예페스
Jesús María Satrústegui,헤수스 마리아 사트루스테기
Marquitos (futbolista),마르코스 알론소 이마스
Luis Alberto Romero Alconchel,루이스 알베르토 로메로
José Enrique Sánchez,호세 엔리케 산체스
