Xanana Gusmão,샤나나 구스망
Leonor Baldaque,르오노어 발다쿼
Antónia de Bragança,안토니아 지 포르투갈 왕녀
Portugueses,포르투갈인
Álvaro Siza Vieira,알바루 시자 비에이라
Pedro Proença,페드루 프로엔사
Nené,네네 (1949년)
Hugo Filipe da Costa Vieira,우구 비에이라
Sérgio Oliveira,세르지우 올리베이라
Miguel Veloso,미겔 벨로주
Zé Castro,제 카스트루
Raphaël Guerreiro,하파엘 게헤이루
Diogo Morgado,디오구 모르가두
José Alberto Costa,조세 코스타
João Mário Naval da Costa Eduardo,주앙 마리우
Pedro Guerreiro de Jesus Correia,페드루 게레이루 데 제수스 코레이아
Lucy Bronze,루시 브론즈
Shéu Han,셰우 한
Jorge Jesus,조르즈 제주스
Paulo Rocha (cineasta),파울루 호샤
Mário Barroso,마리오 바로소
Leonardo Jardim,레오나르두 자르딩
Ricardo Carvalho (futebolista),히카르두 카르발류
Maria João Bastos,마리아 주앙 바스투스
Fábio Santos Romeu,파비우 산투스 호메우
Nuno Viriato Tavares de Melo Egídio,누누 비리아투 타바레스 데 멜루 에지디우
António Leitão,안토니우 레이타웅
António Costa,안토니우 코스타
Bruno Pereirinha,브루누 페레이리냐
Tasha de Vasconcelos,타샤 드 바스콘셀로스
Catarina Martins,카타리나 마르팅스
Derlei,데를레이
Pizzi,피찌
Marcelo Rebelo de Sousa,마르셀루 헤벨루 드 소자
André André,앙드레 앙드레
Sereno (futebolista),엔리케 세레누
Deco,데쿠
Adrien Silva,아드리엥 실바
Marco Silva,마르쿠 실바
José Fonte,조제 폰트
Rony Lopes,호니 로페스
António Reis (cineasta),안토니우 헤이스
Ró-Ró,호호 (축구 선수)
Dimas Teixeira,디마스 마르케스
Humberto Coelho,움베르투 코엘류
Stanley Ho,스탠리 호
Bento António Gonçalves,벤투 안토니우 곤사우베스
Michelle Monique Reis,리자신
Barbara Cabrita,바바라 카브리타
Bianca Comparato,비앙카 콤파라투
Danilo Pereira,다닐루 페레이라
Carlos Tavares (empresário),카를루스 타바르스
Bruno Fernandes,브루누 페르난드스 (1994년)
João Pedro Rodrigues,주앙 페드루 호드리게스
Eduardo Ferro Rodrigues,에두아르두 페후 호드리게스
Flávia Alessandra,플라비아 알레산드라
Cláudia Neto,클라우디아 네투
Dalila Carmo,달릴라 카르무
Daniel Carriço,다니엘 카히수
Carolina Deslandes,카롤리나 데즐란드스
Carolina Mendes,카롤리나 멘드스
Carlos Mané,카를루스 마네
Joaquim Dos Santos,조아킹 두스산투스
Rui Rio,후이 히우
Vasco Rocha Vieira,바스코 조아큄 로차 비에이라
Luís Carlos Ramos Martins,루이스 마르틴스
Rogério Samora,로게리오 사모라
Daniel Podence,다니엘 포덴스
Miguel Vítor,미겔 비토르
Peyroteo,페르난두 페이루테우
Tiago Ilori,티아구 일로리
César Peixoto,세자르 페이소투
Pedro Mendes (1990),페드루 필리프 멘드스
Mario Rondón,마리오 론돈
Henrique Viana,헨리크 비안나
Merche Romero,메르시 호메루
Pedro Pichardo,페드루 피샤르두
Michael Simões Domingues,미샤엘 시몽이스 도밍게스
Elvis Évora,에우비스 에보라
David Simão,다비드 시망
José Águas,조제 아구아스
Luís Leal,루이스 레알
Steven Vitória,스테벵 비토리아
Ho Yin,호인
José Carlos Gonçalves Rodrigues,주제 카를루스 곤살브스 호드리게스
Margarida Cordeiro,마르가리다 코르데이루
Nuno Janeiro,누누 자네이루
Mário Rui,마리우 후이
Adriano Luz,아드리아노 루즈
Joana de Verona,조아나 드 베로나
Nicolau Breyner,니콜라우 브레이네르
Duarte Pio de Bragança,두아르트 피우 지 브라간사
João Botelho,주앙 보텔류
João Sousa,주앙 소자
Ileana D'Cruz,일레나 디크루즈
Ricardo Domingos Barbosa Pereira,히카르두 도밍구스 바르보자 페레이라
José Raposo,조시 라포소
Joaquim Pinto,조아킹 핀투
Pedro Henrique de Orléans e Bragança,페드루 엔히키 지 오를레앙스이브라간사
André Almeida (futebolista),안드레 알메이다
Ivo Canelas,이보 카넬라스
João Cancelo,주앙 칸셀루
José Sá,조제 사
Anthony Lopes,안토니 로페스
Otávio Monteiro,오타비우
José Cid,조제 시드
Victoria Guerra,빅토리아 게하
João Nicolau,주앙 니콜라우
Miguel Gomes (cineasta),미겔 고메스
Nuno Delgado,누누 델가두
Jerónimo de Sousa,제로니무 드 소자
Nuno Melo (ator),누노 메로
Miguel Guilherme,미구엘 길허미
João Salaviza,주앙 살라비자
Ricardo Horta,히카르두 오르타
Luís Montenegro,루이스 몬테네그루
Ella Nor,레오노르 안드라드
André Silva (futebolista),안드레 실바
Bernardo Silva,베르나르두 실바
Joel Castro Pereira,조엘 카스트루 페레이라
Paulo Fonseca,파울로 폰세카
Gonçalo Guedes,곤살루 게드스
Diogo Jota,디오구 조타
Rafael Ferreira Silva,하파 실바
Ederson Santana de Moraes,에데르송
Sara Sampaio,사라 삼파이우
Rúben Pinto,후벵 핀투
Suzy Guerra,수지 (포르투갈의 가수)
Jorge Fonseca,조르즈 폰세카
Mário Centeno,마리오 센테노
Rúben Neves,후벵 네베스
Gedson Fernandes,제드송 페르난드스
Jota Filipe,조타 (축구 선수)
Diogo Dalot,디오구 달로
João Félix,주앙 펠릭스
Nélson Semedo,넬송 세메두
Gonçalo Paciência,곤살루 파시엔시아
Ulisses Garcia,울리세스 가르시아
Rúben Dias,후벵 디아스
Gelson Martins,젤송 마르팅스
Diogo Costa,디오구 코스타
Rúben Vinagre,후벵 비나그르
Joana Ribeiro,조아나 히베이루
João Palhinha,주앙 팔리냐
Rui Tiago,후이 실바
André Silva (político),안드레 로렌수 이 실바
Renato Sanches,헤나투 산시스
Florentino Luís,플로렌티누 루이스
Francisco Trincão,프란시스쿠 트링캉
Bárbara Bandeira,바르바라 반데이라
Vitinha,비티냐
Rafael Leão,하파엘 레앙
Loïs Openda,로이스 오펜다
Pedro Gonçalves,페드루 곤살베스
Alba Baptista,알바 바프티스타
Daniela Melchior,다니엘라 멜시오르
Cláudia Pascoal,클라우디아 파스코알
Pedro Neto,페드루 네투
Nuno Tavares,누노 타바레스
Salvador Sobral,살바도르 소브랄
Fábio Silva (futebolista),파비우 시우바
David Carmo,다비드 카르무
Vera Von Monika,베라 본 모니카
Gonçalo Ramos,곤살루 하무스
Manuel Custódia,마누엘 쿠스토디아
Bruno Lage,브루누 라즈
Gabriel Martinelli,가브리엘 마르티넬리
Fábio Vieira,파비우 비에이라
Gonçalo Inácio,곤살루 이나시우
António Silva (futebolista),안토니우 실바
Nuno Mendes (futebolista),누누 멘드스
Fábio Carvalho (futebolista),파비우 카르발류
Matheus Nunes,마테우스 누네스
Marina Machete,마리나 마체테
Vitinha (futebolista),비토르 올리베이라
João Neves,주앙 네베스
