Douglas Adams,ダグラス・アダムズ
Robert Robinson,ロバート・ロビンソン
Ian Heilbron,イアン・ヒールブロン
Vic Wilson,ヴィック・ウィルソン
Eric Brandon,エリック・ブランドン
George Orwell,ジョージ・オーウェル
Chris Lawrence,クリス・ローレンス
John Madden,ジョン・マッデン
Nicolas Roeg,ニコラス・ローグ
Pete Townshend,ピート・タウンゼント
Edmund Dulac,エドマンド・デュラック
David Bowie,デヴィッド・ボウイ
"Harold Alexander, 1st Earl Alexander of Tunis",ハロルド・アレグザンダー
Ian Dunbar,イアン・ダンバー
Margaret Thatcher,マーガレット・サッチャー
Matthew Pinsent,マシュー・ピンセント
Alexander Fleming,アレクサンダー・フレミング
Emma Watson,エマ・ワトソン
J. J. Thomson,ジョゼフ・ジョン・トムソン
Anne Anderson,アン・アンダーソン
Henry McMahon,ヘンリー・マクマホン
"Mary Russell, Duchess of Bedford",メアリー・ラッセル (ベッドフォード公爵夫人)
Daphne Oram,ダフネ・オラム
Dorothée Pullinger,ドロテ・プーリンガー
Rebecca Adlington,レベッカ・アドリントン
Daniel Radcliffe,ダニエル・ラドクリフ
Ed Sheeran,エド・シーラン
"Hastings Russell, 12th Duke of Bedford",ヘイスティングス・ラッセル (第12代ベッドフォード公)
Elsie Widdowson,エルシー・ウィドウソン
Rosalind Franklin,ロザリンド・フランクリン
Kathleen Lonsdale,キャスリーン・ロンズデール
Jonny Lee Miller,ジョニー・リー・ミラー
Toby Stephens,トビー・スティーブンス
Emeric Pressburger,エメリック・プレスバーガー
Michael Powell,マイケル・パウエル
Alexander Korda,アレクサンダー・コルダ
Jonathan Ross,ジョナサン・ロス
Gary Lineker,ゲイリー・リネカー
Nicola Pellow,ニコラ・ペロー
Claire Forlani,クレア・フォーラニ
Darren Fletcher,ダレン・フレッチャー
Colin Davis,コリン・デービス
Catherine Zeta-Jones,キャサリン・ゼタ＝ジョーンズ
Maggie Smith,マギー・スミス
Willoughby Hamilton,ウィロビー・ハミルトン
Alan Cox,アラン・コックス
Paul Dirac,ポール・ディラック
Tony Richardson,トニー・リチャードソン
Steve Redgrave,スティーヴ・レッドグレーヴ
Stephen Frears,スティーヴン・フリアーズ
David Lean,デヴィッド・リーン
Lisa Stansfield,リサ・スタンスフィールド
Barbara Cartland,バーバラ・カートランド
John Riseley-Prichard,ジョン・リズリー＝プリチャード
Tim Parnell,ティム・パーネル
Richard Attenborough,リチャード・アッテンボロー
John Chadwick,ジョン・チャドウィック
Claire Tomalin,クレア・トマリン
Mike Cowlishaw,マイク・カウリショウ
Oliver James,オリヴァー・ジェームズ
Agnes Baden-Powell,アグネス・ベーデン＝パウエル
Stephen Booth,スティーヴン・ブース
"Andrew Cunningham, 1st Viscount Cunningham of Hyndhope",アンドルー・カニンガム (初代カニンガム・オヴ・ハインドホープ子爵)
C. S. Lewis,C・S・ルイス
Mo Hayder,モー・ヘイダー
Daniel Fathers,ダニエル・ファーザーズ
Kate Richardson-Walsh,ケイト・ウォルシュ
Alvin Stardust,アルヴィン・スターダスト
Adam F,アダムF
Winston Churchill,ウィンストン・チャーチル
Sienna Guillory,シエンナ・ギロリー
John Schlesinger,ジョン・シュレシンジャー
Conor Maynard,コナー・メイナード
Melanie Brown,メラニー・ブラウン
Ken Loach,ケン・ローチ
Laurence Olivier,ローレンス・オリヴィエ
Tony Marsh,トニー・マーシュ
Aleister Crowley,アレイスター・クロウリー
Zaha Hadid,ザハ・ハディッド
Colin Chapman,コーリン・チャップマン
Peter Whitehead,ピーター・ホワイトヘッド
Tim Burke,ティム・バーク
James Prescott Joule,ジェームズ・プレスコット・ジュール
Ludwig Wittgenstein,ルートヴィヒ・ウィトゲンシュタイン
Dorothea Douglass,ドロテア・ダグラス・チェンバース
David Livingstone,デイヴィッド・リヴィングストン
Sid Vicious,シド・ヴィシャス
Richard Holmes,リチャード・ホームズ
Kenneth Branagh,ケネス・ブラナー
Marianne Faithfull,マリアンヌ・フェイスフル
Dorothy Round,ドロシー・ラウンド
John Boorman,ジョン・ブアマン
Peter Greenaway,ピーター・グリーナウェイ
Eric Broadley,エリック・ブロードレイ
Martin Brundle,マーティン・ブランドル
Bernie Ecclestone,バーニー・エクレストン
Robbie Williams,ロビー・ウィリアムズ
Laurence Irving,ローレンス・アイヴィング
Tanita Tikaram,タニタ・ティカラム
Christine Ohuruogu,クリスティーン・オールグー
Jessica Ennis-Hill,ジェシカ・エニス
Stirling Moss,スターリング・モス
Johnny Herbert,ジョニー・ハーバート
John Maynard Keynes,ジョン・メイナード・ケインズ
Lucy Griffiths,ルーシー・グリフィス (1986年生の女優)
Ken Russell,ケン・ラッセル
Syd Barrett,シド・バレット
Constance Tipper,コンスタンス・ティッパー
Desmond Titterington,デスモンド・ティッターリントン
David Coulthard,デビッド・クルサード
Tom Pryce,トム・プライス
Bat Ye'or,バート・ヨール
Dawn French,ドーン・フレンチ
"Sarah, Duchess of York",ヨーク公爵夫人セーラ
Desmond Hume,デズモンド・ヒューム
Daniel Faraday,ダニエル・ファラデー
Glen Matlock,グレン・マトロック
Allan McNish,アラン・マクニッシュ
Rupert Wyatt,ルパート・ワイアット
Chris Corbould,クリス・コーボールド
Nick Davis,ニック・デイヴィス
Charles Laughton,チャールズ・ロートン
Michael Collins,マイケル・コリンズ
Ben Kingsley,ベン・キングズレー
Pip Pirrup,ピップ・ピリップ
Gerald du Maurier,ジェラルド・ド・モーリエ
Hans Eysenck,ハンス・アイゼンク
A. Edward Sutherland,A・エドワード・サザーランド
Parminder Nagra,パーミンダ・ナーグラ
Keeley Hazell,キーリー・ヘーゼル
A. N. Sherwin-White,シャーウィン・ホワイト
A. C. Grayling,A・C・グレイリング
Ross Brawn,ロス・ブラウン
Mike Hailwood,マイク・ヘイルウッド
Graham Taylor,グレアム・テイラー
Salman Khan,サルマン・カーン
Eric Clapton,エリック・クラプトン
Peter Ustinov,ピーター・ユスティノフ
Władysław Raczkiewicz,ヴワディスワフ・ラチュキェヴィチ
Petula Clark,ペトゥラ・クラーク
Dorothy Hodgkin,ドロシー・ホジキン
Hugh Seymour Davies,ヒュー・シーモア・デーヴィス
Lily Loveless,リリー・ラヴレス
Alexa Chung,アレクサ・チャン
Teddy Sinclair,ナタリア・キルズ
Ron Dennis,ロン・デニス
James Callaghan,ジェームズ・キャラハン
Max Born,マックス・ボルン
Ridley Scott,リドリー・スコット
Kevin Ayers,ケヴィン・エアーズ
"Patrick Stopford, 9th Earl of Courtown",パトリック・ストップフォード
Katrina Kaiftulutulu,カトリーナ・カイフ
Elisabeth Schwarzkopf,エリーザベト・シュヴァルツコップ
Klaus Fuchs,クラウス・フックス
Mo Nunn,モー・ナン
Vic Elford,ヴィック・エルフォード
Max Mosley,マックス・モズレー
Ethel Smyth,エセル・スマイス
Sandy Denny,サンディ・デニー
Mimi Smith,ミミ・スミス
A. J. Quinnell,A・J・クィネル
Henry Porter,ヘンリー・ポーター
Sid Watkins,シド・ワトキンス
Kenny Acheson,ケニー・アッチソン
George Abecassis,ジョージ・アベカシス
Carol V. Robinson,キャロル・V・ロビンソン
Kelly Reilly,ケリー・ライリー
John Major,ジョン・メージャー
Caroline Lucas,キャロライン・ルーカス
Frank Williams,フランク・ウィリアムズ
Jock Clear,ジョック・クレア
Winifred Wagner,ヴィニフレート・ワーグナー
Ernst Chain,エルンスト・ボリス・チェーン
Philippa of Lancaster,フィリパ・デ・レンカストレ
Christiane Amanpour,クリスティアン・アマンプール
Natalie Dormer,ナタリー・ドーマー
Kelly Smith,ケリー・スミス
Radosław Sikorski,ラドスワフ・シコルスキ
Sebastian Haffner,セバスティアン・ハフナー
Marie of Romania,マリア
Mike Gascoyne,マイク・ガスコイン
Julian Bailey,ジュリアン・ベイリー
Innes Ireland,イネス・アイルランド
Rebecca West,レベッカ・ウェスト
"Katharine, Duchess of Kent",キャサリン
Susan Cooper,スーザン・クーパー
Steve Coast,スティーブ・コースト
Hans Krebs,ハンス・クレブス
"Diana, Princess of Wales",ダイアナ
Conrad Veidt,コンラート・ファイト
William Hague,ウィリアム・ヘイグ
Laura Robson,ローラ・ロブソン
Nigel Mansell,ナイジェル・マンセル
Edith Evans,イーディス・エヴァンス
Lily Allen,リリー・アレン
Heather Nova,ヘザー・ノヴァ
Florence Green,フローレンス・グリーン
David Beckham,デビッド・ベッカム
Andy Murray,アンディ・マレー
Martin Whitmarsh,マーティン・ウィットマーシュ
Adrian Newey,エイドリアン・ニューウェイ
Nick Wirth,ニック・ワース
Imogen Poots,イモージェン・プーツ
Barbara West,バーバラ・ウェスト
Elizabeth II,エリザベス2世
Damon Hill,デイモン・ヒル
Edith Hannam,エディット・ハンナム
Jenson Button,ジェンソン・バトン
Anthony Horowitz,アンソニー・ホロヴィッツ
"Doug Hoyle, Baron Hoyle",ダグ・ホイル
Lewis Hamilton,ルイス・ハミルトン
Danny Pugh,ダニー・ピュー
Arrow,アロー
Andros Townsend,アンドロス・タウンゼント
Adam Smith,アダム・スミス
Jane Horrocks,ジェーン・ホロックス
Sally Gunnell,サリー・ガネル
Tony Blair,トニー・ブレア
Amanda Holden,アマンダ・ホールデン
Kenny Morgans,ケン・モーガンス
Laura Marling,ローラ・マーリング
Diana Wynne Jones,ダイアナ・ウィン・ジョーンズ
A. L. Kennedy,A・L・ケネディ
A. O. L. Atkin,オリバー・アトキン
George Joseph Smith,ジョージ・ジョゼフ・スミス
Reg White,レグ・ホワイト
A. W. Watkins,A・W・ワトキンス
Amy Price-Francis,エイミー・プライス＝フランシス
Jack Greenwell,ジャック・グリーンウェル
Nathan Redmond,ネイサン・レドモンド
"Alexander Macmillan, 2nd Earl of Stockton",アレクサンダー・マクミラン (第2代ストックトン伯爵)
Michael Dawson,マイケル・ドーソン
"Catherine, Princess of Wales",キャサリン
Anita Roddick,アニータ・ロディック
Ryan Giggs,ライアン・ギグス
"Hugo Swire, Baron Swire",ヒューゴ・スワイア
George VI,ジョージ6世
Noah Huntley,ノア・ハントリー
Charles Cumming,チャールズ・カミング
Ben Nicholson,ベン・ニコルソン
Keeley Hawes,キーリー・ホーズ
Graham Broad,グラハム・ブロード
"Henry Maitland Wilson, 1st Baron Wilson",ヘンリー・メイトランド・ウィルソン
Gordon Murray,ゴードン・マレー
Ken Tyrrell,ケン・ティレル
Bob Anderson,ボブ・アンダーソン
Jacqui Smith,ジャッキー・スミス
Edith Pargeter,イーディス・パージター
Beryl Bainbridge,ベリル・ベインブリッジ
Kyle Walker,カイル・ウォーカー
Lionel Giles,ライオネル・ジャイルズ
Cassie Jackman,キャシー・ジャックマン
Kenney Jones,ケニー・ジョーンズ
Hannah Spearritt,ハナ・スピアリット
Richard Rogers,リチャード・ロジャース
E. L. James,E・L・ジェイムズ
Peter Warr,ピーター・ウォー
Pat Symonds,パット・シモンズ
John Barnard,ジョン・バーナード
Will Knightley,ウィル・ナイトリー
Katie Price,ケイティ・アンドレ
Desmond Swayne,デズモンド・スウェイン
Ashley Westwood,アシュリー・ウェストウッド
Andre Wisdom,アンドレ・ウィズダム
Li Ke,ニコ・イェナリス
Leslie Orgel,レスリー・オーゲル
Polly Samson,ポリー・サムソン
George Chuter,ジョージ・シューター
Derek Jarman,デレク・ジャーマン
Dave Beasant,デイヴ・ビーサント
Alastair McCorquodale,アラスター・マッコーコデール
Rebecca Romero,レベッカ・ロメロ
David Richards,デビッド・リチャーズ
David Hobbs,デヴィッド・ホブス
Ian Ashley,イアン・アシュレイ
Liam Neeson,リーアム・ニーソン
Jackie Blanchflower,ジャッキー・ブランチフラワー
Adam Lallana,アダム・ララーナ
Siân Phillips,シアン・フィリップス
Jack Copeland,ジャック・コープランド
Robert Morison,ロバート・モリソン
Ernest Torrence,アーネスト・トレンス
"Irene Curzon, 2nd Baroness Ravensdale",アイリーン・カーゾン (第2代レイブンズデール女男爵)
Jason Carter,ジェイソン・カーター
Maurice Wilkes,モーリス・ウィルクス
James H. Wilkinson,ジェームズ・H・ウィルキンソン
Tom Evenson,トーマス・エヴェンソン
Elizabeth Allan,エリザベス・アラン
Jade Ewen,ジェイド・ユエン
Sarah Waters,サラ・ウォーターズ
Jo Swinson,ジョー・スウィンソン
Cecil Parkinson,セシル・パーキンソン
Simon Marsden,サイモン・マースデン
Anna Friel,アンナ・フリエル
Marcus Ellis,マーカス・エリス
Dana Wynter,ダナ・ウィンター
Jonathan Sumption,ジョナサン・サンプション
Linda Martin,リンダ・マーティン
Neil Oatley,ニール・オートレイ
John Cooper,ジョン・クーパー
Tim Densham,ティム・デンシャム
Bruce Payne,ブルース・ペイン
Peter Oosterhuis,ピーター・オーステルハイス
John Judd,ジョン・ジャッド
Helen Sharman,ヘレン・シャーマン
Kate Nash,ケイト・ナッシュ
Christina Pickles,クリスティーナ・ピクルス
Sharleen Spiteri,シャーリーン・スピテリ
Derek Ibbotson,デレク・イボットソン
"Ernst August, Prince of Hanover",エルンスト・アウグスト・フォン・ハノーファー
Pat Barker,パット・バーカー
Mike Coughlan,マイク・コフラン
Nigel Stepney,ナイジェル・ステップニー
Harvey Postlethwaite,ハーベイ・ポスルスウェイト
Trevor Taylor,トレバー・テイラー
Brian Hart,ブライアン・ハート
Peter Arundell,ピーター・アランデル
Bob Woolmer,ボブ・ウールマー
John Alan Robinson,ジョン・アラン・ロビンソン
Norman Barrett,ノーマン・バレット
Samuel Ryder,サムエル・ライダー
Hermione Granger,ハーマイオニー・グレンジャー
Tony Southgate,トニー・サウスゲート
Rachel Podger,レイチェル・ポッジャー
Aaron Lennon,アーロン・レノン
Nick Fry,ニック・フライ
Mike MacDowel,マイク・マクダウェル
Ron Tauranac,ロン・トーラナック
Cherie Blair,シェリー・ブレア
Steve Ince,スティーブ・インス
James Hanley,ジェームズ・ハンリー
Magdalen Nabb,マグダレン・ナブ
Christian Horner,クリスチャン・ホーナー
Bob Bell,ボブ・ベル
Herbie Blash,ハービー・ブラッシュ
Charlie Whiting,チャーリー・ホワイティング
Kaiane Aldorino,ケーン・アルドリノ
Fiona May,フィオナ・メイ
Mitsuko Uchida,内田光子
John Cockcroft,ジョン・コッククロフト
Bill Brandt,ビル・ブラント
