Alexandra Stan,アレクサンドラ・スタン
Constantin Brâncuși,コンスタンティン・ブランクーシ
Aurelia Dobre,アウレリア・ドブレ
György Kurtág,クルターグ・ジェルジュ
Vlad Munteanu,ヴラド・ムンテアヌ
Dudu Georgescu,ドゥドゥ・ゲオルゲスク
Larisa Iordache,ラリサ・ヨルダケ
Nicolae Timofti,ニコライ・チモフチ
Elisabeta de Neuwied,エリサベタ (ルーマニア王妃)
Paula Seling,パウラ・セリング
Sandra Romain,サンドラ・ロマン
Mihaela Ursuleasa,ミハエラ・ウルスレアサ
Luminița Anghel,ルミニータ
Virginia Ruzici,バージニア・ルジッチ
Ovidiu Cernăuțeanu,オヴィディウ・チェルナウツェアヌ
László Sepsi,シェプシ・ラースロー
Nicolae Rădescu,ニコラエ・ラデスク
Alina Astafei,アリーナ・アスタフェイ
Artur Phleps,アルトゥール・フレプス
Mircea Lucescu,ミルチェア・ルチェスク
Eduard Raul Hellvig,エドゥアルド・ヘルヴィグ
Eugen Ionescu,ウジェーヌ・イヨネスコ
Petru Lucinschi,ペトル・ルチンスキー
Marian Aliuță,マリアン・アリウツァ
Ella Zeller,ツェラー
Nicolae Linca,ニコラエ・リンカ
Petre Becheru,ペトレ・ベケル
Jean Negulesco,ジーン・ネグレスコ
Titus Corlățean,ティトゥス・コルラツェアン
Alexandru Averescu,アレクサンドル・アヴェレスク
Camelia Potec,カメリア・ポテク
Maricica Puică,マリチカ・プイカ
Mihai Mălaimare Jr.,ミハイ・マライメア・Jr
Florica Musicescu,フロリカ・ムジチェスク
Ion Dincă,イオン・ディンカ
Victor Ponta,ヴィクトル・ポンタ
Iurie Leancă,ユリエ・レアンカ
Harvey Keitel,ハーヴェイ・カイテル
Ladislau Bölöni,ラースロー・ベレニ
Adelina Oprean,アデリーナ・オプリーン
Mihai Trăistariu,ミハイ・トライスタリウ
Gheorghe Hagi,ゲオルゲ・ハジ
Mugur Isărescu,ムグル・イサレスク
Irina-Camelia Begu,イリーナ＝カメリア・ベグ
Laurențiu Reghecampf,ラウレンツィウ・レゲカンプ
Maria Cioncan,マリア・チオンカン
Pavel Badea,パベル・バデア
Gheorghe Vrănceanu,ゲオルゲ・ヴランチャーヌ
Vintilă Horia,ヴィンティラ・ホリア
Ion Iliescu,イオン・イリエスク
Marian Simion,マリアン・シミオン
Gheorghe Gheorghiu-Dej,ゲオルゲ・ゲオルギュ＝デジ
Robert Steinberg,ロベルト・シュタインベルク
Panait Istrati,パナイト・イストラティ
Anca Parghel,アンカ・パーゲル
Elena Văcărescu,エレナ・ヴァカレスク
Raluca Strămăturaru,ラルカ・シュトラマトゥラル
Ana Porgras,アナ・ポルグラス
Áron Márton,マールトン・アーロン
Andrei Marga,アンドレイ・マルガ
Ionela Târlea,イオネラ・ティルレア
Maria a României,マリア
Vladimir Filat,ヴラド・フィラト
Gheorghe Dinică,ゲオルゲ・ディニカ
Maria Tănase,マリア・タナセ
Viorica Viscopoleanu,ビオリカ・ビスコポレアヌ
Adrian Mutu,アドリアン・ムトゥ
Nicoleta Grasu,ニコレタ・グラス
Daniel Niculae,ダニエル・ニクラエ
Rose Ausländer,ローゼ・アウスレンダー
Călin Popescu-Tăriceanu,カリン・ポペスク・タリチェアヌ
Mihaela Melinte,ミハエラ・メリンテ
Lia Manoliu,リア・マノリウ
Cornel Țăranu,コルネル・タラヌ
Marcel Hellman,マルセル・ヘルマン
Arnold Rosé,アルノルト・ロゼ
Alexandru Marghiloman,アレクサンドル・マルギロマン
Éva Tófalvi,エヴァ・トファルヴィ
Nadia Gray,ナディア・グレイ
Jean Alexandru Steriadi,ジャン・アレクサンドル・ステリアディ
Ileana Cotrubaș,イレアナ・コトルバシュ
Diana Mocanu,ディアナ・モカヌ
Adrian Ilie,アドリアン・イリエ
Walter Zenga,ワルテル・ゼンガ
Mihai Ghimpu,ミハイ・ギンプ
Ioan Fiscuteanu,ヨアン・フィスクティーヌ
Florin Răducioiu,フロリン・ラドチョウ
Ion Gheorghe Maurer,イオン・ゲオルゲ・マウレル
Marcel Iancu,マルセル・ヤンコ
George Enescu,ジョルジェ・エネスク
Hermann Oberth,ヘルマン・オーベルト
Michael Radulescu,ミヒャエル・ラドレスク
Julia Varady,ユリア・ヴァラディ
Adrian Bumbescu,アドリアン・ブンベスク
Radu Vasile,ラドゥ・バシレ
Constantina Diță,コンスタンティナ・ディタ
Lupu Pick,ルプ・ピック
Adrian Diaconu,アドリアン・ディアコヌ
Cristian Chivu,クリスティアン・キヴ
Sorin Cîrțu,ソリン・カルトゥ
Maria Olaru,マリア・オラル
Cristian Dănălache,クリスティアン・ダナラケ
Emeric Jenei,エメリック・イェネイ
Arthur Segal,アーサー・シーガル
Mihai Costea,ミハイ・コステア
Colin Kolles,コリン・コレス
Steve Holmes,スティーブ・ホルムズ
Zoia Ceaușescu,ゾヤ・チャウシェスク
Lazăr Șăineanu,ラザル・シャイネヤヌ
Alexandra Maria Lara,アレクサンドラ・マリア・ララ
Dorel Simion,ドレル・シミオン
Dorel Stoica,ドレル・ストイカ
Adrian Ungur,アドリアン・ウングル
Nicolae Dobrin,ニコラエ・ドブリン
Petre Dumitrescu,ペトレ・ドゥミトレスク
Andrei Alexandrescu,アンドレイ・アレキサンドレスク
Carol Lambrino,カロル・ランブリノ
Ion Pop,イオン・ポップ
Mihai Pintilii,ミハイ・ピンティリイ
Vintilă I. C. Brătianu,ヴィンティラ・ブラティアヌ
Adrian Iorgulescu,アドリアン・イオルグレスク
Robert Vancea,ロベルト・ヴァンチャ
Constantin Marin,マリーン・コンスタンティン
Bogdan Stelea,ボグダン・ステレア
Marius Urzică,マリウス・ウルジカ
Joseph Schmidt,ヨーゼフ・シュミット
Adrian Crișan,アドリアン・クリシャン
Adrian Cristea,アドリアン・クリステア
Mihaela Stănuleț,ミハエラ・スタヌレツ
Lucian Goian,ルチアン・ゴヤン
Cosmin Contra,コスミン・コントラ
Adolf Albin,アドリフ・アルビン
Rudolph Carl von Ripper,ルドルフ・カール・フォン・リッパー
Vasile Luca,ヴァスィーレ・ルカ
Hans Bergel,ハンス・ベルゲル
Take Ionescu,タケ・ヨネスク
Ștefan Ruha,シュテファン・ルハ
Ruxandra Cesereanu,ルクサンドラ・チェセリアヌ
Mihai Neșu,ミハイ・ネシュ
Cristian Săpunaru,クリスティアン・サプナル
Liviu Comes,リヴィウ・コムス
Géza Szőcs,セーチ・ゲーザ
Pavel Stratan,パヴェル・ストラタン
Lucian Sănmărtean,ルチアン・スンマルテアン
Dănuț Lupu,ダヌツ・ルプ
Nicodim Munteanu,ニコディム・ムンテアヌ
Gheorghe Tătărăscu,ゲオルゲ・タタレスク
Vlad Chiricheș,ヴラド・キリケシュ
Stefan W. Hell,シュテファン・ヘル
Radu Jude,ラドゥ・ジュデ
Elek Schwartz,エレク・シュヴァルツ
Miron Cristea,ミラン＝クリスティア大主教
Gheorghe Argeșanu,ゲオルゲ・アルジェシャヌ
Dorin Goian,ドリン・ゴヤン
Marius Niculae,マリウス・ニクラエ
Alexandru Iulian Maxim,アレクサンドル・マキシム
Nicu Vlad,ニク・ウラド
Ludovic Spiess,ルドヴィク・スピース
Emil Bobu,エミール・ボブ
Ilie Năstase,イリ・ナスターゼ
Sabin Țambrea,ザビン・タンブレア
Ștefan Luchian,シュテファン・ルキアン
Ștefan Iovan,シュテファン・ヨヴァン
Manea Mănescu,マネア・マネスク
Adalbert Deșu,アダウベルト・デス
Răzvan Cociș,ラズバン・コチシュ
Victor Pițurcă,ヴィクトル・ピツルカ
Lucian Blaga,ルシアン・バルガ
Alexandru Dimitrie Ghica,アレクサンドル2世ギカ
Gheorghe Berceanu,ゲオルゲ・ベルチェアヌ
Cristian Ianu,クリスティアン・イアヌ
Francisc Spielmann,フランチスク・スピルマン
Sergiu Radu,セルジュ・ラドゥ
Chaim Zanvl Abramowitz,リムニッツ派
Ion Gigurtu,イオン・ギグルツ
Dănuț Coman,ダヌツ・コマン
Robert Klein,ロベール・クライン
Béla Károlyi,ベラ・カロリー
Mădălina Manole,マダリーナ・マノール
Roman Vlad,ロマン・ヴラド
Nicolae Manea,ニコラエ・マネア
Mircea Druc,ミルチャ・ドルク
George Lusztig,ジョージ・ルスティック
Radu Niculescu,ラドゥ・二クレスク
Vasile Pușcașu,バシレ・プシュカシュ
Ion Negoițescu,イオン・ネゴイツェスク
Ștefan Procopiu,ステファン・プロコピウ
Hunor Kelemen,ケレメン・フノール
Ion Țiriac,イオン・ティリアック
Ștefan Kovács,シュテファン・コヴァチ
Vasile Andrei,バシル・アンドレイ
Géza Domokos,ドモコシュ・ゲーザ
Ștefan Niculescu,ステファン・ニクレスク
Cristian Pulhac,クリスティアン・プルハク
Liviu Ciobotariu,リヴィウ・チョボタリウ
Francisc Vaștag,フランチスク・ヴァシュタグ
Leonte Tismăneanu,レオンテ・ティスマネアヌ
Yisroel Avrohom Portugal,イスロエル・アヴロホム・ポルトガル
Pantelimon Halippa,パン・ハリッパ
Victor Atanasie Stănculescu,ヴィクトル・スタンクレスク
Violeta Strămăturaru,ヴィオレタ・ストラマトゥラル
Gherman Pântea,ゲルマン・パンテア
George Florescu,ゲオルゲ・フローレスク
David Korner,デーヴィッド・ケルナー
Noni Răzvan Ene,ノニ・ラズヴァン・エネ
Elena Lupescu,マグダ・ルペスク
Anca Petrescu,アンカ・ペトレスク
Iosif Chișinevschi,ヨスィフ・キシネフスキ
Sergiu Comissiona,セルジュ・コミッショーナ
Haiducii,ハイドゥチー
Saul Steinberg,ソール・スタインバーグ
Gheorghe Apostol,ゲオルゲ・アポストル
Dacian Cioloș,ダチアン・チョロシュ
Dorinel Munteanu,ドリネル・ムンテアヌ
Vlad Miriță,ヴラド・ミリツァ
Mihai I al României,ミハイ1世
Leonard Doroftei,レナード・ドリン
Ancuța Bobocel,アンクタ・ボボセル
Constantin Stere,コンスタンティン・ステール
Tatiana Stepa,タチアナ・ステパ
Cezar Petrescu,チェーザル・ペトレスク
Ion Voicu,イオン・ヴォイク
Ovidiu Hoban,オヴィディウ・ホバン
Florența Mihai,フロレンタ・ミハイ
Gheorghe Cristescu,ゲオルゲ・クリステク
Nicolae Dică,ニコラエ・ディカ
Andreea Chițu,アンドレア・キトゥ
Corina Căprioriu,コリーナ・カプリオリウ
Ciprian Deac,チプリアン・デアク
Gigel Bucur,ゲオルゲ・ブクル
Florin Prunea,フローリアン・プルネア
Carol-Eduard Novak,カロル エドゥアルド・ノバク
Mădălin Voicu,マダリン・ヴォイク
Silviu Lung,シルヴィウ・ルング
Virginia Zeani,ヴィルジニア・ゼアーニ
Silvia Stroescu,シルビア・ストロエスク
Simion Stanciu,シミオン・スタンチュ・シリンクス
Paul Pepene,パウル・ペペネ
Dragoș Grigore,ドラゴシュ・グリゴレ
Teodora Gheorghiu,テオドラ・ゲオルハイウ
Crin Antonescu,クリン・アントネスク
Andreea Bălan,アンドレア・バラン
Principesa Elena a României,エレナ
Paul Codrea,パウル・コドレア
Dorin Mateuț,ドリン・マテウツ
Alexander Bălănescu,アレクサンダー・バラネスク
Mihaela Buzărnescu,ミハエラ・ブザルネスク
Gheorghe Tattarescu,ゲオルゲ・タッタレスク
Gheorghe Chiper,ゲオルゲ・チッパー
Constantin A. Rosetti,コンスタンティン・アレクサンドル・ロゼッティ
Petre Andrei,ペテル・アンドレイ
Costel Pantilimon,コステル・パンティリモン
Armand Călinescu,カリネスク
Raul Rusescu,ラウル・ルセスク
Justinian Marina,ジュスティニアン・マリーナ
Mircea Geoană,ミルチャ・ジョアナ
Tudor Arghezi,トゥドール・アルゲージ
Mihai Chițac,ミハイ・チツァック
Ioan Ovidiu Sabău,ヨアン・サバウ
Miodrag Belodedici,ミオドラグ・ベロデディチ
Eric Bicfalvi,エリク・ビクファルヴィ
Nicholas Georgescu-Roegen,ニコラス・ジョージェスク＝レーゲン
Iorgu Iordan,イオルダン
Simona Păucă,シモナ・ポーカ
Laurențiu Rus,ラウレンツィウ・ルス
Julius Popper,ジュリアス・ポッパー
Bianca Ghelber,ビアンカ・ペリエ
Fița Lovin,フィタ・ロビン
Elizabeta Samara,エリザベタ・サマラ
Anna Lesko,アンナ・レスコ
Petre P. Carp,ペトレ・カプ
Alexandru Chipciu,アレクサンドル・キプチュ
Mime Misu,マイム・ミス
Emil Hurezeanu,エミル・フレザヌ
Emil Jula,エミール・ジュラ
Marius Constant,マリユス・コンスタン
Ciprian Foiaș,チプリアン・フォイアス
Emil Racoviță,エミル・ラコヴィツァ
Petre Țuțea,ペトレ・ツツェア
Irina Petrescu,イリーナ・ペトレスク
Dumitru Prunariu,ドゥミトール・プルナリウ
Alla Baianova,アッラー・バヤノワ
Horia Sima,ホリア・シマ
Henry Deutschmeister,アンリ・デューチュメイステル
Valerian Trifa,ヴァレリア・トリファ
Gala Galaction,ガラ・ガラクチオン
Gina Gogean,ジーナ・ゴージャン
Marin Preda,マリン・プレダ
Alexandru Bourceanu,アレクサンドル・ボウルチェアヌ
Alexandru C. Cuza,アレクサンドル・C・クザ
Valerică Găman,ヴァレリカ・ガマン
Lucian Marinescu,ルシアン・マリネスク
Radu Aldulescu,ラドゥ・アルドゥレスク
Dan Burincă,ダン・ブルニカ
Alexandru Ioniță,アレクサンドル・ヨニツァ
Cristeana Cojocaru,クリスティアーナ・コジョカル
Ioana Zizi Lambrino,ジジ・ランブリノ
Toma Caragiu,トマ・カラギウ
Romeo Surdu,ロメオ・スルドゥ
Gheorghe Constantin,ゲオルゲ・コンスタンティン
Nicu Constantin,ニク・コンスタンティン
Mircea Cărtărescu,ミルチャ・カルタレスク
Monica Macovei,モニカ・マコヴェイ
Roxana Mărăcineanu,ロクサナ・マラシネアヌ
Paul-Philippe Hohenzollern Lambrino,パウル＝フィリップ・ホーエンツォレルン
Zaharia Stancu,ハリア・スタンク
Elina Löwensohn,エリナ・レーヴェンソン
David Wechsler,デイヴィッド・ウェクスラー
Alina Cojocaru,アリーナ・コジョカル
Spiru Haret,スピル・ハレット
Horia Macellariu,ホリア・マチェリャリウ
Erik Lincar,エリック・リンカル
Gheorghe Grozav,ゲオルゲ・グロザフ
Lucian Pintilie,ルチアン・ピンティリエ
Nicolao Dumitru,ニコラオ・ドゥミトル
Maria Golopența,マリア・ゴロペンタ
Maria Forescu,マリア・フォレスク
Cristian Costel Melinte,クリスティアン・メリンテ
Georgiana Birțoiu,ゲオルギアナ・ビルトー
Vasile Milea,ワシーリ・ミリャ
Nicolae Grigorescu,ニコラエ・グリゴレスク
Grigore C. Moisil,グリゴレ・モイシル
Monica Lovinescu,モニカ・ロヴィネスク
Ramona Pop,ラモーナ・ポップ
Ilie Balaci,イリエ・バラチ
Delia Matache,デリア・マタチェ
Philip Herschkowitz,フィリップ・ヘルシュコヴィチ
Marius Alexe,マリウス・アレクセ
Horia Tecău,ホリア・テカウ
Ioan Holender,イオアン・ホレンダー
Mirel Rădoi,ミレル・ラドイ
Daniela Dodean,ダニエラ・ドデアン
Vasile Patilineț,ヴァスィーレ・パティリネス
Emil Loteanu,エミーリ・ロチャヌー
Serafim Urechean,セラフィム・ウレケアン
Lucia Romanov-Stark,ルチア・ロマノフ・スターク
Arianna Sinn,アリアナ・シン
Ilie Dumitrescu,イリエ・ドゥミトレスク
Pola Illéry,ポーラ・イレリ
Gabriel Torje,ガブリエル・トルジェ
Angela Moroșanu,アンジェラ・モロサヌ
Mariana Nicolesco,マリアナ・ニコレスコ
Petre Marin,ペトレ・マリン
Valentin Bădoi,ヴァレンティン・バドイ
Pompiliu Stoica,ポンピリウ・ストイカ
Corina Ungureanu,コリーナ・ウングレアーヌ
Claudia Presăcan,クラウディア・プレサカン
János Fazekas,ファゼカシュ・ヤノシュ
Hildegard Peplau,ヒルデガード・ペプロウ
Andrei Prepeliță,アンドレイ・プレペリツァ
Iosif Rotariu,ヨシフ・ロタリウ
Daniel Florea,ダニエル・フロレア (サッカー選手)
Sebastian Stan,セバスチャン・スタン
Bănel Nicoliță,バネル・ニコリツァ
Mendi Rodan,メンディ・ロダン
Mircea Badea,ミルチャ・バデア
Marin Karmitz,マラン・カルミッツ
Ion Gheorghe Duca,イオン・デュカ
Loredana Dinu,ロレダナ・ディヌ
Sorin Matei,ソリン・マテイ
Iancu Dumitrescu,イアンク・ドゥミトレスク
Valentin Miculescu,ヴァレンティン・ミクレスク
Ilie Stan,イリエ・スタン
Corneliu Baba,コルネリウ・ババ
Nicolae Bretan,ニコラエ・ブレタン
Nicolae Guță,ニコラエ・グッツァ
Ramona Maier,ラモーナ・マイヤー
Liliana Năstase,リリアナ・ナスターゼ
Liviu Antal,リビウ・アンタル
Nicolae Stanciu,ニコラエ・スタンチュ
Silviu Lung Jr.,シルヴィウ・ルング・ジュニア
Nicolae Ungureanu,ニコラエ・ウングレアーヌ
Nicu Covaci,ニク・コヴァチ
Nae Ionescu,ナエ・イオネスク
Florin Halagian,フローリン・ハラジアン
Florin Gardoș,フローリン・ガルドシュ
Edward Luttwak,エドワード・ルトワック
Adrian Păunescu,エイドリアン・パウネスキュー
Gavril Balint,ガヴリル・バリント
Florentin Petre,フローレンティン・ペトレ
Florin Șerban,フローリン・サーバン
Iuliu Maniu,ユリウ・マニウ
Ion I.C. Brătianu,イオン・ブラティアヌ
Liviu Rebreanu,リビウ・レブリヤヌ
Anuța Cătună,アヌタ・カツナ
Gheorghe Mureșan,ゲオルゲ・ムレシャン
Attila Feri,フェリ・アッティラ
Ovidiu Hațegan,オヴィディウ・ハツェガン
Marius Moga,マリアス・モガ
Charles Bruck,シャルル・ブリュック
Leonard Orban,レオナルド・オルバン
Elena Udrea,エレナ・ウドリア
Răzvan Lucescu,ラズヴァン・ルチェスク
Francisc Munteanu,フランチスク・ムンティアヌ
Alina Eremia,アリナ・エレミア
Harry Brauner,ハリー・ブローネル
Oana Ban,バン・オアナ
Ion Gavrilă Ogoranu,イオン・ガブリラ・オゴラヌ
Maria-Victoria Drăguș,マリア＝ヴィクトリア・ドラグシ
Andreea Răducan,アンドレーア・ラドゥカン
Ella Kovacs,エラ・コバクス
Ion Mihai Pacepa,イオン・ミハイ・パチェパ
Otilia Bădescu,オティリア・バデスク
Paul Călinescu,パウル・カリネスク
Alfonso Castaldi,アルフォンソ・カスタルディ
Nicolae Cambrea,ニコラエ・カンブレア
Zoltan Kelemen,ゾルターン・ケレメン
Rona Hartner,ローナ・ハートナー
Alexandru Ghica,アレクサンドル・ギカ
Daniel Dumitrescu,ダニエル・ドミトレスク
Cristina Bontaș,クリスティーナ・ボンタシュ
Ion Mihalache,イオン・ミハラチェ
Rodion Cămătaru,ロディオン・カマタル
Mirela Lavric,エレナ・ミレラ・ラヴリッチ
Teodora Ungureanu,テオドラ・ウングレアーヌ
Mădălina Ghenea,マダリーナ・ディアナ・ゲネア
Ada Milea,アダ・ミリャ
Adrian Bejan,ベジャン・エイドリアン
Gabriel Boștină,ガブリエル・ボシュティナ
Cătălin Țăranu,タラヌ・カタリン
Emil Bodnăraș,エミル・ボドナラス
Romica Puceanu,ロミカ・プチャヌ
Mirela Pașca,ミレラ・パシュカ
Tataee,タテー
Alexandra Bellow,アレクサンドラ・ベロー
Corneliu Porumboiu,コルネリウ・ポルンボユ
Gabriel Popescu,ガブリエル・ポペスク
Elena Moșuc,エレーナ・モシュク
Veronica Micle,ベロニカ・ミクレ
Radu Lupu,ラドゥ・ルプー
Anamaria Vartolomei,アナマリア・ヴァルトロメイ
Peter Herbolzheimer,ペーター・ハーボルツハイマー
Cristea Avram,クリス・アヴラム
Octavian Abrudan,オクタヴィアン・アブルダン
Georges Manolescu,ゲオルゲス・マノレスク
Adrian Sitaru,アドリアン・シタル
Constantin Nica,コンスタンティン・ニカ
Cristian Stoica,クリスティアン・ストイカ
Nicolae Beloiu,ニコーレ・ベロウ
Luminița Gheorghiu,ルミニツァ・ゲオルジウ
Florin Salam,フローリン・サラーム
Gheorghe Marinescu,ゲオルゲ・マリネスク
Gheorghe Megelea,ゲオルゲ・メゲレア
Nicolae Mărgineanu,ニコラエ・マルジネアヌ
Anca Radici,アンカ・ラディチ
Andrei Ivanovitch,アンドレイ・イヴァノヴィチ (ピアニスト)
Andrei Mureșanu,アンドレイ・ムレシャヌ
Ștefan Andrei,ステファン・アンドレイ
Eugen Barbu,オイゲン・バルブ
Principesa Sofia a României,ソフィア
Daniel Ghiță,ダニエル・ギタ
Visarion Puiu,ヴィサリオン・プイウ
Iulian Vlad,ユリアン・ヴラード
Leo Butnaru,レオ・ブトナル
Gheorghe Liliac,ゲオルゲ・リリアク
Cosmin Olăroiu,コスミン・オラロイ
Ianis Zicu,ヤニス・ジク
Nicu Ceaușescu,ニク・チャウシェスク
Harry R. Sokal,ハリー・R・ソーカル
Andrei Oișteanu,アンドレイ・オイシュテアヌ
Gogu Rădulescu,ゴグ・ラドゥレスク
Nicolae Dabija,ニコラエ・ダビハ
Jean Badovici,ジャン・バドヴィッチ
Gheorghe Duca,ゲオルギー・ドゥカ
Andrei Cristea,アンドレイ・クリステア
Andrei Filimon,アンドレイ・フィリモン
Vladimir Cosma,ウラディミール・コスマ
Denis Alibec,デニス・アリベク
Gabriel Mureșan,ガブリエル・ムレシャン
Călin Peter Netzer,カリン・ピーター・ネッツァー
Nicolae Donici,ニコラエ・ドニチ
Iacob Sternberg,ヤコブ・シュテルンベルグ
Israil Bercovici,イスライル・ベルコヴィチ
Naomi Feinbrun-Dothan,ナオミ・ファインブルン＝ドーサン
Iuliana Nucu,イウリアナ・ロクサナ・ヌク
Cosmin Moți,コスミン・モツィ
Pantelimon Erhan,パンテリモン・エルハン
Antoine Goléa,アントワーヌ ゴレア
Gheorghe Sarău,ゲオルゲ・サラウ
Anton Bibescu,アントン・ビベスコ
Mihai Tararache,ミハイ・タララチェ
Ionel Dănciulescu,イオネル・ダンチウレスク
Alexandru Robot,アレクサンドル・ロボット
Teohari Georgescu,テオハリ・ジョルジェスク
Heimann Hariton Tiktin,ハイマン・ハリトン・ティトキン
Gheorghe Chivorchian,バカウの会長
Lucien Goldmann,リュシアン・ゴルドマン
Mircea Rednic,ミルチェア・レドニク
