Portugal,ポルトガル
Portugal nos Jogos Olímpicos de Verão de 1952,1952年ヘルシンキオリンピックのポルトガル選手団
Jardim Botânico de Lisboa,リスボン大学植物園
Aeroporto Francisco Sá Carneiro,フランシスコ・サ・カルネイロ空港
Lousã,ローザン
Vila Pouca de Aguiar,ヴィーラ・ポウカ・デ・アギアル
Sesimbra,セジンブラ
Madalena,マダレナ
Sport Lisboa e Benfica,SLベンフィカ
Cuba,クーバ (ポルトガル)
Sítios de arte rupestre do Vale do Coa,コア渓谷とシエガ・ベルデの先史時代の岩絵遺跡群
Igreja de São Roque,サン・ロッケ教会
Igreja de São Francisco,サン・フランシスコ教会
Furnas,フルナス
Praça do Comércio,コメルシオ広場
Idanha-a-Nova,イダーニャ＝ア＝ノーヴァ
Portugal nos Jogos Olímpicos de Verão de 2004,2004年アテネオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 2000,2000年シドニーオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1948,1948年ロンドンオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1976,1976年モントリオールオリンピックのポルトガル選手団
Aljustrel,アルジュシュトレル
Irmãos das Escolas Cristãs,ラ・サール会
Condeixa-a-Nova,コンデイシャ・ア・ノーヴァ
São João da Madeira,サン・ジョアン・ダ・マデイラ
Vila Franca do Campo,ヴィラ・フランカ・ド・カンポ
Arouca,アロウカ
Charneca de Caparica,シャルネカ・デ・カパリカ
vinho verde,ヴィーニョ・ヴェルデ
Linha de Alta Velocidade Lisboa-Madrid,マドリード - エストレマドゥーラ高速線
Ansião,アンシャロ
Circuito de Braga,ブラガサーキット
Anta,アンタ
Grande Prêmio de Portugal de 2009,2009年のポルトガルグランプリ
Grande Prêmio de Portugal de 2010,2010年のポルトガルグランプリ
Prazeres,プラゼーレス
Lagoa,ラゴア
Nordeste,ノルデステ
Santa Maria da Feira,サンタ・マリア・ダ・フェイラ
Duque do Porto,ポルト公
Contra armada inglesa,イングランド無敵艦隊
Portugal nos Jogos Olímpicos de Verão de 1968,1968年メキシコシティーオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1996,1996年アトランタオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Inverno de 2006,2006年トリノオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1972,1972年ミュンヘンオリンピックのポルトガル選手団
Buarcos e São Julião,ブアルコス
Redondo,リドンドゥ
Almodôvar,アルムドーヴァル
Monte,モンテ
Paços de Ferreira,パソス・デ・フェレイラ
Supercopa da UEFA de 2003,2003 UEFAスーパーカップ
Portugal nos Jogos Olímpicos de Verão de 1984,1984年ロサンゼルスオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Inverno de 1988,1988年カルガリーオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Inverno de 1998,1998年長野オリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Inverno de 1994,1994年リレハンメルオリンピックのポルトガル選手団
Descoberta do caminho marítimo para a Índia,ポルトガルによるインド航路の発見
Ponta do Sol,ポンタ・ド・ソル
Proença-a-Nova,プルエンサ＝ア＝ノーヴァ
Armamar,アルママール
Antena 1,ポルトガル国営ラジオ RDP 1
Coligação Democrática Unitária,統一民主同盟
Queluz,ケルシュ (ポルトガル)
Vila de Rei,ヴィラ・ディ・レイ
Linha da Azambuja,アザンブジャ線
Sobral de Monte Agraço,ソブラル・デ・モンテ・アグラソ
Crato,クラト (ポルトガル)
Patriarcado de Lisboa,リスボン総主教
Ordem,オルデム
Penela,ピネーラ
Ribeira Grande,リベイラ・グランデ
Povoação,ポヴォアサン
Estação Moscavide,モスカヴィデ駅
Portugal nos Jogos Olímpicos de Verão de 1920,1920年アントワープオリンピックのポルトガル選手団
São João da Pesqueira,サン・ジョアン・ダ・ペスケイラ
Santa Cruz da Graciosa,サンタ・クルス・ダ・グラシオーザ
Colares,コラレス
Coles,コーレス
Palácio de Seteais,セテアイス宮殿
Aginter Press,アジンター・プレス
Portugal nos Jogos Olímpicos de Verão de 1992,1992年バルセロナオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1932,1932年ロサンゼルスオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1988,1988年ソウルオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1964,1964年東京オリンピックのポルトガル選手団
Sé Catedral de Silves,シルヴェス大聖堂
Monte,モンテ
Polícia Internacional e de Defesa do Estado,ポルトガル国家防衛警察
Cinemateca Portuguesa,シネマテカ・ポルチュゲーザ
Citânia de Briteiros,シタニア・デ・ブリテイロス
Douro Vinhateiro,ドウロ DOC
Cristão-novo,新キリスト教徒
Peniche,ペニシェ
União Nacional,国家連合党
Rio Maior,リオマイオール
Gavião,ガヴィアオン
Penacova,ピナコーヴァ
Velas,ヴェーラス
Santo Estêvão,サント・イステーヴォン
Estação Ferroviária de Coina,コイナ駅
Selvagem Grande,セルヴァジェム・グランデ島
Taça da Liga,タッサ・ダ・リーガ
Pombal,ポンバル
Elétricos de Lisboa,リスボン市電
Moedas de euro portuguesas,ポルトガルのユーロ硬貨
dialecto árabe andalusino,アル・アンダルス＝アラビア語
Cova da Beira,コヴァ・ダ・ベイラ
Cova da Piedade,コヴァ・ダ・ピエダーデ
Rio Tinto,ヒウ・チント
Mesão Frio,メザン・フリーオ
Corroios,コロイオス
Portugal nos Jogos Olímpicos de Verão de 1936,1936年ベルリンオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1980,1980年モスクワオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1928,1928年アムステルダムオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Inverno de 1952,1952年オスロオリンピックのポルトガル選手団
Ilha do Corvo,コルボ島
Seleção Portuguesa de Basquetebol Masculino,バスケットボールポルトガル代表
Linha Vermelha,リスボンメトロ 赤線
Estação São Sebastião,サン・セバスティアン駅
Oleiros,オレイルシュ
Porto de Mós,ポルト・ド・モス
Estádio do Clube Desportivo das Aves,エスタディオ・ド・CDアヴェス
Lara,ララ
Estação Ferroviária de Porto — São Bento,サン・ベント駅
Serra de Monchique,モンチケ山
Cruz,クルス
Loulé,ローレ
Associação Desportiva do Fundão,ADフンダオ
Padrão dos Descobrimentos,発見のモニュメント
Seleção da Madeira de Futebol,サッカーマデイラ諸島代表
Paralelo 39 N,北緯39度線
Companhia de Moçambique,モザンビーク会社
Universidade de Lisboa,リスボン大学
Montes,モンテス
Marinha Portuguesa,ポルトガル海軍
Final da Taça dos Clubes Campeões Europeus de 1967-68,UEFAチャンピオンズカップ 1967-68 決勝
freguesia de Portugal,フレギジーア
A Portuguesa,ア・ポルトゥゲーザ
Faro,ファロ
Praça dos Restauradores,レスタウラドーレス広場
Exposição Mundial de 1998,リスボン国際博覧会
Ilha Graciosa,グラシオーザ島
Pedrógão Grande,ピドロガオン・グランディ
Supertaça Cândido de Oliveira,スーペルタッサ・カンディド・デ・オリベイラ
Lapa,ラパ
Partido Ecologista Os Verdes,ポルトガル緑の党
Federação Portuguesa de Rugby,ポルトガルラグビー連盟
Estação Laranjeiras,ラランジェイラス駅
Partido Social Democrata,社会民主党
Força Aérea Portuguesa,ポルトガル空軍
Elevador de Santa Justa,サンタ・ジュスタのリフト
Castanheira de Pêra,カシュタネイラ・ディ・ペーラ
Gouveia,ゴーヴェイア
Penafiel,ペナフィエル
Palácio Nacional de Mafra,マフラ国立宮殿
Movimento das Forças Armadas,国軍運動
Primeira República Portuguesa,ポルトガル第一共和政
educação em Portugal,ポルトガルの教育
Tratado de Saragoça,サラゴサ条約
Cávado,カヴァドゥ
Cadaval,カダバル
eleições parlamentares europeias de 2004 em Portugal,2004年欧州議会議員選挙
Monte,ノッサ・セニョーラ・ド・モンテ教会
Linha do Norte,ポルトガル 北線
Batalha de Lagos,ラゴスの海戦 (1693年)
Estádio Cidade de Barcelos,エスタディオ・シダーデ・デ・バルセロス
Nova Democracia,新民主主義
Estação Praça de Espanha,プラサ・デ・エスパーニャ駅
Palácio Nacional de Belém,ベレン宮殿
Museu Nacional de Soares dos Reis,ソアレス・ドス・レイス国立美術館
Bárrio,バリオ
Vila Viçosa,ヴィラ・ヴィソーサ
Nisa,ニーザ
Alfama,アルファマ
Lagoa,ラーゴア (アルガルヴェ)
Lourinhã,ロウリニャン
Grândola,グランドラ
Curtas Vila do Conde,クルタス・ヴィラ・ド・コンデ
Teatro Nacional de São Carlos,サン・カルルシュ国立劇場
Campo,カンポ
política de Portugal,ポルトガルの政治
Prémio Pessoa,ペソア賞
Manteigas,マンテイガシュ
Alcanena,アルカネナ
Mosteiro de Alcobaça,アルコバッサ修道院
Guimarães,ギマランイス
Universidade Católica Portuguesa,ポルトガルカトリック大学
Gondomar,ゴンドマル
Liga Portuguesa de Futebol Profissional,ポルトガルプロサッカーリーグ
eleições legislativas portuguesas de 1983,1983年ポルトガル議会選挙
Mangualde,マングァルデ(Mangualde)
Ordem de Nossa Senhora da Conceição de Vila Viçosa,我らが貴婦人ヴィラ・ヴィコサ勲章
Cabo da Roca,ロカ岬
Chiado,シアード
Valongo,ヴァロンゴ
Rali Dakar de 2007,2007年ダカール・ラリー
Circuito de Monsanto,モンサント・サーキット
Novo Aeroporto de Lisboa,新リスボン空港
São Roque do Pico,サンロッケ・ド・ピコ
gastronomia de Portugal,ポルトガル料理
Algueirão-Mem Martins,アルグエイリャン＝メン・マルティンス
Batalha do Porto,第1次ポルトの戦い
eleições legislativas portuguesas de 1980,1980年ポルトガル議会選挙
Vila de Frades,ヴィラ・デ・フラデス
Paralelo 33 N,北緯33度線
Paralelo 40 N,北緯40度線
Paralelo 37 N,北緯37度線
Rali Dakar de 2006,2006年ダカール・ラリー
Autódromo do Estoril,エストリル・サーキット
Setúbal,セトゥーバル
Universidade Autónoma de Lisboa,リスボン自治大学
Quarteira,クアルテイラ
Saldanha,サルダーニャ駅
Mafra,マフラ
Lousada,ロウザダ
Circuito Urbano da Boavista,ポルト・サーキット
Portimonense Sporting Clube,ポルティモネンセSC
Sporting Clube Olhanense,SCオリャネンセ
Douro,ドゥロ都市間共同体
Estação Roma,ローマ駅 (リスボンメトロ)
Estação Alameda,アラメダ駅
Portugueses,ポルトガル人
Lajes do Pico,ラジェス・ド・ピコ
Pico do Arieiro,ピコ・デ・アリエロ
Grande Prêmio de Portugal de 2007,2007年のポルトガルグランプリ
Gondomar Sport Clube,ゴンドマールSC
Rio Ave Futebol Clube,リオ・アヴェFC
Tomar,トマール
Alentejo Central,アレンテージュ・セントラル
II Divisão,セグンダ・ディヴィゾン
Almeida,アルメイダ
Portugália Airlines,ポルトガリア航空
White Airways,ホワイト・エアウェイズ
Louletano Desportos Clube,ロウレターノDC
Mosteiro da Batalha,バターリャ修道院
Mora,モーラ (ポルトガル)
Diamang,ディアマング
eleições legislativas portuguesas de 2009,2009年ポルトガル議会選挙
Ordem Real de Santa Isabel,聖イサベル勲章
economia de Portugal,ポルトガルの経済
Rio Tinto,ヒウ・チント
Póvoa de Santa Iria,ポヴォア・デ・サンタ・イリア
Évora,エヴォラ
Centro Desportivo de Fátima,CDファティマ
Aeródromo da Graciosa,グラシオーザ空港
Instituto Superior Técnico,高等工科大学
Monsanto,モンサント (イダーニャ＝ア＝ノーヴァ)
Panteão dos Braganças,ブラガンサ王家霊廟
Duque de Aveiro,アヴェイロ公
Pereira,ペレイラ (バルセロス)
lista de doutores honoris causa pela Universidade do Porto,ポルト大学名誉博士の一覧
Lagoa Seca,セカ湖
Amadora,アマドーラ
Ilhéu da Cal,カル島
Ilhéu do Monchique,モンシケ島
Museu Nacional dos Coches,国立馬車博物館
Estação Carnide,カルニーデ駅
levada,レヴァダ
Guerra Colonial Portuguesa,ポルトガルの植民地戦争
Grupo Desportivo Estoril Praia,GDエストリル・プライア
lista de reis de Portugal,ポルトガル君主一覧
Dia de Portugal,ポルトガルの日
Hispânia,ヒスパニア
Cronologia da história de Portugal,ポルトガルの年表
Universidade Lusíada de Lisboa,ルジアダ大学
Castelo de São Jorge,サン・ジョルジェ城
Estoril,エストリル
Sporting Clube Campomaiorense,SCカンポマイオレンセ
Olival,オリヴァル
SATA Air Açores,SATA エア・アゾレス
Revolução dos Cravos,カーネーション革命
Castelo Branco,カステロ・ブランコ (オルタ)
Ermesinde,エルメシンデ
Viseu Dão Lafões,ダオン＝ラフォンイス
Estádio dos Barreiros,エスタディオ・ド・マリティモ
transportes em Portugal,ポルトガルの交通
Paredes,パレデス
Primeira Liga,スーペル・リーガ
Batalha do Cabo de São Vicente,サン・ビセンテ岬の月光の海戦
Pinhal Novo,ピニャル・ノーヴォ
Estremoz,エストレモス
Leixões Sport Club,レイションイスSC
Câmara de Lobos,カマラ・デ・ロボス
Sertã,セルタン
Lagoa da Lomba,ロンバ湖
Base Aérea de Beja,ベージャ航空基地
EuroAtlantic Airways,ユーロアトランティック航空
Clube Desportivo de Mafra,CDマフラ
lusofonia,ルゾフォニア
Oliveira (São Mateus),オリヴェイラ
Estação Chelas,シェラス駅
São Pedro da Cova,サン・ペドロ・ダ・コーヴァ
Marco de Canaveses,マルコ・デ・カナヴェセス
lista de cidades em Portugal,ポルトガルの都市の一覧
Estação Odivelas,オディヴェラス駅
Angra do Heroísmo,アングラ・ド・エロイズモ
Vinho do Porto,ポートワイン
Sintra,シントラ
Estação Anjos,アンジョス駅
Sismo de Lisboa de 1755,1755年リスボン地震
Vila de Prado,プラド村
Arco da Rua Augusta,アウグスタ通り
Seleção Portuguesa de Futebol sub-21,U-23サッカーポルトガル代表
Lapa,ラパ
Estação Encarnação,エンカルナサオン駅
Rio de Mouro,リオ・デ・モロ
Implantação da República Portuguesa,1910年10月5日革命
Estação Alto dos Moinhos,アルト・ドス・モイニョス駅
Aeroporto da Madeira,マデイラ空港
Aeroporto de Beja,ベージャ空港
desaparecimento de Madeleine McCann,マデリン・マクカーン失踪事件
Ordem de Avis,アヴィシュ騎士団
Portalegre,ポルタレグレ
Junta de Salvação Nacional,国民救済臨時政府
Jornal de Notícias,ジョルナル・デ・ノティシアス
Oliveira,オリヴェイラ
Ave,アヴィ
Azambuja,アザンブジャ
Rede Ferroviária de Alta Velocidade,ポルトガルの高速鉄道
Paralelo 41 N,北緯41度線
Igreja Católica em Portugal,ポルトガルのカトリック
Paralelo 42 N,北緯42度線
Fátima,ファティマ
Estádio Nacional do Jamor,エスタディオ・ナシオナル
Campeonato Mundial de Atletismo em Pista Coberta de 2001,2001年世界室内陸上競技選手権大会
Jogos da Lusofonia,ポルトガル語圏競技大会
Guarda Nacional Republicana,ポルトガル共和国国家警備隊
Estação Picoas,ピコアス駅
Ministério dos Negócios Estrangeiros,外務省 (ポルトガル)
Estação Alvalade,アルヴァラーデ駅
Ordem Equestre e Militar de São Miguel da Ala,王立翼天使聖ミカエル騎士団勲章
Vila Nova de Gaia,ヴィラ・ノヴァ・デ・ガイア
Ponte de D. Luís,ドン・ルイス1世橋
Sociedade União 1º Dezembro,SUプリメイロ・デ・デセンブロ
Fantasporto,ポルト国際映画祭
Estádio Municipal de Portimão,エスタディオ・ムニシパル
Linha do Sado,サド線
Vila Nova de Milfontes,ヴィーラ・ノーヴァ・デ・ミルフンテス
Praça da Figueira,フィゲイラ広場
Estação Restauradores,レスタウラドーレス駅
Jerónimo Martins,ジェロニモ・マルティンス
Primeiro-Ministro de Portugal,ポルトガルの首相
Estação Rato,ラト駅
Aves,ヴィラ・ダス・アヴェス
Cabo Mondego,カボ・モンデゴ
Ilha do Faial,ファイアル島
Ala,アラ
Misericórdia,ミゼリコルジャ
Farilhões,ファリリョンエス＝フォルカドス群島
Algarve Cup,アルガルヴェ・カップ
Estádio Algarve,エスタディオ・アルガルヴェ
Merino,メリノ種
Oliveira do Douro,オリヴェイラ・ド・ドウロ
Alentejo Litoral,アレンテージョ・リトラル都市間共同体
Batalha de Ourique,オーリッケの戦い
eleições presidenciais portuguesas de 1976,1976年ポルトガル共和国大統領選挙
Campeonato Europeu de Natação em Piscina Curta de 1999,1999年ヨーロッパ短水路選手権
Oliveira,オリヴェイラ
Grupo Desportivo Tourizense,GDトウリゼンセ
eleições legislativas portuguesas de 1987,1987年ポルトガル議会選挙
Sport Comércio e Salgueiros,SCサルゲイロス
Vinhos portugueses,ポルトガルワイン
Sistema de ligas de futebol de Portugal,ポルトガルのサッカーリーグ構成
Ramal de Braga,ブラガ支線
Zibreira,ジブレイラ
Fronteira,フロンテイラ
Sé de Faro,ファロ大聖堂
Rádio e Televisão de Portugal,ポルトガル国営放送
Alto Douro Vinhateiro,アルト・ドウロ・ワイン生産地域
Sé Catedral de Évora,エヴォラ大聖堂
Moreirense Futebol Clube,モレイレンセFC
Ericeira,エリセイラ
Clube Futebol União,CFウニオン・マデイラ
Lisboa,リスボン県
Porto Covo,ポルト・コヴォ
Energias de Portugal,エネルジアス・ドゥ・ポルトガル
Batalha de Aljubarrota,アルジュバロータの戦い
Império Português,ポルトガル海上帝国
Figueiró dos Vinhos,フィゲイロー・ドゥジュ・ヴィーニュシュ
Portugal no Festival Eurovisão da Canção Júnior,ポルトガルのジュニア・ユーロビジョン・ソング・コンテスト
Hospital Real de Todos os Santos,王立トドス・オス・サントス病院
Carcavelos,カルカヴェロス
AJP Motos,AJP
Estádio António Coimbra da Mota,エスタディオ・アントニオ・コインブラ・ダ・モタ
Estádio Marcolino de Castro,エスタジオ・マルコリノ・デ・カストロ
Estádio Municipal de Arouca,エスタディオ・ムニシパル・デ・アロウカ
Estádio da Mata Real,エスタディオ・ダ・マタ・レアル
Cruz de Santiago,聖ジェームズ十字
Estaleiros Navais de Viana do Castelo,ヴィアナ・ド・カステロ海軍造船所
Ilhas Estelas,エステラス群島
Igreja de São Vicente de Fora,サン・ヴィセンテ・デ・フォーラ修道院
Partido Democrático,民主党
Clube Desportivo Feirense,CDフェイレンセ
Oceanário de Lisboa,リスボン水族館
Alcobaça,アルコバーサ
Bairro Alto,バイロ・アルト
Ponta Delgada,ポンタ・デルガダ
Aeroporto Internacional de Faro,ファロ空港
Viana do Castelo,ヴィアナ・ド・カステロ
