"Достоевский, Фёдор Михайлович",フョードル・ドストエフスキー
"Нойштедтер, Роман Петрович",ロマン・ノイシュテッター
"Попов, Александр Степанович",アレクサンドル・ポポフ・(物理学者)
"Давыденко, Николай Владимирович",ニコライ・ダビデンコ
"Абрикосов, Алексей Алексеевич",アレクセイ・アブリコソフ
"Кузнецова, Светлана Александровна",スベトラーナ・クズネツォワ
"Билялетдинов, Динияр Ринатович",ディニャル・ビリャレトディノフ
"Воронин, Владимир Николаевич",ウラジーミル・ヴォローニン
"Коротаев, Андрей Витальевич",アンドレイ・コロターエフ
"Черномырдин, Виктор Степанович",ヴィクトル・チェルノムイルジン
"Медведев, Дмитрий Анатольевич",ドミートリー・メドヴェージェフ
"Парыгин, Борис Дмитриевич",パルィギン・ボリス
"Аввакумова, Ирина Андреевна",イリーナ・アブバクモワ
"Зобнин, Роман Сергеевич",ロマン・ゾブニン
"Бондарчук, Сергей Фёдорович",セルゲイ・ボンダルチュク
"Ходорковский, Михаил Борисович",ミハイル・ホドルコフスキー
"Михалков, Никита Сергеевич",ニキータ・ミハルコフ
"Кончаловский, Андрей Сергеевич",アンドレイ・コンチャロフスキー
"Леонов, Алексей Архипович",アレクセイ・レオーノフ
"Сидько, Алёна Викторовна",アレナ・シドコ
"Куркина, Лариса Николаевна",ラリサ・クルキナ
"Баранова-Масалкина, Наталья Ивановна",ナタリア・バラノワ＝マサルキナ
"Морилов, Николай Сергеевич",ニコライ・モリロフ
"Кириченко, Александр Александрович",アレクサンドル・キリチェンコ
"Матвиенко, Валентина Ивановна",ワレンチナ・マトヴィエンコ
"Алфёров, Жорес Иванович",ジョレス・アルフョーロフ
"Галстян, Арсен Жораевич",アルセン・ガルスチャン
"Навальный, Алексей Анатольевич",アレクセイ・ナワリヌイ
"Манин, Юрий Иванович",ユーリ・マニン
"Сысоев, Игорь Владимирович (программист)",イーゴリ・シソエフ
"Касьянов, Михаил Михайлович",ミハイル・カシヤノフ
"Лужков, Юрий Михайлович",ユーリ・ルシコフ
"Гурченко, Людмила Марковна",リュドミラ・グルチェンコ
"Романов, Григорий Васильевич",グリゴリー・ロマノフ
"Уланова, Галина Сергеевна",ガリーナ・ウラノワ
"Сажидов, Сажид Халилрахманович",サジド・サジドフ
"Горбачёв, Михаил Сергеевич",ミハイル・ゴルバチョフ
"Башмет, Юрий Абрамович",ユーリ・バシュメット
"Арнольд, Владимир Игоревич",ウラジーミル・アーノルド
"Шнитке, Альфред Гарриевич",アルフレート・シュニトケ
"Янсонс, Марис Арвидович",マリス・ヤンソンス
"Ашкенази, Владимир Давидович",ウラディーミル・アシュケナージ
"Шевчук, Евгений Васильевич",エフゲニー・シェフチュク
"Грызлов, Борис Вячеславович",ボリス・グルイズロフ
"Карелин, Александр Александрович",アレクサンドル・カレリン
"Жирков, Юрий Валентинович",ユーリ・ジルコフ
"Денисов, Игорь Владимирович",イゴール・デニソフ
"Зырянов, Константин Георгиевич",コンスタンティン・ジリャノフ
"Анюков, Александр Геннадьевич",アレクサンドル・アニュコフ
"Фёдорова, Лина Алексеевна",リーナ・フェードロワ
"Мирошкин, Максим Романович",マキシム・ミロシキン
"Иванов, Сергей Валерьевич",セルゲイ・イワノフ・(自転車選手)
"Романцев, Олег Иванович",オレグ・ロマンツェフ
"Горлукович, Сергей Вадимович",セルゲイ・ゴルルコヴィチ
"Пантаева, Ирина Владленовна",イリナ・パンタエヴァ
"Сёмин, Юрий Павлович",ユーリー・ショミン
"Поветкин, Александр Владимирович",アレクサンデル・ポベトキン
"Курентзис, Теодор",テオドール・クルレンツィス
"Пригов, Дмитрий Александрович",ドミトリー・プリゴフ
"Ходченкова, Светлана Викторовна",スヴェトラーナ・コドチェンコワ
"Хасбулатов, Руслан Имранович",ルスラン・ハズブラートフ
"Меньшов, Константин Александрович",コンスタンチン・メンショフ
"Стародубцев, Василий Александрович",ワシリー・スタロドゥプツェフ
"Шойгу, Сергей Кужугетович",セルゲイ・ショイグ
"Привалова, Ирина Анатольевна",イリーナ・プリワロワ
"Тарасова, Евгения Максимовна",エフゲーニヤ・タラソワ
"Галкина, Екатерина Владимировна",エカチェリーナ・ガールキナ
"Костомаров, Роман Сергеевич",ロマン・コストマロフ
"Климук, Пётр Ильич",ピョートル・クリムク
"Гречко, Георгий Михайлович",ゲオルギー・グレチコ
"Лобачёва, Ирина Викторовна",イリーナ・ロバチェワ
"Шонин, Георгий Степанович",ゲオルギー・ショーニン
"Лончаков, Юрий Валентинович",ユーリ・ロンチャコフ
"Чахкиев, Рахим Русланович",ラキム・チャキエフ
"Саутин, Дмитрий Иванович",ドミトリー・サウティン
"Скворцов, Александр Александрович",アレクサンドル・スクボルソフ
"Ойстрах, Игорь Давидович",イーゴリ・オイストラフ
"Романова, Мария Владимировна",マリヤ・ウラジーミロヴナ・ロマノヴァ
"Жириновский, Владимир Вольфович",ウラジーミル・ジリノフスキー
"Ставиский, Максим",マキシム・スタビスキー
"Ковальчук, Илья Валерьевич",イリヤ・コワルチュク
"Диль, Элла Александровна",エラ・ディール
"Хорошев, Игорь Петрович",イゴール・コロシェフ
"Хакамада, Ирина Муцуовна",イリーナ・ハカマダ
"Балабанов, Алексей Октябринович",アレクセイ・バラバノフ
"Хабенский, Константин Юрьевич",コンスタンチン・ハベンスキー
"Шалимов, Игорь Михайлович",イーゴリ・シャリモフ
"Зайцев, Александр Леонидович",アレクサンドル・ザイツェフ・(天文学者)
"Нигматуллин, Руслан Каримович",ルスラン・ニグマトゥーリン
"Магомаев, Муслим Магометович",ムスリム・マゴマエフ
"Чубайс, Анатолий Борисович",アナトリー・チュバイス
"Кержаков, Александр Анатольевич",アレクサンドル・ケルジャコフ
"Думчев, Юрий Эдуардович",ユーリ・ドゥムチェフ
"Дядюн, Владимир Сергеевич",ウラジーミル・ディアドゥン
"Станишев, Сергей Дмитриевич",セルゲイ・スタニシェフ
"Усова, Майя Валентиновна",マイア・ウソワ
"Белов, Сергей Александрович",セルゲイ・ベロフ
"Дапкунайте, Ингеборга",インゲボルガ・ダクネイト
"Павлов, Валентин Сергеевич",ヴァレンチン・パヴロフ
"Арбачаков, Юрий Яковлевич",勇利アルバチャコフ
"Файзулин, Виктор Игоревич",ヴィクトル・ファイズリン
"Колмаков, Александр Петрович",アレクサンドル・コルマコフ
"Сироткин, Сергей Олегович",セルゲイ・シロトキン
"Алиев, Муху Гимбатович",ムフ・アリエフ
"Лазуткин, Александр Иванович",アレクサンドル・ラズトキン
"Акинфеев, Игорь Владимирович",イゴール・アキンフェエフ
"Залётин, Сергей Викторович",セルゲイ・ザリョーチン
"Иванов, Сергей Борисович",セルゲイ・イワノフ
"Смирнова, Людмила Станиславовна",リュドミラ・スミルノワ
"Рождественский, Геннадий Николаевич",ゲンナジー・ロジェストヴェンスキー
"Анисимова, Татьяна Михайловна",タチアナ・アニシモワ
"Белоусова, Людмила Евгеньевна",リュドミラ・ベルソワ
"Тарасова, Ирина Ивановна",イリーナ・タラソワ
"Мыскина, Анастасия Андреевна",アナスタシア・ミスキナ
"Алексеев, Александр Вячеславович",アレクサンデル・アレクセーエフ
"Кечинов, Валерий Викторович",ヴァレリー・ケチノフ
"Неизвестный, Эрнст Иосифович",エルンスト・ネイズヴェスヌイ
"Харитон, Юлий Борисович",ユーリ・ハリトン
"Костенюк, Александра Константиновна",アレクサンドラ・コステニューク
"Боярский, Михаил Сергеевич",ミハイル・ボヤルスキー
"Леско, Анна Степановна",アンナ・レスコ
"Болдырев, Владимир Анатольевич",ウラジーミル・ボルドゥイレフ
"Чакветадзе, Анна Джамбулиевна",アンナ・チャクベタゼ
"Неёлов, Юрий Васильевич",ユーリ・ネヨーロフ
"Ансов, Игорь",イゴール・アンゾフ
"Подклетнов, Евгений Евгеньевич",ユージーン・ポドクレトノフ
"Мусабаев, Талгат Амангельдиевич",タルガット・ムサバイエフ
"Гусев, Ролан Александрович",ロラン・グセフ
"Левенштейн, Владимир Иосифович",ウラジーミル・レーベンシュタイン
"Погребняк, Павел Викторович",パヴェル・ポグレブニャク
"Аушев, Руслан Султанович",ルスラン・アウシェフ
"Широков, Роман Николаевич",ロマン・シロコフ
"Емельяненко, Фёдор Владимирович",エメリヤーエンコ・ヒョードル
"Кириченко, Дмитрий Сергеевич",ドミートリー・キリチェンコ
"Явлинский, Григорий Алексеевич",グリゴリー・ヤブリンスキー
"Уланова, Екатерина Вадимовна",エカテリーナ・ウラノワ
"Голубева, Екатерина Николаевна",カテリーナ・ゴルベワ
"Сурков, Владислав Юрьевич",ウラジスラフ・スルコフ
"Мельников, Александр Маркович",アレクサンドル・メルニコフ
"Зязиков, Мурат Магометович",ムラト・ジャジコフ
"Батиров, Мавлет Алавдинович",マブレット・バチロフ
"Кузнецов, Николай Дмитриевич (авиаконструктор)",ニコライ・ドミトリエヴィチ・クズネツォフ
"Меньшиков, Олег Евгеньевич",オレグ・メンシコフ
"Россель, Эдуард Эргартович",エドゥアルト・ロッセリ
"Веснина, Елена Сергеевна",エレーナ・ベスニナ
"Володось, Аркадий Аркадьевич",アルカーディ・ヴォロドス
"Малафеев, Вячеслав Александрович",ヴィアチェスラフ・マラフェエフ
"Кафельников, Евгений Александрович",エフゲニー・カフェルニコフ
"Домрачева, Дарья Владимировна",ダリア・ドムラチェワ
"Михалков, Сергей Владимирович",セルゲイ・ミハルコフ
"Дугин, Александр Гельевич",アレクサンドル・ドゥーギン
"Рябкина, Татьяна Юрьевна",タチアナ・リャブキナ
"Кондакова, Дарья Владимировна",ダリア・コンダコワ
"Альбиев, Ислам-Бека Саид-Цилимович",イスラム・アルビエフ
"Цымбаларь, Илья Владимирович",イリヤ・ツィンバラル
"Пятигорский, Александр Моисеевич",アレクサンデル・ピアティゴルスキー
"Горчакова, Елена Егоровна",エレーナ・ゴルチャコワ
"Алдонин, Евгений Валерьевич",エフゲニ・アルドニン
"Харин, Дмитрий Викторович",ドミトリー・ハーリン
"Климов, Фёдор Александрович",ヒョードル・クリモフ
"Остапенко, Олег Николаевич",オレグ・オスタペンコ
"Фок, Владимир Александрович",ウラジーミル・フォック
"Воронцов, Юлий Михайлович",ユーリ・ウォロンツォフ
"Игнатьев, Ардалион Васильевич",アルダリオン・イグナチェフ
"Спиридонов, Алексей Сергеевич",アレクセイ・スピリドノフ
"Аблязин, Денис Михайлович",デニス・アブリャジン
"Каспаров, Юрий Сергеевич",ユーリ・カスパロフ
"Морозов, Владимир Евгеньевич",ウラジーミル・モロゾフ・(フィギュアスケート選手)
"Богомолов, Александр Александрович (теннисист)",アレックス・ボゴモロフ・ジュニア
"Столбова, Ксения Андреевна",クセニヤ・ストルボワ
"Софроницкая, Вивиана Владимировна",ヴィヴィアナ・ソフロニツキー
"Буре, Павел Владимирович",パーヴェル・ブレ
"Березуцкий, Алексей Владимирович",アレクセイ・ベレズツキー
"Игнашевич, Сергей Николаевич",セルゲイ・イグナシェヴィッチ
"Бударин, Николай Михайлович",ニコライ・ブダーリン
"Скворцова, Вероника Игоревна",ヴェロニカ・スクヴォルツォワ
"Фетисов, Вячеслав Александрович",ヴャチェスラフ・フェティソフ
"Маслаченко, Владимир Никитович",ウラジーミル・マスラチェンコ
Носорог (Marvel Comics),ライノ・(マーベル・コミック)
"Гидаспов, Борис Вениаминович",ボリス・ギダスポフ
"Кадыров, Рамзан Ахматович",ラムザン・カディロフ
"Шишкин, Роман Александрович",ロマン・シシュキン
"Лейферкус, Сергей Петрович",セルゲイ・レイフェルクス
"Закроев, Егор Михайлович",エゴール・ザクロエフ
"Выгалова, Мария Олеговна",マリア・ヴィガロワ
"Чернавин, Владимир Николаевич",ウラジーミル・チェルナヴィン
"Панфилов, Глеб Анатольевич",グレブ・パンフィーロフ
"Макаров, Николай Егорович",ニコライ・マカロフ
"Спиваков, Владимир Теодорович",ウラディーミル・スピヴァコフ
"Карполь, Николай Васильевич",ニコライ・カルポリ
"Квят, Даниил Вячеславович",ダニール・クビアト
"Южный, Михаил Михайлович",ミハイル・ユージニー
"Высоцкий, Владимир Сергеевич",ヴラジーミル・ヴィソツキー・(軍人)
"Хайбулаев, Тагир Камалудинович",タギル・ハイブラエフ
"Андрианов, Николай Ефимович",ニコライ・アンドリアノフ
"Москвина, Тамара Николаевна",タマラ・モスクビナ
"Карякин, Сергей Александрович",セルゲイ・カヤキン
"Адамов, Роман Станиславович",ロマン・アダモフ
"Маслакова, Людмила Ильинична",リュドミラ・マスラコワ
"Анисимова, Вера Васильевна",ベラ・アニシモワ
"Брутт, Павел Александрович",パヴェル・ブルット
"Лукас, Майкл",マイケル・ルーカス
"Букреева, Ольга Валерьевна",オルガ・ブクレーエワ
Ари (футболист),アリクレネス・ダ・シウヴァ・フェレイラ
"Ткачёв, Александр Васильевич (гимнаст)",アレクサンドル・トカチェフ
Крейвен-охотник,クレイヴン・ザ・ハンター・(マーベル・コミック)
"Федосеев, Олег Георгиевич",オレグ・フェドセーエフ
"Байсангуров, Заурбек Мусаевич",ザウルベック・バイサングロフ
"Силуанов, Антон Германович",アントン・シルアノフ
"Лебедев, Денис Александрович",デニス・レベデフ
"Зайцев, Иван Вячеславович",イバン・ザイツェフ
"Пономарёв, Борис Николаевич",ボリス・ポノマリョフ
"Исаев, Мансур Мустафаевич",マンスール・イサエフ
"Володин, Вячеслав Викторович",ヴャチェスラフ・ヴォロージン
"Щёголев, Игорь Олегович",イーゴリ・シチョーゴレフ
"Басаргин, Виктор Фёдорович",ヴィクトル・バサルギン
"Васин, Виктор Владимирович",ヴィクトル・ヴァシン
"Касаев, Алан Таймуразович",アラン・カサエフ
"Шаповалов, Иван Николаевич",イワン・シャポワロフ
"Волкова, Юлия Олеговна",ユーリャ・ボルコワ
"Катина, Елена Сергеевна",リェーナ・カーチナ
"Аллилуева, Светлана Иосифовна",スヴェトラーナ・アリルーエワ
"Викторенко, Александр Степанович",アレクサンドル・ヴィクトレンコ
"Клейбанова, Алиса Михайловна",アリサ・クレイバノワ
"Лебедева, Татьяна Романовна",タチアナ・レベデワ
"Шведова, Ярослава Вячеславовна",ヤロスラワ・シュウェドワ
"Ибрагимов, Магомед Абдулмуминович",マゴメド・イブラギモフ
"Доллежаль, Николай Антонович",ニコライ・ドレジャーリ
"Клюгин, Сергей Петрович",セルゲイ・クリュギン
"Афанасьев, Юрий Николаевич",ユーリ・アファナーシェフ
"Шкаплеров, Антон Николаевич",アントン・シュカプレロフ
"Меджидов, Магомедрасул Юсуб оглы",マゴメドラサル・マジドフ
"Лавров, Кирилл Юрьевич",キリール・ラヴロフ
"Медведева, Светлана Владимировна",スヴェトラーナ・メドヴェージェワ
"Скобликова, Лидия Павловна",リディア・スコブリコーワ
"Сухинова, Ксения Владимировна",クセーニャ・スヒノワ
"Гусев, Владимир Николаевич",ウラディミール・グセフ
"Забелина, Александра Ивановна",アレクサンドラ・ザベリナ
"Жук, Татьяна Алексеевна",タチヤナ・ジュク
"Тонков, Павел Сергеевич",パヴェル・トンコフ
"Замолодчикова, Елена Михайловна",エレーナ・ザモロドチコワ
"Черкасова, Марина Евгеньевна (фигуристка)",マリナ・チェルカソワ
"Кресс, Виктор Мельхиорович",ヴィクトル・クレス
"Ельцова, Марина Алексеевна",マリナ・エルツォワ
"Сихарулидзе, Антон Тариэльевич",アントン・シハルリドゼ
"Каноков, Арсен Баширович",アルセン・カノコフ
"Боровитин, Алексей Алексеевич",アレクセイ・ボロビチン
"Яковлев, Владимир Анатольевич",ウラジーミル・ヤコブレフ
"Нарышкин, Сергей Евгеньевич",セルゲイ・ナルイシキン
"Полтавченко, Георгий Сергеевич",ゲオルギー・ポルタフチェンコ
"Чугайнов, Игорь Валерьевич",イーゴリ・チュガイノフ
"Бабченко, Аркадий Аркадьевич",アルカジー・バブチェンコ
"Крайнев, Владимир Всеволодович",ウラジーミル・クライネフ
"Китаенко, Дмитрий Георгиевич",ドミトリー・キタエンコ
"Рауш, Константин Викторович",コンスタンティン・ラウシュ
"Тертерян, Авет Рубенович",アーヴェト・テルテリャーン
"Вяхирев, Рем Иванович",レム・ヴャヒレフ
"Левитин, Игорь Евгеньевич",イーゴリ・レヴィチン
"Рахимов, Муртаза Губайдуллович",モルタザ・ラヒモフ
"Душевина, Вера Евгеньевна",ベラ・ドゥシェビナ
"Горбачёва, Раиса Максимовна",ライサ・ゴルバチョワ
"Казанкина, Татьяна Васильевна",タチアナ・カザンキナ
"Вишневская, Галина Павловна",ガリーナ・ヴィシネフスカヤ
"Кузенкова, Ольга Сергеевна",オリガ・クゼンコワ
"Слуцкая, Ирина Эдуардовна",イリーナ・スルツカヤ
"Лаврова, Наталья Александровна",ナタリア・ラブロワ
"Феофанова, Светлана Евгеньевна",スベトラーナ・フェオファノワ
"Слесаренко, Елена Владимировна",エレーナ・スレサレンコ
"Титов, Егор Ильич",イェーゴリ・チトフ
"Волков, Александр Александрович (космонавт)",アレクサンドル・ヴォルコフ・(宇宙飛行士)
"Пресс, Тамара Натановна",タマラ・プレス
"Боннэр, Елена Георгиевна",エレーナ・ボンネル
"Патрушев, Николай Платонович",ニコライ・パトルシェフ
"Ерохин, Александр Юрьевич",アレクサンドル・エロヒン
"Малинина, Татьяна Валерьевна",タチアナ・マリニナ
"Чапман, Анна Васильевна",アンナ・チャップマン
"Лиховцева, Елена Александровна",エレーナ・リホフツェワ
"Клишина, Дарья Игоревна",ダリヤ・クリシナ
"Подладчиков, Юрий Юрьевич",ユーリ・ポドラドチコフ
"Ковтун, Юрий Михайлович",ユーリー・コフトゥン
"Бовина, Елена Олеговна",エレーナ・ボビナ
"Хохлова, Яна Вадимовна",ヤナ・ホフロワ
"Путина, Людмила Александровна",リュドミラ・プーチナ
"Ресин, Владимир Иосифович",ウラジーミル・レシン
"Орейро, Наталия",ナタリア・オレイロ
"Карелин, Павел Алексеевич",パヴェル・カレリン
"Вексельберг, Виктор Феликсович",ヴィクトル・ヴェクセリベルク
"Чурикова, Инна Михайловна",インナ・チュリコワ
"Зелин, Александр Николаевич",アレクサンドル・ゼーリン
"Волчкова, Виктория Евгеньевна",ビクトリア・ボルチコワ
"Гидзенко, Юрий Павлович",ユーリー・ギジェンコ
"Волынов, Борис Валентинович",ボリス・ヴォリノフ
"Маркова, Ольга Дмитриевна",オルガ・マルコワ・(フィギュアスケート選手)
"Пименов, Руслан Валерьевич",ルスラン・ピメノフ
"Черчесов, Станислав Саламович",スタニスラフ・チェルチェソフ
"Косарев, Александр Борисович (волейболист)",アレクサンドル・コサレフ
"Першин, Иван Васильевич",イヴァン・ペルシン
"Черышев, Дмитрий Николаевич",ドミトリー・チェリシェフ
"Астаповский, Владимир Александрович",ウラジーミル・アスタポフスキー
"Чайка, Юрий Яковлевич",ユーリ・チャイカ
"Радченко, Дмитрий Леонидович",ドミトリー・ラドチェンコ
"Капустин, Николай Гиршевич",ニコライ・カプースチン
"Водянова, Наталья Михайловна",ナタリア・ヴォディアノヴァ
"Абакумова, Мария Васильевна",マリア・アバクモワ
"Котельников, Владимир Александрович",ウラジーミル・コテルニコフ
"Фазель, Рене",ルネ・ファゼル
"Федосеев, Владимир Иванович",ウラジーミル・フェドセーエフ
"Якунин, Владимир Иванович",ウラジーミル・ヤクーニン
"Ле Таллек, Дамьен",ダミアン・ル・タレク
