François Hollande,弗朗索瓦·奥朗德
Marie-José Pérec,玛丽-若泽·佩雷克
Olivier Messiaen,奥利维埃·梅西安
Edmond Becquerel,亚历山大·埃德蒙·贝克勒尔
Georges Bernanos,喬治·貝爾納諾斯
Nina Berberova,尼娜·别尔别罗娃
Julien Faubert,祖利安·法拔
Charlotte Gainsbourg,夏洛特·甘斯布
Lucien Laurent,吕西安·洛朗
Peter Brook,彼得·布魯克
Louis XVII,路易十七
Anne d'Autriche (1601-1666),安妮·德·奧地利
Martine Aubry,玛蒂娜·奥布里
Yeardley Smith,亚德利·史密斯
Jacques Dupont (cyclisme),雅克·杜邦
Aravane Rezaï,阿拉瓦內·雷扎伊
Gabriel Tarde,加布里埃尔·塔尔德
Nicolas de Catinat,尼古拉·德·卡蒂纳
Étienne Louis Malus,艾蒂安-路易·马吕斯
François-René de Chateaubriand,弗朗索瓦-勒内·德·夏多布里昂
Adhémar de Monteil,勒皮主教阿希马尔
Joséphine Baker,約瑟芬·貝克
Alizé Cornet,阿莉泽·科尔内
Françoise Mbango Etone,弗朗索瓦丝·姆班戈·埃托内
Claude de France (1499-1524),克洛德·德·法蘭西·(1499年—1524年)
Louis-Ferdinand Céline,路易-费迪南·塞利纳
Georges Feydeau,乔治·费多
Marivaux,皮耶·德·馬里沃
Paul Painlevé,保罗·潘勒韦
Laurent Lafforgue,洛朗·拉福格
Letizia Bonaparte,瑪麗亞·萊蒂西亞·拉莫利諾
Martin IV,瑪定四世
Joachim Murat,若阿尚·缪拉
Jean Renoir,让·雷诺阿
Pierre Laval,皮埃尔·赖伐尔
Eugène Sue,欧仁·苏
Maurice Blanchot,莫里斯·布朗肖
Jacek Bąk,雅塞克·巴克
Louis-Joseph de Vendôme,路易·约瑟夫·德·旺多姆
Joseph Bertrand,約瑟·伯特蘭
Alphonse Daudet,阿尔封斯·都德
Jean Casimir-Perier,让·卡西米尔-佩里埃
Jean de La Fontaine,让·德·拉封丹
François Couperin,弗朗索瓦·库普兰
Diane de Poitiers,迪亚娜·德·普瓦捷
Georges-Louis Leclerc de Buffon,乔治-路易·勒克莱尔·德·布丰
André Malraux,安德烈·馬爾羅
Alain Moineau,阿兰·穆瓦诺
Marion Clignet,玛丽昂·克利涅
César Franck,塞萨尔·弗兰克
Ambroise Paré,安布鲁瓦兹·帕雷
Pierre Charles Silvestre de Villeneuve,皮埃尔-夏尔·维尔纳夫
Pierre Schaeffer,皮埃爾·舍費爾
Pascal Lamy,帕斯卡尔·拉米
Georges Boulanger,喬治·布朗熱
Anouk Aimée,阿努克·艾梅
Paul Éluard,保尔·艾吕雅
Jean Buridan,让·布里丹
Adèle de Champagne,香檳的阿黛勒
Isabelle d'Aragon (1247-1271),亞拉岡的伊莎貝爾·(1247年)
Carlos Gardel,卡洛斯·葛戴爾
Pascal Chimbonda,帕斯卡尔·希姆邦达
Paul Masson (cyclisme),保羅·馬松
Paul Mauriat (musicien),保罗·莫里哀
Éric Rohmer,伊力·盧馬
Georges Méliès,乔治·梅里爱
Íngrid Betancourt,英格丽德·贝当古
Vanessa Paradis,凡妮莎·帕拉迪丝
Marie de Guise (1515-1560),玛丽·德·吉斯
Hortense de Beauharnais,奧坦絲·德·博阿爾內
Nathalie Dechy,纳塔莉·德希
Robert Capa,罗伯特·卡帕
Marie-Thérèse d'Autriche (1638-1683),西班牙的玛丽-泰蕾莎
Agnès Varda,阿涅斯·瓦尔达
Isabelle de France (1389-1409),瓦盧瓦的伊莎貝拉
Louis Vuitton (1821-1892),路易·威登
Philibert Tsiranana,菲利贝尔·齐拉纳纳
Marcel Dupré,马塞尔·迪普雷
Marcellin Marbot,馬塞蘭·馬爾博
Danielle Rousseau,達妮艾爾·盧梭
Roman Polanski,羅曼·波蘭斯基
Adolphe Marbot,阿道夫·馬爾博
Jacques Tati,賈克·大地
Florent Serra,弗洛朗·塞拉
Didier Ratsiraka,迪迪埃·拉齊拉卡
Charles XIV Jean,卡尔十四世·约翰
Vittorio De Sica,維多里奧·狄西嘉
Clémence de Hongrie,匈牙利的克莱门西娅
Leslie Caron,莱斯莉·卡伦
Ève Curie,艾芙·居里
Oscar Ier,奥斯卡一世
Jean Dausset,让·多塞
Caroline Bonaparte,卡罗琳·波拿巴
Kiki de Montparnasse,蒙巴纳斯的吉吉
Pauline Bonaparte,波利娜·波拿巴
Tony Estanguet,托尼·埃斯唐盖
Madame de Montespan,蒙特斯庞侯爵夫人
Jean-Baptiste Debret,讓-巴蒂斯特·德布雷
Jean-Pierre Doumerc,让-皮埃尔·杜梅克
Moïse Kisling,莫伊斯·基斯林
Josselin Ier d'Édesse,乔治林一世·(埃德萨)
Charles de Foucauld,夏爾·德·富高
Jules Breton,朱尔·布勒东
Paul Lafargue,保尔·拉法格
Iannis Xenakis,伊阿尼斯·泽纳基斯
Marcel Carné,马塞尔·卡尔内
Madame du Barry,杜巴利伯爵夫人
Madame de Maintenon,曼特農夫人
Isabelle Caro,伊莎貝爾·卡洛
Lili Boulanger,莉莉·布朗热
Jean-Luc Godard,尚盧·高達
Bertrand Clauzel,贝特朗·克洛泽尔
Joseph Laurent,約瑟夫·讓·皮埃爾·洛朗
François Truffaut,法蘭索瓦·杜魯福
Micheline Bernardini,米歇莲·贝尔纳迪尼
Georges Charpak,乔治·夏帕克
Auguste Verneuil,奧古斯德·維多·路易·伐諾伊
Pierre Louis Dulong,皮埃尔·路易·杜隆
Jean-Claude Trichet,让-克洛德·特里谢
Constantin Brâncuși,康斯坦丁·布朗庫西
Alexandra David-Néel,亞歷山德拉·大衛·尼爾
Emmanuel Levinas,伊曼紐爾·列維納斯
Valérie Trierweiler,瓦莱丽·特里尔韦勒
Irène Jacob,伊蓮·雅各
Louis de Bonald,路易·德·博纳尔德
Louis-Gabriel Suchet,路易·加布里埃尔·絮歇
Damien Plessis,戴文·柏西斯
Sylvain Distin,西爾萬·迪斯坦
Henri-Georges Clouzot,亨利-乔治·克鲁佐
René Clair,雷内·克萊爾
Andreï Kontchalovski,安德烈·康查洛夫斯基
Louis Joseph Gay-Lussac,约瑟夫·路易·盖-吕萨克
Adriana Karembeu,阿德里安娜·卡朗伯
Louis Renault (juriste),路易·雷诺·(法理学家)
Hector Guimard,艾克特·吉瑪
André Jolivet,安德烈·若利韦
Rafik Djebbour,拉菲克·積波亞
René Just Haüy,勒内·朱斯特·阿维
Albert Fert,阿尔贝·费尔
Édith Cresson,埃迪特·克勒松
Louise-Élisabeth de France,路易丝-伊丽莎白·德·法蘭西
Jean Le Rond d'Alembert,让·勒朗·达朗贝尔
Jules Bianchi,儒勒·比安奇
Louis François de Boufflers,路易·弗朗索瓦·德·布夫莱
Marguerite Duras,玛格丽特·杜拉斯
Anne-Marie d'Orléans,安妮-瑪麗·德·奧爾良
