Tratado de Lisboa,리스본 조약
Igreja de São Francisco,상 프란시스쿠 교회
Ponte de D. Maria Pia,마리아 피아 다리
Portalegre,포르탈레그르
Vulcão dos Capelinhos,카펠리뉴스 화산
Leixões Sport Club,레이숑이스 SC
Câmara de Lobos,카마라드로부스
Setúbal,세투발
Estremoz,이스트레모스
Paços de Ferreira,파수스드페헤이라
Estação Ferroviária de Coimbra,코임브라역
Casa Pia Atlético Clube,카사 피아 AC
Mosteiro da Batalha,바탈랴 수도원
Mora,모라
Taça da Liga,타사 드 리가
Partido Ecologista Os Verdes,포르투갈 생태당
Portugueses,포르투갈인
Évora,에보라
gastronomia de Portugal,포르투갈 요리
Implantação da República Portuguesa,1910년 10월 5일 혁명
Aeroporto da Madeira,마데이라 공항
Pombal,폼발
salpicão,살피캉
Hispânia,히스파니아
Portugal na Primeira Guerra Mundial,제1차 세계 대전과 포르투갈
Estádio Cidade de Coimbra,이스타디우 시다드 드 코임브라
Sertanense Futebol Clube,세르타넨세 FC
Castelo de São Jorge,상조르즈성
Estádio do Bessa Século XXI,이스타디우 두 베사 XXI
Primeira Liga,프리메이라리가
Amadora,아마도라
vinho verde,비뉴 베르데
Fátima,파티마
Estoril,이스토릴
Penafiel,페나피엘
Alfama,알파마
desaparecimento de Madeleine McCann,매들린 매캔 실종 사건
Super Bock,슈퍼복
ovos moles de Aveiro,오부스 몰르스
Gondomar,곤도마르
Alcobaça,알코바사
Sismo de Lisboa de 1755,1755년 리스본 지진
Vinho do Porto,포르투 포도주
Sintra,신트라
Revolução dos Cravos,카네이션 혁명
Merino,메리노
Algarve Cup,알가르브컵
Estádio Algarve,이스타디우 알가르브
Alcanena,알카네나
Estádio Dr. Magalhães Pessoa,이스타디우 Dr. 마갈량이스 페소아
Estádio D. Afonso Henriques,이스타디우 동 아폰수 엔히크스
Mafra,마프라
CDS - Partido Popular,인민당
Sertã,세르탕
Ilha do Faial,파이알섬
Alenquer,알렝케르
Tábua,타부아
Trofa,트로파
Palácio Nacional de Queluz,켈루스궁
lista de reis de Portugal,포르투갈의 군주
Dia de Portugal,포르투갈의 날
Vila Nova de Gaia,빌라노바드가이아
Maia,마이아
Rádio e Televisão de Portugal,포르투갈의 라디오와 텔레비전
Alto Douro Vinhateiro,알투 도루 와인 산지
Horta,오르타
Aeroporto Internacional de Faro,파루 공항
Universidade de Lisboa,리스본 대학교
Lagoa,라고아
Lourinhã,로리냥
Hino dos Açores,아소르스 제도의 국가
Angra do Heroísmo,앙그라두에로이즈무
Redondo,헤돈두
Santa Cruz,산타크루스
Supertaça Cândido de Oliveira,수페르타사 칸디두 드 올리베이라
Machico,마시쿠
economia de Portugal,포르투갈의 경제
Coruche,코루시
Nelas,넬라스
Sport Clube Beira-Mar,SC 베이라마르
Clube Desportivo Feirense,CD 페이렌스
Ponte 25 de Abril,4월 25일 다리
Furnas,푸르나스 화산
Praça do Comércio,코메르시우 광장
Padrão dos Descobrimentos,발견기념비
Seleção da Madeira de Futebol,마데이라 제도 축구 국가대표팀
Paralelo 39 N,북위 39도
Ilha da Culatra,쿨라트라섬
dialecto árabe andalusino,안달루시아 구어체 아랍어
Madalena,마달레나
Vinhos portugueses,포르투갈 포도주
Torre Vasco da Gama,바스쿠 다 가마 타워
Nossa Senhora de Fátima,파티마의 성모
Convento de Cristo,그리스도 수도원
Exposição Mundial de 1998,1998년 세계 박람회
Linha do Norte,노르트선
Tratado de Saragoça,사라고사 조약
Serra da Estrela,이스트렐라산맥
Mourão,모랑
Vila do Porto,빌라두포르투
Alandroal,알란드로알
brasão de armas de Portugal,포르투갈의 국장
lista de partidos políticos em Portugal,포르투갈의 정당
Póvoa de Varzim,포보아드바르징
Assembleia da República,공화국 의회
Palácio Nacional de Belém,벨렝궁
Primeiro-Ministro de Portugal,포르투갈의 총리
Clube Desportivo Santa Clara,CD 산타클라라
Olhão,올량
Vila do Corvo,빌라두코르부
Sesimbra,세짐브라
União Desportiva de Leiria,UD 레이리아
Museu Nacional de Arte Antiga,국립 고대 미술관
Lisboa,리스보아현
Império Português,포르투갈 제국
Silves,실베스
Lagos,라구스
Aveiro,아베이루현
Vitória Futebol Clube,비토리아 FC
Ilha de São Miguel,상미겔섬
TAP Air Portugal,TAP 포르투갈
Estremadura,이스트레마두라주
Torre de Belém,벨렝탑
Igreja de São Vicente de Fora,상비센트드포라 수도원
Beja,베자
Teatro Nacional de São Carlos,상카를루스 국립극장
Sporting Clube Farense,SC 파렌스
Metropolitano de Lisboa,리스본 지하철
Ilha de São Jorge,상조르즈섬
estrada europeia 1,유럽 고속도로 01호선
Leiria,레이리아
Ponta Delgada,폰타델가다
Viana do Castelo,비아나두카스텔루
Santa Cruz das Flores,산타크루스다스플로르스
Ilha do Pico,피쿠섬
falcoaria,매사냥
Clube Futebol União,CF 우니앙
Ilha Terceira,테르세이라섬
Magellan–Elcano expedition,마젤란-엘카노 주항
lusofonia,포르투갈어권
Campeonato Nacional de Futebol Feminino,캄페오나투 나시오날 드 푸테볼 페미니누
Portugal nos Jogos Olímpicos,올림픽 포르투갈 선수단
Santana,산타나
Club Sport Marítimo,CS 마리티무
Barcelos,바르셀루스
Paralelo 37 N,북위 37도
Deolinda,데올린다
Barreiro,바헤이루
Paralelo 33 N,북위 33도
Paralelo 40 N,북위 40도
Oleiros,올레이루스
Boavista Futebol Clube,보아비스타 FC
Santa Cruz da Graciosa,산타크루스다그라시오자
Velas,벨라스
Portalegre,포르탈레그르현
Estação Roma,호마역
Valpaços,발파수스
Bragança,브라간사
Batalha do Douro (1809),제2차 포르투 전투
Ponte Vasco da Gama,바스쿠 다 가마 다리
Clube Desportivo Nacional,CD 나시오날
Guarda,구아르다
doula,둘라
Vila Real de Santo António,빌라헤알드산투안토니우
Prémio Camões,카몽이스 상
Porto Moniz,포르투모니스
Alfa Pendular,알파 펜둘라르
Partido Comunista Português,포르투갈 공산당
Caldo verde,칼두 베르드
Clube de Futebol Os Belenenses,CF 벨레넨스스
Ilha das Flores,플로르스섬
Santa Maria,산타마리아섬
Supercopa Europeia de 2011,2011년 UEFA 슈퍼컵
Associação Académica de Coimbra – O.A.F.,아카데미카 드 코임브라
Leiria,레이리아현
Elvas,엘바스
Segredo de Fátima,파티마
Coimbra,코임브라현
Vitória Sport Clube,비토리아 SC
Nisa,니자
Segunda Liga,세군다리가
Calheta,칼례타
Santarém,산타렝현
SATA Air Açores,SATA 에어 아소르스
Faro,파루현
Biblioteca Nacional de Portugal,포르투갈 국립도서관
A1,A1 고속도로 (포르투갈)
Ordem de Santiago,산티아고 기사단
Atlético Clube de Portugal,아틀레티코 클루베 데 포르투갈
Calheta,칼례타
Lajes do Pico,라즈스두피쿠
Avis,아비스
Águeda,아게다
Igreja Católica em Portugal,포르투갈의 로마 가톨릭교회
Paralelo 42 N,북위 42도
Ponte de D. Luís,동 루이스 다리
São Roque do Pico,상호크두피쿠
Setúbal,세투발현
Paralelo 41 N,북위 41도
Évora,에보라현
Viseu,비제우현
Palácio dos Estaus,에스타우스궁
Jogos da Lusofonia,루소포니아 경기 대회
Ribeira Brava,히베이라브라바
Castelo Branco,카스텔루브랑쿠현
Cascais,카스카이스
Tondela,톤델라
Seleção Portuguesa de Futebol,포르투갈 축구 국가대표팀
Air Luxor,하이플라이
Estação Intendente,인텐젠치
Lajes das Flores,라즈스다스플로르스
Guarda,구아르다현
Santarém,산타렝
Fórum de Governança da Internet,인터넷 거버넌스 포럼
Estádio do Dragão,이스타디우 두 드라강
Mosteiro dos Jerónimos,제로니무스 수도원
Estação Ferroviária de Coimbra-B,코임브라 B역
Estação Ferroviária de Alcântara-Mar,알칸타라 말 역
Moreirense Futebol Clube,모레이렌스 FC
Fantasporto,판타스포르투
Estádio Nacional do Jamor,이스타디우 나시오날
Óbidos,오비두스
Beja,베자현
Viana do Castelo,비아나두카스텔루현
Ílhavo,일랴부
Estádio José Alvalade,이스타디우 조제 알발라드
Marinha Grande,마리냐그란드
Presidente da República Portuguesa,포르투갈의 대통령
Gare do Oriente,오리엔트역
Estação Ferroviária de Porto-Campanhã,캄파냥역
Banco Nacional Ultramarino,대서양은행
Porto,포르투현
São Vicente,상비센트
província ultramarina de Portugal,포르투갈의 해외주
Futebol Clube de Arouca,FC 아로카
Estado Novo,이스타두 노부
Luso-tropicalismo,루소트로피칼리즘
estrada europeia 82,유럽 고속도로 82호선
Federação Portuguesa de Futebol,포르투갈 축구 협회
Sporting Clube da Covilhã,SC 코빌량
Futebol Clube Famalicão,FC 파말리캉
Montijo,몬티주
boneco gigante,행렬의 거인
Futebol Clube Penafiel,FC 페나피엘
Futebol Clube de Vizela,FC 비젤라
Clube de Futebol Estrela da Amadora,CF 에스트렐라 다 아마도라
Braga,브라가현
Estado Português da Índia,포르투갈령 인도
Paço da Ribeira,리베이라궁
Almada,알마다
Universidade de Coimbra,코임브라 대학교
Abrantes,아브란트스
Futebol Clube Paços de Ferreira,FC 파수스드페헤이라
lista de destinos TAP Portugal,TAP 포르투갈의 운항 노선
Santa Maria de Belém,산타마리아드벨렝
Castelo Branco,카스텔루브랑쿠
Tavira,타비라
Sines,시네스
Albufeira,알부페이라
estrada europeia 90,유럽 고속도로 90호선
subdivisão administrativa de Portugal,포르투갈의 행정 구역
Ilha do Bugio,부지오섬
Campeonato Europeu de Futebol Sub-21 de 2006,2006년 UEFA U-21 축구 선수권 대회
Clube Desportivo de Tondela,CD 톤델라
Anadia,아나디아
Miranda do Douro,미란다두도루
Bragança,브라간사현
Banco de Portugal,포르투갈 은행
Vila Real,빌라헤알현
demografia de Portugal,포르투갈의 인구
Estação Ferroviária do Cais do Sodré,카이스두소드레역
Final da Liga Europa da UEFA de 2013–14,2014 UEFA 유로파리그 결승전
Organização dos Estados Ibero-americanos,이베로아메리카 국가 기구
Aeroporto de Lisboa Humberto Delgado,리스본 포르텔라 공항
Venezuelanos,베네수엘라인
Cantanhede,칸타녜드
Arganil,아르가닐
Novo Cinema,노부 시네마
Académico Viseu Futebol Club,아카데미코 드 비제우 FC
Euronext Lisboa,유로넥스트 리스본
Clube Desportivo Pinhalnovense,CD 핀할노벤세
SIC,SIC
Figueira da Foz,피게이라다포스
Paisagem da Cultura da Vinha da Ilha do Pico,피쿠섬의 포도밭 문화 경관
Sé de Lisboa,리스본 대성당
Clube Operário Desportivo,CD 오페라
escudo português,포르투갈 이스쿠두
Estação Ferroviária do Rossio,호시우역
Corpo de Fuzileiros,포르투갈 해병대
Batalha de Lagos,라구스 해전
Aveiro,아베이루
Paralelo 38 N,북위 38도선
distrito de Portugal,포르투갈의 현
Mister Mundo 2007,미스터 월드 2007
Real Sport Clube,레알 SC
TVI,TVI
Motim 1-2-3,12.3 사건
Farol de Aveiro,프라이아다바라 등대
Final da Liga dos Campeões da UEFA de 2003-04,2004 UEFA 챔피언스리그 결승전
Portugal no Festival Eurovisão da Canção,포르투갈의 유로비전 송 콘테스트 참가
Vila Real,빌라헤알
Chaves,샤베스
Valença,발렌사
Nazaré,나자레
Copa do Mundo FIFA de Futebol de Areia de 2015,2015년 FIFA 비치사커 월드컵
Copa Europeia/Sul-Americana de 1987,1987년 인터콘티넨털컵
Final do Campeonato Europeu de Futebol de 2004,UEFA 유로 2004 결승전
Voo Martinair 495,마틴에어 495편
Vasconcelos,바스콘셀루스
Mr. World 2000,미스터 월드 2000
Eclipse solar de 12 de agosto de 2026,2026년 8월 12일 일식
Pessoas–Animais–Natureza,사람-동물-자연
Mr. World 1996,미스터 월드 1996
Mr. World 1998,미스터 월드 1998
Mr. World 2003,미스터 월드 2003
Comité Olímpico de Portugal,포르투갈 올림픽 위원회
Constituição portuguesa de 1976,포르투갈 헌법
Missões diplomáticas de Portugal,포르투갈의 재외공관 목록
Final da Liga dos Campeões da UEFA de 2013–14,2014 UEFA 챔피언스리그 결승전
Santo António,산투안토니우 (푼샬)
lista do Património Mundial em Portugal,포르투갈의 세계유산
Campeonato Português de Futebol – III Divisão,테르세이라 디비장
Batalha das Flores (1591),플로레스 전투
Clube de Futebol Andorinha de Santo António,CF 안도리냐
Sport Clube de Mirandela,SC 미란델라
Sporting Clube de Portugal B,스포르팅 CP B
Três F,3F 정책
Orbest,오르베스트 항공
fronteira Espanha–Portugal,스페인-포르투갈 국경
Clube de Futebol «Os Armacenenses»,CF 오스 아르마세넨세스
Castelo de Belver,벨베르성
Anadia Futebol Clube,아나디아 FC
arquipélago da Madeira,마데이라 군도
Estádio da Luz,이스타디우 다 루스
Colégio Militar,포르투갈 육군군사참모대학교
Cimeiras Ibéricas,이베리아 정상회담
Museu Nacional Ferroviário,포르투갈 국립 철도박물관
Queijo de Azeitão,아제이탕 치즈
estrada europeia 801,유럽 고속도로 801호선
ZEM,ZEM
eleições autárquicas portuguesas de 2013,2013년 포르투갈 지방 선거
Copa Europeia/Sul-Americana de 2004,2004년 인터콘티넨털컵
Casa do Sport Lisboa e Benfica em Macau,SL 벤피카 드 마카오
Azores Airlines,SATA 인테르나시오날
Academia Militar,포르투갈 육군사관학교
Faculdade de Letras da Universidade do Porto,포르투 대학교 예술 및 인문학부
Missão da Rodésia em Lisboa,주 포르투갈 로디지아 대표부
Feriados em Portugal,포르투갈의 공휴일
Manual dos Inquisidores,대심문관의 비망록
Igreja de Santa Catarina,성 캐서린 교회
Partido da Solidariedade Nacional,포르투갈 국가연대국민회의연합당
Instituto dos Pupilos do Exército,포르투갈 육군군사방위직업학교
bacalhau,바칼랴우
Espinho,이스피뉴
Copa do Mundo FIFA de 2030,2030년 FIFA 월드컵
Capelinha das Aparições,성모마리아 발현 대성당
Universidade de Lisboa,리스본 대학교
Primeira Liga de 2014–15,프리메이라리가 2014-15
Vitória de Guimarães B,비토리아 SC B
Rivalidade Cristiano Ronaldo–Messi,메호대전
Serradura,세하두라
Presunto do Alentejo,알렌테주 햄
Surto de Legionella em Portugal de 2014,2014년 포르투갈 레지오넬라 유행
Relações entre Coreia do Sul e Portugal,대한민국-포르투갈 관계
Lista de goles de Cristiano Ronaldo pela Seleção Portuguesa de Futebol,크리스티아누 호날두가 득점한 국제 골 목록
Portugal nos Jogos Olímpicos de Inverno de 2018,2018년 동계 올림픽 포르투갈 선수단
Mr. World 2016,미스터 월드 2016
Incêndio florestal de Pedrógão Grande de 2017,2017년 포르투갈 산불
Mr. World 2018,미스터 월드 2019
Embaixada da Arábia Saudita em Portugal,주 포르투갈 사우디아라비아 대사관
Embaixada dos Estados Unidos em Portugal,주 포르투갈 미국 대사관
Sudoeste Europeu,남서유럽
Final da Liga dos Campeões da UEFA de 2019–20,2020 UEFA 챔피언스리그 결승전
Extinction Rebellion,멸종에의 반란
Fase final da Liga das Nações da UEFA de 2018–19,2019년 UEFA 네이션스리그 결선 토너먼트
Final da Liga dos Campeões da UEFA de 2020–21,2021 UEFA 챔피언스리그 결승전
Anta da Herdade do Zambujal,잠부잘의 안타 다 에르다드
eleições legislativas portuguesas de 2022,2022년 포르투갈 총선
pandemia de COVID-19 na Europa,유럽의 코로나바이러스감염증-19 유행
pandemia de COVID-19,코로나바이러스감염증-19 유행
Portugal no Festival Eurovisão da Canção 2020,유로비전 송 콘테스트 2020에서의 포르투갈
Sondagens das eleições legislativas portuguesas de 2022,포르투갈의 차기 총선 여론조사
Primeira Liga de 2020–21,프리메이라리가 2020-21
pandemia de COVID-19 em Portugal,포르투갈의 코로나바이러스감염증-19 유행
Última Ceia,최후의 만찬
embaixada da China em Portugal,주포르투갈 중국 대사관
embaixada da Coreia do Sul em Portugal,주포르투갈 대한민국 대사관
Portugal no Festival da Eurovisão da Canção de 2021,유로비전 송 콘테스트 2021에서의 포르투갈
Portugal no Festival da Eurovisão da Canção de 2022,유로비전 송 콘테스트 2022에서의 포르투갈
Terceira Liga,테르세이라리가
Primeira Liga de 2021–22,프리메이라리가 2021-22
OpenData BNP,오픈데이터 BNP
Primeira Liga de 2022–23,프리메이라리가 2022-23
surto de varíola dos macacos em 2022,2022년 원숭이두창 유행
Instituto Pernambuco - Porto Brasil,페르남부쿠 연구소 - 포르투 브라질
