Joachim Heinrich Wilhelm Wagener,勒夫海因里希·威廉·瓦格納
Joseph Höffner,若瑟·赫夫內爾
Joachim Meisner,若亞敬·邁斯內爾
Kurt Georg Kiesinger,库尔特·乔治·基辛格
Ulrike Nasse-Meyfarth,乌尔丽克·迈法特
Emre Can,埃姆雷·詹
James Krüss,詹姆斯·克吕斯
Carl Orff,卡尔·奥尔夫
Reinhold Schünzel,莱茵霍尔德·叔泽尔
Ernst Hartwig,恩斯特·哈特维希
Harald Lesch,哈拉尔德·莱施
Julius Döpfner,儒略·德普夫內爾
Harald G. Petersson,哈拉尔德·G·彼得森
Gerhard Ludwig Müller,格哈德·路德维希·缪勒
Marc Forster,馬克·福斯特
Momme Andresen,Momme Andresen
Richard David Precht,理查德·大卫·普雷希特
Franz Xaver Kroetz,弗朗兹·萨维尔·克罗兹
Karl Valentin,卡爾‧瓦倫丁
Konrad Adenauer,康拉德·阿登纳
Alexander Koch,亚历山大·科赫
Robert Felisiak,罗伯特·费利西亚克
Elmar Borrmann,埃尔马·博尔曼
Hans Schmidt,汉斯·施密特
Karl Albrecht,卡尔·阿尔布雷希特
Eike Batista,埃克·巴蒂斯塔
Trixi Worrack,特丽西·沃拉克
Maximilian Arland,马克西·阿兰
Norbert Gastell,诺伯特·加斯特尔
Walter Kasper,瓦爾特·卡斯珀
Arnd Schmitt,阿恩德·施米特
Werner Herzog,韋納·荷索
Gerhard Schröder,格哈特·施羅德
Christian Ude,克里斯蒂安·乌德
Ludwig Erhard,路德维希·艾哈德
Christoph Schlingensief,克里斯多福·史林根西夫
Michael Mittermeier,迈克尔·米特米尔
Nicolas König,尼古拉斯·科尼格
Markus Wasmeier,马库斯·瓦斯迈尔
Helmut Schmidt,赫尔穆特·施密特
Herbert Achternbusch,H. 阿赫特恩布施
Ludwig Ingwer Nommensen,路德維希·英格威爾·諾門森
Thorsten Weidner,托尔斯滕·魏德纳
Ingo Weißenborn,英戈·魏森博恩
Aleksandra Bechtel,亚历山德拉·贝克特尔
Ulrich Schreck,乌尔里希·施雷克
Max Klinger,马克斯·克林格尔
Christian Wulff,克里斯蒂安·武尔夫
Sepp Maier,塞普·迈耶
Rudolf Mößbauer,鲁道夫·穆斯堡尔
Hans Wilsdorf,漢斯·威爾司多夫
Günther Kaufmann,京特·考夫曼
Günter Netzer,君特·内策尔
Richard von Weizsäcker,里夏德·馮·魏茨澤克
Ferdinand Tönnies,斐迪南·滕尼斯
Zedd,捷德
Manfred Müller,曼弗雷德·穆勒
Michael von Faulhaber,彌額爾·馮·法烏爾哈貝爾
Albrecht von Bayern,阿尔布雷希特
Rainer Maria Woelki,萊內·瑪利亞·沃爾基
Karl Obermayr,卡尔·奥伯迈耶
Reinhard Marx,赖因哈德·马克思
Michael Herbig,米夏埃尔·赫尔比希
Joachim Gauck,约阿希姆·高克
Georg von Hauberrisser,格奥尔格·冯·豪贝里泽
Roman Herzog,罗曼·赫尔佐克
Frank Zander,弗兰克·赞德尔
Roberto Blanco,罗伯托·布兰科
Nina Bott,妮娜·波特
Franz Xaver Schwarz,弗朗茨·克薩佛·舒瓦茲
Herbert Klein,赫伯特·克莱因
Tom Wlaschiha,湯·華斯芝夏
Hans Clarin,汉斯·克拉林
Horst Köhler,霍斯特·克勒
Roy Black,罗伊·布莱克
Axel Fischer,艾克索·費雪
Daniela Katzenberger,丹妮拉·卡森贝格
Fritz Walter,弗里茨·瓦尔特
Silvio Gesell,西爾維奧·格塞爾
Uli Hoeneß,乌利·赫内斯
Florian Silbereisen,弗洛里安·西尔伯艾森
Gustav Heinemann,古斯塔夫·海涅曼
Helmut Kohl,赫尔穆特·科尔
Reinhard Bütikofer,萊因哈德·比蒂科夫
Dirk Nowitzki,德克·诺维茨基
Erich Honecker,埃里希·昂纳克
Konstantin Wecker,康斯坦丁·韦克
Bastian Schweinsteiger,巴斯蒂安·施魏因斯泰格
Marteria,马特里亚
Edmund Stoiber,埃德蒙德·斯托伊贝
Udo Wagner,乌多·瓦格纳
Rafid Ahmed Alwan,曲球
Rudi Lochner,鲁道夫·洛赫纳
Paul Breitner,保罗·布莱特纳
Hermann Haken,赫曼·哈肯
Lothar Matthäus,洛塔尔·马特乌斯
Ludwig III. von Bayern,路德维希三世
Konrad Zdarsa,龔拉·斯达尔萨
Rudolph Moshammer,鲁道夫·莫斯哈默
Alfons Schuhbeck,阿尔方斯·舒贝克
Ludwig Schick,路德维希·希克
Karl Carstens,卡尔·卡斯滕斯
Walter Scheel,瓦尔特·谢尔
Johannes Rau,約翰內斯·勞
Dieter Hildebrandt,迪特·希尔德布兰
Rudi Völler,鲁迪·沃勒尔
Konrad Bloch,康拉德·布洛赫
Ottmar Hitzfeld,奥特马·希斯菲尔德
Stefan Bötticher,斯特凡·伯蒂歇尔
Markus Steuerwald,馬庫斯·斯圖瓦特
Oskar Maria Graf,奥斯卡·玛丽亚·格拉夫
Walter Jens,瓦尔特·延斯
Bernd Schuster,伯恩德·舒斯特尔
Uwe Seeler,乌维·席勒
Theodor Heuss,特奥多尔·豪斯
Birol Ünel,波热尔·尤内尔
Jochen Rindt,约亨·林特
Tim Bendzko,蒂姆·本德斯科
Marcel Reich-Ranicki,馬塞爾·萊希·拉尼奇
Beppo Brem,贝波·布雷姆
Joseph Hannesschläger,约瑟夫·汉纳斯蝙蝠
Feodor Lynen,费奥多尔·吕嫩
Egon Krenz,埃贡·克伦茨
Manfred Gerlach,曼弗雷德·格拉赫
Jo Baier,乔·拜尔
Oliver Riedel,奥利弗·里德尔
Horst Seehofer,霍斯特·泽霍费尔
Ernst Otto Fischer,恩斯特·奥托·菲舍尔
Björn Lindemann,比约恩·林德曼
Frank Ordenewitz,弗蘭克·奧爾德內維茨
Filip Adamski,菲利普·亚当斯基
Ursel Brunner,烏塞爾·布魯納
Paul von Hindenburg,保罗·冯·兴登堡
Oliver Kirch,奧利弗·基爾希
Wilfried Dietrich,维尔弗里德·迪特里希
Heinrich Lübke,海因里希·吕布克
Walter Meyer,瓦尔特·迈尔
Heribert Faßbender,赫里伯特·法斯宾德
Hans Magnus Enzensberger,漢斯·馬格努斯·恩岑斯貝格爾
Joseph Frings,約瑟夫·弗林斯
Stefan Effenberg,斯特凡·埃芬伯格
Georg Hackl,格奥尔格·哈克尔
Otto Schultze,奥托·舒尔策
Erich Maria Remarque,埃里希·玛利亚·雷马克
Anja Fichtel,安雅·菲希特尔
Frank-Markus Barwasser,弗兰克 - 马克思·巴瓦赛尔
Koray Günter,科萊·根特
Christian Stückl,克里斯蒂安·斯提克尔
Robert Zollitsch,羅勃·措利奇
Hermann Hesse,赫尔曼·黑塞
Walter Eucken,瓦尔特·欧肯
Sidney Sam,辛德尼·山姆
Wolfgang Kosack,沃爾夫岡·科薩克
Monika Weber,莫妮卡·韦伯
Rita König,丽塔·柯尼希
Sandra Bullock,珊卓·布拉克
Tim Hoogland,蒂姆·霍格蘭
Wolfgang Overath,沃尔夫冈·奥弗拉特
Paul Kalkbrenner,保罗·卡尔布雷纳
Friedrich Ebert,弗里德里希·艾伯特
Lothar Collatz,洛薩·考拉兹
Herta Müller,赫塔·米勒
Ludwig Mies van der Rohe,路德維希·密斯·凡德羅
Mario Gómez,马里奥·戈麦斯
Günther Beckstein,京特·贝克施泰因
Joachim Löw,约阿希姆·勒夫
Erik Zabel,埃里克·察贝尔
Andreas Ottl,安德列亚斯·奥特尔
Alfred Meyer,阿尔弗雷德·迈耶
Jonas Reckermann,约纳斯·雷克曼
Julius Brink,尤利乌斯·布林克
Anne-Sophie Mutter,安娜-苏菲·穆特
Sebastian Vettel,賽巴斯蒂安·維泰爾
Franz Josef Strauß,弗朗茨·約瑟夫·施特勞斯
Hamed Abdel-Samad,哈米德·阿卜杜勒‑沙马德
Harald Schmid,哈拉尔德·施密德
Elisabeth Charlotte von der Pfalz,伊麗莎白.夏洛特
Ernst Mayr,恩斯特·瓦尔特·迈尔
Nico,Nico
Uwe Rahn,乌维·拉恩
Bernard Katz,伯纳德·卡茨
Alfred Schwarzmann,阿尔弗雷德·施瓦茨曼
Pierre Littbarski,皮埃尔·利特巴尔斯基
Adolf Butenandt,阿道夫·布特南特
Otfried Preußler,奧飛·普思樂
Franciszek Smuda,弗兰西斯泽克·斯姆达
Franz Beckenbauer,弗朗茨·贝肯鲍尔
Eugen Polanski,尤根·波兰斯基
Albrecht III.,阿爾布雷希特三世
Raphael Schäfer,拉斐爾·舍費爾
Heinrich Rubens,海因里希·鲁本斯
Ronald Pofalla,罗纳德·波法拉
Oliver Lampe,奥利弗·兰珀
Heinrich Böll,海因里希·伯尔
Laura Ludwig,劳拉·路德维希
Ernst von Bayern,歐内斯特
Fritz Kalkbrenner,弗里茨·卡尔克布伦纳
Julia Franck,尤莉婭·弗蘭克
Philippine Charlotte von Preußen,普魯士的菲律賓·夏洛特
Hermann Staudinger,赫尔曼·施陶丁格
Thomas Müller,托马斯·穆勒
Jürgen Vogel,于尔根·福格尔
Hans von Kulmbach,汉斯·冯·庫姆巴赫
Gisela von Schwaben,士瓦本的吉塞拉
Rosa Luxemburg,羅莎·盧森堡
Sophie Dorothea Marie von Preußen,索菲·多蘿西亞
Walter Frentz,瓦尔特·弗伦茨
Adil Chihi,阿迪勒·希希
Gertrud von Sachsen,敘普林根堡的格特魯德
Irmgard Möller,伊尔加德·莫勒
DJ Hell,DJ地狱
Linda Stahl,琳达·施塔尔
Werner Haase,维尔纳·哈泽
Ulrich von Wilamowitz-Moellendorff,乌尔里希·冯·维拉莫维茨-默伦多夫
Günter Grass,君特·格拉斯
Gerd Müller,盖德·穆勒
Wolfgang Völz,沃尔夫冈·福尔茨
Martin Schmitt,马丁·施米特
Loriot,維克·馮·布洛
Daniel Rosin,丹尼·罗辛
Stefan Raab,史蒂芬・拉博
Joachim I.,約阿希姆一世
Bernd Förster,贝恩德·福斯特
Timo Gebhart,蒂莫·格布哈特
Abraham Gotthelf Kästner,亞伯拉罕·哥特黑爾弗·凱斯特納
Christina Obergföll,克里斯蒂娜·奥贝格弗尔
Heino,海诺
Katrin Göring-Eckardt,卡特琳·戈林-埃克哈特
Theo Waigel,特奥·魏格尔
Betty Heidler,贝蒂·海德勒
Michael Glos,米夏埃尔·格洛斯
Hansi Müller,汉西·穆勒
Philipp Lahm,菲利普·拉姆
Hans-Josef Kapellmann,尤普·卡佩尔曼
Alfred Eisenstaedt,阿尔弗雷德·艾森士塔特
Karl Hein,卡尔·海因
Meinhard III.,迈恩哈德三世
Reiner Knizia,倪睿南
Rudolf Nebel,鲁道夫·内贝尔
Peter Frenkel,彼得·弗伦克尔
Peer Steinbrück,佩尔·施泰因布吕克
Franz Schlegelberger,弗朗茨·施里戈伯格
Änis Ben-Hatira,阿尼斯·本-哈提拉
Karl Decker,卡爾·德克爾
Agnes Pockels,阿格尼丝·波克尔斯
Otto Frank,奥托·弗兰克
Lena Meyer-Landrut,萊娜·邁爾-蘭德魯特
Edith Frank-Holländer,埃迪特·弗兰克
Carl Gustav Hempel,卡尔·亨普尔
Carl von Linde,卡爾·馮·林德
Albert Schweitzer,阿尔贝特·施韦泽
Wu Jiaduo,吴佳多
Karl Genzken,卡爾·甘茨肯
Marius von Mayenburg,马里乌斯·冯·梅焰堡
Ernst Steinitz,Ernst Steinitz
Georg,不倫瑞克-呂訥堡公爵格奧爾格
Wilhelm Barthlott,威廉·巴斯洛特
Valerius Cordus,瓦列里烏斯·科達斯
Gerhard Stöck,格哈德·施特克
Karl Blossfeldt,卡尔·布劳斯菲尔德
Gerda Christian,格尔达·克里斯蒂安
Walter Moers,瓦爾特．莫爾斯
Theodor Wisch,提奧多·威施
Anna Christine Luise von Pfalz-Sulzbach,安娜·克莉絲汀
Adrian Sutil,艾德里安·苏蒂尔
Wolf Blitzer,沃爾夫·布里澤
Ludwig Kübler,路德維希·庫伯勒
Friedrich Melchior Grimm,梅勒西奥·格林
Martin Männel,马丁·门内尔
Hermann Volk,赫門·沃爾克
Erwin Schrödinger,埃尔温·薛定谔
Bernd Eichinger,班恩特·伊茲恩格爾
Ludwig Kaas,路德維希·卡斯
Robert Kurz,罗伯特·库尔茨
Walter Burkert,沃尔特·伯克特
Agnes-Maria von Andechs-Meranien,梅拉涅的阿格尼絲
Vlastimil Hort,弗拉斯季米尔·霍特
Werner Jaeger,维尔纳·耶格
Horst Köppel,霍斯特·科佩尔
Werner Naumann,维尔纳·瑙曼
Klaus Wowereit,克劳斯·沃维雷特
Konrad Schäfer,康拉德·希佛
Margot Frank,瑪戈·法蘭克
Oliver Schröder,奥利弗·施罗德
Dorothea von Brandenburg-Kulmbach,多萝西娅
Halil Savran,哈利尔·萨夫兰
Karlheinz Förster,卡尔海因茨·福斯特
Bernd Schneider,贝恩德·施奈德
Gottfried Heinrich zu Pappenheim,戈特弗里德·冯·帕本海姆
Volker Strassen,沃尔克·施特拉森
Erika Steinbach,艾麗卡·施泰恩巴赫
Daniela Samulski,达妮埃拉·萨穆尔斯基
Friedrich August,弗里德里希·奥古斯特二世
Jürgen Moser,尤爾根·莫澤爾
Lorenz Christoph Mizler,米茲勒
Uta Frith,乌塔·弗里思
Ottheinrich,奥托海因里希
Tomas Behrend,托馬斯·贝哈连德
Richard Wilhelm,尉禮賢
Ludwig Biermann,路德维希·比爾曼
Bruno Frank,布鲁诺·法兰克
Sexy Cora,性感科拉
Ludwig Bieberbach,比伯巴赫
Paul Peter Ewald,保罗·彼得·埃瓦尔德
Frits Clausen,弗里·茨克劳森
Leo August Pochhammer,里奧·珀赫哈默尔
Erich Kähler,埃里希·凯勒
Richard Brauer,理查德·布饶尔
Marco Werner,马尔科·维尔纳
Erich Weinert,埃里希·魏纳特
Hans von Mangoldt,漢斯·馮·曼戈爾特
Yuri Manin,尤里·伊万諾維奇·馬寧
Maria Höfl-Riesch,瑪莉亞·赫弗-里奇
Georg Ratzinger,喬治·拉辛格
Christian Vietoris,克里斯蒂安·維雅托利斯
Mike Könnecke,米克·康内茨克
Oskar Perron,奧斯卡·佩龍
Walther von Dyck,瓦爾特·馮·戴克
Leonard Nelson,伦纳德·尼尔森
Wolfgang Krull,沃爾夫岡·克魯爾
René Klingbeil,斯托諾威樂團
Ronny König,羅尼·科尼格
Karl Ernst,卡尔·恩斯特
Hans von Salmuth,馬克西米安·弗雷特·皮科
Friedrich III.,弗里德里希三世
Michael Schumacher,迈克尔·舒马赫
Andreas Tölzer,安德烈亚斯·特尔策
Eberhard I.,埃伯哈德五世
Sigmund Rascher,西格蒙德·拉舍爾
Maximilian von Hessen-Kassel,黑森-卡塞爾的馬克西米利安
Charlotte Sophie von Sachsen-Coburg-Saalfeld,夏洛特·索菲亚郡主
Georg Friedrich von Baden,格奧爾格·腓特烈
Christian Weber,克里斯蒂安·韦伯
Steffen Deibler,史帝棼·戴比勒
Georg Moritz von Sachsen-Altenburg,格奥尔格·莫里茨
Edmund Schlink,埃德蒙·施林克
Katja Seizinger,卡特娅·赛青格
Susanne Albers,苏珊·阿尔贝斯
Joachim Sauer,约阿希姆·绍尔
Otto Meissner,奧托·邁斯納
Anja Selbach,安雅·胡贝尔
Karl Josef Becker,卡爾·約瑟夫·貝克爾
Steffi Graf,施特菲·格拉夫
Henry Koster,亨利·科斯特
Hansjörg Jäkle,汉斯约尔格·耶克勒
Timothy Chandler,蒂莫西·錢德勒
Wilhelm Ostwald,威廉·奥斯特瓦尔德
Hilde Sperling,希爾德·克雷溫克爾·史柏靈
Hans Günter Winkler,汉斯·金特·温克勒
Gustav Witt,卡尔·古斯塔夫·伊特
Markus Söder,马库斯·索德
Norbert Röttgen,諾伯特·羅特根
Karl Münchinger,卡尔·明兴格尔
Enrico Kern,恩里科·柯恩
Hellmuth Walter,赫尔穆特·瓦尔特
Oskar von Hindenburg,奧斯卡·馮·興登堡
Marc Hensel,马克·亨塞尔
Jan Hochscheidt,扬·霍赫沙伊德
Nicolas Höfler,尼古拉斯·赫夫勒
Franz Xaver Gabelsberger,加貝爾斯貝格
Kurt Knispel,坎特·柯尼斯佩爾
Joseph H. Pilates,約瑟夫·皮拉提斯
Viktoria Rebensburg,维多利亚·雷本斯堡
Jürgen Trittin,于尔根·特立丁
Lilian Harvey,丽琳·哈莱
Michael Ballack,米夏埃尔·巴拉克
Cem Özdemir,杰姆·厄兹代米尔
Andreas Peter von Bernstorff,安德烈亚斯·彼得·伯恩斯托夫
Günther Pancke,京特·潘克
Ernst Wilhelm Bohle,恩斯特·威廉·波赫勒
Bernd Knipperdolling,伯恩哈德·克尼珀多林
Fritz Gunst,弗里茨·贡斯特
Matthias Behr,马蒂亚斯·贝尔
Peter Harry Carstensen,彼得·哈利·卡斯特森
Heinrich Thyssen,海因里希·提森
Carl Troll,卡尔·特罗尔
Eleonore d’Olbreuse,伊利諾·達美婭·杜布斯
Sabine Busch,扎比内·布施
Cilly Aussem,希莉·奥塞姆
Godfrey Kneller,克內勒爵士
Judith von Schweinfurt,尤蒂斯·馮·什文福
Wilhelm Worringer,威廉·沃林格
Wolfgang Petersen,沃爾夫岡·彼得森
Hans Eichel,汉斯·艾歇尔
Nils Miatke,尼尔斯·米特科
Fabian Müller,法比安·米勒
Eike Immel,埃克·伊梅尔
Peggy Parnass,佩吉·帕纳斯
Richard Strauss,理查德·施特劳斯
Karsten Baumann,卡尔斯滕·鲍曼
Hannelore Kraft,汉内洛蕾·克拉夫特
Gerhard Stoltenberg,格哈德·斯托爾滕貝格
Dimitri Peters,迪米特里·彼得斯
Kaya Yanar,卡亚·叶娜尔
Gertrud von Helfta,大格特魯德
Nadine Kleinert,纳迪娜·克莱纳特
Josefine Preuß,约瑟芬·普罗伊斯
Hermann Brunner,赫爾曼·布倫納
Reinhard Selten,赖因哈德·塞尔滕
Gustav Radbruch,古斯塔夫·拉德布鲁赫
Dietrich von Hildebrand,迪特里希·馮·希爾德布蘭
Rüdiger von der Goltz,呂迪格爾·馮·戈茲
Dorothee Sölle,多蘿泰·索萊
Ludwig IX.,路德维希九世
Hans von Obstfelder,汉斯·冯·奥布斯特费尔德
Ralf König,拉尔夫·柯尼希
Wilhelm Marschall,威廉·馬歇爾
Markus Weinzierl,马库斯·魏因齐尔
Fritz Walter,弗里茨·瓦尔特
Alex Christensen,阿莱克斯
Uwe Ampler,乌韦·安普勒
Ernst Lubitsch,恩斯特·劉別謙
Rudolf Lehmann,魯道夫·列赫曼
Adalbert von Preußen,阿达尔贝特王子
Harald Glööckler,哈罗德·克劳克
Richard Lucae,理查德·盧卡
Peter Struck,彼得·施特魯克
Robert Siodmak,羅勃·席歐麥
Curtis Bernhardt,柯蒂斯·伯恩哈特
Barbara Rittner,芭芭拉·里特纳
Rüdiger Safranski,呂迪格·薩弗蘭斯基
Sideris Tasiadis,塞德里斯·塔西亞迪斯
Alfred Dregger,阿尔弗雷德·德雷格尔
Johann Ernst III.,約翰·恩斯特公爵
Günther Lützow,君特·吕佐夫
Godehard von Hildesheim,聖歌德赫德
Sami Khedira,萨米·赫迪拉
August II.,奧斯特公爵
Christian III.,克里斯蒂安三世
Stephan I.,下巴伐利亚公爵施特凡一世
Ernst Barkmann,恩斯特·巴克曼
Engelbert Humperdinck,恩格尔贝特·洪佩尔丁克
Robert Schuman,罗贝尔·舒曼
Kurt Jooss,柯特·尤斯
Patrick Funk,帕特里克·芬克
Charlotte Link,夏洛娃·林克
Wolfgang Schäuble,沃尔夫冈·朔伊布勒
Andreas von Bechtolsheim,安迪·貝托爾斯海姆
Egon Bahr,埃贡·巴尔
Otto Heckmann,奧托·海克曼
Friedrich VII. Magnus,弗里德里希七世·马格努斯
Theodor Curtius,西奥多·库尔提斯
Hermann Paul,赫曼·保罗
Constantin Carathéodory,康斯坦丁·卡拉西奧多里
Lena Valaitis,莉娜·瓦拉蒂斯
Rudi Altig,魯迪·阿爾蒂希
William Dieterle,威廉·迪特勒
Wolfgang Hohlbein,沃尔夫冈· 霍尔拜因
Walter Buch,沃爾特·布赫
Karl Hofer,卡爾霍弗
Werner Ostendorff,沃納·奧斯滕多夫
August von Pfalz-Sulzbach,奧古斯特 (普法爾茨-蘇爾茨巴赫伯爵)
Georg Spalatin,乔治·斯巴拉丁
Heinrich XVI.,亨利十六世 (巴伐利亞)
Magdalena Sibylla von Hessen-Darmstadt,瑪格達列娜·希比拉
Daniela Anschütz-Thoms,达妮埃拉·安许茨-汤姆斯
Johann Kasimir,约翰·卡西米尔
Ralph Baer,拉夫·亨利·贝尔
Manfred von Ardenne,曼弗雷德·冯·阿登纳
Johnny Cecotto jr.,小约翰尼·切科托
Nicolaus von Below,尼古劳斯·冯·贝洛
Thomas Murner,托马斯·穆内
Jaan-Frederik Brunken,扬-弗雷德里克·布伦肯
Danny Latza,丹尼·拉察
Georg Leber,格奧爾格·勒伯爾
Walther Wever,瓦爾特·韋弗
Klaus Kleinfeld,克劳斯·克莱因费尔特
Meredith Michaels-Beerbaum,梅雷迪丝·迈克尔斯-贝尔鲍姆
Walter Brandmüller,瓦尔特·布兰德米勒
John Henry Mackay,約翰·亨利·麥凱
Heinrich Reuß von Plauen,海因里希·羅伊斯·馮·普勞恩
Dirk Bauermann,迪尔克·鲍尔曼
Friedrich Wilhelm Murnau,F·W·穆瑙
Hans Beck,汉斯·巴克
Claude Dornier,克勞迪斯·都尼爾
Franz Josias,弗朗西斯·约西亚
Rudolf Schlechter,鲁道夫·施莱希特
Christian August von Schleswig-Holstein-Gottorf,克里斯蒂安·奧古斯特 (霍爾斯坦-戈托普)
Hermann Muthesius,赫爾曼·穆特修斯
Ludwig Ferdinand von Bayern,路德維希·斐迪南
Wim Wenders,文·溫德斯
Tommy Haas,托米·哈斯
Carl Dahlhaus,卡爾·達爾豪斯
Artur Fischer,阿图尔·费歇尔
Andres Veiel,安德雷斯·费尔
Kurt Weill,寇特·威爾
Herbert Kroemer,赫伯特·克勒默
Senta Berger,森塔·伯格
Anneliese Rothenberger,安内利泽·罗滕贝尔格
Hans Albert,汉斯·艾伯特
Björn Engholm,比約恩·恩格霍姆
Ernst I.,歐內斯特一世 (薩克森-哥達公爵)
Friedrich Wilhelm Kritzinger,弗里德里希·威廉·克里青格
Mathilde von Sachsen,玛蒂尔德公主
Max Ophüls,馬克思·歐弗斯
Lothar Bisky,洛萨·比斯基
Peter Müller,彼得·米勒
Lisa Kreuzer,麗莎·克羅伊策
Ferdinand Wüstenfeld,斐迪南·伍司藤菲尔德
Gundi Busch,贡迪·布施
Gernot Rohr,格特·羅爾
Stefan Krauße,斯特凡·克劳瑟
Carl Friedrich von Weizsäcker,卡尔·弗里德里希·冯·魏茨泽克
Neo Rauch,尼奧·豪赫
Max Abraham,馬克斯·亞伯拉罕
Bernd Lange,伯納德·朗格
Henry Maske,亨利·马斯克
René Kollo,勒内·科洛
Konrad von Erlichshausen,康拉德·馮·埃里希豪森
"Prinz Friedrich Christian, Markgraf von Meißen",弗里德里希·克里斯蒂安
Helmuth von Pannwitz,赫尔姆特·冯·潘维茨
Dieter Zetsche,迪特爾·蔡澈
Karl Schiller,卡尔·席勒
Leni Riefenstahl,莱尼·里芬斯塔尔
Karen Horney,卡伦·霍妮
Ernst Ruska,恩斯特·鲁斯卡
Hermann Sudermann,苏德尔曼
Georg Leibbrandt,格奥尔格·莱布兰特
Klaus Kinski,克勞斯·金斯基
Alois Schloder,阿洛伊斯·施洛德
Pete Dwojak,皮特·德沃贾克
Fritz Kolbe,費茲·寇比
Karl Kreutzberg,卡尔·克罗伊茨贝格
Ehrenfried Boege,埃伦弗里德-奥斯卡·伯格
Manfred von Brauchitsch,曼弗雷德·冯·布劳希奇
Hans von Greiffenberg,漢斯·馮·格萊芬伯格
Adolf Pinner,阿道夫·皮納
Theodor Hänsch,特奥多尔·亨施
Horst Ludwig Störmer,霍斯特·施特默
Ingrid Mickler-Becker,英格丽德·贝克尔
Hannes Wader,汉尼斯·瓦德
Jürgen Möllemann,于尔根·穆勒曼
Magda Schneider,玛格达·施奈德
Max von Laue,马克斯·冯·劳厄
Martin Franz Julius Luther,马丁·路德
Margarethe von Trotta,玛格雷特·冯·特洛塔
Johann III.,約翰二世 (薩克森-威瑪)
Jörg Berger,西班牙王國 (1874年–1931年)
Friedrich Merkel,弗里德里希·西格蒙德·默克尔
Maximilian Wilhelm von Braunschweig und Lüneburg,馬克西米·威廉
Georg Christof Florian Greve,格奥尔·格雷夫
Katja Riemann,卡蒂娅·里曼
Karin Dor,卡琳·多
Hermann Kesten,赫尔曼·凯斯腾
Meret Becker,瑪瑞·貝克
Elisabeth Pähtz,伊丽莎白·佩茨
Werner Schroeter,沃纳·施罗德
Johann von Ewald,约翰·埃瓦尔德
Wilhelm Müller,威廉·米勒 (手球运动员)
Rainer Stahel,赖纳·斯塔赫尔
Klaus Reichert,克劳斯·赖歇特
Wilhelm Wien,威廉·维恩
Cornelia Pfohl,科尔内利娅·普福尔
Ute Oberhoffner,乌特·奥伯霍夫纳
Karl Abraham,卡尔·亚伯拉罕
August Ritter,格奥尔格·奥古斯特·迪特里希·李特尔
Friedrich,腓特烈
Heinz Rögner,海因茨·罗格纳
Walther Dahl,瓦尔特·代赫勒
Wilhelm I.,威廉
Oswald Spengler,奧斯瓦爾德·斯賓格勒
Gotthard Günther,哥特哈德·岡瑟
Isabel Cueto,伊莎贝尔·奎托
Richard Musgrave,理查·馬斯格雷夫
Martin Schwalb,马丁·施瓦尔布
Erik Hansen,埃里克-奧斯卡·漢森
Otto M. Stern,奥托·施特恩
Nelly Sachs,内莉·萨克斯
Arthur Arno Wachmann,阿诺·阿瑟·瓦茨曼
Rudolf-Christoph Freiherr von Gersdorff,魯道夫·克里斯多夫·馮·戈爾斯多夫
Erwin Stresemann,埃尔温·施特雷泽曼
Jonas Kaufmann,乔纳斯·考夫曼
