Tokyo,東京
Nobeoka,延岡市
Nishio,西尾市
Koshigaya,越谷市
Komaki,小牧市
Koga,古河市
Kisarazu,木更津市
Kiryū,桐生市
Kazo,加須市
Kawanishi,川西市
Kawagoe,川越市
Kasukabe,春日部市
Kasugai,春日井市
Kashiwa,柏市
Kariya,刈谷市
Karatsu,唐津市
Kamakura,镰仓市
Kakegawa,掛川市
Kagoshima-ken,鹿兒島縣
Iwakuni,岩國市
Itami,伊丹市
Isesaki,伊勢崎市
Ise,伊勢市
Isahaya,諫早市
Inazawa,稻澤市
Iida,飯田市
Ichinomiya,一宮市
Ibaraki,茨木市
Hiratsuka,平塚市
Himeji,姬路市
Hatsukaichi,廿日市市
Handa,半田市
Hadano,秦野市
Hachiōji,八王子市
Fukuyama,福山市
Fukuchiyama,福知山市
Fujisawa,藤澤市
Fujinomiya,富士宮市
Fuji,富士市
Chigasaki,茅崎市
Asaka,朝霞市
Okinawa,沖繩市
Nasushiobara,那須鹽原市
Jōetsu,上越市
Habikino,羽曳野市
Narita International Airport,成田国际机场
Kansai International Airport,关西国际机场
Nakano,中野區
Kuroishi,黑石市
Iwamizawa,岩見澤市
Kitahiroshima,北廣島市
Ebetsu,江別市
Chitose,千歲市
Aomori-ken,青森縣
Goshogawara,五所川原市
Yonezawa,米澤市
Yamagata-ken,山形縣
Toride,取手市
Sakura,佐倉市
Ryūgasaki,龍崎市
Ōtawara,大田原市
Mooka,真岡市
Mobara,茂原市
Miyako,宮古市
Miyagi-ken,宮城縣
Kitakami,北上市
Iwate,岩手縣
Ibaraki,茨城縣
Hanamaki,花卷市
Fukushima-ken,福島縣
Chiba-ken,千葉縣
Akita,秋田縣
Wakkanai,稚內市
Tomakomai,苫小牧市
Mutsu,陸奧市
Ōdate,大館市
Obihiro,帶廣市
Noshiro,能代市
Nemuro,根室市
Muroran,室蘭市
Uwajima,宇和島市
Saijō,西條市
Ashiya,蘆屋市
Annaka,安中市
Aichi-ken,愛知縣
Nichinan,日南市
Nara-ken,奈良縣
Nakatsugawa,中津川市
Nakatsu,中津市
Nago,名護市
Nagano-ken,長野縣
Murakami,村上市
Miyoshi,三次市
Miyazaki,宮崎縣
Miki,三木市
Mihara,三原市
Mie-ken,三重縣
Marugame,丸龜市
Maizuru,舞鹤市
Kyoto Prefecture,京都府
Kumamoto,熊本縣
Shingū,新宮市
Yukuhashi,行橋市
Yūki,結城市
Honmachi,八代市
Yamanashi,山梨縣
Yamaguchi,山口縣
Wakayama,和歌山县
Usuki,臼杵市
Tsuruoka,鶴岡市
Tsuruga,敦賀市
Tsubame,燕市
Toyooka,豐岡市
Toyokawa,豐川市
Toyama-ken,富山縣
Tottori,鳥取縣
Tosu,鳥栖市
Tokushima-ken,德島縣
Tochigi,栃木縣
Tatebayashi,館林市
Tanabe,田邊市
Tamano,玉野市
Takayama,高山市
Tajimi,多治見市
Tagawa,田川市
Shizuoka,靜岡縣
Shiojiri,鹽尻市
Shimane-ken,島根縣
Shimada,島田市
Shiga,滋賀縣
Shibukawa,澀川市
Shibata,新發田市
Sano,佐野市
Sanjō,三條市
Saku,佐久市
Sakata,酒田市
Sakado,坂戶市
Saitama-ken,埼玉縣
Saga-ken,佐賀縣
Oyama,小山市
Ōta,太田市
Ōsaka-fu,大阪府
Onomichi,尾道市
Ōmura,大村市
Okayama-ken,岡山縣
Oita Prefecture,大分县
Ōgaki,大垣市
Ōbu,大府市
Noda,野田市
Komatsu,小松市
Kokubunji,國分寺市
Kochi Prefecture,高知縣
Kashiwazaki,柏崎市
Kanuma,鹿沼市
Kanoya,鹿屋市
Kanagawa,神奈川縣
Kameoka,龜岡市
Kakamigahara,各务原市
Kagawa-ken,香川县
Kadoma,門真市
Izumo,出雲市
Iwata,磐田市
Itō,伊東市
Ishikawa-ken,石川縣
Ishigaki,石垣市
Inuyama,犬山市
Ina,伊那市
Ikoma,生駒市
Iizuka,飯塚市
Hyōgo,兵庫縣
Honjō,本庄市
Hita,日田市
Hiroshima-ken,廣島縣
Hirakata,枚方市
Hino,日野市
Hekinan,碧南市
Hashimoto,橋本市
Hanyū,羽生市
Hannō,飯能市
Ōmihachiman,近江八幡市
Gyōda,行田市
Gunma-ken,群馬縣
Gifu,岐阜县
Gamagōri,蒲郡市
Fukuroi,袋井市
Fukuoka Prefecture,福岡縣
Fukui,福井縣
Fujioka,藤岡市
Ehime,爱媛县
Chiryū,知立市
Chino,茅野市
Chichibu,秩父市
Sayama,狹山市
Fussa,福生市
Kimitsu,君津市
Chikusei,筑西市
Kōka,甲賀市
Ebina,海老名市
Tama,多摩市
Akishima,昭島市
Niiza,新座市
Ōnojō,大野城市
Hidaka,日高市
Iruma,入間市
Inzai,印西市
Ōsaki,大崎市
Susono,裾野市
Yurihonjō,由利本莊市
Nisshin,日进市
Chita,知多市
Kani,可兒市
Asia,亚洲
Kobe Airport,神戶機場
Tsushima Airport,對馬機場
Fukuoka Airport,福岡機場
Saga Airport,佐賀機場
Chūbu Centrair International Airport,中部國際機場
Hiroshima Airport,广岛机场
Takamatsu Airport,高松機場
Sendai Airport,仙台機場
Tokyo International Airport,東京國際機場
Naha Airport,那霸機場
Ishikari,石狩市
Hanawa,鹿角市
Fukagawa,深川市
Bibai,美唄市
Abashiri,網走市
Yuzawa,湯澤市
Yachimata,八街市
Ushiku,牛久市
Tōno,遠野市
Tōgane,東金市
Takahagi,高萩市
Shiroi,白井市
Sagae,寒河江市
Bonin Islands,小笠原群岛
Ōfunato,大船渡市
Nagai,長井市
Moriya,守谷市
Kitaibaraki,北茨城市
Kasama,笠間市
Kaminoyama,上山市
Kamaishi,釜石市
Kakuda,角田市
Itako,潮來市
Ishioka,石岡市
Iwo Jima,硫磺岛
Higashine,東根市
Asahi,旭市
Rumoi,留萌市
Nayoro,名寄市
Nakashibetsu,中標津町
Misawa,三澤市
Iyo,伊予市
Ōzu,大洲市
Ayabe,綾部市
Atami,熱海市
Anan,阿南市
Nikkō,日光市
Nanao,七尾市
Namerikawa,滑川市
Nakama,中間市
Mizunami,瑞浪市
Minamata,水俁市
Masuda,益田市
Maibara,米原市
Kurayoshi,倉吉市
Gero,下呂市
Yawata,八幡市
Yanagawa,柳川市
Yamaga,山鹿市
Yaita,矢板市
Uozu,魚津市
Tomioka,富岡市
Tokoname,常滑市
Toki,土岐市
Tenri,天理市
Tateyama,館山市
Tamana,玉名市
Takehara,竹原市
Takahashi,高梁市
Tahara,田原市
Suwa,諏訪市
Shōbara,庄原市
Shinshiro,新城市
Shimabara,島原市
Shibushi,志布志市
Sasayama,篠山市
Sakurai,櫻井市
Sakaiminato,境港市
Saiki,佐伯市
Ono,小野市
Ōmachi,大町市
Obama,小濱市
Numata,沼田市
Komoro,小諸市
Kitakata,喜多方市
Kikuchi,菊池市
Kashima,鹿島市
Kainan,海南市
Itoigawa,糸魚川市
Ibara,井原市
Hitoyoshi,人吉市
Hirado,平戶市
Hamada,濱田市
Hagi,萩市
Gose,御所市
Gojō,五條市
Futtsu,富津市
Miura,三浦市
Hikari,光市
Inashiki,稻敷市
Chikuma,千曲市
Takashima,高島市
Katsuragi,葛城市
Nanto,南砺市
Midori,綠市
Miyakojima,宮古島市
Sōsa,匝瑳市
Kinokawa,紀之川市
Shimotsuke,下野市
Hachimantai,八幡平市
Izu,伊豆市
Hirakawa,平川市
Towada,十和田市
Hashima,羽島市
Minokamo,美濃加茂市
Gujō,郡上市
Ena,惠那市
Hokuto,北斗市
Fujikawaguchiko,富士河口湖町
Dazaifu,太宰府市
Iwo Jima Air Base,硫黄島飛行場
Yamaguchi Ube Airport,山口宇部機場
Kitakyushu Airport,北九州機場
Amami Airport,奄美機場
Okinoerabu Airport,沖永良部機場
Miho–Yonago Airport,美保飛行場
Sado Airport,佐渡機場
Misawa Air Base,三澤飛行場
Niigata Airport,新潟機場
Shonai Airport,庄內機場
Miyako Airport,宮古機場
Yoron Airport,與論機場
Chichijima,父岛
Fukaura,深浦町
Hachinohe,八戶市
Ashibetsu,蘆別市
Akabira,赤平市
Ajigasawa,鰺澤町
Tsukuba,筑波市
Ōtaki,大多喜町
Obanazawa,尾花澤市
Motomiya,本宮市
Katsuura,勝浦市
Yūbari,夕張市
Utashinai,歌志內市
Sunagawa,砂川市
Sōya Misaki,宗谷岬
Asuka,明日香村
Amami Ōshima,奄美大島
Aki,安藝市
Adachi Ku,足立區
Nagareyama-shi,流山市
Miyazu,宮津市
Miyako Island,宮古島
Mibu,壬生町
Megi Shima,女木島
Kushimoto,串本町
Kusatsu,草津町
Yuzawa,湯澤町
Yonaguni-jima,與那國島
Yae-dake,屋久島
Uenohara,上野原市
Tsushima,对马岛
Takeo,武雄市
Suginami-ku,杉並區
Shimoda,下田市
Ōtsuki,大月市
Onna,恩納村
Okinoerabujima Island,沖永良部島
Nishinoomote,西之表市
Katsuyama,勝山市
Ibusuki,指宿市
Hakone,箱根町
Hachijō Jima,八丈島
Gobō,御坊市
Ginza,銀座
Chizu,智頭町
Nagato,長門市
Kushima,串間市
Hamura,羽村市
Matsuura,松浦市
Tarama,多良間村
Uonuma,魚沼市
Tokyo Tower,东京铁塔
Akashi Kaikyō Bridge,明石海峡大桥
Abashiri-gun,網走郡
Kōya,高野町
Ozora,大空町
Yuzhno-Kurilsk,南庫里爾斯克
Iturup Island,擇捉島
Furano,富良野市
E San,惠山
Benten Jima,辯天島
Apoi Dake,阿珀依山
Kesennuma,氣仙沼
Iwaizumi,岩泉町
Bandai San,磐梯山
Noboribetsu,登別市
Asakusa,浅草
Akaishi-dake,赤石岳
Yoronjima,與論島
Wajima,輪島市
Udone-shima,鵜渡根島
Taiji,太地町
Saru Shima,猿島
Oyama,小山町
Kokura,小倉市
Kiyosu,清須市
Irisuna Jima,入砂島
Gusuku-yama,城山
Hotaka Yama,武尊山
Geruma Jima,慶留間島
Funa Jima,巖流島
Tokyo National Museum,东京国立博物馆
Kinkaku-ji,鹿苑寺
Kiyomizu-dera,清水寺
Kasumigaura,霞浦市
Kamisu,神栖市
Minamiashigara,南足柄市
Kashiba,香芝市
Musashimurayama,武藏村山市
Higashiyamato,東大和市
Misato,三鄉市
Suzu,珠洲市
Kasuga,春日市
Uruma,宇流麻市
Sanmu,山武市
Tamura,田村市
Nasukarasuyama,那須烏山市
Komagane,駒根市
Isumi,夷隅市
Yachiyo,八千代市
Tomisato,富里市
Ōshū,奧州市
Omaezaki,御前崎市
Nikaho,仁賀保市
Daisen,大仙市
Oga,男鹿市
Tsugaru,津輕市
Aisai,愛西市
Motosu,本巢市
Yuzhno-Kurilsk Mendeleyevo Airport,門德列夫機場
Burevestnik Airport,海燕機場
Umeda,梅田
Hakuba,白馬村
Fukuoka Castle ruins,福岡城
Keio University,慶應義塾大學
International Stadium Yokohama,橫濱國際綜合競技場
Suzuka Circuit,铃鹿赛道
Tsushima,對馬市
Shikotan Island,色丹島
Kunashir Island,國後島
Kamome-jima,鷗島
Hakodate Yama,函館山
Sendai Heiya,仙台平原
Hokota,鉾田市
Petegari Dake,邊天狩岳
Awara,蘆原市
Nii Jima,新岛
Nakijin,今歸仁村
Kumamoto Railway Station,熊本市
Kadena Air Base,嘉手纳空军基地
