"Гройс, Борис Ефимович",鮑里斯·格羅伊斯
Нюша,紐莎
Александр Александрович Кокорин,亞歷山大·科科林
Сергей Алексеевич Белоглазов,谢尔盖·别洛格拉佐夫
Андрей Петрович Звягинцев,安德烈·萨金塞夫
Валентина Владимировна Терешкова,瓦莲京娜·捷列什科娃
Андрей Романович Чикатило,安德烈·齐卡提洛
Сергей Анатольевич Курёхин,谢尔盖·库尔约希
Павел Романович Попович,帕维尔·罗曼诺维奇·波波维奇
Олег Константинович Попов,奧列格·波波夫
Согдиана,索格狄亚娜‧费多里斯卡亚
Ксения Александровна Раппопорт,克谢尼娅·拉波波尔特
Вадим Владимирович Бровцев,瓦迪姆·博羅夫謝夫
Елизавета Михайловна Боярская,伊丽莎白·米哈伊洛娃·博亚尔斯卡娅
Карен Шахназаров,卡倫·沙赫納札羅夫
Дима Билан,季马·比兰
"Колодко, Евгения Николаевна",葉夫根尼婭·科洛德科
Дарья Витальевна Пищальникова,達麗婭·皮薩爾尼科娃
Елена Гаджиевна Исинбаева,叶莲娜·伊辛巴耶娃
Александр Вальтерович Литвиненко,亞歷山大·瓦爾杰洛維奇·利特維年科
Алла Пугачёва,阿拉·普加乔娃
"Кара-Мурза, Сергей Георгиевич",谢尔盖·卡拉-穆尔扎
Владимир Антонович Дыбо,弗拉基米尔·德博
"Трубачёв, Юрий Викторович",尤里·特魯巴喬夫
Николай Сергеевич Апаликов,尼古拉·阿帕里科夫
Андрей Андреевич Козлов,安德烈·安德烈耶维奇·科兹洛夫
"Гусева, Клара Ивановна",克拉拉·古谢娃
Стивен Сигал,史蒂芬·席格
Владимир Викторович Морозов,弗拉基米尔·莫罗佐夫
Роман Аркадьевич Абрамович,罗曼·阿尔卡季耶维奇·阿布拉莫维奇
Андрей Сергеевич Аршавин,安德烈·阿尔沙文
Марат Мубинович Сафин,马拉特·萨芬
"Тигиев, Сослан Вазноевич",索斯蘭·季基耶夫
Александр Аронович Винников,亚历山大·阿罗诺维奇·温尼科夫
Анна Сергеевна Курникова,安娜·庫妮可娃
Сергей Леонидович Соколов,謝爾蓋·索科洛夫
Василий Иванович Петров,瓦西里·伊萬諾維奇·彼得羅夫
Дмитрий Тимофеевич Язов,德米特里·季莫费耶维奇·亚佐夫
"Комаров, Александр Георгиевич",亞歷山大·科馬羅夫
Виталий Александрович Петров,维塔利·佩特罗夫
"Понедельник, Виктор Владимирович",邦尼迪尼克
Егор Тимурович Гайдар,叶戈尔·盖达尔
Zedd,捷德
"Степанов, Александр Александрович",亞歷山大·斯特潘諾夫
"Давыдов, Василий Васильевич",V.V. 达维多夫
Александр Михайлович Прохоров,亚历山大·普罗霍罗夫
"Миронов, Евгений Васильевич",叶夫根尼·米罗诺夫
Алексей Пажитнов,阿列克谢·帕基特诺夫
"Ландис, Евгений Михайлович",葉夫根尼·蘭迪斯
Александр Александрович Разборов,亞歷山大·拉茲波洛夫
"Третьяков, Виктор Викторович",维克托·特列季亚科夫
Алан Елизбарович Дзагоев,阿倫·迪沙哥耶夫
Александра Михайловна Коллонтай,亞歷山德拉·柯倫泰
Дмитрий Пучков,德米特里·普契科夫
Анна Степановна Политковская,安娜·波利特科夫斯卡娅
Юрий Мильнер,尤里·米爾納
Алексей Ефимович Учитель,亚力克西·乌契杰利
Владимир Владимирович Путин,弗拉基米尔·普京
Николай Геннадиевич Басов,尼古拉·巴索夫
Фазиль Абдулович Искандер,法齊爾·伊斯坎德爾
Татьяна Викторовна Лысенко,塔季揚娜·李森科
Нина Александровна Андреева,尼娜·安德烈耶娃
Александр Сокуров,亚历山大·索库罗夫
Борис Васильевич Спасский,鲍里斯·斯帕斯基
Тимати,提馬堤
"Эфрос, Алексей Львович",阿列克谢·L·叶夫罗斯
Александр Васильевич Масляков,亚历山大·马斯利亚科夫
Виктор Иванович Ишаев,维克托·伊万诺维奇·伊沙耶夫
Патриарх Кирилл,基里尔
Мария Юрьевна Шарапова,玛丽亚·莎拉波娃
Сергей Васильевич Лукьяненко,謝爾蓋·盧基揚年科
Станислав Евграфович Петров,斯坦尼斯拉夫·彼得羅夫
Анастасия Эдуардовна Бабурова,安娜斯塔西亚·埃杜多芙娜·巴布洛娃
"Скрынников, Руслан Григорьевич",鲁斯兰·格里戈里耶维奇·斯科林尼科夫
Александр Халифман,亚历山大·哈利夫曼
Виталий Лазаревич Гинзбург,维塔利·拉扎列维奇·金兹堡
Вероника Борисовна Дударова,维罗尼卡·博里索夫娜·杜达洛娃
Иван Иванович Охлобыстин,伊万·阿赫洛贝斯金
Виктор Георгиевич Куликов,維多·庫里卡夫
Николай Васильевич Огарков,奧加科夫
Лев Гумилёв,列夫·古米列夫
Светлана Германовна Пархоменко,斯韦特兰娜·帕尔霍缅科
Елена Вячеславовна Дементьева,耶莲娜·德门蒂耶娃
Евгения Александровна Манюкова,尤珍尼亞·曼尼歐可娃
Лариса Семёновна Латынина,拉里莎·拉特尼娜
Андрей Александрович Сильнов,安德烈·西尔诺夫
"Рыбаков, Ярослав Владимирович",雅罗斯拉夫·雷巴科夫
Эдуард Успенский,艾杜瓦德·烏斯賓斯基
Николай Анатольевич Ковалёв,尼古拉·阿纳托利耶维奇·科瓦廖夫
Валерий Викторович Борчин,瓦列里·博尔钦
Надежда Викторовна Петрова,娜迪亚·佩特洛娃
Сергей Петрович Капица,谢尔盖·彼得罗维奇·卡皮察
Мария Юрьевна Кириленко,玛丽亚·基里连科
Александр Дмитриевич Жуков,亚历山大·德米特里耶维奇·茹科夫
"Нетто, Игорь Александрович",伊戈尔·内托
Олег Элекпаевич Саитов,奥列格·赛托夫
Юрий Петрович Власов,尤里·弗拉索夫
Сергей Фёдорович Бондарчук,谢尔盖·邦达尔丘克
Анатолий Евгеньевич Карпов,阿納托里·卡爾波夫
Андрей Сергеевич Кончаловский,安德烈·康查洛夫斯基
Андрей Викторович Губин,安德烈·古宾
Юрий Сергеевич Осипов,尤里·奥西波夫
Станислав Евгеньевич Пухов,斯坦尼斯拉夫·普霍夫
Дмитрий Анатольевич Медведев,德米特里·梅德韦杰夫
Ренат Рудольфович Янбаев,恩巴耶夫
"Журавлёва, Людмила Васильевна",柳德米拉·朱拉夫寥娃
Доку Хаматович Умаров,杜克·烏馬羅夫
Олег Алексеевич Пашинин,奥列格·帕希宁
Геннадий Иванович Янаев,根纳季·亚纳耶夫
"Медведева-Арбузова, Евгения Владимировна",叶夫根尼娅·梅德韦杰娃
Сергей Пускепалис,塞吉·普克帕里斯
Борис Вячеславович Грызлов,鲍里斯·维亚切斯拉沃维奇·格雷兹洛夫
Михаил Моисеевич Ботвинник,米哈伊尔·莫伊谢耶维奇·博特温尼克
"Белинский, Владимир Алексеевич",弗拉迪米爾·貝林斯基
"Хамдамов, Рустам Усманович",魯斯坦·卡達莫夫
"Комбаров, Кирилл Владимирович",甘巴路夫
Виктор Алексеевич Зубков,维克托·祖布科夫
Алексей Алексеевич Абрикосов,阿列克谢·阿布里科索夫
Фёдор Серафимович Дружинин,菲奥多尔·德鲁日宁
Юрий Юлианович Шевчук,尤里·舍夫丘克
Светлана Евгеньевна Савицкая,斯韦特兰娜·萨维茨卡娅
Татьяна Валерьевна Архипова,塔季揚娜·彼得羅娃·阿爾希波娃
Наталья Вадимовна Молчанова,娜塔莉亚·莫彻诺瓦
"Смыслов, Василий Васильевич",瓦西里·斯梅斯洛夫
Жерар Депардьё,傑哈·德巴狄厄
"Русинов, Роман Александрович",罗曼·鲁西诺夫
Захар Нухимович Брон,扎哈尔·布朗
Александр Александрович Карелин,亚历山大·卡列林
Сергей Викторович Лавров,谢尔盖·拉夫罗夫
Максим Харитонович Гвинджия,马克西姆·格温吉亚
Константин Сергеевич Новосёлов,康斯坦丁·诺沃肖洛夫
Алексий II,阿列克謝二世
Магомед Мустафаевич Оздоев,馬戈梅德·穆斯塔法耶維奇·奧茲多耶夫
"Осипов, Александр Сергеевич",亞歷山大·奧西波夫
Андрей Витальевич Коротаев,安德烈·科罗塔耶夫
Андрей Солдатов,安德烈·索爾達托夫
Колосс,鋼人 (漫威漫畫)
Арсен Жораевич Галстян,阿尔森·戈尔斯蒂安
Никита Михалков,尼基塔·米亥科夫
Жорес Иванович Алфёров,若雷斯·阿尔费罗夫
Юрий Нестеренко,喬治·尤里·賴特
Юрий Валентинович Жирков,尤里·日爾科夫
Григорий Анатольевич Кириенко,格里戈里·阿纳托利耶维奇·基里延科
Анастасия Владимировна Русских,安娜斯塔西亚·鲁斯基赫
Евгений Васильевич Шевчук,叶夫根尼·舍夫丘克
Александр Геннадьевич Анюков,亚历山大·阿纽科夫
"Романов, Григорий Васильевич",格里戈里·瓦西里耶维奇·罗曼诺夫
Людмила Гурченко,L.M. 古尔琴柯
Юрий Николаевич Стоянов,尤里·揚諾夫
Борис Вадимович Березовский,鲍里斯·瓦季莫维奇·别列佐夫斯基
Геннадий Андреевич Зюганов,根纳季·安德烈耶维奇·久加诺夫
Михаил Борисович Ходорковский,米哈伊尔·霍多尔科夫斯基
Михаил Ефимович Фрадков,米哈伊尔·弗拉德科夫
Павел Дуров,帕维尔·杜罗夫
Герман Степанович Титов,戈尔曼·季托夫
Илья Львович Олейников,伊利亚·奥莱尼科弗
Ксения Чумичева,齐尼亚·图乔米切娃
Мстислав Леопольдович Ростропович,姆斯蒂斯拉夫·列奥波尔多维奇·罗斯特罗波维奇
Роман Сергеевич Зобнин,羅曼·佐布寧
"Павлова, Наталья Евгеньевна",娜塔莉亞·帕夫洛娃
Игорь Владимирович Сысоев,伊戈爾·賽索耶夫
Алексей Анатольевич Навальный,阿列克謝·納瓦利內
Михаил Михайлович Касьянов,米哈伊尔·米哈伊洛维奇·卡西亚诺夫
Людмила Стефановна Петрушевская,柳德米拉·彼得魯舍夫斯卡婭
"Смехов, Вениамин Борисович",文尼亚民·斯梅霍夫
Роман Петрович Нойштедтер,羅曼·諾伊施泰特
Константин Георгиевич Зырянов,康斯坦丁·沙里恩洛夫
Игорь Владимирович Денисов,伊戈尔·德尼索夫
Алексей Архипович Леонов,阿列克谢·列昂诺夫
Александр Владимирович Бекетов,亚历山大·弗拉基米罗维奇·别克托夫
Юрий Михайлович Лужков,尤里·米哈伊洛维奇·卢日科夫
"Пантаева, Ирина Владленовна",爱琳娜·潘缇娃
Алексей Андреевич Туполев,阿列克謝·安德列耶維奇·圖波列夫
"Аввакумова, Ирина Андреевна",伊琳娜·阿瓦库莫娃
Борис Дмитриевич Парыгин,鲍里斯·帕勒根
Владимир Николаевич Воронин,弗拉迪米尔·沃罗宁
Борис Натанович Стругацкий,鲍里斯·斯特鲁加茨基
"Хагуш, Анри Енверович",安里‧卡古許
"Леонова, Алёна Игоревна",阿蓮娜·列奧諾娃
Марис Арвидович Янсонс,马里斯·扬颂斯
Лидия Корнеевна Чуковская,利季娅·科尔涅耶夫娜·楚科夫斯卡娅
Павел Павлович Корчагин,保爾·柯察金
"Привалова, Ирина Анатольевна",伊琳娜·普里瓦洛娃
Александр Леонидович Зайцев,亚历山大·列昂尼多维奇·扎伊采夫
Олег Александрович Стриженов,奧列格·斯特里仁諾夫
Михаил Сергеевич Горбачёв,米哈伊尔·戈尔巴乔夫
"Петров, Алексей Александрович",阿列克謝·彼得羅夫
Ирина Викторовна Лобачёва,伊琳娜·洛巴切娃
Валентина Ивановна Матвиенко,瓦莲京娜·马特维延科
Анатолий Алексеевич Белоглазов,阿纳托利·别洛格拉佐夫
Екатерина Шихова,叶卡捷琳娜·希霍娃
Юрий Иванович Манин,尤里·伊万諾維奇·馬寧
"Горлукович, Сергей Вадимович",谢尔盖·戈鲁科维奇
Наталья Николаевна Кустинская,娜塔莉娅·库斯金斯卡娅
"Голованов, Денис Юрьевич",德尼·戈洛瓦诺夫
Евгений Донской,伊夫尼·多斯科伊
Дмитрий Олегович Булыкин,保利堅
Николай Басков,尼古拉·巴斯科夫
"Осипова, Наталья Петровна",納塔利婭·奧西波娃
"Маврина, Татьяна Алексеевна",塔吉雅娜·阿列克谢耶芙娜·玛芙丽娜
Игорь Анатольевич Ледяхов,伊戈尔·列迪亚霍夫
Динияр Ринатович Билялетдинов,迪迪亚尔·比尔亚莱特迪诺夫
"Чернавин, Владимир Николаевич",弗拉基米爾·Chernavin
Глеб Панфилов,格里布·潘非洛夫
Элла Александровна Диль,艾拉·迪尔
Владимир Давидович Ашкенази,弗拉基米尔·阿什肯纳齐
Альфред Гарриевич Шнитке,阿尔弗雷德·加里耶维奇·施尼特凯
"Маренникова, Екатерина Александровна",叶卡捷琳娜·马连尼科娃
"Поветкин, Александр Владимирович",亚历山大·波韦特金
Юлия Степанова,尤丽娅·斯特潘诺娃
"Фёдорова, Лина Алексеевна",莉娜·费多洛娃
"Мирошкин, Максим Романович",马克西姆·米洛希金
"Илюшечкина, Любовь Ивановна",伊柳舍奇基娜
Леонид Викторович Слуцкий,列昂尼德·斯勒茨基
Ольга Олейник,奥尔加·奥列尼克
Николай Владимирович Давыденко,尼古拉·达维登科
Юрий Абрамович Башмет,尤里·巴什米特
Владимир Игоревич Арнольд,弗拉基米爾·阿諾爾德
Виктор Степанович Черномырдин,维克托·斯捷潘诺维奇·切尔诺梅尔金
Георгий Михайлович Гречко,格奧爾基·格列奇科
Гарри Каспаров,加里·基莫维奇·卡斯帕罗夫
Олег Иванович Романцев,奥列格·罗曼采夫
"Роменская, Оксана Викторовна",奥克萨娜·罗缅斯卡娅
Алексей Рыбников,阿列克谢·雷布尼科夫
"Рубин, Владимир Ильич",弗拉基米尔·鲁宾
Георгий Степанович Шонин,格奥尔基·绍宁
"Климук, Пётр Ильич",彼得·克里木克
Станислав Андреевич Любшин,斯坦尼斯拉夫·柳布申
Галина Сергеевна Уланова,加林娜·乌兰诺娃
Сергей Александрович Белов,謝爾蓋·貝洛夫
"Романенко, Роман Юрьевич",罗曼·罗曼年科
Анатолий Наумович Рыбаков,"瑞巴可夫, 安那托里,"
Надежда Валерьевна Бажина,娜傑日達·巴任娜
Михаил Кукушкин,米哈伊爾·庫庫什金
Александр Песляк,太阳能设计师
Александр Борисович Лебзяк,亚历山大·莱布齐亚克
Александр Григорьевич Зархи,亞歷山大·扎克希
"Добрыгин, Григорий Эдуардович",吉里格力·多布金
Апти Хамзатович Аухадов,阿普蒂·阿烏卡多夫
Элла Александровна Памфилова,埃拉·帕姆菲洛娃
Валентин Сергеевич Павлов,瓦连京·谢尔盖耶维奇·帕夫洛夫
Ингеборга Дапкунайте,英格波佳·達庫內提
Юрий Валерьевич Никифоров,尤里·尼基福罗夫
Елена Руслановна Ильиных,埃琳娜·伊林尼赫
Екатерина Рязанова,叶卡捷琳娜·利亚扎诺娃
Сергей Кужугетович Шойгу,谢尔盖·绍伊古
Александр Леонидович Кайдановский,亚历山大·凯伊达诺夫斯基
Юрий Львович Авербах,尤里·阿维尔巴赫
Илья Валерьевич Ковальчук,伊利亚·科瓦利丘克
Александр Иванович Лазуткин,亚历山大·拉祖特金
Светлана Александровна Кузнецова,斯维特拉娜·库兹涅佐娃
"Неизвестный, Эрнст Иосифович",恩斯特·约瑟福维奇·内兹韦斯特尼
Владимир Анатольевич Болдырев,弗拉基米尔·博尔德列夫
Павел Анатольевич Колобков,帕维尔·科罗布科夫
Игорь Олегович Щёголев,伊戈尔·晓戈列夫
Александр Степанович Попов,亚历山大·波波夫
"Точёнова, Клавдия Александровна",克拉夫季娅·托乔诺娃
"Кравчук, Андрей Юрьевич",安德烈·克拉夫丘克
Екатерина Николаевна Вилкова,叶卡捷琳娜·维尔科娃
Александр Гельевич Дугин,亞歷山大·杜金
Екатерина Лагно,卡特尔纳·拉诺
"Захаров, Илья Леонидович",伊利亚·扎哈罗夫
"Касаев, Алан Таймуразович",卡沙耶夫
"Зарипов, Данис Зиннурович",丹尼斯·扎里波夫
"Левитин, Игорь Евгеньевич",伊戈爾·葉夫根耶維奇·列維京
Сергей Владимирович Андронов,謝爾蓋·安德羅諾夫
"Семёнов, Мингиян Артурович",明吉扬·谢苗诺夫
Майя Плисецкая,瑪婭·普麗謝斯卡婭
"Зуева, Марина Олеговна",瑪麗娜·祖耶娃
"Кисляк, Сергей Иванович",谢尔盖·基斯利亚克
Татьяна Альбертовна Арнтгольц,塔季扬娜·阿哥尔茨
"Леонтьев, Михаил Владимирович",米哈伊尔·弗拉基米罗维奇·列昂季耶夫
"Фридзон, Виталий Валерьевич",維塔利·弗里德佐恩
"Истомин, Юрий Васильевич",尤里·伊斯托明
Анита Сергеевна Цой,阿妮塔·崔
Татьяна Ивановна Заславская,塔季扬娜·伊万诺夫娜·扎斯拉夫斯卡娅
Олег Георгиевич Федосеев,奧列格·費多謝耶夫
Юрий Петрович Любимов,尤里·柳比莫夫
"Ильина, Вера Сергеевна",维拉·伊莲娜
"Романова, Яна Сергеевна",雅娜·羅馬諾娃
Галина Польских,加琳娜·波尔斯基赫
Виктор Сергеевич Розов,罗佐夫
Владимир Сергеевич Высоцкий,弗拉基米尔·维索茨基
"Манкиев, Назир Юнузович",纳济里·曼基耶夫
"Лебедева, Наталья Васильевна",娜塔利娅·列别杰娃
Эдуард Теодорович Винокуров,爱德华·特奥多罗维奇·维诺库罗夫
Даниил Квят,丹尼尔·维亚切斯拉沃维奇·科维亚特
"Веснина, Елена Сергеевна",叶连娜·韦斯尼娜
Елена Юрьевна Бечке,葉蓮娜·别奇克
Мария Ларк,玛丽亚·拉克
Жорж Абрамович Коваль,喬治·科瓦
"Никитин, Александр Константинович",亚历山大·尼基汀
Владимир Вольфович Жириновский,弗拉基米尔·日里诺夫斯基
Валерия Савиных,瓦莱里亚·莎薇妮克
"Букина, Екатерина Борисовна",叶卡捷琳娜·布金娜
Владимир Михайлович Гринин,弗拉基米尔·米哈伊洛维奇·格里宁
Александр Александрович Богомолов,阿列克斯·博戈莫洛夫
Евгения Максимовна Тарасова,葉夫根妮亞·塔拉索娃
"Нелидов, Андрей Витальевич",安德烈·涅利多夫
Александр Анатольевич Кержаков,亞歷山大·卡查哥夫
Владимир Леонидович Петтай,布拉迪米爾·佩塔
"Подрабинек, Александр Пинхосович",亚历山大·波德拉内内克
Николай Ефимович Тимков,尼古拉·蒂姆科夫
"Сырцов, Сергей Александрович",謝爾蓋·塞爾佐夫
Майя Валентиновна Усова,乌索娃
Денис Михайлович Аблязин,丹尼斯·阿巴立新
Алина Андреевна Макаренко,阿丽娜·马卡连柯
"Дудкина, Ксения Павловна",克谢尼雅·杜德吉娜
Алексей Спирин,阿列克謝·斯皮林
"Тищенко, Алексей Викторович",阿列克谢·季先科
Муртаза Губайдуллович Рахимов,穆塔扎·拉希莫夫
Георгий Сергеевич Полтавченко,格奥尔基·波尔塔夫琴科
Александра Костенюк,亚历山德拉·科斯坚纽克
Эмин,叶明·阿加拉罗夫
Рустам Минниханов,魯斯塔姆·明尼哈諾夫
"Анисимова, Татьяна Михайловна",塔季扬娜·阿尼西莫娃
Людмила Евгеньевна Белоусова,露德米拉·別洛烏索娃
Наталья Погонина,纳塔利娅·波戈尼娜
"Смирнова, Людмила Станиславовна",柳德米拉·斯米爾諾娃
Григорий Алексеевич Явлинский,格里戈里·阿列克謝耶維奇·亞夫林斯基
Кристина Игоревна Асмус,克里斯蒂娜·阿斯姆斯
Владимир Анатольевич Яковлев,弗拉基米爾·雅科夫列夫
"Беглякова, Ирина Анатольевна",伊琳娜·別格利亞科娃
Аркадий Аркадьевич Володось,阿尔卡季·阿尔卡季耶维奇·沃洛多斯
Олег Николаевич Ефремов,奥列格·叶甫列莫夫
"Ставиский, Максим Евгеньевич",马克西姆·斯塔維斯基
Анатолий Борисович Чубайс,阿纳托利·丘拜斯
Сергей Викторович Залётин,谢尔盖·扎廖京
Павел Александрович Соловьёв,帕维尔·亚历山德罗维奇·索洛维约夫
Виктор Владимирович Васин,維克托·瓦辛
Виктор Фёдорович Басаргин,维克托·费奥多罗维奇·巴萨尔金
Вячеслав Викторович Володин,維亞切斯拉夫·沃洛金
Екатерина Николаевна Голубева,叶卡捷琳娜·戈卢别娃
Сергей Борисович Иванов,谢尔盖·伊万诺夫
Руслан Султанович Аушев,魯斯蘭‧奧舍夫
"Закроев, Егор Михайлович",伊戈尔·扎克洛耶夫
"Выгалова, Мария Олеговна",玛利亚·维加洛娃
"Тер-Мартиросян, Карен Аветикович",卡倫·特爾-馬爾季羅相
Игорь Владимирович Акинфеев,伊戈爾·阿金費耶夫
Роберт Иванович Рождественский,罗伯特·伊万诺维奇·罗日杰斯特文斯基
Сергей Евгеньевич Нарышкин,謝爾蓋·納雷什金
Дмитрий Сергеевич Кириченко,德米崔‧奇里琴科
Игорь Моисеев,伊戈尔·莫伊谢耶夫
"Севастьянова, Каролина Андреевна",卡罗琳娜·安德烈耶夫娜
Мария Кац,瑪莎·卡茲
"Перетятько, Ольга Александровна",欧尔嘉·贝芮蒂雅可
Светлана Тома,斯维特兰娜·托玛
Виктор Иванович Анпилов,维克多·安皮洛夫
Дмитрий Евгеньевич Рыболовлев,德米特里·雷博洛夫列夫
"Ресин, Владимир Иосифович",弗拉基米爾·約瑟夫維奇·略辛
"Альбиев, Ислам-Бека Саид-Цилимович",伊斯兰-贝卡·阿尔比耶夫
"Горчакова, Елена Егоровна",埃琳娜·戈爾恰科娃
"Сухина, Станислав Валерьевич",斯坦尼斯拉夫·蘇克伊納
Николай Михайлович Бударин,尼古拉·布达林
Анастасия Андреевна Мыскина,阿娜斯塔西亞·米斯基娜
Иван Фёдорович Добронравов,伊万·杜布朗拉沃夫
Геннадий Николаевич Рождественский,根纳季·尼古拉耶维奇·罗日杰斯特文斯基
"Леско, Анна Степановна",安娜·莱斯克
Вячеслав Александрович Малафеев,維亞切斯拉夫·馬拉費耶夫
Сергей Станишев,谢尔盖·斯塔尼舍夫
Евгений Викторович Плющенко,叶甫根尼·普鲁申科
Роман Николаевич Широков,羅曼·希羅科夫
"Холден, Джон Роберт",乔恩·罗伯特·霍尔登
Максим Викторович Сураев,马克西姆·苏拉耶夫
"Софроницкая, Вивиана Владимировна",薇薇安娜·索夫罗尼茨基
"Столбова, Ксения Андреевна",卡辛妮亞·斯托波娃
Василий Алексеевич Небензя,瓦西里·涅边贾
Александра Пивоварова,萨莎·皮沃瓦罗娃
Олимпиада Владимировна Иванова,奥林匹亚达·伊万诺娃
Ия Алексеевна Арепина,伊雅·阿瑞皮娜
Роман Станиславович Адамов,羅曼‧阿達莫夫
Роман Александрович Шишкин,舒斯坚
"Проскурин, Владимир Григорьевич",弗拉基米爾·格里戈里耶維奇·普羅斯庫林
"Образцов, Сергей Владимирович",謝爾蓋·奧布拉佐夫
"Крылов, Сергей Александрович",谢尔盖·克雷诺夫
Наталья Леонидовна Крачковская,娜塔莉亚·克拉奇科夫斯卡娅
Николай Владиславович Левников,尼古拉·列夫尼科夫
Сергей Михайлович Гриньков,谢尔盖·格林科夫
Ия Сергеевна Саввина,伊亚·萨温娜
Лев Петрович Питаевский,列夫·皮塔耶夫斯基
Вера Евгеньевна Базарова,薇拉·巴扎洛娃
Юрий Патрикеев,尤里·帕特里基夫
"Скворцова, Вероника Игоревна",維羅妮卡·斯科沃爾佐娃
Валерий Семёнович Клеймёнов,瓦列里·克莱米约诺夫
Павел Владимирович Буре,帕维尔·布雷
Бьянка,比安卡
Владимир Бортко,弗拉基米尔·博尔特科
Людмила Михайловна Савельева,盧德米拉·薩維利耶娃
Виктория Викторовна Толстоганова,维亚切斯拉夫·尼基福罗夫
"Федотов, Юрий Викторович",尤里·費多托夫
Ксения Лыкина,凯瑟尼亚·莱基娜
"Зайцев, Иван (волейболист)",伊萬·扎伊採夫
Юрий Николаевич Глазков,尤里·格拉兹科夫
Герман Греф,赫爾曼·奧斯卡羅維奇·格列夫
Владимир Венедиктович Ефимов,弗拉基米尔·叶菲莫夫
Сергей Яковлевич Никитин,谢尔盖·尼基丁
Динара Мубиновна Сафина,迪娜拉·薩芬娜
"Феррейра да Силва, Арикленес",艾利
Крэйвен-охотник,獵人克拉文
"Ткачёв, Александр Васильевич",亚历山大·瓦希里耶维奇·特卡切夫
"Лобков, Дмитрий Владимирович",德米特里·洛布科夫
"Митрохин, Василий Никитич",瓦西里·米特罗欣
"Панкратов, Денис Владимирович",丹尼斯·潘克拉托夫
Валерия Ильинична Новодворская,瓦勒利亞· 諾沃德沃斯加雅
"Ленёв, Александр Иванович",亚历山大·列涅夫
Алла Кудрявцева,阿拉·庫翠雅芙絲娃
"Лысцов, Виталий Александрович",拉斯杜夫
Алла Николаевна Баянова,阿拉·巴亚诺瓦
Мария Александровна Гессен,瑪莎·格森
"Троепольский, Гавриил Николаевич",加夫里伊尔·特罗耶波利斯基
"Зелин, Александр Николаевич",亚历山大·泽林
"Царукаева, Светлана Касполатовна",斯韦特兰娜·察鲁卡耶娃
"Евстюхина, Надежда Александровна",娜杰日达·叶夫斯秋欣娜
Татьяна Юрьевна Каширина,塔季扬娜·卡希里娜
