黄现璠,黄現璠
刘建超,劉建超
张思鹏,張思鵬
郎平,郎平
郭灝霆,郭灝霆
賴昌星,頼昌星
姚良,姚良
李晉熙·(羽毛球運動員),李晋熙
李纪恒,李紀恒
李鸿忠,李鴻忠
吕建刚,呂建剛
任成远,任成遠
孫嶺峰,孫嶺峰
端木傑,端木傑
储波,儲波
潘松,潘松
第十世班禅额尔德尼,パンチェン・ラマ10世
范长龙,范長龍
楼继伟,楼継偉
阎连科,閻連科
易建聯,易建聯
曹禺,曹禺
仇云波,ロビン・ショウ
郭沫若,郭沫若
释永信,釈永信
龙清泉,龍清泉
宁浩,寧浩
张含韵,張含韻
茅盾,茅盾
張衛健,ディッキー・チョン
王立军,王立軍
譚耀文,パトリック・タム
馬英林,馬英林
黄昆,黄昆
张耀坤,張耀坤
鄭希怡,ユミコ・チェン
贾平凹,賈平凹
葉子楣,エイミー・イップ
徐悲鸿,徐悲鴻
刘雯·(模特),リウ・ウェン
關之琳,關之琳
季羡林,季羨林
李麗珍,ロレッタ・リー
戴震,戴震
余杰,余杰
谭震林,譚震林
马馼,馬馼
陆川·(导演),陸川
曹乃谦,曹乃謙
蒋英·(歌唱家),蔣英・(声楽家)
三宝·(作曲家),三宝・(作曲家)
王霏霏,ワン・フェイフェイ
安又琪,安又琪
吐赫提·土亚兹,トフティ・トゥニヤズ
石柯·(足球运动员),石柯
熊黛林,リン・ホン
溥傑,愛新覚羅溥傑
赵涛·(演员),趙濤
梁思成,梁思成
孙政才,孫政才
王沪宁,王滬寧
窦唯,竇唯
陈中流,陳中流
吴玉章,呉玉章
董荷斌,ホーピン・タン
李洪志,李洪志
邓卓翔,鄧卓翔
王澍·(建筑师),王澍・(建築家)
钱学森,銭学森
马思聪,馬思聡
陈一冰,陳一氷
吴邦国,呉邦国
李小鹏·(体操运动员),李小鵬・(体操選手)
贺卫方,賀衛方
许莉,許莉
徐云丽,徐雲麗
汪晖,汪暉
犀利哥,程国栄
梁雨恩,キャシー・リョン
柴静,柴静
黄东萍,黄東萍
陈清晨,陳清晨
汤加丽,湯加麗
梁戈亮,梁戈亮
李振盛,李振盛
李学勤,李学勤
李平·(乒乓球运动员),李平・(卓球選手)
张业遂,張業遂
葉璇,ミシェル・イェ
李铁映,李鉄映
李作鹏,李作鵬
梁國雄,梁国雄
任正非,任正非
切阳什姐,切陽什姐
宋茜,ビクトリア・(中国の歌手)
费俊龙,費俊竜
刘烨·(演员),劉燁
譚詠麟,アラン・タム
張培萌,張培萌
陈寅恪,陳寅恪
馬鴻逵,馬鴻逵
马鸿宾,馬鴻賓
陈良宇,陳良宇
鄭則仕,ケント・チェン
张涵予,張涵予
賈曉晨,賈曉晨
劉亞男,劉亜男・(バレーボール)
张铁泉,ジャン・ティエカン
劉偉強,アンドリュー・ラウ
陈景润,陳景潤
杨绛,楊絳
萨镇冰,薩鎮氷
胡风,胡風
齐白石,斉白石
杨威,楊威
更登確吉尼瑪,ゲンドゥン・チューキ・ニマ
冰心,謝冰心
范志毅,范志毅
孙继海,孫継海
秦仁昌,秦仁昌
王晨·(政治人物),王晨・(政治家)
王丽红,王麗紅
張蓉芳,張蓉芳
陳光榮,陳光栄
柴松岳,柴松岳
柴泽民,柴沢民
郑万钧,鄭萬鈞
谷超豪,谷超豪
任弼时,任弼時
张志新,張志新
陈楠·(篮球运动员),陳楠
姜文,姜文
陳可辛,陳可辛
陈龙灿,陳龍燦
顾长卫,顧長衛
莫文蔚,カレン・モク
张春贤,張春賢
李小璐,リー・シャオルー
王乐泉,王楽泉
黄宾虹,黄賓虹
吳浩康,ディープ・ン
石俊,石俊
谌龙,諶龍
德穆楚克栋鲁普,デムチュクドンロブ
陈玘,陳玘
陈建功,陳建功
王刚·(1948年),王剛・(俳優)
關兆昌,チャールズ・クワン
常书鸿,常書鴻
王兵·(導演),王兵
吕林,呂林
趙子荃,趙子荃
應昌佑,チャールズ・イン
陳正祥·(地理學家),陳正祥
陈歌辛,陳歌辛
陳冠希,陳冠希
雷锋,雷鋒
余華,余華
倪柝声,ウォッチマン・ニー
李玉刚,李玉剛
冯小刚,馮小剛
包尔汉·沙希迪,ブルハン・シャヒディ
乌兰夫,ウランフ
杨尚昆,楊尚昆
耿惠昌,耿恵昌
郝海东,郝海東
贾庆林,賈慶林
謝霆鋒,ニコラス・ツェー
叶童,セシリア・イップ
柳超,柳超
刘爱玲,劉愛玲
張越紅,張越紅
陈德铭,陳徳銘
曾联松,曾聯松
卫立煌,衛立煌
刘霞·(柔道运动员),劉霞
张磊·(自行车运动员),張磊・(自転車選手)
陈用林,陳用林
陈中伟,陳中偉
许志永,許志永
陈静·(排球运动员),陳静
杨得志,楊得志
陳觀泰,チェン・カンタイ
陈玮·(棒球运动员),陳瑋
伊力哈木·土赫提,イリハム・トフティ
舒畅·(演员),舒暢
程天放,程天放
韩少功,韓少功
万玛才旦,ペマ・ツェテン
范冰冰,范冰冰
黃秋生,アンソニー・ウォン・(香港俳優)
乔冠华,喬冠華
彭德怀,彭徳懐
黄华·(1913年),黄華
罗保铭,羅保銘
宋祖英,宋祖英
秦光荣,秦光栄
胡德平,胡徳平
姚文元,姚文元
吴胜利,呉勝利
耿飚,耿飈
胡乔木,胡喬木
张爱萍,張愛萍
李继耐,李継耐
鄭伊健,イーキン・チェン
黄克诚,黄克誠
李嘉欣,ミッシェル・リー
冼东妹,冼東妹
马玉芹,馬玉芹
樊少皇,樊少皇
徐冰,徐氷
毛新宇,毛新宇
春丽,春麗
多吉才让,ドルジェ・ツェリン
李俊·(导演),李俊・(映画監督)
张抗抗,張抗抗
成仿吾,成仿吾
韓庚,韓庚
李岚清,李嵐清
马占山,馬占山
郑铮·(足球运动员),鄭錚
陳健星,陳健星
栗战书,栗戦書
傅作义,傅作義
張桃芳,張桃芳
李亚鹏,李亜鵬
王冶坪,王冶坪
陈道明,陳道明
楊采妮,チャーリー・ヤン
刘涛,劉涛
何冲,何衝
劉小慧,ウィニー・ラウ
李書福,李書福
张楠·(体操运动员),張楠
林子祥,ジョージ・ラム
黃耀明,黄耀明
王敏德,マイケル・ウォン・(俳優)
胡振中,胡振中
鈴木惠美,鈴木えみ
黃蘊瑤,黄蘊瑤
Joe·Junior,ジョー・ジュニア
姜建清,姜建清
谢文骏,謝文駿
黃玉郎,黄玉郎
洛国富,アロイージオ・ドス・サントス・ゴンサウヴェス
黄欣彤,黄欣彤
王力·(语言学家),王力・(言語学者)
吉尊白玛,ジェツン・ペマ
汪佳捷,汪佳捷
迟尚斌,遅尚斌
王燊超,王シン超
迟万春,遅万春
錢小豪,チン・シュウホウ
周采芹,ツァイ・チン
杨元庆,楊元慶
鲍春来,鮑春来
汤沐海,湯沐海
鮑喜順,鮑喜順
吕乐·(电影人),呂楽
徐子珊,ケイト・ツイ
陳德森,テディ・チャン
杨雄·(1953年),楊雄・(政治家)
吳良鏞,呉良鏞
楊千嬅,ミリアム・ヨン
熊欣欣,ホン・ヤンヤン
李盛霖,李盛霖
吳啟華,ローレンス・ウン
饶雪漫,饒雪漫
江玟玟,江玟玟
蔡慧康,蔡慧康
崔永元,崔永元
崔天凯,崔天凱
汪明荃,リザ・ウォン
盛宗亮,盛宗亮
羅文,ロマン・タム
彭丽媛,彭麗媛
金晶,金晶
娄烨,婁燁
梁文道,梁文道
田汉,田漢
李小双,李小双
马文革,馬文革
林正英,ラム・チェンイン
杜建时,杜建時
方力申,方力申
豐子愷,豊子愷
班禅额尔德尼·确吉杰布,ギェンツェン・ノルブ・(僧)
万延海,万延海
汪洋·(前全國政協主席),汪洋
天寶·(1917年),天宝
容国团,容国団
劉國正,劉国正
贺国强,賀国強
何鴻燊,スタンレー・ホー
隋菲菲,隋菲菲
傅鍾文,傅鍾文
湯漢,湯漢
芮迺伟,芮廼偉
杨智,楊智
徐星·(古生物学家),徐星
苏童,蘇童
段君毅,段君毅
聂远,聶遠
王洁,王潔
黄雪辰,黄雪辰
杨白冰,楊白冰
歐陽震華,ボビー・アウヨン
戴相龙,戴相竜
邓文迪,ウェンディ・デン
鍾楚紅,チェリー・チェン
佟大为,佟大為
马晓天,馬曉天
劉詩雯,劉詩雯
叶群,葉群
石挥,石揮
顾汝章,顧汝章
张首晟,張首晟
馮坤,馮坤
夏达,夏達
温利蓉,温利蓉
冯珊珊,馮珊珊
刘云飞·(1979年),劉雲飛
謝雪紅,謝雪紅
刘云樵,劉雲樵
董文华,董文華
丁伟·(围棋棋手),丁偉
董蘅毅,董蘅毅
李雪梅,李雪梅
馮曦妤,フィオナ・フォン
高瑜,高瑜
尚氣,シャン・チー
容祖兒,容祖児
谢飞,謝飛
朱启,朱啓
符廷贵,符延貴
阳焕宜,陽煥宜
關心妍,ジェイド・クァン
王超·(棒球運動員),王超・(野球)
徐海东,徐海東
胡荣华,胡栄華
许智宏,許智宏
孔庆东,孔慶東
鍾鎮濤,ケニー・ビー
羅家英,ロー・カーイン
何洁,何潔
蘇永康,ウィリアム・ソー
张娴·(排球运动员),張嫺
戴琳,戴琳
鄧永鏘,デヴィッド・タン
石天,ディーン・セキ
秦东亚,秦東亜
冯仁亮,馮仁亮
何維健,何維健
邓清明,鄧清明
溫兆倫,デリック・ワン
何智丽,小山ちれ
戚本禹,戚本禹
李玲·(铅球运动员),李玲・(砲丸投)
邵逸夫,邵逸夫
楊愛瑾,ミキ・ヨン
方励之,方励之
曾志偉,曾志偉
纪丹迪,ジャ・ジャ
孫明明,孫明明
周鶴洋,周鶴洋
彭羚,キャス・パン
徐丽丽,徐麗麗
粟裕,粟裕
陈飞·(柔道运动员),陳飛
周挺,周挺
朱波,朱波
张之江,張之江
諸葛攀,諸葛攀
诸葛珪,諸葛珪
孙庆梅,孫慶梅
阿英,阿英
刘玉香,劉玉香
杜庆华,杜慶華
董学升,董学升
杜聿明,杜聿明
段义和,段義和
古华,古華
嵯峨浩,嵯峨浩
陳琳·(歌手),陳琳・(歌手)
孔令輝,孔令輝
王安憶,王安憶
易中天,易中天
卜濤,卜濤
史铁生,史鉄生
烏拉熙春,愛新覚羅烏拉熙春
孙楠,孫楠
王千源事件,王千源事件
张磊·(排球运动员),張磊・(バレーボール)
徐根宝,徐根宝
丁光训,丁光訓
靖志远,靖志遠
马健·(运动员),馬健
八零後,80後
方大同,方大同
田野·(滑雪运动员),田野・(スキー選手)
習遠平,習遠平
刘健·(足球运动员),劉健
王永珀,王永珀
于洋·(1989年),于洋・(1989年生のサッカー選手)
段永平,段永平
劉鎮偉,ジェフ・ラウ
陳屈,チェン・チュー
周伯华,周伯華
宋容慧,宋容慧
朴成,朴成
梦鸽,夢鴿
李双江,李双江
铁凝,鉄凝
杨昊·(排球运动员),楊昊
劉柏年,劉柏年
端木正和,端木正和
孙国强·(棒球运动员),孫国強
何超儀,ジョシー・ホー
侯凤连,侯鳳連
马晓旭,馬暁旭
王洪文,王洪文
龔如心,龔如心
谷德昭,ヴィンセント・コク
荣昊,栄昊
胡綜,胡綜
伍家朗,伍家朗
李洛能,李洛能
江若琳,エレイン・コン
许银川,許銀川
帖雅娜,帖雅娜
释虚云,虚雲
刘延东,劉延東
王琳·(羽毛球运动员),王琳・(バドミントン)
谷開來,谷開来
姚滨,姚濱
汪洋·(足球运动员),汪洋・(サッカー選手)
嚴歌苓,厳歌苓
张民,張民
牛劍鋒,牛剣鋒
胡杏兒,ミョーリー・ウー
董明珠,董明珠
任法融,任法融
孟克巴特尔,巴特爾
曹菊如,曹菊如
吕培俭,呂培倹
陈希愈,陳希愈
黃炳耀·(編劇),黄炳耀
南漢宸,南漢宸
李葆华,李葆華
胡立教,胡立教
羅子溢,ヒム・ロー
吳耀漢,リチャード・ン
二月河,二月河
金怡濂,金怡濂
李子雄,レイ・チーホン
林二汶,Lam・Yee・Man
王歌慧,エミリー・ウォン
宋丹·(田径运动员),宋丹
卢兰,盧蘭
隋文静,隋文静
楊雪霏,スーフェイ・ヤン
葉詠詩,葉詠詩
滕海滨,滕海浜
王喜,王喜・(俳優)
謝天華,マイケル・ツェー
毛岸青,毛岸青
王晓东·(科学家),王暁東・(生化学者)
黄雅琼,黄雅瓊
鲍彤,鮑彤
许昕,許昕
韓雯雯,ハン・ウェンウェン
夏宝龙,夏宝竜
丰云,豊雲
陳穎妍,アニタ・チャン
李帅·(1982年),李帥・(サッカー選手)
王国生·(1956年),王国生・(政治家)
孙俪,孫儷
李淑芳,李淑芳
房峰辉,房峰輝
范廷钰,范廷鈺
冯俊彦,馮俊彦
馮紹峰,馮紹峰
冯巩,馮鞏
郭声琨,郭声琨
呂方,デイビッド・ロイ
于大宝,于大宝
魏建华,魏建華
马龙·(乒乓球运动员),馬龍
袁和平,ユエン・ウーピン
宋秀岩,宋秀岩
李翊云,イーユン・リー
贾樟柯,賈樟柯
李玮锋,李瑋峰
梁光烈,梁光烈
孙葆洁,孫葆潔
格非,格非
郗恩庭,郗恩庭
吕祖善,呂祖善
蔡国强,蔡国強
吴文俊,呉文俊
袁纯清,袁純清
唐豪·(1896年),唐豪
王勇·(1955年12月),王勇・(国務委員)
周立波·(作家),周立波
毛舜筠,テレサ・モウ
孫維世,孫維世
鍾漢良,鍾漢良
吴法宪,呉法憲
张佳祺,張佳祺
庄晓岩,荘暁岩
张志军·(1953年),張志軍
李强·(1959年),李強・(政治家)
屠呦呦,屠呦呦
聂元梓,聶元梓
姜波·(中长跑运动员),姜波
董艳梅,董艶梅
景海鹏,景海鵬
刘欢,劉歓
方力钧,方力鈞
袁红冰,袁紅氷
田刚,田剛
艾尔肯·阿布甫泰肯,エルキン・アルプテキン
回良玉,回良玉
谢伏瞻,謝伏瞻
吴学谦,呉学謙
韩红,韓紅
傅铁山,傅鉄山
李肇星,李肇星
释一诚,一誠・(僧)
俞斌,兪斌
聂卫平,聶衛平
马晓春,馬暁春
鹿心社,鹿心社
巴音朝鲁,巴音朝魯
武磊,武磊
黄金荣,黄金栄
贺敬之,賀敬之
傅园慧,傅園慧
侯外庐,侯外廬
高冠吾,高冠吾
樂基兒,ゲイリ・ライ
高崇博,高崇博
唐家璇,唐家璇
白靈·(演員),バイ・リン
李铁,李鉄
第十七世噶玛巴·伍金赤列多吉,カルマパ17世
周勵淇,ニキ・チョウ
王菲,王菲
唐功红,唐功紅
鄔君梅,ヴィヴィアン・ウー
爾冬陞,イー・トンシン
陈怡·(作曲家),陳怡
吴立红,呉立紅
启功,啓功
白玛赤林,ペマ・ティンレー
森美,サミー・リョン
宗磊,宗磊
沈祥福,沈祥福
董必武,董必武
曾诚,曾誠
徐小鳳,ポーラ・チョイ
莫科,莫科
張可欣,張可欣
周保中,周保中
陈敏尔,陳敏爾
苗立杰,苗立杰
周培源,周培源
谢希德,謝希徳
杨勇·(上将),楊勇・(軍人)
杨程,楊程
高一涵,高一涵
葛洪升,葛洪升
高晓松,高暁松
江亢虎,江亢虎
鍾欣潼,ジリアン・チョン
盛世才,盛世才
王羽佳,ユジャ・ワン
劳丽诗,労麗詩
林徽因,林徽因
陳日君,陳日君
高智晟,高智晟
程抱一,フランソワ・チェン
小悦悦事件,中国仏山市女児ひき逃げ事件
于荣光,于栄光
楊秀麗,楊秀麗
許冠英,リッキー・ホイ
费孝通,費孝通
李明·(1971年),李明・(1971年生のサッカー選手)
杨晶,楊晶
孫志峰,孫志峰
葛优,葛優
柯庆施,柯慶施
许岩,許岩
庄小威,荘小威
耿晓锋,耿暁鋒
賈英華,賈英華
杨谨伦,ジーン・ルエン・ヤン
涂阿玉,涂阿玉
古灵益,古霊益
关牧村,関牧村
顾秉林,顧秉林
关雪婷,関雪婷
關麟徵,関麟徴
韩寒,韓寒
刘旺,劉旺
張靜初,張静初
彭真,彭真
李锐·(1917年),李鋭
傅海峰,傅海峰
聂海胜,聶海勝
彭冲,彭沖
穆铁柱,穆鉄柱
叶莉,葉莉
万里,万里
袁伟民,袁偉民
迟浩田,遅浩田
孙家栋,孫家棟
慧文,慧文
小肥,テレンス・チョイ
朱玲·(排球运动员),朱玲
田纪云,田紀雲
鍾舒漫,シャーマン・チョン
董洁,董潔
湯怡,湯怡
申思,申思
孫玥,孫玥
周慧敏,ビビアン・チョウ
王东明,王東明
黎海榮,黎海栄
彭浩翔,パン・ホーチョン
洛桑江村,ロサン・ギェンツェン
麥兆輝,アラン・マック
孫達志,アンドレアス・シュッツ
易纲,易綱
郭超人,郭超人
譚小環,ハリナ・タム
韩三明,韓三明
韩松·(作家),韓松
龚品梅,龔品梅
邓楠,鄧楠
叶剑英,葉剣英
黄菊,黄菊
苏聪·(作曲家),蘇聡
宋时轮,宋時輪
令计划,令計画
孟佳,モン・ジア
周生賢,周生賢
杜威·(足球运动员),杜威
张晓刚·(画家),張曉剛
周济,周済
巴燕,巴燕
王露露,ルル・ワン
小沈阳,小沈陽
袁雪芬,袁雪芬
汪嵩,汪嵩
滕麗名,ジョイス・タン
白洁·(足球运动员),白潔
白克明,白克明
鲍观澄,鮑観澄
戴思杰,ダイ・シージエ
李石曾,李石曽
巴力·买买提依力,巴力
毕津浩,畢津浩
安琦,安琦
毛岸英,毛岸英
邵佳一,邵佳一
徐晓飞·(足球运动员),徐暁飛
刘永清,劉永清
周覓,チョウミ
井柏然,井柏然
张杰·(中国大陆歌手),張傑
程永华,程永華
冯潇霆,馮瀟霆
吐尔贡·阿力玛斯,トルグン・アルマス
余胤良,リーランド・イー
韩先楚,韓先楚
馮德倫,スティーヴン・フォン
傅全有,傅全有
马洪,馬洪
蔡武,蔡武
邓以明,鄧以明
江村罗布,ギェンツェン・ノルブ・(政治家)
陆昊,陸昊
張昊辰,チャン・ハオチェン
郝蕾,郝蕾
