Douglas Adams,더글러스 애덤스
Paul Gascoigne,폴 개스코인
Humphrey Tonkin,험프리 통킨
Bertrand Russell,버트런드 러셀
Rudyard Kipling,러디어드 키플링
Faye White,페이 화이트
John Farnham,존 파넘
Toni Duggan,토니 더건
Marlon Roudette,말런 루뎃
Angus Young,앵거스 영
Jack the Ripper,잭 더 리퍼
Adele,아델
Charles III,찰스 3세
Salman Rushdie,살만 루슈디
James Hilton (novelist),제임스 힐턴
Sue Black (computer scientist),수 블랙
Audrey Hepburn,오드리 헵번
Mark Millar,마크 밀러 (작가)
Matthew Vaughn,매슈 본 (영화 감독)
Kylie Minogue,카일리 미노그
Paul McCartney,폴 매카트니
William Auld,윌리엄 올드
Daniel Tammet,대니얼 태멋
Chris Patten,크리스 패튼
George Harrison,조지 해리슨
Ringo Starr,링고 스타
Cozy Powell,코지 파월
Ricky Gervais,리키 저베이스
Rowan Atkinson,로언 앳킨슨
Slash (musician),슬래시 (음악가)
Michael Craig-Martin,마이클 크레이그 마틴
Lyndsey Marshal,린지 마셜
J. K. Rowling,J. K. 롤링
Eric Hobsbawm,에릭 홉스봄
D. H. Lawrence,D. H. 로런스
William Golding,윌리엄 골딩
Mike Oldfield,마이크 올드필드
Frances Fisher,프랜시스 피셔
Brian Cox (actor),브라이언 콕스 (배우)
Robert Bolt,로버트 볼트
Eric Burdon,에릭 버든
Marcus Mumford,마커스 멈퍼드
Agatha Christie,애거사 크리스티
Elton John,엘튼 존
Jim Clark,짐 클라크
John Surtees,존 서티스
Uri Geller,유리 겔러
Fit Finlay,데이브 핀레이
Alex Ferguson,알렉스 퍼거슨
Keith Campbell (biologist),키스 캠벨 (생물학자)
Richard Dawkins,리처드 도킨스
Jackie Stewart,재키 스튜어트
Roald Dahl,로알드 달
Acker Bilk,애커 빌크
Amy Johnson,에이미 존슨
Freddie Mercury,프레디 머큐리
Jack Hawkins,잭 호킨스
Amy Macdonald,에이미 맥도널드
Justin Welby,저스틴 웰비
Gaël Bigirimana,가엘 비지리마나
Steven Caulker,스티븐 코커
Christopher Nolan,크리스토퍼 놀란
Robert Pattinson,로버트 패틴슨
"William, Prince of Wales",웨일스 공 윌리엄
Arthur Conan Doyle,아서 코난 도일
Orlando Bloom,올랜도 블룸
Paul Scholes,폴 스콜스
Ryan Fraser,라이언 프레이저
V. S. Naipaul,V. S. 나이폴
Jack Wilshere,잭 윌셔
Gordon Ramsay,고든 램지
Brian May,브라이언 메이
Graham Hill,그레이엄 힐
W. D. Hamilton,윌리엄 도널드 해밀턴
John Barrowman,존 배로먼
Roger Taylor (Queen drummer),로저 테일러
John Cleese,존 클리즈
Graham Chapman,그레이엄 채프먼
Amy Winehouse,에이미 와인하우스
Terry Gilliam,테리 길리엄
Alan Turing,앨런 튜링
J. J. Thomson,조지프 존 톰슨
Charlotte Lewis (Lost),샬럿 루이스 (로스트)
Daniel Faraday,대니얼 패러데이
Charlie Pace,찰리 페이스
Charles Widmore,찰스 위드모어
Sean Connery,숀 코너리
Daniel Radcliffe,다니엘 래드클리프
Rebecca Adlington,리베카 애들링턴
Calum Chambers,캘럼 체임버스
Daphne Oram,다프네 오람
Christian Bale,크리스찬 베일
George Orwell,조지 오웰
Pete Townshend,피트 타운젠드
Henry McMahon,헨리 맥마흔
Bernard Katz,버나드 카츠
"Harold Alexander, 1st Earl Alexander of Tunis",제1대 알렉산더오브튀니스 백작 해럴드 알렉산더
Alexander Fleming,알렉산더 플레밍
Terry Pratchett,테리 프래쳇
Tinie Tempah,타이니 템파
Eddie Marsan,에디 마산
Shaun Maloney,숀 말로니
Daniel Craig,대니얼 크레이그
Archer Martin,아처 마틴
Richard Laurence Millington Synge,리처드 싱
Rowan Williams,로완 윌리암스
Robert Robinson (chemist),로버트 로빈슨
John Cale,존 케일
John McAfee,존 매커피
Aaron Taylor-Johnson,에런 테일러존슨
Myleene Klass,마일린 클라스
Peter Brook,피터 브룩
Jamie Carragher,제이미 캐러거
David Bowie,데이비드 보위
Hugh Laurie,휴 로리
Christopher Hitchens,크리스토퍼 히친스
Adam Morgan (English footballer),애덤 모건
Jessica Ennis-Hill,제시카 에니스
T. S. Eliot,T. S. 엘리엇
Paul Johnson (writer),폴 존슨 (작가)
Clive Dunn,클라이브 던
Denis Thatcher,데니스 대처
Cyril N. Hinshelwood,시릴 노먼 힌셜우드
Emma Watson,엠마 왓슨
Arthur C. Clarke,아서 C. 클라크
Graeme Sharp,그레엄 샤프
"Lucy Griffiths (actress, born 1986)",루시 그리피스
"Andrew Cunningham, 1st Viscount Cunningham of Hyndhope",앤드루 커닝엄
Desmond Hume,데즈먼드 흄
Zaha Hadid,자하 하디드
Dorothea Lambert Chambers,도로시 더글라스 램버트 챔버스
Alan Cox (computer programmer),앨런 콕스
Dawn French,돈 프렌치
Bat Ye'or,밧 예올
Darren Fletcher,대런 플레처
Siobhán Donaghy,시오반 도나히
Alfred Hitchcock,앨프리드 히치콕
Toby Stephens,토비 스티븐스
Claire Forlani,클레어 폴러니
Ed Sheeran,에드 시런
Paul Dirac,폴 디랙
Jonathan Ross,조너선 로스
Richard Attenborough,리처드 애튼버러
John Chadwick,존 채드윅
John Madden (director),존 매든 (영화 감독)
Nicolas Roeg,니콜라스 로그
Mel B,멜러니 브라운
Barbara Cartland,바버라 카틀랜드
Maggie Smith,매기 스미스
Lisa Stansfield,리사 스탠스필드
Margaret Thatcher,마거릿 대처
Catherine Zeta-Jones,캐서린 지타존스
Tony Richardson,토니 리처드슨
Tim Curry,팀 커리
Gary Lineker,게리 리네커
Matthew Pinsent,매슈 핀선트
Aleister Crowley,알리스터 크롤리
Sienna Guillory,시에나 길러리
Kelly Reilly,켈리 라일리
Petula Clark,페툴라 클라크
Rosalind Franklin,로절린드 프랭클린
Dorothy Hodgkin,도러시 호지킨
Robbie Williams,로비 윌리엄스
Sid Vicious,시드 비셔스
Jonny Lee Miller,조니 리 밀러
Teddy Sinclair,나탈리아 킬스
Lily Loveless,릴리 러브리스
Keeley Hazell,킬리 하젤
Parminder Nagra,파민더 나그라
Alexa Chung,알렉사 청
Charles Laughton,찰스 로턴
Tom Pryce,톰 프라이스 (자동차 경주 선수)
David Coulthard,데이비드 콜사드
Eric Clapton,에릭 클랩튼
Laurence Olivier,로런스 올리비에
Marianne Faithfull,메리앤 페이스풀
David Livingstone,데이비드 리빙스턴
Ken Russell,켄 러셀
David Lean,데이비드 린
Stephen Frears,스티븐 프리어스
Winston Churchill,윈스턴 처칠
Michael Powell,마이클 파월
Ken Loach,켄 로치
C. S. Lewis,C. S. 루이스
James Prescott Joule,제임스 프레스콧 줄
Christiane Amanpour,크리스티안 아만푸어
Florence Green,플로렌스 그린
Peter Ustinov,피터 유스티노프
Władysław Raczkiewicz,브와디스와프 라치키에비치
Imogen Poots,이머전 푸츠
Ridley Scott,리들리 스콧
Ron Dennis,론 데니스
Michael Collins (Irish leader),마이클 콜린스 (정치인)
A. Edward Sutherland,A. 에드워드 서덜랜드
A. H. Albut,앨프리드 앨버트
Mimi Smith,미미 스미스
Anthony Horowitz,앤서니 호로비츠
Jack Greenwell,잭 그린웰
Jane Horrocks,제인 호록스
Amanda Holden,어맨다 홀든
Sally Gunnell,샐리 거널
Barbara West,바버라 웨스트
Anita Roddick,어니타 로딕
John Maynard Keynes,존 메이너드 케인스
Ludwig Wittgenstein,루트비히 비트겐슈타인
"Katharine, Duchess of Kent",켄트 공작부인 캐서린
John Boorman,존 부어먼
Rupert Wyatt,루퍼트 와이엇
Edith Evans,이디스 에번스
Laura Marling,로라 말링
Peter Greenaway,피터 그리너웨이
Kenneth Branagh,케네스 브래나
Diana Wynne Jones,다이애나 윈 존스
Conor Maynard,코너 메이너드
John Schlesinger,존 슐레진저
"Sarah, Duchess of York",요크 공작부인 세라
Syd Barrett,시드 배럿
Ben Kingsley,벤 킹즐리
Susan Cooper,수전 쿠퍼
Natalie Dormer,내털리 도머
Elisabeth Schwarzkopf,엘리자베트 슈바르츠코프
Hans Krebs (biochemist),핸스 애돌프 크레브스
Salman Khan,살만 칸
Katrina Kaif,카트리나 카이프
Tony Blair,토니 블레어
John Major,존 메이저
Keeley Hawes,킬리 호이스
Hannah Spearritt,해나 스피어릿
Richard Rogers,리처드 로저스 (건축가)
Kevin Ayers,케빈 에이어스
Christian Horner,크리스천 호너
Anita Brookner,애니타 브루크너
Phyllida Lloyd,필리다 로이드
Adrian Newey,에이드리언 뉴이
Lily Allen,릴리 앨런
Katie Price,케이티 프라이스
Max Born,막스 보른
Conrad Veidt,콘라트 파이트
Mike Coughlan,마이크 코플란
Noah Huntley,노아 헌틀리
Siân Phillips,샨 필립스
Kate Nash,케이트 내시
Helen Sharman,헬렌 샤먼
Hayley Mills,헤일리 밀스
Alison Moyet,앨리슨 모예
Polly Walker,폴리 워커
Ashley Jensen,애슐리 젠슨
Sarah Waters,세라 워터스
Jade Ewen,제이드 유언
Linda Martin,린다 마틴
Skin (musician),스킨 (음악가)
Christina Pickles,크리스티나 피클스
Carol Cleveland,캐럴 클리블랜드
William Hague,윌리엄 헤이그
Marie of Romania,에든버러의 마리아
Liam Neeson,리암 니슨
James Callaghan,제임스 캘러헌
Hans Eysenck,한스 아이젠크
Ernst Chain,언스트 체인
Caroline Lucas,캐럴라인 루커스
Lewis Hamilton,루이스 해밀턴
Damon Hill,데이먼 힐
Jenson Button,젠슨 버튼
Dana Wynter,데이나 윈터
Kelly Smith,켈리 스미스
Anna Friel,애나 프리얼
Ernest Torrence,어니스트 토런스
Richard Kruse,리처드 크루즈
Kenney Jones,케니 존스
George VI,조지 6세
Leslie Orgel,레슬리 오겔
Mitsuko Uchida,우치다 미쓰코
Fiona May,피오나 마이
Minette Walters,미넷 월터스
Elizabeth II,엘리자베스 2세
Diana Dors,다이애나 도스
Andros Townsend,앤드로스 타운센드
Samantha Bond,서맨사 본드
Simon Pegg,사이먼 페그
Jonny Greenwood,조니 그린우드
Kyle Walker,카일 워커
Sadie Frost,세이디 프로스트
Christine McVie,크리스틴 맥비
Brian Friel,브라이언 프리엘
Phil Bardsley,필 바즐리
Andy Gibb,앤디 깁
Steve Ovett,스티브 오벳
Severus Snape,세베루스 스네이프
James Mirrlees,제임스 멀리스
Kerry Katona,케리 카토나
Paloma Faith,팔로마 페이스
Hermione Granger,헤르미온느 그레인저
Ron Weasley,론 위즐리
Michael Dawson (footballer),마이클 도슨 (축구 선수)
"Diana, Princess of Wales",웨일스 공비 다이애나
Sophie Turner,소피 터너 (배우)
Andy Murray,앤디 머리
Peter Gilmore,피터 길모어
Karen Dotrice,캐런 도트리스
Megan Prescott,메건 프레스콧
Veronica Cartwright,베로니카 카트라이트
Andre Wisdom,앤드리 위즈덤
Nico Yennaris,리커 (축구 선수)
Angus Wilson,앵거스 윌슨
E. L. James,E. L. 제임스
Adam Lallana,애덤 럴라나
Alek Wek,알렉 웩
Jane Leeves,제인 리브스
Brian Aldiss,브라이언 올디스
Reginald Innes Pocock,레지널드 이네스 포콕
Allan Holdsworth,앨런 홀즈워스
Dennis Nilsen,데니스 닐슨
Sam Brown (singer),샘 브라운 (가수)
John Cockcroft,존 콕크로프트
James McClean,제임스 매클레인
Reto Rossetti,레토 로세티
M. Stanley Whittingham,스탠리 휘팅엄
Jill Ireland,질 아일랜드
Aaron Lennon,에런 레넌
Lily Donaldson,릴리 도널드슨
Adam Clayton,애덤 클레이턴
David Beckham,데이비드 베컴
Ryan Giggs,라이언 긱스
"Catherine, Princess of Wales",웨일스 공비 캐서린
Peter Gabriel,피터 가브리엘
Rupert Sanders,루퍼트 샌더스
Humza Yousaf,훔자 유사프
Williamina Fleming,윌리어미나 플레밍
Roddy McDowall,로디 맥다월
Nigel Mansell,나이절 만셀
Sophie Okonedo,소피 오코네도
Evelyn Glennie,에벌린 글레니
Gemma Atkinson,제마 앳킨슨
James H. Wilkinson,제임스 H. 윌킨슨
Rudolf Peierls,루돌프 파이얼스
Maurice Wilkes,모리스 윌크스
Anthony Hopkins,앤서니 홉킨스
Aubrey de Grey,오브리 드 그레이
Adrian Paul,에이드리언 폴
Bessie Love,베시 러브
Philippa Gregory,필리파 그레고리
May Whitty,메이 휘티
Lord Voldemort,볼드모트
Jaime Murray,제이미 머리 (배우)
Christine Keeler,크리스틴 킬러
Billy Idol,빌리 아이돌
Stan Laurel,스탠 로럴
Chris de Burgh,크리스 드 버그
Luke Moore,루크 무어
Rachel Stevens,레이철 스티븐스
"Birgitte, Duchess of Gloucester",글로스터 공작부인 비르기트
Stephen Warnock,스티븐 워녹
Jenny Frost,제니 프로스트
Sandy Powell (costume designer),샌디 파월
Andrew Stunell,앤드루 스터넬
Daniel Boone (singer),대니얼 분 (가수)
Heinz London,하인츠 론돈
Paul Reuter,파울 율리우스 로이터
Adam Johnson (footballer),애덤 존슨 (축구 선수)
Craig Gordon,크레이그 고든
Emily Bergl,에밀리 버글
Marc Bolan,마크 볼란
Rubeus Hagrid,루베우스 해그리드
Ann Jellicoe,앤 젤리코
Rebecca Pidgeon,리베카 피전
Henry Hallett Dale,헨리 핼릿 데일
Nathan Redmond,네이선 레드먼드
Birdy (singer),버디 (가수)
Marie Rambert,마리 램버트
Ida Haendel,이다 헨델
Kathleen Ferrier,캐슬린 페리어
Gregg Sulkin,그레그 설킨
Andrea Riseborough,앤드리아 라이즈버러
Janet Baker,자넷 베이커
Mary Bell,메리 벨
Tracey Emin,트레이시 에민
Eliza Bennett,일라이자 베넷
Raymond McCreesh,레이몬드 맥크리시
Jo Swinson,조 스윈슨
Lucie Silvas,루시 실바스
Amelle Berrabah,아멜 베레바
Michael Devine (hunger striker),마이클 데바인
James Morrison (footballer),제임스 모리슨 (축구 선수)
MyAnna Buring,뮈안나 부링
John Paul Getty Jr.,존 폴 게티 주니어
Percy John Daniell,퍼시 존 다니엘
Craig Ferguson,크레이그 퍼거슨
Peter Sellers,피터 셀러스
Eugene Simon,유진 사이먼
C. F. Powell,세실 프랭크 파월
Martin Fowler (software engineer),마틴 파울러
Tom Conti,톰 콘티
Ellen Terry,엘런 테리
Ann Packer,앤 패커
Robert Stephenson,로버트 스티븐슨
Gary Barlow,게리 발로
Nicholas Rowe (actor),니컬러스 로
Elizabeth Hurley,엘리자베스 헐리
Lady Gabriella Kingston,레이디 가브리엘라 킹스턴
Gerry Adams,게리 애덤스
Irvine Welsh,어빈 웰시
Norbert Elias,노르베르트 엘리아스
David Gilmour,데이비드 길모어
John Flamsteed,존 플램스티드
Lynn Fontanne,린 폰탠
Lindsay Duncan,린지 덩컨
Ingrid Pitt,잉그리드 피트
Harry Melling (actor),해리 멜링
Tom Courtenay,톰 코트니
Cleo Laine,클레오 레인
Victor McLaglen,빅터 매클래글렌
Jeremy Corbyn,제러미 코빈
Karl Mannheim,카를 만하임
Erich Mendelsohn,에리히 멘델손
W. H. Auden,W. H. 오든
Little Boots,리틀 부츠
A. J. Cronin,A. J. 크로닌
Samantha Womack,서맨사 워맥
Liz Smith (actress),리즈 스미스
Sylvia Syms,실비아 사임스
E. F. Schumacher,에른스트 프리드리히 슈마허
William Joyce,윌리엄 조이스
Nigel Martyn,나이절 마틴
Margaret Murray,마거릿 머레이
Madeleine Carroll,매들린 캐럴 (1906년)
Archie Panjabi,아치 판자비
Gabrielle (singer),개브리엘 (가수)
Pauline Collins,폴린 콜린스
Anastasia Griffith,아나스타샤 그리피스
Arthur Koestler,아서 쾨슬러
Anna Freud,아나 프로이트
Max Perutz,맥스 퍼루츠
McDonald Bailey,맥도널드 베일리
Ralf Dahrendorf,랄프 다렌도르프
Mary of Teck,테크의 메리
Christopher Lee,크리스토퍼 리
Emma Thomas,에마 토머스
Draco Malfoy,드레이코 말포이
Edward Elgar,에드워드 엘가
Sarah Cracknell,세라 크랙넬
Hermione Gingold,허마이어니 깅골드
Paul Bettany,폴 베터니
Tulisa,털리사 콘토스타블로스
Margaret Leighton,마거릿 레이턴
Liam Ridgewell,리엄 리지웰
Steve McManaman,스티브 맥매너먼
Abraham Sofaer,아브라함 소페어
Juliet Aubrey,줄리엣 오브리
Freya Stark,프레야 스타크
David Langton,데이비드 랭턴
Cecilia Colledge,세실리아 콜레지
Siouxsie Sioux,수지 수
"Marie-Chantal, Crown Princess of Greece",그리스 왕세자빈 마리샹탈
Terence Stamp,테런스 스탬프
Andrew Sachs,앤드루 작스
Julian Huxley,줄리언 헉슬리
Kate Beckinsale,케이트 베킨세일
Alicia Markova,얼리샤 마코바
Geoffrey Howe,제프리 하우
Denis Healey,데니스 힐리
John Profumo,존 프러퓨모
"Charles Spencer, 9th Earl Spencer",제9대 스펜서 백작 찰스 스펜서
Martine McCutcheon,마틴 매커친
Marin Alsop,마린 올솝
Kimberley Nixon,킴벌리 닉슨
Steve Bruce,스티브 브루스
Gary Numan,게리 누만
Daniel Chatto,대니얼 차토
Ernst Gombrich,에른스트 곰브리치
Princess Theodora of Greece and Denmark (born 1983),그리스와 덴마크의 공주 테오도라 (1983년)
Walter Scott,월터 스콧
Emma Goldman,엠마 골드만
Elias Canetti,엘리아스 카네티
Peter Crouch,피터 크라우치
Roger Waters,로저 워터스
Peter Shilton,피터 실턴
Boris Johnson,보리스 존슨
Peter Mansfield,피터 맨스필드
A. J. Ayer,A. J. 에이어
Vince Cable,빈스 케이블
"Archibald Primrose, 5th Earl of Rosebery",제5대 로즈베리 백작 아치볼드 프림로즈
Peter Finch,피터 핀치
Henry Ian Cusick,헨리 이언 큐직
Damien Hirst,데이미언 허스트
Dev Patel,데브 파텔
Benedict Cumberbatch,베네딕트 컴버배치
Andrew Lloyd Webber,앤드루 로이드 웨버
Julianne Moore,줄리앤 무어
"Max Aitken, 1st Baron Beaverbrook",제1대 비버브룩 남작 맥스 에이트켄
George Galloway,조지 갤러웨이
Ernest Bevin,어니스트 베빈
John Smith (Labour Party leader),존 스미스 (노동당 대표)
Aneurin Barnard,어나이린 바너드
M (James Bond),M (제임스 본드)
John Prescott,존 프레스콧
Oswald Mosley,오즈월드 모즐리
"Michael Keane (footballer, born 1993)",마이클 킨
Ross Turnbull,로스 턴불
Adewale Akinnuoye-Agbaje,애디왈레이 애키누에이아그바제이
Agyness Deyn,애기니스 딘
Brian Josephson,브라이언 데이비드 조지프슨
Stephen Hendry,스티븐 헨드리
Tom Stoppard,톰 스토파드
Jay Sean,제이 숀
Karl Popper,칼 포퍼
Rudolf Abel,루돌프 아벨
Ray Milland,레이 밀랜드
F. F. Bruce,프레드릭 페비 브루스
Lennox Lewis,레녹스 루이스
John Higgins,존 히긴스 (스누커 선수)
G. E. Moore,G. E. 무어
Julian Barnes,줄리언 반스
"Sidney Webb, 1st Baron Passfield",제1대 패스필드 남작 시드니 웹
John Templeton,존 템플턴
Richard Armitage (actor),리처드 아미티지 (배우)
Ronald Colman,로널드 콜먼
Frederick Forsyth,프레더릭 포사이스
Rodney Robert Porter,로드니 로버트 포터
Tom Hiddleston,톰 히들스턴
Ioan Gruffudd,요안 그리피드
Robbie Coltrane,로비 콜트레인
Aldous Huxley,올더스 헉슬리
Tom Hooper,톰 후퍼
Brian Johnson,브라이언 존슨
Jools Holland,줄스 홀랜드
Alfred Enoch,앨프리드 이넉
Alfred Molina,앨프리드 몰리나
Chris Eagles,크리스 이글스
Imre Lakatos,러커토시 임레
Marty Feldman,마티 펠드먼
Tony Hadley,토니 해들리
George Formby,조지 폼비
J. M. Barrie,J. M. 배리
David Niven,데이비드 니븐
Rex Harrison,렉스 해리슨
James Chadwick,제임스 채드윅
"Prince Philip, Duke of Edinburgh",에든버러 공작 필립
"Princess Alice, Duchess of Gloucester",글로스터 공작부인 앨리스
Paul Lambert,폴 램버트
John Gurdon,존 거든
Julie Christie,줄리 크리스티
"Michael Martin, Baron Martin of Springburn",마이클 마틴 (영국의 정치인)
Damien Johnson,데이미언 존슨
Ryan Shawcross,라이언 쇼크로스
John Ruddy,존 러디
Nicky Butt,니키 버트
Henry Cavill,헨리 카빌
Sam Worthington,샘 워딩턴
Christopher Tolkien,크리스토퍼 톨킨
Simon Tolkien,사이먼 톨킨
Edith Tolkien,이디스 톨킨
Glenda Jackson,글렌다 잭슨
George Arliss,조지 알리스
Gilbert Taylor,길버트 테일러
Jessica Tandy,제시카 탠디
Nicholas Lash,니컬러스 래시
Scott Carson,스콧 카슨
Alex Pettyfer,알렉스 페티퍼
Chris Huhne,크리스 헌
George Osborne,조지 오스본
Jeannette Altwegg,저넷 알트웨그
Greer Garson,그리어 가슨
Shefali Chowdhury,셰펄리 초두리
Eliza Doolittle (singer),일라이자 둘리틀
Ryan Bertrand,라이언 버트런드
Kim Philby,킴 필비
"Luke Young (footballer, born 1979)",루크 영 (축구 선수)
John Galsworthy,존 골즈워디
Ian Fleming,이언 플레밍
Lee Ryan,리 라이언
Cliff Richard,클리프 리처드
Jermaine Pennant,저메인 페넌트
George Sanders,조지 샌더스
Cynthia Lennon,신시아 레논
William Morris,윌리엄 모리스
Charles Kennedy,찰스 케네디
Jonathan Woodgate,조너선 우드게이트
Alistair Darling,앨리스터 달링
Jermaine Jenas,저메인 지너스
Glenn Hoddle,글렌 호들
John Buchan,존 버컨
Joseph Conrad,조지프 콘래드
Philip Hammond,필립 해먼드
"John Knatchbull, 7th Baron Brabourne",제7대 브라본 남작 존 내치불
Bryan Robson,브라이언 롭슨
"Danny Murphy (footballer, born 1977)",대니 머피 (1977년)
Ian Paisley,이언 페이즐리
Russell Brand,러셀 브랜드
Vinnie Jones,비니 존스
Ed Davey,에드 데이비
Jack Rodwell,잭 로드웰
Andrew Lincoln,앤드루 링컨
Paddy Ashdown,패디 애시다운
Cary Grant,케리 그랜트
Louis Kurihara,쿠리하라 루이
Melanie Klein,멜라니 클라인
Enoch Powell,이넉 파월
Peter Robinson (Northern Ireland politician),피터 로빈슨 (정치인)
Ed Westwick,에드 웨스트윅
Jamie Bell,제이미 벨
Anthony Gardner,안소니 가드너
Rachel Roberts (actress),레이철 로버츠 (1927년)
Barry Gibb,배리 깁
Freddie Highmore,프레디 하이모어
Maurice Gibb,모리스 깁
Clive Owen,클라이브 오언
G. K. Chesterton,G. K. 체스터턴
David Attenborough,데이비드 애튼버러
Catherine Tate,캐서린 테이트
Rod Stewart,로드 스튜어트
Randolph Churchill,랜돌프 처칠
Eddie Izzard,에디 이저드
Hilaire Belloc,힐레어 벨럭
Rhodri Morgan,로드리 모건
John Terry,존 테리
Lee Cattermole,리 캐터몰
Susan Boyle,수잔 보일
Alfred North Whitehead,알프레드 노스 화이트헤드
Gary Oldman,게리 올드먼
Sarah Harding,세라 하딩
Angel Coulby,에인절 콜비
Naomi Scott,나오미 스콧
Fred Hoyle,프레드 호일
Eve Myles,이브 마일스
Joanna Lumley,조애나 럼리
Jimmy Greaves,지미 그리브스
Donald Dewar,도널드 듀어
Kelly Brook,켈리 브룩
Clint Mansell,클린트 맨셀
"Danny Rose (footballer, born 1990)",대니 로즈
Wes Brown,웨스 브라운
Gemma Arterton,제마 아터턴
Vanessa Bell,버네사 벨
Richard Hammond,리처드 해먼드
David Moyes,데이비드 모이스
Shirley Williams,셜리 윌리엄스
Caroline Cossey,캐롤라인 코시
Dmitri Hvorostovsky,드미트리 흐보로스톱스키
Arthur Greenwood,아서 그린우드
Karl Jenkins,칼 젱킨스
Yaya Touré,야야 투레
Leona Lewis,리오나 루이스
G. H. Hardy,고드프리 해럴드 하디
Tamsin Egerton,탬신 에저턴
"Princess Alexandra, 2nd Duchess of Fife",제2대 파이프 여공작 알렉산드라
Philippa Foot,필리파 풋
Jeremy Brett,제러미 브렛
Nerina Pallot,네리나 팰럿
Leopold Stokowski,레오폴드 스토코프스키
George Meredith,조지 메러디스
Geoffrey Elton,제프리 엘턴
Martin Hairer,마르틴 하이러
Andrew Wiles,앤드루 와일스
Patrick Blackett,패트릭 블래킷
