код игры Riot Pixels,Riot Pixels遊戲識別碼
Брянск,布良斯克
Чувашия,楚瓦什共和国
Германо-российские отношения,德俄關係
Российская академия наук,俄羅斯科學院
Каталог внутренних кодов аэропортов России и СНГ,前苏联内部机场代码
Татарстан,鞑靼斯坦共和国
Чёрная речка,黑河站
Калужская область,卡卢加州
Орёл,奥廖尔
Волгоград,伏尔加格勒
Индигирка,因迪吉爾卡河
Московский метрополитен,莫斯科地铁
Кубань,庫班河
Алазея,阿拉澤亞河
Курск,库尔斯克
Нижний Новгород,下诺夫哥罗德
Рязанская область,梁赞州
Тула,圖拉
Санкт-Петербург,聖彼得堡
Самара,薩馬拉
Орловская область,奥廖尔州
Каспийское море,裏海
идентификатор статьи на сайте Спорт-страна.ру,sport-strana.ru文章编号
Пензенская область,奔萨州
Десногорск,傑斯諾戈爾斯克
Дзержинский,捷爾任斯基
Тавда,塔夫達河
Курская область,库尔斯克州
Байкал,贝加尔湖
Белгород,别尔哥罗德
Альянс зелёных и социал-демократов,绿色联盟
Волчанск,沃爾昌斯克
Российско-турецкие отношения,俄罗斯—土耳其关系
Российско-французские отношения,法国－俄罗斯关系
Российско-греческие отношения,希腊—俄罗斯关系
Уфа,烏法
Терек,捷列克河
Дейма,德玛河
Иланский,伊蘭斯基
Зеленоградск,澤列諾格拉茨克
Тыва,图瓦共和国
Преголя,普列戈利亚河
Анграпа,安格拉普河
Шешупе,舍舒佩河
Виштынецкое озеро,維什蒂蒂斯湖
Белгородская область,别尔哥罗德州
Воронеж,沃罗涅日
Инструч,因斯特魯奇河
Лава,維納河
Пермь,彼尔姆
Ульяновская область,乌里扬诺夫斯克州
Новосибирский Академгородок,阿卡傑姆戈羅多克
ОГРН,俄罗斯组织编号
код РНБ,俄羅斯國家圖書館識別碼
Воронежская область,沃罗涅日州
Кур,庫爾河
Челябинск,車里雅賓斯克
Липецк,利佩茨克
турки,土耳其人
Камчатка,堪察加半島
Сухона,蘇霍納河
Краснодар,克拉斯诺达尔
Обь,鄂畢河
Дигора,季戈拉
Дно,德诺
Дивногорск,季夫諾戈爾斯克
Донавиа,頓河航空
Тамбовская область,坦波夫州
Добрянка,多布良卡
Красноярск,克拉斯诺亚尔斯克
Балтийская коса,維斯瓦沙嘴
Калининградский залив,维斯图拉潟湖
Демидов,傑米多夫
список городов России,俄羅斯城市和城鎮人口列表
Дрезна,德列茲納
Дятьково,佳季科沃
Долгопрудный,多爾戈普魯德內
Долинск,多林斯克
Дюртюли,久爾秋利
Ростовская область,罗斯托夫州
Дмитровск,季米特洛夫斯克
Тольятти,陶里亚蒂
Димитровград,季米特洛夫格勒
Куршский залив,庫爾斯潟湖
Куршская коса,庫爾斯沙嘴
Чукотский полуостров,楚科奇半岛
Дон,頓河
Советск,苏维埃茨克
Тамбов,坦波夫
Липецкая область,利佩茨克州
Дубовка,杜博夫卡
Владивосток,海参崴
Дубна,杜布纳
Домодедово,多莫傑多沃
Донской,頓斯科伊
Дорогобуж,多羅戈布日
Майкоп,邁科普
Елабуга,叶拉布加
Адыгея,阿迪格共和国
Лада,索契队
Краснодарский край,克拉斯诺达尔边疆区
Ейск,葉伊斯克
Неман,尼曼河
финский язык,芬兰语
Ульяновск,乌里扬诺夫斯克
Дудинка,杜金卡
Писса,皮薩河
Гвардейск,近衛軍城
Неман,涅曼
Элиста,埃利斯塔
Томск,托木斯克
Духовщина,杜霍夫希納
Башкортостан,巴什科尔托斯坦共和国
Елизово,埃利佐沃
Еманжелинск,葉曼熱林斯克
Мурманск,摩爾曼斯克
Тюменская область,秋明州
Волгоградская область,伏爾加格勒州
Астрахань,阿斯特拉罕
Астраханская область,阿斯特拉罕州
Самарская область,萨马拉州
Архангельск,阿尔汉格尔斯克
Гусев,古謝夫
Мурманская область,摩爾曼斯克州
Балтийск,波羅的斯克
Московская область,莫斯科州
Карелия,卡累利阿共和国
Светлый,斯韋特雷
Томская область,托木斯克州
Черняховск,切尔尼亚霍夫斯克
Челябинская область,車里雅賓斯克州
Ермолино,叶尔莫利诺 (卡卢加州)
Ершов,葉爾紹夫
Курганская область,库尔干州
Тюмень,秋明
Ессентуки,叶先图基
Калининградская область,加里宁格勒州
Енисейск,葉尼塞斯克
Емва,葉姆瓦
Егорьевск,葉戈里耶夫斯克
Республика Алтай,阿尔泰共和国
Барнаул,巴尔瑙尔
Хоккей на зимних Олимпийских играх 2014,2014年冬季奧林匹克運動會冰球比賽
Хабаровск,伯力
Самара (баскетбольный клуб),薩馬拉籃球俱樂部
Завитинск,扎维京斯克
Жуков,茹科夫
Жуковка,茹科夫卡
Население России,俄罗斯人口
Арчинцы,阿奇人
Железноводск,热列兹诺沃德斯克
Петрозаводск,彼得罗扎沃茨克
Ракетно-космический центр «Прогресс»,進步国家太空火箭研究生产中心
Жуковский,茹科夫斯基
Никольский,尼科利斯基_(列宁格勒州)
Государственный музей изобразительных искусств имени А. С. Пушкина,普希金造型藝術博物館
Лесогорский,列索戈尔斯基
Террористический акт на Дубровке,莫斯科歌劇院脅持事件
Кузбасс,库兹巴斯克麦罗沃
Приморский край,滨海边疆区
Жиздра,日兹德拉
Жирновск,日尔诺夫斯克
Железнодорожный,熱烈茲諾多羅日內
Железногорск,热列兹诺哥尔斯克
Железногорск-Илимский,热列兹诺哥尔斯克-伊利姆斯基
Калмыкия,卡尔梅克共和国
Жердевка,热尔杰夫卡
Жигулёвск,日古尔约夫斯克
Калининград,加里寧格勒
Новосибирская область,新西伯利亚州
Ефремов,葉夫列莫夫
Закаменск,扎卡缅斯克
Заозёрск,扎奧焦爾斯克
Архангельская область,阿尔汉格尔斯克州
Вологда,沃洛格达
Кызыл,克孜勒
Зарайск,扎賴斯克
Заречный,扎列奇內
Приладожский,普里拉多日斯基
Лебяжье,列比亚日耶_(罗蒙诺索夫区)
Ефимовский,叶菲莫夫斯基_(市级镇)
Вырица,维里察
Алтайский край,阿尔泰边疆区
Тотьма,托季馬
Сыктывкар,瑟克特夫卡爾
Заводоуковск,扎沃多烏科夫斯克
Заволжск,扎沃爾日斯克
Горно-Алтайск,戈尔诺 - 阿尔泰斯克
Омская область,鄂木斯克州
Заволжье,扎沃爾日耶
Красный Бор,红博尔_(托斯诺区)
Дубровка,杜布罗夫卡_(弗谢沃洛日斯克区)
Дружная Горка,德鲁日纳亚戈尔卡_(列宁格勒州)
Нарьян-Мар,纳里扬马尔
Вологда,沃洛格達河
абхазский язык,阿布哈茲語
Алтайские горы,阿尔泰山脉
Хакасия,哈卡斯共和国
Дагестан,达吉斯坦共和国
Вологодская область,沃洛格达州
Самарский метрополитен,薩馬拉地鐵
Махачкала,马哈奇卡拉
Рахья,拉希亚
Надым,納德姆
Республика Коми,科米共和国
Чечня,车臣共和国
Ненецкий автономный округ,涅涅茨自治区
Задонск,扎東斯克
Заинск,扎因斯克
Западная Двина,西德維納
Заполярный,扎波利亞爾內
Заречный,扎列奇內
Заринск,扎林斯克
Кромы,克罗梅_(奥廖尔州)
Зверево,兹韦列沃
Эгриси,拉齊卡
Сызрань,塞茲蘭
Кемерово,克麥羅沃
Грозный,格罗兹尼
Ямало-Ненецкий автономный округ,亚马尔-涅涅茨自治区
Северная Осетия — Алания,北奥塞梯-阿兰共和国
Владикавказ,弗拉季高加索
Звенигород,兹韦尼哥罗德
Салехард,萨列哈尔德
Звенигово,兹韦尼哥沃
Ханты-Мансийский автономный округ — Югра,汉特-曼西自治区
Ханты-Мансийск,汉特-曼西斯克
Ставрополь,斯塔夫罗波尔
Ингушетия,印古什共和国
Звениговский район,茲韋尼戈夫斯基區
Волжский район,沃爾日斯基區
Ставропольский край,斯塔夫罗波尔边疆区
Большой театр,莫斯科大剧院
Медведевский район,梅德韋傑夫斯基區
Великий Новгород,大诺夫哥罗德
Советский район,索韋特斯基區
Кемеровская область,克麦罗沃州
Амурская область,阿穆尔州
Московский вокзал,莫斯科站
Россия на летних Олимпийских играх 2012,2012年夏季奧林匹克運動會俄羅斯代表團
Череповец,切列波韋茨
Якутия,萨哈共和国
Нальчик,納利奇克
Красноярский край,克拉斯諾亞爾斯克邊疆區
Иркутск,伊尔库茨克
Якутск,雅库茨克
Магас,馬加斯
Ясный,亞斯內
Чукчагирское озеро,丘克恰吉爾斯科耶湖
русины,卢森尼亚人
Псков,普斯科夫
Ленинградская область,列宁格勒州
Зеленокумск,澤列諾庫姆斯克
Зерноград,澤爾諾格勒
Бурятия,布里亞特共和國
Яндекс,Yandex
Кабардино-Балкария,卡巴爾達-巴爾卡爾共和國
Гатчина,加特契纳
Оренбург,奥伦堡
Зеленодольск,泽廖诺多利斯克
Россия на летних Олимпийских играх 2008,2008年夏季奥林匹克运动会俄罗斯代表团
Иркутская область,伊爾庫茨克州
Зея,结雅
Янаул,亞納烏爾
Яранск,亞蘭斯克
Яровое,亞羅沃耶
Карачаево-Черкесия,卡拉恰伊-切尔克斯共和国
Саратов,薩拉托夫
Кировская область,基洛夫州
Злынка,兹伦卡
Златоуст,兹拉托乌斯特
UTC+10:00,UTC+10:00
Псковская область,普斯科夫州
Черкесск,切爾克斯克
Змеиногорск,兹梅伊诺戈尔斯克
Дальнегорск,达利涅戈尔斯克
Александро-Невский район,阿列克桑德羅-涅夫斯基區
Зима,济马
Юхнов,尤赫諾夫
Ядрин,亞德林
Улан-Удэ,烏蘭烏德
Забайкальский край,外貝加爾邊疆區
Мордовия,莫尔多瓦共和国
Севастополь,塞瓦斯托波爾
Оренбургская область,奧倫堡州
Избербаш,伊茲別爾巴什
Благовещенск,海兰泡
Амур,黑龙江
UTC+7:00,UTC+07:00
.рф,.рф
Ивдель,伊夫傑利
Игарка,伊加爾卡
Тальменка,塔利缅卡_(阿尔泰边疆区)
Лужники,卢日尼基体育场
Ярцево,亚尔采沃
Ясногорск,亞斯諾戈爾斯克
Бокситогорский район,博克西托戈爾斯克區
Волосовский район,沃洛索夫斯基區
Коммунар,科穆納爾
Зубцов,祖布佐夫
Волховский район,沃爾霍夫斯基區
Выборгский район,武博爾格斯基區
Кингисеппский район,金吉謝普斯基區
Люберцы,柳別爾齊
Саратовская область,萨拉托夫州
Пермский край,彼爾姆邊疆區
Мосфильм,莫斯科电影制片厂
Приволжский федеральный округ,伏爾加聯邦管區
Знаменск,兹纳缅斯克
Зуевка,祖耶夫卡
Ивантеевка,伊萬捷耶夫卡
Саранск,萨兰斯克
Киров,基洛夫
Красноярские авиалинии,克拉斯诺亚尔斯克航空
Русский общевоинский союз,俄羅斯全軍聯盟
Югыд Ва,尤格德瓦國家公園
Исилькуль,伊西利庫爾
Искитим,伊斯基季姆
Дом Павлова,巴甫洛夫大楼
Цимлянское водохранилище,齐姆良斯克水库
Шенкурский район,申庫爾斯基區
Новосибирские острова,新西伯利亞群島
Бердяуш,别尔佳乌什
Сибирь,西伯利亚
Сбер,俄罗斯联邦储蓄银行
Кижи,基日島
Саяны,薩彥嶺
Группа советских войск в Германии,苏联驻德国集团军
Ивня,伊夫尼亚
Воскресенские ворота,伊伯利亞門和禮拜堂
Водлозеро,沃德洛澤羅湖
Казачка,女哥萨克河
Восточно-Сибирская железная дорога,东西伯利亚铁路局
Марий Эл,马里埃尔共和国
Калтан,卡爾坦
Калязин,卡利亞津
Гатчинский район,加特契纳区
Большой Гатчинский дворец,加特契納宮
Приоратский дворец,加特契纳修院宮
Pussy Riot,暴動小貓
Хабаровский край,哈巴罗夫斯克边疆区
Еврейская автономная область,犹太自治州
Ижевск,伊熱夫斯克
Удмуртия,乌德穆尔特共和国
Судак,苏达克
русский язык,俄語
Крымский полуостров,克里米亞
Ханка,兴凯湖
Правобережный район,普拉沃別列日內區
Угра,烏格拉河
Укок,烏科克高原
Яблоновый хребет,雅布洛諾夫山脈
Рузаевский район,魯扎耶夫斯基區
Гаспра,哈斯普拉
Чикой,楚庫河
Десна,傑斯納河
Автотор,阿維托托爾
Ильмень,伊爾門湖
Биробиджан,比罗比詹
Кузнецкий угольный бассейн,庫茲巴斯
Синяя,錫尼亞亞河
Инта,因塔
Таван-Богдо-Ула,塔彎博格多
Ипатово,伊帕托沃
Корякский округ,科里亚克区
Онон,鄂嫩河
Сахалинская область,萨哈林州
Инсар,因薩爾
Массандра,馬桑德拉
Россия-2,俄羅斯-2
Острова Диомида,迪奧米德群島
Изобильный,伊佐比利內
Инза,因扎
Ишим,伊希姆
Истра,伊斯特拉
Ишимбай,伊希姆拜
Азиатский маршрут AH3,亞洲公路3號線
Красная Поляна,卡拉斯拉雅波利亞納
Соловецкие острова,索洛韦茨基群岛
Снеговой вулкан,斯涅戈沃伊火山
Шира,希拉湖
Хор,霍爾河
Колпь,科爾普河
Усть-Камчатский район,烏斯季-卡姆恰特斯基區
Киевская,基輔站
Ципа,齊帕河
Камышлов,卡梅什洛夫
Канаш,卡納什
буряты,布里亚特人
Ирбит,伊爾比特
Ухта,烏赫塔河
Каменск-Шахтинский,卡緬斯克-沙赫京斯基
Кереть,克烈季湖
Камбарка,坎巴爾卡
Каменка,卡緬卡
Вайгач,瓦伊加奇岛
террористический акт в аэропорту Домодедово,2011年多莫傑多沃國際機場炸彈襲擊事件
Калачинск,卡拉欽斯克
Калининск,加里寧斯克
Сахалин,库页岛
Игнатьево,伊格納耶沃機場
Киржачский район,基爾札奇斯基區
Российская национальная библиотека,俄罗斯国家图书馆
Петродворцовый район,佩特羅德沃爾措維區
Красносельский район,克拉斯諾謝利斯基區
Петроградский район,彼得格勒区
Курортный район,庫羅爾特內區
Киришский район,基里什斯基區
Кириши,基里希
Большой Цивиль,齊維利河
Мариинский театр,马林斯基剧院
болгарский язык,保加利亞語
Петропавловск-Камчатский,堪察加彼得罗巴甫洛夫斯克
Калач,卡拉奇
Казбек,卡茲別克山
Таганрогский залив,塔甘羅格灣
Кадников,卡德尼科夫
Кировский район,基洛夫斯克區
Лодейнопольский район,洛德伊諾波利斯基區
Пушкин,普希金
Ломоносовский район,洛莫諾索夫斯基區
Лужский район,盧加區
Камень-на-Оби,鄂畢河畔卡緬
Камешково,卡梅什科沃
Имандра,伊曼德拉湖
Министерство юстиции Российской Федерации,俄羅斯聯邦司法部
Грибановский район,格里巴诺夫斯基区
Спартак,共和国斯巴达体育场
Посольство Ирака в Москве,伊拉克駐俄羅斯大使館
Камызяк,卡梅賈克
Магаданская область,马加丹州
Приозерский район,普里奧澤爾斯基區
Приозерск,普里奧焦爾斯克
Бадяриха,巴迪亞里哈河
Большой Санкт-Петербургский государственный цирк,奇尼塞利馬戲團
Иланский район,伊蘭斯基區
Арбат,阿尔巴特街
даргинцы,達爾金人
Каспийск,卡斯皮斯克
Катав-Ивановск,卡塔夫-伊萬諾夫斯克
Карабулак,卡拉布拉克
Карасук,卡拉蘇克
ХК «Локомотив» (Ярославль),雅罗斯拉夫尔火车头冰球队
Большой Зеленчук,大澤連丘克河
Юла,尤拉河
День Победы,第二次世界大战欧战胜利纪念日
Амкар,彼爾姆安卡足球俱樂部
Крылья Советов,薩馬拉蘇維埃之翼足球俱樂部
Новодевичий монастырь,新聖女修道院
Кандалакша,坎达拉克沙
Карабаш,卡拉巴什
Южно-Сахалинск,南萨哈林斯克
Канск,坎斯克
Ломоносово,霍爾莫果爾
Камчатский край,堪察加邊疆區
Магадан,马加丹
подразделения специального назначения Российской Федерации,俄罗斯特种部队
Большой Кинель,大基涅利河
Ёжуга,葉茹加河
Илеша,伊萊沙河
Выя,維亞河
Камышин,卡梅申
Камчатская область,堪察加州
Полесье,波利西亞
Чукотский автономный округ,楚科奇自治区
Касли,卡斯利
Смоленская операция,斯摩棱斯克戰役
Пролив Лаперуза,宗谷海峡
Касимов,卡西莫夫
Карпинск,卡爾平斯克
Карталы,卡爾塔雷
Новодевичье кладбище,新圣女公墓
Каргат,卡爾加特
Карачаевск,卡拉恰耶夫斯克
Карачев,卡拉齐夫
Подпорожский район,波德波羅日斯基區
Катайск,卡泰斯克
Качканар,卡奇卡納爾
Уса,烏薩河
Московский гуманитарный университет,莫斯科人文大學
Советско-Гаванский район,蘇維埃港區
Путорана,普托拉納高原
Ленские столбы,勒那河柱状岩自然公园
идиш,意第緒語
Русский мост,俄罗斯岛大桥
столкновение автобуса с масловозом в Ростовской области,罗斯托夫州大巴撞击槽罐车事故
Взрывы в московском метро 29 марта 2010 года,2010年莫斯科地铁连环爆炸事件
Московский район,莫斯科夫斯基區
Емца,葉姆察河
Уфа,烏法河
Каргополь,卡爾戈波雷
Зеленоград,泽列诺格勒
Усть-Ордынский Бурятский автономный округ,乌斯季奥尔登斯基布里亚特区
Уссури,乌苏里江
Кедровый,克德羅維
Кемь,凱姆
Вторая лига России по футболу,俄羅斯足球乙級聯賽
Анадырь,阿纳德尔
Шумиха,舒米哈
Щигры,希格雷
Кизилюрт,克孜勒尤爾特
Кизляр,基茲利亞爾
Опочка,奧波奇卡
Золотой мост,金角湾大桥
Военно-воздушные силы Российской Федерации,俄罗斯空军
Сура,蘇拉河
Лукоянов,盧科亞諾夫
Кимовск,基莫夫斯克
Командорские острова,科曼多尔群岛
Чембар,大切姆巴爾河
Зея,结雅河
Внуково,伏努科沃國際機場
Государственный Русский музей,俄羅斯博物館
Поречье,遠古丹站
Центральный район,中区
Новосибирский метрополитен,新西伯利亞地鐵
кумыки,庫梅克人
А142 (автодорога),A142公路
Хамниганы,哈米尼干
Карельский перешеек,卡累利阿地峽
Нарва,納爾瓦河
А130 (автодорога),A130公路
А104 (автодорога),A104公路
Рублёво-Успенское шоссе,A106公路
Ильинское шоссе,A109公路
А-108 «Московское большое кольцо»,A108公路
А114,A114公路
А-121 «Сортавала»,A121公路
Кола,R21公路
Сланцевский район,斯蘭采夫斯基區
Северная Двина,北德维纳河
Море Лаптевых,拉普捷夫海
Колва,科爾瓦河
Нерчинск,尼布楚
Луза,盧扎
Голос России,俄罗斯之声
Р-298,R298公路
А146,A146公路
Старое Краснополянское шоссе,A149公路
А151 (автодорога),A151公路
Р216 (автодорога),R216公路
Военно-Сухумская дорога,A155公路
А157,A157公路
А162 (автодорога),A162公路
А163 (автодорога),A163公路
А350,A350公路
А184,A184公路
Венгеровский район,溫格羅夫斯基區
А161 (автодорога),A161公路
А349 (автодорога),A322公路
Ванавара,瓦納瓦拉
Флаг Адыгеи,阿迪格共和國國旗
Ливадия,利瓦季亚
Российско-кубинские отношения,古俄關係
А229 (автодорога),A229公路
Хасавюрт,哈薩維尤爾特
Санкт-Петербургская соборная мечеть,圣彼得堡清真寺
Кутузовский проспект,庫圖佐夫大街
Первомайский,五一镇_(基洛夫州)
Военная академия бронетанковых войск,斯大林装甲坦克和机械化兵军事学院
Пскова,普斯科瓦河
грузинский язык,格鲁吉亚语
Печора,伯朝拉河
Кашира,卡希拉
Тихая,近幌站
Россия-1,俄羅斯-1
Мраморный дворец,大理石宫
Посольство Индии в Москве,印度駐俄羅斯大使館
Битва при Гумбиннене,贡宾嫩战役
Кашин,卡申
Кизел,基澤爾
Кимры,基姆雷
Кинель,基涅利
Балтийская республиканская партия,波罗的共和党
Группа Ломоносова,洛莫諾索夫火山群
Ваганьковское кладбище,瓦甘科夫公墓
армянский язык,亞美尼亞語
белорусский язык,白俄罗斯语
Лётно-исследовательский институт имени М. М. Громова,格羅莫夫飛行研究中心
Усть-Коксинский район,考克-苏区
Ейский район,葉伊斯基區
Футболист года в России,俄羅斯足球先生
Справедливая Россия — За правду,公正俄罗斯党
Ключевская Сопка,克柳切夫火山
2ТЭ70,2TE70型柴油机车
греческий язык,希腊语
Московский международный деловой центр,莫斯科国际商务中心
Спецсвязь ФСО России,俄罗斯特别通讯局
Сула,蘇拉河
Воч,沃奇河
ЛДПР,俄罗斯自由民主党
Троице-Сергиева лавра,谢尔盖圣三一修道院
Русский Север,俄羅斯北方國家公園
Царь-пушка,沙皇炮
Царицыно,察里津公園
азербайджанский язык,阿塞拜疆语
Дахадаевский район,達哈達耶夫斯基區
Коликъёган,科利克甘河
Крымский район,克雷姆斯基區
Полянка,林地站
Киреевск,基列耶夫斯克
Киренск,基廉斯克
Становой хребет,外兴安岭
Чулым,丘雷姆河
Федеральное агентство по печати и массовым коммуникациям,俄罗斯联邦出版与大众传媒署
Эвенкийский автономный округ,埃文基自治区
персидский язык,波斯語
казахский язык,哈薩克語
Старая Ладога,舊拉多加
Киржач,基爾扎奇
Таманский полуостров,塔曼半岛
корейский язык,朝鮮語
украинский язык,乌克兰语
Таймырский (Долгано-Ненецкий) автономный округ,泰梅爾（多爾干-涅涅茨）自治區
Пинега,皮涅加河
Томь,托木河
Западная Двина,道加瓦河
Аргументы и факты,論據與事實
Черниговка,切爾尼戈夫卡
Южный остров,尤日內島
Свирь,斯維里河
Кириллов,基里爾洛夫
Киров,基洛夫
Царь-колокол,沙皇钟
Телецкое озеро,捷列茨科耶湖
Северный остров,謝韋爾內島
Остров Октябрьской Революции,十月革命岛
Флаг Республики Коми,科米共和國國旗
Паспорт гражданина Российской Федерации,俄羅斯內部護照
Гданьский залив,格但斯克湾
Единая Россия,統一俄羅斯黨
Кинешма,基涅什马
Евровидение-2009,2009年欧洲歌唱大赛
Флаг Республики Алтай,阿尔泰共和国国旗
Ялуторовск,亞盧托羅夫斯克
Царскосельская железная дорога,皇村鐵路
Албано-российские отношения,阿爾巴尼亞－俄羅斯關係
Дворцовый мост,宫廷桥
Бой у Шталлупёнена,斯塔卢波嫩战役
Кежемский район,克熱姆斯基區
UCoz,UCoz
Кирово-Чепецк,基洛沃-切佩茨克
Кировск,基洛夫斯克
Берингов пролив,白令海峡
Кирс,基爾斯
Покшеньга,波克申加河
Шахматная олимпиада 1994,第31届国际象棋奥林匹克
Тюльганский район,秋利甘斯基區
Мехреньга,梅赫列尼加河
Вулкан Сарычева,萨雷切夫火山
Байкальский хребет,貝加爾山脈
Колгуев,科尔古耶夫岛
Салаватский район,薩拉瓦特區
Пелым,佩雷姆河
Лакинск,拉金斯克
южноэстонский диалект,南爱沙尼亚语
нанайский язык,赫哲语
NordStar Airlines,北星航空
Андреев день,聖安德魯日
Московская консерватория,莫斯科音樂學院
Итуруп,擇捉島
русская кухня,俄羅斯飲食
узбекский язык,乌兹别克语
зимние Олимпийские игры 2014,2014年冬季奧林匹克運動會
Алексеевское,阿列克謝耶夫斯科耶_(韃靼斯坦共和國)
Кокшеньга,科克申加河
Посольство Швеции в Москве,瑞典駐俄羅斯大使館
Нимфей,尼姆费翁
удмуртский язык,乌德穆尔特语
Ока,奧卡河
Европейский маршрут E38,欧洲E38公路
Сулица,蘇利察河
Яхрома,亞赫羅馬河
Шхара,什哈拉山
Верхоянский хребет,上揚斯克山脈
Киселёвск,基謝廖夫斯克
Кисловодск,基兹洛沃茨克
Майминский район,迈马区
Курагино,库拉吉诺
Таймырский Долгано-Ненецкий район,泰梅爾斯基多爾加諾-涅涅茨基區
Менделеевская,門捷列夫站
Кихпиныч,基赫皮內奇火山
Живой Журнал,LiveJournal
Исаакиевский собор,圣以撒大教堂
Храм Спаса на Крови,基督喋血大教堂
Сибинский диалект,锡伯语
удэгейский язык,烏德蓋語
Олонецкий район,奧洛涅茨基區
Молокане,摩洛肯派
Казанский район,卡贊斯基區
Звёздная,明星站
Кировград,基洛夫格勒
Абакан,阿巴坎河
Альфа,阿爾法小組
Московский государственный университет,莫斯科国立大学
Селижаровка,謝利扎羅沃河
Посёлок имени Александра Космодемьянского,舒拉
Суперкубок России по футболу,俄羅斯超級盃
Выборг,维堡
Памятник затопленным кораблям,沉船纪念碑
Луга,盧加河
Оредеж,奧列傑日河
мокшанский язык,莫克沙語
2x2,2x2
Искра,火星报
Кировский район,基羅夫斯基區
Адмиралтейский район,海军部区
Выборгский район,維博爾格斯基區
Северо-Американская плита,北美洲板塊
Кирсанов,基爾薩諾夫
Климовск,克利莫夫斯克
Клин,克林
Россия на «Евровидении»,俄罗斯在欧洲歌唱大赛之历年表现
Вилегодский район,維列戈德斯基區
St. Petersburg Open,聖彼德堡公開賽
Оять,奧亞季河
Чемпионат России по футболу 2008,2008年俄羅斯足球超級聯賽
АЛРОСА,阿罗莎公司
Кубок Кремля,克里姆林杯
Печорское море,伯朝拉海
Цна,茨納河
Цна,茨納河
Софийский собор,聖索菲亞教堂 (諾夫哥羅德)
братья Стругацкие,斯特魯加茨基兄弟
Северный поток,北溪1號
Флаг Кабардино-Балкарии,卡巴爾達-巴爾卡爾共和國國旗
Мессояха,梅索亞哈河
Нерская,涅爾斯卡亞河
Нарышкино,纳雷什基诺_(奥廖尔州)
Пижма,皮日馬河
Чебоксары,切博克薩雷機場
Бисерть,比谢尔季
президент России,俄羅斯總統
Финский залив,芬蘭灣
Волхов,沃爾霍夫河
Волосово,沃洛索沃
Ковдор,科夫多爾
Ковылкино,科維爾基諾
Хантайское озеро,漢泰湖
Второй Курильский пролив,第二千島海峽
Операция «Искра»,伊斯卡拉行动
Волхов,沃爾霍夫
Кировск,基洛夫斯克
Кулундинский район,庫倫金斯基區
ТАСС,塔斯社
Остров Сибирякова,西比里亞科夫島
Европейский маршрут E28,欧洲E28公路
Флаг Крыма,克里米亞自治共和國國旗
Камни преткновения,绊脚石
Шовгеновский район,紹夫傑諾夫斯基區
Кёнигсбергский собор,柯尼斯堡大教堂
Клинцы,克林齊
Княгинино,克尼亞吉尼諾
Пушкинский район,普什金斯基區
Салаирский кряж,薩萊爾山脈
Василеостровский район,瓦西列奧斯特羅夫斯基區
Суна,蘇納河
Комсомольск-на-Амуре,阿穆尔河畔共青城
Краснодар,克拉斯诺达尔足球俱乐部
Восточный административный округ,东行政区
Центральный архив Министерства обороны Российской Федерации,苏联国防部中央档案馆
Луга,盧加
Сясьстрой,夏西斯特羅伊
ульчский язык,烏爾奇語
