Latvija,ラトビア
Gūtmaņa ala,グートゥマニャ洞穴
FK Jelgava,FKイェルガヴァ
Daugavpils,ダウガフピルス
Cēsis,ツェーシス
Valmiera,ヴァルミエラ
Starptautiskais E ceļu tīkls,欧州自動車道路
Ventspils,ヴェンツピルス
Dievturība,ディエヴトゥリーバ
Rīgas autobusu fabrika,リガ自動車工場
Vecrīga,ヴェツリガ
FK Daugava Rīga (2003),FKユールマラ-VV
Latvieši,ラトビア人
Krievi,ロシア人
Baltijas valstu okupācija,バルト諸国占領
RFS,FK・RFS
Latvijas dzelzceļš,ラトビア国鉄
Valka,ヴァルカ
Ask.fm,Ask.fm
Latvijas futbola Virslīga,ヴィルスリーガ
Eiropas autoceļš E22,E22号線
Rīgas pils,リーガ城
Latvija 2004. gada vasaras olimpiskajās spēlēs,2004年アテネオリンピックのラトビア選手団
Lats,ラッツ
Latvijas sieviešu futbola izlase,サッカーラトビア女子代表
Rīgas vagonbūves rūpnīca,リガ車両製作工場
FK Liepājas Metalurgs,FKリエパーヤス・メタルルグス
AirBaltic,エア・バルティック
Latvija 2008. gada vasaras olimpiskajās spēlēs,2008年北京オリンピックのラトビア選手団
Latvija 2010. gada ziemas olimpiskajās spēlēs,2010年バンクーバーオリンピックのラトビア選手団
Latvija 2012. gada vasaras olimpiskajās spēlēs,2012年ロンドンオリンピックのラトビア選手団
Latvija 2006. gada ziemas olimpiskajās spēlēs,2006年トリノオリンピックのラトビア選手団
FC Daugava,FCダウガヴァ
Pārkrievošana,ロシア化
Brīvības piemineklis,自由の記念碑・(リガ)
Latvijas Republikas Ministru prezidents,ラトビアの首相
Baltijas tīģeri,バルトの虎
Baltijas Kauss futbolā,バルティックカップ
Gaiziņš,ガイジンカインス
1937. gada Eiropas čempionāts basketbolā,1937年バスケットボール欧州選手権
Daugavas stadions (Rīga),ダウガヴァ・スタディオン
Rīgas Doms,リガ大聖堂
Latvijas—Krievijas miera līgums,ラトビア・ソビエト・リガ平和条約
Rīgas HES,リガ水力発電所
Latvijas Zemnieku savienība,ラトビア農民連合
Skonto stadions,スコント・スタディオン
Nacionālā apvienība "Visu Latvijai!"—"Tēvzemei un Brīvībai/LNNK",国民連合・(ラトビア)
FK Metta,FKメッタ
Latvijas kino,ラトビアの映画
Latvija 1936. gada vasaras olimpiskajās spēlēs,1936年ベルリンオリンピックのラトビア選手団
Vācbaltieši,バルト・ドイツ人
Rudzu maize,ライ麦パン
Latviešu virtuve,ラトビア料理
Liepāja,リエパーヤ
"Dievs, svētī Latviju",ラトビアに幸いあれ
Kuldīga,クルディーガ
ISO 3166-2:LV,ISO・3166-2:LV
Austrumeiropas platforma,東ヨーロッパ・クラトン
Rīgas līcis,リガ湾
Somi,フィン人
57. ziemeļu paralēle,北緯57度線
Hokejs Latvijā,Category:ラトビアのアイスホッケー
Aizkraukles kauja (1279),アイズクラウクレの戦い
Latvijas Zinātņu akadēmija,ラトビア科学アカデミー
Latvija 1992. gada vasaras olimpiskajās spēlēs,1992年バルセロナオリンピックのラトビア選手団
Trolejbusu satiksme Rīgā,リガ・トロリーバス
Tramvaju satiksme Rīgā,リガ市電
Latvijas sieviešu basketbola izlase,バスケットボール女子ラトビア代表
Jersika (valsts),ゲルツィケ公国
Latvija 2014. gada ziemas olimpiskajās spēlēs,2014年ソチオリンピックのラトビア選手団
BFC Daugavpils,BFCダウガフピルス
Ventas rumba,ヴェンタ滝
Tramvaju satiksme Liepājā,リエパーヤ市電
Latvijas lidostas un lidlauki,ラトビアの空港の一覧
The Baltic Times,バルティック・タイムズ
Latvijas Republikas proklamēšanas diena,独立記念日・(ラトビア)
Doma laukums,大聖堂広場・(リガ)
Latvijas volejbola izlase,バレーボールラトビア男子代表
Latvijas politisko partiju uzskaitījums,ラトビアの政党
Rīgas Motormuzejs,リガ自動車博物館
Eiropas autoceļš E262,E262号線
FK Spartaks Jūrmala,FKスパルタクス・ユールマラ
Valmiera FC,ヴァルミエラFC
FK Liepāja,FKリエパーヤ
Lielveikala "Maxima" sagrūšana Rīgā,リガスーパーマーケット屋根崩落事故
Kremerata Baltica,クレメラータ・バルティカ
Latgalieši,ラトガリア人
Latvija 2000. gada vasaras olimpiskajās spēlēs,2000年シドニーオリンピックのラトビア選手団
Vagonu parks (stacija),ヴァグアヌパークス駅
FK Tukums 2000/Telms,FKトゥクムス2000
Zaķusala,ザチュサラ島
Krievvalodīgie,ロシア語圏
Latvija 1932. gada vasaras olimpiskajās spēlēs,1932年ロサンゼルスオリンピックのラトビア選手団
Kaķu nams,猫の家
Iskolats,イスコラト
Koknese (valsts),クケイノス公国
Latvijas U-21 futbola izlase,U-21サッカーラトビア代表
Rīgas Pasažieru stacija,リガ旅客駅
Ķeguma HES,ケグムス水力発電所
Eiropas autoceļš E264,E264号線
Baltijas ceļa velobrauciens,バルチック・チェーン・ツアー
Lidosta "Ventspils",ヴェンツピルス国際空港
Lielvārdes lidlauks,リェルヴァーデ空軍基地
FK Ogre,FKオグレ
Riga FC,リガFC
Latviskā dzīvesziņa,ラトビア神道
Latvija 2018. gada ziemas olimpiskajās spēlēs,2018年平昌オリンピックのラトビア選手団
NATO Stratēģiskās komunikācijas izcilības centrs,NATO戦略的コミュニケーション能力向上センター
Latvija 2022. gada ziemas olimpiskajās spēlēs,2022年北京オリンピックのラトビア選手団
Latvija 2020. gada vasaras olimpiskajās spēlēs,2020年東京オリンピックのラトビア選手団
Lokstenes dievturu svētnīca,ルアクステネ神社
COVID-19 pandēmija,新型コロナウイルス感染症の世界的流行・(2019年-)
