Paris,巴黎
Oisy,瓦西
identifiant Simbad,SIMBAD ID
Mayotte,马约特
Cruguel,克吕盖勒
identifiant Championnat de France de basket-ball (nouveau format),法國甲級籃球聯賽識別碼
art gothique,哥特式艺术
Aiserey,艾斯雷
Waltembourg,瓦尔唐堡
Fontaine-lès-Dijon,方丹莱第戎
identifiant B.R.A.H.M.S. d'un artiste,BRAHMS 艺术家 ID
prytanée national militaire,拉弗萊什耶穌會學院
Tours,图尔
identifiant Sandre d'un cours d'eau,Sandre ID
Sainte-Marie-aux-Chênes,圣玛丽欧谢讷
cognac,干邑白蘭地
cimetière du Père-Lachaise,拉雪兹神父公墓
Fixem,菲克塞姆
La Réunion,留尼汪
Beire-le-Fort,贝尔堡
Wiesviller,维斯维莱尔
Pontpierre,蓬皮埃尔
Mesves-sur-Loire,卢瓦尔河畔梅沃
Onlay,翁莱
Ippling,伊普兰
Cognac,干邑
Chambeire,尚贝尔
aéroport de La Réunion-Roland-Garros,羅蘭加洛斯機場
aéroport de Pierrefonds,聖皮埃爾機場
Bernay,貝爾奈
code UAI,UAI碼
identifiant d'organisation data.gouv.fr,data.gouv.fr org ID
Bretenière,布勒特尼耶尔
Le Fousseret,勒富瑟雷
arrondissement de Dijon,第戎区
code Insee d'un département,INSEE省份编码
identifiant Encyclopædia Universalis d'un article,環球百科全書識別碼
Sainte-Ruffine,圣吕菲娜
Ourouër,乌鲁埃尔
Mijoux,米茹
code Insee d'un arrondissement départemental,INSEE区份编码
canton de Fontaine-lès-Dijon,方丹莱第戎县
canton de Genlis,让利斯县
canton d'Is-sur-Tille,蒂耶河畔伊斯县
Saint-Bohaire,圣博艾尔
Concarneau,孔卡諾
Montoy-Flanville,蒙图瓦-弗朗维尔
Ouagne,瓦涅
Wittring,维特兰
Ouroux-en-Morvan,莫尔旺地区乌鲁
Bretagne,布列塔尼半岛
Saint-Mandé,圣芒代
Bessey-lès-Cîteaux,贝塞莱西托
Ussel,于塞勒
canton de Dijon-6,第戎第六县
canton de Dijon-5,第戎第五县
canton de Dijon-4,第戎第四县
canton de Dijon-3,第戎第三县
La Flèche,拉弗莱什
Collonges-lès-Premières,科隆日-莱普勒米耶尔
Quimper,坎佩尔
Échigey,埃希热
Cessey-sur-Tille,蒂耶河畔塞塞
Longeville-lès-Metz,隆日维尔莱梅斯
Rouvroy-sur-Serre,塞尔河畔鲁夫鲁瓦
identifiant Babelio d'un auteur,Babelio作者識別碼
identifiant Babelio d'un livre,Babelio 作品编号
Saint-Denis,圣但尼
canton de Riom-ès-Montagnes,里永埃斯蒙塔涅县
Oberthur Technologies,法国欧贝特科技
Veolia Transport,威立雅运输
Ariège,阿列日河
prix Femina,费米娜奖
Stade rennais FC,雷恩足球俱乐部
identifiant Film-documentaire.fr d'un film,film-documentaire.fr电影编号
Fauverney,福韦尔内
Lugdunum,里昂高盧羅馬博物館
Villars-les-Dombes,维拉尔莱栋布
Rhône-Alpes,罗讷-阿尔卑斯
Poissy,普瓦西
Derval,代尔瓦勒
musée des Beaux-Arts de Lyon,里昂美术馆
hôtel de ville de Lyon,里昂市政厅
avenue des Champs-Élysées,香榭丽舍大街
Marange-Silvange,马朗日-锡尔旺日
Châlons-en-Champagne,香槟地区沙隆
Montpellier Hérault SC,蒙彼利埃足球俱乐部
canton de Dijon-2,第戎第二县
canton de Dijon-1,第戎第一县
canton de Chenôve,舍诺沃县
canton d'Auxonne,欧克索讷县
Érondelle,埃龙代勒
Football Club Sochaux-Montbéliard,索肖足球俱乐部
Rezonville,勒宗维尔
muséum de Toulouse,圖盧茲博物館
Imling,伊姆兰
Royan,鲁瓦扬
Lixheim,利克赛姆
Plappeville,普拉普维尔
Hérault,埃羅河
code Insee d'un pays ou territoire étranger,INSEE國家及海外領土代碼
Mer Celtique,凱爾特海
Lixing-lès-Saint-Avold,利克桑-莱圣阿沃尔德
Willerwald,维勒瓦尔德
Aix-en-Provence,普罗旺斯地区艾克斯
Tragny,特拉尼
M. Gay Monde,世界同志先生
Lyon,里昂
Fort-de-France,法兰西堡
Saint-Jean-de-Bassel,圣让德巴塞勒
AS Saint-Étienne,圣艾蒂安足球俱乐部
Rhône,罗讷河
Rhin,莱茵河
mont Blanc,勃朗峰
Marly,马尔利
Norroy-le-Veneur,诺鲁瓦勒沃讷尔
Villeurbanne,维勒班
Charleville-Mézières,沙勒维尔-梅济耶尔
Longecourt-en-Plaine,隆日库尔昂普莱讷
Épagne-Épagnette,埃帕涅-埃帕涅特
Lixing-lès-Rouhling,利克桑莱鲁兰
Épaumesnil,埃波梅尼勒
Beuvillers,伯维莱尔
Pays basque,巴斯克地區
Toulouse FC,圖盧茲足球俱樂部
place Bellecour,贝勒库尔广场
Équancourt,埃康库尔
Essertaux,埃塞尔托
Lille OSC,里尔足球俱乐部
Englebelmer,昂格勒贝尔梅尔
Fribourg,弗里堡
Lille,里尔
Boulogne-sur-Mer,滨海布洛涅
Estrébœuf,埃斯特雷伯夫
Erches,埃尔什
AS Nancy-Lorraine,南锡足球俱乐部
musée du Louvre,卢浮宫
Marliens,马尔利安
Trémery,特雷姆里
Alsace,阿尔萨斯
Épehy,埃佩伊
France Musique,法国音乐广播电台
Magny-Montarlot,马尼-蒙塔尔洛
Izier,伊济耶
Longchamp,隆尚
Beaujolais,薄酒萊葡萄酒
Richemont,里什蒙
Versailles,凡尔赛
Radio France internationale,法国国际广播电台
Magny-sur-Tille,蒂耶河畔马尼
Olympique lyonnais,奥林匹克里昂
Rennes,雷恩
Estrées-Deniécourt,埃斯特雷代涅库尔
Semécourt,瑟梅库尔
France Info,法国新闻广播电台
France Inter,法国国际广播电台
France Bleu,法兰西蓝色电台
France Culture,法國文化廣播電台
Izeure,伊泽尔
Limousin,利穆赞
Fleisheim,弗莱赛姆
Labergement-Foigney,拉贝热芒富瓦涅
Ercheu,埃尔舍
Florac,弗洛拉克
Longeault,隆若
tour métallique de Fourvière,富維耶山鐵塔
équipe de France de football,法國國家足球隊
Labergement-lès-Auxonne,拉贝热芒-莱索克索讷
Genlis,让利斯
Ennemain,埃讷曼
Richeval,里什瓦勒
Esmery-Hallon,埃姆里阿隆
Esclainvillers,埃斯克兰维莱尔
.tf,.tf
Rimling,里姆兰
Woustviller,武斯特维莱尔
Champdôtre,尚多特尔
Viller,维莱
Varanges,瓦朗日
Saint-Jure,圣瑞尔
Lozère,洛泽尔站
Divatte,迪瓦特河
Flagey-lès-Auxonne,弗拉热莱索克索讷
Épécamps,埃佩康
Billey,比耶
Poncey-lès-Athée,蓬塞莱萨泰
Épénancourt,埃佩南库尔
Lorquin,洛尔坎
Tart-l'Abbaye,塔尔拉拜
Saint-Jean-Kourtzerode,圣让库尔策罗德
Lorraine,洛林
Aquitaine,阿基坦
Auxonne,欧克索讷
Mazerolles,马兹罗勒
Vielle-Soubiran,维耶勒苏比朗
Les Maillys,莱马伊
Laglorieuse,拉格洛里约斯
Porcelette,波尔瑟莱特
Rouvres-en-Plaine,鲁夫尔昂普莱讷
Bourgogne,勃艮第
Auvergne,奥弗涅
Ercourt,埃尔库尔
Pont,蓬村
Turquestein-Blancrupt,蒂尔克斯坦-布朗克吕
Eppeville,埃珀维尔
Alpes cottiennes,科蒂安山
Alpes grées,格拉耶山
Premières,普勒米耶尔
Jouy-aux-Arches,茹伊欧萨什
TEE Cisalpin,齐萨尔平号列车
musée Bossuet,博叙埃博物馆
Union des démocrates et indépendants,民主人士和獨立人士聯盟
Villers-les-Pots,维莱莱波
mer des Caraïbes,加勒比海
Tréclun,特雷克兰
Lorry-lès-Metz,洛里莱梅斯
Équennes-Éramecourt,埃凯讷-埃拉姆库尔
Sierck-les-Bains,谢尔莱班
Éplessier,埃普莱西耶
Soirans,苏瓦朗
Tart-le-Haut,上塔尔
Estrées-Mons,埃斯特雷蒙
Estrées-lès-Crécy,埃斯特雷莱克雷西
Katzenthal,卡岑塔勒
Hainaut français,法国埃诺
Beyries,贝里
Ergnies,埃尔尼
Thorey-en-Plaine,托雷昂普莱讷
Woippy,瓦皮
Flammerans,弗拉默朗
Oberstinzel,奥贝尔斯坦泽
Hérange,埃朗日
La Rochelle,拉罗谢尔
Athée,阿泰
Pluvet,普吕韦
Bastennes,巴斯泰讷
Tart-le-Bas,下塔尔
Le Mans,勒芒
Tillenay,蒂勒奈
musée des Beaux-Arts de Marseille,馬賽美術館
Wallonie,瓦隆尼亚
relations entre la France et la Russie,法国－俄罗斯关系
Villers-Rotin,维莱罗坦
Grenoble,格勒诺布尔
Pluvault,普吕沃
Alpes,阿尔卑斯山
Seine,塞纳河
Loire,卢瓦尔河
"musée Saint-Raymond, musée d'Archéologie de Toulouse",圣雷蒙德博物馆
Verny,韦尔尼
Postroff,波斯特罗夫
Kappelen,卡珀伦
Sainte-Croix-en-Plaine,圣克鲁瓦昂普莱讷
Neuilly-lès-Dijon,讷伊莱第戎
Elzange,埃尔藏日
Chamonix-Mont-Blanc,沙莫尼蒙勃朗
Perrigny-lès-Dijon,佩里尼莱第戎
Ouges,乌日
Longvic,隆维
aéroport Lyon-Saint-Exupéry,里昂圣埃克絮佩里机场
Bordeaux,波尔多
Bron,布龙
Erching,埃尔尚
Obergailbach,奥伯盖尔巴赫
Vry,弗里
Leyviller,莱维莱尔
Macheren,马什伦
Jebsheim,热布桑
Petit-Tenquin,小唐坎
Lencouacq,朗库阿克
Arles,阿尔勒
Chenôve,舍诺沃
Jungholtz,永戈尔茨
théâtre antique de Lyon,富維耶山古羅馬劇場
basilique Notre-Dame de Fourvière,富维耶圣母院
primatiale Saint-Jean de Lyon,里昂主教座堂
grande synagogue de Lyon,里昂大猶太會堂
mer de Corail,珊瑚海
Laquenexy,拉克内克西
Sin-le-Noble,桑勒诺布勒
Sainte-Croix-aux-Mines,圣克鲁瓦欧米讷
Issenheim,伊瑟奈姆
Marsannay-la-Côte,马尔萨奈拉科特
La Roche-sur-Grane,拉罗什叙格拉讷
Ronno,罗诺
Orgeux,奥尔热
Ardoix,阿尔杜瓦
Hombourg,翁堡
place Antonin-Poncet,安东尼 - 庞塞特广场
Cublize,屈布利兹
place des Terreaux,沃土广场
Valsonne,瓦尔索讷
FC Lorient,洛里昂足球俱乐部
Houssen,乌森
Saint-Julien,圣于连
prix Sakharov,萨哈罗夫奖
Siersthal,锡尔斯塔勒
Jettingen,热坦让
Saint-Tropez,圣特罗佩
Centre national d'études spatiales,法國國家太空研究中心
funiculaire de Lyon,里昂纜車
métro de Lyon,里昂地铁
Rhônexpress,羅訥特快
autoroute A6,A6高速公路
Amplepuis,昂普勒皮
Illhaeusern,伊勒伊瑟恩
Saou,苏村
Varois-et-Chaignot,瓦鲁瓦和谢尼奥
Saint-Pierre-sur-Doux,杜河畔圣皮埃尔
Saint-Symphorien-de-Mahun,圣桑福里安德马安
École normale supérieure,高等師範學校
Husseren-Wesserling,于瑟朗韦塞尔兰
Guermange,盖尔芒日
mer du Nord,北海
Volstroff,沃尔斯特罗夫
Dième,迪耶姆
Lorry-Mardigny,洛里-马尔迪尼
Noyon,努瓦永
Lozanne,洛扎讷
Ormersviller,奥梅尔斯维莱尔
Husseren-les-Châteaux,于瑟朗莱沙托
Chamelet,沙姆莱
Nousseviller-lès-Bitche,努斯维莱尔莱比奇
Huningue,于南格
Remilly-sur-Tille,蒂耶河畔勒米伊
Saint-Apollinaire,圣阿波利奈尔
Hilsprich,伊尔斯普里什
Horbourg-Wihr,奥尔堡-维尔
Ruffey-lès-Echirey,吕费莱塞希雷
Diamant,鑽石號系列運載火箭
Brognon,布罗尼翁
Peltre,佩尔特
Illfurth,伊尔菲特
lettons,拉脫維亞人
Moselle,摩澤爾河
Clénay,克莱奈
Stuckange,斯蒂康日
Neuilly-sur-Seine,塞纳河畔讷伊
Le Val-de-Guéblange,勒瓦勒德盖布朗日
Hundsbach,安德斯巴克
Fénétrange,费内特朗日
Schneider Electric,施耐德电气
Saint-Clément-sur-Valsonne,圣克莱芒-叙瓦尔索讷
Couternon,库泰尔农
Sturzelbronn,什蒂策尔布龙
Jury,瑞里
Sennecey-lès-Dijon,塞讷塞莱第戎
ligne 9,巴黎地鐵9號線
ligne 10,巴黎地鐵10號線
ligne 11,巴黎地鐵11號線
Bretigny,布勒蒂尼
Vahl-Ebersing,瓦勒埃贝尔桑
Seingbouse,桑布斯
Chevigny-Saint-Sauveur,舍维尼圣索沃尔
Eincheville,安什维尔
Beynes,贝讷
Saint-Georges,圣乔治
Grandris,格朗里
Blaru,布拉吕
ligne 14,巴黎地铁14号线
Bois-d'Arcy,布瓦达尔西
Bévy,贝维
Philippsbourg,菲利普斯堡
ligne 12,巴黎地鐵12號線
ligne 13,巴黎地鐵13號線
haut allemand,高地德语
Crimolois,克里莫卢瓦
Méallet,梅阿莱
Quetigny,克蒂尼
Mey,梅村
Bazainville,巴赞维尔
ligne 3,巴黎地鐵3號線
ligne 3 bis,巴黎地鐵3號線支線
ligne 2,巴黎地鐵2號線
Rivolet,里沃莱
ligne 8,巴黎地鐵8號線
métro de Paris,巴黎地鐵
Autouillet,欧图耶
Broindon,布鲁万东
Béhoust,贝乌斯特
Solgne,索尔涅
concile de Clermont,克莱芒会议
ligne 7,巴黎地铁7号线
ligne 7 bis,巴黎地鐵7號線支線
Annecy,阿讷西
Givors,日沃尔
Brochon,布罗雄
Arc-sur-Tille,蒂耶河畔阿尔克
Lyon-Perrache,里昂佩拉什車站
Lyon-Part-Dieu,里昂迪奧公園車站
Lyon-Vaise,里昂韦斯站
Lyon-Saint-Paul,里昂圣保罗站
Bailly,巴伊
mont Saint-Michel,聖米歇爾山
Ternand,泰尔南
croisade des albigeois,阿尔比十字军
Rémering-lès-Puttelange,雷姆兰莱皮特朗日
Bassemberg,巴桑贝尔
Guénange,盖南日
Bressey-sur-Tille,蒂耶河畔布雷塞
stade de Gerland,熱爾蘭球場
Clémencey,克莱芒塞
ligne 6,巴黎地鐵6號線
Boinvilliers,班维利耶
Monsols,蒙索勒
ligne 4,巴黎地鐵4號線
ligne 5,巴黎地鐵5號線
Chambœuf,尚伯夫
Barges,巴尔日
Etting,埃坦
Chambost-Allières,尚博-阿利耶尔
Oingt,万村
Chambolle-Musigny,尚博勒米西尼
Loire-Atlantique,大西洋卢瓦尔省
Lessy,莱西
Voisins-le-Bretonneux,瓦桑勒布勒托讷
gare de Lyon-Brotteaux,里昂布罗托站
Allier,阿列河
Bazemont,巴兹蒙
Boinville-le-Gaillard,班维尔勒加亚尔
Falck,法尔克
Viroflay,维罗夫莱
ligne A,里昂地鐵A線
Le Mont-Saint-Michel,勒蒙-圣米歇尔
château de Versailles,凡尔赛宫
Collonges-lès-Bévy,科隆日莱贝维
La Boissière-École,拉布瓦西耶尔-埃科勒
Gandrange,冈德朗日
Bennecourt,贝讷库尔
Beinheim,拜奈姆
ligne B,里昂地鐵B線
ligne C,里昂地鐵C線
Curtil-Vergy,屈尔蒂勒韦尔日
Bazoches-sur-Guyonne,吉约讷河畔巴佐什
Antilles françaises,法属安的列斯
Nuku Hiva,努库希瓦岛
Climbach,克利姆巴克
Colroy-la-Roche,科尔鲁瓦拉罗什
Chevannes,舍瓦讷
Crastatt,克拉斯塔
Bischholtz,比绍尔茨
Corcelles-lès-Cîteaux,科尔塞勒莱西托
Épernay-sous-Gevrey,埃佩尔奈苏热夫雷
Ain,安省
Guerstling,盖尔斯特兰
route nationale 45,國道45號
Alpes-Maritimes,滨海阿尔卑斯省
Couchey,库谢
Dahlenheim,达勒奈姆
Blaesheim,布莱赛姆
ligne D,里昂地鐵D線
cathédrale Notre-Dame de Paris,巴黎聖母院
Villiers-Saint-Frédéric,维利耶-圣弗雷德里克
Birkenwald,比尔康瓦尔
Kaysersberg,凯瑟斯贝格
Gerbécourt,热贝库尔
Asswiller,阿斯维莱尔
Holling,奥兰
Hautes-Alpes,上阿尔卑斯省
Allenwiller,阿伦维莱尔
Vosges,孚日省
Aisne,埃纳省
amphithéâtre des Trois Gaules,三高盧人圓形竞技场
Givrycourt,日夫里库尔
Bitschhoffen,比乔芬
Villiers-le-Mahieu,维利耶勒马约
Allier,阿列省
Guinkirchen,金基申
L'Étang-Vergy,莱唐韦尔日
Bissert,比塞尔
Torcheville,托尔舍维尔
Neufvillage,讷维拉日
Kembs,凯姆斯
Curley,屈尔莱
Jura,汝拉省
Cornettes de Bise,科爾內特德比斯山
Morhange,莫朗日
Fénay,费奈
Fixin,菲克桑
Vic-sur-Seille,塞耶河畔维克
La Verrière,拉韦里耶尔
Burbach,比尔巴克
Volmerange-lès-Boulay,沃尔默朗日莱布莱
Aveyron,阿韦龙省
Villette,维莱特
Ardennes,阿登省
Ardèche,阿尔代什省
Artolsheim,阿尔托尔桑
Bouches-du-Rhône,罗讷河口省
Messanges,梅桑日
Détain-et-Bruant,代坦和布吕昂
Daubensand,多邦桑
Rémelfang,雷梅尔方
Morey-Saint-Denis,莫雷圣但尼
Aschbach,阿斯克巴克
Champagny,尚帕尼
Zimming,齐曼
Vielle-Saint-Girons,维耶勒-圣日龙
Bligny-le-Sec,布利尼勒塞克
Aude,奥德省
Saulon-la-Chapelle,索隆拉沙佩勒
César de la meilleure actrice dans un second rôle,凱撒獎最佳女配角獎
Thionville,蒂永维尔站
Drachenbronn-Birlenbach,德拉尚布龙比尔朗巴克
Turcs,土耳其人
Nousseviller-Saint-Nabor,努斯维莱尔-圣纳博尔
Francheville,弗朗什维尔
La Tania,拉塔尼亞
Le Mesnil-Saint-Denis,勒梅尼勒圣但尼
Breuschwickersheim,布勒斯克维凯尔桑
Farschviller,法尔什维莱尔
Noiron-sous-Gevrey,努瓦龙苏热夫雷
Hunawihr,于纳维
La Cagoule,革命秘密委员会
Reulle-Vergy,勒勒韦尔日
odéon antique de Lyon,里昂劇場
Velving,韦尔万
Roupeldange,鲁佩尔当日
Ariège,阿列日省
Piblange,皮布朗日
Gevrey-Chambertin,热夫雷尚贝坦
Saint-François-Lacroix,圣弗朗索瓦-拉克鲁瓦
Alpes-de-Haute-Provence,上普罗旺斯阿尔卑斯省
Quemigny-Poisot,克米尼-普瓦索
Dingsheim,丹格桑
Blancherupt,布朗什吕
Saulon-la-Rue,索隆拉吕
Cantal,康塔爾省
Lesse,莱斯
Curtil-Saint-Seine,屈尔蒂勒圣塞纳
Léry,莱里
Charente,夏朗德省
Savouges,萨武日
Aube,奥布省
Dauendorf,道恩多夫
Chanceaux,尚索
Frénois,弗雷努瓦
Lamargelle,拉马热勒
Lourdes,盧爾德
Panges,庞日
Dambach,当巴克
Riche,里什
Pellerey,佩勒雷
Calvados,卡爾瓦多斯省
Réning,雷南
Berstheim,贝尔斯泰姆
Poncey-sur-l'Ignon,伊尼翁河畔蓬塞
calvados,卡爾瓦多斯白蘭地
basilique Saint-Martin d'Ainay,圣玛尔定德埃纳圣殿
Charente-Maritime,滨海夏朗德省
basilique de l'Immaculée-Conception de Lourdes,圣母无玷始胎圣殿
Semezanges,瑟姆藏日
Domfessel,东费塞
Orbe,奥尔伯河
Saint-Philibert,圣菲利贝尔
Filstroff,菲尔斯特罗夫
Vaudreching,沃德勒尚
Dehlingen,代林根
Segrois,瑟格鲁瓦
Salives,萨利沃
Creuse,克勒兹省
Dossenheim-Kochersberg,多瑟南科谢尔斯贝尔
Urcy,于尔西
4e arrondissement de Lyon,里昂第四区
Neunkirchen-lès-Bouzonville,讷恩基申-莱布宗维尔
Fraignot-et-Vesvrotte,弗赖尼奥和韦夫罗特
Diebolsheim,迪博尔赛姆
Varsberg,瓦尔斯贝格
Saussy,索西
Côte-d'Or,科多尔省
Cher,谢尔省
Momerstroff,莫梅尔斯特罗夫
Poiseul-la-Grange,普瓦瑟勒拉格朗日
Diedendorf,迪登多夫
Cussey-les-Forges,屈塞莱福日
Ottonville,奥通维尔
Dossenheim-sur-Zinsel,赞塞河畔多瑟南
Ternant,泰尔南
Petite-Rosselle,小罗塞勒
Bolsenheim,博尔瑟奈姆
5e arrondissement de Lyon,里昂第五区
Avot,阿沃
Dinsheim-sur-Bruche,布吕什河畔丁赛姆
Trouhaut,特鲁欧
Biblisheim,比布利赛姆
Busserotte-et-Montenaille,比斯罗特和蒙特纳耶
Guinglange,甘格朗日
Corse-du-Sud,南科西嘉
Créhange,克雷昂日
Saint-Martin-du-Mont,圣马丹迪蒙
Batzendorf,巴岑多夫
1er arrondissement de Lyon,里昂第一区
Corrèze,科雷兹省
6e arrondissement de Lyon,里昂第六区
7e arrondissement de Lyon,里昂第七区
Val-Suzon,瓦勒叙宗
Doubs,杜省
Théding,泰丹
Buswiller,比斯维莱尔
Turcey,蒂尔塞
Haute-Corse,上科西嘉
Saint-Seine-l'Abbaye,圣塞纳拉拜
Grancey-le-Château-Neuvelle,格朗塞堡-讷韦勒
Bussières,比西耶尔
Essonne,埃松省
Barembach,巴朗巴克
9e arrondissement de Lyon,里昂第九区
Guerting,盖尔坦
Villotte-Saint-Seine,维洛特圣塞纳
Côtes-d'Armor,阿摩尔滨海省
2e arrondissement de Lyon,里昂第二区
3e arrondissement de Lyon,里昂第三区
Boofzheim,博夫宰姆
Vaux-Saules,沃索勒
Betschdorf,贝奇多夫
Lipsheim,利普赛姆
Breitenau,布雷特诺
Hambach,安巴赫
Moutiers-au-Perche,穆捷欧佩什
Dordogne,多爾多涅省
Elvange,埃尔旺日
Lutzelbourg,吕策尔堡
Bourgheim,布尔盖姆
Chazelles,沙泽勒
Mutzig,米齐格
La Petite-Pierre,拉珀蒂特皮埃尔
Bettwiller,贝特维莱尔
Vichy,维琪
Drôme,德龙省
Courlon,库尔隆
fort Boyard,布瓦亚尔堡垒
Chamvres,尚夫尔
8e arrondissement de Lyon,里昂第八区
Diemeringen,迪默林根
Flacey,弗拉塞
Bernolsheim,贝尔诺尔桑
ligne U,U線
Finistère,菲尼斯泰尔省
Saint-Brice,圣布里斯
ligne N,法兰西岛大区列车N线
ligne L,法兰西岛大区列车L线
ligne K,法兰西岛大区列车K线
ligne R,法兰西岛大区铁路R线
ligne H,法兰西岛大区铁路H线
ligne J,法兰西岛大区列车J线
religieuse,修女泡芙
Avelanges,阿沃朗日
Château-Voué,武埃堡
Eure-et-Loir,厄尔-卢瓦省
Morsbach,莫尔斯巴克
Chassy,沙西
Guyane,法屬圭亞那
Chaignay,谢涅
Champlay,尚普莱
Donnenheim,多讷奈姆
Eure,厄尔省
Courtivron,库尔蒂夫龙
Dieffenbach-au-Val,迪耶方巴克奥瓦
Pannecé,帕讷塞
Bourg-Bruche,布吕什堡
parc de la Tête d'Or,金头公园
hôtel-Dieu de Lyon,里昂主宫医院
université Jean-Moulin-Lyon-III,讓·穆林大學里昂3
université Claude-Bernard-Lyon-I,里昂第一大學
Moulins-lès-Metz,穆兰莱梅斯
Petites Antilles,小安的列斯群岛
Moloy,莫卢瓦
Bernardswiller,贝尔纳尔德斯维莱
Appalaches,阿巴拉契亚山脉
Francheville,弗朗什维尔
Roanne,罗阿讷
Guessling-Hémering,盖斯兰埃默兰
Barjon,巴尔容
Bussières,比西耶尔
Festigny,费斯蒂尼
Diénay,迪耶奈
Chemilly-sur-Yonne,约讷河畔舍米伊
Crécey-sur-Tille,蒂耶河畔克雷塞
Pichanges,皮尚日
château de Blois,布卢瓦城堡
Dimbsthal,迪姆斯塔勒
Épagny,埃帕尼
Échevannes,埃什瓦讷
Lux,吕克斯
Cheny,舍尼
Baldenheim,巴尔德奈姆
Avolsheim,阿沃尔赛姆
Marsannay-le-Bois,马尔萨奈勒布瓦
Rhinau,里诺
Kertzfeld,凯尔特兹弗尔
Lemberg,伦贝格
Marey-sur-Tille,蒂耶河畔马雷
ASVEL Lyon-Villeurbanne,ASVEL籃球隊
aéroport de Lyon-Bron,里昂-布龙机场
Champcevrais,尚瑟夫赖
révolte des Canuts,里昂絲綢工人起義
place Carnot,卡诺广场
rue des Marronniers,板栗街
bataille de Valmy,瓦爾密戰役
Ritzing,里灿
sites palafittiques préhistoriques autour des Alpes,阿尔卑斯地区的史前湖岸木桩建筑
Grosbliederstroff,格罗斯布利代斯特罗夫
Is-sur-Tille,蒂耶河畔伊斯
mer Méditerranée,地中海
ligne P,法兰西岛大区铁路P线
Chailley,沙耶
Racrange,拉克朗日
arrondissement de Versailles,凡尔赛区
Fougères,富热尔
université Lumière-Lyon-II,里昂第二大學
Gréning,格雷南
Esnon,埃农
ordre de la Santé publique,公共衛生勳章
Champlost,尚普洛
Guenviller,盖恩维莱
Marcilly-sur-Tille,蒂耶河畔马西伊
Auenheim,奥厄奈姆
Vougeot,武若
Fête des Lumières,里昂灯光节
Orchestre national de Lyon,里昂国立管弦乐团
Opéra National de Lyon,里昂国家歌剧团
théâtre des Célestins,策肋定剧院
place Ampère,安培广场
Tromborn,特龙博恩
Charmoy,沙尔穆瓦
Aunay-en-Bazois,巴祖瓦地区奥奈
Gerstheim,盖尔斯泰姆
Gundershoffen,甘代尔索方
Saulx-le-Duc,索勒迪克
Villey-sur-Tille,蒂耶河畔维耶
Chamoux,沙穆
Eywiller,埃维莱
Flocourt,弗洛库尔
Lengelsheim,伦格尔赛姆
Villecomte,维勒孔特
Gros-Réderching,大雷代尔尚
Charentenay,沙朗特奈
Vigy,维日
Spoy,斯普瓦
Lachambre,拉尚布尔
Kirrberg,基尔贝格
Saint-Jean-Rohrbach,圣让罗尔巴克
Bietlenheim,比特勒奈姆
Courgis,库尔吉
Ettendorf,埃滕多夫
Maurepas,莫尔帕
Til-Châtel,蒂勒沙泰勒
Handschuheim,昂德斯许安
Tarsul,塔尔叙勒
Hattmatt,阿特马特
Hangenbieten,昂让比耶唐
