George Washington,조지 워싱턴
Victor Papanek,빅토르 파파네크
Gottfried Haberler,고트프리트 하벌러
August Zirner,아우구스트 치르너
Helen Gahagan Douglas,헬렌 가하간
Jacob L. Moreno,야코브 레비 모레노
James G. Stavridis,제임스 G. 스타브리디스
Hans Heinrich von Twardowski,한스 하인리히 폰 트바르도프스키
Johnny Simmons,조니 시먼스
Jay Asher,제이 애셔
Tommy Haas,토미 하스
Vitas Gerulaitis,비터스 제럴라이티스
N.O.R.E.,N.O.R.E
Elisabeth Schüssler Fiorenza,엘리자베스 쉬슬러 피오렌자
Carl Esmond,칼 에즈먼드
Nicolas Berggruen,니콜라스 베르그루엔
Ariana Grande,아리아나 그란데
Danny Nucci,대니 누치
Stefan Sagmeister,슈테판 자그마이스터
Eric Wolf,에릭 울프
Shane Carwin,셰인 카윈
Robert J. Van de Graaff,로버트 J. 밴더그래프
Yoko Ono,오노 요코
Alessandra Ambrosio,알레산드라 암브로지우
Taylor Lautner,테일러 로트너
Johnny Weissmuller,조니 와이즈뮬러
Martin Klebba,마틴 클레바
Jack Antonoff,잭 안토노프
Doris Hart,도리스 하트
John Isner,존 이스너
Chris Pine,크리스 파인
George H. W. Bush,조지 H. W. 부시
Jeff Daniels,제프 대니얼스
Josh Lucas,조시 루커스
Chord Overstreet,코드 오버스트리트
Ryan Higa,라이언 히가
Michaela Conlin,미케일라 콘린
Frank Abagnale,프랭크 애버그네일
"Joseph O'Neill (writer, born 1964)",조지프 오닐
Robert Brout,로버트 브라우트
Alex Borstein,앨릭스 보스틴
Alexandra Nechita,알렉산드라 네치타
Eben Alexander (author),이븐 알렉산더
Philip Schaff,필립 샤프
Bob Lutz (businessman),로버트 앤서니 루츠
George C. Marshall,조지 마셜
Barnum Brown,바넘 브라운
Abraham Maslow,에이브러햄 매슬로
David Coverdale,데이비드 커버데일
Alexander Calder,알렉산더 콜더
Ann Forrest,안 포레스트
Roy Lichtenstein,로이 리히텐슈타인
Laura Bush,로라 부시
Wiz Khalifa,위즈 칼리파
Jerry Brown,제리 브라운
Keri Hilson,케리 힐슨
Billie Jean King,빌리 진 킹
John Hay,존 헤이
Dexter Gordon,덱스터 고든
Jeremy Renner,제러미 레너
Josh Sussman,조시 서스먼
Leonard Bernstein,레너드 번스타인
Josh Stewart,조시 스튜어트
George Papandreou,요르요스 파판드레우 (1952년)
Kirstie Alley,커스티 앨리
Betsy Jones-Moreland,베치 존스모얼랜드
Josephine Baker,조세핀 베이커
Ted Ligety,테드 리거티
Roy Raymond,로이 레이먼드
Ernest Hemingway,어니스트 헤밍웨이
J. P. Morgan,J. P. 모건
Rupert Murdoch,루퍼트 머독
The Boogeyman (wrestler),마티 라이트
Bryan Cranston,브라이언 크랜스턴
Mary McDonnell,메리 맥도널
Larry David,래리 데이비드
Michelle Johnson (actress),미쉘 존슨
Lorin Maazel,로린 마젤
Bethanie Mattek-Sands,베서니 매틱샌즈
Paul Carr (actor),폴 카
Larry Wall,래리 월
Richard E. Nisbett,리처드 E. 니스벳
Tom Savini,톰 새비니
James Fauntleroy,제임스 폰틀로이
Martina Navratilova,마르티나 나브라틸로바
Theodor W. Adorno,테오도어 아도르노
Liberty Hyde Bailey,리버티 하이드 베일리
Michael Douglas,마이클 더글러스
Jimmy Carter,지미 카터
Amy Acker,에이미 애커
Louise Brooks,루이즈 브룩스
Edgar F. Codd,에드거 F. 커드
Selena,셀레나
George Clooney,조지 클루니
Caitlyn Taylor Love,케이틀린 테일러 러브
Peter Francis James,피터 프랜시스 제임스
Missy Franklin,미시 프랭클린
Ron Canada,론 캐나다
John Demjanjuk,이반 데미야뉴크
Betty Hutton,베티 허튼
Brad Renfro,브래드 렌프로
Fred Brooks,프레더릭 브룩스
Haskell Curry,해스켈 커리
Howard Zinn,하워드 진
Mekhi Phifer,메키 파이퍼
John Belushi,존 벨루시
Douglas Engelbart,더글러스 엥겔바트
Richard M. Karp,리처드 M. 카프
Leslie Lamport,레슬리 램포트
Bjarne Stroustrup,비야네 스트롭스트룹
Richard Hamming,리처드 해밍
Paul Baran,폴 배런
Martha Gellhorn,마사 겔혼
Edmond O'Brien,에드먼드 오브라이언
Gloria Dickson,글로리아 딕슨
Maggie Hassan,매기 해선
Butler Lampson,버틀러 램슨
Robert W. Floyd,로버트 플로이드
Christos Papadimitriou,크리스토스 파파디미트리우
Fay Bainter,페이 베인터
Meat Loaf,미트 로프 (가수)
Dean Devlin,딘 데블린
Andrew S. Tanenbaum,앤드루 타넨바움
Paul Pierce,폴 피어스
Benny Golson,베니 골슨
Josiah Willard Gibbs,조사이어 윌러드 기브스
Al St. John,알 세인트 존
Martin O'Malley,마틴 오맬리
Jeanne Tripplehorn,진 트리플혼
Susan Sontag,수전 손택
Bobby Riggs,바비 릭스
Sam Querrey,샘 퀘리
Ron Carey (actor),론 캐리
David Clennon,데이비드 클레넌
Henry Wadsworth Longfellow,헨리 워즈워스 롱펠로
Winona LaDuke,위노아 라두크
Nicholas Negroponte,니콜라스 네그로폰테
Alexey Pajitnov,알렉세이 파지트노프
Robert Capa,로버트 카파
William Sadler (actor),윌리엄 새들러
John Carmack,존 카맥
Jim Gray (computer scientist),짐 그레이
Brian Kernighan,브라이언 커니핸
Bill Ritter,빌 리터
David Doyle,데이비드 도일
Irvin Kershner,어빈 커슈너
Alexa PenaVega,알렉사 베가
Jay Rock,제이 록
Lila Downs,릴라 다운스
Lou Costello,루 코스텔로
Bud Abbott,버드 애벗
Andrew Garfield,앤드류 가필드
Fernando J. Corbató,페르난도 J. 코바토
Gary Kildall,게리 킬달
Juris Hartmanis,유리스 하르트마니스
Andy Roddick,앤디 로딕
Colonel Sanders,커널 샌더스
Riki Lindhome,리키 린드홈
George Irving (American actor),조지 어빙
LeAnn Rimes,리앤 라임스
Valdas Adamkus,발다스 아담쿠스
Blanche Baker,블랑쉬 베이커
Scatman John,스캣맨 존
Stan Smith,스탠 스미스
Jack Sock,잭 속
Warner Oland,워너 올랜드
Sloane Stephens,슬로안 스티븐스
John Cocke (computer scientist),존 코크
Ray Tomlinson,레이 톰린슨
Shawn Fanning,숀 패닝
Robert Tarjan,로버트 타잔
Ray Ozzie,레이 오지
Summer Sanders,서머 샌더스
Dallas Roberts,댈러스 로버츠
John Lewis Gaddis,존 루이스 개디스
Jack Steinberger,잭 스타인버거
John Robert Schrieffer,존 로버트 슈리퍼
Alicia Keys,앨리샤 키스
Leo Szilard,실라르드 레오
Anthony Swarzak,앤서니 스와잭
Brendan Eich,브렌던 아이크
Philip J. Fry,필립 J. 프라이
Ha Jin,하진 (소설가)
Hans Reiser,한스 라이저
Julio Iglesias,훌리오 이글레시아스
Michaela McManus,미케일라 맥매너스
Hilary Duff,힐러리 더프
Michele Merkin,미첼 멀킨
Tony Trabert,토니 트래버트
CoCo Vandeweghe,코코 밴더웨이
Jack Dongarra,잭 동가라
Susan Wojcicki,수전 워치츠키
David Gelernter,데이비드 겔런터
Kent Beck,켄트 벡
Jenna Bush Hager,제나 부시 헤이거
Meg Whitman,메그 휘트먼
Louis Agassiz,루이 아가시
Enid Markey,에니드 마키
Mike Pence,마이크 펜스
Eden Sher,이든 셔
Charles Stevens (actor),찰스 스티븐스
Ben Turpin,벤 터핀
Mae Marsh,메이 마시
Ed Asner,에드워드 애스너
