Beijing,北京市
Ningbo Lishe International Airport,寧波櫟社国際空港
Dazu,大足石刻
Gangkhar Puensum,ガンカー・プンスム
Asia,アジア
Hohhot Baita International Airport,フフホト白塔国際空港
Guangzhou Baiyun International Airport,広州白雲国際空港
Guilin Liangjiang International Airport,桂林両江国際空港
Shenzhen Bao'an International Airport,深セン宝安国際空港
Wuhan Tianhe International Airport,武漢天河国際空港
Lanzhou Zhongchuan Airport,蘭州中川空港
Xiamen Gaoqi International Airport,廈門高崎国際空港
Hangzhou Xiaoshan International Airport,杭州蕭山国際空港
Guiyang Longdongbao International Airport,貴陽龍洞堡国際空港
Chengdu Shuangliu International Airport,成都双流国際空港
Hotan Airport,ホータン空港
Ürümqi Diwopu International Airport,ウルムチ地窩堡国際空港
Changchun Longjia International Airport,長春龍嘉国際空港
Harbin Taiping International Airport,ハルビン太平国際空港
Shenyang Taoxian International Airport,瀋陽桃仙国際空港
Kunming Changshui International Airport,昆明長水国際空港
Wenshan City,文山市
Beijing Daxing International Airport,北京大興国際空港
Beichengqu,豊鎮
Nanjing Shi,南京
Dian Chi,テン池
Gutao,平遥県
Lianyuan,漣源市
Gasherbrum I,ガッシャーブルムI峰
Lhotse,ローツェ
Lijiang Sanyi Airport,麗江三義空港
Luoyang Beijiao Airport,洛陽北郊空港
Lianyungang Baitabu Airport,連雲港白塔埠空港
Yichang Sanxia Airport,宜昌三峡空港
Diqing Shangri-La Airport,デチェン・シャングリラ空港
Jieyang Chaoshan Airport,掲陽潮汕空港
Zhengzhou Xinzheng International Airport,鄭州新鄭国際空港
Nanjing Lukou International Airport,南京禄口国際空港
Qingdao Liuting International Airport,青島流亭国際空港
Chongqing Jiangbei International Airport,重慶江北国際空港
Yining Airport,イーニン空港
Qiqihar Sanjiazi Airport,チチハル三家子空港
Dalian Zhoushuizi International Airport,大連周水子国際空港
Yantai Laishan International Airport,煙台莱山国際空港
Jinan Yaoqiang International Airport,済南遥墻国際空港
Dao Cheng Yading Airport,稲城亜丁空港
Guyuan Liupanshan Airport,固原六盤山空港
Yantai Penglai International Airport,煙台蓬莱国際空港
Longnan,隴南市
Song Shan,嵩山
Shenzhen,深セン
Songzi,松滋市
Xinhui,新会区
Guangming Ding,黄山
Gongga Shan,ミニヤコンカ
Longgang,竜崗区
Emei Shan,峨眉山
Dabie Shan,大別山脈
Bogda Shan,ボゴダ山
Broad Feng,ブロード・ピーク
Sha-li-k’o-erh Shan,サリコル山
Kongur Shan,コングール山
Kangrinboqê Feng,カイラス山
Hengduan Shan,横断山脈
Golmud,ゴルムド
Makālu,マカルー
Qilian Shan,祁連山脈
Nanshan,南山区
Beijing National Stadium,北京国家体育場
Three Gorges Dam,三峡ダム
Potala,ポタラ宮
Xishuangbanna,シーサンパンナ・タイ族自治州
Sansha,三沙市
Pumori,プモリ
Kunlun Mountains,崑崙山脈
Xiang Jiang,湘江
Wei He,渭水
Hankou,漢口
Hai He,海河
Zhongwei,中衛
Yinxu,殷墟
Pudong,浦東新区
Bo'ao,博鰲鎮
Gasherbrum II Feng,ガッシャーブルムII峰
Shanghai World Financial Center,上海環球金融中心
Tiananmen Square,天安門
Beijing National Aquatics Center,北京国家水泳センター
Oriental Pearl Tower,東方明珠電視塔
Jokhang,トゥルナン寺
Drepung,デプン寺
Shanghai International Circuit,上海インターナショナル・サーキット
Bazhong,巴中
