Douglas Adams,道格拉斯·亚当斯
Tommie Hoban,托米·霍班
Stephen McGinn,斯蒂芬·麥克金
"Sean Murray (footballer, born 1993)",肖恩·莫瑞
Alesha Dixon,艾莉莎·迪克森
Arthur Percival,白思華
Nathaniel Chalobah,納撒尼爾·查洛巴
"Adam Miller (footballer, born 1982)",阿當·米拿
Frank Lampard,法蘭克·林柏特
George Bernard Shaw,萧伯纳
James Key (Formula One),詹姆斯·基
Ellie Goulding,艾麗·高登
"David Cecil, 6th Marquess of Exeter",戴维·伯利
Robert Louis Stevenson,羅伯特·路易斯·史蒂文森
Siobhan Chamberlain,西沃恩·张伯伦
Rachel Brown-Finnis,蕾切尔·布朗
Mo Farah,穆罕默德·法拉
Hope Powell,霍普·鲍威尔
Sophie Bradley-Auckland,索菲·布拉德利-奥克兰
Laura Bassett,劳拉·巴西特
Casey Stoney,凯茜·斯托尼
Steph Houghton,斯蒂夫·霍顿
Claire Rafferty,克莱尔·拉弗蒂
Rupert Grint,魯伯特·葛林
Carrie Lam,林鄭月娥
Karl Henry,卡爾·亨利·(足球運動員)
"Arthur Nicolson, 1st Baron Carnock",第一代卡诺克男爵亚瑟·尼科尔森
Martyn Lloyd-Jones,钟马田
Harry Haslam (field hockey),哈里·哈斯拉姆
Kenny Miller,堅尼·米拿
Arthur Leighton,阿瑟·莱顿
Hugo Weaving,曉高·韋榮
H. G. Wells,H·G·威尔斯
Stanley Kubrick,斯坦利·库布里克
Karen Carney,卡伦·卡尼
Fara Williams,法拉·威廉斯
Robbie Grabarz,罗比·格拉巴茨
Greg Rutherford,格雷格·卢瑟福
Faye White,费伊·怀特
Rachel Williams (footballer),蕾切尔·威廉斯
Toni Duggan,托妮·达根
Peter Lilley,彼得·萊利·(政治人物)
Victoria Beckham,维多利亚·贝克汉姆
Ellen White (footballer),埃伦·怀特
Eniola Aluko,埃妮奥拉·阿卢科
Anita Asante,安妮塔·阿桑特
Jill Scott (footballer),吉尔·斯科特·(足球运动员)
Bertrand Russell,伯特兰·罗素
Keira Knightley,姬拉·麗莉
Audrey Hepburn,奥黛丽·赫本
Geri Halliwell,潔芮·哈利維爾
Gabrielle Aplin,加布里埃爾·阿普林
Mike Hawthorn,迈克·霍索恩
Katie Chapman,凯蒂·查普曼
Kathleen Booth,凯瑟琳·布思
Jean Shrimpton,珍·诗琳普顿
Kylie Minogue,凯莉·米洛
Luigi Cherubini,路易吉·凱魯比尼
Sergey Kapitsa,谢尔盖·卡皮察
Slash (musician),史萊許
J. K. Rowling,J·K·罗琳
James Hilton (novelist),詹姆斯·希爾頓
Rudyard Kipling,魯德亞德·吉卜林
Charles III,查爾斯三世
Mark Millar,馬克·米勒·(作家)
Matthew Vaughn,马修·沃恩
Paul McCartney,保罗·麦卡特尼
Ringo Starr,林格·斯塔
"Robert Baden-Powell, 1st Baron Baden-Powell",羅伯特·貝登堡
"Robert Cecil, 1st Viscount Cecil of Chelwood",第一代切爾伍德的塞西爾子爵羅伯特·塞西爾
Jack the Ripper,開膛手傑克
Adele,愛黛兒
Angus Young,安格斯·楊
George Harrison,乔治·哈里森
Daniel Tammet,丹尼尔·谭米特
Ricky Gervais,瑞吉·葛文
David Broome,戴维·布鲁姆
Chris Patten,彭定康
Elton John,艾爾頓·強
Elizabeth Taylor,伊丽莎白·泰勒
Eric Hobsbawm,艾瑞克·霍布斯邦
D. H. Lawrence,大卫·赫伯特·劳伦斯
Salman Rushdie,薩爾曼·魯西迪
William Golding,威廉·戈尔丁
Mike Oldfield,麦克·欧菲尔德
Jim Clark,吉姆·克拉克
Graham Hill,诺曼·格拉汉姆·希尔
John Surtees,约翰·苏尔特斯
Paul Gascoigne,保罗·加斯科因
Ebenezer Howard,埃比尼泽·霍华德
Rowan Atkinson,路雲·雅堅遜
Brian Cox (actor),布萊恩·考克斯·(演員)
Frances Fisher,法蘭西絲·費雪
Richard Dawkins,理查德·道金斯
Agatha Christie,阿加莎·克里斯蒂
Keith Campbell (biologist),基思·坎贝尔
Jackie Stewart,杰基·斯图尔特
Jack Wilshere,杰克·威尔希尔
Gordon Ramsay,戈登·拉姆齊
Stephen Merchant,斯蒂芬·默切特
W. D. Hamilton,威廉·唐納·漢彌爾頓
Andrew Garfield,安德魯·加菲爾德
Arthur Conan Doyle,阿瑟·柯南·道尔
Ryan Fraser,瑞安·弗雷澤
Orlando Bloom,奥兰多·布鲁姆
V. S. Naipaul,V·S·奈波爾
Uri Geller,尤里·蓋勒
George Orwell,乔治·奥威尔
Freddie Mercury,弗雷迪·默丘里
Brian May,布赖恩·梅
Richard Meinertzhagen,理查德·梅纳茨哈根
Roger Taylor (Queen drummer),罗杰·泰勒
Robert Pattinson,羅伯·派汀森
"William, Prince of Wales",威爾斯親王威廉
Fit Finlay,芬利
Alex Ferguson,亚历克斯·弗格森
Bernard Katz,伯纳德·卡茨
John Cleese,约翰·克里斯
Paul Scholes,保羅·史高斯
Graham Chapman,格雷厄姆·查普曼
John Barrowman,约翰·巴洛曼
Colin Crouch,科林·克劳奇
Terry Gilliam,特里·吉列姆
Alexander Fleming,亚历山大·弗莱明
Shaun Maloney,肖恩·馬洛尼
Daniel Craig,丹尼尔·克雷格
Amy Macdonald,艾米·麦克唐纳
Amy Winehouse,艾米·怀恩豪斯
Sean Connery,肖恩·康纳利
David Bowie,大卫·鲍伊
Christine Ohuruogu,克莉斯汀·奥胡鲁古
Roald Dahl,羅爾德·達爾
Eddie Marsan,埃迪·馬森
"Harold Alexander, 1st Earl Alexander of Tunis",第一代突尼斯的亞歷山大伯爵哈羅德·亞歷山大
T. S. Eliot,T·S·艾略特
Daniel Radcliffe,丹尼尔·拉德克利夫
Christian Bale,克里斯汀·貝爾
John Cale,约翰·凯尔
David Mattingly (archaeologist),戴维·J·马丁利
Aaron Taylor-Johnson,亞倫·強森
Ernest Lewis (tennis),欧内斯特·刘易斯
Mervyn Peake,馬溫·皮克
Jessica Ennis-Hill,謝茜嘉·恩尼斯-希爾
Christopher Nolan,克里斯托弗·诺兰
John McAfee,約翰·邁克菲
Paul Johnson (writer),保罗·约翰逊·(作家)
Clive Dunn,克莱夫·邓恩
Richard Laurence Millington Synge,理查德·劳伦斯·米林顿·辛格
Archer Martin,阿彻·约翰·波特·马丁
Christopher Hitchens,克里斯托弗·希欽斯
Cyril N. Hinshelwood,西里尔·欣谢尔伍德
Rebecca Adlington,丽贝卡·阿德林顿
Robert Robinson (chemist),羅伯特·魯賓遜
Hugh Laurie,休·劳瑞
Alan Turing,艾伦·图灵
Dorothy M. Needham,李大斐
Alfred Hitchcock,亞弗列·希治閣
Hugh Dalton,休·多尔顿
Gaël Bigirimana,加尔·比吉里马纳
Steven Caulker,史蒂文·卡尔科勒
Justin Welby,贾斯汀·韦尔比
Denis Thatcher,丹尼斯·撒切尔
Alvin Lee,阿尔文·李
"Andrew Cunningham, 1st Viscount Cunningham of Hyndhope",第一代海德霍普的康寧漢子爵安德魯·康寧漢
Emma Watson,艾玛·沃森
Terry Pratchett,泰瑞·普萊契
Rowan Williams,羅雲·威廉斯
Peter Brook,彼得·布魯克
Pete Townshend,皮特·汤申德
Margaret Thatcher,玛格丽特·撒切尔
Crista Cullen,克丽丝塔·卡伦
Sally Walton,萨莉·沃尔顿
Beth Storry,贝丝·斯托里
Henry McMahon,亨利·麥克馬洪
Sarah Thomas (field hockey),萨拉·托马斯
Georgie Twigg,乔吉·特威格
Kate Richardson-Walsh,凯特·理查森-沃尔什
Toby Stephens,托比·斯蒂芬斯
Claire Forlani,克萊兒·馥蘭妮
Jonathan Ross,強納森·羅斯
Willoughby Hamilton,威洛比·漢密爾頓·(1864年)
Jamie Carragher,占美·加歷查
Calum Chambers,卡林·張伯斯
Tinie Tempah,泰尼·坦普
Lewis Clive,刘易斯·克莱夫
Regina Ip,葉劉淑儀
Desmond Hume,德斯蒙德·休謨
Steven Runciman,史蒂文·朗西曼
Arthur C. Clarke,亞瑟·查理斯·克拉克
Catherine Zeta-Jones,凯瑟琳·泽塔-琼斯
Rupert Wyatt,鲁伯特·瓦耶特
Richard Holmes (biographer),理查德·霍姆斯·(传记作家)
Steve Redgrave,史蒂夫·雷德格雷夫
Matthew Pinsent,马修·平森特
James Prescott Joule,詹姆斯·普雷斯科特·焦耳
Teddy Sinclair,娜塔莉娅·柯斯
Alexa Chung,艾里珊·钟
Keeley Hazell,姬莉·哈泽尔
Dorothy Hodgkin,多萝西·霍奇金
Rosalind Franklin,羅莎琳·富蘭克林
Daniel Faraday,丹尼爾·法拉第
J. J. Thomson,约瑟夫·汤姆孙
Charlotte Lewis (Lost),夏洛特·路易斯
Charlie Pace,查理·佩斯
Richard Attenborough,李察·艾登堡
Tiff Needell,蒂夫·尼德爾
Annie Broadbent,安妮·布罗德本特
Mel B,媚兒碧
Barbara Cartland,芭芭拉·卡特蘭
Sienna Guillory,西耶娜·盖尔利
Jonny Lee Miller,強尼·李·米勒
Nicola Pellow,妮可拉·佩洛
Ed Sheeran,紅髮艾德
Winston Churchill,温斯顿·丘吉尔
John Madden (director),約翰·麥登·(導演)
Paul Dirac,保罗·狄拉克
Oliver James (actor),奧利佛·詹姆士
Dawn French,唐·弗兰奇
Tony Richardson,托尼·理查德森
Tim Curry,蒂姆·克里
Doris Woods,多丽丝·伍兹
Agnes Baden-Powell,艾格妮絲·貝登堡
Kelly Reilly,凱莉·雷利
Petula Clark,佩图拉·克拉克
C. S. Lewis,C·S·路易斯
John Maynard Keynes,约翰·梅纳德·凯恩斯
Zaha Hadid,薩哈·哈帝
Gary Lineker,加里·莱因克尔
Alexander Korda,亚历山大·科达
Alan Cox (computer programmer),艾倫·考克斯
Ben Goodger,本·古德傑
Mo Hayder,莫·海德
Dorothea Lambert Chambers,多蘿西婭·道格拉斯
Robbie Williams,罗比·威廉姆斯
Edith Evans,伊蒂絲·埃文斯
"Katharine, Duchess of Kent",肯特公爵夫人凯瑟琳
Rebecca West,丽贝卡·韦斯特
Ethel Smyth,埃塞尔·史密斯·(作曲家)
Ludwig Wittgenstein,路德维希·维特根斯坦
Sid Vicious,席德·维瑟斯
Eric Clapton,埃里克·克莱普顿
Emeric Pressburger,艾默利·普萊斯柏格
Michael Powell,麥可·鮑爾
Ken Loach,肯·洛區
Laura Marling,勞拉·曼寧
Diana Wynne Jones,黛安娜·韋恩·瓊斯
Natalie Dormer,娜塔莉·多莫
Philippa of Lancaster,蘭開斯特的菲莉琶
Graham Taylor,格拉咸·泰萊
Katrina Kaif,卡特丽娜·卡芙
Laurence Olivier,劳伦斯·奥利维尔
Ken Russell,肯·羅素
Stephen Frears,斯蒂芬·弗里尔斯
Salman Khan,薩爾曼·汗
Tony Blair,托尼·布莱尔
David Livingstone,戴维·利文斯通
David Lean,大卫·利恩
Charles Laughton,查尔斯·劳顿
John Boorman,約翰·鮑曼
Aleister Crowley,阿萊斯特·克勞利
Christiane Amanpour,克里斯汀·阿曼普
Florence Green,佛蘿倫絲·格林
Peter Greenaway,彼得·格林纳威
Maggie Smith,瑪姬·史密芙
John Major,约翰·梅杰
James Callaghan,詹姆斯·卡拉漢
Caroline Lucas,卡羅琳·盧卡斯
Ronald McLean,罗纳德·麦克莱恩
Lewis Hamilton,路易斯·咸美頓
Kenneth Branagh,簡尼夫·班納
John Schlesinger,约翰·施莱辛格
Imogen Poots,伊莫珍·盖伊·波茨
Darren Fletcher,达伦·弗莱彻
Bernie Ecclestone,伯尼·埃克莱斯顿
Johnny Herbert,強尼·赫伯特
Stirling Moss,史特靈·莫斯
Jane Horrocks,简·霍罗克斯
Jem (singer),珍·(歌手)
Sally Gunnell,萨莉·冈纳尔
Amanda Holden,阿曼達·荷頓
Rebecca Romero,丽贝卡·罗梅罗
Anita Roddick,安妮塔·羅迪克
Jacqui Smith,施卓琪
Kelly Smith,姬莉·史密芙
"Sarah, Duchess of York",約克公爵夫人莎拉
Conor Maynard,康納·梅納德
Elizabeth II,伊丽莎白二世
Peter Ustinov,皮特·乌斯蒂诺夫
Władysław Raczkiewicz,瓦迪斯瓦夫·拉茨凯维奇
Mimi Smith,咪咪·史密斯
Richard Rogers,理察·羅傑斯·(建築師)
A. C. Grayling,安东尼·克利福德·格雷林
David Coulthard,大衛·庫塔·(賽車手)
Keeley Hawes,琦莉·霍斯
Edith Hannam,伊迪丝·汉南
Shelley Rudman,谢莉·拉德曼
"Diana, Princess of Wales",威爾斯王妃戴安娜
Amy Williams,埃米·威廉斯
Helen Aitchison,海伦·艾奇逊
Laura Robson,勞拉·羅布森
Alice Greene,艾丽斯·格林
Andy Murray,安迪·穆雷
Colin Chapman,科林·查普曼
Steve Coast,史蒂夫·寇斯特
Hans Krebs (biochemist),汉斯·阿道夫·克雷布斯
Anthony Horowitz,安東尼·霍洛維茨
Syd Barrett,西德·巴雷特
Hugh Sykes Davies,休·赛克斯·戴维斯
Ridley Scott,雷利·史考特
A. W. Watkins,阿尔弗雷德·沃特金斯
Reg White,雷吉·怀特
Nigel Mansell,奈杰尔·曼塞尔
"Catherine, Princess of Wales",威爾斯王妃凱薩琳
Kate Nash,凱特·納什
Helen Sharman,海倫·沙曼
Sarah Waters,萨拉·沃特斯
Linda Martin,琳達·馬丁
Damon Hill,戴蒙·希爾
Jenson Button,简森·巴顿
Elisabeth Schwarzkopf,伊丽莎白·施瓦茨科普夫
Klaus Fuchs,克勞斯·富赫斯
David Beckham,大卫·贝克汉姆
Ross Brawn,罗斯·布朗
Ben Kingsley,本·金斯利
Katie Price,凯蒂·普莱斯
Michael Collins (Irish leader),迈克尔·柯林斯
Radclyffe Hall,瑞克里芙·霍爾
Siân Phillips,沙恩·菲利普斯
Phyllida Lloyd,菲利达·劳埃德
Danny Pugh,丹尼·佩治
Noel Turnbull,诺埃尔·特恩布尔
Sebastian Haffner,賽巴斯提安·哈夫納
Marie of Romania,愛丁堡的瑪麗
Ernst Chain,恩斯特·伯利斯·柴恩
Radosław Sikorski,拉多斯瓦夫·西科尔斯基
Ryan Giggs,瑞恩·吉格斯
Ron Dennis,罗恩·丹尼斯
Frank Williams (Formula One),弗兰克·威廉姆斯
Max Mosley,马克斯·莫斯利
Sid Watkins,西德·沃特金斯
Hayley Mills,海莉·米尔斯
Carol Ann Duffy,卡罗尔·安·达菲
Henry Maitland Wilson,第一代威爾遜男爵亨利·梅特蘭·威爾遜
George VI,乔治六世
Leslie Orgel,莱斯利·奥格尔
Liam Neeson,連恩·尼遜
William Hague,夏偉林
Lily Allen,莉莉·艾倫
Hans Eysenck,汉斯·艾森克
Martin Whitmarsh,马丁·惠特马什
Mike Gascoyne,迈克·加斯科因
Adrian Newey,亚德里安·纽维
Tom Stallard,汤姆·斯托拉德
Mitsuko Uchida,內田光子
Fiona May,菲奥娜·梅
Gideon Defoe,吉德安·笛福
Minette Walters,米涅·渥特絲
Kaiane Aldorino,卡伊恩·阿尔多里尼奥
Nikki Walker,尼基·沃克
Hugo Swire,施維爾
Nathan Redmond,內森·雷德蒙德
Bruce Payne,布魯斯·培恩
Desmond Swayne,德斯蒙德·斯韋恩
Jo Swinson,喬·斯溫森
Conrad Veidt,康拉德·维德
Andros Townsend,安祖斯·唐辛
Max Born,马克斯·玻恩
R. D. Laing,隆納·大衛·連恩
Simon Pegg,西蒙·柏奇
Peter Charles,彼得·查尔斯
Derek Jarman,戴力·渣文
Alastair McCorquodale,阿拉斯泰爾·麥科庫代爾
Tom Evenson,汤姆·埃文森
"Ashley Westwood (footballer, born 1990)",艾殊利·韋斯活
Michael Dawson (footballer),迈克尔·道森·(足球运动员)
Nico Yennaris,李可·(足球运动员)
"Adam Smith (footballer, born 1991)",亞當·史密斯·(足球運動員)
Kyle Walker,基爾·獲加
Lionel Giles,翟林奈
E. L. James,埃里卡·倫納德
Adam Lallana,阿當·拉爾拉拿
Marcus Ellis,马库斯·埃利斯
Andre Wisdom,安達·韋斯登
Christian Horner,克里斯蒂安·霍納
Charlie Whiting,查理·怀汀
Bob Bell (motorsport),鲍勃·贝尔
Reanne Evans,瑞娜·埃文斯
Derek Ibbotson,德里克·伊博森
Sue Barker,休·巴克
Heather Watson,希瑟·沃森
Sadie Frost,珊迪·弗罗斯特
Christine McVie,克莉絲汀·麥克維
Evelyn Glennie,依芙琳·葛蘭妮
Gemma Atkinson,杰玛·阿特金森
Fay Weldon,費伊·韋爾登
Lily Donaldson,莉莉·當勞遜
Gary Barlow,蓋瑞·巴洛
Mel Stride,梅爾·斯特里德
Graham Stringer,格拉漢姆·斯特林格
Gary Streeter,加利·斯特里特
Rory Stewart,羅利·斯圖爾特
Pat Fry,帕特·弗莱
Nigel Stepney,奈傑爾·斯特普尼
"Cecilia Bowes-Lyon, Countess of Strathmore and Kinghorne",塞西莉亞·卡文迪許-本廷克
Sophie Okonedo,蘇菲·歐克妮多
Violet Webb,维奥莱特·韦布
Williamina Fleming,威廉敏娜·弗萊明
David Grindley,戴维·格林德利
James McClean,詹姆斯·麦克林
Julian Sturdy,朱利安·斯特迪
Andrew Stunell,安德魯·斯塔內爾
Richard Elliot,理查·艾略特
Graham Stuart (politician),格雷厄姆·斯图尔特·(政治人物)
Robert Stephenson,羅伯特·史蒂芬生
Ken Adam,肯·亚当
"Jonathan Sumption, Lord Sumption",乔纳森·萨姆欣
Maurice Wilkes,莫里斯·威尔克斯
Rudolf Peierls,魯道夫·佩爾斯
Nikolaus Pevsner,尼古拉斯·佩夫斯纳
John Cockcroft,约翰·考克饶夫
James H. Wilkinson,詹姆斯·哈迪·威尔金森
Erika Mann,艾莉卡·曼
Pat Barker,派特·巴克
Prince Ernest Augustus of Hanover (born 1914),漢諾威的恩斯特·奧古斯特·(1914年—1987年)
"David Sainsbury, Baron Sainsbury of Turville",盛博理
Cherie Blair,彭雪玲
Val McDermid,薇兒·麥克德米
Emma Pooley,埃玛·普利
Reginald Innes Pocock,雷金納德·英尼斯·波科克
John McCormack (boxer),约翰·麦科马克
Jonny Greenwood,强尼·格林伍德
Paloma Faith,帕洛瑪·菲芙
Kris Boyd,克里斯·博伊德
Tom Ford (snooker player),汤姆·福特·(斯诺克运动员)
Jaime Murray,潔咪·莫瑞
Denise Lewis,丹尼丝·刘易斯
Ronald Stretton,罗纳德·斯特雷顿
Hermione Granger,妙麗·格蘭傑
Ron Weasley,榮恩·衛斯理
Dan Cruickshank,丹·克鲁克山克
Geoffrey Clifton-Brown,喬弗利·克利夫頓-布朗
Dennis Nilsen,丹尼斯·尼爾森
M. Stanley Whittingham,斯坦利·惠廷厄姆
Sophie Turner,蘇菲·特納
"Tommy Godwin (cyclist, born 1920)",汤米·戈德温
Vernon Coaker,弗農·克科爾
Jack Laugher,杰克·劳尔
Nick Barmby,尼克·巴姆比
Tom Courtenay,湯姆·寇特內
Harry Melling (actor),哈利·米尔林
Joseph Wright (linguist),約瑟夫·萊特·(語言學家)
Iain Stewart (politician),伊恩·斯图尔特·(政治人物)
Simon Reeve (British TV presenter),賽門·李維
Victor McLaglen,維多·麥克勞倫
Andy Gibb,安迪·吉布
Steve Ovett,史蒂夫·奥韦特
Francis Simon,弗朗西斯·西蒙
Henry Hallett Dale,亨利·哈利特·戴尔
Edward Conze,愛德華·孔茲
Ann Packer,安·帕克
Tom Conti,湯姆·孔蒂
Denis Healey,丹尼士·希利
Alan Johnson,莊翰生
John Profumo,約翰·普羅富莫
Anna Kavan,安娜·卡文
Marc Bolan,馬克·波倫
Craig Gordon,奇治·哥頓
John Flamsteed,約翰·佛蘭斯蒂德
Rubeus Hagrid,魯霸·海格
Tessa Sanderson,特莎·桑德森
Anne Perry,安妮·佩里
James Morrison (footballer),占士·摩利遜
Peter Gabriel,彼得·蓋布瑞爾
Jacqueline Wilson,傑奎琳·威爾遜
Aaron Lennon,阿龙·伦农
Ida Haendel,艾達·亨德爾
Abram Besicovitch,阿布拉姆·别西科维奇
"Charles Spencer, 9th Earl Spencer",第九代史賓賽伯爵查爾斯·史賓賽
Adrian Paul,阿德里安·保羅
Charles Lightoller,查理·萊托勒
Danny Galbraith,丹尼·加爾布雷斯
Hamilton Harty,汉密尔顿·哈蒂
Brendan Foster,布伦丹·福斯特
Don Scott (boxer),唐·斯科特·(拳击运动员)
"Sidney Webb, 1st Baron Passfield",第一代帕斯菲爾德男爵悉尼·韋伯
"Max Aitken, 1st Baron Beaverbrook",第一代比弗布鲁克男爵马克斯·艾特肯
Anthony Hopkins,安東尼·霍普金斯
"Walter Guinness, 1st Baron Moyne",第一代莫因男爵沃爾特·吉尼斯
George Galloway,喬治·蓋洛威
George Osborne,歐思邦
Chris Huhne,禤傑思
Phil Bardsley,菲尔·巴德斯利
Rupert Sanders,鲁伯特·桑德斯
Humza Yousaf,洪姆扎·尤薩夫
Heinz London,海因茨·倫敦
Paul Reuter,保罗·路透
Adam Johnson (footballer),阿當·莊臣·(足球員)
"Quintin Hogg, Baron Hailsham of St Marylebone",昆汀·霍格，聖馬里波恩的海爾什姆男爵
Adam Clayton,亞當·克雷頓
Aubrey de Grey,奥布里·大卫·尼古拉斯·杰士伯·德格雷
Lord Voldemort,伏地魔
Princess Augusta Sophia of the United Kingdom,奧古斯塔·索菲亞公主
Mary Bell,玛丽·贝尔
Tracey Emin,翠西·艾敏
Geoffrey Howe,賀維
Michael Heseltine,夏舜霆
Steve Bruce,史蒂夫·布鲁斯
Liam Ridgewell,利亚姆·里奇维尔
Rachel Stevens,瑞秋·史蒂芬斯
Q (James Bond),Q先生
"Birgitte, Duchess of Gloucester",告羅士打公爵夫人比哲特
Stephen Warnock,史提芬·禾洛克
Angus Wilson,安格斯·威尔逊
Stan Laurel,史丹·勞萊
Billy Idol,比利·爱多尔
Paul Durcan,保羅·德爾坎
James Mirrlees,詹姆斯·莫理斯
Edward Walter Maunder,愛德華·沃爾特·蒙德
Severus Snape,賽佛勒斯·石內卜
Craig Ferguson,克雷格·费格斯
Harry Wyld,哈里·怀尔德
Ellen Terry,爱兰·黛丽
Michael Foot,邁克爾·富特
Stafford Cripps,斯塔福·克里普斯
Tony Benn,托尼·本恩
Oswald Mosley,奥斯瓦尔德·莫斯利
John Prescott,彭仕國
John Smith (Labour Party leader),约翰·史密斯·(政治人物)
Geoff Hoon,禤智輝
Ernest Bevin,欧内斯特·贝文
Birdy (singer),Birdy·(歌手)
Liam Fox,霍理林
Joe Launchbury,喬·蘭奇巴里
W. T. Stead,威廉·托马斯·斯特德
Mary of Teck,特克的玛丽
Paul Bettany,保羅·彼特尼
Jason Gardener,贾森·加德纳
Irvine Welsh,歐文·威爾許
Ralf Dahrendorf,拉尔夫·达伦多夫
"Norman Fowler, Baron Fowler",諾曼·福勒
Charles Kennedy,查尔斯·肯尼迪
Edward FitzRoy,爱德华·菲茨罗伊
Jeremy Corbyn,傑瑞米·柯賓
Yvette Cooper,顧綺慧
Nigel Martyn,尼祖·馬田
Miles Jackson-Lipkin,李栢儉
Lady Gabriella Kingston,加布里埃拉·金斯敦女勳爵
Elizabeth Hurley,伊莉莎白·赫莉
Norbert Elias,諾博特·伊里亞思
"Sean Davis (footballer, born 1979)",西恩·戴维斯
Martin Fowler (software engineer),马丁·福勒
Gerry Adams,傑利·亞當斯
Peter Sellers,彼得·塞勒斯
Eugene Simon,尤金·西蒙
Josh Goodall,乔希·古多尔
C. F. Powell,塞西尔·鲍威尔
Lynn Fontanne,琳恩·方坦
Lindsay Duncan,琳賽·鄧肯
Gregg Sulkin,格雷格·索金
Margaret Murray,瑪格麗特·穆瑞
Des Browne,彭德·(1952年)
Norman Lamont,諾曼·拉蒙特
Denise Mina,丹尼斯·米娜
Andrea Riseborough,安德丽娅·赖斯伯勒
Elizabeth von Arnim,伊麗莎白·亞寧
William Joyce,威廉·乔伊斯
E. F. Schumacher,E·F·舒马赫
Maik Taylor,迈克·泰勒
Erich Mendelsohn,埃里希·门德尔松
Karl Mannheim,卡爾·曼海姆
Ludwig Guttmann,路德維希·古特曼
Toby Flood,托比·弗魯德
Paul Hunter,保罗·亨特
Donald Watson,唐納德·華生
Madeleine Carroll,玛德琳·卡罗尔
Elizabeth Goudge,依麗莎白·顧姬
Archie Panjabi,雅琪·潘嘉比
Pauline Collins,保利娜·科林斯
Dani Rowe,达妮埃尔·金
"Charles Spencer-Churchill, 9th Duke of Marlborough",第九代馬爾博羅公爵查爾斯·史賓賽-邱吉爾
Cicely Saunders,西西里·桑德斯
