Beijing,베이징
Quzhou,취저우 시
Qujing,취징 시
Quanzhou,취안저우 시
Qinzhou,친저우 시
Qinhuangdao,친황다오 시
Jinjiang,진장 시
Qingyuan,칭위안 시
Putian,푸톈 시
Pingxiang,핑샹 시
Pingdingshan,핑딩산 시
Chuzhou,추저우 시
Chaozhou,차오저우 시
Changzhou,창저우 시
Bozhou,보저우 시
Bijie,비제 시
Bengbu,벙부 시
Shaoyang,사오양 시
Baoding,바오딩 시
Anshun,안순 시
Anqing,안칭 시
Linyi,린이 시
Linfen,린펀 시
Liaocheng,랴오청 시
Leshan,러산 시
Laibin,라이빈 시
Kaifeng,카이펑 시
Jiujiang,주장 시
Jining,지닝 시
Jinhua,진화 시
Jingzhou,징저우 시
Jiaxing,자싱 시
Jiaozuo,자오쭤 시
Jiangmen,장먼 시
Yangjiang,양장 시
Aksu,아커쑤 시
Korla,쿠얼러 시
Kashgar,카스 시
Zhongshan,중산 시
Ordos,어얼둬쓰 시
Hezhou,허저우 시
Taizhou,타이저우 시
Liupanshui,류판수이 시
Xuzhou,쉬저우 시
Yingkou,잉커우 시
Yichun,이춘 시
Tongliao,퉁랴오 시
Tonghua,퉁화 시
Tieling,톄링 시
Shuangyashan,솽야산 시
Mudanjiang,무단장 시
Longshan,랴오위안 시
Jixi,지시 시
Jiagedaqi,자거다치 구
Hegang,허강 시
Chifeng,츠펑 시
Baicheng,바이청 시
Baishan,바이산 시
Zoucheng,쩌우청 시
Zhoukou,저우커우 시
Yuxi,위시 시
Huangshan,황산 시
Taishan,타이산 시
Suizhou,쑤이저우 시
Suining,쑤이닝 시
Tongchuanshi,퉁촨 시
Xinzhou,신저우 시
Wuhai,우하이 시
Wenchang,원창 시
Wanning,완닝 시
Huaihua,화이화 시
Hengshui,헝수이 시
Hebi,허비 시
Wuyishan,우이산 시
Nanping,난핑 시
Lüshun,뤼순
Zhangye,장예 시
Yuncheng,윈청 시
Heyuan,허위안 시
Yangquan,양취안 시
Tongshan,쉬저우 시
Dezhou,더저우 시
Deyang,더양 시
Zhangjiajie,장자제 시
Lijiang,리장 시
Shanwei,산웨이 시
Sanming,싼밍 시
Sanmenxia,싼먼샤 시
Qufu,취푸 시
Pingliang,핑량 시
Cangzhou,창저우 시
Binzhou,빈저우 시
Beihai,베이하이 시
Baiyin,바이인 시
Lishui,리수이 시
Lengshuijiang,렁수이장 시
Laiwu,라이우 시
Jingmen,징먼 시
Jinchang,진창 시
Jincheng,진청 시
Guangyuan,광위안 시
Qionghai,충하이 시
Karamay,커라마이 시
Hami,하미
Dunhuang,둔황 시
Altay,아러타이
Turpan,투루판 시
Shihezi,스허즈
Jiayuguan,자위관 시
Hotan,허톈 시
Baoshan,바오산 시
Mount Everest,에베레스트산
Jiuquan,주취안 시
Gyachung Kang,갸충캉
Beijing Capital International Airport,베이징 서우두 국제공항
Shanghai Pudong International Airport,상하이 푸둥 국제공항
Shanghai Hongqiao International Airport,상하이 훙차오 국제공항
Puyang,푸양 시
Rizhao,르자오 시
Huanggang,황강 시
Baoji,바오지 시
Lianyungang,롄윈강 시
Xi'an Xianyang International Airport,시안 셴양 국제공항
Yanji,옌지 시
Suihua,쑤이화 시
Songyuan,쑹위안 시
Manzhouli,만저우리
Lake Khanka,한카 호
Chaoyang,차오양 시
Tai Hu,타이 호
Xichang,시창
Xiangxiang,샹샹 시
Guyuan,구위안 시
Macheng,마청 시
Loudi,뤄디 시
Yulinshi,위린 시
Yingtan,잉탄 시
Yan’an,옌안 시
Jiexiu,제슈 시
State of Arunāchal Pradesh,아루나찰프라데시 주
Dêqên Tibetan Autonomous Prefecture,디칭 티베트족 자치주
Rikaze,쌍주쯔 구
Cho Oyu,초오유 산
Namtso,남초 호
Nagqu,나취 지구
Shijiazhuang Zhengding International Airport,스자좡 정딩 국제공항
Dazu,다쭈 석각
Gangkhar Puensum,강카르 푼섬
Asia,아시아
Guangzhou Baiyun International Airport,광저우 바이윈 국제공항
Guilin Liangjiang International Airport,구이린 량장 국제공항
Shenzhen Bao'an International Airport,선전 바오안 국제공항
Wuhan Tianhe International Airport,우한 톈허 국제공항
Xiamen Gaoqi International Airport,샤먼 가오치 국제공항
Hangzhou Xiaoshan International Airport,항저우 샤오산 국제공항
Chengdu Shuangliu International Airport,청두 솽류 국제공항
Ürümqi Diwopu International Airport,우루무치 디워푸 국제공항
Changchun Longjia International Airport,창춘 룽자 국제공항
Harbin Taiping International Airport,하얼빈 타이핑 국제공항
Shenyang Taoxian International Airport,선양 타오셴 국제공항
Kunming Changshui International Airport,쿤밍 창수이 국제공항
Wenshan City,원산 시
Beijing Daxing International Airport,베이징 다싱 국제공항
Nanning Shi,난닝
Nanjing Shi,난징
Dian Chi,뎬츠 호
Lianyuan,롄위안 시
Gasherbrum I,가셔브룸 1봉
Lhotse,로체산
Nanjing Lukou International Airport,난징 루커우 국제공항
Qingdao Liuting International Airport,칭다오 류팅 국제공항
Chongqing Jiangbei International Airport,충칭 장베이 국제공항
Dalian Zhoushuizi International Airport,다롄 저우수이쯔 국제공항
Yantai Laishan International Airport,옌타이 라이산 국제공항
Jinan Yaoqiang International Airport,지난 야오창 공항
Longnan,룽난 시
Song Shan,숭산
Shenzhen,선전 시
Songzi,쑹쯔 시
Xinhui,신후이 구
Gongga Shan,궁가산
Longgang,룽강 구
Emei Shan,어메이 산
Dabie Shan,다볘산맥
Hengduan Shan,헝돤산맥
Golmud,거얼무 시
Makālu,마칼루 산
Qilian Shan,치롄 산맥
Nanshan,난산 구
Beijing National Stadium,베이징 국가체육장
Three Gorges Dam,싼샤 댐
Potala,포탈라 궁
Xishuangbanna,시솽반나 다이족 자치주
Sansha,싼사 시
Kunlun Mountains,쿤룬산맥
Xiang Jiang,상강
Wei He,웨이허
Hankou,한커우
Hai He,하이허
Zhongwei,중웨이 시
Yinxu,은허
Bo'ao,보아오 진
Gasherbrum II Feng,가셔브룸 2봉
Shanghai World Financial Center,상하이 세계금융센터
Tiananmen Square,톈안먼
Beijing National Aquatics Center,베이징 국가수영센터
Oriental Pearl Tower,동방명주탑
Jokhang,조캉 사원
Drepung,드레펑 사원
Shanghai International Circuit,상하이 인터내셔널 서킷
Bazhong,바중시
