王明娟,왕밍쥐안
姚明,야오밍
华国锋,화궈펑
張愛玲,장아이링
成龍,성룡
邓卓翔,덩줘샹
王安顺,왕안순
罗志军·(1951年),뤄즈쥔
楚原,추위안
孙大文,쑨다원
胡佳·(社會活動家),후자 (활동가)
王皓·(乒乓球运动员),왕하오 (1983년생 탁구 선수)
金岳霖,진웨린
陈省身,천싱선
钱学森,첸쉐썬
楊凡,욘판
王国生·(1956年),왕궈성
孙俪,쑨리 (배우)
常万全,창완취안
于海·(足球运动员),위하이
孔杰,쿵제
张呈栋,장청둥
杜青林,두칭린
葉準,엽준
王君,왕쥔
李维汉,리웨이한
王兆国,왕자오궈
刘奇葆,류치바오
孙春兰,쑨춘란
占旭刚,잔쉬강
安志杰,안지걸
姜异康,장이캉
王家瑞,왕자루이
陈锦燕,천진옌
骆惠宁,뤄후이닝
李景林·(1885年),리징린
老舍,라오서
董方卓,둥팡줘
何平平,허핑핑
徐克,서극
林彪,린뱌오
顾颉刚,구제강
吳卓羲,우줘시
羅嘉良,뤄자량
金培達,피터 캄
穆旦,무단 (시인)
林嘉欣,임가흔
陳美詩,천메이스
王小波,왕샤오보
王馨平,왕싱핑
黃霑,황점
韓瑩,한잉
吴官正,우관정
张恩华,장언화
張國榮,장국영
李宁,리닝
谭盾,탄둔
朱德,주더
焦刘洋,자오류양
王儒林,왕루린
王勇·(1955年12月),왕융 (정치인)
罗荣桓,뤄룽환
马琳,마린 (탁구 선수)
周润发,주윤발
杜德偉,알렉스 투
周华健,저우화젠
林毅夫,린이푸
溥仪,푸이
陈毅,천이 (1901년)
何泽慧,허쩌후이
曾庆红,쩡칭훙
甄子丹,견자단
坦克人,탱크맨
李可·(足球运动员),리커 (축구 선수)
梁思成,량쓰청
孙政才,쑨정차이
王沪宁,왕후닝
姚期智,앤드루 야오
王澍·(建筑师),왕수 (건축가)
石柯·(足球运动员),스커
馬德鐘,마더중
陈梦家,천멍자
宋茜,빅토리아 (가수)
张涵予,장한위
萬梓良,완쯔량
賈曉晨,자샤오천
劉松仁,류쑹런
鄭則仕,정쩌스
葉璇,예쉬안
尹志強,완치컹
第十世班禅额尔德尼,제10대 판첸 라마
吐赫提·土亚兹,토흐티 툰야즈
熊黛林,슝다이린
赵涛·(演员),자오타오
溥傑,푸계
郭沫若,궈모뤄
茅盾,마오둔
张业遂,장예쑤이
蒋定之,장딩즈
久美嘉措,지그메 갸초
范长龙,판창룽
楼继伟,러우지웨이
阎连科,옌롄커
毛舜筠,마오순쥔
韩东方,한둥팡
任正非,런정페이
曹禺,차오위
宁浩,닝하오
仇云波,로빈 쇼우
周建人,저우젠런
當知項欠,돈둡 왕첸
周海婴,저우하이잉
梁國雄,렁궉훙
张含韵,장함운
贾平凹,자핑와
聂卫平,녜웨이핑
马晓春,마샤오춘
俞斌,위빈 (바둑 기사)
谢伏瞻,셰푸잔
吴亚军,우야쥔
马化腾,마화텅
余雲岫,위윈시우
徐步高,쉬푸가오
曾诚,쩡청
齐白石,제백석
更登確吉尼瑪,게둔 초에키 니마
冰心,빙신
范志毅,판즈이
孙继海,쑨지하이
任弼时,런비스
胡风,후펑
陈楠·(篮球运动员),천난 (농구 선수)
姜大明,장다밍
王三运,왕싼윈
蒋雯丽,장원리 (영화 감독)
郭庚茂,궈겅마오
黄小晶,황샤오징
陈政高,천정가오
韩长赋,한창푸
吳浩康,오호강
郎平,랑핑
德穆楚克栋鲁普,데므치그돈로브
李小璐,리샤오루 (배우)
陈景润,천징룬
杨绛,양장 (작가)
劉偉強,류웨이창
王东明,왕둥밍
諸葛攀,제갈반
也斯,예쓰
冯小刚,펑샤오강
麥嘉,맥가
包尔汉·沙希迪,부르한 샤히디
譚詠麟,탄융린
陈寅恪,천인커
马鸿宾,마훙빈
诸葛珪,제갈규
崔世昌·(1954年),추이스창 (1954년)
于洋·(1989年),위양 (축구 선수)
李毅·(足球运动员),리이 (축구인)
葛优,거유 (배우)
刘烨·(演员),류예
刘雯·(模特),류원 (모델)
關之琳,관지림
季羡林,지셴린
戴震,대진 (청나라)
李兆基,리자오지
姜文,장원 (배우)
陳可辛,천커신
乌兰夫,우란푸
杨尚昆,양상쿤
耿惠昌,겅후이창
陈一冰,천이빙
李小鹏·(体操运动员),리샤오펑 (체조 선수)
吴邦国,우방궈
李靜·(乒乓球運動員),리징 (탁구 선수)
李纪恒,리지헝
李鸿忠,리훙중
第十七世噶瑪巴·赤列塔耶多吉,친레타예도제
李洪志,리훙즈
莫文蔚,모원웨이
张春贤,장춘센
王乐泉,왕러취안
徐悲鸿,쉬베이훙
鄭希怡,정시이
王永珀,왕융포
刘霞·(柔道运动员),류샤 (유도 선수)
马明宇,마밍위
杨晶,양징
撒贝宁,사베이닝
雷锋,레이펑
陳冠希,진관희
余華,위화 (소설가)
倪柝声,워치만 니
郝海东,하오하이둥
贾庆林,자칭린
謝霆鋒,사정봉
宋祖英,쑹쭈잉
张爱萍,장아이핑
刘爱玲,류아이링
傅家俊,마르코 푸
曾联松,쩡롄쑹
李继耐,리지나이
释小龙,석소룡
李嘉欣,리자신
刘伟平·(1953年),류웨이핑
谭震林,탄전린
曾金蓮,쩡진롄
汪顺,왕순 (수영 선수)
张国立,장궈리
劉愷威,류카이웨이
吳耀漢,오요한
范冰冰,판빙빙
艾青,아이칭
黃秋生,황추생
彭德怀,펑더화이
黄华·(1913年),황화 (정치인)
傅作义,푸쭤이
李亚鹏,리야펑
郑铮·(足球运动员),정정 (축구 선수)
李金华·(1943年),리진화
陈道明,천다오밍
陳健星,첸키엔싱
刘涛,류타오
楊采妮,양채니
麥長青,마이창칭
陈键锋,천젠펑
陳麗如,천리루
林子祥,린쯔샹
黃耀明,황야오밍
胡振中,후전중
鈴木惠美,스즈키 에미
郭声琨,궈성쿤
尤权,유취안
张晓刚·(画家),장샤오강
舒畅·(演员),수창 (배우)
许安琪,쉬안치
杨成武,양청우
陈耀烨,천야오예
杨元庆,양위안칭
第十四世夏瑪巴·米龐確吉羅佐,미팜최끼로죄
鮑喜順,바오시순
伊力哈木·土赫提,일함 토흐티
韓庚,한경
刘诗颖,류스잉 (육상 선수)
栗战书,리잔수
娄勤俭,러우친젠
陈敏尔,천민얼
張俊才,장쥔차이
唐納,탕나 (배우)
赵奕欢,자오이환
李帅·(1982年),리솨이 (1982년)
李淑芳,리수팡
周保中,저우바오중
周培源,저우페이위안
班禅额尔德尼·确吉杰布,기알첸 노르부
时佩璞,스페이푸
贺国强,허궈창
何鴻燊,스탠리 호
汪洋·(前全國政協主席),왕양 (정치인)
贺敬之,허징즈
鹿心社,루신서
張子強,장쯔창
巴音朝鲁,바인차오루
武磊,우레이
罗保铭,뤄바오밍
乔冠华,차오관화
秦光荣,친광룽
姚文元,야오원위안
李小双,리샤오솽
Joe·Junior,조 주니어
李旺陽事件,리왕양
白靜,바이징
李岚清,리란칭
马占山,마잔산
王敏德,왕민덕
蔡楚生,차이추성
杨新海,양신하이
豐子愷,펑쯔카이
林正英,린정잉
毛新宇,마오신위
春丽,춘리
卢福坦,루푸탄
歐瑞偉,어우루이웨이
冼东妹,셴둥메이
蔡畅,차이창
常昊,창하오 (바둑 기사)
鍾漢良,종한량
李强·(1959年),리창
赵正永,자오정융
庄晓岩,좡샤오옌
李斌·(1954年10月),리빈
劉詩雯,류스원
叶群,예췬
叶乔波,예차오보
楊愛瑾,양애근
邱淑貞,구숙정
董兆致,둥자오즈
周鶴洋,저우허양
宣萱,선훤
邓文迪,덩원디
鍾楚紅,중추훙
容祖兒,용조아
顾汝章,구루장
罗隆基,뤄룽지
尚氣,샹치 (마블 코믹스)
古巨基,고거기
张文岳,장원웨
彭丽媛,펑리위안
林家棟,임가동
哈達·(1955年),하다 (활동가)
杨智,양즈
田汉,톈한
丁子霖,딩쯔린
秦俊杰,친쥔제
杨雄·(1953年),양슝
刁亦男,댜오이난
徐中約,이매뉴얼 쉬
潘凤贞,판펑전
何厚鏵,이드문드 호
至善禪師,지선선사
洛桑江村,뤄쌍장춘
孔凡钰,쿵판위
徐星·(古生物学家),쉬싱
苏童,쑤퉁
尚小云,상샤오윈
佟大为,퉁다웨이
聂远,녜위안
臧克家,짱커자
刘璇·(1979年),류쉬안
高敏,가오민
邵逸夫,런런 쇼
曾志偉,쩡즈웨이
方励之,팡리즈
戴晴,다이칭
烏拉熙春,아이신 교로 울히춘
王千源事件,왕첸위안 (학생)
陳欣健,천신젠
梁靖琪,량청치
端木正和,모토키 마사카즈
孙国强·(棒球运动员),쑨궈창
梁保华,량바오화
卢展工,루잔궁
孫明明,쑨밍밍
雷聲,레이성
佘詩曼,서스만
苏树林,쑤수린
倪妮,니니 (배우)
荀慧生,쉰후이성
王志文,왕즈원
胡綜,호종
周采芹,저우차이친
姚德芬,야오더펀
施廷懋,스팅마오
湯漢,통혼 (1939년)
芮迺伟,루이나이웨이
孔庆东,쿵칭둥
羅家英,나가영
鍾鎮濤,중전타오
徐錦江,서금강
张虹·(运动员),장훙 (스피드스케이팅 선수)
楊千嬅,양천화
羅文,나문
蒙嘉慧,멍자후이
崔天凯,추이톈카이
巴特尔·(1955年),바터얼
袁华,위안화 (유도 선수)
苏炳添,쑤빙톈
丁美媛,딩메이위안
孔令輝,쿵링후이
易中天,이중톈
卜濤,부타오
陈中,천중 (태권도 선수)
商天娥,상톈어
荣昊,룽하오
王洪文,왕훙원
徐峥,쉬정
陶虹,타오훙
唐灵生,탕링성
韦唯,웨이웨이 (가수)
胡定欣,호정흔
凌洁,링제
孙菲菲·(演员),쑨페이페이 (배우)
陆浩,루하오 (1947년)
孙楠,쑨난
蒋勤勤,장친친
李保东,리바오둥
何超儀,허자오이
帖雅娜,톄야나
楊茜堯,양첸야오
刘延东,류옌둥
胡杏兒,후싱얼
徐夢桃,쉬멍타오
焦志敏,자오즈민
王喜,웡헤이
謝天華,셰톈화
毛岸青,마오안칭
吉炳轩,지빙시안
石宗源,스쭝위안
楊卓娜,양줘나
梁光烈,량광례
邱健,추젠
格非,거페이 (소설가)
蔡国强,차이궈창
吴文俊,우원쥔
滿大人·(漫威漫畫),만다린 (마블 코믹스)
徐田龙子,쉬톈룽쯔
贾樟柯,자장커
李玮锋,리웨이펑
爾冬陞,얼퉁성
刘欢,류환
白子健,바이쯔젠
鲍彤,바오퉁
于大宝,위다바오
韓雯雯,한원원
夏宝龙,샤바오룽
歐倩瑩,어우첸잉
白玛赤林,바이마츠린
董必武,둥비우
孟克巴特尔,멍커바터얼
司天峰,쓰톈펑
王薔,왕창 (테니스 선수)
努尔·白克力,누르 베크리
秦基伟,친지웨이
傅穎,푸윙
關楚耀,관초요
梁漢文,양한문
周笔畅,저우비창
赛福鼎·艾则孜,사이푸딘 아지지
薛凱琪,쉐카이치
胡楓,호풍
齊廣璞,치광푸
董芳霄,둥팡샤오
庞伟,팡웨이
马龙·(乒乓球运动员),마룽
袁和平,원화평
白虹·(1920年),바이훙
袁纯清,위안춘칭
熊倪,슝니
火亮,훠량
方力钧,팡리쥔
谭良德,탄량더
孟苏平,멍쑤핑
陆滢,루잉
回良玉,후이량위
谷開來,구카이라이
侯德榜,허우더방
謝安琪,사안기
徐琰·(搏击选手),쉬옌
梁小龍,양소룡
陆定一,루딩이
周比利,주비리
毕津浩,비진하오
屠呦呦,투유유
吴学谦,우쉐첸
李肇星,리자오싱
姚晨,야오천
于荣光,위룽광
唐家璇,탕자쉬안
白靈·(演員),바이 링
才旦卓瑪,체텐 돌마
第十六世噶瑪巴·讓炯日佩多傑,랑중릭빼도제
李铁,리톄
許冠英,허관영
费孝通,페이샤오퉁
孙红雷,쑨훙레이
戚玉武,척옥무
莫桂蘭,모구이란
王旭·(摔跤運動員),왕쉬 (레슬링 선수)
杨惠妍,양후이옌
鄔君梅,우쥔메이
周勵淇,저우리치
王菲,왕페이
潘庆林,판칭린
王丽萍·(足球运动员),왕리핑 (축구인)
唐功红,탕궁훙
第十七世噶玛巴·伍金赤列多吉,오겐친레도제
金星·(舞者),진싱
王羽佳,왕위자
盛世才,성스차이
鍾欣潼,중신퉁
林徽因,린휘인
马军·(环保人士),마쥔
董洁,둥제 (배우)
马飚,마뱌오
王正伟,왕정웨이
路遥,루야오
刘晓江,류샤오장
高晓松,가오샤오쑹
陆昊,루하오 (1967년)
井柏然,징보란
叶莉,예리 (농구 선수)
万里,완리
张炜·(作家),장웨이 (작가)
蔡奇,차이치
龚蓓苾,궁베이비
葛平,거핑
杨谨伦,진 룬 양
陳日君,천르쥔
高智晟,가오즈성
韩寒,한한 (1982년생 작가)
張靜初,장징추
傅莹,푸잉
徐嬌,쉬자오
沈跃跃,선웨웨
聂卫国,녜웨이궈
彭真,펑전
谢震业,셰전예
陸莉,루리 (체조 선수)
曹赟定,차오윈딩
柴泽民,차이쩌민
张翰·(中国大陆演员),장한 (1984년)
韩大元,한대원
康克清,캉커칭
张平·(1946年),장핑 (정치인)
徐晓飞·(足球运动员),쉬샤오페이
古灵益,구링이
颜骏凌,옌쥔링
曹谁,조수 (시인)
郭涛·(演员),궈타오
储安平,추안핑
王珉·(1950年),왕민
郭树清,궈수칭
小沈阳,샤오선양
安琦,안치 (축구 선수)
毛岸英,마오안잉
邵佳一,사오자이
柳传志,류촨즈
周秀娜,저우슈나
湯鎮業,탕진업
周扬·(政治人物),저우양 (평론가)
程砚秋,청옌치우
肇俊哲,자오쥔저
張力尹,장리인
黄博文,황보원
曲波·(足球运动员),취보 (축구인)
李霄鹏,리샤오펑 (축구인)
徐云龙,쉬윈룽
宋时轮,쑹스룬
令计划,링지화
张庆黎,장칭리
杜威·(足球运动员),두웨이
孟佳,지아 (1989년)
龚品梅,궁핀메이
叶剑英,예젠잉
黄菊,황쥐
周覓,조미 (가수)
金焰,김염
阎嵩,옌쑹
万厚良,완허우량
张杰·(中国大陆歌手),장제 (가수)
程永华,청융화
冯潇霆,펑샤오팅
劉霞·(作家),류샤 (작가)
谢赫·(中国),셰허
于汉超,위한차오
王峥·(运动员),왕정 (해머던지기 선수)
陈桦·(运动员),천화 (수영 선수)
張其昀,장치윈
王敬之,왕징즈
马天宇,마톈위
常永祥,창융샹
李璨琛,리찬천
許晴,쉬칭
徐守盛,쉬서우성
杨传堂,양촨탕
何勇·(1940年),허융
苏荣,쑤룽
許紹雄,쉬사오슝
卫留成,웨이류청
陳達·(中央研究院院士),천다
黄奇帆,황치판
韩晓鹏,한샤오펑
徐帆,쉬판
李堅柔,리젠러우
钱红,첸훙 (수영 선수)
陸永·(舉重運動員),루융
李石曾,리스청
后羿·(神话人物),예 (전설)
關詠荷,관영하
陈紫函,천쯔한
陈晓冬,천샤오둥 (펜싱 선수)
陳政·(唐朝),진정 (당나라)
陈昌智,천창즈
郝蕾,하오레이
曹查理,조사리 (배우)
張昊辰,장하오천
胡夏,후샤
何美钿,허메이톈
黃磊,황레이
成仿吾,청팡우
張達明·(演員),장달명
王晨·(政治人物),왕천
胡锡进,후시진
清格爾泰,칭걸테
黃璐,황루
胡耀宇,후야오위
王震,왕전 (1908년)
蒿俊闵,하오쥔민
林峯,레이먼드 람
李菁·(邵氏演員),리칭 (배우)
史良,스량
阿沛·阿旺晋美,아푀 아왕직메
王浩·(竞走运动员),왕하오 (경보 선수)
马馼,마원 (1948년)
残雪,찬쉐
何琢言,허줘옌
劉家輝,류자후이
苗僑偉,먀오차오웨이
汪佳捷,왕자제
王燊超,왕선차오
黄兴国,황싱궈
九零后,주링허우 세대
沈钧儒,선쥔루
霍思燕,훠쓰옌
檀啸,탄샤오
洪磊,훙레이
于仁泰,위런타이
岳敏君,웨민쥔
宫润伯,공룬보
胡歌,후거
尉健行,웨이젠싱
崔永元,추이융위안
尚雯婕,상원제
汪晖,왕후이 (지식인)
殷剑,인젠 (요트 선수)
李子君,리쯔쥔
江維杰,장웨이제
尤勇智,유융
周冬雨,저우둥위
李曼,리만 (배우)
蔡亚林,차이야린
梅婷,메이팅
艾里奧·干卡維斯,엘리우 (축구 선수)
马弋博,마이보
王霏霏,페이 (1987년)
崔健,최건
绿川英子,하세가와 데루
董驃,동표
唐国强,탕궈창
阿部力,아베 츠요시
王蒙·(作家),왕멍 (작가)
艾達·王,에이다 웡
楼云,러우윈
卡楚米,셀린 트랑
康生,캉성
何維健,데릭 호
杨泳梁,양용량
张朝阳,장차오양
丁噹,딩당
梅兰芳,메이란팡
戴秉国,다이빙궈
許志安,허지안
徐永昌,쉬융창
劉焯華,라우촉바
李喆·(围棋棋手),리저
黎姿,려자
萧劲光,샤오진광
周韦彤,저우웨이퉁
王磊·(围棋棋手),왕레이 (1977년)
邱峻,추쥔
廖承志,랴오청즈
董勇,둥융
徐绍史,쉬사오스
丁伟·(围棋棋手),딩웨이
张傲嘉,섀도 젠
翁文灝,웡원하오
楊森·(軍閥),양썬
刘星·(围棋棋手),류싱
周睿羊,저우루이양
杜海涛,두하이터오
杜淳,두춘
胡春华,후춘화
梁漱溟,양수명
董蘅毅,둥헝이
古力,구리 (바둑 기사)
马云,마윈
杨幂,양미
程小東,정소동
田壮壮,톈좡좡
古天樂,고천락
佟健,퉁젠
张国焘,장궈타오
孟学农,멍쉐눙
邓超,덩차오
黃日華,황르화
龚秋霞,궁추샤
馬浚偉,마쥔웨이
倍賞千惠子,바이쇼 치에코
曾江,쩡장
關菊英,관쥐잉
杜宇航,두우항
贺慈红,허츠훙
杨沛宜,양페이이
香港人,홍콩인
呂良偉,여량위
王广义,왕광이
王刚·(1948年),왕강 (배우)
王兵·(導演),왕빙 (영화 감독)
楊繼繩,양지성
刘云山,류윈산
陈全国,천취안궈
石天,스톈
李稻葵,리다오쿠이
刘国梁,류궈량
薄一波,보이보
王稼祥,왕자샹
吕小军,뤼샤오쥔
許冠傑,허관걸
姚景远,야오징위안
冯友兰,펑유란
陈云,천윈
胡启立,후치리
薛之谦,쉐즈첸
孙锐,쑨루이 (무용가)
曲波·(作家),취보 (작가)
韩雪,한쉐 (배우)
杜聿明,두위밍
杜夔,두기 (공량)
楊鐵樑,양톄량
端木蕻良,돤무훙량
杜志国,두즈궈
丁石孙,딩스쑨
周璇,저우쉬안
彭荃,펑취안 (바둑 기사)
高雄·(演員),가오슝 (배우)
王檄,왕시
邵炜刚,사오웨이강
邓森悦,덩썬웨
邓稼先,덩자셴
丁立人,딩리런
姚莉,야오리
鄧健泓,덩젠훙
周海媚,주해미
傅聰,푸총 (피아노 연주자)
胡軍,후쥔
鄒文懷,추문회
李云迪,리윈디
北岛·(诗人),베이다오
石堅,석견
李长春,리창춘
沈从文,선충원
錢鍾書,첸중수
荣毅仁,룽이런
王治郅,왕즈즈
戴小祥,다이샤오샹
房祖名,팡쭈밍
孙祥,쑨샹
姬鹏飞,지펑페이
冯至,펑쯔
金博洋,진보양
傅彪,푸뱌오
翦伯赞,젠보짠
贾乃亮,자나이량
刘晓明,류샤오밍
敖嘉年,아오자녠
蔣志光,장즈광
關海山,관하이산
劉江·(香港),류장 (홍콩의 배우)
宋容慧,쑹룽후이
周伯华,저우보화
陳屈,첸츄
徐光春,쉬광춘
姚子羚,요자령
古华,구화 (소설가)
羅美薇,나미미
蔣怡,장이 (대만의 여자 배우)
袁泉,위안취안
何赛飞,허싸이페이
洛国富,알로이시우
何君堯,주니어스 호
宋汶霏,쑹원페이
王会凤,왕후이펑
鞠盈智,쥐잉즈
刘玥霏,류위신 (배우)
夏萍,샤핑
梁羽生,량위성
华罗庚,화뤄겅
周有光,저우유광
张东荪,장둥쑨
李德生·(1916年),리더성
李学勇,리쉐융
秦少波,친사오보
杨旭,양쉬
白光·(影星),바이광
乔石,차오스
曾國祥,정궈샹
徐才厚,쉬차이허우
孫菲菲·(模特兒),쑨페이페이 (모델)
向巴平措,샹바핑춰
雎曉雯,쥐샤오원
高仲勋,가오중쉰
劉鎮偉,유진위
金敬道,진징다오
江华·(1907年),장화 (1907년)
朴成,퍄오청
何其芳,허치팡
岑建勳,천젠쉰
江铸久,장주주
姜武,강무
范廷钰,판팅위 (1996년)
欧阳予倩,어우양위첸
郑律成,정율성
夏衍,샤옌
姚依林,야오이린
宋平,쑹핑
汪东兴,왕둥싱
华春莹,화춘잉
李富春,리푸춘
周英华,마이클 초우
林丹,린단
邵美琪,샤오메이치
崔浩然·(劍擊運動員),추이하오란
范可新,판커신
梁嘉明,량자밍
彭清华,펑칭화
艾美達,니키 토랑
刘少林,류 사오린 샨도르
夏达,샤다
木热合买提江·莫扎帕,미라흐메트잔 무제페르
奚梦瑶,밍시
六小龄童,류샤오링퉁
陆思敬,징 루시
傅园慧,푸위안후이
赵旭日,자오쉬르
姜景山,강경산
葛然朗巴·平措汪杰,푼촉 왕걀 고라낭파
董栋,둥둥
刘华清,류화칭
王丹,왕단 (반체제자)
陸錫麟,케이 루크
刘慈欣,류츠신
吾爾開希·多萊特,우얼카이시
柴玲,차이링
郭伯雄,궈보슝
許冠文,허관문
喬宏,교굉
蒋锡礽,헨리 오
孟建柱,멍젠주
傅满洲,푸 만추
郭金龙,궈진룽
袁詠儀,위안융이
许海峰,쉬하이펑
張亮亮,장량량
冯珊珊,펑산산
馮紹峰,펑사오펑
金立群,진리췬
王馥荔,왕푸리
歐陽萬成,지미 O. 양
金毓嶂,진위장
李濟深,리지선
陈望道,천왕다오
夏雨·(中国大陆),샤위 (중국의 배우)
刘晓庆,류샤오칭
張智霖,장지림
陈赓,천겅
白冰·(演员),바이빙
何享健,허샹젠
李宇春,리위춘
李慧琼,스태리 리
王銳基,왕루이지
孔琳·(演員),쿵린
田蕊妮,톈루이니
傅欢,푸환
金毓黻,진위푸
姜至鹏,장즈펑
金振吉,김진길 (1959년)
金熙德,김희덕 (1954년)
白彪,백표
卢广·(摄影师),루광
张充仁,장충런
鄧紫棋,덩쯔치
任達華,임달화
元奎,윈콰이
周雅菲,저우야페이
黄健翔,황젠샹
林衍聰,린옌충
马剑飞,마젠페이
楊翠玲,양추이링
黎智英,지미 라이
骆晓娟,뤄샤오쥐안 (펜싱 선수)
许家印,쉬자인
陈白尘,천바이천
索达吉堪布,켄포 소달지
陳靜·(香港),진정 (배우)
李守信·(1892年),리서우신 (1892년)
吳雨霏,오우비
吴汉雄,우한슝
唐生智,탕성즈
李小鹏·(政治人物),리샤오펑 (정치인)
陳寶珠,천바오주
洪学智,훙쉐즈
刘京·(1944年),류징
韩鹏,한펑
刘淇,류치
