Moscow,莫斯科
Uzlovaya,烏茲洛瓦亞
Volkhov,沃爾霍夫
Vyksa,維克薩
Vsevolozhsk,弗謝沃洛日斯克
Voskresensk,沃斯克列先斯克
Zelenokumsk,澤列諾庫姆斯克
Tikhoretsk,季霍列茨克
Teykovo,捷伊科沃
Tula Oblast,图拉州
Tuapse,圖阿普謝
Troitsk,特羅伊茨克
Monchegorsk,蒙切戈爾斯克
Mikhaylovka,米哈伊洛夫卡
Meleuz,梅列烏茲
Klintsy,克林齊
Klin,克林
Klimovsk,克利莫夫斯克
Kirovsk,基洛夫斯克
Kirishi,基里希
Kingisepp,金吉谢普
Kimry,基姆雷
Lytkarino,雷特卡里諾
Lukhovitsy,盧霍維齊
Luga,盧加
Lomonosov,羅蒙諾索夫
Liski,利斯基
Lipetsk Oblast,利佩茨克州
Leninogorsk,列寧諾戈爾斯克
Yubileyny,尤比列伊內
Labinsk,拉賓斯克
Kuvandyk,庫萬德克
Kushva,庫什瓦
Khadyzhensk,哈德任斯克
Nerekhta,涅列赫塔
Naro-Fominsk,納羅-福明斯克
Mozdok,莫兹多克
Slantsy,斯蘭齊
Shuya,舒亚
Shumerlya,舒梅爾利亞
Baksan,巴克桑
Argun,阿爾貢
Apsheronsk,阿普歇倫斯克
Kogalym,科加雷姆
Krasnoznamensk,克拉斯諾茲納緬斯克
Ugolny Airport,乌戈尔尼机场
Yelizovo Airport,堪察加彼得巴甫洛夫斯克機場
Zima,济马
Zavitinsk,扎维京斯克
Vanino,瓦尼诺
Uglegorsk,乌格列戈尔斯克
Nerchinsk,尼布楚
Mogocha,莫戈恰
Magdagachi,馬格達加奇
Lensk,连斯克
Kirensk,基廉斯克
Khilok,希洛克
Bikin,比金
Babushkin,巴布什金
Zakamensk,扎卡缅斯克
Vilyuysk,维柳伊斯克
Tura,圖拉
Svirsk,斯維爾斯克
Skovorodino,斯科沃罗季诺
Shimanovsk,希马诺夫斯克
Raychikhinsk,赖奇欣斯克
Pokrovsk,波克罗夫斯克
Kavalerovo,卡瓦列羅沃
Ozero Evoron,埃沃龍湖
Susuman,苏苏曼
Srednekolymsk,中科雷姆斯克
Pevek,佩韦克
Okhotsk,鄂霍次克
Dolinsk,多林斯克
Bilibino,比利比诺
Osinniki,奧辛尼基
Nazyvayevsk,納濟瓦耶夫斯克
Myski,梅斯基
Mariinsk,馬林斯克
Labytnangi,拉貝特南吉
Kurtamysh,庫爾塔梅什
Korkino,科爾基諾
Kodinsk,科金斯克
Kirovgrad,基洛夫格勒
Kasli,卡斯利
Kartaly,卡爾塔雷
Karpinsk,卡爾平斯克
Karasuk,卡拉蘇克
Karabash,卡拉巴什
Kalachinsk,卡拉欽斯克
Inta,因塔
Divnogorsk,季夫諾戈爾斯克
Dalmatovo,達爾馬托沃
Borodino,博羅季諾
Uzhur,烏茹爾
Turinsk,圖林斯克
Turan,图兰市
Topki,托普基
Tatarsk,韃靼斯克
Tarko-Sale,塔爾科薩列
Tara,塔拉
Talitsa,塔利察
Sredneuralsk,中烏拉爾斯克
Sosnovoborsk,索斯諾沃博爾斯克
Slavgorod,斯拉夫戈羅德
Shumikha,舒米哈
Zmeinogorsk,兹梅伊诺戈尔斯克
Muravlenko,穆拉夫連科
Bogotol,波戈托爾
Belokurikha,別洛庫里哈
Aramil,阿拉米爾
Ak-Dovurak,阿克多武拉克
Abaza,阿巴扎
Pavlovo,巴甫洛沃
Znamensk,兹纳缅斯克
Snezhnogorsk,斯涅日諾戈爾斯克
Alagir,阿拉吉尔
Aleksandrovsk,亞歷山德羅夫斯克
Abinsk,阿宾斯克
Abdulino,阿卜杜利诺
Manturovo,曼圖羅沃
Mamadysh,馬馬德什
Maloyaroslavets,小雅羅斯拉夫韋茨
Gorokhovets,戈羅霍韋茨
Gorodovikovsk,戈羅多維科夫斯克
Gornozavodsk,戈爾諾扎沃茨克
Gorbatov,戈爾巴托夫
Golitsyno,戈利齊諾
Ivangorod,伊万哥罗德
Ipatovo,伊帕托沃
Inza,因扎
Imeni Morozova,莫罗佐夫村
Kurovskoye,庫羅夫斯科耶
Kurganinsk,庫爾加寧斯克
Kulebaki,庫列巴基
Kudymkar,庫德姆卡爾
Kubinka,庫賓卡
Kronstadt,喀琅施塔得
Krasnozavodsk,克拉斯諾扎沃茨克
Bolkhov,博爾霍夫
Boksitogorsk,博克西托戈爾斯克
Bogorodsk,博戈羅茨克
Bogoroditsk,博戈羅季茨克
Bobrov,博布羅夫
Bezhetsk,別熱茨克
Belomorsk,白海城
Belinskiy,別林斯基
Belaya Kalitva,白卡利特瓦
Krasnoufimsk,克拉斯諾烏菲姆斯克
Krasnoslobodsk,克拉斯諾斯洛博茨克
Krasnoslobodsk,克拉斯諾斯洛博茨克
Kovylkino,科維爾基諾
Kovdor,科夫多爾
Kotovsk,科托夫斯克
Kotovo,科托沃
Korenovsk,科列諾夫斯克
Konstantinovsk,康斯坦丁諾夫斯克
Galich,加利奇
Gagarin,加加林
Gadzhiyevo,加吉耶沃
Furmanov,富爾馬諾夫
Frolovo,弗羅洛沃
Elektrougli,埃列克特羅烏格利
Elektrogorsk,埃列克特羅戈爾斯克
Dubovka,杜博夫卡
Drezna,德列茲納
Dorogobuzh,多羅戈布日
Chernushka,切爾努什卡
Chernogolovka,切爾諾戈洛夫卡
Buturlinovka,布圖爾利諾夫卡
Buinsk,布因斯克
Bronnitsy,布龍尼齊
Desnogorsk,傑斯諾戈爾斯克
Davlekanovo,達夫列卡諾沃
Dankov,丹科夫
Danilov,丹尼洛夫
Chudovo,丘多沃
Kasimov,卡西莫夫
Kashira,卡希拉
Kashin,卡申
Karabanovo,卡拉巴諾沃
Kamennogorsk,卡緬諾戈爾斯克
Kambarka,坎巴爾卡
Kalininsk,加里寧斯克
Nolinsk,諾林斯克
Nizhnyaya Tura,下圖拉
Nizhniye Sergi,下謝爾吉
Primorsko-Akhtarsk,濱海阿赫塔爾斯克
Primorsk,普里莫爾斯克
Povorino,波沃里諾
Porkhov,波爾霍夫
Pokrov,波克羅夫
Olenegorsk,奧列涅戈爾斯克
Nurlat,努爾拉特
Novozybkov,新濟布科夫
Novouzensk,新乌津斯克
Novopavlovsk,新巴甫洛夫斯克
Novokubansk,新庫班斯克
Sovetsk,苏维埃茨克
Sosnovka,索斯諾夫卡
Sosnogorsk,索斯諾戈爾斯克
Sortavala,索爾塔瓦拉
Soligalich,索利加利奇
Sokol,索科爾
Petushki,佩圖什基
Petrov Val,彼得羅夫瓦爾
Petrovsk,彼得羅夫斯克
Pavlovsk,巴甫洛夫斯克
Pavlovsk,巴甫洛夫斯克
Pallasovka,帕拉索夫卡
Ostashkov,奧斯塔什科夫
Osa,奧薩
Omutninsk,奧穆特寧斯克
Olonets,奧洛涅茨
Safonovo,薩福諾沃
Rodniki,羅德尼基
Shatura,沙圖拉
Shali,沙里
Serdobsk,謝爾多布斯克
Serafimovich,綏拉菲莫維奇
Semiluki,謝米盧基
Satka,薩特卡
Rasskazovo,拉斯卡佐沃
Pushchino,普希諾
Pudozh,普多日
Prokhorovka,普洛霍羅夫卡
Privolzhsk,普里沃爾日斯克
Svetogorsk,斯韋托戈爾斯克
Svetlogorsk,斯韋特洛戈爾斯克
Surovikino,蘇羅維基諾
Sukhinichi,蘇希尼奇
Strunino,斯特魯尼諾
Zadonsk,扎東斯克
Yuzhno-Sukhokumsk,南蘇霍庫姆斯克
Yershov,葉爾紹夫
Yefremov,葉夫列莫夫
Ustyuzhna,烏斯秋日納
Urus-Martan,烏魯斯-馬爾坦
Volosovo,沃洛索沃
Volokolamsk,沃洛科拉姆斯克
Volodarsk,沃洛達爾斯克
Verkhnyaya Tura,上圖拉
Yablonovskiy,雅布洛諾夫斯基
Vytegra,維捷格拉
Vysotsk,維索茨克
Vysokovsk,維索科夫斯克
Vuktyl,武克特爾
Vorsma,沃爾斯馬
Sasovo,薩索沃
Zverevo,兹韦列沃
Zvenigovo,兹韦尼哥沃
Zvenigorod,兹韦尼哥罗德
Zernograd,澤爾諾格勒
Zelenogradsk,澤列諾格拉茨克
Zelenogorsk,泽列诺戈尔斯克
Zavolzhsk,扎沃爾日斯克
Tomilino,托米利诺
Temnikov,捷姆尼科夫
Tarusa,塔魯薩
Taldom,塔爾多姆
Tyrnyauz,特爾內奧茲
Tosno,托斯諾
Torzhok,托爾若克
Toropets,托羅佩茨
Morozovsk,莫羅佐夫斯克
Millerovo,米列羅沃
Menzelinsk,緬澤林斯克
Mednogorsk,梅德諾戈爾斯克
Kondopoga,孔多波加
Konakovo,科納科沃
Kommunar,科穆納爾
Kola,科拉
Kokhma,科赫馬
Kizel,基澤爾
Kirzhach,基爾扎奇
Kirsanov,基爾薩諾夫
Kirs,基爾斯
Kirovsk,基洛夫斯克
Kirov,基洛夫
Kireyevsk,基列耶夫斯克
Lyskovo,雷斯科沃
Livny,利夫內
Lermontov,萊蒙托夫
Leninsk,列寧斯克
Lakinsk,拉金斯克
Laishevo,拉伊舍沃
Kimovsk,基莫夫斯克
Khvalynsk,赫瓦倫斯克
Kharovsk,哈羅夫斯克
Kharabali,哈拉巴利
Katav-Ivanovsk,卡塔夫-伊萬諾夫斯克
Neman,涅曼
Nelidovo,涅利多沃
Nartkala,納爾特卡拉
Narimanov,納里馬諾夫
Myshkin,梅什金
Mtsensk,姆岑斯克
Mozhaysk,莫扎伊斯克
Shenkursk,申库尔斯克
Shchigry,希格雷
Barysh,巴雷什
Bakal,巴卡爾
Bagrationovsk,巴格拉季奧諾夫斯克
Atkarsk,阿特卡爾斯克
Arsk,阿爾斯克
Arkadak,阿爾卡達克
Ardon,阿尔东
Ardatov,阿爾達托夫
Aprelevka,阿普雷列夫卡
Tunoshna Airport,图诺什纳机场
Peresvet,佩列斯韋特
Ulan-Ude,烏蘭烏德
Europe,欧洲
Tsiolkovskiy,齐奥尔科夫斯基
Irkutsk Airport,伊尔库茨克机场
Chelyabinsk Airport,車里雅賓斯克機場
Lesnoy,列斯諾伊
Luchegorsk,盧切戈爾斯克
Lipovtsy,利波夫齐
Khor,霍尔_
Bira,比拉_
Aykhal,艾哈尔
Arkhara,阿尔哈拉
Aldansky District,阿爾丹斯基區
Yerofey Pavlovich,叶罗费伊-巴夫洛维奇
Vrangel’,弗兰格尔
Verkhoyanskiy Khrebet,上揚斯克山脈
Ust-Maya,烏斯季馬亞
Tommot,托莫特
Taksimo,塔克西莫
Sretensk,斯利坚斯克
Smolyaninovo,斯莫利亞尼諾沃
Smidovich,斯米多维奇
Karymskoye,卡雷姆斯科耶
Kalanguy,卡兰圭
Angara,安加拉河
Smirnykh,斯米爾內赫
Seymchan,谢伊姆昌
Palana,帕拉纳
Ossora,奧索拉
Orotukan,奥罗图坎
Myaundzha,米亚温贾
Koryakskoye Nagor’ye,科爾亞克山脈
Klyuchi,克柳奇
Evensk,埃文斯克
Chokurdakh,喬庫爾達赫
Aniva,阿尼瓦
Sargatskoye,萨尔加茨科耶
Pyshma,佩什马
Promyshlennaya,普罗梅什连纳亚
Plast,普拉斯特
Ordynskoye,奥尔登斯科耶
Moshkovo,莫什科沃_
Kuragino,库拉吉诺
Krasnozërskoye,克拉斯诺焦尔斯科耶
Krasnoobsk,克拉斯诺鄂毕斯克
Kaa-Khem,卡-海姆
Inskoy,因斯科伊
Igrim,伊格里姆
Gramoteino,格拉莫捷伊诺
Golyshmanovo,戈雷什马诺沃
Chany,恰内
Yaya,亞亞
Tal’menka,塔利缅卡_
Spassk,斯帕斯克_
Sorsk,索尔斯克
Shushenskoye,舒申斯克
Sheregesh,谢雷戈什
Blagoveshchenka,布拉戈维申卡_
Angara,安加拉河
Gukovo,古科沃
Borovsk,博羅夫斯克
Akhty,阿幹提
Agalatovo,阿加拉托沃
Gornyy,戈尔内_
Gidrotorf,吉德罗托尔夫
Gdov,格多夫
Gayny,盖内
Istra,伊斯特拉
Inzhavino,因扎维诺
Insar,因薩爾
Imeni Stepana Razina,斯捷潘·拉津镇
Ilovlya,伊洛夫利亚
Krasnyye Barrikady,红巴里卡德
Krasnyy Bor,红博尔_
Krasnoznamensk,紅茲納緬斯克
Bezenchuk,别津丘克
Beloostrov,貝爾盧斯特羅維
Krasnaya Polyana,卡拉斯拉雅波利亞納
Krasavino,克拉薩維諾
Korablino,科拉布利諾
Fryanovo,弗里亚诺沃
Fornosovo,福尔诺索沃
Fokino,福基諾
Dukhovshchina,杜霍夫希納
Chernyshevskoye,車爾尼雪夫斯科耶
Chagoda,恰戈达
Don,頓河
Dno,德诺
Demidov,傑米多夫
Kamenka,卡緬卡
Kaduy,卡杜伊
Kadnikov,卡德尼科夫
Izborsk,伊茲博斯克
Nizhnyaya Maktama,下馬克塔馬
Pravdinsk,普拉夫金斯克
Povenets,波韦涅茨
Porosozero,波拉亞維
Polessk,波列斯克
Polazna,波拉兹纳
Pochinok,波奇諾克
Okulovka,奧庫洛夫卡
Okhansk,奧漢斯克
Oka,奧卡河
Nytva,內特瓦
Novospasskoye,新斯帕斯科耶_
Novorzhev,新勒熱夫
Starodub,斯塔羅杜布
Staritsa,斯塔里察
Srednyaya Akhtuba,中阿赫图巴
Spas-Klepiki,斯帕斯-克列皮基
Spas-Demensk,斯帕斯-傑緬斯克
Sochi,索契
Sobinka,索賓卡
Slavsk,斯拉夫斯克
Plavsk,普拉夫斯克
Pindushi,平杜希
Pestovo,佩斯托沃
Ostrov,奧斯特羅夫
Ryazhsk,里亞日斯克
Ruza,魯扎
Ruskeala,鲁斯克阿拉
Shatsk,沙茨克
Semikarakorsk,謝米卡拉科爾斯克
Sebezh,謝別日
Redkino,列德基诺
Pytalovo,佩塔洛沃
Pustoshka,普斯托什卡
Puchezh,普切日
Proletarsk,普羅列塔爾斯克
Svobody,斯沃博德
Sudogda,蘇多格達
Staroutkinsk,旧乌特金斯克
Starotimoshkino,舊季莫什基諾
Staronizhestebliyevskaya,旧下斯捷布利耶夫斯卡亚
Verkhnedneprovskiy,上第聂伯罗夫斯基
Velizh,韦利日
Vazhiny,瓦日内
Urussu,烏魯蘇
Vetluga,韋特盧加
Verkhniy Baskunchak,上巴斯昆恰克
Zubtsov,祖布佐夫
Znamensk,兹纳缅斯克
Zlynka,兹伦卡
Zelyony Gorod,泽廖内戈罗德
Tarki,塔尔卡
Uglerodovskiy,乌格列罗多夫斯基
Tumbotino,通博季诺
Tuchkovo,图奇科沃
Mokshan,莫克尚
Mglin,姆格林
Mga,姆加
Meshchovsk,梅曉夫斯克
Melenki,梅連基
Kondrovo,孔德羅沃
Yanino-1,第一亚尼诺
Kologriv,科洛格里夫
Kirovskiy,基洛夫斯基_
Lukino,卢基诺_
Lipki,利普基
Liinakhamari,利纳哈马里
Kuznechnoye,库兹涅奇诺耶
Kholm,霍爾姆
Orlov,奧爾洛夫
Nesterov,涅斯捷羅夫
Murmashi,穆尔马希
Murino,穆里诺
Skopin,斯科平
Gora Shkhara,什哈拉山
Shipitsyno,希皮齐诺_
Shimorskoye,希莫尔斯科耶
Balabanovo,巴拉巴諾沃
Mamonovo,馬莫諾夫
Mariinsky Theatre,马林斯基剧院
Wrangel Island,弗兰格尔岛
Uelen,乌厄连
Big Diomede Island,拉特曼诺夫岛
Provideniya,普罗维杰尼亚
Lavrentiya,拉夫连季亚
Egvekinot,埃格韦基诺特
Cape Dezhnev,杰日尼奥夫角
Red Square,紅場
Kostomuksha,科斯托穆克沙
