Brasil,브라질
Gloster Meteor,글로스터 미티어
Brasil nos Jogos Olímpicos de Verão de 2008,2008년 하계 올림픽 브라질 선수단
Brasil nos Jogos Olímpicos de Verão de 2012,2012년 하계 올림픽 브라질 선수단
Arquipélago de São Pedro e São Paulo,상페드루 상파울루 군도
Olinda,올린다
São Luís (Maranhão),상루이스
Cristo Redentor,구세주 그리스도상
Coronel Fabriciano,코로네우파브리시아누
Brasil nos Jogos Olímpicos de Inverno de 2010,2010년 동계 올림픽 브라질 선수단
Ouro Preto,오루프레투
Petrópolis,페트로폴리스
Final do Campeonato Mundial de Clubes da FIFA de 2000,2000년 FIFA 클럽 세계 선수권 대회 결승전
Sorocaba,소로카바
Bauru,바우루
Trindade e Martim Vaz,트린다지 마르칭 바스 군도
Usina Hidrelétrica de Itaipu,이타이푸 댐
Ponta Grossa,폰타그로사
Língua vêneta,베네토어
Língua pirarrã,피라항어
Santos Futebol Clube,산투스 FC
Sport Club Internacional,SC 인테르나시오나우
Estádio Jornalista Mário Filho,이스타지우 두 마라카낭
Botafogo de Futebol e Regatas,보타포구 FR
Blumenau,블루메나우
Rio Tocantins,토칸칭스강
Operação Condor,콘도르 작전
Liberdade (distrito de São Paulo),리베르다지
Santo André (São Paulo),산투안드레
Rio Iguaçu,이구아수강
São José dos Campos,상조제두스캄푸스
Eliminatórias da Copa do Mundo FIFA de 2014 - Europa,2014년 FIFA 월드컵 유럽 지역 예선
Confederação Brasileira de Futebol,브라질 축구 연맹
Uberlândia,우베를란지아
São Gonçalo (Rio de Janeiro),상곤살루
Capoeira,카포에이라
Canoas,카노아스
Sociedade Esportiva Palmeiras,SE 파우메이라스
Fluminense Football Club,플루미넨시 FC
Santos,산투스
Universidade Estadual de Feira de Santana,페이라지산타나 주립 대학교
Joinville,조인빌리
Londrina,론드리나
São José do Rio Preto,상조제두히우프레투
Juiz de Fora,주이스지포라
Campina Grande,캄피나그란지
Águas de Lindóia,아구아스지린도이아
Águas de São Pedro,아구아스지상페드루
Diamantina,지아만치나
Carnaval do Rio de Janeiro,리우 카니발
Catalão (Goiás),카탈랑
Língua guarani,과라니어
Bandeira do Brasil,브라질의 국기
CT Yakult,야쿠르트 야구 아카데미
Museu de Arte de São Paulo,상파울루 미술관
Campeonatos estaduais de futebol do Brasil,브라질의 주별 리그
Pantanal,판타나우
Universidade Federal da Bahia,바이아 연방 대학교
Itumbiara,이툼비아라
Centro Federal de Educação Tecnológica de Minas Gerais,CEFET-MG
Duque de Caxias (Rio de Janeiro),두키지카시아스
Ilha de Marajó,마라조섬
Sport Club Corinthians Paulista,SC 코린치앙스 파울리스타
Cataratas do Iguaçu,이구아수 폭포
Goiânia,고이아니아
Seleção Brasileira de Futebol,브라질 축구 국가대표팀
Feira de Santana,페이라지산타나
São Carlos (São Paulo),상카를루스
Mogi das Cruzes,모지다스크루지스
Teresina,테레지나
Cachoeira do Sul,카쇼에이라두술
Guarapari,구아라파리
Parque Nacional Serra da Capivara,세라 다 카피바라 국립공원
Salvador,사우바도르
Arara (Paraíba),아라라
João Pessoa,주앙페소아
Maceió,마세이오
Vitória (Espírito Santo),비토리아 (브라질)
Campo Grande (Mato Grosso do Sul),캄푸그란지
Esporte Clube Bahia,EC 바이아
Eliminatórias da Copa do Mundo FIFA de 2014 - Oceania,2014년 FIFA 월드컵 오세아니아 지역 예선
Atlético Clube Goianiense,아틀레치쿠 고이아니엔시
Paraíba,파라이바주
Edifício Altino Arantes,아우치누 아란치스 빌딩
Taubaté,타우바테
Aracaju,아라카주
Clube Atlético Mineiro,아틀레치쿠 미네이루
Corumbá,코룸바
Foz do Iguaçu,포스두이구아수
Catedral Metropolitana de Brasília,브라질리아 대성당
Chimarrão,마테 (음료)
Copacabana,코파카바나 (리우데자네이루)
Edifício Copan,에디피시오 코판
Contagem,콘타젱
São Paulo Futebol Clube,상파울루 FC
Edifício Itália,이탈리아 빌딩
Cuiabá,쿠이아바
Rio Branco,히우브랑쿠
Associação Portuguesa de Desportos,아소시아상 포르투게자 지 데스포르투스
Jaboatão dos Guararapes,자보아탕두스구아라라페스
Guarujá,구아루자
Rodovia Pan-Americana,팬아메리칸 하이웨이
São Vicente (São Paulo),상비센치 (상파울루주)
Seleção Brasileira de Voleibol Masculino,브라질 배구 국가대표팀
Seleção Brasileira de Voleibol Feminino,브라질 여자 배구 국가대표팀
Minas Gerais,미나스제라이스주
Pará,파라주 (브라질)
Esporte Clube Vitória,EC 비토리아
Congonhas,콩고냐스
Jundiaí,준지아이
Volta Redonda,보우타헤돈다
Campeonato Sul-Americano de Futebol de 1919,1919년 남미 축구 선수권 대회
Copa Libertadores da América de 1960,1960년 코파 리베르타도레스
Copa Master da CONMEBOL,코파 마스테르 데 CONMEBOL
Copa CONMEBOL de 1998,1998년 코파 CONMEBOL
Adidas Brazuca,아디다스 브라주카
.br,.br
Rio Grande do Sul,히우그란지두술주
Amazonas,아마조나스주
Red Bull Bragantino II,레드불 브라질
Instituto de Matemática Pura e Aplicada,IMPA
Hino da Independência do Brasil,브라질 제국의 국가
Guarani Futebol Clube,구아라니 FC
Ceará,세아라주
Amapá,아마파주
Ilha do Bananal,바나나우섬
Aeroporto Internacional de Brasília,브라질리아 국제공항
Esporte Clube Juventude,EC 주벤투지
Estádio Governador Magalhães Pinto,미네이랑
Metrô do Rio de Janeiro,리우데자네이루 메트로
Rock in Rio,락 인 리오
Terra (empresa),테라 네트웍스
Camaçari,카마사리
Região Nordeste do Brasil,북동부 지방 (브라질)
Instituto Rio Branco,히우 브랑쿠 외교원
Manaus,마나우스
Porto Alegre,포르투알레그리
Bahia,바이아주
Batalhão de Operações Policiais Especiais (PMERJ),특수공작대원
Resende (Rio de Janeiro),헤젠지
Arena da Amazônia,아레나 아마조니아
Arena Pantanal,아레나 판타나우
Ordem dos Frades Menores,작은형제회
Jogos Paralímpicos de Verão de 2016,2016년 하계 패럴림픽
Tombense Futebol Clube,톰벤시 FC
Ponte Internacional da Amizade,우정의 다리 (브라질-파라과이)
Paulínia,파울리니아
Alagoas,알라고아스주
Acre,아크리주
Rei Momo,레이 모모
Universíada de Verão de 1963,1963년 하계 유니버시아드
Sistema de ligas de futebol do Brasil,브라질 축구 리그 시스템
Boa Esporte Clube,보아 EC
Sant'Ana do Livramento,산타나두리브라멘투
Pernambuco,페르남부쿠주
Santa Catarina,산타카타리나주
Avenida Paulista,파울리스타 대로
ABC Futebol Clube,ABC FC
Guanabara,구아나바라주
Rio de Janeiro (estado),리우데자네이루주
Goiás,고이아스주
Mirante do Vale,미란치 두 발리
Master Top Airlines,마스터탑 항공
Mata de São João,마타지상주앙
Vogue (cigarro),보그 (담배)
Centro Espacial de Alcântara,알칸타라 발사 센터
Paralelo 3 N,북위 3도
Taurus Armas,타우루스 인터내셔널
Paralelo 1 N,북위 1도
Paralelo 2 N,북위 2도
Paralelo 4 N,북위 4도
Democratas (Brasil),민주당 (브라질)
LATAM Cargo Brasil,LATAM 카고 브라질
Piauí,피아우이주
Belo Horizonte,벨루오리존치
Maranhão,마라냥주
Seleção Brasileira de Basquetebol Masculino,브라질 농구 국가대표팀
Cinema do Brasil,브라질 영화
Roraima,호라이마주
Associação Desportiva São Caetano,AD 상카에타누
Jovens com uma Missão,예수전도단
Copa do Mundo FIFA de Futebol de Areia de 2006,2006년 FIFA 비치사커 월드컵
Jogos Pan-Americanos de 1963,1963년 팬아메리칸 게임
Ilha de Santa Catarina,산타카타리나섬
Mato Grosso,마투그로수주
Espírito Santo (estado),이스피리투산투주
Rondônia,혼도니아주
Rio Grande do Norte,히우그란지두노르치주
Bragança (Pará),브라간사 (파라주)
Ipatinga,이파칭가
Novo Hamburgo,노부암부르구
Colombo (Paraná),콜롬부
Lusofonia,포르투갈어권
Itaú Unibanco,이타우 우니방코
Parque Nacional do Jaú,자우 국립공원
Estádio Nacional de Brasília Mané Garrincha,이스타지우 마네 가힌샤
Vila Velha,빌라벨랴
Arena do Grêmio,아레나 두 그레미우
Palmas (Paraná),파우마스 (파라나주)
Ponta Porã,폰타포랑
Centro Sportivo Alagoano,센트루 스포르치부 알라고아누
Piracicaba,피라시카바
Três Corações,트레스코라송스
Criciúma,크리시우마
América Futebol Clube (Belo Horizonte),아메리카 FC (벨루오리존치)
Partido dos Trabalhadores,노동자당 (브라질)
Aeroporto Internacional de Manaus,에두아르두 고메스 국제공항
Cachoeiro de Itapemirim,카쇼에이루지이타페미링
Estádio Municipal Paulo Machado de Carvalho,이스타지우 두 파카엠부
Aeroporto Internacional de Foz do Iguaçu,포스두이구아수 국제공항
Aeroporto Internacional de Porto Alegre,살가두 필류 국제공항
Maracanãzinho,지나시우 두 마라카나지뉴
Os Mutantes,오스 무탄치스
Partido da Social Democracia Brasileira,브라질 사회민주당
Santo Amaro da Imperatriz,산투아마루다임페라트리스
LATAM Airlines Group,LATAM 항공 그룹
Movimento Democrático Brasileiro (1980),브라질 민주운동
Santos Futebol Clube (futebol feminino),산투스 FC (여)
Panambi,파남비
Santarém (Pará),산타렝 (파라주)
Grêmio Esportivo Brasil,GE 브라지우
Arena das Dunas,아레나 다스 두나스
Estrada de Ferro Madeira-Mamoré,마데이라-마모레 철도
Klabin,클라빈
Vale-tudo,발리 투두
Vila Nova Futebol Clube,빌라 노바 FC
Campeonato Mundial de Futebol de Areia de 2001,2001년 비치사커 세계 선수권 대회
Lagoa dos Patos,파투스호
Clube Atlético Juventus,CA 주벤투스
Paralelo 5 N,북위 5도
Campeonato Paulista de Futebol,캄페오나투 파울리스타
Campeonato Brasileiro de Futebol - Série D,캄페오나투 브라질레이루 세리이 D
Arena de Pernambuco,아레나 페르남부쿠
Voo Gol 1907,GOL 항공 1907편 추락 사고
Fórum de Governança da Internet,인터넷 거버넌스 포럼
Ilhéus,일례우스
Avaí Futebol Clube,아바이 FC
Sociedade Esportiva do Gama,SE 가마
Línguas jês,제어족
Operário Futebol Clube,오페라리우 FC
Miss Universo 2011,미스 유니버스 2011
Campeonato Mundial de Judô de 2007,2007년 세계 유도 선수권 대회
Cotia,코치아
Neo Química Arena,아레나 코린치앙스
Povos indígenas do Brasil,브라질 원주민
Oi (empresa),오이 (기업)
Paysandu Sport Club,파이산두 SC
Ypiranga Futebol Clube (Erechim),이피랑가 FC
Aeroporto Internacional de Campinas,비라코푸스 캄피나스 국제공항
Ilha Grande (Angra dos Reis),일랴그란지섬
Copa do Mundo FIFA de Futebol de Areia de 2007,2007년 FIFA 비치사커 월드컵
Eliminatórias da Copa do Mundo FIFA de 2014 - América do Sul,2014년 FIFA 월드컵 남미 지역 예선
Ponte Rio-Niterói,리우-니테로이 교
TRIP Linhas Aéreas,TRIP 항공
Museu de Arte Contemporânea de Niterói,니테로이 현대미술관
Madureira Esporte Clube,마두레이라 EC
Itaúsa,이타우사
Vitória Futebol Clube (Brasil),비토리아 FC (브라질)
Itapetininga,이타페치닝가
Votorantim,보토란칭
Jaguarão,자구아랑
Paralelo 5 S,남위 5도
Bob's,Bob's
Treze Futebol Clube,트레지 FC
VASP,VASP 항공
Paralelo 30 S,남위 30도
Paralelo 10 S,남위 10도
Hospital Israelita Albert Einstein,알베르트 아인슈타인 이스라엘 병원
Paralelo 31 S,남위 31도
Paralelo 11 S,남위 11도
Paralelo 25 S,남위 25도
Paralelo 27 S,남위 27도
Aeroporto Internacional de São Paulo-Guarulhos,상파울루 구아룰류스 국제공항
Meridiano 66 W,서경 66도
Corrente do Brasil,브라질 해류
Paralelo 28 S,남위 28도
Paralelo 29 S,남위 29도
Paralelo 15 S,남위 15도
Paralelo 1 S,남위 1도
Paralelo 32 S,남위 32도
Paralelo 26 S,남위 26도
Paralelo 33 S,남위 33도
Trinta e Três Orientais,33인의 동부인
Londrina Esporte Clube,론드리나 EC
Sport Club Corinthians Alagoano,SC 코린치앙스 알라고아누
Atibaia,아치바이아
O Sul É o Meu País,남부는 나의 조국
Partido Democrático Trabalhista,민주노동당 (브라질)
Passa Quatro,파사쿠아트루
Associação Atlética Caldense,AA 카우덴시
Campeonato Sul-Americano de Futebol Feminino de 1991,1991년 남미 여자 축구 선수권 대회
Organização dos Estados Ibero-americanos,이베로아메리카 국가 기구
Acãs,아칸족
Goiás (município),고이아스
Mirandópolis,미란도폴리스
Porto Feliz,포르투펠리스
Palmeira d'Oeste,파우메이라도에스치
WebJet Linhas Aéreas,웹제트
São Leopoldo,상레오폴두
Campos dos Goytacazes,캄푸스두스고이타카지스
Parada do Orgulho LGBT de São Paulo,상파울루 LGBT 프라이드 퍼레이드
Congresso Nacional do Brasil,브라질 국민회의
LATAM Airlines Brasil,LATAM 브라질
Metrô do Distrito Federal (Brasil),브라질리아 지하철
Gol Linhas Aéreas Inteligentes,골 항공
Jandira,잔지라
Mossoró,모소로
Favelas no Brasil,파벨라
Governador Valadares,고베르나도르발라다레스
Barueri,바루에리
Itabuna,이타부나
Aparecida de Goiânia,아파레시다지고이아니아
Incêndio no Edifício Joelma,조엘마 빌딩 화재
TAM Pantanal,PLA 항공
São Manuel,상마누에우
America Football Club (Rio de Janeiro),아메리카 FC (리우데자네이루)
Igreja Ortodoxa Polonesa,폴란드 정교회
Americana (São Paulo),아메리카나 (상파울루주)
Ipanema,이파네마
Caldo de cana,사탕수수즙
Eliminatórias da Copa do Mundo FIFA de 2014 - África,2014년 FIFA 월드컵 아프리카 지역 예선
Eliminatórias da Copa do Mundo FIFA de 1950,1950년 FIFA 월드컵 예선
Marginal Tietê,마르지나우 티에치
Mata Atlântica,대서양림
Ananindeua,아나닌데우아
Unidades federativas do Brasil,브라질의 주
Coritiba Foot Ball Club,코리치바 FC
Região Norte do Brasil,북부 지방 (브라질)
América Futebol Clube (Rio Grande do Norte),아메리카 FC (히우그란지두노르치주)
Metrô de São Paulo,상파울루 지하철
Eliminatórias da Copa do Mundo FIFA de 2014 - Ásia,2014년 FIFA 월드컵 아시아 지역 예선
Rio Acima,히우아시마
Itu,이투
Viamão,비아망
Progressistas,진보당 (브라질)
Estádio Governador Plácido Castelo,카스텔랑
Porto Seguro,포르투세구루
Palácio do Planalto,플라나우투궁
Campeonato Mundial de Clubes da FIFA de 2000,2000년 FIFA 클럽 세계 선수권 대회
Aeroporto Internacional do Rio de Janeiro-Galeão,리우데자네이루 갈레앙 국제공항
Santa Cruz Futebol Clube,산타크루스 FC
Timóteo,치모테우
Sítio Arqueológico de São Miguel Arcanjo,과라니족의 예수회 선교단 시설
Paranaguá,파라나구아
Partido Comunista do Brasil,브라질 공산당
Franca,프랑카
Club Athletico Paranaense,아틀레치쿠 파라나엔시
Corcovado,코르코바두
Marabá,마라바
Belford Roxo,베우포르드호슈
Betim,베칭
Suzano,수자누
Araruama,아라 루 아마
Nacional Futebol Clube (Amazonas),나시오나우 FC
Hispanofonia,스페인어권
Sistema Brasileiro de Televisão,SBT (방송국)
Oeste Futebol Clube,오에스치 FC
Associação Desportiva Confiança,AD 콘피안사
São João del-Rei,상주앙델헤이
Santa Maria (Rio Grande do Sul),산타마리아 (히우그란지두술주)
Meridiano 63 W,서경 63도
Estádio Urbano Caldeira,빌라 베우미루
São Caetano do Sul,상카에타누두술
Ituano Futebol Clube,이투아누 FC
Parque Nacional do Iguaçu,이구아수 국립공원
O Globo,우 글로부
Sociedade Esportiva e Recreativa Caxias do Sul,SER 카시아스두술
JBS,JBS (기업)
Ciclo da borracha,아마존 고무 붐
Elsevier,엘스비어
Campeonato Mundial de Natação em Piscina Curta de 1995,1995년 세계 쇼트 코스 수영 선수권 대회
Embraer C-390 Millennium,엠브라에르 C-390 밀레니엄
Pará de Minas,파라지미나스
Região Centro-Oeste do Brasil,중서부 지방 (브라질)
Nilópolis,닐로폴리스
São José Esporte Clube,상조제 EC
Português brasileiro,브라질 포르투갈어
Copa do Nordeste de Futebol,코파 두 노르데스치
Eldorado Business Tower,엘도라도 비즈니스 타워
Conferência das Nações Unidas sobre Meio Ambiente e Desenvolvimento,지구정상회의
Regiões do Brasil,브라질의 지방
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,리우데자네이루 연방기술교육센터
Maracanaço,마라카낭의 비극
Seleção Brasileira de Futebol Feminino,브라질 여자 축구 국가대표팀
Nielsen Holdings,닐슨 (기업)
Red Bull Bragantino,레드불 브라간치누
Guajará-Mirim,구아자라미링
Esporte Clube Novo Hamburgo,EC 노부암부르구
Copa América de 1983,1983년 코파 아메리카
Campeonato Carioca de Futebol,캄페오나투 카리오카
Eleição presidencial no Brasil em 2010,2010년 브라질 대통령 선거
Lins,링스 (브라질)
Carmo (Rio de Janeiro),카르무 (리우데자네이루주)
Bento Gonçalves (Rio Grande do Sul),벤투곤사우베스
São Lourenço (Minas Gerais),상로렌수 (미나스제라이스주)
São Bernardo Futebol Clube,상베르나르두 FC
Clube Desportivo Sete de Setembro,CD 세치 지 세템브루
Seleção Brasileira de Beisebol,브라질 야구 국가대표팀
Serra do Mar,남동부 대서양림 보호지역
Tacacá,타카카
Bolsa Família,보우사 파밀리아
Vitória de Santo Antão,비토리아지산투안탕
Seleção Brasileira de Basquetebol Feminino,브라질 여자 농구 국가대표팀
Copa Mercosul de 1998,1998년 코파 메르코수르
Vale S.A.,발리 (기업)
Fome Zero,포미 제루
Demografia do Brasil,브라질의 인구
Mangaratiba,망가라치바
Universidade Federal do Rio de Janeiro,리우데자네이루 연방 대학교
Bangu Atlético Clube,방구 AC
Avianca Brasil,아비앙카 브라질
Azul Linhas Aéreas Brasileiras,아줄 브라질 항공
B3 (bolsa de valores),B3 (증권거래소)
Viçosa (Minas Gerais),비소자
Bandeirantes,반데이란치
Banco Central do Brasil,브라질 중앙은행
Barbacena (Minas Gerais),바르바세나
Bradesco,브라데스쿠
Acidente radiológico de Goiânia,고이아니아 방사능 유출사고
Fundão (Espírito Santo),푼당 (브라질)
Campeonato Mundial de Futebol de Areia de 2002,2002년 비치사커 세계 선수권 대회
Universidade Federal de São João del-Rei,상주앙델헤이 연방대학교
Santa Cruz Cabrália,산타크루스카브랄리아
Goiás Esporte Clube,고이아스 EC
Santa Rosa (Rio Grande do Sul),산타호자 (히우그란지두술주)
Chapecó,샤페코
Flamengo (bairro do Rio de Janeiro),플라멩구
Cubatão,쿠바탕
Estádio Morumbis,이스타지우 두 모룸비
Tepui,테푸이
Copa do Mundo de Futsal de 2008,2008년 FIFA 풋살 월드컵
Bola de Ouro,볼라 지 오우루
Formosa (Goiás),포르모자 (브라질)
Copa América de 1989,1989년 코파 아메리카
Universidade de São Paulo,상파울루 대학교
Caso Rojas,로베르토 로하스 스캔들
São Cristóvão (Sergipe),상크리스토방
Paraná Clube,파라나 클루비
Criciúma Esporte Clube,크리시우마 EC
Forças Armadas do Brasil,브라질군
Balneário Camboriú,발네아리오 캄보류
Sete Lagoas,세치라고아스
Prêmio Craque do Brasileirão,프레미우 크라키 두 브라질레이랑
Brasil nos Jogos Olímpicos,올림픽 브라질 선수단
Copa do Brasil de Futebol,코파 두 브라지우
TAV Rio–São Paulo,브라질 고속철도
Embraer EMB-312 Tucano,엠브라에르 EMB 312 투카노
Campeonato Sul-Americano de Futebol de 1922,1922년 남미 축구 선수권 대회
Valença (Rio de Janeiro),발렌사 (리우데자네이루주)
Caso Isabella Nardoni,이자벨라 나르도니 사건
Economia do Brasil,브라질의 경제
Serrinha (Bahia),세리냐
Campeonato Sul-Americano de Futebol de 1949,1949년 남미 축구 선수권 대회
Literatura do Brasil,브라질 문학
Mapinguari,마핑과리
Campos do Jordão,캄푸스두조르당
Valença (Bahia),발렌사 (바이아주)
Estádio Mário Celso Petraglia,아레나 다 바이샤다
Enchentes e deslizamentos de terra no Rio de Janeiro em 2011,2011년 1월 리우데자네이루주 홍수와 산사태
Agência Espacial Brasileira,브라질 우주국
Rio Negro (Uruguai),네그로강 (우루과이)
Vespasiano (Minas Gerais),베스파지아누
Voo TAM 3054,TAM 항공 3054편 활주로 이탈 사고
Estrada Real,이스트라다 헤아우
Varig,바리그 브라질 항공
Aeroporto de São Paulo-Congonhas,상파울루 콩고냐스 공항
Aeroporto do Rio de Janeiro-Santos Dumont,산투스 두몬트 공항
CELPE-Bras,CELPE-Bras
Clube de Regatas Brasil,클루비 지 헤가타스 브라지우
Ceilândia Esporte Clube,세일란지아 EC
Banco do Brasil,브라질 은행
Campeonato Brasileiro de Futebol - Série B,캄페오나투 브라질레이루 세리이 B
Luverdense Esporte Clube,루베르덴시 EC
Tupi Football Club,투피 FC
Associação Desportiva Recreativa Cultural Icasa,아소시아상 지스포르치바 헤크리아치바 이 쿨투랄 이카사
Duque de Caxias Futebol Clube,두키지카시아스 FC
Macaé Esporte Futebol Clube,마카에 EFC
Cansei de Ser Sexy,칸세이 지 세르 섹시
Beija-mão,손등 키스
Lista de imperatrizes do Brasil,브라질의 군주 배우자
Rio Grande (Rio Grande do Sul),히우그란지
Culinária do Brasil,브라질 요리
Grupo Globo,그루포 글로부
Campinense Clube,캄피넨시 클루비
Domingos Martins,도밍구스마르칭스
IEs4Linux,IEs4Linux
Eleições gerais no Brasil em 2010,2010년 브라질 총선거
Estádio Beira-Rio,이스타지우 베이라히우
Embraer EMB-145 AEW%26C,엠브라에르 R-99
Cianorte Futebol Clube,시아노르치 FC
Jogos Pan-Americanos de 2007,2007년 팬아메리칸 게임
Ceará Sporting Club,세아라 SC
Teresópolis,테레조폴리스
Caruaru,카루아루
Uruguaiana,우루구아이아나
Região Sul do Brasil,남부 지방 (브라질)
Happy Science,행복의 과학
Correntina,코헨치나
Carlos Gomes (Rio Grande do Sul),카를루스고메스
"Eliminatórias da Copa do Mundo FIFA de 2014 - América do Norte, Central e Caribe",2014년 FIFA 월드컵 북중미카리브 지역 예선
Araraquara,아라라쿠아라
Feriados no Brasil,브라질의 공휴일
Região Sudeste do Brasil,남동부 지방 (브라질)
Arapiraca,아라피라카
Jaguarari,자구아라리
Eliminatórias da Copa do Mundo FIFA de 2014 - Repescagem intercontinental,2014년 FIFA 월드컵 예선 대륙간 플레이오프
Ponte Octávio Frias de Oliveira,옥타비우 프리아스 지 올리베이라 다리
Casa Grande,카자그란지
Seleção Brasileira de Handebol Masculino,브라질 핸드볼 국가대표팀
Tapioca,타피오카
Lagoa Mirim,미링호
Jequié,제키에
Bragança Paulista,브라간사파울리스타
Brahma (cerveja),브라흐마 (맥주)
BRF,BRF (기업)
Seleção Brasileira de Futebol Sub-23,브라질 U-23 축구 국가대표팀
Botafogo,보타포구 (리우데자네이루)
Joinville Esporte Clube,조인빌리 EC
Marcopolo,마르코폴로 SA
Uberlândia Esporte Clube,우베를란지아 EC
Universidade Federal de Santa Catarina,산타카타리나 연방대학교
Museu Nacional,국립박물관 (리우데자네이루)
Partido Social Democrático (2011),"사회민주당 (브라질, 2011년)"
Partido Socialista Brasileiro (1985),브라질 사회당
Campeonato Brasileiro de Futebol - Série C,캄페오나투 브라질레이루 세리이 C
Campeonato Sul-Americano de Futebol Feminino de 1995,1995년 남미 여자 축구 선수권 대회
Campeonato Gaúcho de Futebol,캄페오나투 가우슈
Marília Atlético Clube,마릴리아 AC
Lagoa da Canoa,라고아다카노아
Itapagipe,이타파지피
Campo Alegre de Lourdes,캄푸알레그리지로르지스
Senado Federal do Brasil,브라질 연방상원
Museu Nacional de Belas Artes (Brasil),국립미술관 (브라질)
Vídeo Brinquedo,비디오 브린쿠에도
AMBEV,암베브
Operário Ferroviário Esporte Clube,오페라리우 페호비아리우 EC
Bolsa de Valores do Rio de Janeiro,리우데자네이루 증권거래소
Guaratinguetá Futebol Ltda.,구아라칭게타 푸치보우
Pardos,파르두
Rio Branco Football Club,히우브랑쿠 FC
Aeroporto Internacional de Belo Horizonte-Confins,탕크레두 네베스 국제공항
Mirassol Futebol Clube,미라소우 FC
Partido Social Cristão,기독교사회당 (브라질)
Comitê Olímpico do Brasil,브라질 올림픽 위원회
Hypera Pharma,이페라 파르마
Ação Libertadora Nacional,국민해방운동
