王明娟,왕밍쥐안
李鹏,리펑
阿兰·道格拉斯·博尔热斯·德·卡瓦略,알란 카르발류
楊陽,양양
李建滨,리젠빈
吳靜鈺,우징위
莊則棟,좡쩌둥
卓琳,줘린
張爽,장솽
张帅,장솨이
周洋,저우양
周永康,저우융캉
周忠和,저우중허
郎朗,랑랑
朱鎔基,주룽지
周作人,저우쭤런
张阳,쟝양
孔杰,쿵제
于海,위하이
张祖堯,장쭈야오
李士俊,리시쥔
郜林,가오린
曾咏韩,윙
王丽萍,왕리핑
鄭佩佩,정페이페이
孙玉洁,쑨위제
朱俊 (擊劍運動員),주쥔
朱建华,주잔화
朱启南,주치난
陈冲,진충
張鑫,장신
高禮澤,고라이작
賈秀全,자슈취안
李小冉,리샤오란
陈毅,천이
周润发,주윤발
李娜,리나
楊振寧,양전닝
孫春蘭,쑨춘란
翟志剛,자이지강
常万全,창완취안
李和平,리허핑
陈冯富珍,마거릿 챈
邓亚萍,덩야핑
孙琳琳,쑨린린
陳志全,레이먼드 찬
占旭刚,잔쉬강
金庸,김용
曾国强,쩡궈창
陈凯歌,천카이거
廖辉,리아오 후이
胡卫东,후웨이둥
何俊仁,호전얀
李卓人,리척얀
范蔚菁,판웨이징
尹昌衡,인창헝
房仕龍,성룡
李康敏,허먼 리
许良英,쉬량잉
刘晓波,류샤오보
溥仪,푸이
张元,장위안
王娇,왕자오
李嘉誠,리자청
李宗仁,리쭝런
章诒和,장이허
朱小丹,주샤오단
朱熹平,주시핑
朱颖文,주잉원
庄泳,좡융
張治中,장즈중
陳伯達,천보다
韩正,한정
王楠,왕난
王濛,왕멍
宗庆后,쭝칭허우
张忠奇,장중치
陳好,천하오
顾俊,구쥔
曾庆红,쩡칭훙
埃尔克森,아이커썬
南嘉拉姆,남걀 라모
劉奇葆,류치바오
刘翔,류샹
李建国,리젠궈
徐匡迪,쉬쾅디
张靓颖,장정영
毛远新,마오위안신
张怡宁,장이닝
華國鋒,화궈펑
张大庆,장다칭
張愛玲,장아이링
石柯,스커
穆爽爽,무솽솽
方方,팡팡
张春桥,장춘차오
張丹,장단 (피겨 스케이팅 선수)
姚期智,앤드루 야오
王沪宁,왕후닝
葛菲,거페이
晏紫,옌쯔
王军霞,왕쥔샤
甘婷婷,간팅팅
張藝謀,장이머우
杨洁篪,양제츠
姚明,야오밍
张德江,장더장
张高丽,장가오리
赵克志,자오커즈
赵连海,자오롄하이
赵楠楠,자오난난
赵树理,자오수리
邹凯,쩌우카이
彭帅,펑솨이
叶诗文,예스원
梁思成,량쓰청
孙政才,쑨정차이
吴敏霞,우민샤
侯逸凡,허우이판
俞鴻鈞,위훙쥔
那英,나잉
伏明霞,푸밍샤
刘子歌,류쯔거
劉芳,리우 팡
王光美,왕광메이
贺子珍,허쯔전
陈跃玲,천웨링
乐靖宜,러징이
李妮娜,리니나
吴仪,우이
葉劉淑儀,입라우숙이
陳方安生,앤슨 찬
张梓琳,장쯔린
赵本山,자오번산
林憶蓮,임억련
李源潮,리위안차오
李泽厚,리쩌허우
申雪,선쉐
羅嘉良,뤄자량
吳卓羲,우줘시
赵宏博,자오훙보
蔡奇,차이치
李玉,리위
叶钊颖,예자오잉
赵薇,자오웨이
王维林,탱크맨
尼科·延纳里斯,니코 예나리스
第十世班禅额尔德尼,제10대 판첸 라마
王馨平,왕싱핑
林嘉欣,임가흔
楊揚,양양
吐赫提·土亚兹,토흐티 툰야즈
许其亮,쉬치량
孙福明,쑨퍼밍
翟彦鹏,자이옌펑
王后军,왕허우쥔
溥傑,푸제
颜惠庆,옌후이칭
陳文媛,진문원
王力雄,왕리슝
李沁謠,리쥰
郭文珺,궈원쥔
俞可平,위커핑
金培達,피터 캄
劉艷,류옌
顾颉刚,구제강
张炜,장웨이
谢震业,셰전예
胡煥庸,후환융
張徹,장저
吴官正,우관정
罗荣桓,뤄룽환
刘洋,류양
江青,장칭
林毅夫,린이푸
周華健,주화건
赵涛,자오타오
熊黛林,슝다이린
黃霑,황점
王小波,왕샤오보
穆旦,무단
陳美詩,천메이시
沈跃跃,선웨웨
王旭烽,왕쉬펑
杨泳梁,양용량
张朝阳,장차오양
張宏圖,장훙투
張惠,장후이
郑洁,정지에
郑幸娟,정싱쥐안
赵小丁,자오샤오딩
杨雁盛,양옌성
郑君里,정쥔리
郑赛赛,정싸이싸이
曹達華,당신은 무엇을 잃어 가고 있습니까?
张恩华,장언화
张平,장핑
龙云,룽윈
叶圣陶,예성타오
江钰源,장위위안
乔红,차오훙
聂卫国,녜웨이궈
赵常青,자오창칭
侯玉琢,허우위줘
郑集,정지
张宏伟,장훙웨이
郑文光,정원광
许忠,쉬중
王栋,왕둥
杨晨,양천
楚原,추위안
李贵鲜,리구이셴
罗志军,뤄즈쥔
李可染,이가염
杜德伟,알렉스 델피노
陈祖德,천주더
王淦昌,왕간창
王海,왕하이
韩启德,한치더
韓瑩,한잉
楊鐵樑,양톄량
阿洛伊西奥·多斯桑托斯·贡萨尔维斯,알로이시우 두스 산투스 곤사우베스
吳京,우징
陈星汉,제노바 첸
张国华,장궈화
李菊,리쥐
利智,니나 리
杨伊琳,양이린
古广明,구광밍
陳敏之,천민즈
林嶺東,임영동
陈锡联,천시롄
康克清,캉커칭
高岗,가오강
杜维明,두웨이밍
白恩培,바이언페이
高仲勋,가오중쉰
王峥,왕정
何赛飞,허싸이페이
馮正虎,펑정후
劉勃麟,류보린
吳鶯音,우잉인
葉準,엽준
张呈栋,장청둥
王君,왕쥔
杜青林,두칭린
李维汉,리웨이한
储安平,추안핑
徐静蕾,쉬징레이
热比娅·卡德尔,레비야 카디르
于静,위징
刘秋宏,류추훙
李洋,리양
陈奇,천치
宋德福,쑹더푸
陈梦家,천멍자
王安順,왕안순
王兆国,왕자오궈
王小帥,왕샤오솨이
谈家桢,탄자전
姜异康,장이캉
李景林,리징린
安志杰,안지걸
王家瑞,왕자루이
贺平,허핑
王有才,왕유차이
劉松仁,유송인
任荣,런룽
楊逸,양이
王莹,왕잉
王敬之,왕징지
王珉,왕민
李先念,리셴녠
甄子丹,견자단
黄力平,황리핑
雎曉雯,쥐샤오원
孙菲菲,쑨페이페이
何泽慧,허쩌후이
徐玉華,쉬위화
張國榮,장국영
黄奇帆,황치판
陈光诚,천광청
洪金寶,홍금보
習仲勳,시중쉰
阿兰·达瓦卓玛,알란
谭盾,탄둔
王励勤,왕리친
奚梦瑶,밍시
木热合买提江·莫扎帕,미라흐메트잔 무제페르
韓東方,한둥팡
董芳卓,둥팡줘
李晓旭,리샤오쉬
张亮亮,장량량
老舍,라오서
何平平,허핑핑
贾兰坡,자란포
葉璇,예쉬안
賈曉晨,자샤오천
张涵予,장한위
萬梓良,완쯔량
张卫健,"장위건,"
张含韵,장함운
鄭希怡,정희이
茅于轼,마오위스
鄭則仕,정쩌쓰
陈奎元,천쿠이위안
区楚良,어우추량
孙杨,쑨양
周星馳,주성치
李寧,리닝
西瓦女士,레이디 시바
白志健,바이즈젠
林彪,린뱌오
元彪,원표
释印顺,성정
謝雪紅,셰쉐훙
梁國雄,렁궉훙
任正非,런정페이
冯珊珊,펑산산
魏京生,웨이징성
罗毅刚,뤄이강
徐克,서극
马琳,마린
王晨,왕천
陳婷,티나 첸
贾平凹,자핑와
黃昆,황쿤
馬德鐘,마더중
孙大文,쑨다원
王皓,왕하오
艾美達,니키 토랑
夏达,샤타
胡佳,후자
葛振,거전
彭伟国,펑웨이궈
徐悲鸿,쉬베이훙
關之琳,관지림
季羡林,지셴린
尹志強,완치컹
李铁映,리톄잉
张业遂,장예쑤이
梁朝偉,양조위
丁俊晖,딩쥔후이
譚詠麟,탄융린
陈省身,천싱선
任仲夷,런중이
苏步青,쑤부칭
楊斯,볼로 영
尚雯婕,샹원지에
陈寅恪,천인커
马鸿宾,마훙빈
张烈,장례
邓卓翔,덩줘샹
王澍,왕슈
金岳霖,진웨린
楊凡,욘판
艾尔肯·阿布都拉,아르켄 압둘라
楼继伟,러우지웨이
宋茜,빅토리아
费俊龙,페이쥔룽
宁浩,닝하오
王会凤,왕후이펑
马馼,마원
仇雲波,로빈 쇼우
曹禺,차오위
刘雯,류원
戴震,대진
刘烨,류예
赵达裕,자오다위
王霏霏,페이
谷超豪,구차오하오
陈玘,천치
曹怀东,차오화이둥
范长龙,판창룽
閻連科,옌롄커
马弋博,마이보
余秋里,위추리
张文康,장원캉
王永珀,왕융포
謝暉,셰후이
茅盾,마오둔
陈楠,천난
李大同,리다퉁
钱学森,첸쉐썬
郭沫若,궈모뤄
石俊,스쥔
江绵康,장몐캉
阿英,아잉
江绵恒,장몐헝
李洪志,리 홍지
齐白石,제백석
朱挺,주팅
杨绛,양장
陈景润,천징룬
殷铁生,인톄성
殷剑,인젠
汪晖,왕후이
任弼时,런비스
劉偉強,유위강
胡风,후펑
吴邦国,우방궈
陈一冰,천이빙
李小鹏,리샤오펑
第十七世噶瑪巴·赤列塔耶多吉,친레타예도제
程翔,칭청
王三运,왕싼윈
黄小晶,황샤오징
王仕鹏,왕스펑
劉兆佳,라우시우가이
贺慈红,허츠홍
张春贤,장춘센
王乐泉,왕러촨
邓榕,덩룽
諸葛珪,제갈규
諸葛攀,제갈반
冰心,빙신
吳浩康,오호강
德穆楚克栋鲁普,데므치그돈로브
李小璐,리샤오루 (배우)
司徒文俊,시토만전
黃展鴻,웡진훙
習遠平,시위안핑
李兆基,리자오지
李昂,리앙
易建聯,이젠롄
莫文蔚,모원웨이
更登確吉尼玛,게둔 초에키 니마
范志毅,판즈이
陈政高,천정가오
郭庚茂,궈겅마오
姜大明,장다밍
蒋雯丽,장원리
乌兰夫,우란푸
許崇智,쉬충즈
骆惠宁,뤄후이닝
王广义,왕광이
王克平,왕커핑
顾长卫,구장웨이
包尔汉,부르한 샤히디
路姜,루장
杨威,양웨이
冯小刚,펑샤오강
吴贻弓,우이궁
余泱漪,위양이
楊尚昆,양상쿤
耿惠昌,겅후이창
陈锦燕,첸쥔얀
焦刘洋,지아오 리우양
李毅,리이
崔世昌,추이스창
李馨,리신
陈涛,천타오
刘霞,류샤
张磊,장레이
王兵,왕빙
王超,왕차오
王富洲,왕푸저우
王刚,왕강
陈逸飞,천이페이
麥嘉,맥가
刘爱玲,류아이링
陳可辛,천커신
姜文,장원
陈希愈,천시위
丁噹,딩당
刘荻,류디
黄汲清,황지칭
余華,위화
吳耀漢,오요한
张国立,장궈리
董君舒,동준수
孙继海,쑨지하이
韩长赋,한창푸
郭炳湘,궉빙성
范冰冰,판빙빙
曾联松,쩡롄쑹
杜宇航,두우항
朱慧玲,주후이링
徐友漁,쉬유위
彭德怀,펑더화이
乔冠华,차오관화
罗保铭,뤄바오밍
李继耐,리지나이
贾春旺,자춘왕
謝霆鋒,사정봉
贾庆林,자칭린
傅家俊,마르코 푸
魯平,루핑
雷鋒,레이펑
郝海东,하오하이둥
李嘉欣,리자신
释小龙,석소룡
王冶坪,왕예핑
吉佳,자지
陈道明,진도명
唐納,탕나
丁亦昕,딩이신
董春雨,둥헝이
顾俊杰,구쥔제
于洋,위양
張健峰,정긴풍
劉濤,류타오
吕文君,뤼원쥔
杜淳,두춘
杜海涛,두하이타오
杜夔,두기 (공량)
李亚鹏,리야펑
林家翹,린자차오
董勇,둥융
陈佳洱,천자얼
傅作义,푸쭤이
楊采妮,양채니
李岚清,리란칭
马占山,마잔산
絕對零度,서브제로
劉愷威,류카이웨이
倪柝声,워치만 니
陳冠希,진관희
李淑芳,리수팡
李帅,리솨이
陳健星,첸키엔싱
郑铮,정정 (축구 선수)
李金华,리진화
宋祖英,쑹쭈잉
张爱萍,장아이핑
胡乔木,후차오무
秦光荣,친광룽
姚文元,야오원위안
丁磊,딩레이
丁伟,딩웨이
丁雪松,딩쉐송
黃耀明,황야오밍
鈴木惠美,스즈키 에미
张楠,장난
尤权,유취안
郭声琨,궈성쿤
Joe Junior,조 주니어
李旺阳,리왕양
蒋定之,장딩즈
艾青,아이칭
黄华,황화
久美嘉措,지그메 갸초
黃秋生,황추생
杜聿明,두위밍
杜志国,두즈궈
李富荣,리푸룽
高雄,가오슝 (배우)
马化腾,마화텅
鐘漢良,종한량
李強,리창
古华,구화
敖嘉年,아오자녠
劉江,류장
關海山,관하이산
徐文恺,쉬원카이
赵正永,자오정융
刘晓明,류샤오밍
陳屈,첸츄
宋容慧,쑹룽후이
葛珮帆,곳푸이판
姚子羚,요자령
羅美薇,뤄메이메이
蔡楚生,차이추성
阮露斐,롼루페이
林子祥,임자상
端木蕻良,돤무훙량
胡振中,후전중
张庆鹏,장칭펑
梁愛詩,렁오이시
白靜,바이징
李小双,리샤오솽
杨新海,양신하이
肖涵,샤오한
江华,장화
劉鎮偉,유진위
何其芳,허치팡
巴音朝鲁,바인차오루
栗戰書,리잔수
蔣怡,장이
蔣志光,장즈광
徐光春,쉬광춘
周伯华,저우보화
田北俊,톈베이쥔
庄晓岩,좡샤오옌
武磊,우레이
许博,쉬보
韓庚,한경
周健楠,저우젠난
王晓红,왕샤오훙
周建人,저우젠런
周海婴,저우하이잉
當知項欠,돈둡 왕첸
梁文道,렁만다오
陳麗如,천리루
麥長青,마이창칭
贺敬之,허징즈
何振梁,허쩐량
沙祖康,사주캉
何鴻燊,스탠리 호
刘诗颖,류스잉
贝时璋,베이스장
王敏德,왕민덕
鹿心社,루신서
唐正东,탕정둥
黃玉郎,웡육롱
彭丽媛,펑리위안
岑建勳,천젠쉰
馮紹峰,펑사오펑
朴成,퍄오청
金敬道,진징다오
郑渊洁,정웬지에
林正英,임정영
金怡濂,진이롄
范俊業,판전입
張俊才,장쥔차이
周保中,저우바오중
谢旭人,셰쉬런
万延海,완옌하이
陈敏尔,천민얼
娄勤俭,러우친젠
谢希德,셰시더
贺国强,허궈창
羅范椒芬,로판지우펀
艾晶晶,아이징징
冯沅君,펑위안쥔
丰云,펑윈
第十四世夏瑪巴·米龐確吉羅佐,미팜최끼로죄
吕乐,뤼웨
章硕,장숴
鲍春来,바오춘라이
陳鍵鋒,천젠펑
娄烨,러우예
豐子愷,펑쯔카이
班禅额尔德尼·确吉杰布,기알첸 노르부
涂阿玉,투아위
周培源,저우페이위안
郑凤荣,정펑룽
范廷钰,판팅위
张文岳,장원웨
彭浩翔,팡호청
洛桑江村,뤄쌍장춘
时佩璞,스페이푸
汪洋,왕양
王馥荔,왕푸리
刘少林,류 사오린 샨도르
汤学忠,탕쉐중
王磊,왕레이
徐中約,서중약
田汉,톈한
柯慶施,커칭스
鄧竟成,당깅싱
杨福愉,양푸위
麥美娟,막메이귄
李鵬飛,리펑페이
傅园慧,후유안후이
杨元庆,양위안칭
鮑喜順,바오시순
佟大为,퉁다웨이
聂远,녜위안
曾偉雄,창와이훙
陸恭蕙,크리스틴 로
苏童,쑤퉁
伍精华,우징화
杨智,양즈
吕远洋,뤼위안양
易立,위리
孔繁玉,쿵판위
徐星,쉬싱
臧克家,짱커자
孙丹,쑨단
蔡彤彤,차이퉁퉁
隋剑爽,쑤이젠솽
虹影,훙잉
侴陶,처우타오
郎平,랑핑
葛平,거핑
杨谨伦,진 룬 양
刘显英,류셴잉
王冰玉,왕빙위
王春麗,왕춘리
高丰文,가오펑원
高虹,가오훙
许小年,쉬샤오녠
劉漢銓,라우혼췬
易纲,이강
高晓松,가오샤오쑹
林昭,린자오
邱淑貞,구숙정
顾秉林,구빙린
古灵益,구링이
殷承宗,인청쭝
尚小云,상소운
戴相龙,다이샹룽
裘法祖,추파쭈
羅家英,나가영
孔慶東,쿵칭둥
鍾鎮濤,중전타오
许智宏,쉬즈훙
張舉能,정거이낭
梁君彥,렁관인
徐錦江,서금강
李鸿忠,리훙중
李纪恒,리지헝
高永文,고윙만
龚蓓苾,궁베이비
王薔,왕창
刘婉婷,류완팅
俞立中,위리중
郭飞雄,궈페이슝
蒋勤勤,장친친
栾菊杰,롼쥐제
楊愛瑾,양애근
董兆致,둥자오즈
宣萱,선훤
愛新覺羅·烏拉熙春,아이신기오로 울히춘
王千源事件,왕첸위안
周采芹,저우차이친
马健,마젠
白岳峰,백악봉
白子健,바이쯔젠
李靜,리징
卢展工,루잔궁
端木正和,모토키 마사카즈
至善禪師,지선선사
胡綜,호종
孙国强,쑨궈창
余若薇,오드리 유
黎笑媚,리샤오메이
罗杰·袁,로저 유언
原子俠,아톰 (라이언 최)
歐倩瑩,아우 신 잉
郭伟,궈웨이
郭濤,궈타오
郭文景,궈원징
周鶴洋,저우허양
李苦禅,리쿠찬
姚德芬,야오더펀
湯漢,통혼
施廷懋,스팅마오
倪玉兰,니위란
胡和生,후허성
李斌,리빈
李娜,리나
丁光训,딩광쉰
徐根宝,쉬건바오
梁保华,량바오화
林瑞麟,람서이런
陳智思,찬지시
毕津浩,비진하오
陳欣健,천신젠
梁靖琪,량청치
韩德君,한더쥔
郝蕾,하오레이
郝伟,하오웨이
郭树清,궈수칭
荀慧生,순혜생
周比利,주비리
王志文,왕즈원
徐琰,슈얀
韩先楚,한시엔추
韩松,한쑹
芮乃伟,루이나이웨이
李锡文,리시원
张翰 (大陆演员),장한 (1984년)
刘诗雯,류시웬
柳荫,류인
葉群,예췬
杨云,양윈
徐峥,쉬정
韩大元,한대원
韩金铭,한진밍
潘庆林,판칭린
胡楓,호풍
梁小龍,양소룡
黃磊,황레이
鄭玉嫻,젱육한
王霏,왕페이
叶乔波,예차보
刘璇,류쉬안
王丽平,왕리핑
卞留念,볜류녠
荣昊,룽하오
商天娥,상톈어
陆浩,루하오
胡定欣,호정흔
戴晴,다이칭
曾志偉,정즈웨이
颜骏凌,옌쥔링
邵逸夫,사오이푸
高敏,가오민
卜濤,부타오
馮飛,펑페이
王洪文,왕훙원
何美钿,허메이톈
孙菲菲,쑨페이페이
張昊辰,장하오천
胡夏,후샤
何炳林,허빙린
何建军,허젠쥔
曹谁,조수
吴文俊,우원쥔
格非,거페이
孙葆洁,쑨바오제
郗恩庭,시언팅
邱健,치우지엔
方励之,팡리즈
嵯峨浩,사가 히로
邢爱华,싱아이화
丁美媛,딩 메이유안
凌洁,링지에
陶虹,타오훙
曹逸飞,차오이페이
曹赟定,차오윈딩
岳清爽,웨칭솽
陈中,천중
郭小橹,궈샤오루
易中天,이중톈
謝天華,사천화
楊卓娜,양줘나
柴静,차이징
柴泽民,차이쩌민
陳志康,찬지홍
陳發枝,찬팟지
梁光烈,량광례
蔡国強,차이궈창
熊倪,슝니
孟苏平,멍쑤핑
田刚,톈강
陳鑑林,찬감람
陳易希,찬익헤이
孔令輝,쿵링후이
刘宏宇,류훙위
西川,시촨
毛岸青,마오안칭
滕彪,텅뱌오
王琳,왕린
胡鞍钢,후안강
王安憶,왕안이
火亮,휘량
袁纯清,위안춘칭
白丽珠,바이훙
胡絜青,후제칭
胡錫進,후시진
胡耀宇,후야오위
黃璐,황루
华岗,화강
刘延东,류옌둥
帖雅娜,티에야나
余杰,위제
谭震林,탄전린
谭良德,탄량더
何超儀,허자오이
楊茜堯,양첸야오
王喜,웡헤이
石宗源,스쭝위안
吉炳轩,지빙시안
黄兴国,황싱궈
常书鸿,창수훙
胡杏兒,후싱얼
陳旭智,찬육지
陳婉嫻,찬윈한
陳潤韜,천룬타오
張其昀,장치윈
張信剛,장신강
陈昌智,천창즈
陈达,천다
王超華,왕차오화
曹查理,조사리
李惠芬,리후이펀
齊廣璞,치광푸
回良玉,후이량위
沈钧儒,심균유
霍思燕,훠쓰옌
檀啸,탄샤오
白玛赤林,바이마츠린
董必武,둥비우
方力钧,팡리쥔
袁紅冰,위안훙빙
陆滢,루잉
陈坤,천쿤
爾冬陞,이동승
牛剑锋,뉴젠펑
黄炎培,황옌페이
梅愛芳,매애방
李婷,리팅
陈歌辛,천거신
陈桦,천후아
陈伟强,천웨이창
劉壽斌,류서우빈
于學忠,위쉐중
李子君,리쯔쥔
于建嵘,위젠룽
刘伟平,류웨이핑
陈文希,천원시
陈晓冬,천샤오둥
陈晓楠,천샤오난
焦志敏,자오즈민
徐夢桃,쉬멍타오
洪磊,훙레이
蔡雪桐,차이쉐퉁
陆俨少,루옌사오
九零後,주링허우 세대
江維杰,장웨이제
董芳霄,둥팡샤오
梅婷,메이팅
鄭禮騫,젱라이힌
程琳,청린
陳政,진정
陈艳,천옌
孙锐,쑨루이
唐莉,탕리
張伯苓,장보링
于荣光,우영광
葉偉明,입와이밍
周绿云,저우뤼윈
吉新鹏,지신펑
赵九章,자오주장
马俊仁,마쥔런
舒畅,수창
陈紫函,천쯔한
陈子元,천쯔위안
程飞轶,청페이이
成仿吾,청팡우
谭作人,탄쭤런
孙家栋,쑨자둥
马军,마쥔
慧文,혜문
劉焯華,라우촉바
徐永昌,쉬융창
叶选平,예쉬안핑
苏耀国,쑤야오궈
陈莉莉,천리리
陳澤宇,천쩌위
許冠英,허관영
萬里,완리
劉佳宇,류자위
庞伟,팡웨이
马龙,마롱
姚晨,야오천
梅希文,메이시원
迟尚斌,츠상빈
伊力哈木·土赫提,일함 토흐티
蒋洁敏,장제민
費孝通,페이샤오퉁
周韦彤,저우웨이퉁
李喆,리저
孙震,쑨전
李娜,리나
徐绍史,쉬사오스
張叔平,장숙평
張達明,장달명
叶莉,예리
艾里奧,엘리우
萧劲光,샤오진광
袁伟民,위안웨이민
冯凯,펑카이
蔣光鼐,장광나이
沙叶新,사예신
张思之,장쓰즈
汪佳捷,왕자제
王燊超,왕선차오
春麗,춘리
李俊,리쥔
卢福坦,루푸탄
董洁,둥제
鄭兆聰,젱시우충
李永波,리융보
黃友棣,황야우다이
井柏然,징보란
袁雪芬,위안쉐펀
小沈阳,샤오선양
陆昊,루하오
李翊云,리이윈
袁和平,원화평
何灼强,허줘창
田秉毅,톈빙이
清格爾泰,칭걸테
刘星,류싱
樊纲,판강
谭望嵩,탄왕쑹
賈樟柯,지아장커
薛之谦,쉐즈첸
翁文灝,웡원하오
周睿羊,저우루이양
曲波,취보
邱峻,추쥔
王磊,왕레이
肖捷,샤오제
罗布江村,기알첸 노르부
徐嬌,쉬자오
楊森,양썬
张傲嘉,섀도 젠
陈赛娟,천싸이쥐안
王檄,왕시
李玮锋,리웨이펑
刘欢,류환
毛新宇,마오신위
冼东妹,셴둥메이
聂元梓,녜위안쯔
廖承志,랴오청즈
屠呦呦,투유유
崔永元,최영원
毛孟靜,모망징
傅莹,푸잉
彭荃,펑취안
吳樾,우웨
苍国来,소코쿠라이 에이키치
邵炜刚,사오웨이강
娜塔莉·門多薩,나탈리 잭슨 멘도자
歐瑞偉,어우루이웨이
景海鹏,장하이펑
湯鎮業,탕진업
周扬,저우양
柳传志,류촨즈
韩雪,한쉐
唐九红,탕주훙
蔡振华,차이전화
崔洁,추이제
饶雪漫,요설만
贾乃亮,자나이량
邓清明,덩칭밍
程砚秋,정연추
周秀娜,주수나
袁泉,위안취안
李永達,리윙닷
衛留成,웨이류청
何勇,허융
苏伟,쑤웨이
黄永砯,황융핑
李稻葵,리다오쿠이
石天,스톈
邓稼先,등가선
邓森悦,덩썬웨
徐晓飞,쉬샤오페이
蔣慶,장칭
沈集成,삼잡싱
万大庆,완다칭
陸莉,루리
黄欣彤,황신퉁
马约翰,마웨한
李少杰,리사오제
张德慈,장더츠
胡雪峰,후쉐펑
陈洁冰,천제빙
朱小蓀,짐 추
杨惠妍,양후이옌
鄔君梅,우쥔메이
張卓慶,윌리엄 청
苏荣,쑤룽
杨传堂,양촨탕
徐守盛,쉬서우성
马天宇,마톈위
杨宪益,양셴이
許晴,쉬칭
陈怡,천이
金星,진싱
王羽佳,유자 왕
鄺保羅,퀑보로
李鐵,리톄
劉國正,류궈정
何維健,데릭 호
唐家璇,탕자쉬안
第十六世噶瑪巴·讓炯日佩多傑,랑중릭빼도제
才旦卓玛,체텐 돌마
居文君,주원쥔
李毅凱,리응아이하이
李强,리창
吴学谦,우쉐첸
李肇星,리자오싱
第十七世大宝法王噶玛巴·伍金赤列·晋美多吉,카르마파 라마
唐功红,탕궁홍
金力,진리
金立群,진리췬
金毓嶂,진위장
励建书,리젠수
翦伯赞,젠보짠
蒋方舟,장팡저우
容国团,룽궈퇀
周麗淇,저우리치
劳丽诗,라오리스
李文良,리원량
李毅,리이
李易祥,리이샹
李咏,리융
白靈,바이 링
王菲,왕페이
欧阳万成,지미 O. 양
林徽因,린휘인
李雪健,리쉐젠
鍾欣潼,중신퉁
盛世才,성스차이
劉霞,류샤
于汉超,위한차오
马朝旭,마자오쉬
谢赫,셰허
李琰,리옌
李振声,리전성
李志堅,리즈젠
高智晟,가오즈성
陸思敬,징 루시
經叔平,징수핑
姜景山,강경산
陳日君,천르쥔
刘旺,류왕
姜武,강무
江铸久,장주주
张静初,장징추
程抱一,프랑수아 쳉
李阳,리양
何君堯,주니어스 호
麥浚龍,막전룽
沈詩鈞,마치 부디하르조
宋汶霏,쑹원페이
周一嶽,자우얏응옥
許仕仁,허이시얀
杨雄,양슝
袁贵仁,위안구이런
許紹雄,허소웅
李璨琛,이찬침
秦俊杰,친쥔제
倪志钦,니즈친
關詠荷,관영하
