Łyna,위나강
Obóz Narodowo-Radykalny,급진국민캠프
Sanok,사노크
powiat siedlecki,시에들체군
Chrzanów,흐샤누프
Łódź,우치
język karaimski,카라임어
Międzyrzec Podlaski,미엥지제츠포들라스키
Polskie Linie Lotnicze LOT,LOT 폴란드 항공
stosunki polsko-rosyjskie,러시아-폴란드 관계
Przemyśl,프셰미실
język połabski,폴라브어
język pruski,고대 프로이센어
Język jaćwiński,수도비아어
Niezależny Samorządny Związek Zawodowy „Solidarność”,솔리다르노시치
Polesie,폴레시아
Polacy,폴란드인
Rząd Rzeczypospolitej Polskiej na uchodźstwie,폴란드 망명정부
Sokolnictwo,매사냥
Polonez,폴로네즈
Biała Podlaska,비아와포들라스카
język polski,폴란드어
Ministerstwo Spraw Zagranicznych,폴란드 외교부
Lublin,루블린
Skierniewice,스키에르니에비체
Wadowice,바도비체
Karpaty,카르파티아산맥
Bydgoszcz,비드고슈치
Świnoujście,시비노우이시치에
Karkonosze,크르코노셰산맥
Brzeg,브제크
.pl,.pl
Białystok,비아위스토크
Wrocław,브로츠와프
Wielkopolska,비엘코폴스카
Gdańsk,그단스크
Świebodzin,시비에보진
Wolin,볼린
Uznam,우제돔섬
Sejm Rzeczypospolitej Polskiej,폴란드 하원
Kurów,쿠루프
Związek Ludowo-Narodowy,대중국민연합
Świecie,스비에치에
Polskie Stronnictwo Ludowe,폴란드 인민당
powiat poznański,포즈난군
Łomża,웜자
Wieluń,비엘룬
Świdnica,시비드니차
San,산강
Znicz Pruszków,즈니치 푸르슈쿠프
Beskidy,베스키디산맥
Końskowola,코인스코볼라
Senat Rzeczypospolitej Polskiej,폴란드 상원
Kielce,키엘체
Elbląg,엘블롱크
Pyrzyce,피지체
Chorzów,호주프
Chełm,헤움
Nowy Targ,노비타르크
powiat nakielski,나크워군
Garwolin,가르볼린
Suwałki,수바우키
Częstochowa,쳉스토호바
Bytom,비톰
Płock,프워츠크
Port lotniczy Kraków-Balice,요한 바오로 2세 크라쿠프 국제공항
Zabrze,자브제
Radom,라돔
powiat brodnicki,브로드니차군
Lubin,루빈
Żarów,자루프
Stargard,스타르가르트슈체친스키
Gliwice,글리비체
Pomorze,포메라니아
powiat pucki,푸츠크군
Zgierz,즈기에시
Gorzów Wielkopolski,고주프비엘코폴스키
święta państwowe w Polsce,폴란드의 공휴일
Widzew Łódź,비제프 우치
Szlak bursztynowy,호박의 길
Zielona Góra,지엘로나구라
trasa europejska,유럽 고속도로
Zamach 20 lipca,히틀러 암살 미수 사건
Żory,조리 (도시)
Grójec,그루예츠
trasa europejska E36,유럽 고속도로 36호선
Legnica,레그니차
Sosnowiec,소스노비에츠
Rybnik,리브니크
Żelazowa Wola,젤라조바볼라
Słupsk,스웁스크
Żabno,자브노
Jastrzębie-Zdrój,야스트솅비에즈드루이
powiat,폴란드의 군
Bielsko-Biała,비엘스코비아와
powiat wieruszowski,비에루슈프군
Wałbrzych,바우브지흐
Dąbrowa Górnicza,동브로바구르니차
Włocławek,브워츠와베크
Ruda Śląska,루다실롱스카
Tarnów,타르누프
Żyrardów,지라르두프
Wojska Lądowe,폴란드 육상군
Polska na Zimowych Igrzyskach Olimpijskich 1932,1932년 동계 올림픽 폴란드 선수단
Złotów,즈워투프
Nowa Ruda,노바루다
Akademia Obrony Narodowej,바르샤바 국립국방대학
Akcja Wyborcza Solidarność,우파연대선거행동
Kołobrzeg,코워브제크
Łowicz,워비치
Polskie Koleje Państwowe,폴란드 국철
Sochaczew,소하체프
Żórawina,주라비나
Pustynia Błędowska,브웬도프스카 사막
wybory prezydenckie w Polsce w 2010 roku,2010년 폴란드 대통령 선거
Krynica-Zdrój,크르니차즈드루이
złoty,폴란드 즈워티
Wisła,비스와
powiat giżycki,기지츠코군
Grudziądz,그루지옹츠
powiat pińczowski,핀추프군
powiat staszowski,스타슈프군
powiat rybnicki,리브니크군
powiat wyszkowski,비슈쿠프군
powiat kolneński,콜노군
Busko-Zdrój,부스코즈드루이
powiat hrubieszowski,흐루비에슈프군
Telewizja Polska,TVP
Babia Góra,바비아 구라
Koleje Dolnośląskie,돌니실롱스크의 철도
powiat gnieźnieński,그니에즈노군
Polonia Warszawa,폴로니아 바르샤바
powiat chodzieski,호지에시군
powiat czarnkowsko-trzcianecki,차른쿠프트슈치안카군
powiat gostyński,고스틴군
powiat grodziski,그로지스크군
powiat sępoleński,셍풀노군
Czechowice-Dziedzice,체호비체지에지체
Stadion Śląski,실롱스키 경기장
TV Puls,TV 풀스
powiat międzychodzki,미엥지후트군
powiat obornicki,오보르니키군
Polska w Konkursie Piosenki Eurowizji,폴란드의 유로비전 송 콘테스트 참가
Sulechów,술레후프
powiat raciborski,라치부시군
futuryzm,미래파
powiat kolski,코워군
powiat koniński,코닌군
powiat kościański,코시치안군
powiat jarociński,야로친군
powiat kaliski,칼리시군
powiat tucholski,투홀라군
Będzin,벵진
powiat krapkowicki,크랍코비체군
powiat kędzierzyńsko-kozielski,켕지에진코질레군
Knurów,크누루프
Płońsk,프원스크
powiat śremski,시렘군
Pruska Kolej Wschodnia,프로이센 동방철도
Pińczów,핀추프
powiat słupecki,스우프차군
powiat średzki,시로다군
powiat rawicki,라비치군
powiat szamotulski,샤모투위군
Kopalnia soli Wieliczka,비엘리치카 소금광산
powiat wągrowiecki,봉그로비에츠군
powiat wrzesiński,브제시니아군
powiat złotowski,즈워투프군
powiat brzeski,브제크군
powiat głubczycki,그우프치체군
Ostrołęka,오스트로웽카
powiat kluczborski,클루치보르크군
powiat turecki,투레크군
powiat wolsztyński,볼슈틴군
powiat pilski,피와군
powiat krotoszyński,크로토신군
powiat kępiński,켕프노군
powiat leszczyński,레슈노군
powiat ostrowski,오스트루프군
powiat ostrzeszowski,오스트셰슈프군
powiat strzelecki,스트셸체군
powiat prudnicki,프루드니크군
powiat oleski,올레스노군
powiat opolski,오폴레군
powiat pleszewski,플레셰프군
powiat nowotomyski,노비토미실군
powiat nyski,니사군
powiat wałbrzyski,바우브지흐군
Bataliony Chłopskie,농민대대
powiat mogileński,모길노군
rusini karpaccy,루신인
Hajnówka,하이누프카
Górnik Zabrze,구르니크 자브제
Cracovia,KS 크라코비아
Siły Zbrojne Rzeczypospolitej Polskiej,폴란드군
Polska na Letnich Igrzyskach Olimpijskich 2008,2008년 하계 올림픽 폴란드 선수단
Wieliczka,비엘리치카
powiat żuromiński,주로민군
stosunki polsko-węgierskie,폴란드-헝가리 관계
Lotnisko Chopina w Warszawie,바르샤바 쇼팽 공항
Augustów,아우구스투프
powiat nowomiejski,노베미아스토군
Polski Autokefaliczny Kościół Prawosławny,폴란드 정교회
linia kolejowa Berlin – Szczecin,베를린-슈체친선
Tczew,트체프
Karpacz,카르파츠
powiat gliwicki,글리비체군
powiat pszczyński,프슈치나군
TVN,TVN
powiat tomaszowski,토마슈프군
Kłodzko,크워츠코
Polska na Zimowych Igrzyskach Olimpijskich 1928,1928년 동계 올림픽 폴란드 선수단
Polsat,폴자츠
Komunistyczna Partia Polski,폴란드 공산당
Kędzierzyn-Koźle,켕지에진코질레
RWE,RWE
Oleśnica,올레시니차
Polska na Zimowych Igrzyskach Olimpijskich 2010,2010년 동계 올림픽 폴란드 선수단
Raków Częstochowa,라쿠프 쳉스토호바
Fabryka Emalia Oskara Schindlera,오스카 쉰들러의 에나멜 공장
Zamość,자모시치
Zakopane,자코파네
Zagłębie Lubin,자그웽비에 루빈
Polska na Letnich Igrzyskach Olimpijskich 2012,2012년 하계 올림픽 폴란드 선수단
hymn Polski,폴란드의 국가
droga krajowa nr 1,국도 제1호선
powiat malborski,말보르크군
Polska na Zimowych Igrzyskach Olimpijskich 1924,1924년 동계 올림픽 폴란드 선수단
Długopole-Zdrój,드우고폴레즈드루이
Zgorzelec,즈고젤레츠
Ruch Chorzów,루흐 호주프
Uniwersytet Warszawski,바르샤바 대학교
Malbork,말보르크
Zawiercie,자비에르치에
Lębork,렝보르크
powiat przasnyski,프샤스니시군
Kaszubi,카슈브인
Bazylika katedralna Świętych Michała i Floriana w Warszawie,성 플로리아노 대성당
Prosna,프로스나강
Krosno Odrzańskie,크로스노오잔스키에
Zgromadzenie Narodowe w Polsce,국민의회
Jelenia Góra,옐레니아구라
powiat wielicki,비엘리치카군
Wolin,볼린섬
Międzyzdroje,미엥지즈드로예
Kaszuby,카슈비아
Dziwna,지브나 해협
Wodzisław Śląski,보지스와프실롱스키
Obóz zagłady w Treblince,트레블링카 강제 수용소
powiat koszaliński,코샬린군
Lubsko,룹스코
Sudety,수데티산맥
powiat ostrołęcki,오스트로웽카군
Starogard Gdański,스타로가르트그단스키
Szczekociny,슈체코치니
Armia Krajowa,국내군
powiat kutnowski,쿠트노군
powiat łęczycki,웽치차군
powiat gorzowski,고주프군
powiat krośnieński,크로스노군
Polski Związek Piłki Nożnej,폴란드 축구 협회
Muzeum Narodowe w Warszawie,바르샤바 국립미술관
trasa europejska E28,유럽 고속도로 28호선
Uniwersytet Wrocławski,브로츠와프 대학교
powiat międzyrzecki,미엥지제치군
powiat nowosolski,노바술군
powiat strzelecko-drezdenecki,스트셸체드레즈덴코군
powiat sulęciński,술렝친군
powiat słubicki,스우비체군
województwo,폴란드의 주
SS-Hütte Porombka,졸라휘테
Strzelce Opolskie,스트셸체오폴스키에
Krasnystaw,크라스니스타프
dialekt śląski języka niemieckiego,실레지아 독일어
powiat piski,피시군
Piła,피와
Pierwotne karpackie lasy bukowe i stare lasy bukowe w Niemczech,카르파티아 및 유럽의 기타 지역에 생육하는 고대 및 원시 너도밤나무 숲
Bug,부크강
Bitwa pod Tannenbergiem,타넨베르크 전투
powiat szczycieński,슈치트노군
Piotrków Trybunalski,피오트르쿠프트리부날스키
Andrzejki,성 안드레아의 날
powiat ostródzki,오스트루다군
Platforma Obywatelska,시민 플랫폼
Westerplatte,베스테르플라테
powiat wschowski,프스호바군
powiat zielonogórski,지엘로나구라군
Jaworzno,야보주노
powiat żarski,자리군
Kętrzyn,켕트신
Nidzica,니지차
Bieszczadzki Park Narodowy,비에슈차디 국립공원
Siedlce,시에들체
Polska Zjednoczona Partia Robotnicza,폴란드 통일노동자당
Pabianice,파비아니체
Piekary Śląskie,피에카리실롱스키에
Bolesławiec,볼레스와비에츠
Kostrzyn nad Odrą,코스트신나트오드롱
powiat świebodziński,시비에보진군
powiat żagański,자간군
Oblężenie Westerplatte,베스테르플라테 전투
Park Mużakowski,무스카우 공원
Korytarz polski,폴란드 회랑
Prawo i Sprawiedliwość,법과 정의
Metro w Warszawie,바르샤바 지하철
Ustka,우스트카
Wilczy Szaniec,늑대소굴
Cieszyn,치에신
Raba,라바강
Bełchatów,베우하투프
Żagań,자간
Puławy,푸와비
Radomsko,라돔스코
Siemianowice Śląskie,시에미아노비체실롱스키에
Dzień Kolejarza,철도의 날
Poddębice,포뎅비체
Mysłowice,미스워비체
powiat moniecki,몬키군
Ruś Czerwona,적러시아
Kłobuck,크워부츠크
Żnin,주닌
trasa europejska E30,유럽 고속도로 30호선
powiat karkonoski,카르코노셰군
Łęczyca,웽치차
granica na Odrze i Nysie Łużyckiej,오데르-나이세선
Ryn,린
powiat kłodzki,크워츠코군
powiat górowski,구라군
Brzeziny,브셰지니
1 Dywizja Pancerna,제1기갑사단
wypadek kolejowy pod Szczekocinami,슈체코치니 열차 충돌 사고
Chełmno,헤움노
Limanowa,리마노바
powiat myśliborski,미실리부시군
powiat bolesławiecki,볼레스와비에츠군
powiat dzierżoniowski,지에르조니우프군
Morskie Oko,모르스키에오코호
Śnieżka,스네슈카산
powiat bieszczadzki,비에슈차디군
powiat kamiennogórski,카미엔나구라군
powiat jaworski,야보르군
Nowe,노베
Oława,오와바강
Aleksandrów Kujawski,알렉산드루프 쿠야프스키
Zatoka Pomorska,포메라니아만
Kamień Pomorski,카미엔포모르스키
powiat szczecinecki,슈체치네크군
powiat gryficki,그리피체군
powiat gryfiński,그리피노군
trasa europejska E40,유럽 고속도로 40호선
Reprezentacja Polski w piłce nożnej,폴란드 축구 국가대표팀
Myślenice,미실레니체
Gorczański Park Narodowy,고르체 국립공원
Śląsk Wrocław,실롱스크 브로츠와프
Pomorze Wschodnie,포메렐리아
trasa europejska E75,유럽 고속도로 75호선
Kwidzyn,크비진
Zdany,즈다느
Iłowa,이워바
Tarnowskie Góry,타르노프스키에구리
Stęszew,스텡셰프
powiat policki,폴리체군
Słupca,스우프차
bazylika archikatedralna św. Stanisława i św. Wacława w Krakowie,바벨 대성당
Nizina Środkowoeuropejska,북유럽 평원
V3,V-3
powiat oleśnicki,올레시니차군
Zawisza Bydgoszcz,자비샤 비드고슈치
Arkady Kubickiego,쿠비치키 아케이드
Kępno,켕프노
Gryfice,그리피체
Góry Świętokrzyskie,시비엥토크시스키에산맥
Rusyfikacja,러시아화
Pałac Kultury i Nauki,문화과학궁전
Puck,푸츠크
ŁKS Łódź,ŁKS 우치
Ćmielów,치미엘루프
powiat niżański,니스코군
powiat głogowski,그워구프군
Kartuzy,카르투지
Pomnik Adama Mickiewicza w Krakowie,아담 미츠키에비치 기념비
Uniwersytet im. Adama Mickiewicza w Poznaniu,포즈난 대학교
Łaziska Górne,와지스카구르네
Mazowsze,마조프셰
godło Polski,폴란드의 국장
Zduńska Wola,즈둔스카 볼라
Łazienki Królewskie w Warszawie,와지엔키 공원
powiat jarosławski,야로스와프군
Skarżysko-Kamienna,스카르지스코카미엔나
Łańcut,완추트
Stadion Narodowy w Warszawie,바르샤바 국립 경기장
burmistrz,수령
Wągrowiec,봉그로비에츠
Siedliszcze,시에들리슈체
powiat żniński,주닌군
powiat legnicki,레그니차군
Polska Partia Robotnicza,폴란드 노동자당
powiat chojnicki,호이니체군
Opawa,오파바강
Stadion Miejski w Poznaniu,포즈난 시립경기장
Tarczyński Arena Wrocław,브로츠와프 시립경기장
powiat strzeliński,스트셸린군
Dzień Nauczyciela,교사의 날
powiat lwówecki,르부베크군
Stadion Energa Gdańsk,스타디온 에네르가 그단스크
Uniwersytet Jagielloński w Krakowie,야기에우워 대학교
Klecina,클레치나
Litwini,리투아니아인
powiat radziejowski,라지에유프군
Szklarska Poręba,슈클라르스카 포렝바
Jordanów Śląski,요르다누프 실롱스키
Sandomierz,산도미에시
powiat lubański,루반군
powiat lubiński,루빈군
Stadion GKS Bełchatów,GKS 경기장
Muzeum Narodowe w Krakowie,크라쿠프 국립미술관
Puszcza Białowieska,비아워비에자 숲
literatura polska,폴란드 문학
powiat stalowowolski,스탈로바볼라군
Order Odrodzenia Polski,폴란드 재건국 훈장
Legia Warszawa,레기아 바르샤바
Wisła Kraków,비스와 크라쿠프
Dyskobolia Grodzisk Wielkopolski,디스코볼라 그로지스크비엘코폴스키
Tatry Wysokie,고타트리산맥
Mińsk Mazowiecki,민스크마조비에츠키
bazylika archikatedralna św. Jana Chrzciciela w Warszawie,성 요한 대성당
Zelów,젤루프
Jagiellonia Białystok,야기엘로니아 비아위스토크
Sztab Generalny Wojska Polskiego,폴란드군 총참모부
Tatry,타트라 산맥
powiat chełmiński,헤움노군
operacja Tannenberg,타넨베르크 작전
Łuski,어린
Łobez,워베스
powiat krasnostawski,크라스니스타프군
powiat wołowski,보우프군
powiat wrocławski,브로츠와프군
Instytut Pamięci Narodowej,폴란드 국립 추모 연구소
powiat grudziądzki,그루지옹츠군
Brda,브르다강
Połczyn-Zdrój,포우친즈드루이
Żywiec,지비에츠
Inowrocław,이노브로츠와프
Trzebnica,트셰브니차
Wschowa,프스호바
Polska Akademia Nauk,폴란드 과학 아카데미
Polsko-niemiecki traktat graniczny,독일-폴란드 국경 조약
pogrom w Jedwabnem,예드바브네 학살
powiat milicki,밀리치군
powiat toruński,토룬군
Kolumna Zygmunta III Wazy,지그문트 3세 바사 기둥
Szczuczyn,슈추친
powiat zgorzelecki,즈고젤레츠군
powiat ząbkowicki,종프코비체군
powiat biłgorajski,비우고라이군
powiat golubsko-dobrzyński,골루프도브진군
Kościół św. Wojciecha w Krakowie,성 보치에하 교회
gospodarka Polski,폴란드의 경제
powiat złotoryjski,즈워토리야군
powiat świdnicki,시비드니차군
powiat inowrocławski,이노브로츠와프군
powiat trzebnicki,트셰브니차군
powiat oławski,오와바군
powiat polkowicki,폴코비체군
trasa europejska E65,유럽 고속도로 65호선
powiat chełmski,헤움군
Mońki,몬키
powiat rycki,리키군
powiat tomaszowski,토마슈프군
Pruszków,프루슈쿠프
Jarosław,야로스와프
Karaimi,카라임족
powiat lipnowski,리프노군
Stare Miasto,크라쿠프 역사지구
powiat myślenicki,미실레니체군
Zakon Braci Mniejszych,작은형제회
powiat lubartowski,루바르투프군
powiat lubelski,루블린군
powiat janowski,야누프군
powiat opolski,오폴레군
powiat parczewski,파르체프군
Krzywy Domek,크시비 도메크
Kazimierz Dolny,카지미에시 돌니
Stadion Dyskobolii Grodzisk Wielkopolski,디스코볼라 경기장
Ratusz we Wrocławiu,브로츠와프 시청사
powiat bialski,비아와군
Motor Lublin,모토르 루블린
powiat świdnicki,시비드니크군
powiat łęczyński,웽치나군
powiat białobrzeski,비아워브제기군
powiat puławski,푸와비군
powiat radzyński,라진군
powiat wodzisławski,보지스와프군
powiat rypiński,리핀군
powiat świecki,시비에치에군
powiat wąbrzeski,봉브제지노군
powiat włocławski,브워츠와베크군
Koleje Śląskie,실롱스크의 철도
powiat ostrowiecki,오스트로비에츠군
powiat zamojski,자모시치군
powiat łukowski,우쿠프군
Prusy,프로이센
Korona Kielce,코로나 키엘체
trasa europejska E77,유럽 고속도로 77호선
powiat gorlicki,고를리체군
Mszana Dolna,므샤나 돌나
Ostrowiec Świętokrzyski,오스트로비에츠시비엥토크시스키
Legionowo,레기오노보
Gryfici,그리프가
powiat średzki,시로다군
powiat będziński,벵진군
Gorce,고르체 산맥
Oława,오와바
powiat garwoliński,가르볼린군
Port lotniczy Gdańsk im. Lecha Wałęsy,그단스크 레흐 바웬사 공항
powiat ciechanowski,치에하누프군
powiat węgorzewski,벵고제보군
Oberek,오페레크
Dzierżoniów,지에르조니우프
Lechia Gdańsk,레히아 그단스크
Mielec,미엘레츠
powiat brzeski,브제스코군
Szydłowiec,시드워비에츠
powiat lipski,립스코군
Chojnice,호이니체
Okrągły Stół,폴란드 원탁회의
powiat zwoleński,즈볼렌군
autostrady i drogi ekspresowe w Polsce,아우토스트라다 (폴란드)
GKS Katowice,GKS 카토비체
granica polsko-rosyjska,러시아-폴란드 국경
granice Polski,폴란드의 국경
powiat gołdapski,고우다프군
powiat warszawski zachodni,서바르샤바군
powiat otwocki,오트보츠크군
Alwernia,알베르니아
powiat makowski,마쿠프군
powiat bełchatowski,베우하투프군
Ciechanów,치에하누프
Piaseczno,피아세치노
powiat kolbuszowski,콜부쇼바군
Mława,므와바
Oblężenie Wrocławia,브레슬라우 전투
Otwock,오트보츠크
Sieradz,시에라츠
Mrągowo,므롱고보
Mikołajki Pomorskie,미콜라이키
polityka zagraniczna Polski,폴란드의 대외 관계
Piast Gliwice,피아스트 글리비체
Arka Gdynia,아르카 그디니아
Krotoszyn,크로토신
Wołomin,보워민
Mikołajki,미콜라이키
powiat bielski,비엘스크군
powiat aleksandrowski,알렉산드루프군
powiat bydgoski,비드고슈치군
Bazylika konkatedralna Wniebowzięcia Najświętszej Maryi Panny w Gdańsku,성모 승천 대성당
Kościerzyna,코시치에지나
Rytro,르트로
powiat sierpecki,시에르프츠군
powiat szydłowiecki,시드워비에츠군
Reprezentacja Polski w koszykówce mężczyzn,폴란드 농구 국가대표팀
Węgorzewo,벵고제보
Premierzy Polski,폴란드의 총리
Pilica,필리차강
powiat pruszkowski,프루슈쿠프군
Wałcz,바우치
Rysy,리시산
powiat radomski,라돔군
Transport kolejowy w Polsce,폴란드의 철도
powiat sokołowski,소코우프군
powiat przysuski,프시수하군
powiat pułtuski,푸우투스크군
powiat żyrardowski,지라르두프군
Lidzbark Warmiński,리즈바르크 바르민스키
Lubliniec,루블리니에츠
Starachowice,스타라호비체
GKS Bełchatów,GKS 베우하투프
bonifratrzy,천주의 성 요한 수도회
Filharmonia Bałtycka,폴란드 발트 필하모닉
Bardo,바르도
Obrona Chojnic,호이니체 전투 (1939년)
kuchnia polska,폴란드 요리
Zamek Królewski w Warszawie,바르샤바 왕궁
trasa europejska E67,유럽 고속도로 67호선
Reprezentacja Polski w piłce ręcznej mężczyzn,폴란드 핸드볼 국가대표팀
Komorniki,코모르니키
Bochnia,보흐니아
Przysucha,프시수하
Poprad,포프라트강
Bitwa Warszawska,바르샤바 전투
powiat wołomiński,보워민군
powiat płoński,프원스크군
powiat kartuski,카르투지군
Nysa,니사
powiat węgrowski,벵그루프군
powiat przemyski,프셰미실군
Noteć,노테치강
powiat sokólski,소쿠카군
Bombardier Traxx,봄바디어 TRAXX
Krosno,크로스노
Sejny,세이니
Newag,네바그
Rogoźno,로고지노
Stronnictwo Narodowe,국민당
Polska na letnich igrzyskach olimpijskich,올림픽 폴란드 선수단
Wojcieszów,보이치에슈프
Pogoń Szczecin,포곤 슈체친
Drezdenko,드레즈덴코
Kcynia,크치니아
Podbeskidzie Bielsko-Biała,포드베스키지에 비엘스코비아와
Solaris Bus & Coach,솔라리스 버스 & 코치
Giżycko,기지츠코
Nowy Białynin,노비비아위닌
Pruszcz Gdański,프루스크 그단스키
Dunajec,두나예츠강
Order Virtuti Militari,비르투티 밀리타리
powiat mławski,므와바군
powiat gostyniński,고스티닌군
powiat miński,민스크군
powiat grójecki,그루예츠군
Rabka-Zdrój,라브카즈드루이
Łańcuch alpejsko-himalajski,알프스-히말라야 조산대
Grybów,그르부프
powiat kozienicki,코지에니체군
Drewniane kościoły południowej Małopolski,남부 리틀폴란드의 목조 교회
Kozienice,코지에니체
Chełmża,헤움자
powiat nowodworski,노비드부르군
powiat nowotarski,노비타르크군
Padniewko,파드니에브코
Hel,헬
Jasło,야스워
Gołdap,고우다프
Gorlice,고를리체
powiat płocki,프워츠크군
powiat łosicki,워시체군
Koleje Mazowieckie – KM,마조브셰 철도
Bezpartyjny Blok Wspierania Reform,개혁지지 무당파 의원단
Szczecinek,슈체치네크
podział administracyjny Polski,폴란드의 행정 구역
powiat włodawski,브워다바군
Białobrzegi,비알로브제기
Biebrza,비에브자강
Biblioteka Narodowa,국립도서관
Trójkąt Trzech Cesarzy,삼제삼합점
Rynek Główny w Krakowie,리네크 글루프니
Olecko,올레츠코
Opoczno,오포치노
Kąty Wrocławskie,콩트 브로츠와프스키에
Biedronka,비에드론카
Pojezierze Mazurskie,마주리안 호수 지구
Bieżuń,비에준
Szczytno,슈치트노
Polonia Bytom,폴로니아 비톰
Gniewino,그니에비노
Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina,쇼팽 국제 피아노 콩쿠르
Chojna,호이나
Gietrzwałd,기에트슈바우트
Sojusz Lewicy Demokratycznej,민주좌파연합
Boboszów,보보슈프
Tymbark,틈바르크
Redzikowo,레드지코보
rodzimowierstwo słowiańskie,로드노베리에
Międzylesie,미엥즐레시에
powiat strzyżowski,스트시주프군
Stanowisko archeologiczne w Biskupinie,비스쿠핀 유적
Koalicja Obywatelska,시민연합
Miss Polonia,미스 폴란드
Osinów Dolny,오시누프돌니
Dywizjon 303,왕립공군 제303편대
Grunwald,그룬발트
Piwniczna-Zdrój,피브니츠나즈드루이
Olsztynek,올슈티네크
Ustroń,우스트론
Stary Sącz,스타리송치
powiat zduńskowolski,즈둔스카볼라군
Szczawnica,슈차브니차
powiat suski,수하군
Maków Podhalański,마쿠프포트할란스키
powiat leżajski,레자이스크군
powiat kazimierski,카지미에자군
powiat jędrzejowski,옝제유프군
Wieża ratuszowa w Krakowie,라투슈초바 탑
Świna,시비나강
powiat włoszczowski,브워슈초바군
powiat konecki,콘스키에군
powiat ropczycko-sędziszowski,로프치체셍지슈프군
Prezydent Rzeczypospolitej Polskiej,폴란드의 대통령
Polskie Radio,폴스키에 라디오
powiat starachowicki,스타라호비체군
powiat kraśnicki,크라시니크군
powiat przeworski,프셰보르스크군
powiat kielecki,키엘체군
Suwerenna Polska,통합 폴란드
powiat wadowicki,바도비체군
powiat limanowski,리마노바군
powiat sanocki,사노크군
powiat kołobrzeski,코워브제크군
powiat olkuski,올쿠시군
powiat myszkowski,미슈쿠프군
Łeba,웨바강
powiat łódzki wschodni,동우치군
Olza,올자강
powiat sztumski,슈툼군
