Diego Velázquez,디에고 벨라스케스
Pablo Sarabia,파블로 사라비아
Daniel Sánchez Ayala,다니엘 아얄라
Álex Fernández Iglesias,알렉스 페르난데스
Francisco Franco,프란시스코 프랑코
Juan Mata,후안 마타
Bojan Krkić,보얀 크르키치
Javier Portillo,하비에르 포르티요
Santiago Segura,산티아고 세구라
Javier Balboa,하비에르 발보아
Camilo Cienfuegos,카밀로 시엔푸에고스
Juan Carlos Ferrero,후안 카를로스 페레로
Benito Floro,베니토 플로로
Eva Isanta,에바 이산타
Isaac Albéniz,이사크 알베니스
Miguel Servet,미카엘 세르베투스
Michu,미겔 페레스 쿠에스타
Dana Cervantes,다나 세르반테스
Pedro Llompart,페드로 욤파르트
Antoni Gaudí,안토니 가우디
Emiliano Insúa,에밀리아노 인수아
Felipe Reyes,펠리페 레예스
Carlos Aguilera,카를로스 아길레라 마르틴
Jaume Cabré,자우메 카브레
Felipe Caicedo Boom,펠리페 카이세도
Diego Álvaro Domínguez Soto,알바로 도밍게스 소토
Bata,아구스틴 사우토 아라나
Carlos II de Parma,파르마의 카를로 2세
Montserrat Lombard,몬트세라트 롬바르드
Fernando VII de España,페르난도 7세
Francisco Soler Atencia,파코 솔레르
Mario Gaspar,마리오 가스파르
Carlos Marchena,카를로스 마르체나
Francisco Javier González Pérez,프란 곤살레스
Manolo Preciado,마누엘 프레시아도
Domènec Balmanya,도메네크 발마냐
Amancio Ortega,아만시오 오르테가
Fernando de Rojas,페르난도 데 로하스
Rafael Muñoz Pérez,라파엘 무뇨스
Santi Cazorla,산티 카소를라
Julen Guerrero,훌렌 게레로
Martín Fiz,마틴 피즈
Míriam Díaz Aroca,미리암 디아즈 아로카
Quique Sánchez Flores,키케 산체스 플로레스
Casemiro,카제미루
Mikel Arteta,미켈 아르테타
María Dolores Pradera,마리아 돌로레스 프라데라
Juan Ponce de León,후안 폰세 데 레온
Javier Saviola,하비에르 사비올라
Eva González,에바 곤살레스
Josemaría Escrivá de Balaguer,호세마리아 에스크리바
Miguel Díaz,미겔 디아스
Juan García Postigo,후안 가르시아 포스티고
José Ángel Crespo,호세 앙헬 크레스포
Rubén Castro,루벤 카스트로
Joan Capdevila,호안 캅데빌라
Jesé Rodríguez,헤세 로드리게스
Manolo Escobar,마놀로 에스코바르
Benito Pérez Galdós,베니토 페레스 갈도스
Alejandro Grimaldo,알렉스 그리말도
Arantxa Sánchez Vicario,아란차 산체스 비카리오
Jorge Alba,호르디 알바
Manuel Enrique Jiménez,마누엘 히메네스 아발로
Francisco Camarasa,프란시스코 호세 카마라사
José Pedro Cea,페드로 세아
David Ferrer,다비드 페레르
Fernando Llorente,페르난도 요렌테
Isabel Martínez de Perón,이사벨 마르티네스 데 페론
Adelardo Rodríguez,아델라르도 로드리게스
Fernando Verdasco,페르난도 베르다스코
Aleix Espargaró,알렉스 에스파가로
Natalia Sánchez,나탈리아 산체스
Jesús Hernández Blázquez,헤수스 에르난데스
Carlos Moyá,카를로스 모야
Alfonso Silva Placeres,알폰소 실바
Bartolomé Esteban Murillo,바르톨로메 에스테반 무리요
Joan Roca,조안 로카
Chico Flores,호세 마누엘 플로레스
Andrés Segovia Torres,안드레스 세고비아
Benicio del Toro,베니시오 델토로
Raymond Domenech,레몽 도메네크
Jorge Otero,호르헤 오테로
Raúl Fernández-Cavada Mateos,라울 페르난데스카바다
Felipe VI de España,아스투리아스 공 펠리페
Pau Gasol,파우 가솔
Fernando VI de España,페르난도 6세
Aleix Vidal,알레시 비달
Juan de la Cierva,후안 데 라 휘에르바
Manuel de Falla,마누엘 데 파야
Francisco de Asís de Borbón,카디스 공작 프란시스코
Gregorio Manzano,그레고리오 만사노
José Antonio Griñán,호세 안토니오 그리냔
Gerard Deulofeu,헤라르드 데울로페우
Miguel Primo de Rivera y Orbaneja,미구엘 프리모 데 리베라
Ferran Corominas,페란 코로미나스
Jesús Pereda,헤수스 마리아 페레다
Jaume Collet-Serra,자우메 코예트세라
Ibai Gómez,이바이 고메스
Roberto Martínez Montoliú,로베르토 마르티네스
Alfredo Kraus,알프레도 크라우스
Juan Ruiz de Alarcón,후안 루이스 데 알라르콘
Víctor Manuel Fernández Gutiérrez,빅토르 마누엘 페르난데스
Patricia Conde,파트리시아 콘데
Juan Vizcaíno,후안 비스카이노
Jaime Huélamo,하이메 우엘라모
Josep Escolà,주제프 에스콜라
Juan Manuel Asensi,후안 마누엘 아센시
Gabriel García de la Torre,가브리 가르시아
Lola Rodríguez Aragón,롤라 로드리게스 아라곤
Daniel García Lara,다니 가르시아 라라
Pascual Cervera y Topete,파스쿠알 세르베라
Marcos Senna,마르코스 세나
Guti,구티
Iñaki Urdangarin,이나키 우르단가린
Miguel Bosé,미겔 보세
Manu Sarabia,마누엘 사라비아
Alfonso de Borbón y Battenberg,알폰소 데 보르본 이 바텐베르그
Letizia Ortiz,아스투리아스 공작 부인 레티시아
Salvador Artigas,살바도르 아르티가스
Francisco de Quevedo,프란시스코 데 케베도
Manuel Azaña,마누엘 아사냐
Juan Sebastián Elcano,후안 세바스티안 엘카노
José de Churriguera,호세 베니토 데 추리게라
Javi Martínez,하비 마르티네스
Fernando Hierro,페르난도 이에로
Carlos Sainz,카를로스 사인스
Raúl de Tomás,라울 데 토마스
Gustavo Adolfo Bécquer,구스타보 아돌포 베케르
Asier Riesgo,아시에르 리에스고
Pablo Sarasate,파블로 데 사라사테
Rubén Gracia Calmache,루벤 가르시아
Luis Ocaña,루이스 오카냐
José de Espronceda,호세 데 에스프론세다
Valdo,발도
Manu Chao,마누 차오
Heriberto Herrera,에리베르토 에레라
Juan Mayorga,후안 마요르가
Ramón Eguiazábal,라몬 에기아사발
Victoria Abril,빅토리아 아브릴
Miguel de la Torre,미겔 데라토레
Pau Casals,파블로 카살스
Buenaventura Durruti,부에나벤투라 두루티
Wellington Silva,웰링통 시우바
Jon Andoni Goikoetxea,혼 안도니 고이코에체아
Rafael del Riego,라파엘 델 리에고
Luis Doreste,루이스 도레스테
Francisco de Zurbarán,프란시스코 데 수르바란
Miguel Ángel Moya Rumbo,미겔 앙헬 모야
Antonio Puerta,안토니오 푸에르타
Santi Santamaria,산티 산타 마리아
Miguel Mínguez,미겔 밍게스
Miguel Illescas,미겔 이예스카스
Francisco de Orellana,프란시스코 데 오레야나
Luis Tosar,루이스 토사르
Bartolomé de las Casas,바르톨로메 데 라스 카사스
Ricky Rubio,리키 루비오
Ismael Ruiz Salmón,이스마엘 루이스
Juan Calatayud,후안 칼라타유드
Xabi Alonso,샤비 알론소
Xabi Prieto,사비 프리에토
Ambrosio Espínola,암브로시오 스피놀라 도리아
Ismael Urzaiz,이스마엘 우르사이스
Juanfran Torres,후안 프란시스코 토레스
Juanjo Antoni Bayona,후안 안토니오 바요나
Sergio Llull,세르히오 유
Andrés Palop,안드레스 팔로프
Carles Rexach,카를레스 렉사치
Andoni Goikoetxea,안도니 고이코에체아 올라스코아가
Álvaro Negredo,알바로 네그레도
Bárbara Lennie,바르바라 레니
Valentín Gómez Farías,발렌틴 고메스 파리아스
Carlos Gurpegui,카를로스 구르페기
Albert Lopo,알베르토 로포
Joan Verdú,호안 베르두
Andoni Zubizarreta,안도니 수비사레타
Luis I de España,루이스 1세
Rubén de la Red,루벤 데 라 레드
Tommy Robredo,토미 로브레도
Leonor de Borbón,레오노르 데 보르본
Alexéi Shírov,알렉세이 시로브
Juan Gutiérrez Moreno,후안 구티에레스 모레노
Míchel Salgado,미첼 살가도
Tomás Luis de Victoria,토마스 루이스 데 빅토리아
Javier Fernández López,하비에르 페르난데스
Albert Riera,알베르트 리에라
Andreu Fontàs,안드레우 폰타스
Agustín Rodríguez Santiago,아구스틴 로드리게스 산티아고
Enrique Porta,엔리케 포르타
Adolfo Suárez,아돌포 수아레스
Gabriel Fernández Arenas,가브리엘 페르난데스 아레나스
Joaquín Caparrós,호아킨 카파로스
Pío Baroja,피오 바로하
Roberto Soldado,로베르토 솔다도
Luis de Góngora,루이스 데 공고라
Ernesto Valverde,에르네스토 발베르데
Manuel Amorós,마뉘엘 아모로스
Héctor Verdés,엑토르 베르데스
Luis Molowny,루이스 몰로니
Francisco Chaparro Jara,파코 차파로
Alfonso de Galarreta,알폰소 데 갈라레타
Nando Muñoz,난도 무뇨스
Mariano Gonzalvo,마리아노 곤살보
Raúl Baena,라울 바에나
Manuel Roxas,마누엘 로하스
Juanmi Jiménez,후안미 히메네스
Mercedes Sampietro,메르세데스 삼피에트로
Santiago Bernabéu,산티아고 베르나베우 예스테
Felipe I de Parma,필리포
Jeb Bush,젭 부시
Jordi Bonet i Armengol,조르디 보넷 이 아르만골
José Villalonga,호세 비얄롱가 요렌테
Manolete,마놀레테
Poli Rincón,이폴리토 링콘
Antonio Gelabert,안토니오 겔라베르트
DJ Sammy,DJ 새미
Baltasar Gracián,발타사르 그라시안
Vicente Blasco Ibáñez,빈센트 블라스코 이바네스
Rafael Rullán,라파엘 루얀
Pedro Luis Farnesio,피에르 루이지 파르네세
Sergio Sánchez Ortega,세르히오 산체스
Dani Jarque,다니엘 하르케
Francesc Vilanova i Bayó,티토 빌라노바
María Luisa de Orleans,오를레앙의 마리 루이즈
Mikel Lasa,미켈 라사
Iago Herrerín,이아고 에레린
Fernando González Valenciaga,난도 곤살레스
Luis Enrique Martínez García,루이스 엔리케 마르티네스 가르시아
Antonio López Habas,안토니오 로페스 아바스
José Javier Hombrados,호세 하비에르 옴브라도스
Miguel Muñoz,미겔 무뇨스
Sergio Corino,세르히오 코리노
Edmundo Suárez,에드문도 수아레스
Soraya Arnelas,소라야 아르넬라스
María Luisa de Parma,파르마의 마리아 루이사
María Luisa Gabriela de Saboya,마리아 루이사 디 사보이아 왕녀
Albert Rocas,알베르트 로카스
Joaquín Sabina,호아킨 사비나
Eduardo Noriega,에두아르도 노리에가
Rafael Martín Vázquez,라파엘 마르틴 바스케스
Estanislao Argote,에스타니슬라오 아르고테
Carlos Arias Navarro,카를로스 아리아스 나바로
Geraldine Chaplin,제럴딘 채플린
Bárbara de Braganza,포르투갈의 바르바라
Isabel Farnesio,이사벨 디 파르네시오
María Isabel López,마리아 이사벨
Alberto Entrerríos,알베르토 엔트레리오스
Pahiño,파이뇨
Víctor Ruiz Torre,빅토르 루이스 토레
Eusebio Sacristán,에우세비오 사크리스탄
Ricardo García Ambroa,리카르도 가르시아 암브로아
Mariana Victoria de España,스페인의 마리아나 빅토리아
Fabiola de Mora y Aragón,파비올라 데 모라 이 아라곤
José Muguerza Anitúa,호세 무게르사
Elsa Pataky,엘사 파타키
Jordi Mollà,조르디 모야
José Manuel Pesudo,호세 마누엘 페수도
Ion Vélez,이온 벨레스
Javi Casas,하비 카사스
María José Martínez,마리아 호세 마르티네스
José Manuel Jurado,호세 마누엘 후라도
Lorena Van Heerde,로레나 아얄라
Massiel,마시엘
Cristina de Borbón,팔마데마요르카 공작 부인 크리스티나
Victoria de los Ángeles,빅토리아 데 로스앙헬레스
María Teresa Rafaela de Borbón,스페인의 마리아 테레사 라파엘라
Vicente del Bosque,비센테 델 보스케
Gregorio Álvarez Armelino,그레고리오 알바레스
Pedro de San José Betancur,성 페테르 베탄쿠르
María Luisa de Borbón,스페인의 마리아 루도비카
María Antonia Fernanda de Borbón,스페인의 마리아 안토니아
Lucía Pérez,루시아 페레스
Mireia Belmonte,미레이아 벨몬테
Belinda,벨린다
Pablo Alfaro,파블로 알파로
Oier Olazábal,오이에르 올리자발
Pablo Larrazábal,파블로 라라사발
Willy Toledo,기예르모 톨레도
Francisco Pavón,프란시스코 파본
Jacinto Quincoces,하신토 킹코세스
Sara Carbonero,사라 카르보네로
Pastora Soler,파스토라 솔레르
Romà Forns,로마 폰스
James Rodríguez,하메스 로드리게스
Ander Iturraspe,안데르 이투라스페
Álex Gálvez,알레한드로 갈베스
Jesús María Zamora,헤수스 마리아 사모라
Francisco Rufete,프란시스코 루페테
Tonino Carotone,토니노 카로토네
Roberto Solozábal,로베르토 솔로사발
Teresa Berganza,테레사 베르간사
José Ángel Iribar,호세 앙헬 이리바르
Alicia de Larrocha,알리시아 데 라로차
Isabel Coixet,이자벨 코셰트
Alejandro Parreño,알레한드로 파레뇨
Juan Ginés de Sepúlveda,후안 히네스 데 세풀베다
Pedro María Artola,페드로 마리아 아르톨라
Catalina Micaela de Austria,스페인의 카테리나 미카엘라
María Isabel de España,스페인의 마리아 이사벨라
Natalia Oreiro,나탈리아 오레이로
Severo Ochoa,세베로 오초아
David Barrufet,다비트 바루페트
Leonor Watling,레오노르 와틀링
Maribel Verdú,마리벨 베르두
Paz Vega,파스 베가
Carmen Maura,카르멘 마우라
Manolo «el del Bombo»,큰 북의 마놀로
Marisol,마리솔 (배우)
Azahara Muñoz,아사아라 무뇨스
Bruno Soriano,브루노 소리아노
Javier Garrido Ramírez,하비에르 가리도
María Isabel de Braganza,포르투갈의 마리아 이사벨
Carmen Polo,카르멘 폴로 프랑코
Àstrid Bergès-Frisbey,아스트리드 베르제프리스베
Mario Suárez,마리오 수아레스 마타
Paulino Rivero Baute,파울리노 리베로
Roger Garcia Junyent,로헤르 가르시아 후니엔트
Bebe,베베
Nathalia Ramos,나탈리아 라모스
Carlos Westendorp,카를로스 웨스텐도르프
María Luisa de Borbón,스페인의 마리아 루이사
Carlota Joaquina de Borbón,스페인의 카를로타 조아키나
Imanol Agirretxe,이마놀 아기레체
Hugo Silva,우고 실바
Jonathan Soriano,호나탄 소리아노
Marisa Paredes,마리사 파레데스
Juanfran García,후안 프란시스코 가르시아
Francisco Sabaté Llopart,프란시스코 사바테 요파르트
Sisinio González,시시니오 곤잘레스 마르티네즈
Antonio Buero Vallejo,안토니오 부에로 바예호
Gerardo García León,헤라르도 가르시아 레온
Juan Luis Mora,후안 루이스 모라
Xavier Montsalvatge,사비에르 몬살바헤
Elvira Lindo,엘비라 린도
José Claramunt,호세 클라라문트
Adelina Patti,아델리나 파티
Salva Iriarte,살바 이리아르테
Koldo Álvarez,콜도 알바레스
Ivana Baquero,이바나 바케로
Pedro Munitis,페드로 무니티스
Eduardo Marquina,에두아르도 마르퀴나
Aitor Karanka,아이토르 카랑카
Iñaki Sáez,이냐키 사에스
Mónica Cruz,모니카 크루스
Juan Ramón López Caro,후안 라몬 로페스 카로
George Santayana,조지 산타야나
Armando Ribeiro,아르만도 리베이로
Ikechukwu Uche,이케추쿠 우체
Amaia Montero,아마이아 몬테이로
Antoni Clavé,안토니 클라베
Antoni Ramallets,안토니 라마예츠
Juan Velasco Damas,후안 벨라스코 다마스
Alonso Quijano,알론소 키하노
Ana Belén,아나 벨렌
Belén Rueda,벨렌 루에다
Enrique Romero,엔리케 로메로
María Vladímirovna Románova,마리아 블라디미로브나 로마노프
Miguel Pallardó,미겔 파야르도
Adrián Menéndez,아드리안 메넨데스
Fele Martínez,펠레 마르티네스
Ignasi Miquel Pons,이그나시 미켈
Adriana Ozores Muñoz,아드리아나 오소레스
Miguel López-Alegría,마이클 로페스알레그리아
Dolores Ibárruri,돌로레스 이바루리
Adrián Escudero,아드리안 에스쿠데로
Miguel Ángel Jiménez,미겔 앙헬 히메네스
Rodrigo Moreno Machado,로드리고 모레노 마차도
Victorio Unamuno,빅토리오 우나무노
Adriana Ugarte,아드리아나 우가르테
Felipe IV de España,펠리페 4세
Demetrio Lozano,데메트리오 로사노
Quini,엔리케 카스트로 곤살레스
Jaume Aragall,아라갈
Jaime Mayor Oreja,하이메 마요르 오레하
María Cristina de Habsburgo-Lorena,오스트리아의 마리아 크리스티나
David López Moreno,다비드 로페스 모레노
Eugenio Lucas Velázquez,에우헤니오 루카스 벨라스케스
catalanes,카탈루냐인
Manuel Badenes,마누엘 바데네스
Lolita,롤리타 플로레스
Chenoa,체노아
Nicolás Antonio,니콜라스 안토니오
María Valverde,마리아 발베르데
Irene de Grecia,그리스와 덴마크의 공주 이리니
Antonio Machado,안토니오 마차도
Jaime de Borbón y Battenberg,하이메 데 세고비아 공작
Enric Valor,엔리크 발로르 이 비베스
Ana de Armas,아나 데 아르마스
Lola Flores,롤라 플로레스
Elena Anaya,엘레나 아나야
Salva Ballesta,살바 바예스타
Luis Regueiro,루이스 레게이로
Malena Alterio,말레나 알테리오
Mario Casas,마리오 카사스
Suso,수소
Candela Peña,칸델라 페냐
Ruth Gabriel,루트 가브리엘
Pompeu Fabra,폼페우 파브라
Sergi López,세르지 로페스
Àngel Llàcer,앙헬 야세르
Sergi Roberto,세르히 로베르토
Gonzalo Rojas,곤살로 로하스
Manuel Galduf,마누엘 갈두프
Félix Candela,펠릭스 칸델라
Mikel Laboa,미켈 라보아
Jorge Sanz,호르헤 샌즈
Antonio de Nebrija,안토니오 데 네브리하
Luis Alberto,루이스 알베르토 로메로
Álvar Núñez Cabeza de Vaca,알바르 누네즈 카베자 데 바카
Martín Marculeta,마르틴 마르쿨레타
Mateo Orfila,마티외 오르필라
Arsenio Iglesias,아르세니오 이글레시아스
Raúl Entrerríos,라울 엔트레리오스
Álex de la Iglesia,알렉스 데 라 이글레시아
Bernardino de Sahagún,베르나디노 데 사아군
José Manuel Ochotorena,호세 마누엘 오초토레나
Mariano Fortuny Marsal,마리아노 포르투니
Adán Martín,아단 마르틴 메니스
Víctor Sánchez del Amo,빅토르 산체스 델 아모
Denís Chéryshev,데니스 체리셰프
Cristóbal Balenciaga,크리스토발 발렌시아가
Salvador de Madariaga,살바도르 데 마다리아가
Florentino Pérez(El JeFe),플로렌티노 페레스
Víctor Muñoz,빅토르 무뇨스
Julio Iglesias Puga,훌리오 이글레시아스 푸가
Nicolás Almagro,니콜라스 알마그로
Javier Yubero,하비에르 유베로
José Enrique Sánchez,호세 엔리케 산체스
Álex Abrines,알렉스 아브리네스
Goya Toledo,고야 톨레도
Álvaro Arbeloa,알바로 아르벨로아
Alejandro Alfaro,알레한드로 알파로
Fernando de Santiago,페르난도 데산티아고
Pedro Contreras,페드로 콘트레라스
Joel Robles,호엘 로블레스
José Ángel Ziganda,호세 앙헬 시간다
José María Romero Poyón,호세 마리
Álvaro Quirós,알바로 키로스
Marta Baldó,마르타 발도
Lobo Carrasco,프란시스코 호세 카라스코
Antonio Olmo,안토니오 올모
Salvador Sadurní,살바도르 사두르니
Rubén Pérez del Mármol,루벤 페레스
Sanmao,싼마오
Rosario,로사리오 플로레스
José Vicente Train,호세 비센테 트라인
Alberto Ormaetxea,알베르토 오르마에체아
Manuel Chaves,마누엘 차베스
Lucas Ordóñez,루카스 오르도녜스
José Eulogio Gárate,호세 에울로히오 가라테
Martí Ventolrà,마르티 벤톨라
Estanislao Figueras,에스타니슬라오 피게라스
José de Rico,호세 데리코
Paco Bru,프란시스코 브루
Francisco Fernández Ochoa,프란시스코 페르난데스 오초아
