Figueras,菲格拉斯
Arenys de Mar,阿雷尼斯德马尔
Real Club Deportivo de La Coruña,拉科鲁尼亚竞技
Anglés,安格莱斯
Santa Coloma de Farnés,圣科洛马德法尔内尔斯
Caldetas,卡尔德斯德斯特拉克
Mediterráneo,地中海
Las Presas,莱斯普雷塞斯
La Coruña,拉科魯尼亞
Las Planas,莱斯普拉内斯德奥斯托莱斯
Caneján,卡内汉
portugués,葡萄牙语
El Masnou,埃尔马斯诺
Canet de Mar,卡内特德马尔
Viella y Medio Arán,别利亚-梅迪奥阿兰
Vilamós,比拉莫斯
International Airlines Group,國際航空集團
Esterri de Aneu,埃斯特里达内乌
La Guingueta,拉金格塔达内乌
Sant Aniol de Finestrás,桑塔尼奥尔德菲内斯特雷斯
Getafe Club de Fútbol,赫塔費足球俱樂部
Osor,奥索尔
Amer,阿梅尔
Vilasar de Mar,比拉萨尔德马尔
Vilasar de Dalt,比拉萨尔德达尔特
Sant Ferriol,桑特费里奥尔
Alíns,阿林斯
San Andrés de Llavaneras,桑坦德雷乌德利亚瓦内雷斯
Barrica,巴里卡
Vilabertran,比拉韦尔特兰
Sant Iscle de Vallalta,桑蒂斯克莱德瓦利亚尔塔
Vilasana,比拉-萨纳
Orrius,奥留斯
Cabrils,卡夫里尔斯
Esterri de Cardós,埃斯特里德卡尔多斯
Sort,索尔特
Vall de Cardós,巴利德卡尔多斯
Lladorre,利亚多雷
Tortellá,托尔特利亚
Vall de Vianya,拉瓦利德维亚尼亚
euskera,巴斯克語
Rialb,里亚尔普
Soriguera,索里格拉
Santa Pau,圣保
Bajo Pallars,拜斯帕利亚尔斯
Real Club Deportivo Espanyol de Barcelona,皇家西班牙人體育俱樂部
Getafe,赫塔费
Moclinejo,莫克利内霍
Granada,格拉纳达
Espot,埃斯波特
Torrox,托罗斯
Llavorsí,利亚沃尔西
San Jaime de Llierca,桑特豪梅德列尔卡
Alto Aneu,阿尔塔内乌
San Feliu de Pallarols,圣费利乌-德帕利亚罗尔斯
Comunidad Valenciana,巴倫西亞自治區
euro,歐元
Soria,索里亚
Nerja,内尔哈
Tirvia,蒂尔维亚
Montilla,蒙蒂利亚
Farrera,法雷拉
San Juan les Fonts,桑特霍安莱斯丰特斯
Vigo,維戈
Riudarenas,留达雷内斯
Camós,卡莫斯
Cataluña,加泰羅尼亞
Alcaucín,阿尔考辛
Caldas de Malavella,卡尔德斯德马拉韦利亚
Riells i Viabrea,列利西维亚夫雷亚
Granada Club de Fútbol,格拉纳达足球俱乐部
Valencia,瓦倫西亞
San Vicente de Montalt,桑特维森斯斯德蒙塔尔特
Arenys de Munt,阿雷尼斯德蒙特
Fogás de Tordera,福加尔斯德拉塞尔瓦
La Línea de la Concepción,拉利内亚德拉孔塞普西翁
Canet d'Adri,卡内特达德里
Barbate,巴尔瓦特
Ronda,龙达
La Rioja,拉里奥哈
Bordils,博尔迪尔斯
Camplloch,坎普利翁格
Fornells de la Selva,福尔内利斯德拉塞尔瓦
Mallorca,馬略卡島
San Gregorio,桑特格雷戈里
San Andrés Salou,桑坦德雷乌萨洛
Palma de Mallorca,帕尔马
Cerviá de Ter,塞尔维亚德特尔
Flaçà,夫拉斯萨
Vilamacolum,比拉马科卢姆
Vilamalla,比拉马利亚
El Pont de Suert,埃尔蓬特德苏埃尔特
Vall de Bas,拉瓦利登瓦斯
Bajo Ampurdán,下安普拉丹
Cañete la Real,卡涅特拉雷亚尔
Ponferrada,蓬费拉达
Almazán,艾爾瑪善鎮
Segarra,塞加拉
Solsonés,索尔索纳县
Huércal de Almería,韦尔卡尔德亚尔梅里亚
Burguete,布尔格特
Levante UD,萊萬特足球俱樂部
Viladamat,比拉达马特
Vilafant,比拉凡特
Castilla-La Mancha,卡斯蒂利亚-拉曼恰
Campdevánol,坎普德瓦诺尔
gallego,加利西亞語
Cabrera de Mar,卡夫雷拉德马尔
Castilla y León,卡斯蒂利亚-莱昂
Valle de Bohí,拉瓦利德沃伊
Vilaller,比拉列尔
Cassá de la Selva,卡萨德拉塞尔瓦
Celrá,塞尔拉
Comunidad de Madrid,马德里自治区
Urgel,乌赫尔
Vilanant,比拉南特
Vilahur,比劳尔
Segriá,塞格里亚
Club Deportivo Numancia de Soria,努曼西亞足球俱樂部
Vilajuïga,比拉惠加
península ibérica,伊比利亚半岛
Gran Premio de España,西班牙大奖赛
Real Madrid Castilla Club de Fútbol,皇家马德里卡斯蒂利亚足球俱乐部
Murcia,穆尔西亚
Región de Murcia,穆尔西亚自治区
Málaga Club de Fútbol,馬拉加足球俱樂部
Islas Baleares,巴利阿里群島
Real Club Deportivo Mallorca,皇家馬略卡
Málaga,马拉加
San Jordi Desvalls,桑特霍尔迪德斯瓦利斯
San Martín de Liémana,桑特马尔蒂德列梅纳
San Julián de Ramis,桑特胡利亚德拉米斯
Juyá,惠阿
Llagostera,利亚戈斯特拉
Racing de Santander,桑坦德竞技
Aiguaviva,艾瓜维瓦
Bescanó,贝斯卡诺
San Juan de Mollet,桑特霍安德莫列特
Quart,夸尔特
Salt,萨尔特
Bagur,贝古尔
Tortosa,托尔托萨
Llambillas,良维列斯
Madremaña,马德雷马尼亚
Vilamaniscle,比拉马尼斯克莱
Sociedad Deportiva Ponferradina,蓬费拉迪纳足球俱乐部
Huelva,韦尔瓦
Bellcaire,贝利凯雷登波尔达
Sabadell,萨瓦德尔
Viladasens,比拉达森斯
Sarriá de Ter,萨里亚德特尔
Gombreny,贡夫伦
Real Murcia Club de Fútbol,皇家穆爾西亞足球俱樂部
Santander,桑坦德
Campellas,坎佩列斯
Zaragoza,萨拉戈萨
Corsá,科尔斯萨
Las Llosas,莱斯略塞斯
Real Sporting de Gijón,希洪體育
Selva,塞尔瓦县
Osona,奥索纳
Club Atlético Osasuna,奥萨苏纳竞技俱乐部
"Castillo de Aro, Playa de Aro y S'Agaró",卡斯特利-普拉特哈达罗
Guipúzcoa,吉普斯夸省
provincia de Santander,桑坦德省 (西班牙)
Extremadura,埃斯特雷马杜拉
Vilablareix,比拉夫拉雷斯
San Martivell,桑特马尔蒂韦利
provincia de Pontevedra,蓬特韋德拉省
Real Club Recreativo de Huelva,皇家韋爾瓦娛樂俱樂部
Gijón,希洪
provincia de Huelva,韋爾瓦省
San Sebastián,圣塞瓦斯蒂安
Sevilla Fútbol Club,塞維利亞足球俱樂部
provincia de Jaén,哈恩省
Valencia Club de Fútbol,巴伦西亚足球俱乐部
Real Sociedad de Fútbol,皇家社會
"Cruilles, Monells y San Sadurní",克鲁伊列斯莫内利西桑特萨杜尔尼德尔埃乌拉
Albons,阿尔翁斯
Foixá,福伊克萨
Vallecas,巴列卡斯
Rayo Vallecano,巴列卡诺闪电
Las Palmas,拉斯帕爾馬斯省
Real Zaragoza,皇家薩拉戈薩
Colomés,科洛梅尔斯
Jafre,哈夫雷
Cañaveruelas,卡尼亚韦鲁埃拉斯
Villarcayo de Merindad de Castilla la Vieja,比利亚尔凯奥德梅林达德卡斯蒂利亚拉维耶哈
provincia de Málaga,馬拉加省
Andalucía,安達盧西亞
provincia de Orense,奥伦塞省
provincia de Lugo,卢戈省
Calonge i Sant Antoni,卡隆赫
La Bisbal del Ampurdán,拉比斯瓦尔-德尔安普尔丹
Córdoba,科爾多瓦
Burgos,布尔戈斯
Villarreal,比利亞雷亞爾
Gualta,瓜尔塔
Garrigolas,加里戈莱斯
Molló,莫略
Ogassa,奥加萨
Canarias,加那利群岛
Centre d'Esports Sabadell Futbol Club,萨瓦德尔足球俱乐部
Llanás,利亚纳尔斯
Unión Deportiva Almería,阿爾梅里亞足球俱樂部
Estadio Olímpico de La Cartuja,塞維利亞奧林匹克體育場
Palamós,帕拉莫斯
Palau-sator,帕劳-萨托尔
C-32,C-32公路
provincia de Sevilla,塞維利亞省
Aldaya,阿尔代阿
Tour de Francia 1967,1967年環法自由車賽
Toledo,托萊多
aranés,阿蘭尼語
Pamplona,潘普洛納
Regencós,雷亨科斯
Rupiá,鲁皮亚
Palafrugell,帕拉夫鲁赫利
Melilla,梅利利亚
Guadalaviar,瓜达拉维亚尔
Navas de Riofrío,纳瓦斯德里奥夫里奥
Real Valladolid Club de Fútbol,皇家巴利亞多利德足球俱樂部
Massanet de Cabrenys,马萨内特-德卡夫雷尼斯
Agullana,阿古利亚纳
Jaraíz de la Vera,哈赖斯德拉韦拉
sefardíes,塞法迪犹太人
La Pera,拉佩拉
provincia de Tarragona,塔拉戈纳省
Pardinas,帕尔迪内斯
Pals,帕尔斯
Parlabá,帕尔拉瓦
Benifato,贝尼法托
Acedera,阿塞德拉
Orense,欧伦塞
comunidad autónoma,西班牙自治區
Segunda División de España 1968/69,1968年至1969年西班牙足球乙级联赛
Caja Mágica,魔術盒球場
Agrupación Deportiva Alcorcón SAD,阿尔科尔孔足球俱乐部
Almería,阿尔梅里亚
Puente la Reina,蓬特拉雷纳
Rally Dakar de 2005,2005年達喀爾拉力賽
ruta europea E90,欧洲E90公路
Primera División de España 1985/86,1985年至1986年西班牙足球甲级联赛
Áger,阿赫尔
Gorafe,戈拉费
Montrás,蒙特-拉斯
Real Burgos Club de Fútbol,皇家布爾戈斯足球俱樂部
Forallac,福拉利亚克
Fontanillas,丰塔尼列斯
Campaspero,坎帕斯佩罗
Elche Club de Fútbol,埃尔切足球俱乐部
Santa Cristina de Aro,圣克里斯蒂娜-达罗
Miguel Esteban,米格莱斯特万
Batalla de Santa Cruz de Tenerife,聖克魯斯-德特內里費戰役 (1797年)
Sant Feliu de Guíxols,圣费利乌-德吉绍尔斯
Fútbol Club Barcelona Atlètic,巴塞隆拿B隊
Córdoba Club de Fútbol,科尔多瓦足球俱乐部
Alcorcón,阿尔科尔孔
provincia de Santa Cruz de Tenerife,聖克魯斯-德特內里費省
Movistar,移动之星车队
Godelleta,戈德列塔
Occitania,奥克西塔尼亚
Guerra civil española,西班牙内战
San Lorenzo de El Escorial,圣洛伦索-德埃尔埃斯科里亚尔
Alovera,阿洛韦拉
Calzada de Valdunciel,卡尔萨达德瓦尔敦希耶尔
Ceuta,休达
Isla de los Faisanes,雉島
Pino del Oro,皮诺德洛罗
Verges,贝尔赫斯
Vall-llobrega,巴利-略夫雷加
Gerindote,赫林多特
Miajadas,米亚哈达斯
Masanasa,马萨纳萨
Diócesis de Cartagena,天主教卡塔赫納教區
La Febró,拉费夫罗
Porcuna,波尔库纳
Torroella de Montgrí,托罗埃利亚德蒙特格里
Vilopriu,比洛普留
Sedaví,塞达维
Bañolas,巴尼奥莱斯
Vilademuls,比拉德穆尔斯
Morell,埃尔莫雷利
Isaba,伊萨瓦
Torrent,托伦特
Paiporta,派波尔塔
Serra de Daró,塞拉德达罗
La Tallada,拉塔利亚达登波尔达
Ullà,乌利亚
El Viso de San Juan,埃尔维索德圣胡安
Flix,弗利斯
Valdemorillo,巴尔德莫里略
Silla,西利亚
Ultramort,乌尔特拉莫尔特
Ullastret,乌利亚斯特雷特
Pego,佩戈
Albañá,阿尔瓦尼亚
Lugo,卢戈
Arbeca,阿尔韦卡
Tubilla del Lago,图维利亚德利亚戈
Villafranca de Córdoba,科尔多瓦自由镇
.cat,.cat
Club de Fútbol Fuenlabrada,丰拉夫拉达足球俱乐部
Abaurrea Baja,下阿沃雷阿
Segunda División de España 1966/67,1966年至1967年西班牙足球乙级联赛
La Barceloneta,巴塞罗内塔
Liérganes,列尔加内斯
La Gomera,戈梅拉岛
Carataunas,卡拉陶纳斯
Seriñá,塞里尼亚
San Felíu de Buxalleu,圣费利乌-德布沙列乌
Porqueras,波尔克雷斯
Fontcuberta,丰特科韦尔塔
incidente de Palomares,1966年B-52同溫層堡壘轟炸機空難
derechos digitales,數位權利
carretera europea,欧洲高速公路
Ebro,埃布羅河
Elche,埃爾切
Ugíjar,乌希哈尔
Estatuto Real de 1834,1834年西班牙皇家法規
Tour de Francia 1996,1996年環法自由車賽
Carcedo de Burgos,卡尔塞多德武尔戈斯
Susqueda,苏斯克达
Picasent,皮卡森特
San Pedro Palmiches,圣佩德罗帕尔米切斯
Bandera de la Región de Murcia,莫夕亞旗幟
Pancrudo,潘克鲁多
Sant Julià del Llor i Bonmatí,桑特胡利亚德利洛里翁马蒂
La Sellera de Ter,拉塞列拉德特尔
San Miguel de Campmajor,桑特米克尔德坎普马霍尔
Cornellá del Terri,科尔内利亚德尔特里
La Garrocha,拉加罗查
Borrassà,博拉萨
Cabanellas,卡瓦内列斯
Cabanas,卡瓦内斯
Massanet de la Selva,马斯萨内特德拉塞尔瓦
Riudellots de la Selva,留德略特斯德拉塞尔瓦
San Clemente Sasebas,桑特克利门特塞斯塞韦斯
Ripollés,里波列斯
Vilaboa,比拉沃阿
Macaronesia,馬卡羅尼西亞
Esponellà,埃斯波内利亚
Aviñonet de Puig Ventós,阿维尼奥内特德普伊格文托斯
Báscara,巴斯卡拉
Palol de Revardit,帕洛尔德雷瓦尔迪特
Crespiá,克雷斯皮亚
Pajarón,帕哈龙
Fuente de Santa Cruz,丰特德圣克鲁斯
Cúllar Vega,库利亚尔维加
Durón,杜龙
Autovía de la Meseta Sur,南部地区高速公路（西班牙）
Campeonato Mundial de fútbol sala de la FIFA 1996,1996年世界室內五人足球錦標賽
Zamora Club de Fútbol,萨莫拉足球俱乐部
La Vajol,拉巴霍尔
Valverde de Mérida,巴尔韦尔德德梅里达
Villar del Olmo,奥尔莫村
Laspaúles,拉斯保莱斯
Recopa de Europa 1979-80,1979–80年歐洲盃賽冠軍盃
Vallés,巴列斯
San Hilario Sacalm,桑特伊拉里萨卡尔姆
Desojo,德索霍
Anexo:Temporada 2012-13 del Fútbol Club Barcelona,巴塞罗那足球俱乐部2012–13赛季
Massanas,马萨内斯
Breda,布雷达
Salas de los Infantes,萨拉斯德洛辛凡特斯
Cañada de Benatanduz,卡尼亚达德韦纳坦杜斯
La Escala,拉埃斯卡拉
Almenara de Adaja,阿尔梅纳拉德亚达哈
Gata de Gorgos,加塔德戈尔戈斯
La Armentera,拉尔门特拉
Faraján,法拉汉
Castellanos de Zapardiel,卡斯特利亚诺斯德萨帕尔迭尔
Cistella,西斯特利亚
Colera,科莱拉
San Martín de Boniches,圣马尔廷德沃尼切斯
Vilobí d'Onyar,比洛维多尼亚尔
Chirivella,克西里韦利亚
Institut Barcelona d'Estudis Internacionals,巴塞罗那国际研究学院
Hostalric,奥斯塔尔里克
Vidreras,比德雷雷斯
Cadaqués,卡达克斯
Castellón de Ampurias,安普里亚斯堡
Pedro Martínez,佩德罗马尔蒂内斯
Polopos,波洛波斯
Espinelvas,埃斯皮内尔韦斯
Folgarolas,福尔格罗莱斯
Tenis en los Juegos Olímpicos de Barcelona 1992,1992年夏季奥林匹克运动会网球比赛
Mesa de los Tres Reyes,特雷斯雷斯山脈
Gran Premio de Cataluña de Motociclismo de 2009,加泰隆尼亞
Prullans,普鲁良斯
Montellá Martinet,蒙特利艾马尔蒂内特
Prats y Sampsor,普拉特西桑索尔
Pedrera,松塞尔韦拉
Avellanosa de Muñó,阿韦利亚诺萨德穆尼奥
Viure,比乌雷
Boadella,博阿德利亚登波尔达
Calldetenes,卡利德特内斯
Brull,埃尔夫鲁利
Poboleda,波沃莱达
Llivia,利维亚
Navantia,納凡蒂亞
Santa Cruz de Moya,圣克鲁斯德莫亚
Santa María de los Llanos,圣马里亚德洛斯利亚诺斯
Alp,阿尔普
Bellver de Cerdaña,贝利韦尔德塞尔达尼亚
Segunda División de España 1942/43,1942年至1943年西班牙足球乙级联赛
Segunda División de España 1934/35,1934年至1935年西班牙足球乙级联赛
Nalech,纳莱克
Puigcerdá,普奇塞达
Centelles,森特列斯
Dumbría,敦布里亚
Almaluez,阿尔马卢埃斯
Catoria,卡托伊拉
Unión Ibérica,伊比利亞聯盟
Valdesotos,巴尔德索托斯
Negredo,内格雷多
cementerio de Montjuic,蒙特惠奇公墓
Cijuela,锡胡埃拉
Parque natural del Cabo de Gata-Níjar,伊斯勒塔德摩羅
Autovía del Mediterráneo,地中海高速公路（西班牙）
Golfo de Cádiz,加的斯湾
Parque Nacional de Cabañeros,加貝內羅斯國家公園
elecciones al Parlamento de Cataluña de 2012,2012年加泰隆尼亞議會選舉
Universidad de La Rioja,拉里奥哈大学
Utiel,乌铁尔
Tram,巴塞隆拿電車
Muruzábal,穆鲁萨瓦尔
Sierra de Tramontana,特拉蒙塔納山脈
Blesa,布莱萨
Estadio Nuevo Arcángel,新阿坎赫尔球场
transporte en España,西班牙交通
Cofrentes,科夫伦特斯
La Peza,拉佩萨
Fuentes de Carbajal,丰特斯德卡尔瓦哈尔
Anexo:Reyes visigodos,西哥特国王列表
Fontanals de Cerdaña,丰塔纳尔斯德塞尔达尼亚
Bolvir,博尔维尔
Das,达斯
Villanueva de Ávila,阿维拉新镇
Begíjar,贝希哈尔
Pérez,佩雷斯
Universidad de Valencia,華倫西亞大學
Club Deportivo Raqui San Isidro,聖伊斯達路體育會
Basílica de San Isidoro de León,聖伊西卓大教堂
Pinos Puente,皮诺斯蓬特
Mues,穆埃斯
Portugalete,波图加莱特
Tórtola de Henares,托尔托拉德埃纳雷斯
Petra,佩特拉
Orís,奥里斯
Olost,奥洛斯特
Alicún de Ortega,阿利昆德奥尔特加
Guils de Cerdaña,吉尔斯-德塞尔达尼亚
Lles,列斯
Isóbol,伊索沃尔
Confederación Nacional del Trabajo,全國勞工聯盟
Diócesis de Teruel y Albarracín,天主教特魯埃爾暨阿爾瓦拉辛教區
Fuente de la Hispanidad,西班牙噴泉
Muntanyola,蒙塔尼奥拉
Tour de Francia 1968,1968年環法自由車賽
Fútbol Club Barcelona,巴塞羅那手球隊
Copa de la Reina de Fútbol,西班牙女王盃
Novés,诺韦斯
Píñar,皮尼亚尔
Constantí,孔斯坦蒂
Tinajas,蒂纳哈斯
Tarazona de la Mancha,塔拉索纳德拉曼查
Santa Hermandad,聖兄弟會
Segunda División de España 1989/90,1989年至1990年西班牙足球乙级联赛
Polícar,波利卡尔
El Pinar,埃尔皮纳尔
Palomas,帕洛马斯
batalla de Valls,巴利斯戰役
Diócesis de Jaca,天主教哈卡教区
Pantoja,潘托哈
Ger,赫尔
Maranges,马兰赫斯
Ador,阿多尔
El triunfo de Baco,酒神巴庫斯
Euskotren Tranbia,巴斯克電車
Olocau,奥洛考
fuero,法律汇编
Al-Ándalus,安达卢斯
Velilla de Cinca,贝利利亚德辛卡
Acuerdo Tripartito de Madrid,馬德里協定
Miravete de la Sierra,米拉韦特德拉谢拉
Málaga del Fresno,马拉加德尔夫雷斯诺
Benirredrá,贝尼雷德拉
Cabra del Campo,卡夫拉德尔坎普
Escudo de Carlos I de España,查理五世的纹章
Corella,科雷利亚
Comarca de Tierra de Soneira,特拉德索内拉县
Estación de Pueblo Nuevo,新城站
Inter Fútbol Sala,國際FS
Beniatjar,贝尼亚特哈尔
Fomento de Construcciones y Contratas,西班牙營建集團
Unión de Centro Democrático,民主中間聯盟 (西班牙)
Candidatura de Unidad Popular,人民團結候選人
Benamaurel,贝纳毛雷尔
Cacín,卡辛
Perafita,佩拉菲塔
Oristá,奥里斯塔
Tejadillos,特哈迪略斯
Cruces del Mérito Aeronáutico,白色航空功绩大十字奖章
Cruces del Mérito Militar,军功十字勋章
Beas de Granada,贝亚斯德格拉纳达
Tébar,特瓦尔
Villalgordo del Júcar,比利亚尔戈尔多德尔胡卡尔
Instituto Nacional de Industria,西班牙國家工業機構
Islas Chafarinas,舍法林群岛
Montesquiu,蒙特斯基乌
Las Masías de Voltregá,莱斯马谢斯德沃尔特雷加
Atarfe,阿塔尔费
Gurb,古尔布
Llusá,柳斯萨
Rubielos de la Cérida,鲁维耶洛斯德拉塞里达
Campeonato de España de Ciclismo en Ruta,西班牙国家公路自行车锦标赛
Almegíjar,阿尔梅希哈尔
Urús,乌鲁斯
Riu,留德塞尔达尼亚
Bubión,布维翁
Bérchules,贝尔丘莱斯
Rupit y Pruït,鲁皮蒂普鲁伊特
San Agustín de Llusanés,桑塔古斯蒂德柳斯桑埃斯
Forcarey,福尔卡雷
hornazo,小肉饼
Manzanal del Barco,曼萨纳尔德尔瓦尔科
Masías de Roda,莱斯马谢斯德罗达
Manlleu,曼列乌
Armilla,阿米利亚
Arenas del Rey,阿雷纳斯德尔雷伊
Busquístar,布斯基斯塔尔
Cádiar,卡迪亚尔
Collsuspina,科利苏斯皮纳
Burriana,布里亚纳
vascos,巴斯克人
Balenyá,巴莱尼亚
Alpens,阿尔彭斯
Villaharta,比利亚阿尔塔
Barrio de La Ribera,里贝拉
Tour de Francia 1973,1973年環法自由車賽
búlgaros,保加利亞人
Puerto Lumbreras,普埃尔托伦夫雷拉斯
Mañón,马尼翁
Autovía Ponferrada-Orense,庞费拉达-奥伦塞高速公路（西班牙）
Comarca de El Morrazo,莫拉佐县
Moreruela de Tábara,莫雷鲁埃拉德塔瓦拉
Baliarrain,巴利亚赖恩
Alcudia,阿尔库迪亚
Fútbol Club Cartagena,卡塔赫纳足球俱乐部
Quinto Regimiento,第五軍團
Fuentes de Andalucía,丰特斯德亚恩达卢西亚
Alquife,阿尔基费
Cuevas del monte Castillo,蒙特·卡斯蒂略洞穴
Batalla de Cádiz,加的斯之戰 (1702年)
Segunda División de España 1964/65,1964年至1965年西班牙足球乙级联赛
Chimillas,奇米利亚斯
Carbajo,卡尔瓦霍
Arraya de Oca,阿赖阿德奥卡
San Martín de Centellas,桑特马尔蒂德森特列斯
San Pedro de Torelló,桑特佩雷德托雷略
Rollán,罗良
Garachico,加拉奇科
Garcibuey,加尔西武埃
Gatica,加蒂卡
El Manzano,埃尔曼萨诺
Roda de Ter,罗达德特尔
Villafranca de los Barros,巴罗斯自由镇
Esguevillas de Esgueva,埃斯格维利亚斯德埃斯格瓦
La Peraleja,拉佩拉莱哈
Batzarre,大会
Valencia de Don Juan,巴伦西亚德东胡安
Malla,马拉
