Kazimierz III Wielki,卡齐米日三世
Alfred Urbański,阿尔弗雷德·乌尔班斯基
Aleksander Zawisza,阿列克桑德·扎维萨
Wojciech Korfanty,沃伊切赫·科尔凡蒂
Adam Korol,亚当·科罗尔
Edward Strasburger,爱德华·斯特拉斯堡
Robert Felisiak,罗伯特·费利西亚克
Rob Van Dam,羅伯·凡·達姆
Adolf Chybiński,阿道夫·奇賓斯基
Mariusz Jop,馬柳斯·約普
Adam Harasiewicz,亚当·哈拉谢维奇
Adam Holender,亞當·霍蘭德
Adam Kszczot,亚当·克斯泽特
Roman Polański,羅曼·波蘭斯基
Bolesław IV Kędzierzawy,波列斯瓦夫四世
Małgorzata Bela,瑪高莎·貝拉
Michał Jeliński,米哈乌·耶林斯基
Andrzej Majewski,安德烈·马耶夫斯基
Artur Siódmiak,阿图尔·休德米亚克
Bolesław II Szczodry,波列斯瓦夫二世
Bolesław V Wstydliwy,波列斯拉夫五世
Jan I Olbracht,约翰一世
Krzysztof Piesiewicz,克里斯多夫·皮耶斯沃茲
Charles Kowal,查爾斯·科瓦爾
Adam Kokoszka,亞當·科科斯卡
Joachim Brudziński,约阿希姆·布鲁津斯基
Waldemar Andzel,沃德馬爾·安佐
Benedykt Dybowski,本内迪科特·迪波夫斯基
Jerzy Kawalerowicz,傑茲·卡汶勒洛維茲
Jerzy Adamski,耶日·亚当斯基
Tadeusz Tomaszewski,塔德乌什·托马谢夫斯基
Wojciech Smarzowski,沃伊切赫·斯馬喬夫斯基
Jacek Kaczmarski,雅塞克·卡茲馬爾斯基
Ryszard Kasyna,利則·卡瑟納
Zbyszko Cyganiewicz,斯坦尼斯勞斯·茲比史可
Hubert Skrzypczak,胡贝特·斯克日普恰克
Menachem Begin,梅纳赫姆·贝京
Marek Saganowski,馬雷克·薩加諾斯基
Łukasz Simlat,卢卡什·希姆拉特
Józef Chasyd,约瑟夫·哈西德
Michael Schudrich,迈克尔·舒德里奇
Alfred Wierusz-Kowalski,阿尔弗雷德·科瓦尔斯基
Janusz Kamiński,亞努斯·卡明斯基
Mieczysław Rakowski,米奇斯瓦夫·拉科夫斯基
Ernest Wilimowski,恩斯特·威利莫夫斯基
Adam Stefan Sapieha,亚当·德範·萨皮阿
Kazimierz I Odnowiciel,卡齊米日一世
Teodor Leszetycki,提奥多·莱谢蒂茨基
Grzegorz Schetyna,格热戈日·谢蒂纳
Henryk Tomaszewski,亨里克·托马谢夫斯基
Adam Rapacki,阿达姆·拉帕茨基
Adam Przeworski,亚当·普沃斯基
Seweryn Gancarczyk,塞维琳·甘卡奇克
Wojciech Marczewski,沃依切赫·馬爾切夫斯基
Paweł Golański,帕貝爾·戈蘭斯基
Krzysztof Ławrynowicz,克西斯托夫·拉弗里諾維奇
Robert Acquafresca,罗伯特·阿夸弗雷斯卡
Marek Grechuta,马雷克·格雷彻塔
Adam Musiałek,亞當·穆夏韋克
Łukasz Podolski,卢卡斯·波多尔斯基
Adam Nawałka,亚当·纳瓦尔卡
Adam Odzimek,亞當·奧齊梅克
Leopold Okulicki,列奥波德·奥库利斯基
Paul Zielinski,保罗·齐林斯基
Adam Schaff,亚当·沙夫
Jerzy Topolski,J. 托波尔斯基
Julian Tuwim,尤利安·图维姆
Jerzy Wenderlich,萬德利赫
Stanisław Wielgus,斯坦尼斯瓦夫·維爾古斯
Etgar Keret,埃特加·凱雷特
Mirosław Hermaszewski,米羅斯瓦夫·赫爾曼謝夫斯基
Jan Gottlieb Bloch,扬·戈特利布·布洛赫
Zygmunt Anczok,齐格蒙特·安乔克
Krzysztof Nowak,克日什托夫·诺瓦克
Brunon Bendig,布鲁农·本迪格
Bernard świdnicki,希維德尼察的伯納德
Adam Robak,亚当·罗巴克
Adam Sandurski,亚当·桑杜尔斯基
Adam Łopatka,亚当·洛帕特卡
Małgorzata Kożuchowska,马乌戈热塔·科茹霍夫斯卡
Arkadiusz Milik,阿卡迪烏什·米利克
Dariusz Ławrynowicz,達居斯·拉維瑞諾維克
Piotr Anderszewski,皮奥特·安德谢维斯基
Bohdan Paczyński,玻丹·帕琴斯基
Antoni Aleksander Iliński,安东尼·亚历山大·伊林斯基
Michał Heller,米哈乌·赫勒
Juliusz Kleiner,尤利乌什·克莱纳
Jan Domarski,揚·多马尔斯基
Kazimierz Stabrowski,卡齐梅尔兹·斯塔布罗夫斯基
Adam Zagajewski,亚当·扎加耶夫斯基
Adam Wiercioch,亚当·维尔乔赫
Maciej Nowicki,馬修·諾維奇
Jerzy Konorski,杰泽·科诺尔斯基
Julian Grobelny,尤利安·格罗贝尔尼
David Seymour,大衛·西蒙
Brodka,莫妮卡·布罗德卡
Władysław Sheybal,弗拉達克·歇博
Józef Glemp,約瑟夫·格萊姆普
Stanisław Ossowski,斯坦尼斯拉夫·奥索夫斯基
Stanisław ze Szczepanowa,聖斯坦尼斯勞斯
Adolf Schulz-Evler,阿道夫·舒尔茨-埃夫勒
Adam Szal,亞當·沙爾
Henryk VIII legnicki,亨里克八世 (萊格尼察)
Éric Srecki,埃里克·斯雷基
Arnold Walfisz,阿諾德·華菲斯
Alain Finkielkraut,阿兰·芬基尔克罗
Bronisław Chromy,布羅尼斯瓦夫·高美
Władysław Bartoszewski,瓦迪斯瓦夫·巴托舍夫斯基
Henryk Iwaniec,伊萬列斯
Edward Kłosiński,爱德华·克罗西斯基
Rudolf Modrzejewski,拉爾夫·莫傑斯基
Jack Tramiel,傑克·特拉米爾
Bolesław Prus,博萊斯瓦夫·普魯斯
Krzysztof Kowalewski,克日什托夫·科瓦莱夫斯基
Krystian Zimerman,克里斯蒂安·齐默尔曼
Maria Andegaweńska,瑪麗
Robert Lewandowski,罗伯特·莱万多夫斯基
Borys Sawinkow,鮑里斯·薩文柯夫
Jakub Błaszczykowski,雅库布·布瓦什奇科夫斯基
Jan Kazimierz Wilk,若望·加西彌祿·維爾克
Michał Żyro,米切爾·佐羅
Mariusz Fyrstenberg,馬利尤斯·費騰柏格
Irena Sendlerowa,伊雷娜·森德勒
Krzysztof Penderecki,克里斯托弗·潘德列茨基
Łukasz Szukała,盧卡什·蘇卡拉
Łukasz Piszczek,盧卡斯·皮什切克
Andrzej Szarmach,安德烈杰夫·萨马赫
Władysław Sikorski,瓦迪斯瓦夫·西科尔斯基
Szmul Zygielbojm,什穆尔·齐格耶博伊姆
Tadeusz Witold Szulc,泰德·舒爾克
Stanisław Gołąb,斯坦尼斯瓦夫·戈沃布
Stanisław Dziwisz,斯坦尼斯瓦夫·济维齐
Emmanuel Olisadebe,埃曼努埃尔·奥利萨德贝
Bolesław toszecki,托謝克的波列斯瓦夫
Ryszard Katus,理夏德·卡图斯
Radosław Majewski,拉多斯瓦夫·马耶夫斯基
Agnieszka Dygant,阿格涅斯卡·戴甘特
Jon Johansen,约恩·莱克·约翰森
Georges Charpak,乔治·夏帕克
Władysław Szpilman,瓦迪斯瓦夫·斯皮爾曼
Bronisław Geremek,布羅尼斯瓦夫·葛萊米克
Leonid Hurwicz,里奥尼德·赫维克兹
Sebastian Boenisch,塞巴斯蒂安·伯尼施
Jerzy Popiełuszko,耶日·波比耶乌什科
Witold Lutosławski,维托尔德·卢托斯瓦夫斯基
Xawery Dunikowski,K. 杜尼科夫斯基
Leszek Kołakowski,莱谢克·科拉科夫斯基
Rudolf Weigl,鲁道夫·魏格尔
Šarūnas Birutis,沙魯納斯·比魯提斯
Agenor Romuald Gołuchowski,阿格诺尔·戈乌霍夫斯基伯爵
Szewach Weiss,谢瓦·维斯
Henryk Dobrzański,亨利克·多布赞斯基
Stasys Šedbaras,斯塔西斯·賽德巴拉斯
Romain Gary,罗曼·加里
Daniel Libeskind,丹尼爾·里伯斯金
Serge Silberman,塞尔日·西尔伯曼
Szymon Askenazy,西蒙·阿什肯納茲
Tomasz Gruszczyński,格盧斯金斯基
Marek Edelman,马雷克·埃德尔曼
Bronisław Kaper,布羅尼斯洛·卡帕
Magdalena Abakanowicz,玛格达莱娜·阿巴卡诺维奇
Anton Grot,安东·哥伦
Israel Gutman,以色列·古特曼
Dan Dickau,丹·迪考
Robert Sycz,罗伯特·瑟奇
Władysław Kowalski,沃爾特·科瓦爾斯基
Ludomir Chronowski,卢多米尔·赫罗诺夫斯基
Jan Reszke,J. 德雷什克
Tomasz Tłuczyński,托马什·特武琴斯基
Thadée Cisowski,查德·西索瓦斯基
Adrian Zieliński,阿德里安·杰林斯基
Friedrich von Beust,腓特烈·斐迪南·馮·貝烏斯特
Sławomir Zawada,斯瓦沃米尔·扎瓦达
Jerzy Brzęczek,耶日·布爾澤切克
Cecylia Lubomirska,塞西莉亞·盧博米爾斯基
Józef Światło,约瑟夫·施维托
Łukasz Żygadło,盧卡斯·兹伊加德羅
Edward Kmiec,愛德華·基米克
Krzysztof Teodor Toeplitz,克日什托夫·特奥多尔·托普利茨
Agnieszka Wojtkowska,阿格涅什卡·维特科夫斯卡
Agata Buzek,阿加塔·布泽克
Savielly Tartakower,萨维利·塔塔科维
Mark Grudzielanek,马克·古兹拉尼克
Sebastián Setti,施巴斯坦·薛迪
Anna Biedrzycka-Sheppard,安娜·B·薛帕德
Piotr Świerczewski,彼得·斯维尔切夫斯基
Jan Purwiński,若望·普爾溫斯基
Marian Rejewski,马里安·雷耶夫斯基
Robert Kubica,罗伯特·库比查
Agata Wróbel,阿加塔·弗鲁贝尔
Agata Zubel,阿嘎塔・祖貝爾
Siemomysł,謝莫梅斯烏
Roman Ogaza,罗曼·奥加扎
Józef Czapski,约瑟夫·恰普斯基
Zbigniew Herbert,齊別根紐·赫伯特
Lukas Sinkiewicz,盧卡斯·辛基維奇
Zygmunt Bauman,齐格蒙特·鲍曼
Janusz Palikot,亚努什·帕利科特
Franciszek Gąsienica Groń,弗朗齐歇克·贡谢尼察·格龙
Tomasz Wójtowicz,托马什·武伊托维奇
Piotr Szulkin,皮奧特爾·舒爾金
Antoni Macierewicz,安东尼·马切列维奇
Stefan Niesiołowski,尼秀斯基
Agnieszka Grochowska,阿格涅什卡·格罗霍夫斯卡
Marcin Lewandowski,马尔钦·莱万多夫斯基
Marek Leśniewski,马雷克·莱希涅夫斯基
Sławomir Peszko,斯拉沃米爾·佩什科
Józef Kosacki,约瑟夫·科萨斯基
Feliks Konarski,費利克斯·科納爾斯基
Jerzy Pawłowski,耶日·帕沃夫斯基
Tadeusz Banachiewicz,塔德乌什·巴那齐耶维茨
Piotr Ćwielong,施維利隆
Kinga Ilgner,金娜·伊尔格纳
Antoni Dydycz,安多尼·帕齊菲克·德德奇
Andrzej Kobylański,安杰伊·科贝兰斯基
Kamil Syprzak,卡米尔·瑟普扎克
Kazimierz Kuratowski,卡齐米日·库拉托夫斯基
Marcin z Opawy,奥帕瓦的马丁
Tomasz Adamek,托马斯·阿达梅克
Henryk Arctowski,亨里克·阿尔茨托夫斯基
Icchok Lejb Perec,I.L. 佩雷茨
Tomasz Zahorski,托馬斯·扎霍斯基
Stanisław Jerzy Lec,斯坦尼斯瓦夫·耶日·莱茨
Adam Michnik,亚当·米奇尼克
Antoni Wit,安托尼·維特
Antoni Szymanowski,安東尼·西馬諾夫斯基
Zbigniew Cybulski,兹比格涅夫·齐布尔斯基
Stefan Wyszyński,斯特凡·維遜斯基
Władysław Anders,瓦迪斯瓦夫·安德爾斯
Jakub Rzeźniczak,雅庫布·澤斯尼查克
Gerard Cieślik,傑拉德·切希利克
Marek Kuchciński,马雷克·库赫钦斯基
Natasza Urbańska,娜塔莎·厄本斯卡
Zbigniew Gut,兹比格涅夫·古特
Antoni Słonimski,安东尼·斯沃尼姆斯基
Tadeusz Czeżowski,塔德烏什·採佐斯基
Oscar Lewicki,奧斯卡·萊維茨基
Zbigniew Bartman,茲比格紐·巴特曼
Anna Fotyga,安娜·福蒂加
Bernard Ormanowski,贝纳德·奥尔马诺夫斯基
Tomasz Motyka,托马什·莫蒂卡
Wojciech Kurtyka,沃伊切赫·庫特卡
Hilary Koprowski,希拉里·科普罗夫斯基
Józef Lipień,约瑟夫·利平
Dariusz Szubert,达留什·舒伯特
Henryk Średnicki,亨里克·斯柯尼斯基
Antoni Łomnicki,安东尼·沃姆尼斯基
Dariusz Dziekanowski,达里乌斯·杰卡诺夫斯基
Zbigniew Messner,兹比格涅夫·梅斯内尔
Paweł Edelman,帕维乌·埃德尔曼
Piotr Pustelnik,皮奥特·皮斯代尔尼克
Kayah,卡雅
Zawisza Czarny z Garbowa,黑紮維沙
Ryszard Podlas,理夏德·波德拉斯
Janusz Sidło,雅努什·西德沃
Andrzej Kubica,安德烈泽杰·库比茨
Andrzej Siemieniewski,安傑伊·西米涅夫斯基
Klementyna Hoffmanowa,克莱门汀霍夫曼
Carl Yastrzemski,卡尔·雅泽姆斯基
Piotr Stępień,彼得·斯滕平
Czesław Piątas,切斯瓦夫·皮昂塔斯
Jerome Edward Listecki,葉理諾·E·利斯泰茨基
Leszek Dunecki,莱谢克·杜内茨基
Zbigniew,茲比格涅夫
Zbigniew Bujarski,泽贝纽·巴盖尔斯基
Biernat z Lublina,盧布林·比耶納特
Ryszard Bugajski,理夏德·布加伊斯基
Jacek Kurski,雅切克·庫爾斯基
Włodzimierz Ciołek,沃奇米日·乔韦克
Israel Epstein,伊斯雷尔·爱泼斯坦
Franciszek Sikorski,弗朗西斯泽克·西科尔斯基
Moe Drabowsky,摩·德拉伯斯基
Jacob Leib Talmon,雅各布·托曼
Antonina Wyrzykowska,安东尼娜·维日科夫斯卡
Zbigniew Rybczyński,茲比格涅夫·雷布辛斯基
Wojciech Kowalczyk,沃伊切赫·科瓦尔奇克
Florian Znaniecki,弗洛里安·兹纳涅茨基
Leszek Drogosz,莱谢克·德罗戈什
Roman Bierła,罗曼·别尔瓦
Mateusz Kowalczyk,马特乌什·科瓦尔奇克
Robert Gonera,罗伯特·戈纳拉
Dorota Siudek,多洛塔·修德克
Stefan Themerson,斯特凡·西默松
Konrad Czerniak,康拉德·科澤尼亞克
Andrzej Buncol,安德烈·本措尔
Waldemar Baszanowski,瓦尔德马·巴沙诺夫斯基
Eugeniusz Baziak,恩仁·巴济亚克
Juliusz Paetz,儒略·帕埃特茲
Zdzisław Fortuniak,茲齊斯瓦夫·福爾圖尼亞克
Zenon Kliszko,泽农·克利什科
Zbigniew Pietrzykowski,兹比格涅夫·皮耶奇科夫斯基
Zbigniew Kiernikowski,茲比格涅夫·基爾尼科夫斯基
Ryszard Kubiak,理夏德·库比亚克
Zbigniew Kaczmarek,兹比格涅夫·卡奇马雷克
Zbigniew Jaremski,兹比格涅夫·雅雷姆斯基
Zbigniew Karkowski,兹比格涅夫·卡科夫斯基
Radosław Pazura,拉多斯瓦夫·帕祖拉
Zbigniew Religa,兹比格纽·雷利加
Zbigniew Preisner,泽贝纽·普莱斯纳
Maria Dembińska,玛丽亚·登宾斯卡
Igor Mitoraj,伊戈尔·米托拉伊
Stefan Rozental,斯特凡·罗森塔尔
Thiago Cionek,蒂亞戈·西奥内克
Natalia Krakowiak,娜塔莉亚·克拉科维亚克
Germán Efromovich,格尔曼·叶夫罗莫维奇
Arkadiusz Onyszko,阿尔卡迪乌什·奥内什科
Urszula Antoniak,厄休苏拉·安东尼娅克
Maria Kwaśniewska,玛丽亚·克瓦希涅夫斯卡
Elżbieta Radziszewska,饒吉謝芙絲卡
Sławomir Petelicki,斯沃沃米尔·佩特利奇基
Grzegorz Michalski,格熱戈日·米哈爾斯基
Wojciech Fortuna,沃伊切赫·福尔图纳
Henryk Tomaszewski,亨里克·托马谢夫斯基
Grzegorz Braun,格热哥兹·布劳恩
Zdzisław Beksiński,濟斯瓦夫·貝克辛斯基
Jerzy Bahr,耶日·巴哈爾
Jan Kaczmarek,珍·卡茲馬瑞克
Julian Stryjkowski,尤利安·斯特雷伊科夫斯基
Józef Cyrankiewicz,约瑟夫·西伦凯维兹
Szymon Ziółkowski,希蒙·久乌科夫斯基
Czesław Lang,切斯瓦夫·兰格
Hirsz Glik,希尔什·格里克
Michał Kwiatkowski,米切爾·克瓦特科夫斯基
Władysław Taczanowski,瓦迪斯拉夫·塔查諾斯基
Zdzisław Jachimecki,日奇斯瓦夫·亚齐梅斯基
Józef Kozłowski,约瑟夫·科兹洛夫斯基
Janusz Kierzkowski,雅努什·凯日科夫斯基
Aleksander Gierymski,亚历山大·吉列姆斯基
Antoni Zajkowski,安东尼·扎伊科夫斯基
Zdzisław Krzyszkowiak,兹齐斯瓦夫·克日什科维亚克
Marek Mendyk,瑪爾谷·門德克
Jean Graczyk,让·格拉奇克
Emerson Fittipaldi,埃默森·菲蒂帕尔迪
Robert Biedroń,羅伯特·比德羅恩
Zbigniew Stankiewicz,茲比格涅夫斯·斯坦克維奇斯
Kuba Wojewódzki,庫巴·沃赫沃祖基
Waldemar Sobota,瓦爾德馬·索博塔
Stanisław Skrowaczewski,斯坦尼斯瓦夫·斯克洛瓦切夫斯基
Janusz Kusociński,雅努什·库索辛斯基
Kazimierz Lipień,卡齐米日·利平
Paweł Mykietyn,帕維爾·麥基丁
Michał Kalecki,米哈爾·卡列斯基
Leon Pinsker,里昂·平斯克
Stanisława Walasiewicz,斯坦尼斯洛娃·瓦拉谢维奇
Gintautas Kėvišas,金陶塔斯·克維沙斯
Ludwik Gross,盧德維克·格羅斯
Kazimierz III płocki,卡齊米日三世
Wojciech Zabłocki,沃伊切赫·扎布沃茨基
Nitrous Oxide,笑气
Gintaras Steponavičius,金塔拉斯·史特波奈維希亞斯
Allan Starski,艾倫·斯達斯基
Kamila Augustyn,卡米拉·奥古斯丁
George Adamski,喬治·亞當斯基
Jacek Majchrowski,亚切克·马赫罗夫斯基
Wanda Jakubowska,万达·雅库博夫斯卡
Lucyna Langer-Kałek,卢奇娜·朗格尔
Jan Parandowski,扬·帕兰多夫斯基
Frank Piasecki,弗蘭克·皮亞塞基
Adam Fidusiewicz,亚当·菲杜西维奇
Mitch Kupchak,米奇·库普切克
Wacław płocki,普沃茨克的瓦茨拉夫
Piotr Beczała,彼得·贝科扎瓦
Anna Jagodzińska,安娜·雅高冼思嘉
Paweł Zagumny,帕维乌·扎古姆内
Robert Więckiewicz,罗伯特·维凯威兹
Natalia Gorbaniewska,娜塔莉亚·戈尔巴内夫斯卡娅
Mark Zborowski,马克·兹博罗夫斯基
Radosław Zawrotniak,拉多斯瓦夫·扎夫罗特尼亚克
Halina Górecka,哈利娜·戈雷卡
Henryk XI głogowski,亨里克十一世
Jarosława Jóźwiakowska,亚罗斯瓦娃·尤日维亚科夫斯卡
Beatrycze świdnicka,贝翠丝
Janina Fetlińska,雅尼纳·费特林斯卡
Karolina Wydra,卡洛琳娜·懷德拉
Ewa Wiśniewska,伊娃·维希涅夫斯卡
Timothée Kolodziejczak,高洛迪斯薩克
Stanisław Gądecki,斯丹尼斯勞斯·甘德茨基
Marek Kamiński,马雷克·卡明斯基
Andrzej Panufnik,安德热·帕努夫尼克
Piotr Małachowski,彼得·马拉卓斯基
James Pawelczyk,詹姆斯·A·帕瓦尔奇克
Grzegorz Zgliński,格雷格·兹格林斯基
Michał Matyas,麥克·馬提亞斯
