김정일,金正日
노광철,努光鉄
로배권,盧培権
로성실,ロ・ソンシル (朝鮮民主主義人民共和国の政治家)
류현식,柳玄植
리경식,李景植
리국준,李国俊
리기수,李基洙
리두균,李斗均
리만건,李万建
리명길,李明吉
리무영,李武栄
리봉덕,李奉徳
리봉죽,李鳳竹
리분희,李粉姫
리성권,李成権
리영길,李永吉
리용철,李庸澈
리용호,李容浩
연형묵,延亨黙
리근모,李根模
한설야,韓雪野
성혜림,成蕙琳
김용순,金容淳
리경숙,李京淑
정철민,鄭哲民
명래현,ミョン・レヒョン
한덕수 (1907년),韓徳銖
장웅 (스포츠인),張雄
장송만,ジャン・ソンマン
최광,崔光
김영준,金永峻
리준일,李勇俊
김정훈,金正勲
계응태,桂応泰
양성태,楊成太
석산,石山
허남기,許南麒
허종만,許宗萬
허석선,許錫宣
김세호,金世鎬
김중린,金仲麟
김광옥,金光玉
김승화,金承化
김창봉,金昌奉
김동규,金東奎
김동순,金東淳
김숙희,金淑姫
김영남,金英男
리명훈,李明勲
최용건,崔庸健
윤석열,金正哲
임춘추,林春秋
장병규,張炳奎
정명학,鄭明鶴
정수일,鄭守一
조병주,趙炳柱
허문영,ホ・ムンヨン
허봉학,許鳳学
최승철,チェ・スンチョル
조명애,チョ・ミョンエ
리지향,リ・ジヒャン
안명진,安明進
김국훈,金国薫
김동이,金東二
김동일 (조선민주주의인민공화국의 정치인),金東日 (政治家)
김명식 (정치인),金明植 (軍人)
김병호,金炳鎬
김병훈,金秉勲
김성덕,金成徳
김송철,金松哲
김약수,金若水
김영숙,金英淑
김용무,金用茂
김인식,金仁植
김창룡 (정치인),金滄龍
정복심,ジョン・ポクシム
강기섭,康技燮
강민철,姜民哲
강양모,姜陽貌
강형봉,姜亨奉
계영삼,桂永三
계응상,桂応祥
고명희,高明希
김광민,金広民
방철미,パン・チョルミ
차정혁,車正赫
최홍희,崔泓熙
문인국,文人国
안경호,安京浩
김일,金一
리종옥,李鐘玉
조만식,曺晩植
김현희,金賢姫
백석,白石
리춘히,リ・チュニ
김도만,金道満
차용명,車用明
조연준,超延俊
전하철,全河哲
김창섭,金昌燮
김히택,金熙澤
김혜성,キム・ヒソン (陸上選手)
김평해,金平海
윤공흠,尹公欽
윤명찬,尹明燦
최은순,崔恩順
최승철,崔承哲
서휘,徐輝
박용국,朴容国
박태원,朴泰遠
박의완,朴義琓
리선실,李善実
리두익,李斗益
이창수,李昌寿
리청경,李清敬
류명옥,柳明玉
강량욱,康良煜
한필화,韓弼花
리성희,リ・ソンヒ
김일철,金鎰喆
배길수,ペ・ギルス
최철수,崔鉄洙
백세봉,白世鳳
장금철,チャン・グムチョル
리승호,李承鎬 (政治家)
고창일,高昌一
북한인,北朝鮮人
김선영,金鮮英
강철구 (정치인),姜哲九
김철수 (조선민주주의인민공화국의 정치인),金哲洙 (政治家)
렴철수,廉哲粹
리강선,李降仙
리철진,李哲進
양승호,楊勝虎
오춘복,呉春福
윤강호,尹江浩
장기호,張基浩
조석호 (정치인),チョ・ソクホ
이학구,李学九
이현상,李鉉相
인정식,印貞植
장명학,張明学
장정주,張丁宙
장철 (1955년),張徹 (政治家)
전경선,全京鮮
전광록,田光緑
전창복,全昌復
정몽필 (조선민주주의인민공화국의 정치인),鄭夢必
정봉근,鄭峰根
정운학,鄭雲学
정인택,鄭人沢
정준택,鄭準澤
조경철,趙慶喆
조기천,趙基天
김창애,金昌愛
김철,金哲
김광숙,キム・ガンスク
김현희,キム・ホンヒ
김혁봉,金赫峰
김정,金仲
림해,林海
박종근,朴鍾根
박창범,朴昌範
박태덕,朴泰徳
박태원 (정치인),朴泰遠
방용욱,方用旭
방학세,方学世
백계룡,白桂龍
백룡천,白龍天
성자립,成自立
손청남,孫清男
송광철,宋光鉄
신석구,申錫九
신승훈 (정치인),申勝訓
안길,安吉
안동춘,安東春
안막,安漠
안정수,安正秀
이기영,李箕永
김광수,金光洙
박용석,朴容錫
한익수,韓益洙
리룡하,李龍河
장성길,張成吉
김달현,金達玄
김광진,金光鎮
류경,柳京
정일룡,鄭一龍
전재선,全在善
김룡연,金竜淵
최용진,崔勇進
강철환,姜哲煥
강성산,姜成山
홍창수,徳山昌守
무정,武亭
리영호,李英浩
조성환 (정치인),趙誠煥
조소앙,趙素昻
조영철,趙永哲
조재영 (정치인),趙才英
지재룡,池在龍
차경일,車慶一
차승수,車承洙
최관준,崔冠峻
최권수,チェ・グォンス
최기룡,崔基龍
최대일,崔大日
최배진,崔培進
최봉호,崔奉湖
최영덕 (조선민주주의인민공화국의 정치인),崔英徳
최영도 (정치인),崔永道
최찬건,崔燦健
최창식 (1940년),崔昌植 (政治家)
최춘식,崔春植
최현 (정치인),崔賢
표무원,表武源
한동근 (조선민주주의인민공화국의 정치인),韓東根
한창순,韓蒼純
한흥표,韓興杓
허광욱,許光旭
허성길,許成吉
현상주,玄相主
홍광순,洪光淳
황순희,黄順姫
황윤호,黄潤鎬
황학원,黄鶴元
장정남,張正男
김성혜,金聖恵
김봉룡,金鳳龍
홍명기,ホン・ミョンギ
고병현,高兵現
고수일,高秀一
홍서헌,洪瑞憲
태형철,太炯哲
김창수,金昌壽
김천호,金践豪
홍승무,洪承武
김충걸,金忠傑
김형룡,金炯龍
리용환,李勇煥
리룡남,李龍男
홍선옥,洪仙玉
강하국,姜河国
전용남,全勇男
전길수,全吉寿
강종관,姜宗官
최광진,崔光鎮
최종건,崔宗建
최상건,崔相建
강련학,康蓮鶴
장승길,張承吉
문명학,文明学
박정천,朴正天
박태성,朴泰成
리일환,李日煥
허철만,許哲万
리영숙,李英淑
신영철,申英哲
박창호,朴昌虎
김철삼,金賛三
김경진,金慶真
허담,許錟
홍석형,洪錫亨
김기남,金己男
남일,南日
주영식,朱永植
지동식,智東植
이문원,李文源
려원구,呂鴛九
이구수,李亀洙
김일철,金日哲
김운기,金雲基
신홍철,申紅哲
김병송,金炳松
김완수,金完洙
정상학,鄭尚学
박정근,朴正根
오응창,呉応昌
장일선,張一善
리자방,李子方
리혁,李赫
림남수,林南洙
김석준,金錫俊
한효연,韓孝淵
권영진,権英進
리용선,李勇善
림경숙,林京淑
정연과,鄭然科
류미영,柳美英
김명길,金明吉
김만수,金萬寿
리광근,李光根
리철만,李哲万
리학철,李学哲
리상원,李象元
리종무,李従茂
리상관,李相官
리형철,李衡哲
리종국,李宗国
차희림,車熙林
김중협,金重浹
김용광,金勇光 (政治家)
김승두,金承斗
김창선,金昌善
김강환,金江煥
김영식,金英植
조춘룡,趙春竜
김경화,金卿花
김혜경,キム・ヒギョン
설경,薛京
김주애,金主愛
김달현,金達鉉
한성룡,韓成龍
마원춘,馬園春
리태철,李泰哲
김주식,キム・ジュシク
김성규,金成奎
리영호,李英鎬
최춘국,崔春国
류경수,柳京洙
박종길,パク・チョンキル
장수길,張秀吉
박명선,朴明善
최휘,崔輝
심철호,沈哲浩
차진순,車進順
자성남,慈成男
문응조,文応朝
서동명,徐東明
장영걸,張永杰
장호찬,張虎賛
한창남,韓蒼男
양인국,楊仁国
전룡국,全龍国
김남천,金南天
박광철,朴光徹
전성웅,全成雄
김동기,金東起
김동은,金銅銀
김동일,金東日
전희정,全熙正
엄항섭,厳恒燮
홍국현,ホン・ククヒョン
양동훈,楊東勲
오금철,呉琴鉄
오룡일,呉龍一
오철산,呉鉄山
유영준 (1892년),劉英俊
윤동현,尹東弦
윤혜영,尹恵英
이강국,李康国
리용,李ヨウ
이웅평,李雄平
이찬,李燦
이태준,李泰俊
강관일,姜寛一
강표영,姜杓永
강동윤 (정치인),姜東潤 (軍人)
리권무,李権武
강태무,姜太武
김상덕,金尚徳
조헌영,趙憲泳
로경준,盧京俊
신불출,申不出
리민철,李民哲
리상근,李常根
리용주,李用柱
리일남,李日男
리종식,李鍾式
리철,李撤
심상진,沈相進
김은향,金恩香
박연미,パク・ヨンミ
임화,林和
설정식,薛貞植
송호성,宋虎聲
김웅,金雄
안명화,アン・ミョンファ
리제선,李済善
리종산,李鐘山
리창한,李昌漢
리춘일,李春日
리태섭,李泰燮
리히수,李煕守
리홍섭,李弘燮
리형근,李兄根
박명순,朴明順
박명철,朴明哲
박수길 (1948년),朴壽吉
박영호,朴英鎬
박윤원,朴允源
한광상,韓光相
손영훈,孫英勲
김정호,金正浩 (軍人)
김학철,金学哲
황민,黄敏
강창욱,姜昌旭
리하섭,李河燮
허택,許沢
김창식,金彰植
리명철,李明哲
김용삼,金容三
리금범,李琴範
리원일,李元一
한경,韓璟
현파,玄波
유진,劉進
리광곤,李光昆
원도희,元道姫
전학철,全学哲
전명식,全明植
윤우철,尹宇哲
최정룡,崔正龍
장세철,張世哲
리공필,李公弼
리성국,李成国
문일봉,文一峰
김승진,金承進
김병팔,金炳八
권희경,権煕京
윤정호,尹正虎
장인숙,張仁淑
황성복,黄成福
박용팔,朴勇八
박명국,朴明国
지영춘,池永春
정문산,鄭文山
김종태,金宗台
김일근,金日根
김수열,金秀烈
리찬복,李賛福
강덕수,姜徳秀
김하규,金河奎
김일산,金日山
최희태,崔希太
승상섭,承尚燮
박충우,朴忠佑
권춘학,権春学
고종덕,高鍾徳
최칠남,崔七男
정성택,鄭成沢
김대식,金大植
조규선,曹奎聖
강추련,姜秋蓮
리재남,李在南
김정남,金正南
주철규,朱哲奎
김성룡,金成龍
서호원,徐虎元
장춘성,張春成
곽창식,郭昌植
조윤희,趙允熙
김회일,金会一
박현명,朴賢明
이현서,イ・ヒョンソ
강명철,康明哲
서경진,徐賢旭
허은별,ホ・ウンビョル
리경옥,リ・キョンオク
김광영,金光栄
박진홍,朴鎮洪
리호림,李虎林
김양점,金養点
고영환,高英煥
김국향,キム・グキャン
최인,崔仁
박승원,朴勝元
이극로,李克魯
김순남,金順男
려연구,呂鷰九
정영수,鄭永洙
김영일,金英一
김영호,金永浩
정인국,鄭仁国
김용진,金勇進
김우호,金禹鎬
정창렬,鄭昌烈
최용,チェ・ヨン (政治家)
오상원,呉尚原
우상철,禹相哲
차명남,車明南
진금송,陳金松
최진수,崔鎮洙
주창준,朱昌駿
김윤혁,金潤赫
박인철,朴仁哲
김정주,金領主
지성호,池成浩
한일무,韓一武
김춘섭,金春燮
박영식,朴永植
명차현,明車鉉
주연,朱然
림광일,林光日
박용일,朴容日
강지영,康智英
김한중,金漢中
김명길,金明吉
리태일,李泰日
조세웅,趙世雄
리은경,リ・ウンギョン
태영호,太永浩
문용형,文龍炯
조대원,趙大元
김덕홍,金徳弘
류진아,リュ・ジナ
라유미,ラ・ユミ
렴대옥,リョム・テオク
김덕훈,金徳訓
김솔미,キム・ソルミ
김송이,キム・ソンイ
최원,崔遠
임철웅,任哲雄
김능오,金能五
서홍찬,徐洪燦
김수길,金秀吉
조성옥,チョ・ソンオク
최효심,チェ・ヒョシム
리종오,李鐘旿
김유성,金有成
김준옥,金俊玉
리은숙,リ・ウンスク
고경택,高京澤
강한옥,姜漢玉
김혁철,金革哲
우인희,禹仁姫
오청성,呉青成
김유경,キム・ユギョン
한광성,韓光宋
김진아,キム・ジナ
리선권,李善権
김두일,金頭日
김만성,金万成
김성일,金成日
김용수 (조선민주주의인민공화국의 정치인),金勇帥
량원호,梁元浩
량정훈,梁正訓
리영래,李英来
리영식,李英植
리히용,李煕用
오승호,呉勝虎
조정철,趙正哲
김시학,金時学
김은향,金恩香
리성국,李成国 (軍人)
박광호,朴光浩
박영호 (조선민주주의인민공화국의 정치인),朴永虎
신룡만,申竜満
이영 (1889년),李英
정경택,鄭京沢
최동명,崔東明
여정,呂政
유성철,兪成哲
리득남,李得男
강봉훈,姜峯訓
강순남,強純男
강필훈,姜必勲
고인호,高人虎
권성호 (정치인),権成虎
김경준 (1964년),金京準
김광혁 (군인),金光赫
김금철,金琴鉄
김명남,金明南
김상룡 (군인),金相竜
김영복,金英福
김재룡,金才龍
김정관,金正官
렴철성,廉哲成
리주오,李周午
리충길,李忠吉
박수일,朴秀逸
박정남,朴正男
박철민,パク・チョルミン
박훈 (정치인),朴勲
방두섭,方斗燮
손철주,孫哲珠
박춘남,朴春男
위성일,魏成日
윤영식,尹英植
장길성,張吉成
장창하,張昌河
장혁 (1966년),張革
전광호,全光虎
조남진 (군인),趙南進
조용원,趙甬元
최두용,崔頭用
최승호 (정치인),崔勝浩
최영호 (군인),崔英浩
최일룡,崔日龍
강영수 (1966년),姜英洙
고길선,高吉先
김광섭,金光燮
한대성,韓大成
기광호,奇光浩
김경남 (정치인),金京男
김광철 (정치인),金光哲
김명길 (1959년),金明吉
김성남 (1953년),金成男
김일국,金日国
김재성 (정치인),金才成
김정식 (정치인),金正植
김천균,金千均
리두성,リ・ドゥソン
리춘삼,李春三
송춘섭,宋春燮
왕창욱,王昌旭
장길룡,張吉龍 (政治家)
장준상,張俊尚
전일춘,全日春
전일호,チョン・イルホ
정영국,鄭英国
한룡국,韓龍国
홍영칠,弘永七
최선희,崔善姫
강수린,康寿麟
강윤석,姜潤石
김명철 (군인),金明哲
김봉영,金鳳英
김영철,金栄哲
김영환,金栄歓
김용선 (정치인),金勇善
김정순,金正順
김창광,金昌光
김창엽,金昌葉
김형준,金衡俊
리길춘,李吉春
리혜정,李恵貞
오경석 (정치인),呉京錫
임훈 (정치인),任勲
장춘실,張春実
정경일,鄭京日
조정호 (1959년),趙正浩
주영길,朱英吉
한상준 (정치인),韓相俊
강영철 (정치인),姜英哲
리혁권,李革権
마종선,馬鍾山
조금화,趙錦花
김룡린,キム・リョンリン
