日本,일본
ニヴフ,니브흐인
兵庫駅,효고역
FC琉球OKINAWA,FC 류큐
Osaka・Metro長堀鶴見緑地線,오사카 메트로 나가호리쓰루미료쿠치선
福田町駅,후쿠다마치역
浪岡町,나미오카정
笹子トンネル・(中央自動車道),사사고 터널 (도로)
八甲田トンネル,핫코다 터널
トライエース,트라이에이스
村上市,무라카미시
朝敵,조적 (일본사)
端島・(長崎県),하시마섬
新津田沼駅,신쓰다누마역
即身仏,즉신성불
山形テレビ,야마가타 TV
松竹,쇼치쿠
キヤノン,캐논
薩摩川内市,사쓰마센다이시
日置市,히오키시
南海本線,난카이 본선
恵庭駅,에니와역
新今宮駅,신이마미야역
島松駅,시마마쓰역
恵み野駅,메구미노역
吹田駅・(JR西日本),스이타역 (서일본 여객철도)
緑地公園駅,료쿠치코엔역
桃山台駅,모모야마다이역
名護市,나고시
東北地方太平洋沖地震,도호쿠 지방 태평양 해역 지진
宮古語,미야코어
中禅寺湖,주젠지호
阿部野橋ターミナルビル,아베노바시 터미널 빌딩
大和郡山市,야마토코리야마시
北神急行電鉄,호쿠신 급행 전철
成田国際空港,나리타 국제공항
津軽線,쓰가루선
木古内駅,기코나이역
岸辺駅,기시베역
千里丘駅,센리오카역
摂津富田駅,셋쓰톤다역
日本海溝,일본 해구
コニカミノルタ,코니카 미놀타
伊豆・小笠原海溝,이즈-오가사와라 해구
信濃国,시나노국
阿左美駅,아자미역
武家諸法度,무가제법도
AC長野パルセイロ,AC 나가노 파르세이루
日本プロバスケットボールリーグ,Bj 리그
韮崎市,니라사키시
ニヴフ語,니브흐어
閩東語,민둥어
華厳滝,게곤 폭포
平等院,뵤도인
大名,다이묘
大阪府,오사카부
セガ,세가
福岡県,후쿠오카현
九度山駅,구도야마역
オリオン電機,오리온 전기 (일본의 기업)
サッポロビール,삿포로 맥주
福岡市地下鉄,후쿠오카시 지하철
南さつま市,미나미사쓰마시
鹿島アントラーズ,가시마 앤틀러스
伊佐市,이사시
秋田市,아키타시
侍,사무라이
愛媛県,에히메현
玉出駅,다마데역 (오사카부)
四万十川,시만토강
札幌市,삿포로시
山形県,야마가타현
大阪府立大学,오사카 부립 대학
四ツ橋駅,요쓰바시역
久居市,히사이시
アスキー・メディアワークス,아스키 미디어 웍스
電波産業会,전파산업회
ANAウイングス,ANA 윙스
SEGA-AM2,세가 AM2
アスキー・(企業),아스키 (기업)
ASIMO,ASIMO
アニメシアターX,AT-X
神奈川宿,가나가와슈쿠
三鷹駅,미타카역
部落問題,부라쿠민
生長の家,생장의 집
アニメインターナショナルカンパニー,아니메 인터내셔널 컴퍼니
河西郡,가사이군
鉄道の日,철도의 날
アニメーション神戸,애니메이션 고베
枕崎市,마쿠라자키시
廃刀令,폐도령
大韓航空機撃墜事件,대한항공 007편 격추 사건
ケンウッド,켄우드
日本航空123便墜落事故,일본항공 123편 추락 사고
西南女学院大学,세이난 조가쿠인 대학
有明駅・(東京都),아리아케역 (도쿄도)
ソニー・インタラクティブエンタテインメント,소니 인터랙티브 엔터테인먼트
南九州市,미나미큐슈시
日産自動車,닛산 자동차
指宿市,이부스키시
長崎市,나가사키시
釧網本線,센모 본선
京阪中之島線,게이한 나카노시마선
北巽駅,기타타쓰미역
野田阪神駅,노다한신역
南巽駅,미나미타쓰미역
岸里駅,기시노사토역
住之江公園駅,스미노에코엔역
玉川駅・(大阪府),다마가와역 (오사카부)
長田駅・(大阪府),나가타역 (오사카부)
新深江駅,신후카에역
花園町駅,하나조노초역
松屋町駅,마쓰야마치역
横浜市,요코하마시
京阪交野線,게이한 가타노선
小路駅,쇼지역 (오사카시)
西梅田駅,니시우메다역
深江橋駅,후카에바시역
高井田駅・(大阪府東大阪市),다카이다역 (히가시오사카시)
肥後橋駅,히고바시역
神津島,고즈섬
北加賀屋駅,기타카가야역
南砂町駅,미나미스나마치역
桜川駅・(大阪府),사쿠라가와역 (오사카부)
葛西駅,가사이역
A・BATHING・APE,A BATHING APE
水戸線,미토선
参議院,참의원 (일본)
ひらかたパーク,히라카타 파크
真言宗,진언종
山崎の戦い,야마자키 전투
.jp,.jp
竹島,독도
相生橋,아이오이교
木場駅,기바역
東陽町駅,도요초역
西葛西駅,니시카사이역
富士山,후지산
講談社漫画賞,고단샤 만화상
江見駅,에미역
南三原駅,미나미하라역
千歳駅・(千葉県),지토세역 (지바현)
桜井市,사쿠라이시
山口県,야마구치현
三菱地所,미쓰비시지쇼
安房小湊駅,아와코미나토역
愛知郡・(愛知県),아이치군
竹下内閣・(改造),다케시타 내각 (개조)
わかしお・(列車),와카시오 (열차)
天承,덴쇼 (헤이안 시대)
安房鴨川駅,아와카모가와역
御宿駅,온주쿠역
九州南西海域工作船事件,일본 순시선 괴선박 격침 사건
浪花駅,나미하나역
鵜原駅,우바라역
行川アイランド駅,나메가와 아일랜드역
大原駅・(千葉県),오하라역 (지바현)
1920年アントワープオリンピックの日本選手団,1920년 하계 올림픽 일본 선수단
おせんころがし,오센코로가시
守谷海水浴場,모리야 해수욕장
安房天津駅,아와아마쓰역
千倉駅,지쿠라역
九重駅,고코노에역
和田浦駅,와다우라역
勝浦駅,가쓰우라역
上総興津駅,가즈사오키쓰역
太海駅,후토미역 (지바현)
1924年パリオリンピックの日本選手団,1924년 하계 올림픽 일본 선수단
鴨川シーワールド,가모가와 시월드
国際武道大学,국제무도대학
鯛の浦,다이노우라
零式艦上戦闘機,0식 함상전투기
黒い霧事件・(政界),검은 안개 사건 (정계)
大甕駅,오미카역
常陸多賀駅,히타치타가역
BK117・(航空機),MBB/가와사키 BK 117
日立駅,히타치역
カーネル・サンダースの呪い,커널 샌더스의 저주
熊谷市,구마가야시
阪神タイガース,한신 타이거스
日本空手道松濤會,쇼토카이
中国地方,주고쿠 지방
長野県,나가노현
曽爾村,소니촌
網走市,아바시리시
神奈川県,가나가와현
玖珂郡,구가군
大阪市営地下鉄,오사카 시영 지하철
西ケ方駅,니시가호역
西長堀駅,니시나가호리역
稲野駅,이나노역
東伊豆町,히가시이즈정
田辺市,다나베시
久能山東照宮,구노잔 동조궁
豊栄市,도요사카시
秋田の聖母マリア,아키타의 성모
迎賓館赤坂離宮,영빈관 (일본)
帝国ホテル,데이코쿠 호텔
赤坂町・(岡山県),아카사카정 (오카야마현)
赤間神宮,아카마 신궁
赤坂BLITZ,아카사카 BLITZ
館山駅,다테야마역 (지바현)
丸紅,마루베니
赤坂プリンスホテル,그랜드 프린스 호텔 아카사카
駐日本国大韓民国大使館,주일본 대한민국 대사관
オホーツク海,오호츠크해
ソニーグループ,소니그룹
小浜市,오바마시
沖縄料理,오키나와 요리
鶴見駅,쓰루미역
南京事件論争,난징 대학살 부인론
守礼門,슈레이 문
日本の原子爆弾開発,일본의 핵무기 개발
愛宕神社,아타고 신사
日本国憲法第9条,일본국 헌법 제9조
吉備津神社,기비쓰 신사
羊蹄山,요테이산
岩手山,이와테산
埼玉県,사이타마현
日本動画協会,일본동화협회
磐梯山,반다이산
春日大社,가스가타이샤
岩井駅,이와이역
富浦駅・(千葉県),도미우라역 (지바현)
クリプトン・フューチャー・メディア,크립톤 퓨처 미디어
浜金谷駅,하마카나야역
葦プロダクション,아시 프로덕션
那古寺,나고지
TSUBAME,츠바메 (슈퍼컴퓨터)
上総湊駅,가즈사미나토역
富山・(千葉県),도미산
大福寺・(館山市),다이후쿠지
那古船形駅,나코후나카타역
安房勝山駅,아와카쓰야마역
保田駅・(千葉県),호타역 (지바현)
石垣島,이시가키섬
岩木山,이와키산
波照間空港,하테루마 공항
平良市,히라라시
ジャスコ,JUSCO
開聞岳,가이몬다케
合気道,아이키도
広島城,히로시마성
日本の国旗,일본의 국기
三重県,미에현
千川駅,센카와역
八軒駅,하치켄역
要町駅,가나메초역
馬喰横山駅,바쿠로요코야마역
新川駅・(北海道),신카와역 (홋카이도)
新琴似駅,신코토니역
曙橋駅,아케보노바시역
西早稲田駅,니시와세다역
和光市駅,와코시역
東神奈川駅,히가시카나가와역
森林公園駅・(北海道),신린코엔역 (홋카이도)
岩本町駅,이와모토초역
新子安駅,신코야스역
雑司が谷駅,조시가야역
厚別駅,아쓰베쓰역
浜町駅,하마초역
北参道駅,기타산도역
妙典駅,묘덴역
ENEOSホールディングス,JXTG 홀딩스
一畑電車,이치바타 전차
留萌市,루모이시
Pixiv,픽시브
エンターブレイン,엔터브레인
ユーフォーテーブル,유포테이블
2011年日本グランプリ・(4輪),2011년 일본 그랑프리
行徳駅,교토쿠역
南行徳駅,미나미교토쿠역
西船橋駅,니시후나바시역
原木中山駅,바라키나카야마역
大阪ドーム,오사카 돔
江戸開城,에도 개성
上野戦争,우에노 전쟁
甲州勝沼の戦い,고슈·가시오 전투
西南戦争,세이난 전쟁
宮古島市,미야코지마시
2002・FIFAワールドカップ・決勝,2002년 FIFA 월드컵 결승전
北海道駒ヶ岳,홋카이도 고마가다케산
伏見稲荷大社,후시미 이나리 신사
北朝鮮による日本人拉致問題,납북 일본인 문제
長野市,나가노시
魚沼丘陵駅,우오누마큐료역
Am/pm,Am/pm
福岡ソフトバンクホークス,후쿠오카 소프트뱅크 호크스
花巻市,하나마키시
福生市,훗사시
ナムコ,남코
フィール・(アニメ制作会社),Feel.
Manaca,Manaca
東京都区部,도쿄도 구부
Au・(携帯電話),Au (휴대전화)
Minori,Minori (기업)
東久留米市,히가시쿠루메시
佐貫町駅,사누키마치역
竹岡駅,다케오카역
大貫駅,오누키역
青堀駅,아오호리역
ロンドンブーツ1号2号,런던부츠 1호 2호
太平洋ベルト,태평양 벨트
桜島,사쿠라지마섬
茂原駅,모바라역
新茂原駅,신모바라역
宇佐神宮,우사 신궁
東京ドームシティ,도쿄 돔 시티
長者町駅,조자마치역
永田駅・(千葉県),나가타역 (지바현)
宇都宮城の戦い,우쓰노미야성 전투
東浪見駅,도라미역
三門駅,미카도역
太東岬,다이토곶
八積駅,야쓰미역
玉前神社,다마사키 신사
本納駅,혼노역
上総一ノ宮駅,가즈사이치노미야역
東京劇場,도쿄 극장
レッド・エンタテインメント,레드 엔터테인먼트
チェンマイ・イニシアティブ,치앙마이 이니셔티브
1988年ソウルオリンピックの柔道競技,1988년 하계 올림픽 유도
太東駅,다이토역 (지바현)
安中市,안나카시
ネクソン,넥슨
箱館戦争,하코다테 전쟁
阿蘇神社,아소 신사
総合商社,종합상사
漢字文化圏,한자 문화권
赤報隊,적보대
住友グループ,스미토모 그룹
DRAGON・GATE,드래건 게이트
住友商事,스미토모 상사
伊藤忠商事,이토추 상사
東北地方,도호쿠 지방
吐噶喇列島,도카라 열도
群馬県,군마현
稲城市,이나기시
習志野市,나라시노시
国立印刷局,일본 국립인쇄국
国分寺市,고쿠분지시
西尾市,니시오시
丹波口駅,단바구치역
大化の改新,다이카 개신
安政の大獄,안세이 대옥
桶川市,오케가와시
大正区,다이쇼구
東京ドームシティアトラクションズ,도쿄 돔 시티 어트랙션스
海上保安庁,일본 해상보안청
守護代,슈고다이
TOYO・TIRE,토요 고무
立正佼成会,입정교성회
高松琴平電気鉄道,다카마쓰코토히라 전기 철도
安倍川,아베강
安泰寺,안타이지
音羽町,오토와정
道・(行政区画),도 (행정 구역)
魚釣島,우오쓰리섬
朝来市,아사고시
口永良部島,구치노에라부섬
キリシタン,기리시탄
アミューズ,아뮤즈
兵庫県,효고현
直江津駅,나오에쓰역
宮崎県,미야자키현
中国放送,주고쿠 방송
北陸放送,호쿠리쿠 방송
テレビ西日本,TV 니시닛폰
下落合駅,시모오치아이역
沖縄テレビ放送,오키나와 TV 방송
秋田放送,아키타 방송
中京テレビ放送,주쿄 TV 방송
北陸朝日放送,호쿠리쿠 아사히 방송
新潟テレビ21,니가타 TV21
新井薬師前駅,아라이야쿠시마에역
北海道文化放送,홋카이도 문화 방송
テレビ宮崎,TV 미야자키
別府大学,벳푸 대학
山形放送,야마가타 방송
全国独立放送協議会,전국 독립 방송 협의회
あさご芸術の森,아사고 예술의 숲
五井駅,고이역
袖ケ浦駅,소데가우라역
巌根駅,이와네역
長浦駅・(千葉県),나가우라역 (지바현)
網走湖,아바시리호
土佐清水市,도사시미즈시
旭化成,아사히 카세이
朝日賞,아사히상
AGC,AGC주식회사
アサヒビール,아사히 맥주
朝日村,아사히촌
浦安市,우라야스시
安土桃山時代,아즈치모모야마 시대
柏市,가시와시
川越市,가와고에시
川岸駅,가와기시역
野村證券,노무라 증권
三春藩,미하루번
岡谷駅,오카야역
エフエム東京,FM 도쿄
日本教職員組合,일본교직원조합
NHK-FM放送,NHK-FM방송
京都御苑,교토 교엔
札幌市営地下鉄南北線,삿포로 시영 지하철 난보쿠선
扇町駅・(大阪府),오기마치역 (오사카부)
近江国,오미국
北日本放送,기타니혼 방송
九州朝日放送,규슈 아사히 방송
信越放送,신에쓰 방송
羽生駅,하뉴역
静岡放送,시즈오카 방송
NHKラジオ第1放送,NHK 라디오 제1방송
山口放送,야마구치 방송
福井放送,후쿠이 방송
新潟放送,니가타 방송
札幌テレビ放送,삿포로 TV 방송
山梨放送,야마나시 방송
大分放送,오이타 방송
福岡放送,후쿠오카 방송
南海放送,난카이 방송
青森放送,아오모리 방송
在日モンゴル人,재일 몽골인
北海道放送,홋카이도 방송
久喜駅,구키역 (사이타마현)
浜野駅,하마노역
カトリック浦上教会,가톨릭 우라카미 교회
星野村,호시노촌
燕市,쓰바메시
朝日新聞,아사히 신문
朝倉市,아사쿠라시
浅草,아사쿠사
朝倉郡,아사쿠라군
東海テレビ放送,도카이 TV
山陰中央テレビジョン放送,산인 중앙 TV 방송
東北放送,도호쿠 방송
山陰放送,산인 방송
大岡山駅,오오카야마역
フジニュースネットワーク,후지 뉴스 네트워크
瀬戸内海放送,세토나이카이 방송
愛知国際放送,아이치 국제 방송
岡山放送,오카야마 방송
RSK山陽放送,산요 방송
磐城平藩,이와키 다이라번
日本海テレビジョン放送,니혼카이 TV
秩父鉄道,지치부 철도
InterFM897,FM인터웨이브
アール・エフ・ラジオ日本,RF라디오닛폰
西日本放送,니시닛폰 방송
オールニッポン・ニュースネットワーク,올 닛폰 뉴스 네트워크
熊本県,구마모토현
保津峡駅,호즈쿄역
日本の歴史,일본의 역사
日本の経済,일본의 경제
アイバニーズ,아이바네즈
元泊村,모토도마리촌
姉ケ崎駅,아네가사키역
久留米市,구루메시
松戸市,마쓰도시
さざなみ・(列車),사자나미 (열차)
立場駅,다테바역
ブライス・(人形),블라이스 (인형)
中川駅・(神奈川県),나카가와역 (가나가와현)
八幡宿駅,야와타주쿠역
日本トランスオーシャン航空,일본 트랜스오션 항공
下飯田駅,시모이다역
香春町,가와라정
港南中央駅,고난추오역
中田駅・(神奈川県),나카다역 (가나가와현)
東京湾観音,도쿄만 관음상
姉崎火力発電所,아네가사키 화력 발전소
1960年ローマオリンピックの日本選手団,1960년 하계 올림픽 일본 선수단
太田山公園,오다야마 공원
予讃線,요산선
1956年メルボルンオリンピックの日本選手団,1956년 하계 올림픽 일본 선수단
グッドデザイン賞,굿디자인상
御嶽・(沖縄),우타키
オズフェスト,오즈페스트
日本BS放送,닛폰BS방송
ゼブラ・(文具メーカー),제브라 (기업)
吉備国際大学Charme岡山高梁,요시비 국제 대학 Charme 오카야마 고량
第45回衆議院議員総選挙,제45회 일본 중의원 의원 총선거
都営地下鉄浅草線,도에이 지하철 아사쿠사선
伊東市,이토시
関西空港駅,간사이 공항역
淀藩,요도번
鷲宮駅,와시노미야역
東京ディズニーランド,도쿄 디즈니랜드
飫肥城,오비성
神戸市営地下鉄海岸線,고베 시영 지하철 가이간선
辰野駅,다쓰노역 (나가노현)
本巣市,모토스시
青柳駅,아오야기역
上諏訪駅,가미스와역
中津川市,나카쓰가와시
米子市,요나고시
大坂城,오사카성
岐阜県,기후현
新党さきがけ,신당 사키가케
きみさらずタワー,기미사라즈 타워
君津駅,기미쓰역
日本プロサッカーリーグ,J리그
木更津駅,기사라즈역
マザー牧場,마더 목장
王貞治ベースボールミュージアム,오 사다하루 베이스볼 뮤지엄
広島駅,히로시마역
一水会・(思想団体),일수회
浜金谷港,가나야항
イトーカンパニー,이토 컴퍼니
セイコーグループ,세이코홀딩스
埼玉西武ライオンズ,사이타마 세이부 라이온스
1958年アジア競技大会におけるサッカー競技,1958년 아시안 게임 축구
立川北駅,다치카와키타역
石川県,이시카와현
奈良県,나라현
雛祭り,히나마쓰리
牛久市,우시쿠시
長浜市,나가하마시
上野,우에노
みどり市,미도리시
松山城・(備中国),마쓰야마성 (오카야마현)
大西町,오니시정 (에히메현)
芦別市,아시베쓰시
柏崎刈羽原子力発電所,가시와자키 가리와 원자력 발전소
芦屋市,아시야시
ジャパン・ニュース・ネットワーク,재팬 뉴스 네트워크
相馬中村藩,소마 나카무라번
五円硬貨,5엔 동전
海津市,가이즈시
茅野駅,지노역
和歌山県,와카야마현
静岡県,시즈오카현
宇治市,우지시
アシックス,아식스
佐世保市,사세보시
昭和,쇼와 시대
甲斐市,가이시
河口湖,가와구치호
佃駅,쓰쿠다역 (도쿠시마현)
前田氏,마에다씨
市貝町,이치카이정
辻駅,쓰지역
伊勢市,이세시
テレビ北海道,TV 홋카이도
首都圏・(日本),수도권 (일본)
日本列島の旧石器時代,일본의 구석기 시대
筑紫野市,지쿠시노시
古里駅・(東京都),고리역 (도쿄도)
新日本橋駅,신니혼바시역
昭島駅,아키시마역
附属池田小事件,오사카 학교 학살
講談社,고단샤
小山町,오야마정
芦屋町,아시야정
西大井駅,니시오이역
東青梅駅,히가시오메역
田浦駅,다우라역
立川南駅,다치카와미나미역
保土ケ谷駅,호도가야역
東戸塚駅,히가시토쓰카역
新浦安駅,신우라야스역
馬喰町駅,바쿠로초역
久里浜駅,구리하마역
アジアリーグアイスホッケー2004-2005,2004-05 아시아리그 아이스하키
下伊那郡,시모이나군
アジアリーグアイスホッケー2003-2004,2003-04 아시아리그 아이스하키
埴科郡,하니시나군
菊川市,기쿠가와시
龍ケ崎市,류가사키시
アジアリーグアイスホッケー2005-2006,2005-06 아시아리그 아이스하키
滋賀県,시가현
伊江島,이에섬
テレビせとうち,TV 세토우치
サンテレビジョン,선 TV
征夷大将軍,정이대장군
プロレス,프로레슬링
飯塚市,이즈카시
阿波池田駅,아와이케다역
三河安城駅,미카와안조역
東区・(名古屋市),히가시구 (나고야시)
平戸市,히라도시
弘前城,히로사키성
伊勢崎市,이세사키시
蒔田駅,마이타역 (가나가와현)
吉野町駅,요시노초역
岩出市,이와데시
下永谷駅,시모나가야역
日本サッカー協会,일본 축구 협회
六甲アイランド,롯코 아일랜드
金子駅,가네코역
笠幡駅,가사하타역
北戸田駅,기타토다역
南与野駅,미나미요노역
本郷台駅,혼고다이역
日進駅・(埼玉県),닛신역 (사이타마현)
