Mato Grosso do Sul,마투그로수두술주
Operação Condor,콘도르 작전
Goiânia,고이아니아
Copa das Confederações de 2013,2013년 FIFA 컨페더레이션스컵
Grêmio Football Porto Alegrense,그레미우
Estádio do Maracanã,마라카낭
Blumenau,블루메나우
Arara,아라라
Planalto das Guianas,기아나 고지
Petrobras,페트로브라스
Santos,산투스
Salvador,사우바도르
língua guarani,과라니어
São José do Rio Preto,상조제두히우프레투
Pão de Açúcar,팡지아수카르산
Brasil nos Jogos Olímpicos de Inverno de 2010,2010년 동계 올림픽 브라질 선수단
Gama,가마
Seleção Brasileira de Futebol,브라질 축구 국가대표팀
Fortaleza Esporte Clube,포르탈레자 EC
Pantanal,판타나우
Cataratas do Iguaçu,이구아수 폭포
Nova Iguaçu,노바이구아수
Sorocaba,소로카바
Centro Federal de Educação Tecnológica de Minas Gerais,CEFET-MG
Ouro Preto,오루프레투
Chaco,그란차코
Baía de Guanabara,구아나바라만
Diamantina,지아만치나
Universidade Federal da Bahia,바이아 연방 대학교
Universidade Estadual de Feira de Santana,페이라지산타나 주립 대학교
Joinville,조인빌리
Vitória,비토리아
Parque Ibirapuera,이비라푸에라 공원
Sepultura,세풀투라
Cone Sul,코노 수르
Petrópolis,페트로폴리스
Minas Gerais,미나스제라이스주
.br,.br
Liberdade,리베르다지
São José dos Campos,상조제두스캄푸스
Santo André,산투안드레
Itumbiara,이툼비아라
Amazonas,아마조나스주
Edifício Copan,에디피시오 코판
Campina Grande,캄피나그란지
Londrina,론드리나
Duque de Caxias,두키지카시아스
Juiz de Fora,주이스지포라
capoeira,카포에이라
Rio Içá,푸투마요강
Figueirense Futebol Clube,피게이렌시 FC
Amapá,아마파주
Campeonato Sul-Americano de Futebol de 1919,1919년 남미 축구 선수권 대회
Rio Iguaçu,이구아수강
Ceará,세아라주
Cachoeira do Sul,카쇼에이라두술
São Carlos,상카를루스
Edifício Itália,이탈리아 빌딩
Cuiabá,쿠이아바
Mogi das Cruzes,모지다스크루지스
João Pessoa,주앙페소아
Pará,파라주
Maceió,마세이오
Usina Hidrelétrica de Itaipu,이타이푸 댐
Arquipélago de São Pedro e São Paulo,상페드루 상파울루 군도
Trindade e Martim Vaz,트린다지 마르칭 바스 군도
Taubaté,타우바테
Anápolis,아나폴리스
Campo Grande,캄푸그란지
Teresina,테레지나
Edifício Altino Arantes,Edifício Altino Arantes
Arena Amazônia,아레나 아마조니아
Erechim,에레심
Rio Branco,히우브랑쿠
qualificação europeia do campeonato do mundo da FIFA de 2014,2014년 FIFA 월드컵 유럽 지역 예선
Confederação Brasileira de Futebol,브라질 축구 협회
Aracaju,아라카주
Porto Alegre,포르투알레그리
Arena Pantanal,아레나 판타나우
Alagoas,알라고아스주
Bahia,바이아주
Pernambuco,페르남부쿠주
Canoas,카노아스
Red Bull Futebol e Entretenimento Ltda.,헤지부 브라지우
Rio Grande do Sul,히우그란지두술주
Paulínia,파울리니아
Ilha de Marajó,마라조섬
Acre,아크리주
Águas Lindas de Goiás,아구아스 린다스 데 고이아스
Manaus,마나우스
Rio de Janeiro,리우데자네이루주
Catedral Metropolitana de Brasília,브라질리아 대성당
Foz do Iguaçu,포스두이구아수
Ação Integralista Brasileira,브라질 통일주의
Águas de São Pedro,아구아스지상페드루
Águas de Lindóia,아구아스지린도이아
Ordem dos Frades Menores,작은형제회
Bauru,바우루
Ponta Grossa,폰타그로사
Vogue,보그
Uberlândia,우베를란지아
Aeroporto Internacional de Brasília,브라질리아 국제공항
Adidas Brazuca,브라주카
Seleção Brasileira de Voleibol Feminino,브라질 여자 배구 국가대표팀
Seleção Brasileira de Voleibol Masculino,브라질 배구 국가대표팀
Feira de Santana,페이라지산타나
Avenida Paulista,파울리스타 대로
Mirante do Vale,미란치 두 발르
Santa Catarina,산타카타리나주
Maranhão,마라냥주
Copacabana,코파카바나
Goiás,고이아스주
Lauro de Freitas,로우로 데 프레이타스
Mata de São João,마타지상주앙
Hino da Independência do Brasil,브라질 제국의 국가
Esporte Clube Bahia,EC 바이아
Santana do Livramento,산타나두리브라멘투
São João Nepomuceno,상주앙네포무세누
Atlético Clube Goianiense,아틀레치쿠 클루브 고이아넨시
Eliminatórias da Copa do Mundo FIFA de 2014 - Oceania,2014년 FIFA 월드컵 오세아니아 지역 예선
chimarrão,마테
Associação Portuguesa de Desportos,아소시아상 포르투게자
Seleção Brasileira de Basquetebol Masculino,브라질 농구 국가대표팀
Roraima,호라이마주
Terra,테라 네트웍스
Instituto Rio Branco,히우 브랑쿠 외교원
Instituto Nacional de Matemática Pura e Aplicada,IMPA
Embraer ERJ,엠브라에르 ERJ 145
Estádio Governador Magalhães Pinto,미네이랑
Esporte Clube Juventude,EC 주벤투지
Parque Nacional da Serra da Capivara,세라 다 카피바라 국립공원
Guarapari,구아라파리
Jaboatão dos Guararapes,자보아탕두스구아라라페스
Rio Grande do Norte,히우그란지두노르치주
Resende,헤젠지
Corumbá,코룸바
Tombense Futebol Clube,톰벤시 FC
Copa Libertadores da América de 1960,1960년 코파 리베르타도레스
Copa Conmebol de 1998,1998년 코파 CONMEBOL
Copa Master da Conmebol,코파 마스테르 데 CONMEBOL
Espírito Santo,이스피리투산투주
Ubá,우바
Região Nordeste do Brasil,노르데스치 지방
Camaçari,카마사리
Embu das Artes,엥부 다스 아르테스
Guarani Futebol Clube,구아라니 FC
Metrô do Rio de Janeiro,리우데자네이루 메트로
Rock in Rio,락 인 리오
Rei Momo,레이 모모
Congonhas,콩고냐스
Guarujá,구아루자
Montes Claros,몬테스 클라로스
ABC Futebol Clube,ABC FC
Contagem,콘타젱
Diadema,디아데마
Centro de Lançamento de Alcântara,알칸타라 발사 센터
Dourados,도우라두스
Ibirité,이비리테
Clube Atlético Mineiro,아틀레치쿠 미네이루
Ponte Internacional da Amizade,우정의 다리
Jogos Paralímpicos de Verão de 2016,2016년 하계 패럴림픽
Lins,링스
Boa Esporte Clube,보아 EC
Volta Redonda,보우타헤돈다
São Vicente,상비센치
Sistema de ligas de futebol do Brasil,브라질 축구 리그 시스템
lista de municípios da Bahia,바하이아 주 도시 목록
Piauí,피아우이주
Belo Horizonte,벨루오리존치
Rodovia Pan-Americana,팬아메리칸 하이웨이
Mato Grosso,마투그로수주
Universíada de Verão de 1963,1963년 하계 유니버시아드
Esporte Clube Vitória,EC 비토리아
Jundiaí,준지아이
Guanabara,구아나바라주
Ministério das Relações Exteriores,브라질 외교부
Estádio do Pacaembu,이스타지우 두 파카엠부
Rondônia,혼도니아주
Ilha de Santa Catarina,산타카타리나섬
Copa do Mundo FIFA de Futebol de Areia de 2006,2006년 FIFA 비치사커 월드컵
Jogos Pan-Americanos de 1963,1963년 팬아메리칸 게임
Democratas,민주당
Paralelo 2 N,북위 2도
Paralelo 3 N,북위 3도
Paralelo 1 N,북위 1도
Ilha do Bananal,바나날 섬
política do Brasil,브라질 정부
Ministério da Defesa (Brasil),브라질 국방부
Franco da Rocha,프랑코 다 로차
Aeroporto Internacional de Manaus,에두아르두 고메스 국제공항
Itapecerica da Serra,이타페세리카 다 세라
Colombo,콜롬부
Partido dos Trabalhadores,노동자당
Arena do Grêmio,아레나 두 그레미우
Santarém,산타렝
Divinópolis,디비노폴리스
São João da Boa Vista,상주앙다보아비스타
Jacareí,자카리
Serra,세라
Clube Atlético Juventus,CA 주벤투스
Lagoa dos Patos,파투스호
Teixeira de Freitas,테이세이라 데 프레이타스
Batalhão de Operações Policiais Especiais,특수공작대원
Paralelo 4 N,북위 4도
Taurus,타우루스 인터내셔널
ABSA Cargo Airline,ABSA 화물 항공
cinema do Brasil,브라질의 영화
Jocum,예수전도단
Paralelo 5 N,북위 5도
Rio Claro,리오 클라로
Eliminatórias da Copa do Mundo FIFA de 2014 - América do Sul,2014년 FIFA 월드컵 남아메리카 지역 예선
Master Top Airlines,마스터탑 항공
Associação Desportiva São Caetano,AD 상카에타누
Copa do Mundo FIFA de Futebol de Areia de 2007,2007년 FIFA 비치사커 월드컵
Operário Futebol Clube,오페라리우 FC
Ribeirão Pires,히베로 피레스
Ponta Porã,폰타포랑
Palmas,파우마스
Cotia,코치아
lusofonia,포르투갈어권
Novo Hamburgo,노부암부르구
Parintins,파린틴스
Parque Nacional do Jaú,자우 국립공원
Vila Velha,빌라벨랴
Ypiranga Futebol Clube,이피랑가 FC
Santos Futebol Clube,산투스 FC
Centro Sportivo Alagoano,센트루 스포르치부 알라고아누
Miss Brasil,미스 브라질
Maracanãzinho,지나시우 두 마라카나지뉴
Bragança,브라간사
Ipatinga,이파칭가
Itaquaquecetuba,이따꽈께세뚜바
Campeonato Mundial de Judo de 2007,2007년 세계 유도 선수권 대회
Miss Universo 2011,미스 유니버스 2011
Santo Amaro da Imperatriz,산투아마루다임페라트리스
Guarapuava,구라아푸아바
Partido da Social Democracia Brasileira,브라질 사회민주당
Os Mutantes,오스 무탄치스
América Futebol Clube,아메리카 FC
Estádio Mané Garrincha,이스타지우 마네 가힌샤
Arena das Dunas,아레나 다스 두나스
Campeonato Brasileiro de Futebol - Série D,캄페오나투 브라질레이루 세리에 D
Panambi,파남비
LATAM Airlines Group,라탐 그룹
Movimento Democrático Brasileiro,브라질민주운동당
Mauá,마우아
Colatina,콜라티나
Corrente do Brasil,브라질 해류
Fórum de Governança da Internet,인터넷 거버넌스 포럼
Arena Pernambuco,아레나 페르남부쿠
povos indígenas no Brasil,브라질 원주민
Iguatu,이구아투
Neo Química Arena,코린치앙스 경기장
Brusque,부르스크
Piracicaba,피라시카바
Linhares,린하레스
Associação Atlética Caldense,AA 카우덴시
Ilhéus,일례우스
Campeonato Mundial de Futebol de Areia de 2001,2001년 비치사커 세계 선수권 대회
São Leopoldo,상레오폴두
Campos dos Goytacazes,캄푸스두스고이타카지스
Avaí Futebol Clube,아바이 FC
Vale-tudo,발리 투두
Paragominas,파라고미나스
Campeonato Paulista de Futebol,캄페오나투 파울리스타
Voo Gol 1907,GOL 항공 1907편
Ponte Rio-Niterói,리우-니테로이 교
Ilha Grande,일랴그란지섬
Tucuruí,투쿠루이
Metrô do Distrito Federal,브라질리아 지하철
Gol Transportes Aéreos,GOL 항공
TAM Linhas Aéreas,TAM 항공
ditadura militar brasileira,브라질 군사정권 (1964~1985)
Aeroporto Internacional de Viracopos/Campinas,비라코푸스 캄피나스 국제공항
Uberaba,우베라바
favelas no brasil,파벨라
Gravataí,그라바타이
Treze Futebol Clube,트레지 FC
Paralelo 10 S,남위 10도
Rio Verde,리오 베르데
Sociedade Esportiva do Gama,SE 가마
Paralelo 31 S,남위 31도
Paralelo 27 S,남위 27도
Paralelo 11 S,남위 11도
Paralelo 25 S,남위 25도
Itapetininga,이타페치닝가
Aeroporto Internacional de São Paulo-Guarulhos,상파울루 구아룰류스 국제 공항
Barreiras,바헤이라스
Votorantim,보토란칭
Sapucaia do Sul,사푸카이아 도 술
Campeonato Sul-Americano de Futebol Feminino de 1991,1991년 남아메리카 여자 축구 선수권 대회
Trinta e Três Orientais,33인의 동부인
Sumaré,수마레
Jaguarão,자구아랑
Caldo de cana,사탕수수즙
Meridiano 66 W,서경 66도
Poá,포아
Santa Luzia,산타루시아
Paralelo 30 S,남위 30도
Paralelo 32 S,남위 32도
Paralelo 5 S,남위 5도
Mossoró,모소로
TRIP Linhas Aéreas,TRIP 항공
VASP,VASP 항공
Eliminatórias da Copa do Mundo FIFA de 1950,1950년 FIFA 월드컵 예선
Bob's,Bob's
Paralelo 15 S,남위 15도
Paralelo 29 S,남위 29도
Paralelo 28 S,남위 28도
Eliminatórias da Copa do Mundo FIFA de 2014 - África,2014년 FIFA 월드컵 아프리카 지역 예선
Ituiutaba,이투이우타바
Paralelo 26 S,남위 26도
Paralelo 33 S,남위 33도
Paralelo 1 S,남위 1도
WebJet Linhas Aéreas,웹제트
Marginal Tietê,마르지나우 티에치
Partido Democrático Trabalhista,민주 노동당
O Sul É o Meu País,남부는 나의 조국
Rio Acima,히우아시마
Taguatinga,타구아팅가
Hortolândia,올토랜디아
Itaú Unibanco,이타우 우니방코
Congresso Nacional do Brasil,브라질 국민회의
Itaguaí,이타구아이
Goiás,고이아스
Paulista,폴리스타
Parada do orgulho LGBT de São Paulo,상파울루 LGBT 프라이드 퍼레이드
Pouso Alegre,포주알레그리
Aeroporto Internacional de Porto Alegre,살가두 필류 국제공항
Aeroporto Internacional do Rio de Janeiro Tom Jobim/Galeão,리우데자네이루 갈레앙 국제공항
Estrada de Ferro Madeira-Mamoré,마데이라-마모레 철도
Cachoeiro de Itapemirim,카쇼에이루지이타페미링
Três Corações,트레스코라송스
Marília,마릴리아
Aeroporto Internacional de Foz do Iguaçu,포스두이구아수 국제공항
Itapevi,이타페비
Cabo Frio,카보 프리오
Progressistas,진보당
Viamão,비아망
Timóteo,치모테우
Itabuna,이타부나
Incêndio no Edifício Joelma,조엘마 빌딩 화재 사고
Pantanal Linhas Aéreas,PLA 항공
Criciúma,크리시우마
Akan,아칸족
Organização dos Estados Ibero-americanos,이베로아메리카 국가 기구
Paulo Afonso,파울루 아폰수
Santa Maria,산타마리아
Klabin,클라빈
Alvorada,알보라다
Barueri,바루에리
Altamira,알타미라
Grêmio Esportivo Brasil,GE 브라지우
Igreja Ortodoxa Polonesa,폴란드 정교회
Americana,아메리카나
relações entre Brasil e Japão,브라질-일본 관계
Jê,제어족
Suzano,수자누
Betim,베칭
Belford Roxo,베우포르드호슈
Sabará,사바라
Paysandu Sport Club,파이산두 SC
Luziânia,루지아니아
Aparecida de Goiânia,아파레시다지고이아니아
São João de Meriti,상주앙지메리치
Vila Nova Futebol Clube,빌라 노바 FC
Macaé,마카에
Nova Friburgo,노바 프리부르구
Mogi Guaçu,모지 구아수
Oi,오이
Bairro de Ipanema,이파네마
Governador Valadares,고베르나도르발라다레스
America Football Club,아메리카 FC
América Futebol Clube (Rio Grande do Norte),아메리카 FC
São João del-Rei,상조앙지우레이
São José dos Pinhais,상조세두스피냐이스
Estádio Urbano Caldeira,빌라 베우미루
Ananindeua,아나닌데우아
Coritiba Foot Ball Club,코리치바 FC
Itu,이투
Cachoeirinha,카슈이리냐
Eliminatórias da Copa do Mundo FIFA de 2014 - Ásia,2014년 FIFA 월드컵 아시아 지역 예선
Associação Desportiva Confiança,AD 콘피안사
Mata Atlântica,대서양림
Museu de Arte Contemporânea de Niterói,니테로이 현대미술관
guaraná,과라나
Assis,아시스
Parque Nacional do Iguaçu,이구아수 국립공원
Estádio Governador Plácido Castelo,이스타지우 고베르나도르 플라시두 아데랄두 카스텔루
Madureira Esporte Clube,마두레이라
Metrô de São Paulo,상파울루 지하철
unidade federativa do Brasil,브라질의 주
Elsevier,엘제비어
Região Norte do Brasil,노르치 지방
Abaetetuba,아베테투바
São Caetano do Sul,상카에타누두술
Conferência das Nações Unidas sobre Meio Ambiente e Desenvolvimento,리우 회의
Eldorado Business Tower,엘도라도 비즈니스 타워
Palácio do Planalto,팔라시우 두 플라나우투
Itaúsa,이타우사
Vitória Futebol Clube,비토리아 FC
Club Athletico Paranaense,아틀레치쿠 파라나엔시
São José Esporte Clube,상조제 EC
Franca,프랑카
Porto Seguro,포르투세구루
Campeonato Mundial de Clubes da FIFA de 2000,2000년 FIFA 클럽 세계 선수권 대회
Partido Comunista do Brasil,브라질 공산당
português brasileiro,브라질 포르투갈어
Sítio Arqueológico de São Miguel Arcanjo,과라니족의 예수회 선교단 시설
Paranaguá,파라나구아
Sistema Brasileiro de Televisão,SBT
Botucatu,보투카투
Morro do Corcovado,코르코바도
Imperatriz,임페라트리즈
Hospital Israelita Albert Einstein,알베르트 아인슈타인 이스라엘 병원
Sport Club Corinthians Alagoano,SC 코린치앙스 알라고아누
Londrina Esporte Clube,론드리나 EC
região do Brasil,브라질의 지방
Oeste Futebol Clube,오에스치 FC
Muriaé,무리아에
Santa Cruz Futebol Clube,산타크루스 FC
Palhoça,팔료사
Araguari,아라과리
Juazeiro,주아제이루
Campeonato Carioca de Futebol,캄페오나투 카리오카
Copa América de 1983,1983년 코파 아메리카
Carlos Gomes,카를루스고메스
Atibaia,아치바이아
Teófilo Otoni,테오필루오토니
Pindamonhangaba,삔다모냥가바
Cabo de Santo Agostinho,카보데산토아고스틴호
O Globo,우 글로부
Seleção Brasileira de Futebol Feminino,브라질 여자 축구 국가대표팀
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,리우데자네이루 연방기술교육센터
Esporte Clube Novo Hamburgo,EC 노부암부르구
Nacional Futebol Clube,나시오나우 FC
Meridiano 63 W,서경 63도
Lavras,라브라스
Marabá,마라바
Itabira,이타비라
Embraer C-390 Millennium,엠브라에르 C-390 밀레니엄
Lages,라지스
Maracanaço,마라카낭의 비극
Clube Desportivo Sete de Setembro,CD 세치 지 셉템브루
hispanofonia,스페인어 사용자
Nova Lima,노바리마
Parnaíba,파르나이바
Passa Quatro,파사쿠아트루
Apucarana,아푸카라나
Barretos,바레투스
Carazinho,카라지뉴
Caraguatatuba,카라구아타투바
Garanhuns,가라늉스
Simões Filho,시모이스 필호
Valinhos,발린호스
Copa do Nordeste de Futebol,코파 두 노르데스치
Nilópolis,닐로폴리스
Mirandópolis,미란도폴리스
Porto Feliz,포르투펠리스
Palmeira d'Oeste,파우메이라도에스치
Jaú,자우
Jandira,잔지라
Ariquemes,아리퀘메스
Valparaíso de Goiás,발파라이소 데 고이아스
Francisco Morato,프란시스코 모라토
Várzea Paulista,바르제아 파울리스타
Região Centro-Oeste do Brasil,센트루오에스치 지방
Presidente Prudente,프레지덴치프루덴치
Itatiba,이따찌바
Santana de Parnaíba,산타나데 빠르나이바
Ferraz de Vasconcelos,페라즈 데 바스콘셀로스
Passo Fundo,파소 풍두
Catanduva,카탄두바
Rondonópolis,론도노폴리스
Santa Bárbara d'Oeste,산타 바바라 도에시
Guajará-Mirim,구아자라미링
Ji-Paraná,지 파라나
Várzea Grande,베르제아 그란지
Varginha,바르지냐
Mesquita,메스키타
eleição presidencial no Brasil em 2010,2010년 브라질 대통령 선거
Patos de Minas,파토스 데 미나스
Castanhal,카스탄할
Nielsen Company,닐슨
Clube Atlético Bragantino,CA 브라강치누
Bento Gonçalves,벤투곤사우베스
Santa Cruz do Sul,산타크루수두술
Bangu Atlético Clube,방구 AC
Samambaia,사맘바이아
Avianca Brasil,아비앙카 브라질
Passos,파수스
São Lourenço,상로렌수
Itajubá,이타주바
Angra dos Reis,앙그라도스헤이스
Azul Linhas Aéreas Brasileiras,아줄 브라질 항공
B3,B3
Trindade,트린다데
Serra do Mar,남동부 대서양림 보호지역
Tacacá,타카카
Vitória de Santo Antão,비토리아지산투안탕
Goiás Esporte Clube,고이아스 EC
Senador Canedo,세나도르 카네도
Conselheiro Lafaiete,콘셀례이루라파이에치
Ourinhos,오리뇨스
São Bernardo Futebol Clube,상베르나르두 FC
Seleção Brasileira de Beisebol,브라질 야구 국가대표팀
Barra Mansa,바라 만사
Campeonato Mundial de Futebol de Areia de 2002,2002년 비치사커 세계 선수권 대회
Barbacena,바르바세나
Bradesco,브라데스쿠
Banco Central do Brasil,브라질 중앙은행
Bandeirantes,반데이란치
Copa Mercosul de 1998,1998년 코파 메르코수르
Poços de Caldas,포수스지카우다스
relações entre Brasil e Israel,브라질-이스라엘 관계
Bolsa Família,보우사 파밀리아
Chapecó,샤페코
Seleção Brasileira de Basquetebol Feminino,브라질 여자 농구 국가대표팀
Caucaia,카우카야
Arapongas,아라폰가
Juazeiro do Norte,주아제이루두노르테
São Manuel,상마누에우
Estádio Cícero Pompeu de Toledo,이스타지우 두 모룸비
Campeonato Mundial de Futsal de 2008,2008년 FIFA 풋살 월드컵
Bola de Ouro,캄페오나투 브라질레이루 세리에 A 최우수선수상
Sete Lagoas,세치라고아스
Taboão da Serra,타바아오 다 세라
Copa América de 1989,1989년 코파 아메리카
Paraná Clube,파라나 클럽
São Cristóvão,상크리스토방
Cariacica,카리아시카
Fome Zero,포미 제루
Leme,레미
Universidade de São Paulo,상파울루 대학교
Araras,아라라스
Almirante Tamandaré,알미란테 타만다레
Limeira,리메이라
Itaboraí,이타보라이
Parnamirim,파르나미림
Universidade Federal do Rio de Janeiro,리우데자네이루 연방 대학교
Caso Rojas,로베르토 로하스 스캔들
Magé,마제
Cubatão,쿠바탕
Vale,발레
Araxá,아락사
tepui,테푸이
Ituano Futebol Clube,이투아누 FC
JBS,JBS
Literatura do Brasil,브라질 문학
Petrolina,페트롤리나
economia do Brasil,브라질의 경제
Caso Isabella Nardoni,이자벨라 나르도니 사건
Campeonato Mundial de Natação em Piscina Curta de 1995,1995년 세계 쇼트 코스 수영 선수권 대회
Praia Grande,프라이아 그란데
Itajaí,이타자이
TAV Rio–São Paulo,브라질 고속철도
Copa do Brasil de Futebol,코파 두 브라질
Novo Gama,노보 가마
Varig,바리그 브라질 항공
Aeroporto de Congonhas/São Paulo,콩고냐스 상파울루 공항
Jaraguá do Sul,자라구아 도 술
Campos do Jordão,캄푸스두조르당
Campeonato Sul-Americano de Futebol de 1949,1949년 남미 축구 선수권 대회
Sociedade Esportiva e Recreativa Caxias do Sul,SER 카시아스두술
Mangaratiba,망가라치바
Agência Espacial Brasileira,브라질 우주국
Enchentes e deslizamentos de terra no Rio de Janeiro em 2011,2011년 1월 리우데자네이루주 홍수와 산사태
Brasil nos Jogos Olímpicos,올림픽 브라질 선수단
acidente radiológico de Goiânia,고이아니아 방사능 유출사고
Camaragibe,카마라지베
Embraer EMB-312,엠브라에르 EMB 312 투카노
Campeonato Sul-Americano de Futebol de 1922,1922년 남미 축구 선수권 대회
Rio Negro,네그로강
relações entre Brasil e Estados Unidos,미국-브라질 관계
Ciclo da borracha,아마존 고무 붐
Aeroporto Santos Dumont,리우데자네이루 산투스 두몬트 공항
Voo TAM 3054,TAM 항공 3054편 활주로 이탈 사고
estrada real,이스트라다 헤아우
Pará de Minas,파라지미나스
Fundão,푼당
Universidade Federal de São João Del Rei,상조앙지우레이 연방대학교
Araruama,아라 루 아마
Itapiranga,이타피랑가
Santa Rosa,산타호자
Flamengo,플라멩구
Umuarama,우무아라마
Santa Cruz Cabrália,산타크루스카브랄리아
Lagoa da Prata,라고아 다 프라타
Caxias,카시아스
Balneário Camboriú,발네아리오 캄보류
Forças Armadas do Brasil,브라질군
Criciúma Esporte Clube,크리시우마 EC
Valença,발렌사
Ceilândia,세일랑지아
Formosa,포르모자
Crato,크라토
Condor,콘도르
Prêmio Craque do Brasileirão,프레미우 크라키 두 브라질레이랑
Rio Grande,히우그란지
Serrinha,세리냐
Estádio Joaquim Américo Guimarães,이스타지우 조아킹 아메리쿠 기마랑이스
mapinguari,마핑과리
São José de Ribamar,상호세데리바마르
Clube de Regatas Brasil,클루비 지 헤가타스 브라지우
CELPE-Bras,CELPE-Bras
Timon,티몬
Valença,발렌사
tapioca,타피오카
Grupo Globo,그루포 글로부
Vespasiano,베스파지아누
Campo Largo,캄포 라고
Campeonato Brasileiro de Futebol - Série B,브라질 세리 B
Banco do Brasil,브라질 은행
Culinária do Brasil,브라질 요리
CSS,칸세이 지 세르 섹시
Açailândia,아사일란디아
Ceilândia Esporte Clube,세일란지아 EC
Mafra,마프라
Macaé Esporte Futebol Clube,마카에 EFC
Associação Desportiva Recreativa Cultural Icasa,ADRC 이카사
