Idioma catalán,加泰罗尼亚语
Cantallops,坎塔略普斯
Pico Neulós,内乌洛斯峰
Lladó,利亚多
Llansá,良萨
Llers,列尔斯
Masarach,马萨拉奇
Villarreal Club de Fútbol,比利亞雷阿爾足球俱樂部
Jerez de la Frontera,赫雷斯-德拉弗龙特拉
Xerez Club Deportivo,赫雷斯体育俱乐部
Batalla del Jarama,哈拉马河战役
Navarra,納瓦拉
País Vasco,巴斯克自治區
San Pedro Pescador,圣佩德罗-佩斯卡多尔
Castillo de Coca,科卡城堡
San Mori,圣莫里
Torrox,托罗斯
Moclinejo,莫克利内霍
Valladolid,巴利亚多利德
Palencia,帕伦西亚
Ortuella,奥尔图埃利亚
Murélaga,奥莱斯蒂
Huesca,韦斯卡
Bescanó,贝斯卡诺
Pineda de Mar,滨海皮内达
Santa Leocadia de Algama,圣列奥卡迪亚-德阿尔加马
Besalú,贝萨卢
Argelaguer,阿尔赫拉格尔
Nerja,内尔哈
Santa Susana (Barcelona),圣苏萨娜
Aragón,阿拉贡
Campllonch,坎普略奇
Bordils,博尔迪尔斯
Canet de Adri,卡内特-德阿德里
Cerviá de Ter,特尔河畔塞尔维亚
Celrá,塞尔拉
Cassá de la Selva,卡萨德拉塞尔瓦
Flassá,弗拉萨
Real Madrid Club de Fútbol,皇家马德里足球俱乐部
Club Deportivo Guadalajara (España),瓜達拉哈拉體育俱樂部·(西班牙)
Hércules de Alicante Club de Fútbol,靴高斯足球會
Alicante,阿利坎特
Juegos Olímpicos de Barcelona 1992,1992年夏季奥林匹克运动会
Terradas,特拉达斯
Selva de Mar,滨海拉塞尔瓦
"Saus, Camallera i Llampaies",绍斯·(赫罗纳省)
Torroella de Fluviá,托罗埃利亚-德弗卢维亚
Ventalló,本塔略
Guadalajara (España),瓜达拉哈拉·(西班牙)
El Maresme,马雷斯梅
Mayá de Moncal,马亚-德蒙卡尔
Castellfollit de la Roca,富利特堡-德拉罗卡
Tordera,托尔德拉
Girona Fútbol Club,赫罗纳足球俱乐部
Beuda,贝乌达
Malgrat de Mar,滨海马尔格拉特
Palafolls,帕拉福尔斯
Ronda,龙达·(西班牙)
Barbate,巴尔瓦特
Montilla,蒙蒂利亚
Alcaucín,阿尔考辛
Cañete la Real,卡涅特拉雷亚尔
Aiguaviva,艾瓜维瓦
Barrica (Vizcaya),巴里卡·(比斯开省)
Las Bordas,拉斯博尔达斯
Las Planas,莱斯普拉内斯德奥斯托莱斯
Olot,奥洛特
Bosost,博索斯特
Montgat,蒙特加特
Euro,欧元
Caneján,卡内汉
Las Presas,莱斯普雷塞斯
Lés,莱斯·(莱里达省)
Viladasens,比拉达森斯
San Julián de Ramis,圣胡利安-德拉米斯
San Jordi Desvalls,圣豪尔赫德斯瓦利斯
Club Deportivo Mirandés,米兰德斯体育俱乐部
Miranda de Ebro,埃布罗河畔米兰达
Riudaura,留道拉
San Juan de Mollet,圣胡安-德莫列特
Salt,萨尔特·(赫罗纳省)
San Andrés Salou,圣安德烈斯萨洛
San Martín de Liémana,圣马丁-德列马纳
San Gregorio (Gerona),圣格雷戈里奥
Zalla,萨利亚
Valmaseda,巴尔马塞达
Athletic Club,毕尔巴鄂竞技俱乐部
Dosríus,多斯留斯
Bilbao,毕尔巴鄂
Sociedad Deportiva Huesca,韦斯卡体育协会
Las Palmas de Gran Canaria,拉斯帕尔马斯
Montagut i Oix,蒙塔古特-奥奇
Arrés (Lérida),阿雷斯·(莱里达省)
Bausén,包森·(莱里达省)
Juyá,惠阿
Fornells de la Selva,福尔内利斯德拉塞尔瓦
Llagostera,利亚戈斯特拉
Llambillas,良维列斯
Madremaña,马德雷马尼亚
Quart,夸尔特·(赫罗纳省)
Club Deportivo Lugo,卢戈体育俱乐部
Unión Deportiva Las Palmas,拉斯帕尔马斯体育联盟
Mieras,米耶拉斯
Valle de Arán,阿兰山谷
Tiana (Barcelona),蒂亚纳·(巴塞罗那省)
Río Garona,加龍河
Mar Mediterráneo,地中海
Viella y Medio Arán,别利亚-梅迪奥阿兰
Masnou,埃尔马斯诺
Sales de Llierca,萨莱斯德列尔卡
Vilablareix,比拉夫拉雷斯
Vilamós,比拉莫斯
Sarriá de Ter,萨里亚德特尔
San Martivell,圣马蒂贝尔
Calonge,卡隆赫
Teyá,特亚·(巴塞罗那省)
Alella,阿莱利亚
Bagur,贝古尔
La Bisbal del Ampurdán,拉比斯瓦尔-德尔安普尔丹
Bellcaire,贝利凯雷登波尔达
Albóns,阿尔翁斯
Monzón (Huesca),蒙松
Club Atlético de Madrid,马德里竞技俱乐部
Sevilla,塞维利亚
Premiá de Mar,滨海普雷米亚
Foixá,福伊克萨
Esterri de Aneu,埃斯特里达内乌
La Guingueta,拉金格塔达内乌
"Castillo de Aro, Playa de Aro y S'Agaró",阿罗堡
"Cruilles, Monells y San Sadurní",克鲁伊列斯莫内尔斯和圣萨杜尔尼
Colomés,科洛梅尔斯
Corsá,科尔斯萨
Premiá de Dalt,普雷米亚-德达尔特
Vilassar de Mar,滨海比拉萨尔
Orrius,奥留斯
Vilasar de Dalt,比拉萨尔-德达尔特
Sant Aniol de Finestras,圣阿尼奥尔-德菲内斯特拉斯
Alt Aneu,阿尔塔内乌
Espot,埃斯波特
San Felíu de Pallarols,圣费利乌-德帕利亚罗尔斯
Huércal de Almería,韦尔卡尔德亚尔梅里亚
La Coruña,拉科魯尼亞
International Airlines Group,國際航空集團
Idioma aragonés,阿拉贡语
Real Club Deportivo de La Coruña,拉科鲁尼亚体育俱乐部
Vilabertrán,比拉韦尔特兰
San Acisclo de Vallalta,圣阿西斯克洛-德巴利亚尔塔
Vilasana,比拉-萨纳
Real Club Deportivo Espanyol,皇家西班牙人體育俱樂部
Getafe,赫塔费
Getafe Club de Fútbol,赫塔費足球俱樂部
Vall de Vianya,拉瓦利德维亚尼亚
Tortellá,托尔特利亚
Parlabá,帕尔拉瓦
Regencos,雷亨科斯
La Pera,拉佩拉
Idioma portugués,葡萄牙語
Real Betis Balompié,皇家贝蒂斯足球俱乐部
Cabrils,卡夫里尔斯
Vigo,維戈
Arenys de Munt,阿雷尼斯-德蒙特
Caldetas,卡尔德塔斯
Vall de Cardós,巴利德卡尔多斯
San Andrés de Llavaneras,圣安德烈斯-德利亚瓦内拉斯
San Vicente de Montalt,圣维森特-德蒙塔尔特
Farrera,法雷拉
Alins,阿林斯
Jafre,哈夫雷
Gualta,瓜尔塔
Garrigolas,加里戈拉斯
Almazán,阿爾瑪桑
San Ferreol,圣费雷奥尔
Esterri de Cardós,埃斯特里德卡尔多斯
Lladorre,利亚多雷
Euskera,巴斯克語
Real Club Celta de Vigo,皇家維戈塞爾塔俱樂部
San Jaime de Llierca,圣海梅-德列尔卡
Soriguera,索里格拉
Rialp,里亚尔普
Bajo Pallars,拜斯帕利亚尔斯
Santa Pau,圣保
Sort,索尔特
Forallac,福拉利亚克
Fontanillas (Gerona),丰塔尼利亚斯
Montrás,蒙特-拉斯
Palafrugell,帕拉夫鲁赫利
Palau Sator,帕劳-萨托尔
Pals,帕尔斯
Palamós,帕拉莫斯
Canet de Mar,滨海卡内特
Arenys de Mar,滨海阿雷尼斯
Tirvia,蒂尔维亚
Llavorsí,利亚沃尔西
San Juan de Fuentes,圣霍安-莱斯丰特斯
Burguete,布尔格特
Camós,卡莫斯·(赫罗纳省)
Granada,格拉纳达
Granada Club de Fútbol,格拉纳达足球俱乐部
Vilajuiga,比拉茹伊加
Club Deportivo Numancia de Soria,努曼西亞體育俱樂部
Vilamacolum,比拉马科卢姆
Levante Unión Deportiva,萊萬特體育聯盟
Valencia,瓦倫西亞
Viladamat,比拉达马特
Vilafan,比拉凡
Soria,索里亚
Pont de Suert,埃尔蓬特德苏埃尔特
Vilamalla,比拉马利亚
Ponferrada,蓬费拉达
Valle de Bohí,拉瓦利德沃伊
Vall de Bas,拉瓦利登瓦斯
Cataluña,加泰罗尼亚
Palma de Mallorca,帕爾馬·(西班牙)
Sociedad Deportiva Ponferradina,蓬费拉迪纳体育协会
Vilamaniscle,比拉马尼斯克莱
Vilanant,比拉南特
Vilaller,比拉列尔
Segriá,塞格里亚
Ultramort,乌尔特拉莫尔特
Torroella de Montgrí,托罗埃利亚德蒙特格里
Torrent (Gerona),托伦特
Verges (España),贝尔赫斯
Vall-Llobrega,巴利-略夫雷加
Vilopríu,比洛普留
Solsonés,索尔索纳县
Rupiá,鲁皮亚
San Felíu de Guixols,圣费利乌-德吉绍尔斯
La Tallada,拉塔利亚达登波尔达
Serra de Daró,塞拉-德达罗
Santa Cristina de Aro,圣克里斯蒂娜-达罗
Urgel (Lérida),乌赫尔
Segarra,塞加拉·(加泰罗尼亚)
Mallorca,馬略卡島
Comunidad Valenciana,巴倫西亞自治區
Real Club Deportivo Mallorca,皇家馬略卡體育會
Real Madrid Castilla Club de Fútbol,皇家马德里卡斯蒂利亚
Vilahur,比拉乌尔
Málaga Club de Fútbol,馬拉加足球俱樂部
Málaga,马拉加
Murcia,穆尔西亚
Ullestret,乌利亚斯特雷特
Ullá,乌利亚
Porqueras,波尔克雷斯
Real Club Recreativo de Huelva,皇家韋爾瓦娛樂俱樂部
Huelva,韦尔瓦
Comunidad de Madrid,马德里自治区
Rayo Vallecano de Madrid,巴列卡诺闪电
La Sellera de Ter,拉塞列拉德特尔
Susqueda,苏斯克达
Campellas,坎佩利亚斯
Zaragoza,萨拉戈萨
Breda (Gerona),布雷达·(赫罗纳省)
San Hilario Sacalm,圣伊拉里奥-萨卡尔姆
San Julián del Llor y Bonmatí,圣胡利亚-德尔略尔-伊邦马蒂
Hostalrich,奥斯塔尔里奇
Viloví de Oñar,比洛维多尼亚尔
Vidreras,比德雷雷斯
Provincia de Santander (España),桑坦德省·(西班牙)
Chirivella,克西里韦利亚
Guipúzcoa,吉普斯夸省
Provincia de Huelva,韋爾瓦省
Gran Premio de España,西班牙大奖赛
La Rioja (España),拉里奥哈·(西班牙)
Idioma gallego,加利西亞語
Islas Baleares,巴利阿里群島
Real Zaragoza,皇家薩拉戈薩
San Sebastián,圣塞瓦斯蒂安
Gombreny,贡布雷尼
Real Sociedad de Fútbol,皇家蘇斯達
Real Valladolid Club de Fútbol,皇家巴利亞多利德足球俱樂部
Sabadell,萨瓦德尔
Llanás,利亚纳斯
Alp,阿尔普
Centre d'Esports Sabadell Futbol Club,萨瓦德尔足球俱乐部
Das,达斯
Bolvir,博尔维尔
Bellver de Cerdaña,贝利韦尔德塞尔达尼亚
Fontanáls de Cerdanya,丰塔纳尔斯-德塞尔达尼亚
Provincia de Málaga,馬拉加省
Provincia de Lugo,卢戈省
Valencia Club de Fútbol,巴伦西亚足球俱乐部
Provincia de Jaén (España),哈恩省
Castilla y León,卡斯蒂利亚-莱昂
Castilla-La Mancha,卡斯蒂利亚-拉曼恰
Pamplona,潘普洛納·(西班牙)
Club Atlético Osasuna,奥萨苏纳竞技俱乐部
Selva (comarca),塞尔瓦县
Real Racing Club de Santander,桑坦德競賽
Tortosa,托尔托萨
Cabrera de Mar,滨海卡夫雷拉
Península ibérica,伊比利亚半岛
Andalucía,安達盧西亞
Provincia de Orense,奥伦塞省
Provincia de Las Palmas,拉斯帕爾馬斯省
Provincia de Pontevedra,蓬特韋德拉省
Las Llosas,拉斯略萨斯
Gijón,希洪
Real Sporting de Gijón,希洪體育
Molló,莫略
Urús,乌鲁斯
Prulláns,普鲁良斯
Ríu,留德塞尔达尼亚
Llivia,利维亚
Isóbol,伊索沃尔
Lles,列斯·(莱里达省)
Centellas,森特列斯
Puigcerdá,普奇塞达
Provincia de Sevilla,塞維利亞省
Ger (Gerona),赫尔·(赫罗纳省)
Guils de Cerdaña,吉尔斯-德塞尔达尼亚
Burgos,布尔戈斯
Campdevánol,坎普德瓦诺尔
Real Murcia Club de Fútbol,皇家穆爾西亞足球俱樂部
Santander (España),桑坦德·(西班牙)
Crespiá,克雷斯皮亚
Palol de Rebardit,帕洛尔德雷瓦尔迪特
Fontcuberta,丰特库韦尔塔
Cornellá del Terri,科尔内利亚德尔特里
San Miguel de Campmajor,圣米格尔-德坎普马霍尔
Esponellá,埃斯波内利亚
Vilademúls,比拉德穆尔斯
Bañolas,巴尼奥拉斯
Seriñá,塞里尼亚
Maçanet de la Selva,马斯萨内特德拉塞尔瓦
San Felíu de Buxalleu,圣费利乌-德布沙列乌
Massanas,马萨纳斯
Riudellots de la Selva,留德略特斯德拉塞尔瓦
Campaspero,坎帕斯佩罗
Comunidad autónoma,西班牙自治區
Valdemorillo,巴尔德莫里略
Oristá,奥里斯塔
Silla (Valencia),西利亚
Orís,奥里斯
Olost,奥洛斯特
Montanyola,蒙塔尼奥拉
Montesquiu,蒙特斯基乌
Masías de Roda,马西亚斯-德罗达
Las Masías de Voltregá,拉斯马西亚斯-德博尔特雷加
Villarcayo de Merindad de Castilla la Vieja,比利亚尔凯奥德梅林达德卡斯蒂利亚拉维耶哈
Acedera (Badajoz),阿塞德拉
Benifato,贝尼法托
Caja Mágica,魔術盒球場
Segunda División de España 1968-69,1968年至1969年西班牙足球乙级联赛
Canarias,加那利群岛
Godelleta,戈德列塔
Estadio de La Cartuja,塞維利亞奧林匹克體育場
Alovera,阿洛韦拉
Guadalaviar (Teruel),瓜达拉维亚尔
Calzada de Valdunciel,卡尔萨达德瓦尔敦希耶尔
Córdoba (España),科爾多瓦·(西班牙)
Elche Club de Fútbol,埃尔切足球俱乐部
Pego,佩戈
Perafita,佩拉菲塔
Llusá,柳萨
Sedaví,塞达维
Masanasa,马萨纳萨
Paiporta,派波尔塔
Occitania,奧克西塔尼亞
Prats de Llusanés,普拉茨-德柳萨内斯
Manlleu,曼列乌
Rupit y Pruït,鲁皮特和普鲁伊特
Roda de Ter,特尔河畔罗达
San Bartolomé del Grau,圣巴托洛梅-德尔格劳
Navas de Riofrío,纳瓦斯德里奥夫里奥
San Agustín de Llusanés,圣阿古斯丁-德柳萨内斯
Cañaveruelas,卡尼亚韦鲁埃拉斯
Ruta europea E90,欧洲E90公路
Primera División de España 1985-86,1985–86赛季西班牙足球甲级联赛
Agrupación Deportiva Alcorcón,阿尔科孔体育协会
Alcorcón,阿尔科孔
Región de Murcia,穆尔西亚地区
Almería,阿尔梅里亚
Ogassa,奥加萨
Extremadura,埃斯特雷马杜拉
Pardinas,帕尔迪纳斯
Villarreal,比利亞雷阿爾
Montellá Martinet,蒙特利艾马尔蒂内特
Prats y Sampsor,普拉特西桑索尔
Maranges,马兰赫斯
Sevilla Fútbol Club,塞維利亞足球俱樂部
Fútbol Club Barcelona Atlètic,巴塞隆拿足球會B隊
Unión Deportiva Almería,阿爾梅里亞體育聯盟
Córdoba Club de Fútbol,科尔多瓦足球俱乐部
Elche,埃爾切
Call de Tenes,卡利德特内斯
Alpens,阿尔彭斯
Brull,布鲁尔
Balenyá,巴莱尼亚
Folgarolas,福尔加罗拉斯
Espinelvas,埃斯皮内尔瓦斯
Collsuspina,科尔苏斯皮纳
Gurb,古尔布
Provincia de Tarragona,塔拉戈纳省
Jaraíz de la Vera,哈赖斯德拉贝拉
Aldaya,阿尔代阿
Sefardí,塞法迪犹太人
Orense,奥伦塞
Provincia de Santa Cruz de Tenerife,聖克魯斯-德特內里費省
Guerra civil española,西班牙内战
Picasent,皮卡森特
San Clemente Sasebas,圣克莱门特-萨塞瓦斯
Macaronesia,馬卡羅尼西亞
La Gomera,戈梅拉岛
Carreteras europeas,欧洲高速公路
.cat,.cat
Anexo:Temporada 2012-13 del Fútbol Club Barcelona,巴塞罗那足球俱乐部2012–13赛季
Club de Fútbol Fuenlabrada,丰拉夫拉达足球俱乐部
Instituto Barcelona de Estudios Internacionales,巴塞隆納國際研究學院
Cofrentes,科夫伦特斯
Utiel,乌铁尔
San Martín de Boniches,圣马丁德博尼切斯
Santa Cruz de Moya,圣克鲁斯德莫亚
Santa María de los Llanos,圣马里亚德洛斯利亚诺斯
Derechos digitales,數位權利
Incidente de Palomares,1966年B-52同溫層堡壘轟炸機空難
Villar del Olmo,奥尔莫村
Transporte en España,西班牙交通
Ceuta,休达
San Julián de Vilatorta,圣胡利安-德比拉托尔塔
San Hipólito de Voltregá,圣伊波利托-德博尔特雷加
San Baudilio de Llusanés,圣包迪利奥-德柳萨内斯
San Martín de Centellas,圣马丁-德森特利亚斯
San Martín del Bas,圣马丁-德尔巴斯
San Pedro Palmiches,圣佩德罗帕尔米切斯
Golfo de Cádiz,加的斯湾
Parque nacional de Cabañeros,加貝內羅斯國家公園
Muruzábal,穆鲁萨瓦尔
Melilla,梅利利亚
Ador,阿多尔
Universidad de La Rioja,拉里奥哈大学
Puente la Reina,蓬特拉雷纳
Gorafe,戈拉费
Recopa de Europa 1979-80,1979–80年歐洲盃賽冠軍盃
Laspaúles,拉斯保莱斯
Áger,阿赫尔·(莱里达省)
Gerindote,赫林多特
San Lorenzo de El Escorial,圣洛伦索-德埃尔埃斯科里亚尔
Miajadas,米亚哈达斯
Ebro,埃布羅河
San Quirico de Besora,圣基里科-德贝索拉
San Pedro de Torelló,圣佩德罗-德托雷略
Albañá,阿尔瓦尼亚
Santa María de Besora,圣玛丽亚-德贝索拉
Santa Eugenia de Berga,圣欧亨尼娅-德贝尔加
Santa Cecilia de Voltregá,圣塞西利亚-德博尔特雷加
San Vicente de Torelló,圣维森特-德托雷略
San Saturnino de Osormot,圣萨图尼诺-德奥索尔莫特
Toledo,托萊多·(西班牙)
La Garrocha,拉加罗查
Ripollés,里波列斯
Al-Ándalus,安达卢斯
Arbeca,阿尔韦卡
Tubilla del Lago,图维利亚德利亚戈
Olocau,奥洛考
Santa Eulalia de Riuprimer,圣欧拉利娅-德留普里梅尔
Massanet de Cabrenys,马萨内特-德卡夫雷尼斯
Movistar Team,移动之星车队
La Bajol,拉巴霍尔
Agullana,阿古利亚纳
Lugo,卢戈·(西班牙)
Sobremunt,索夫雷蒙特
Seva (España),塞瓦
L'Esquirol,圣玛丽亚-德科尔科
Taradell,塔拉德尔
Tabernolas,塔韦尔诺拉斯
Sora (Barcelona),索拉·(巴塞罗那省)
Diócesis de Cartagena,天主教卡塔赫納教區
Pino del Oro,皮诺德洛罗
Isla de los Faisanes,費桑島
La Armentera,拉阿尔门特拉
Aviñonet,阿维尼奥内特-德普伊格文托斯
Báscara,巴斯卡拉
Viure,比乌雷
Buadella,布阿德利亚
Etnia vasca,巴斯克人
Autovía del Mediterráneo,A-7高速公路·(西班牙)
Catoira,卡托伊拉
Liérganes,列尔加内斯
La Barceloneta,巴塞罗内塔
Porcuna,波尔库纳
Estadio Benito Villamarín,贝尼托·比利亚马林球场
Febró,拉费夫罗
Gata de Gorgos,加塔德戈尔戈斯
Almenara de Adaja,阿尔梅纳拉德亚达哈
Segunda División de España 1966-67,1966年至1967年西班牙足球乙级联赛
Vilaboa,比拉沃阿
Miguel Esteban,米格莱斯特万
Carcedo de Burgos,卡尔塞多德武尔戈斯
Almaluez,阿尔马卢埃斯
Portugal bajo la Casa de Austria,伊比利亞聯盟
Bandera de la Región de Murcia,莫夕亞旗幟
Pancrudo,潘克鲁多
Borrassá,博拉萨
Cabanellas (Gerona),卡瓦内利亚斯
Cabanas (Gerona),卡瓦纳斯
Cadaqués,卡达克斯
Cistella,锡斯特利亚
Castellón de Ampurias,安普里亚斯堡
Colera,科莱拉
Vic,比克·(巴塞罗那省)
Vidrá,比德拉
Torelló,托雷略
Tavertet,塔韦泰特
Tona (España),托纳
Faraján,法拉汉
Castellanos de Zapardiel,卡斯特利亚诺斯德萨帕尔迭尔
Vallés (Valencia),巴列斯
Valverde de Mérida,巴尔韦德德梅里达
Museo de Bellas Artes de Bilbao,毕尔巴鄂美术馆
Pajarón,帕哈龙
Durón,杜龙
Carataunas,卡拉陶纳斯
Zamora Club de Fútbol,萨莫拉足球俱乐部
Copa Mundial de fútbol sala de la FIFA 1996,1996年國際足協室內五人足球世界錦標賽
Matadepera,马塔德佩拉
Gallifa,加利法
Moncada y Reixach,蒙卡达和雷沙克
Polinyá,波利尼亚
Palau-solità i Plegamans,帕劳-德普莱加曼斯
Castellbisbal,比斯瓦尔堡
Sardañola del Vallés,萨尔达尼奥拉-德尔巴列斯
San Cugat del Vallés,圣库加特-德尔巴列斯
San Quirce del Vallés,圣基里科-德塔拉萨
Rellinars,雷利纳尔斯
Almansa,阿尔曼萨
Zarzalejo,萨尔萨莱霍
San Lorenzo Savall,圣洛伦索萨瓦利
Rubí (Barcelona),鲁维
Ripollet,里波列特
Badia del Vallès,巴迪亚-德尔巴列斯
Barberá del Vallés,巴韦拉-德尔巴列斯
Provincia de Lérida,莱里达省
Vilanova de Sau,萨乌新镇
Sierra de Tramontana,特拉蒙塔納山脈
Blesa,布莱萨
Ugíjar,乌希哈尔
Mues,穆埃斯
Morell,埃尔莫雷利
Viladrau,比拉德劳
La Escala,拉埃斯卡拉
Son Servera,松塞尔韦拉
Isaba,伊萨瓦
Novés,诺韦斯
Castellar del Vallés,巴列斯堡
Islas Chafarinas,舍法林群岛
Avellanosa de Muñó,阿韦利亚诺萨德穆尼奥
Candidatura de Unidad Popular,人民团结候选人
Marcha Real,皇家進行曲
Salas de los Infantes,萨拉斯德洛辛凡特斯
Cañada de Benatanduz,卡尼亚达德韦纳坦杜斯
Segunda División de España 1942-43,1942年至1943年西班牙足球乙级联赛
Segunda División de España 1934-35,1934年至1935年西班牙足球乙级联赛
Nalech,纳莱克
Ullastrell,乌利亚斯特雷利
Senmanat,森马纳特
Santa Perpetua de Moguda,圣佩尔佩图阿-德莫古达
Pueblo búlgaro,保加利亞人
Tarrasa,塔拉薩·(加泰羅尼亞)
Anexo:Reyes visigodos,西哥特国王列表
Segunda División de España 1989-90,1989年至1990年西班牙足球乙级联赛
Pérez (apellido),佩雷斯
Pinos Puente,皮诺斯蓬特
La Peza,拉佩萨
Begíjar,贝希哈尔
Villanueva de Ávila,阿维拉新镇
Pantoja (Toledo),潘托哈
Diócesis de Jaca,天主教哈卡教区·(西班牙)
Petra (Baleares),彼得拉
Mesa de los Tres Reyes,特雷斯雷斯山脈
Abaurrea Baja,下阿沃雷阿
Anexo:Tenis en los Juegos Olímpicos de Barcelona 1992,1992年夏季奥林匹克运动会网球比赛
Polopos (Granada),波洛波斯
Pedro Martínez (Granada),佩德罗马尔蒂内斯
Fuentes de Carbajal,丰特斯德卡尔瓦哈尔
Valdesotos,巴尔德索托斯
Universidad de Valencia,華倫西亞大學
San Millán de los Caballeros,圣米良德洛斯卡瓦列罗斯
Cebrones del Río,塞夫罗内斯德尔里奥
Quintana del Marco,金塔纳德尔马尔科
Lucillo,卢西略
Vallés Occidental,西巴列斯
Cimanes de la Vega,西马内斯德拉韦加
Cubillas de Rueda,库维利亚斯德鲁埃达
Garrafe de Torío,加拉费德托里奥
Cea (León),塞亚
Viladecavalls,比拉德卡瓦尔斯
Vacarisas,巴卡里萨斯
Comarca de Tierra de Soneira,特拉德索内拉县
Santa María de Ordás,圣马里亚德奥尔达斯
Beniatjar,贝尼亚特哈尔
San Vicente de la Barquera,圣比森特德拉瓦尔克拉
Masegoso (Albacete),马塞戈索
La Peraleja,拉佩拉莱哈
Cijuela,锡胡埃拉
Rollán,罗良·(市镇)
Rubielos de la Cérida,鲁维耶洛斯德拉塞里达
Gatica (Vizcaya),加蒂卡
Fútbol Club Cartagena,卡塔赫纳足球俱乐部
Negredo,内格雷多·(瓜达拉哈拉省)
Garcibuey,加尔西武埃
Anexo:Temporada 2011-12 del Fútbol Club Barcelona,巴塞罗那足球俱乐部2011–12赛季
Parlamento de Cataluña,加泰罗尼亚议会
El Viso de San Juan,埃尔维索德圣胡安
Flix,弗利斯
Cueva de Altamira,阿尔塔米拉洞
Segunda División de España 1964-65,1964年至1965年西班牙足球乙级联赛
Chimillas,奇米利亚斯
Fuentes de Andalucía,丰特斯-德安达卢西亚
Villafranca de Córdoba,科尔多瓦自由镇
Desojo,德索霍
Carbajo,卡尔瓦霍
Arraya de Oca,阿赖阿德奥卡
Garachico,加拉奇科
Villaharta,比利亚阿尔塔
Burriana,布里亚纳
Fuente de Santa Cruz,丰特德圣克鲁斯
Benirredrá,贝尼雷德拉
Málaga del Fresno,马拉加德尔夫雷斯诺
Grupo FCC,西班牙營建集團
Cúllar Vega,库利亚尔维加
Unión de Centro Democrático,民主中間聯盟·(西班牙)
Dumbría,敦布里亚
Velilla de Cinca,贝利利亚德辛卡
Castilfalé,卡斯蒂尔法莱
Poboleda,波沃莱达
Grajal de Campos,格拉哈尔德坎波斯
Santa María de la Isla,圣马里亚德莱斯拉
Crémenes,克雷梅内斯
Cimanes del Tejar,西马内斯德尔特哈尔
Campo de Villavidel,坎波德维利亚维德尔
Confederación Nacional del Trabajo,全國勞工聯盟
Corella,科雷利亚
Diócesis de Teruel y Albarracín,天主教特魯埃爾暨阿爾瓦拉辛教區
Beas de Granada,贝亚斯德格拉纳达
Alpujarra de la Sierra,阿尔普哈拉德拉谢拉
Alicún de Ortega,阿利昆德奥尔特加
Murias de Paredes,穆里亚斯德帕雷德斯
