Xanana Gusmão,沙纳纳·古斯芒
Aníbal Cavaco Silva,施華高
Zico,济科
João César Monteiro,朱奧·西薩·蒙岱羅
Fernando Santos (treinador de futebol),費爾南多·桑托斯·(葡萄牙)
Bruno Martins Indi,般奴·馬田斯·恩迪
Nuno Gomes,努诺·戈麦斯
Paulo Futre,保羅·富特雷
Camilo Pessanha,庇山耶
Manuel de Arriaga,曼努埃尔·若泽·德·阿里亚加
Teresa Heinz Kerry,特雷莎·海因茨·克里
Rui Costa (ciclista),魯伊·科斯塔·(自由車運動員)
Ticha Penicheiro,蒂莎·佩尼谢罗
Hanna Damásio,安娜·达马西奥
Frederico Gil,費德歷高·基奧
Vieirinha,維埃里尼亞
Sidónio Pais,西多尼奥·派斯
Patrícia Mamona,帕特里西亞·馬蒙娜
Pedro Passos Coelho,佩德罗·帕索斯·科埃略
Sandro Ranieri Guimarães Cordeiro,辛度·雲尼亞里
André Villas-Boas,安德烈·維拉斯-波亞斯
Amílcar Cabral,阿米爾卡·卡布拉爾
Universidade de Coimbra,科英布拉大學
Francisco Sá Carneiro,簡尼路
Jorge Ribeiro,若热·里贝罗
Rúben Amorim,鲁本·阿莫林
Henrique Hilário,亨里克·希拉里奥
Hélder Postiga,埃尔德·波斯蒂加
Eduardo dos Reis Carvalho,愛德華多·卡瓦略
José dos Santos Ferreira,若瑟·山度士·飛利拉
Rolando Jorge Pires da Fonseca,罗兰多·豪尔赫·皮雷斯·达·丰塞卡
Daniela Mercury,达妮埃拉·玛克丽
Miguel Januário de Bragança,米格爾·(布拉干薩)
António Ramalho Eanes,恩尼斯
João Moutinho,若昂·穆蒂尼奥
Samora Machel,萨莫拉·马谢尔
Pedro Pauleta,保莱塔
Nelson Évora,内尔松·埃沃拉
Rosa Mota,罗莎·莫塔
William Silva de Carvalho,威廉·卡維奴
Fernando Meira,费尔南多·梅拉
Manuel Gomes da Costa,曼努埃尔·德·奥利维拉·戈麦斯·达科斯塔
José Mendes Cabeçadas,若泽·门德斯·卡贝萨达斯
Danny,丹尼·阿尔维斯
Américo Tomás,阿梅里科·托马斯
Nuno Bettencourt,努诺·贝登科特
Nuno Espírito Santo,努诺·埃斯皮里托·桑托
Amélia de Orleães,奧爾良的阿美莉
Vhils,亚历山大·法图
Aristides de Sousa Mendes,阿里斯蒂德·德·索萨·门德斯
Eliseu Pereira dos Santos,埃利塞烏
Maria Barroso,瑪利亞·巴羅佐
António Alberto Bastos Pimparel,貝托·(葡萄牙足球運動員)
Carlos Queiroz,卡路士·昆洛斯
Mia Rose,米娅·罗斯
Maria Pia de Saboia,薩伏依的瑪麗亞·皮婭公主
"Maria Teresa de Bragança, arquiduquesa da Áustria",瑪麗亞·特蕾莎·(布拉干薩)
"Maria Antónia de Bragança, duquesa de Parma",瑪麗亞·安東妮亞·(布拉干薩)
António Guterres,安东尼奥·古特雷斯
Olegário Benquerença,奥莱加里欧·本奎伦卡
Agacão IV,阿迦汗四世
Sérgio Paulinho,塞尔吉奥·保利尼奥
António Damásio,安东尼奥·达马西奥
Francisco Pinto Balsemão,鮑仕民
José Mourinho,若泽·穆里尼奥
Óscar Carmona,安東尼奧·奧斯卡·德·弗拉戈索·卡爾莫納
Cédric Soares,塞德里克·索亞雷斯
Roberto Luís Gaspar Deus Severo,罗伯托·塞韦罗
Nelly Furtado,妮莉·費塔朵
Hugo Almeida,乌戈·阿尔梅达
Daniela Ruah,丹妮拉·鲁阿
Mário de Noronha,马里奥·德诺罗尼亚
Maria João Pires,玛利亚·若昂·皮雷斯
Maria de Lourdes Pintasilgo,玛丽亚·德卢尔德斯·平塔西尔戈
Sophia de Mello Breyner Andresen,索菲娅·安德雷森
Nuno Valente,紐奴·華倫迪
Philippe Coutinho,菲利普·库蒂尼奥
Nélson Oliveira,尼爾森·奧利維拉
Antonio Tabucchi,安东尼奥·塔布其
Fernanda Ribeiro,费尔南达·里贝罗
Luís Neto,路易斯·内托
"Maria Ana de Bragança, Grã-duquesa do Luxemburgo",瑪麗亞·安娜·(布拉干薩)
Maria de Medeiros,玛丽亚·德·梅黛洛
Ricardo Esteves,里卡多·埃斯特维斯
Pepe (futebolista),佩佩
Marcello Caetano,馬爾塞洛·卡丹奴
Costinha (futebolista),哥斯甸亞
Jorge Manuel Almeida Gomes de Andrade,若热·安德拉德
Nani,蘭尼
Eduardo Souto de Moura,艾德瓦尔多·苏托·德·莫拉
Afonso Costa,阿方索·达科斯塔
Luís Figo,路易斯·菲戈
Eduardo Manuel Martinho Vingada,内罗·文加达
Carlos Alberto da Mota Pinto,麥斌圖
Fábio Coentrão,法比奧·干查奧
Dinis Dias,迪尼什·迪亚士
Carmen Miranda,卡門·米蘭達
Maria José de Bragança,瑪麗亞·荷塞·(布拉干薩)
Pedro Santana Lopes,佩德罗·桑塔纳·洛佩斯
Miguel Veloso,米格尔·维罗索
Hermínia Silva,赫米尼亞·席爾瓦
João Magueijo,若昂·马盖若
Álvaro Cunhal,阿尔瓦罗·库尼亚尔
Zé Castro,泽·卡斯特罗
Zé Povinho,澤波維尼奧
Paulo Sousa,保罗·索萨
Luís Boa Morte,路爾斯·般莫迪
Paulo Bento (treinador de futebol),保罗·本托
Sérgio Conceição,沙治奧·干斯卡奧
Kevin Gameiro,奇雲·甘美路
Custódio Miguel Dias de Castro,庫斯托迪奧·卡斯特羅
Pedro Mendes,柏度·文迪斯
Ricardo Alexandre Martins Soares Pereira,里卡多·佩雷拉·(1976年)
Ricardo Sérgio Rocha Azevedo,列卡度·洛查
Artur Jorge,阿度·佐治
Marcos Freitas,馬科斯·弗雷塔斯
Álvaro Siza Vieira,阿爾瓦羅·西塞·維埃拉
Ricardo Costa (futebolista),列卡度·哥斯達
Manuel II de Portugal,曼努埃尔二世·(葡萄牙)
António de Oliveira Salazar,安東尼奧·德·奧利維拉·薩拉查
Emanuel de Jesus Bonfim Evaristo,埃马努埃尔·热苏斯·邦菲姆·埃瓦里斯托
Pedro Proença,佩德羅·普羅恩卡
Antónia de Bragança,葡萄牙的安東妮亞
Maria das Neves de Bragança,瑪麗亞·尼維絲·(布拉干薩)
Guilhermina Suggia,古尔赫米娜·苏吉娅
David Carreira,大衞·卡雷拉
Rúben Micael,魯本·米凱爾
Miguel Lopes,米格爾·洛佩斯
"Duda (futebolista, 1980)",杜達
Paulo Assunção,保羅·阿辛卡奧
Telma Santos,特尔玛·桑托斯
Jorge Sampaio,沈拜奧
Eusébio,尤西比奧
Mário Soares,马里奥·苏亚雷斯
André Couto,安德烈·高度
André Gomes (futebolista português),安迪·高美斯
André Coelho Vieira,韋以納
Maria de Jesus (supercentenária),瑪莉亞·德·傑蘇斯
João Paulo Dias Fernandes,保利尼奧·(1992年)
João Mário Naval da Costa Eduardo,祖奧·馬里奧
Tiago Monteiro,蒂亚戈·蒙泰罗·(赛车运动员)
Pedro Lamy,佩德羅·拉米
Roman Abramovich,罗曼·阿布拉莫维奇
Fernando Pessoa,費爾南多·佩索阿
Jean-Michel Bismut,让-米歇尔·比斯姆
Jorge Jesus,佐治·謝蘇斯
Kaúlza de Arriaga,考尔扎·德·阿里亚加
Maria Cordero,肥媽
Shéu Han,邵汉
Leonardo Jardim,里安納度·渣甸
Kátia Aveiro,卡蒂娅·阿维罗
António Adriano Faria Lopes dos Santos,羅必信
Ricardo Carvalho (futebolista),里卡多·卡瓦略
Raul Meireles,劳尔·梅雷莱斯
Portugueses,葡萄牙人
José Augusto Alves Roçadas,羅沙達
António José de Almeida,安东尼奥·若泽·德·阿尔美达
Luís Marques Mendes,文磊斯
Fábio Santos Romeu,法比奧·桑托斯
Vasco Almeida e Costa,高斯達
Humberto Delgado,温贝托·德尔加多
José Alberto Costa,何塞·科斯塔
Manuel Teixeira,文德泉
Sérgio Oliveira,塞吉奧·奧利維拉
André Pinto,安達賓圖
Raphaël Guerreiro,拉斐爾·古埃雷羅
José Beltrão,若泽·贝尔特朗
Jorge Mendes,佐治·文迪斯
"Afonso de Bragança, Duque do Porto",阿方索·(波多公爵)
Fineza Eusébio,費尼扎·尤斯比奧
Vítor Pereira,维托尔·佩雷拉
João Monteiro,若昂·蒙泰罗
João Paulino de Azevedo e Castro,鮑理諾
José Maria Pereira Coutinho,高天賜
Luís Gonzaga Gomes,路易士·貢沙華·高美士
Lucy Bronze,露西·布龙泽
Tiago Apolónia,蒂亞哥·阿波羅尼亞
Marco Silva,马尔科·席尔瓦
Nuno Viriato Tavares de Melo Egídio,伊芝迪
José Medeiros Ferreira,費敏年
Manuel Monteiro de Castro,厄瑪奴耳·蒙泰羅·德·卡斯特羅
António Marto,安多尼·桑托斯·馬圖
Duarte Nuno de Bragança,杜阿爾特·努諾
André Filipe Bernardes Santos,安德烈·桑托斯
António Costa,安東尼奧·科斯塔
António Félix da Costa,安東尼奧·費利克斯·達·科斯塔
António Leitão,安东尼奥·莱唐
Paulo d'Eça Leal,保罗·德萨·莱亚尔
Marcelo Rebelo de Sousa,馬塞洛·雷貝洛·德索薩
António de Almeida Santos,歐達琛
Diogo Salomão,迪奥戈·萨洛芒
Catarina Martins,卡塔琳娜·馬丁斯
Bruno Pereirinha,布魯諾·佩雷林哈
Arquimínio Rodrigues da Costa,高秉常
Deco,迪高
Artur Tamagnini de Sousa Barbosa,巴波沙
Paulo José Tavares,戴維理
Carlos Augusto Corrêa Paes d’Assumpção,宋玉生
Aurora Miranda,奧羅拉·米蘭達
José Manuel de Sousa e Faro Nobre de Carvalho,嘉樂庇
Mário Quina,马里奥·基纳
Bruno Gama,布鲁诺·伽玛
António Barbosa de Melo,繆博誠
João Sassetti,若昂·萨塞蒂
Nuno Barreto,努诺·巴雷托
António Sérgio,安东尼奥·塞尔吉奥
António de Sousa Franco,范禮高
Pedro Camacho,佩德罗·卡马乔
João Vieira (marcha),若奥·维埃拉
Sílvio Manuel Pereira,施維奧·文路爾·彭利拿
Vasco Gonçalves,瓦斯科·贡萨尔维斯
Inês Henriques,伊内斯·亨里克斯
José Fonte,何塞·馮特
Adrien Silva,阿德里恩·席爾瓦
Vianna da Motta,若热·维安纳·达·莫塔
Alfredo Nobre da Costa,阿爾弗雷多·諾布雷·達科斯塔
Alice Vieira,阿莉塞·維埃拉
Carlos Melancia,文礼治
Custódio Miguel de Borja,佈渣
Áureo Castro,區師達
Paulo Oliveira (futebolista),保羅·奧利維拉
Orlando Sá,奥兰多·萨
Michelle Monique Reis,李嘉欣
Rony Lopes,羅尼·盧比斯
Bruno Fernandes,布鲁诺·费尔南德斯
Ró-Ró,罗罗·(足球运动员)
Ernesto Melo Antunes,安恩濤
Stanley Ho,何鴻燊
Daniel Carriço,丹尼爾-卡里索-馬田斯-卡列高
Luís Carlos Correia Pinto,路易西尼奥
José Pinheiro de Azevedo,魏祖承
João do Canto e Castro,若昂·多坎托·伊·卡斯特罗
Vasco da Gama Fernandes,馮偉高
José da Costa Nunes,高若瑟
Francisco de Oliveira Dias,狄方民
Frederico Ferreira Silva,弗雷德里科·费雷拉·席尔瓦
Vítor Pereira Crespo,祁偉濤
Eduardo Marques,馬葵士
Fernando dos Santos Costa,费尔南多·桑托斯·科斯塔
Fernando Nogueira,盧基立
Tiago Ilori,蒂亞戈·伊洛里
Danilo Pereira,达尼洛·佩雷拉
Daniel Podence,丹尼爾·波登塞
João Pedro Rodrigues,朱奧·佩德洛·羅德利蓋斯
Manuel Teixeira Gomes,曼努埃尔·特谢拉·戈梅斯
Carlos Tavares (empresário),唐唯实
Vasco Rocha Vieira,韋奇立
Magdolna Purgly,普格利·瑪格多娜
Duarte Manuel Bello,杜阿尔特·曼努埃尔·贝洛
Ljubinko Drulović,柳宾科·德鲁洛维奇
Sérgio Vieira (marcha),塞吉欧·维埃拉
Fernando Bello,费尔南多·贝洛
Tobias Figueiredo,托比亞斯·費古爾多
Rui Jorge,雷·佐治
Joaquim Pinto Machado,馬俊賢
Pedro Martins (badminton),佩德罗·马丁斯
João Garcia,乔奥·加西亚
Mario Rondón,马里奥·隆东
Jorge Coelho,高偉度
Jaime Silvério Marques,馬濟時
Nadir Afonso,那德爾·亞馮梭
José Menéres Pimentel,卞民狄
Bruma (futebolista),布鲁马·(足球运动员)
António da Madalena,安东尼奥·达·马格达连那
Pansy Ho,何超瓊
Ivan Cavaleiro,伊万·卡瓦莱罗
Francisco de Andrade (velejador),弗朗西斯科·德安德拉德
Pedro Pichardo,佩德罗·巴勃罗·皮查多
Hugo Carreira,乌戈·卡雷拉
Campo de Concentração do Tarrafal,塔拉法尔集中营
Henrique de Senna Fernandes,飛歷奇
Carlos Carvalhal,卡洛斯·卡華路
Diogo de Silves,迪奥戈·德锡尔维什
Fernando Pimenta,费尔南多·皮门塔
Pedro Costa (cineasta),佩德羅·科斯塔
Joaquim Fiúza,若阿金·菲乌萨
Duarte Pio de Bragança,杜阿爾特·皮奧
José Maria de Sousa Horta e Costa,祖斯瑪利亞·蘇沙康德·高士德
José Manuel Quina,若泽·曼努埃尔·基纳
Henrique da Silveira (atleta),恩里克·达西尔韦拉
João Infante,若昂·因凡特
Ivo Ferreira,范思澳
Emanuel Silva,埃马努埃尔·席尔瓦
João Sousa,若昂·索萨·(葡萄牙)
João Franco,若昂·费雷拉·佛朗哥·平托·卡斯特洛-布兰科
Ho Yin,何賢
Hélder Martins,埃尔德·德索萨
António Borges d'Almeida,安东尼奥·博尔热斯
Luís Mena e Silva,路易斯·梅纳-席尔瓦
José Paulino Marecos Mouzinho de Albuquerque,若泽·莫西尼奥
João Cancelo,若奧·坎塞洛
Joaquim Marques Esparteiro,史伯泰
Joaquim Guerra,戈振東
Pedro de Alcântara Gastão de Orléans e Bragança,佩德羅·加斯東·(奧爾良-布拉干薩)
Jaime Pacheco,哈伊梅·帕切科
Pedro Henrique de Orléans e Bragança,佩德羅·恩里克·(奧爾良-布拉干薩)
Nuno Resende,努諾·雷森德
Anthony Lopes,安東尼·盧比斯
José Pedro Braga,布力架
José Sá,若泽·萨
José Caeiro da Mata,若泽·卡埃罗·达马塔
Mário Rui,馬里奧·魯伊
José Carlos da Maia,米那
Tomás de Sousa Rosa,羅沙·(澳門總督)
Frederico Paredes,弗雷德里科·帕雷德斯
Francisco Rolão Preto,弗朗西斯科·罗朗·普雷托
Jerónimo de Sousa,热罗尼莫·德索萨
Rui Bragança,鲁伊·布拉干萨
Ileana D'Cruz,艾莉安娜·迪古斯
Jorge de Paiva,若热·德派瓦
Paulo Cunha,保罗·库尼亚
Ricardo Domingos Barbosa Pereira,列卡度·彭利拿·(1993年)
João de Freitas Cruz,古家龍
Gastão Elias,蓋斯托·埃利亞斯
Maria Ursula d'Abreu e Lencastro,瑪麗亞·烏爾蘇拉·德阿布雷烏·倫卡斯特雷
Miguel Gomes (cineasta),米蓋爾·戈麥斯
Nuno Delgado,努诺·德尔加多
Otávio Monteiro,奧塔維奧·蒙泰羅
Manuel Clemente,厄瑪奴耳·克萊門特
Eduardo Marçal Grilo,基尼路
José Vera Jardim,顧仲德
Nuno Rodrigues dos Santos,申道士
Pedro Correia de Barros,白覺理
Paulo Lowndes Marques,馬保羅
Aníbal Augusto Sanches de Miranda,美蘭德
Manuel da Silva Mendes,文弟士
Paulo Fonseca,保羅·方辛卡
Artur de Almeida Ribeiro,阿图尔·德·阿尔梅达·里贝罗
Henrique Monteiro Correia da Silva,施利華·(官員)
Álvaro de Melo Machado,馬沙度
Carlos Marreiros,馬若龍
Domingos Duarte,多明戈斯·杜阿爾特
Francisco Geraldes,弗朗西斯科·格拉德斯
Rodrigo José Rodrigues,羅德禮
Policarpo da Costa Vaz,高德華
João de Deus Ramalho,羅若望
Sara Sampaio,莎拉·桑帕伊奧
Rúben Pinto,魯本·平托
Ederson Santana de Moraes,艾達臣·摩拉斯
Roque Choi,崔樂其
Pedro G. Ferreira,佩德罗·G·费雷拉
Gonçalo Guedes,岡薩洛·格德斯
Luís Montenegro,路易斯·蒙特内格罗
Francisco Trincão,佛朗西斯科·特林康
Renato Sanches,雷纳托·桑谢斯
Bernardo Silva,貝納多·席爾瓦
André Silva (futebolista),安達·施華
Diogo Jota,迪奧高·祖達
Ivo Oliveira,伊沃·奥利韦拉
Ricardo Horta,里卡多·奧爾塔
Gelson Martins,謝臣·馬田斯
Diogo Abreu,迪奥戈·阿布雷乌
João Félix,若奧·菲利克斯
Domingos Quina,多明戈斯·奎納
Jorge Fonseca,若热·丰塞卡
Rúben Neves,魯本·內維斯
Hélder Bataglia,赫尔德·巴塔利亚·多斯桑托斯
Shao Jieni,邵杰妮
Rafael Ferreira Silva,拉法·席爾瓦
Pedro José Lobo,佩德羅·羅保
Fu Yu,付玉
Gedson Fernandes,謝特臣·費南迪斯
Diogo Dalot,迪奥戈·达洛特
Pedro Neto,佩德羅·奈托
Rafael Leão,拉斐尔·莱昂
Diogo Costa,迪奧戈·科斯塔
Auriol Dongmo,奥丽奥尔·东戈莫
João Geraldo,若昂·热拉尔多
João Palhinha,若昂·帕利尼亚
Pedro Miguel Almeida Lopes Pereira,柏度·彭利拿
José de Azevedo Castelo Branco,若泽·德·白朗谷
Salvador Sobral,萨尔瓦多·索布拉尔
Rui Tiago,魯伊·席爾瓦·(1994年)
Rúben Semedo,魯本·塞梅多
Gonçalo Paciência,貢薩洛·帕先西亞
Nélson Semedo,尼爾遜·施美度
Wilson Manafá,威尔逊·马纳法
Pedro Gonçalves,佩德罗·贡萨尔维斯
David Carmo,大衛·卡爾莫
Tiago Dantas,蒂亞戈·丹塔斯
Hugo Rocha (atleta),乌戈·罗沙
Loïs Openda,羅伊斯·奧彭達
Rúben Dias,魯本·迪亞斯
José Garcia Leandro,李安道
Iúri Leitão,尤里·莱唐
Armando Marques (tiro),阿曼多·马克斯
Maria Martins (ciclista),玛丽亚·马丁斯
Fábio Vieira,法比奥·维埃拉
Alba Baptista,艾芭·巴普蒂斯塔
Daniela Melchior,丹妮拉·梅爾基奧
Gerson Rodrigues,葛森·羅德里格斯
Marcos Paulo Costa do Nascimento,马科斯·保罗
Gonçalo Ramos,贡萨洛·拉莫斯
Nuno Tavares,努諾·塔瓦雷斯
Matheus Nunes,馬修斯·努內斯
Gabriel Martinelli,加布里埃爾·馬丁內利
Fábio Silva (futebolista),法比奥·席尔瓦
Vitinha,維蒂尼亞·(2000年)
Gonçalo Inácio,貢薩洛·伊納西奧
Fábio Carvalho (futebolista),法比奧·卡華路
Nuno Borges,努诺·博尔热斯
Francisco Cabral,弗朗西斯科·卡布拉尔
Nuno Mendes (futebolista),努诺·门德斯
João Neves,祖奧·尼維斯·(足球運動員)
Diogo Ribeiro,迪奥戈·里贝罗
Maro,玛萝
Paulo Raimundo,保罗·雷蒙多
António Silva (futebolista),安東尼奧·席爾瓦
