Osasco,奥萨斯库
Sociedade Esportiva Palmeiras,彭美拉斯體育會
Botafogo de Futebol e Regatas,保地花高足球競賽會
Língua guarani,瓜拉尼語
Fluminense Football Club,富明尼斯足球會
Diamantina,迪亚曼蒂纳
Universidade Federal da Bahia,巴伊亚联邦大学
Duque de Caxias (Rio de Janeiro),卡希亞斯公爵城
Ilha de Marajó,馬拉若島
Juiz de Fora,茹伊斯迪福拉
Campina Grande,大坎皮納
Águas de Lindóia,阿瓜斯迪林多亚
Águas Mornas,阿瓜斯莫纳斯
Águas Lindas de Goiás,戈亚斯州阿瓜斯林达斯
Águas de São Pedro,阿瓜斯-迪圣佩德罗
São José do Povo,圣若泽-杜波武
Arquidiocese de São Sebastião do Rio de Janeiro,天主教里约热内卢的圣巴斯弟盎总教区
João Pessoa,若昂佩索阿
Centro Federal de Educação Tecnológica de Minas Gerais,米納斯吉拉斯科技教育聯邦中心
Vitória (Espírito Santo),维多利亚·(巴西)
Capoeira,卡波耶拉
Itumbiara,伊通比亚拉
Jacuizinho,雅奎濟紐
Catalão (Goiás),卡塔洛
Santos,桑托斯·(巴西)
Diocese de São Gabriel da Cachoeira,天主教聖加布里埃爾-卡舒埃拉教區
Coronel Fabriciano,法布里西亚诺上校城
Bandeira do Brasil,巴西国旗
Santos Futebol Clube,桑托斯足球俱乐部
Sport Club Internacional,國際體育會
Poconé,波科内
Cachoeira do Sul,南卡舒埃拉
Teresina,特雷西納
Salvador,萨尔瓦多·(巴西)
Cataratas do Iguaçu,伊瓜苏瀑布
Goiânia,戈亚尼亚
Taubaté,陶巴特
Seleção Brasileira de Futebol,巴西國家足球隊
Quinze de Novembro,十一月十五日镇
Feira de Santana,費拉迪聖安娜
Ijuí,伊茹伊
Santa Bárbara do Sul,南圣巴巴拉
Sport Club Corinthians Paulista,哥連泰斯保利斯塔體育會
Aracaju,阿拉卡茹
Edifício Itália,意大利大厦
Maceió,马塞约
Uberlândia,烏貝蘭迪亞
Canoas,卡諾阿斯
Igreja de Nossa Senhora da Candelária,坎德拉里亚教堂·(里约热内卢)
Museu de Arte de São Paulo,聖保羅藝術博物館
Campeonatos estaduais de futebol do Brasil,巴西各州足球联赛
Nanuque,纳努克
São Gonçalo (Rio de Janeiro),聖貢薩洛
Ibirubá,伊比鲁巴
Nova Mutum,新穆通
Salto do Jacuí,萨尔图-杜雅库里
Jóia,若亚
São Carlos (São Paulo),聖卡洛斯·(聖保羅州)
Mogi das Cruzes,摩基达斯克鲁易斯市
Minas Gerais,米纳斯吉拉斯州
Associação Portuguesa de Desportos,葡萄牙人竞技俱乐部
Pará,帕拉州
Brasil no Campeonato Mundial de Esportes Aquáticos de 2011,2011年世界游泳锦标赛巴西代表团
Conceição do Canindé,康塞桑-杜卡宁德
Braúnas,布劳纳斯
Arquieparquia de São João Batista em Curitiba dos Ucranianos,烏克蘭希臘禮天主教庫里奇巴聖若翰洗者總教區
Diocese de Palmas-Francisco Beltrão,天主教帕爾馬斯-貝爾德朗教區
Sairé,赛雷·(巴西)
Rialma,里亚尔马
Diocese de Luziânia,天主教卢济阿尼亚教区
Coaraci,科阿拉西
Rosário do Sul,南罗萨里奥
Copa do Brasil de Futebol de 2011,2011年巴西杯
Edifício Altino Arantes,阿尔蒂诺·阿兰特斯大厦
Campo Grande (Mato Grosso do Sul),大坎普
Guarapari,瓜拉帕里
Parque Nacional Serra da Capivara,卡皮瓦拉山脈國家公園
Jaboatão dos Guararapes,熱博阿陶
Guarujá,瓜魯雅
Rio Branco,里約布蘭科
Condado (Paraíba),孔达杜
Xambioá,尚比奥阿
Campeonato Sul-Americano de Futebol de 1919,1919年南美足球錦標賽
São Domingos do Prata,圣多明戈斯杜普拉塔
Autódromo de Interlagos,若澤·卡洛斯·帕塞賽道
Cuiabá,库亚巴
Coroaci,科罗阿西
Vereda (Bahia),韦雷达
Edifício Copan,科潘大厦
Parque Nacional de Ubajara,烏巴雅拉國家公園
Atlético Clube Goianiense,戈亚尼恩斯竞技俱乐部
Esporte Clube Bahia,巴伊亚竞技俱乐部
Saldanha Marinho (Rio Grande do Sul),萨尔达尼亚马里纽
Arara (Paraíba),阿拉拉
Igreja de São Francisco de Assis (Belo Horizonte),圣方济各堂·(贝洛奥里藏特)
Alto Longá,上隆加
Conceição de Ipanema,康塞桑-迪伊帕内马
Olímpia (São Paulo),奥林匹亚·(圣保罗州)
Brazabrantes,布拉扎布兰特斯
Adidas Brazuca,巴西榮耀
Paraíba,帕拉伊巴州
Eliminatórias da Copa do Mundo FIFA de 2014 - Oceania,2014年國際足協世界盃外圍賽·(大洋洲區)
Aspásia (São Paulo),阿斯帕夏
Instituto Brasileiro de Geografia e Estatística,巴西国家地理与统计局
Balbinos,巴尔比努斯·(巴西)
Bananal,巴纳纳尔
Cabrália Paulista,卡布拉利亚保利斯塔
Bady Bassitt,巴迪巴西特
Mateus Leme,马特乌斯莱米
Axixá,阿希沙
Dilermando de Aguiar,迪勒尔曼杜-迪阿吉亚尔
Chimarrão,瑪黛茶
Copacabana,科帕卡巴纳
Dumont,杜蒙特
Auriflama,奥里夫拉马
Boa Esperança do Sul,南博阿埃斯佩兰萨
São Paulo Futebol Clube,聖保羅足球會
Foz do Iguaçu,福斯-杜伊瓜苏
Catedral Metropolitana de Brasília,巴西利亞主教座堂
Serra da Mantiqueira,曼蒂凱拉山脈
Lista de municípios do Piauí,皮奧伊州市鎮列表
Transportes do Brasil,巴西交通
Clube Atlético Mineiro,米内罗竞技俱乐部
Corumbá,科倫巴
Contagem,孔塔任
Alegrete do Piauí,皮奥伊州波塔莱格雷
Glória (Bahia),格洛里亚
São Caetano de Odivelas,聖卡埃塔諾德奧迪韋拉斯
Jaguari,雅瓜里
Paranapuã,帕拉纳普昂
Seleção Brasileira de Voleibol Feminino,巴西国家女子排球队
Turiaçu,图里亚苏
Seleção Brasileira de Voleibol Masculino,巴西國家男子排球隊
Brasiléia,巴西萊亞
Ordinariado Militar do Brasil,天主教巴西軍中教長區
Esporte Clube Vitória,维多利亚体育俱乐部
Rio Grande do Sul,南里奥格兰德州
Rodovia Pan-Americana,泛美公路
São Vicente (São Paulo),聖維森特·(聖保羅州)
.br,.br
Presidente Dutra (Maranhão),杜特拉總統鎮·(馬拉尼昂州)
Capitão Gervásio Oliveira,热瓦西奥·奥利维拉上尉镇
Arcoverde,阿尔科韦迪
Red Bull Bragantino II,巴西紅牛
Hino da Independência do Brasil,獨立頌
Lauro de Freitas,劳鲁-迪弗雷塔斯
Caratinga,卡拉廷加
Oiapoque,奧亞波基
Peruíbe,佩鲁伊比
Aceguá,阿塞瓜
Teresina de Goiás,戈亚斯州特雷西纳
Mairipotaba,迈里波塔巴
Aloândia,阿洛安迪亚
Buriti de Goiás,戈亚斯州布里蒂
Cachoeira Alta,上卡舒埃拉
Hidrolândia (Goiás),伊德羅蘭迪亞·(戈亞斯州)
União da Vitória,乌尼昂-达维多利亚
Três Ranchos,特雷斯兰舒斯
Firminópolis,菲尔米诺波利斯
Matrinchã,马特林尚
Resende (Rio de Janeiro),雷森迪
Congonhas,孔戈尼亚斯
Jundiaí,永贾伊
Volta Redonda,沃尔塔雷东达
Jarinu,雅里努
São Cristóvão do Sul,南圣克里斯托旺
Salgado Filho,萨尔加杜-菲柳
Derrubadas,德鲁巴达斯
Crucilândia,克鲁西兰迪亚
Aeroporto Internacional de Brasília,巴西利亚-儒塞利诺·库比契克总统国际机场
Butiá (Rio Grande do Sul),布蒂亚
Instituto de Matemática Pura e Aplicada,纯数学与应用数学国家研究所
São Joaquim (Santa Catarina),圣若阿金
Braço do Norte,北布拉索
Guaratinguetá,瓜拉廷格塔
Esporte Clube Juventude,青年人體育會
Estádio Governador Magalhães Pinto,米内罗体育场
Campos Belos,坎普斯贝卢斯
Santa Fé do Araguaia,阿拉瓜亚河畔圣菲
Petrolina de Goiás,戈亚斯州佩特罗利纳
Santa Bárbara de Goiás,戈亚斯州圣巴巴拉
Santa Cruz Cabrália,圣克鲁斯-卡布拉利亚
Juti,茹蒂
Cocalzinho de Goiás,戈亚斯州科卡尔济纽
São Miguel do Gostoso,圣米格尔-杜戈斯托苏
Porteirão,波尔泰朗
Cidade Ocidental,西部城
São João d'Aliança,圣若昂-达利安萨
Vila Propício,维拉普罗皮休
Campo Limpo de Goiás,戈亚斯州坎普林普
São Miguel do Araguaia,圣米格尔-杜阿拉瓜亚
Lista de municípios de Rondônia,朗多尼亞州市鎮列表
Itarumã,伊塔鲁芒
Ceará,塞阿拉州
Goianira,戈亚尼拉
Sambódromo da Marquês de Sapucaí,薩普卡伊侯爵森巴場
Amapá,阿馬帕州
Lista de municípios da Bahia,巴伊亞州市鎮列表
Amazonas,亚马孙州·(巴西)
Cerrado,塞拉多
São João Nepomuceno (Brasil),圣若昂-内波穆塞努
Sant'Ana do Livramento,圣安娜-利弗拉门图
Belo Campo,贝洛坎波
Alumínio (São Paulo),阿卢米尼奥
Itaberá,伊塔贝拉·(巴西)
Piripiri (Piauí),皮里皮里
Santiago (Rio Grande do Sul),聖地牙哥·(南里奧格蘭德州)
Monsenhor Paulo,蒙塞纽尔保罗
Arenópolis,阿雷诺波利斯
Ibitiúra de Minas,伊比蒂乌拉-迪米纳斯
Paraúna,帕拉乌纳
Final da Copa América de 2007,2007年美洲國家盃決賽
Boa Esporte Clube,博阿竞技俱乐部
Serro,塞鲁·(巴西)
Raul Soares,劳尔索阿里斯
Bernardino de Campos,贝纳迪努-迪坎普斯
Quixeramobim,基谢拉莫宾
Caxias (Maranhão),卡希亚斯
Ponte Nova,蓬蒂诺瓦
Fronteira (Minas Gerais),弗龙泰拉
Arquidiocese de Vitória do Espírito Santo,天主教维多利亚总教区
Nova Mamoré,新馬莫雷
Ouro Verde de Goiás,戈亚斯州欧鲁韦尔迪
Rio Guaporé,瓜波雷河
Dores do Rio Preto,多雷斯杜里奧普雷托
Miracema do Tocantins,托坎廷斯州米拉塞马
Alecrim (Rio Grande do Sul),阿莱克里姆
Paulínia,保利尼亚
Canela (Rio Grande do Sul),卡內拉·(南里約格朗德州)
Flamengo (bairro do Rio de Janeiro),弗拉门戈
Santa Rosa (Rio Grande do Sul),圣罗莎·(南里奥格兰德州)
Diocese de Quixadá,天主教基沙达教区
Diocese de Colatina,天主教科拉蒂纳教区
Crissiumal,克里西乌马尔
Caarapó,卡拉波
Teixeira de Freitas,泰谢拉-迪弗雷塔斯
Batalhão de Operações Policiais Especiais (PMERJ),特別警察行動營
Baía Formosa,巴伊亚福尔莫萨
Ilha do Bananal,巴纳纳尔岛
Lajinha,拉日尼亚
Santa Cruz do Arari,聖克魯斯杜阿拉里
Bacurituba,巴库里图巴
Arena da Amazônia,亞馬遜競技場
Aiuaba,艾瓦巴
Arena Pantanal,潘塔納爾競技場
Diocese de Uruaçu,天主教乌鲁阿苏教区
Nova Castilho,新卡斯蒂柳
Erechim,埃雷欣
Capela de Santana,卡佩拉迪桑塔纳
Manga (Minas Gerais),曼加
Caldeirão Grande,大卡尔代朗
Paraguaçu (Minas Gerais),帕拉瓜苏
Diocese de Cachoeiro de Itapemirim,天主教卡舒埃鲁迪伊塔佩米林教区
São José do Brejo do Cruz,圣若泽-杜布雷若-杜克鲁斯
Diamante (Paraíba),迪亚曼蒂·(市镇)
São Francisco de Sales (Minas Gerais),圣弗朗西斯科迪萨利斯
Duque Bacelar,杜克巴塞拉尔
Coari,夸里
Canudos do Vale,卡努杜斯杜瓦莱
Caraúbas (Paraíba),卡劳巴什
Independência (Ceará),独立城·(塞阿拉州)
Discurso direto,直接引语
Belém do Brejo do Cruz,贝伦杜布雷若杜克鲁兹
Conde (Bahia),孔迪
Gouvelândia,戈韦兰迪亚
Montes Claros de Goiás,蒙蒂斯克拉魯斯迪戈亞斯
Formosa (Goiás),福莫薩·(戈亞斯州)
ABC Futebol Clube,ABC足球俱乐部
Rio Quente,熱河市
Balneário Piçarras,巴内阿里约皮萨拉斯
Colinas do Sul,南科利纳斯
Mossâmedes,莫萨梅迪斯
Nova Roma,新羅馬·(巴西)
Mozarlândia,莫扎兰迪亚
Rio Claro (São Paulo),里奧克拉魯·(聖保羅州)
Associação Desportiva São Caetano,聖卡坦奴體育會
Gameleira de Goiás,戈亚斯州加梅莱拉
Cunha (São Paulo),库尼亚
Joviânia,若维亚尼亚
Tabapuã,塔巴普昂
Mundo Novo (Goiás),新蒙杜·(戈亞斯州)
Cristianópolis,克里斯蒂亚诺波利斯
Marialva (Paraná),马里亚尔瓦
São Luiz Gonzaga,圣路易斯-贡萨加
Theobroma,西奧布羅馬·(朗多尼亞州)
Sobradinho (Bahia),索布拉迪紐·(巴伊亞州)
Ipuaçu,伊普阿苏
Graccho Cardoso,格拉舒卡爾多蘇
Mata de São João,马塔迪圣若昂
Parque Nacional dos Lençóis Maranhenses,倫索伊斯-馬拉年塞斯國家公園
Witmarsum,维特马尔孙
Ouvidor (Goiás),欧维杜尔
Montenegro (Rio Grande do Sul),蒙特内格鲁
Ipatinga,伊帕廷加
Bragança (Pará),布拉甘薩·(帕拉州)
Pernambuco,伯南布哥州
Embu das Artes,恩布達斯阿爾特斯
Carolina (Maranhão),卡罗利纳·(巴西)
Dourados,多拉杜斯
Timbiras (Maranhão),廷比拉斯
São José de Ribamar,圣若泽-迪里巴马尔
Salinópolis,薩利諾波利斯
São João da Barra,圣若昂达巴拉
Estância (Sergipe),埃斯坦西亞
Xavantina,沙万蒂纳
Remígio,雷米吉乌
Diocese de Teófilo Otoni,天主教特奥菲卢奥托尼教区
Bahia,巴伊亞州
Manaus,马瑙斯
Mirassol,米拉索尔
Salto Veloso,萨尔图-韦洛苏
Atílio Vivácqua (Espírito Santo),阿蒂利烏維瓦夸
Porto Alegre,阿雷格里港
Paranaiguara,帕拉奈瓜拉
Padre Bernardo,帕德里-贝尔纳多
Goiandira,戈扬迪拉
Professor Jamil,哈米尔教授镇
Urutaí,乌鲁塔伊
Itapetinga,伊塔佩廷加
Ipuiuna,伊普尤纳
Sanclerlândia,桑克莱兰迪亚
Chuvisca,舒维斯卡
Cruzeiro (São Paulo),克鲁赛罗
Tiradentes (Minas Gerais),蒂拉登特斯·(米纳斯吉拉斯州)
Santa Cruz da Conceição,圣克鲁斯-达康塞桑
Santa Inês (Paraíba),聖伊內斯·(帕拉伊巴州)
Feliz Deserto,费利斯德塞图
Divinópolis do Tocantins,托坎廷斯州迪维诺波利斯
Ielmo Marinho,耶穆马里纽
Seleção Brasileira de Basquetebol Masculino,巴西國家男子籃球隊
Eldorado (São Paulo),埃尔多拉多·(圣保罗州)
Senador José Bento,若泽·本图参议员镇
Rio de Janeiro (estado),里約熱內盧州
Parque Nacional do Jaú,雅乌国家公园
Vila Velha,韦利亚镇
Goiás,戈亚斯州
Mauá,毛阿
Abrolhos,阿布羅略斯群島
Estádio Nacional de Brasília Mané Garrincha,巴西利亞國家體育場
Água Doce do Norte,北阿瓜多西
Palmitinho,帕尔米蒂纽
Canudos,卡努杜斯
Bienal Internacional de Arte de São Paulo,圣保罗双年展
Jaguaribe,雅瓜里貝
Saquarema,萨夸雷马
Cidelândia,锡德兰迪亚
Nova Olinda do Maranhão,马拉尼昂州新奥林达
Peixe (Tocantins),佩希
Avenida Paulista,圣保罗人大道
Santa Catarina,圣卡塔琳娜州
Palmeiras (Bahia),帕尔梅拉斯·(巴伊亚州)
Guaraciama,瓜拉西亚马
Brodowski,布罗多夫斯基·(圣保罗州)
São Lourenço do Sul,南圣洛伦索
Novo Hamburgo,新漢堡
Metrô de Salvador,薩爾瓦多地鐵
Monte Alegre de Goiás,戈亚斯州蒙蒂阿莱格里
Tambaú,坦巴乌
Lago dos Rodrigues,拉戈-杜斯罗德里格斯
Central de Minas,森特拉尔-迪米纳斯
Batatais,巴塔泰斯
Crisólita,克里索利塔
Quatro Barras,夸特鲁巴拉斯
Casinhas,卡西尼亚斯
São Pedro (São Paulo),聖佩德羅·(聖保羅州)
Tanabi,塔纳比
Estádio Serra Dourada,塞拉多拉达体育场
Lauro Müller (Santa Catarina),劳鲁米莱
Igarapé-Miri,伊加拉佩米里
Ataléia (Minas Gerais),阿塔莱亚
São João da Boa Vista,聖若昂達博阿維斯塔
Juruá,茹魯阿·(亞馬遜州)
Canindé (Ceará),卡宁德
Davinópolis (Goiás),达维诺波利斯·(戈亚斯州)
Pomerode,波梅罗迪
Brusque,布鲁斯基
Guarapuava,瓜拉普阿瓦
Santo Amaro da Imperatriz,圣阿马鲁-达因佩拉特里斯
Acre,阿克里州
Júlio Borges,茹利乌-博尔热斯
Arquidiocese de Diamantina,天主教迪亚曼蒂纳总教区
Itaubal,伊塔烏巴爾
Colinas (Maranhão),科利纳斯·(马拉尼昂州)
Estádio Beira-Rio,河岸球場
Ingá (Paraíba),因加·(巴西)
Pedro Alexandre,佩德羅-亞歷山大
Alvinópolis,阿尔维诺波利斯
IEs4Linux,IEs4Linux
Casa Stefan Zweig,斯蒂芬·茨威格故居
Jardim (Ceará),雅尔丁
Guapirama,瓜皮拉马
Itajá (Goiás),伊塔雅
Caturaí,卡图拉伊
Lago da Pedra,拉古-达佩德拉
Uirapuru (Goiás),维拉普鲁
Alagoas,阿拉戈斯州
Diocese de Juazeiro,天主教茹阿泽鲁教区
Morros (Maranhão),莫鲁斯
Fernão (São Paulo),费尔南
Itaquaquecetuba,伊塔夸克塞圖巴
Piracicaba,皮拉西卡巴
Abadia de Goiás,阿巴迪亚德戈亚斯
Lobato (Paraná),洛巴托
Duartina,杜阿尔蒂纳
Rochedo de Minas,罗谢杜-迪米纳斯
Diadema,迪亞德馬
Ivaiporã,伊瓦伊波朗
Montes Claros,蒙蒂斯克拉鲁斯
Abadiânia,阿巴迪亚尼亚
Paraíba do Sul,南帕莱巴
Altair (São Paulo),阿爾泰·(聖保羅州)
Pontifícia Universidade Católica de Minas Gerais,米纳斯吉拉斯州天主教大学
Ubá,乌巴·(米纳斯吉拉斯州)
Nova Veneza (Goiás),新韦内扎·(戈亚斯州)
Planaltina (Goiás),普拉纳蒂纳
Futebol do Brasil,巴西足球运动
Humaitá (Rio Grande do Sul),乌迈塔
Pesqueira,佩斯凯拉
Cachoeira Dourada (Goiás),卡舒埃拉多拉达·(戈亚斯州)
Serrinha (Bahia),塞里尼亚·(巴西)
Diorama (Goiás),迪奥拉马
Crato (Ceará),克拉图
Panamá (Goiás),帕纳马
Teixeira (Paraíba),特谢拉·(帕拉伊巴州)
Taquaral de Goiás,戈亚斯州塔夸拉尔
Juruti,茹魯蒂·(帕拉州)
Caetés (Pernambuco),卡埃特斯
Rolândia,罗兰迪亚
Nova Aurora (Goiás),新奧羅拉·(戈亞斯州)
Valença (Rio de Janeiro),瓦倫薩·(里約熱內盧州)
Mirante do Vale,觀谷大廈
Maranhão,马拉尼昂州
Piauí,皮奧伊州
Roraima,羅賴馬州
Novo Horizonte (Santa Catarina),新奧里藏特·(聖卡塔琳娜州)
Aeroporto Internacional de Salvador,萨尔瓦多-路易斯·爱德华多·马加良斯议员国际机场
Paranaíba,帕拉納伊巴
Itaju,伊塔茹
Academia Brasileira de Letras,巴西文学院
Materlândia,马特兰迪亚·(米纳斯吉拉斯州)
América Futebol Clube (Belo Horizonte),阿美利加明尼路
Igrejinha,伊格雷日尼亚
Divinópolis,迪维诺波利斯
Itapecerica da Serra,伊塔佩塞里卡-达塞拉
