Россия,ロシア
Липецк,リペツク
Кур (приток Тунгуски),クル川・(ハバロフスク地方)
Омская область,オムスク州
Новосибирская область,ノヴォシビルスク州
Внешняя политика России,ロシアの国際関係
Селенга,セレンガ川
Мурманская область,ムルマンスク州
Мурманск,ムルマンスク
Тамбовская область,タンボフ州
Ростовская область,ロストフ州
Калининград,カリーニングラード
Алтайский край,アルタイ地方
Краснодар,クラスノダール
Республика Алтай,アルタイ共和国
Яна (река),ヤナ川
Архангельск,アルハンゲリスク
Евразийская степь,ユーラシア・ステップ
Барнаул,バルナウル
Енисей,エニセイ川
Алтайские горы,アルタイ山脈
Янтарный,ヤンタルヌイ
Беловежские соглашения,ベロヴェーシ合意
Горно-Алтайск,ゴルノ＝アルタイスク
Кызыл,クズル
Кемерово,ケメロヴォ
Кама,カマ川
Мезень (река),メゼニ川
Урал (река),ウラル川
Петрозаводск,ペトロザヴォーツク
Карелия,カレリア共和国
Майкоп,マイコープ
Волгоградская область,ヴォルゴグラード州
Колыма,コリマ川
Онега (река),オネガ川
Архангельская область,アルハンゲリスク州
Краснодарский край,クラスノダール地方
Адыгея,アディゲ共和国
Ханты-Мансийский автономный округ — Югра,ハンティ・マンシ自治管区・ユグラ
Кемеровская область,ケメロヴォ州
Триумф-Палас,トライアンフ・パレス
Вологда,ヴォログダ
Курильские острова,千島列島
Ханты-Мансийск,ハンティ・マンシースク
Ямало-Ненецкий автономный округ,ヤマロ・ネネツ自治管区
Новая Земля,ノヴァヤゼムリャ
Маньчжурия,満洲
Вологодская область,ヴォログダ州
Астрахань,アストラハン
Республика Коми,コミ共和国
Самарский метрополитен,サマーラ地下鉄
Астраханская область,アストラハン州
Калмыкия,カルムイク共和国
Хакасия,ハカス共和国
Салехард,サレハルド
Череповец,チェレポヴェツ
Арчинцы,アルチ人
Население России,ロシアの人口統計
Пясина,ピャシナ川
Тотьма,トチマ
Сыктывкар,スィクティフカル
Убсу-Нур,ウヴス・ヌール
Таз (река),タズ川
Пур,プル川
Элиста,エリスタ
Ненецкий автономный округ,ネネツ自治管区
Приморский край,沿海地方
Красноярский край,クラスノヤルスク地方
Иркутск,イルクーツク
Нарьян-Мар,ナリヤン・マル
Боровичи,ボロヴィチ
Боровск,ボロフスク
Иркутская область,イルクーツク州
Фигурное катание на зимних Олимпийских играх 2014,2014年ソチオリンピックのフィギュアスケート競技
Хатанга (река),ハタンガ川
Хоккей с шайбой на зимних Олимпийских играх 2014,2014年ソチオリンピックのアイスホッケー競技
Хабаровск,ハバロフスク
Теракт на Дубровке,モスクワ劇場占拠事件
Якутия,サハ共和国
Братск,ブラーツク
Бронницы,ブロンニツィ
Псковская область,プスコフ州
Сызрань,シズラニ
Абхазский язык,アブハズ語
Улан-Удэ,ウラン・ウデ
Псков,プスコフ
Ленинградская область,レニングラード州
Буинск (Татарстан),ブインスク
Якутск,ヤクーツク
Бурятия,ブリヤート共和国
Эрмитаж,エルミタージュ美術館
Бугульма,ブグリマ
Буй (город),ブイ・(ロシア)
Буйнакск,ブイナクスク
Валдай,ヴァルダイ
Забайкальский край,ザバイカリエ地方
Государственный музей изобразительных искусств имени А. С. Пушкина,プーシキン美術館
Великий Новгород,ノヴゴロド
Дагестан,ダゲスタン共和国
Амур,アムール川
Велиж,ヴェリジ
Венёв,ヴェニョーフ
Углегорск (Сахалинская область),ウグレゴルスク・(サハリン州)
Грозный,グロズヌイ
UTC%2B7:00,UTC%2B7
UTC%2B10:00,UTC%2B10
Дальнегорск,ダリネゴルスク
Гатчина,ガッチナ
Махачкала,マハチカラ
Чечня,チェチェン共和国
Унеча,ウネーチャ
Урус-Мартан,ウルス・マルタン
Удачный,ウダーチヌイ
Углич,ウグリチ
Удомля,ウドムリャ
Коломна,コロムナ
Ставрополь,スタヴロポリ
Ставропольский край,スタヴロポリ地方
Севастополь,セヴァストポリ
Гатчинский район,ガッチナ地区
Магас,マガス
Верхоянск,ベルホヤンスク
Ингушетия,イングーシ共和国
Вилючинск,ヴィリュチンスク
Вичуга,ヴィチュガ
Волгодонск,ヴォルゴドンスク
Амурская область,アムール州
Узловая,ウズロヴァヤ
Благовещенск,ブラゴヴェシチェンスク
Усть-Кут,ウスチ＝クート
Устюжна,ウスチュジナ
Ухта,ウフタ
Уссурийск,ウスリースク
Усть-Илимск,ウスチ＝イリムスク
Видное,ヴィドノエ
Весьегонск,ヴェシエゴンスク
Северная Осетия,北オセチア共和国
Вилюйск,ヴィリュイスク
Pussy Riot,プッシー・ライオット
Владикавказ,ウラジカフカス
Нальчик,ナリチク
Бокситогорский район,ボクシトゴルスク地区
Острог,オストログ・(要塞)
Московский Кремль,クレムリン
Болгары,ブルガリア人
Фурманов (город),フルマノフ
Фрязино,フリャジノ
Фокино (Брянская область),フォーキノ・(ブリャンスク州)
Фокино (Приморский край),フォーキノ・(沿海地方)
Кабардино-Балкария,カバルダ・バルカル共和国
Яндекс,ヤンデックス
Черкесск,チェルケスク
Кингисеппский район,キンギセップ地区
Коммунар (Гатчинский район),コムナル・(レニングラード州)
Еврейская автономная область,ユダヤ自治州
Новокузнецк,ノヴォクズネツク
Федерация (комплекс небоскрёбов),フェデレーション・タワー
Волгореченск,ヴォルゴレチェンスク
Карачаево-Черкесия,カラチャイ・チェルケス共和国
Набережные Челны,ナーベレジヌイェ・チェルヌイ
Воркута,ヴォルクタ
Химки,ヒムキ
Холм (город),ホルム
Холмск,ホルムスク
Саратов,サラトフ
Саратовская область,サラトフ州
Оренбург,オレンブルク
Магнитогорск,マグニトゴルスク
Камчатка (река),カムチャツカ川
Воскресенск,ヴォスクレセンスク
Карабаново,カラバノヴォ
Русский язык,ロシア語
Воткинск,ヴォトキンスク
Биробиджан,ビロビジャン
Нижний Тагил,ニジニ・タギル
Мордовия,モルドヴィア共和国
Хабаровский край,ハバロフスク地方
Сахалин,樺太
Волжский,ヴォルシスキー
Чайковский (город),チャイコフスキー・(ペルミ地方)
Чапаевск,チャパエフスク
Оренбургская область,オレンブルク州
Вышний Волочёк,ヴイシニー・ヴォロチョーク
Вяземский (город),ヴャーゼムスキー
Битцевский лес,ビツァ公園
Чекалин (город),チェカリン
Саранск,サランスク
Сахалинская область,サハリン州
Киров,キーロフ
Айны,アイヌ
Великие Луки,ヴェリーキエ・ルーキ
Луганск,ルハーンシク
Вязники,ヴャズニキ
Гаврилов-Ям,ガヴリロフ＝ヤム
Удмуртия,ウドムルト共和国
Ижевск,イジェフスク
Южно-Сахалинск,ユジノサハリンスク
Болгарский язык,ブルガリア語
Кировская область,キーロフ州
Пермский край,ペルミ地方
Вязьма,ヴャジマ
Волоколамск,ヴォロコラムスク
Ковров,コヴロフ
Ельня,エリニャ
Крым,クリミア半島
Чудово,チュドヴォ
Чкаловск (Нижегородская область),チカロフスク
Сибирь,シベリア
Городец,ゴロジェッツ
Чухлома,チューフロマ
Киришский район,キリシ地区
Шахтёрск (Россия),シャフチョルスク
Шарья,シャリヤ・(ロシア)
Дмитров,ドミトロフ
Гдов,グドフ
Глазов,グラゾフ
Елец,エレツ
Гагарин (Смоленская область),ガガーリン・(スモレンスク州)
Галич (Россия),ガーリチ・(ロシア)
Чистополь,チストポリ
Чехов (город),チェーホフ・(モスクワ州)
Марий Эл,マリ・エル共和国
Камчатский край,カムチャツカ地方
Бийск,ビイスク
Петропавловск-Камчатский,ペトロパブロフスク・カムチャツキー
Газпром,ガスプロム
Кировский район (Ленинградская область),キロフスク地区
Пушкин (город),プーシキン・(町)
Гороховец,ゴロホヴェツ
Фридландское сражение,フリートラントの戦い
Кемерово (аэропорт),ケメロヴォ国際空港
Шахты,シャフティ
Магадан,マガダン
Магаданская область,マガダン州
Азнакаево,アズナカエヴォ
Агрыз,アグルィズ
Гудермес,グデルメス
Азов,アゾフ
Щёкино,シチョーキノ
Камов (конструкторское бюро),カモフ
Шуя,シューヤ
Приозерск,プリオゼルスク
Карачаевцы,カラチャイ人
Анадырь,アナディリ
Гурьевск (Калининградская область),グリエフスク・(カリーニングラード州)
Чукотский автономный округ,チュクチ自治管区
Море Лаптевых,ラプテフ海
Давлеканово,ダブレカノボ
Гусь-Хрустальный,グシ＝フルスタリヌイ
Алдан (город),アルダン
Щёлково,シチョルコヴォ
Александров (город),アレクサンドロフ・(都市)
Энгельс (город),エンゲリス
Флаги субъектов Российской Федерации,ロシアの地方旗一覧
Наука (издательство),ナウカ・(ロシアの出版社)
Иж (приток Камы),イジ川
Комсомолец (остров),コムソモレツ島
Протон (ракета-носитель),プロトン・(ロケット)
Грузинский язык,グルジア語
Дальнереченск,ダリネレチェンスク
Данилов (город),ダニーロフ
Электрогорск,エレクトロゴルスク
Электросталь,エレクトロスタリ
Алтайцы,アルタイ人
Административно-территориальное деление Ленинградской области,レニングラード州の行政区画
58-я гвардейская общевойсковая армия,第58親衛諸兵科連合軍・(ロシア陸軍)
Электроугли,エレクトロウグリ
Демидов (город),デミドフ
Дедовск,デドフスク
Десногорск,デスノゴルスク
Александровск-Сахалинский,アレクサンドロフスク・サハリンスキー
Алексин,アレクシン
Печора,ペチョラ川
Северная Двина,北ドヴィナ川
Юрга,ユルガ
Петербургский метрополитен,サンクトペテルブルク地下鉄
Альметьевск,アリメチエフスク
Амурск,アムールスク
Димитровград (Россия),ディミトロフグラード
Дмитровск,ドミトロフスク
Медный (остров),メードヌイ島
Ангарск,アンガルスク
Дзержинский (город),ジェルジンスキー・(モスクワ州)
Донавиа,ドンアヴィア
Новатэк,ノヴァテク
Патомское нагорье,パトム高地
Юрьев-Польский,ユーリエフ・ポリスキー
Западная Двина,ダウガヴァ川
Андреаполь,アンドレアポリ
Анива (город),アニワ
Домодедово (город),ドモジェドヴォ
Долинск,ドリンスク
Долгопрудный,ドルゴプルドニ
Юхнов,ユーフノフ
Дно (город),ドノー
Апатиты,アパチートゥイ
Ярцево,ヤールツェヴォ
Ясногорск (Тульская область),ヤスノゴルスク
Чуваши,チュヴァシ人
Идиш,イディッシュ語
Армянский язык,アルメニア語
Апрелевка,アプレレフカ
Дубна,ドゥブナ
Донской (город),ドンスコイ・(トゥーラ州)
Дорогобуж,ドロゴブージ
Клипер (космический корабль),クリーペル
"Динамо (стадион, Махачкала)",ディナモ・スタジアム・(マハチカラ)
Ловать,ロヴァチ川
Украинский язык,ウクライナ語
Белорусский язык,ベラルーシ語
Греческий язык,ギリシア語
Ейск,エイスク
Егорьевск,エゴリエフスク
Яблоновый хребет,ヤブロノヴイ山脈
Елабуга,エラブガ
Духовщина,ドゥホフシチーナ
Дудинка,ドゥディンカ
Площадка 31,バイコヌール宇宙基地31番射点
Приамурье,外満洲
Ханка,ハンカ湖
Автомобильные дороги России федерального значения,ロシア連邦道路
Газпром-медиа,ガスプロム・メディア
Прохоровка,プロホロフカ
Объединённый институт ядерных исследований,ドゥブナ合同原子核研究所
Арск,アルスク
Арсеньев (город),アルセーニエフ
Арзамас,アルザマス
Артём (город),アルチョーム
Дятьково,ジャチコヴォ
.рф,.рф
Воскресенские ворота,ヴァスクレセンスキー門
Группа советских войск в Германии,ドイツ駐留ソ連軍
Новосибирские острова,ノヴォシビルスク諸島
Персидский язык,ペルシア語
Асбест (город),アスベスト市
Елизово,エリゾヴォ
Асино,アシノ
Енисейск,エニセイスク
Лужники (стадион),ルジニキ・スタジアム
Приволжский федеральный округ,沿ヴォルガ連邦管区
Укок,ウコク高原
Угра,ウグラ川
Хор (река),ホール川
Корейский язык,朝鮮語
Ачинск,アチンスク
Ахтубинск,アフトゥビンスク
Железноводск,ジェレズノヴォツク
Ефремов (город),イェフレーモフ
Красная Поляна,クラースナヤ・ポリャーナ
Десна (приток Днепра),デスナ川
Ессентуки,エセントゥキ
Министерство юстиции Российской Федерации,ロシア司法省
Имандра,イマンドラ湖
Казахский язык,カザフ語
Бавлы,バヴルィ
Багратионовск,バグラティオノフスク
Железнодорожный (Балашиха),ジェレズノドロジュニ
Саяны,サヤン山脈
Ильмень,イリメニ湖
Дом Павлова,パヴロフの家
Российская национальная библиотека,ロシア国立図書館・(サンクトペテルブルク)
Большой Санкт-Петербургский государственный цирк,ボリショイ・サンクトペテルブルク国立サーカス
Игнатьево (аэропорт),イグナチェヴォ空港
Взрывы в Московском метрополитене (2010),モスクワ地下鉄爆破テロ・(2010年)
Арбат,アルバート通り
Зимние Олимпийские игры 2014,2014年ソチオリンピック
Евровидение-2009,ユーロビジョン・ソング・コンテスト2009
Балашиха,バラシハ
Балахна,バラフナ
Ракетно-космический центр «Прогресс»,プログレス国家研究生産ロケット宇宙センター
Жуковский (город),ジュコーフスキー・(モスクワ州)
Заводоуковск,ザヴォドウコフスク
Ангарский трамвай,アンガルスク市電
"Киевская (станция метро, Кольцевая линия)",キエフスカヤ駅・(環状線)
Новосибирский метрополитен,ノヴォシビルスク地下鉄
Узбекский язык,ウズベク語
Даргинцы,ダルギン人
Внуково (аэропорт),ヴヌーコヴォ国際空港
Ледовый спортивный комплекс ЦСКА имени В. М. Боброва,CSKAアイスアリーナ
Острова Диомида,ダイオミード諸島
Жуковка (город),ジューコフカ
Жиздра (город),ジズドラ
Жуков (город),ジューコフ・(カルーガ州)
Сбербанк России,ロシア貯蓄銀行
Корякский округ,コリャーク管区
Азербайджанский язык,アゼルバイジャン語
Байкальск,バイカリスク
Балабаново,バラバノヴォ
Кижи (остров),キジ島
День Победы,戦勝記念日・(5月9日)
Новодевичий монастырь,ノヴォデヴィチ女子修道院
Берингов пролив,ベーリング海峡
Барабинск,バラビンスク
Бежецк,ベジェツク
Батайск,バタイスク
Заинск,ザインスク
Западная Двина (город),ザパドナヤ・ドヴィナ
Заволжск,ザヴォルシスク
Соловецкие острова,ソロヴェツキー諸島
Амкар,FCアムカル・ペルミ
"Локомотив (хоккейный клуб, Ярославль)",ロコモティフ・ヤロスラヴリ
"Крылья Советов (футбольный клуб, Самара)",クリリヤ・ソヴェトフ・サマーラ
Смоленская операция (1943),スモレンスクの戦い・(1943年)
Русская кухня,ロシア料理
Белёв,ベリョーフ
Московский государственный университет,モスクワ大学
Зарайск,ザライスク
Онон,オノン川
Путорана,プトラナ台地
Ленские столбы,レナ川の柱群
Мариинский театр,マリインスキー劇場
Буряты,ブリヤート人
Ульчский язык,ウリチ語
Удмуртский язык,ウドムルト語
Сибинский диалект,シベ語
Удэгейский язык,ウデヘ語
Колтта-саамский язык,スコルト・サーミ語
Нанайский язык,ナナイ語
Белозерск,ベロゼルスク
Белогорск (Амурская область),ベロゴルスク
Беломорск,ベロモルスク
Белый (город),ベールイ・(ロシア)
Звенигород,ズヴェニゴロド
Теракт в аэропорту Домодедово,ドモジェドヴォ空港爆破事件
Вайгач,ヴァイガチ島
Зеленоград,ゼレノグラード
Казбек,カズベク山
Московское большое кольцо,モスクワ大環状道路
Мокшанский язык,モクシャ語
Курган (город),クルガン・(都市)
Выборг,ヴィボルグ
Луга (река),ルーガ川
Башкирский язык,バシキール語
Россия на летних Олимпийских играх 2012,2012年ロンドンオリンピックのロシア選手団
Московский вокзал (Санкт-Петербург),モスコーフスキー駅
Россия на летних Олимпийских играх 2008,2008年北京オリンピックのロシア選手団
Зеленодольск,ゼレノドリスク
Россия на зимних Олимпийских играх 2010,2010年バンクーバーオリンピックのロシア選手団
Большой театр,ボリショイ劇場
Усть-Ордынский Бурятский автономный округ,ウスチオルダ・ブリヤート自治管区
Камчатская область,カムチャツカ州
Командорские острова,コマンドルスキー諸島
Флаг Адыгеи,アディゲ共和国の国旗
M-1 Global,M-1・Global
Российско-кубинские отношения,キューバとロシアの関係
Ваганьковское кладбище,ヴァガニコヴォ墓地
Бикин (город),ビキン
Беслан,ベスラン
Березники,ベレズニキ
Уссури,ウスリー川
Полесье,ポリーシャ
Хамниганы,ハムニガン人
Пролив Лаперуза,宗谷海峡
Финский залив,フィンランド湾
Богородицк,ボゴロジツク
Карельский перешеек,カレリア地峡
Нарва (река),ナルヴァ川
Русский мост,ルースキー島連絡橋
Военно-воздушные силы Российской Федерации,ロシア空軍
Золотой мост,黄金橋・(ウラジオストク)
Футболист года в России (Спорт-Экспресс),ロシア年間最優秀サッカー選手賞・(スポルト・エクスプレス)
Мраморный дворец (Санкт-Петербург),大理石宮殿・(サンクトペテルブルク)
Волхов,ヴォルホフ川
Волхов (город),ヴォルホフ
Ладожское озеро,ラドガ湖
Бокситогорск,ボクシトゴルスク
Бологое,ボロゴエ
Сура (приток Волги),スラ川
Большой Камень,ボリショイ・カーメニ
Болхов,ボルホフ
Болохово,ボロホヴォ
Зея (река),ゼヤ川
Вторая лига России по футболу,ロシア・セカンドディビジョン
Вулкан Сарычева,芙蓉山
Кингисепп,キンギセップ
Новая Ладога,ノヴァヤ・ラドガ
Игарка,イガルカ
Россия-1,ロシア1
Москва-Сити,モスクワ・シティ
"Тихая (станция, Сахалин)",近幌駅
Поречье (станция Дальневосточной железной дороги),遠古丹駅
Ивантеевка,イヴァンテエフカ
Бодайбо (город),ボダイボ
Болгар,ボルガル
Голос России,ロシアの声
Альфа (спецподразделение),アルファ部隊
Аргументы и факты,論拠と事実
ЛДПР,ロシア自由民主党
Златоуст,ズラトウースト
Кубок Кремля,クレムリン・カップ
Алроса,アルロサ
Ивангород,イヴァンゴロド
Русины,ルシン人
Злынка,ズルィンカ
Россия на летних Олимпийских играх 1900,1900年パリオリンピックのロシア選手団
Знаменск (Астраханская область),ズナメンスク・(アストラハン州)
Мосфильм,モスフィルム
Ключевская Сопка,クリュチェフスカヤ山
Зубцов,ズブツォフ
Люберцы,リュベルツィ
Уфа (река),ウファ川
Справедливая Россия — За правду,公正ロシア
Кумыки,クムク人
Государственный Русский музей,ロシア美術館
Троице-Сергиева лавра,至聖三者聖セルギイ大修道院
Ока (приток Ангары),オカ川・(シベリア)
Суперкубок России по футболу,ロシア・スーパーカップ
Суздаль,スーズダリ
Итуруп,択捉島
Московская государственная консерватория имени П. И. Чайковского,モスクワ音楽院
Список европейских автомобильных маршрутов,欧州自動車道路
Остров Врангеля,ウランゲリ島
Миасс,ミアス
Молокане,モロカン派
Мирный (Якутия),ミールヌイ
Сланцы (город),スランツィ
Сертолово,セルトロヴォ
Луга,ルーガ・(レニングラード州)
Каменск-Уральский,カメンスク＝ウラリスキー
Россия на летних Олимпийских играх 1996,1996年アトランタオリンピックのロシア選手団
Русский общевоинский союз,ロシア全軍連合
Черниговка (Приморский край),チェルニゴフカ・(沿海地方)
St. Petersburg Open,サンクトペテルブルク・オープン
"Южный (остров, Новая Земля)",ユージヌィ島
Свирь,スヴィリ川
Эвенкийский автономный округ,エヴェンキ自治管区
Гданьский залив,グダニスク湾
Яблоко (партия),ヤブロコ
Тихвин,チフヴィン
Сосновый Бор (город),ソスノヴイ・ボール
Шлиссельбург,シュリッセリブルク
Яхрома,ヤフロマ
Таван-Богдо-Ула,タワン・ボグド
Чулым (приток Оби),チュリム川
Становой хребет,スタノヴォイ山脈
Спас на Крови,血の上の救世主教会
Новороссийск,ノヴォロシースク
Анапа,アナパ
Темрюк,テムリュク
Раздольная (река),綏芬河
Великий Устюг,ヴェリキイ・ウスチュグ
Истра (город),イストラ・(モスクワ州)
Исаакиевский собор,聖イサアク大聖堂
Софийский собор (Великий Новгород),聖ソフィア大聖堂・(ノヴゴロド)
Татарский пролив,間宮海峡
Осетия,オセチア
Битва за Холм,ホルムの戦い
Томь,トミ川
Байкальский хребет,バイカル山脈
Колгуев,コルグエフ島
Ишимбай,イシンバイ
Таганрогский залив,タガンログ湾
Верхоянский хребет,ベルホヤンスク山脈
Армавир (Россия),アルマヴィル・(ロシア)
Геленджик,ゲレンジーク
Плесецк (космодром),プレセツク宇宙基地
Казанский университет,カザン大学
Ельники (платформа),亜屯駅
Таманский полуостров,タマン半島
Таймырский (Долгано-Ненецкий) автономный округ,タイミル自治管区
Биатлон на зимних Олимпийских играх 2014,2014年ソチオリンピックのバイアスロン競技
Абакан (река),アバカン川
Старая Ладога,スタラヤ・ラドガ
Телецкое,テレツコイェ湖
"СКА (футбольный клуб, Ростов-на-Дону)",FC・SKAロストフ・ナ・ドヌ
Прогресс (космический корабль),プログレス補給船
Автономная область Российской Федерации,ロシアの自治州
Тихоокеанское вулканическое огненное кольцо,環太平洋火山帯
"Динамо (футбольный клуб, Москва)",FCディナモ・モスクワ
Сборная России по мини-футболу,フットサルロシア代表
Курило-Камчатский жёлоб,千島海溝
Алеутский жёлоб,アリューシャン海溝
Выборы в Государственную думу (1995),1995年ロシア下院選挙
Камышин,カムイシン
Восточно-Сибирская железная дорога,東シベリア鉄道支社
Калязин,カリャージン
Национал-большевистская партия,国家ボリシェヴィキ党
Российский футбольный союз,ロシアサッカー連合
Дружба (нефтепровод),ドルジバパイプライン
Каменск-Шахтинский,カメンスク＝シャフチンスキー
Камешково,カメシコヴォ
"Северный (остров, Новая Земля)",セヴェルヌィ島
Остров Октябрьской Революции,十月革命島
Главное управление Генерального штаба ВС РФ,ロシア連邦軍参謀本部情報総局
Шилка,シルカ川
Президент Российской Федерации,ロシア連邦大統領
Джагды,ジャグドゥイ山脈
ВКонтакте,フコンタクテ
Шхара,シュハラ山
Камни преткновения,ストルパーシュタイン
Поволжские немцы,ヴォルガ・ドイツ人
Европейский маршрут E28,E28号線
Анжи (футбольный клуб),FCアンジ・マハチカラ
Обь-Енисейский канал,オビ・エニセイ運河
Тобол,トボル川
Грузины,グルジア人
Подольск,ポドリスク
Краснодар (футбольный клуб),FCクラスノダール
"Торпедо (футбольный клуб, Москва)",FCトルペド・モスクワ
Кандалакша,カンダラクシャ
Северо-Американская плита,北アメリカプレート
Живой Журнал,LiveJournal
Искра (газета),イスクラ
Кубок России по футболу,ロシア・カップ・(サッカー)
Европейский маршрут E22,E22号線
Адмиралтейский район,アドミラルティスキー地区
Боспорское царство,ボスポロス王国
Златоустовский трамвай,ズラトウースト市電
Лукойл,ルクオイル
МГИМО,モスクワ国際関係大学
Чудско-Псковское озеро,ペイプシ湖
Вторая чеченская война,第二次チェチェン紛争
Российско-ирландские отношения,アイルランドとロシアの関係
Карабулак (город),カラブラク
Карачаевск,カラチャエフスク
Карачев,カラチェフ
Кольская сверхглубокая скважина,コラ半島超深度掘削坑
Астрон (космический аппарат),アストロン・(人工衛星)
Палтога,パルトガ
Парк Горького (Москва),ゴーリキイ公園
Мытищи,ムィティシ
Ладушкин,ラードゥシキン
Симферополь,シンフェロポリ
Кетой,計吐夷島
Россия на «Евровидении»,ロシアのユーロビジョン・ソング・コンテスト
ТАСС,タス通信
Китайско-российские отношения,中露関係
Кашин,カシン
Операция «Искра»,イスクラ作戦
История Москвы,モスクワの歴史
Шантарские острова,シャンタル諸島
Звёздный городок,スターシティ・(ロシア)
RT,ロシア・トゥデイ
ISO 3166-2:RU,ISO・3166-2:RU
Ялта,ヤルタ
Иртыш,エルティシ川
Сербы,セルビア人
Каргополь,カルゴポリ
Снежный человек,イエティ
Фристайл на зимних Олимпийских играх 2014,2014年ソチオリンピックのフリースタイルスキー競技
Нева (автодорога),ロシア連邦道路M11
Забайкальск,ザバイカリスク
Храм Василия Блаженного,聖ワシリイ大聖堂
Роскомнадзор,ロシア連邦通信・情報技術・マスコミ分野監督庁
Касимов,カシモフ
Керекский язык,ケレク語
Гагарин (аэропорт),サラトフ・ガガーリン空港
Кёнигсбергский собор,ケーニヒスベルク大聖堂
Нижегородский метрополитен,ニジニ・ノヴゴロド地下鉄
ОКБ имени Яковлева,A・S・ヤコヴレフ記念試作設計局
