室伏広治,무로후시 고지
恒久王妃昌子内親王,쓰네히사 왕비 마사코 내친왕
山本五十六,야마모토 이소로쿠
丹下健三,단게 겐조
宮本茂,미야모토 시게루
新渡戸稲造,니토베 이나조
武満徹,타케미츠 토오루
日髙のり子,히다카 노리코
藤子・F・不二雄,후지코 F. 후지오
能登麻美子,노토 마미코
佐久間レイ,사쿠마 레이
川澄綾子,카와스미 아야코
小柴昌俊,고시바 마사토시
湯川秀樹,유카와 히데키
ゆきのさつき,유키노 사츠키
久川綾,히사카와 아야
水橋かおり,미즈하시 카오리
冬馬由美,토우마 유미
嘉田由紀子,가다 유키코
日高里菜,히다카 리나
横山由依,요코야마 유이 (가수)
植芝盛平,우에시바 모리헤이
指原莉乃,사시하라 리노
松浦亜弥,마츠우라 아야
みつみ美里,미쓰미 미사토
広中平祐,히로나카 헤이스케
柚木かなめ,유즈키 카나메
北出菜奈,기타데 나나
浅沼稲次郎,아사누마 이네지로
鹿野道彦,가노 미치히코
西方仁也,니시카타 진야
朝永振一郎,도모나가 신이치로
根岸英一,네기시 에이이치
福田康夫,후쿠다 야스오
李方子,이방자
黒沢清,구로사와 기요시
市川崑,이치카와 곤
小津安二郎,오즈 야스지로
溝口健二,미조구치 겐지
宮崎駿,미야자키 하야오
中条比紗也,나카조 히사야
オノ・ヨーコ,오노 요코
鈴木勲,스즈키 이사오
真崎航,마사키 고
長谷部誠,하세베 마코토
館山昌平,다테야마 쇼헤이
宮沢賢治,미야자와 겐지
大島渚,오시마 나기사
西川貴教,니시카와 다카노리
豊臣秀吉,도요토미 히데요시
渡辺麻友,와타나베 마유
栗田健男,구리타 다케오
片山虎之助,가타야마 도라노스케
浜崎あゆみ,하마사키 아유미
曽田正人,소다 마사히토
南部陽一郎,난부 요이치로
夏菜,나츠나
有岡大貴,아리오카 다이키
宮崎繁三郎,미야자키 시게사부로
今井りか,이마이 리카
与謝蕪村,요사 부손
源義家,미나모토노 요시이에
阿部サダヲ,아베 사다오
白河天皇,시라카와 천황
高橋みなみ,타카하시 미나미
自見庄三郎,지미 쇼자부로
明正天皇,메이쇼 천황
内田良平・(政治運動家),우치다 료헤이 (정치활동가)
野田佳彦,노다 요시히코
玄葉光一郎,겐바 고이치로
村田諒太,무라타 료타
菅義偉,스가 요시히데
寺内寿一,데라우치 히사이치
矢尾一樹,야오 카즈키
白川方明,시라카와 마사아키
後小松天皇,고코마쓰 천황
世阿弥,제아미
川栄李奈,카와에이 리나
入山杏奈,이리야마 안나
秦佐和子,하다 사와코
嘉納治五郎,가노 지고로
中村俊輔,나카무라 슌스케
手塚治虫,데즈카 오사무
昭和天皇,쇼와 천황
水木一郎,미즈키 이치로
吉沢明歩,요시자와 아키호
乾貴士,이누이 다카시
安倍昭恵,아베 아키에
比嘉リカルド,히가 리카루도
児玉源太郎,고다마 겐타로
東野圭吾,히가시노 게이고
小塚崇彦,고즈카 다카히코
島崎遥香,시마자키 하루카
加藤玲奈・(アイドル),카토 레나
明石元二郎,아카시 모토지로
山本左近,야마모토 사콘
宮本武蔵,미야모토 무사시
中澤聡太,나카자와 소타
阿部翔平,아베 쇼헤이
阿部祐大朗,아베 유타로
三船敏郎,미후네 토시로
明仁,아키히토
土肥原賢二,도이하라 겐지
白石麻衣,시라이시 마이
細野正文,호소노 마사부미
安田理大,야스다 미치히로
大江健三郎,오에 겐자부로
野村祐輔,노무라 유스케
文屋康秀,훈야노 야스히데
上原勇作,우에하라 유사쿠
松井一郎,마쓰이 이치로
石原慎太郎,이시하라 신타로
安野モヨコ,안노 모요코
志村喬,시무라 타카시
鈴木利男,스즈키 도시오 (자동차 경주 선수)
山中伸弥,야마나카 신야
船越義珍,후나코시 기친
狩野健太,가노 겐타
影山雅永,가게야마 마사나가
栗澤僚一,구리사와 료이치
徳川家康,도쿠가와 이에야스
中田英寿,나카타 히데토시
種田梨沙,타네다 리사
米本拓司,요네모토 다쿠지
上田康太,우에다 고타
伊達倫央,다테 미치히사
山崎亮平,야마자키 료헤이
本間勲,혼마 이사오
松原良香,마쓰바라 요시카
相馬崇人,소마 다카히토
西村健太朗,니시무라 겐타로
萩村滋則,하기무라 시게노리
平井将生,히라이 쇼키
深澤仁博,후카사와 마사히로
前川國男,마에카와 구니오
石井菊次郎,이시이 기쿠지로
米良美一,메라 요시카즈
丸山良明,마루야마 요시아키
野沢拓也,노자와 다쿠야
山本康裕,야마모토 고스케
福田健二,후쿠다 겐지
曙太郎,아케보노 다로
山本権兵衛,야마모토 곤노효에
川端康成,가와바타 야스나리
横路孝弘,요코미치 다카히로
鳩山由紀夫,하토야마 유키오
麻生祐未,아소 유미
小泉純一郎,고이즈미 준이치로
明治天皇,메이지 천황
源実朝,미나모토노 사네토모
伊藤博文,이토 히로부미
森脇良太,모리와키 료타
役小角,엔노 오즈누
小野小町,오노노 고마치
今宮健太,이마미야 겐타
大迫勇也,오사코 유야
SABU・(映画監督),사부 (영화 감독)
近衛基実,고노에 모토자네
戸越まごめ,도고시 마고메
山村和也,야마무라 가즈야
森重文,모리 시게후미
安藤忠雄,안도 다다오
川口能活,가와구치 요시카쓰
本吉剛,모토요시 다케시
吉田裕幸,요시다 히로유키
後三条天皇,고산조 천황
山崎真・(サッカー選手),야마자키 마코토
アルベルト・フジモリ,알베르토 후지모리
松田浩,마쓰다 히로시
内田真礼,우치다 마아야
Hide,히데
篠山紀信,시노야마 기신
園子温,소노 시온
江崎玲於奈,에사키 레오나
佐藤栄作,사토 에이사쿠
GACKT,GACKT
芦原妃名子,아시하라 히나코
東口順昭,히가시구치 마사아키
ディビッドソン純マーカス,데이비드슨 쥰 마르케스
高畑勲,타카하타 이사오
神武天皇,진무 천황
安東貞美,안도 사다요시
仲哀天皇,주아이 천황
小平事件,코다이라 사건
前原誠司,마에하라 세이지
坂口安吾,사카구치 안고
アントニオ猪木,안토니오 이노키
田中哲也・(サッカー選手),다나카 데쓰야
吉田安孝,요시다 야스타카
加藤善之,가토 요시유키
二宮浩,니노미야 히로시 (1969년)
大久保長安,오쿠보 나가야스
小椋哲也,오구라 데쓰야
安原成泰,야스하라 나리야스
東川昌典,히가시카와 요시노리
梶芽衣子,카지 메이코
清原元輔,기요하라노 모토스케
楽山孝志,라쿠야마 다카시
藤ヶ谷陽介,후지가야 요스케
松代直樹,마쓰요 나오키
藤田征也,후지타 세이야
藤原不比等,후지와라노 후히토
白隠慧鶴,하쿠인 에카쿠
安倍晋三,아베 신조
本田圭佑,혼다 게이스케
松本清張,마쓰모토 세이초
梶浦由記,카지우라 유키
麻生太郎,아소 다로
小林誠・(物理学者),고바야시 마코토 (물리학자)
益川敏英,마스카와 도시히데
石川直樹・(サッカー選手),이시카와 나오키
柿谷曜一朗,가키타니 요이치로
鳥山明,토리야마 아키라
歌川広重,우타가와 히로시게
木場昌雄,기바 마사오
槙原寛己,마키하라 히로미
吉澤章,요시자와 아키라
下村東美,시모무라 도미
澤昌克,사와 마사카쓰
三島由紀夫,미시마 유키오
村上春樹,무라카미 하루키
京マチ子,쿄 마치코
鈴木亜美,스즈키 아미
緒方貞子,오가타 사다코
道端ジェシカ,미치바타 제시카
夏目漱石,나쓰메 소세키
下村脩,시모무라 오사무
安藤利吉,안도 리키치
江本勝,에모토 마사루
上原エドウィン,우에하라 에드윈
倉田秋,구라타 슈
下平匠,시모히라 다쿠미
斉藤浩史,사이토 히로시
三上明紀,미카미 아키노리
菅野将晃,간노 마사아키
赤星貴文,아카호시 다카후미
佐々木勇人,사사키 하야토
田坂祐介,다사카 유스케
斎藤一,사이토 하지메
中後雅喜,주고 마사키
結城耕造,유키 고조
葛西紀明,가사이 노리아키
梨本宮守正王,나시모토 모리마사
野坂参三,노사카 산조
志位和夫,시이 가즈오
上野千鶴子,우에노 지즈코
森山裕,모리야마 히로시
中井猛之進,나카이 다케노신
山口二矢,야마구치 오토야
藤原竜也,후지와라 타츠야
深作欣二,후카사쿠 긴지
石ノ森章太郎,이시노모리 쇼타로
関孝和,세키 다카카즈
遠藤謹助,엔도 긴스케
岡村寧次,오카무라 야스지
植田謙吉,우에다 겐키치
武藤金義,무토 가네요시
金本知憲,가네모토 도모아키
横山光輝,요코야마 미츠테루
柏木陽介,가시와기 요스케
吉行由実,요시유키 유미
梱枝りこ,코리에 리코
聖武天皇,쇼무 천황
福井謙一,후쿠이 겐이치
宇多天皇,우다 천황
仁明天皇,닌묘 천황
継体天皇,게이타이 천황
坂本龍一,사카모토 류이치
渡辺長武,와타나베 오사무 (레슬링 선수)
江戸川乱歩,에도가와 란포
中島敦,나카지마 아쓰시
陽成天皇,요제이 천황
用明天皇,요메이 천황
鳥居龍蔵,도리이 류조
安倍吉俊,아베 요시토시
田邊賢輔,다나베 겐스케
森島寛晃,모리시마 히로아키
服部年宏,핫토리 도시히로
前園真聖,마에조노 마사키요
秋田豊,아키타 유타카
真田広之,사나다 히로유키
岩本徹三,이와모토 데쓰조
山尾庸三,야마오 요조
細野晴臣,호소노 하루오미
水野良,미즈노 료
渋沢栄一,시부사와 에이이치
弘田澄男,히로타 스미오
井上馨,이노우에 가오루
福間納,후쿠마 오사무
高橋慶彦,다카하시 요시히코
吉見祐治,요시미 유지
唐川侑己,가라카와 유키
荻野貴司,오기노 다카시
伊藤義弘,이토 요시히로
久米邦武,구메 구니타케
柴田勝家,시바타 가쓰이에
真島ヒロ,마시마 히로
後円融天皇,고엔유 천황
藤原頼経,후지와라노 요리쓰네
高木貞治,다카기 데이지
大橋正博,오하시 마사히로
阿倍比羅夫,아베노 히라후
崇光天皇,스코 천황
光厳天皇,고곤 천황
加藤大治郎,가토 다이지로
木村資生,기무라 모토오
ツルネン・マルテイ,쓰루넨 마루테이
三斤王,삼근왕
田中千絵,타나카 치에
渡辺直美,와타나베 나오미
江田五月,에다 사쓰키
渡辺謙,와타나베 켄
田中直紀,다나카 나오키
安住淳,아즈미 준
徳仁,나루히토
松本潤,마츠모토 준
岩田華怜,이와타 카렌
遠藤保仁,엔도 야스히토
徳川家茂,도쿠가와 이에모치
浦沢直樹,우라사와 나오키
赤西仁,아카니시 진
後深草天皇,고후카쿠사 천황
清和天皇,세이와 천황
崇峻天皇,스슌 천황
岡山一成,오카야마 가즈나리
金城龍彦,긴조 다쓰히코
李玖,이구 (1931년)
朴泳孝,박영효
藤堂平助,도도 헤이스케
今井敏明,이마이 도시아키
畑俊六,하타 슌로쿠
橋下徹,하시모토 도루
坪内逍遥,쓰보우치 쇼요
チャールズ・ジェンキンス,찰스 로버트 젱킨스
後嵯峨天皇,고사가 천황
林義秀,하야시 요시히데
允恭天皇,인교 천황
高木義明,다카키 요시아키
明神智和,묘진 도모카즈
細川律夫,호소카와 리쓰오
梅津美治郎,우메즈 요시지로
高橋留美子,타카하시 루미코
中谷宇吉郎,나카야 우키치로
森脇浩司,모리와키 히로시
岡本公三,오카모토 고조
熊谷紗希,구마가이 사키
木野まこと,키노 마코토
鳥羽天皇,도바 천황
後奈良天皇,고나라 천황
後柏原天皇,고카시와바라 천황
後陽成天皇,고요제이 천황
髙橋大輔・(フィギュアスケート選手),다카하시 다이스케
阿倍仲麻呂,아베노 나카마로
後朱雀天皇,고스자쿠 천황
後西天皇,고사이 천황
崇徳天皇,스토쿠 천황
呉善花,오선화
早川漣,하야카와 렌
李清,이청 (1936년)
張本勲,장훈
福島安正,후쿠시마 야스마사
桃山虔一,이건 (대한제국 황족)
エスクデロ競飛王,세르히오 에스쿠데로 (1988년)
青山敏弘,아오야마 도시히로
馬場憂太,바바 유타
島田裕介,시마다 유스케
加隈亜衣,카쿠마 아이
林海峰,린하이펑
本庄繁,혼조 시게루
佐久間左馬太,사쿠마 사마타
田健治郎,덴 겐지로
山本耀司,요지 야마모토
小林よしのり,고바야시 요시노리
百田夏菜子,모모타 카나코
大前元紀,오마에 겐키
織田信成・(フィギュアスケート選手),오다 노부나리 (피겨스케이팅 선수)
柿原徹也,카키하라 테츠야
足利義稙,아시카가 요시타네
黄文雄・(評論家),고분유
根上淳,준 니가미
吉川英治,요시카와 에이지
広田弘毅,히로타 고키
石橋湛山,이시바시 단잔
谷山豊,다니야마 유타카
菅野よう子,칸노 요코
林銑十郎,하야시 센주로
千葉真一,치바 신이치
濱口雄幸,하마구치 오사치
西行,사이교
空海,구카이
石田晴香,이시다 하루카
平田宏美,히라타 히로미
高津臣吾,다카쓰 신고
力道山,역도산
野村克也,노무라 가쓰야
早川浪,하야카와 나미
あだち充,아다치 미츠루
文世光,문세광
斉藤仁,사이토 히토시 (유도인)
徳山昌守,홍창수
武田惣角,다케다 소카쿠
渡辺俊介,와타나베 슌스케
李垠,의민태자
小坂誠,고사카 마코토
里崎智也,사토자키 도모야
成瀬善久,나루세 요시히사
門倉健,카도쿠라 켄
古田敦也,후루타 아쓰야
藤田宗一・(投手),후지타 소이치 (1972년)
別当薫,벳토 가오루
落合博満,오치아이 히로미쓰
金泰泳・(格闘家),김태영 (격투가)
今江敏晃,이마에 도시아키
皇后雅子,마사코 황후
高橋愛,타카하시 아이
後桜町天皇,고사쿠라마치 천황
工藤隆人,구도 다카히토
野茂英雄,노모 히데오
サブロー,오무라 사부로
秋山成勲,추성훈
福浦和也,후쿠우라 가즈야
寬仁親王,미카사노미야 도모히토 친왕
山内一弘,야마우치 가즈히로 (1932년)
松井石根,마쓰이 이와네
小沢治三郎,오자와 지사부로
犬養毅,이누카이 쓰요시
ディーン・フジオカ,딘 후지오카
秋山真之,아키야마 사네유키
正宗,마사무네
宗尊親王,무네타카 친왕
和田アキ子,와다 아키코
姜暢雄,강창웅
山内容堂,야마우치 요도
楢崎龍,나라사키 료
江藤淳,에토 준
信西,신제이
井上毅,이노우에 고와시
美濃部達吉,미노베 다쓰키치
菱刈隆,히시카리 다카시
藤本健二,후지모토 겐지
大津祐樹,오쓰 유키
新井敏弘,아라이 도시히로
高月彩良,타카츠키 사라
小林亮寛,고바야시 료칸
井上和彦・(声優),이노우에 카즈히코
飯塚雅弓,이이즈카 마유미
黒田清子,구로다 사야코
伊達公子,다테 기미코
水樹奈々,미즈키 나나
武内直子,타케우치 나오코
荒川静香,아라카와 시즈카
倖田來未,코다 쿠미
村上隆,무라카미 다카시
坂井三郎,사카이 사부로
小川悦司・(漫画家),오가와 에쓰시
堤義明,쓰쓰미 요시아키
井深大,이부카 마사루
荒木貞夫,아라키 사다오
井原西鶴,이하라 사이카쿠
松岡洋右,마쓰오카 요스케
志村五郎,시무라 고로
平城天皇,헤이제이 천황
古賀政男,코가 마사오
野村謙二郎,노무라 겐지로
伊良部秀輝,이라부 히데키
西村徳文,니시무라 노리후미
阿南惟幾,아나미 고레치카
船木和喜,후나키 가즈요시
小林宏之・(野球),고바야시 히로유키 (야구 선수)
内村鑑三,우치무라 간조
曾禰荒助,소네 아라스케
久保康友,구보 야스토모
樹元オリエ,키모토 오리에
永井雄一郎,나가이 유이치로
福山哲郎,후쿠야마 데쓰로
高木武雄,다카기 다케오
西尾維新,니시오 이신
平塚らいてう,히라쓰카 라이초
九条兼実,구조 가네자네
伊東祐亨,이토 스케유키
正力松太郎,쇼리키 마쓰타로
一青窈,히토토 요
ジュディ・オング,옹천옥
荒川弘,아라카와 히로무
香淳皇后,고준 황후
澤穂希,사와 호마레
草間彌生,구사마 야요이
吉田沙保里,요시다 사오리
田中れいな,다나카 레이나
清少納言,세이 쇼나곤
大塚愛,오오츠카 아이
亀梨和也,카메나시 카즈야
山口勝平,야마구치 캇페이
あずまきよひこ,아즈마 키요히코
小山田真,코야마다 신
野村哲也,노무라 테츠야
山内溥,야마우치 히로시
天野喜孝,아마노 요시타카
Mana・(ミュージシャン),Mana (일본의 가수)
福澤諭吉,후쿠자와 유키치
及川古志郎,오이카와 고시로
小室眞子,고무로 마코
手塚卓志,데즈카 다카시
椎名悦三郎,시나 에쓰사부로
中山竹通,나카야마 다케유키
金子文子,가네코 후미코
清水直行,시미즈 나오유키
吉井理人,요시이 마사토
荒巻淳,아라마키 아쓰시
井口資仁,이구치 다다히토
福島千里,후쿠시마 지사토
後冷泉天皇,고레이제이 천황
小林雅英,고바야시 마사히데
今岡真訪,이마오카 마코토
後藤象二郎,고토 쇼지로
広瀬武夫,히로세 다케오
甘利虎泰,아마리 도라야스
東陽一,히가시 요이치
宮崎滔天,미야자키 도텐
田母神俊雄,다모가미 도시오
東郷茂徳,도고 시게노리
原一樹,하라 가즈키
石崎琴美,이시자키 고토미
佐々木禎子,사사키 사다코
持統天皇,지토 천황
野口英世,노구치 히데요
ミヨシ・ウメキ,우메키 미요시
菊地凛子,키쿠치 린코
山崎拓,야마사키 다쿠
大久保利通,오쿠보 도시미치
向谷実,무카이야 미노루
今村均,이마무라 히토시
西岡剛・(内野手),니시오카 쓰요시
東條由布子,도조 유코
近藤浩治,곤도 고지 (작곡가)
薮田安彦,야부타 야스히코
森鷗外,모리 오가이
種村有菜,다네무라 아리나
文仁親王妃紀子,후미히토 친왕비 기코
益田直也,마스다 나오야
田中陽子・(サッカー選手),다나카 요코
成田文男,나리타 후미오
青野毅,아오노 다케시 (야구 선수)
清田育宏,기요타 이쿠히로
本因坊秀策,혼인보 슈사쿠
藤田義明,후지타 요시아키
林忠四郎,하야시 추시로
神功皇后,진구 황후
孝謙天皇,고켄 천황
近藤岳登,곤도 가쿠토
大橋のぞみ,오하시 노조미
内柴正人,우치시바 마사토
岡田吉夫,오카다 요시오
岡田克也,오카다 가쓰야
八重樫茂生,야에가시 시게오
千葉進歩,치바 스스무
藤本康太,후지모토 고타
大島義昌,오시마 요시마사
五藤存知,고토 아리토모
南次郎,미나미 지로
木村兵太郎,기무라 헤이타로
後堀河天皇,고호리카와 천황
六条天皇,로쿠조 천황
文徳天皇,몬토쿠 천황
古賀誠,고가 마코토
本野一郎,모토노 이치로
小松宮彰仁親王,고마쓰노미야 아키히토 친왕
中島今朝吾,나카지마 게사고
鈴木敏夫,스즈키 도시오 (연출가)
井上成美,이노우에 시게요시
窪之内英策,쿠보노우치 에이사쿠
曽ヶ端準,소가하타 히토시
勝新太郎,카츠 신타로
石櫃洋祐,이시비쓰 요스케
増川隆洋,마스카와 다카히로
雄略天皇,유랴쿠 천황
弘文天皇,고분 천황
三条天皇,산조 천황
市川雷蔵・(8代目),이치카와 라이조 (8대)
藤原忠実,후지와라노 다다자네
金子安次,가네코 야스지
井上靖,이노우에 야스시
小室哲哉,코무로 테츠야
藤原頼長,후지와라노 요리나가
文武天皇,몬무 천황
順徳天皇,준토쿠 천황
親鸞,신란
筒井康隆,쓰쓰이 야스타카
徳重健太,도쿠시게 겐타
三木眞一郎,미키 신이치로
荒木飛呂彦,아라키 히로히코
元明天皇,겐메이 천황
小澤マリア,오자와 마리아
新垣里沙,니이가키 리사
亀井絵里,카메이 에리
大谷育江,오타니 이쿠에
上原ひろみ,우에하라 히로미
仲恭天皇,주쿄 천황
土御門天皇,쓰치미카도 천황
仁賢天皇,닌켄 천황
高倉天皇,다카쿠라 천황
津田梅子,쓰다 우메코
山﨑雅人,야마자키 마사토 (1981년)
清寧天皇,세이네이 천황
野口聡一,노구치 소이치
多岐川裕美,타키가와 유미
松方正義,마쓰카타 마사요시
李良枝,이양지
黒田清隆,구로다 기요타카
本因坊秀哉,혼인보 슈사이
田中将斗,다나카 마사토
黒田長礼,구로다 나가미치
武者小路公共,무샤코지 긴토모
高岡寿成,다카오카 도시나리
細田守,호소다 마모루
沖田杏梨,오키타 안리
安藤美姫,안도 미키
伊調馨,이초 가오리
森喜朗,모리 요시로
道重さゆみ,미치시게 사유미
朴璐美,박로미
木村沙織,기무라 사오리
菊川凱夫,기쿠가와 요시오
栗山千明,쿠리야마 치아키
大西瀧治郎,오니시 다키지로
黒川紀章,구로카와 기쇼
遠藤幸雄,엔도 유키오
岸田文雄,기시다 후미오
豊田喜一郎,기이치로 토요다
富岡多恵子,도미오카 다에코
仲田歩夢,나카다 아유
池田元久,이케다 모토히사
三条実美,산조 사네토미
後藤文夫,고토 후미오 (메이지 시대)
三波春夫,미나미 하루오
山田乙三,야마다 오토조
衣笠貞之助,기누가사 데이노스케
長島圭一郎,나가시마 게이이치로
石原莞爾,이시와라 간지
岡田啓介,오카다 게이스케
米内光政,요나이 미쓰마사
由比光衛,유히 미쓰에
南條愛乃,난죠 요시노
早川徳次・(シャープ),하야카와 토쿠지
西沢広義,니시자와 히로요시
三浦建太郎,미우라 켄타로
北一輝,기타 잇키
村主章枝,스구리 후미에
後藤真希,고토 마키
渡瀬悠宇,와타세 유우
田部井淳子,다베이 준코
矢沢あい,야자와 아이
広末涼子,히로스에 료코
上戸彩,우에토 아야
浅田真央,아사다 마오
椎名林檎,시이나 링고
矢野貴章,야노 기쇼
松田直樹,마쓰다 나오키
三都主アレサンドロ,산토스 알레산드로
小笠原満男,오가사와라 미쓰오
本間雅晴,혼마 마사하루
水嶋ヒロ,미즈시마 히로
古川登志夫,후루카와 토시오
久明親王,히사아키 친왕
小松原道太郎,고마쓰바라 미치타로
谷口ジロー,다니구치 지로
珍田捨巳,진다 스테미
渡辺信一郎・(アニメ監督),와타나베 신이치로
武田観柳斎,다케다 간류사이
小林尊,고바야시 다케루
慈円,지엔 (승려)
武井保雄,타케이 야스오
藤原顕輔,후지와라노 아키스케
夏焼雅,나츠야키 미야비
井伊直弼,이이 나오스케
小清水亜美,코시미즈 아미
土屋アンナ,츠치야 안나
島谷ひとみ,시마타니 히토미
倉木麻衣,쿠라키 마이
OLIVIA・(日本の歌手),OLIVIA (일본의 가수)
久住小春,쿠스미 코하루
宮間あや,미야마 아야
原節子,하라 세츠코
高橋尚子,다카하시 나오코
元正天皇,겐쇼 천황
伊藤みどり,이토 미도리
岸本聖史,키시모토 세이시
Toshl,Toshl
臼井儀人,우스이 요시토
中山雅史,나카야마 마사시
桐野夏生,기리노 나쓰오
柳沢敦,야나기사와 아쓰시
森﨑浩司,모리사키 고지
高橋大輔・(サッカー選手),다카하시 다이스케 (축구 선수)
都倉賢,도쿠라 겐
高木義成,다카기 요시나리
隈研吾,구마 겐고
常陸宮正仁親王,히타치노미야 마사히토 친왕
安康天皇,안코 천황
朱雀天皇,스자쿠 천황
小川佳純,오가와 요시즈미
河本裕之,고모토 히로유키
羽田憲司,하네다 겐지
北本久仁衛,기타모토 구니에
浅倉大介,아사쿠라 다이스케
谷川流,타니가와 나가루
香西洋樹,고사이 히로키
白鳥敏夫,시라토리 도시오
宮野真守,미야노 마모루
孫正義,손 마사요시
中原麻衣,나카하라 마이
田中理恵・(声優),타나카 리에 (성우)
伊藤由奈,이토 유나 (1983년)
光井愛佳,미츠이 아이카
大塚芳忠,오오츠카 호츄
顕宗天皇,겐조 천황
中山彰規,나카야마 아키노리
巌本善治,이와모토 요시하루
源田実,겐다 미노루
小野大輔,오노 다이스케
畑中健二,하타나카 겐지
巻佑樹,마키 유키
亀山天皇,가메야마 천황
花山天皇,가잔 천황
松山ケンイチ,마츠야마 켄이치
佐藤尚武,사토 나오타케
吉村圭司,요시무라 게이지
田沼意次,다누마 오키쓰구
酒本憲幸,사케모토 노리유키
沢尻エリカ,사와지리 에리카
KOTOKO,KOTOKO (음악가)
宇多田ヒカル,우타다 히카루
冲方丁,우부카타 토우
中裕司,나카 유지
猪谷千春,이가야 지하루
佐藤かよ,사토 카요 (1988년)
宗道臣,소 도신
山路修,야마지 오사무
児玉新,고다마 아라타
三原雅俊,미하라 마사토시
坂本真綾,사카모토 마아야
斉明天皇,고교쿠 천황
アンジェラ・アキ,안젤라 아키
大黒将志,오구로 마사시
岩政大樹,이와마사 다이키
須田芳正,스다 요시마사
伊吹文明,이부키 분메이
牧野富太郎,마키노 도미타로
中村修二,나카무라 슈지
甘粕正彦,아마카스 마사히코
大山巌,오야마 이와오
友川カズキ,토모카와 카즈키
塩崎恭久,시오자키 야스히사
小野伸二,오노 신지
相葉雅紀,아이바 마사키
星奈津美,호시 나쓰미
小松左京,고마쓰 사쿄
松坂慶子,마츠자카 케이코
篠塚良雄,시노즈카 요시오
鈴木えみ,스즈키 에미
大和・(野球),마에다 야마토
柳生宗厳,야규 무네요시
木谷實,기타니 미노루
財前宣之,자이젠 노부유키
大前研一,오마에 겐이치
上村彦之丞,가미무라 히코노조
足利直義,아시카가 다다요시
車田正美,쿠루마다 마사미
清浦夏実,키요우라 나츠미
小西克幸,코니시 카츠유키
内田光子,우치다 미쓰코
平野綾,히라노 아야
葉鳥ビスコ,하토리 비스코
野口みずき,노구치 미즈키
吉本ばなな,요시모토 바나나
北川景子,키타가와 케이코
東洲斎写楽,도슈사이 샤라쿠
森田成一,모리타 마사카즈
望月峯太郎,모치즈키 미네타로
木村拓哉,기무라 타쿠야
二宮和也,니노미야 카즈나리
大野智,오노 사토시
阿部薫・(サックス奏者),아베 카오루 (색소폰 연주자)
河村崇大,가와무라 다카히로
毛利衛,모리 마모루
外海良基,토노가이 요시키
田中達也・(1982年生のサッカー選手),다나카 다쓰야
行定勲,유키사다 이사오
青沼英二,아오누마 에이지
枝野幸男,에다노 유키오
稲船敬二,이나후네 케이지
賀川豊彦,가가와 도요히코
麻宮騎亜,아사미야 키아
野呂一生,노로 잇세이
