Judith Nisse Shklar,주디스 슈클라
Aleksandrs Jackēvičs,알렉산드르스 야츠케비치스
Ingūna Butāne,잉구나 부타네
Artis Ostups,아르티스 오스툽스
Atis Slakteris,아티스 슬락테리스
Arsens Miskarovs,아르센스 미스카로우스
Andris Keišs,안드리스 케이슈
Baiba Broka (aktrise),바이바 브로카
Zemgus Girgensons,젬구스 기르겐손스
Laimdota Straujuma,라임도타 스트라우유마
Edgars Rinkēvičs,에드가르스 링케비치
Jānis Bordāns,야니스 보르단스
Arturs Maskats,아르투르스 마스카츠
Georgijs Kuļikovs,게오르기 쿨리코프
Vineta Sareika,비네타 사레이카
Aļona Ostapenko,옐레나 오스타펜코
Andrejs Mamikins,안드레이스 마미킨스
Mārtiņš Bondars,마르틴시 본다르스
Ieva Lagūna,이에바 라구나
Arturs Krišjānis Kariņš,크리샤니스 카린시
Vilis Daudziņš,빌리스 다우진슈
Māris Kučinskis,마리스 쿠친스키스
Igors Šiškins,이고르스 시슈킨스
Jānis Pīnups,야니스 피눕스
Juris Bērziņš,유리스 베르진시
Roze Stiebra,로제 스티에브라
Aminata Savadogo,아미나타 사바도고
Konstantīns Konstantinovs,콘스탄틴 콘스탄티노프
Deandrē Jedlins,데안드레 예들린
Ingrīda Andriņa,잉그리다 안드리냐
Linards Tauns,리나르츠 타운스
Kristīne Nevarauska,크리스티네 네바라우스카
Elīza Tīruma,엘리자 티루마
Ārons Bogoļubovs,아론스 보골루보프스
Roberts Vipers,로베르트 비페르
Uvis Kalniņš,우비스 칼닌슈
Viktorija Modesta,빅토리아 모데스타
Helga Dancberga,헬가 단츠베르가
Jānis Sproģis,야니스 스프로지스
Jēkabs Osis,예캅스 오시스
Reinis Bērziņš,레이니스 베르진슈
Roberts Krūzbergs,로베르츠 크루즈베르크스
Robin Kasyanov,로빈 카시야노프
Ingus Vizulis,잉구스 비줄리스
Krišjānis Zeļģis,크리샤니스 젤지스
Tobu,토부
Oskars Voits,오스카르스 보이츠
Ilga Šuplinska,일가 슈플린스카
Kamilla Bartone,카밀라 바르토네
Ilze Juhansone,일제 유한소네
Evika Siliņa,에비카 실리냐
Inga Pizāne,잉가 피자네
Alekss Krasts,Alekss Krasts
Daniela Vismane,다니엘라 비스마네
Ivars Ijabs,이바르스 이얍스
Arnis Bebrišs,Arnis Bebrišs
Emīls Cipulis,Emīls Cipulis
Elīna Ieva Vītola,Elīna Ieva Vītola
Krists Lindenblats,Krists Lindenblats
