George Washington,ジョージ・ワシントン
Kevin Costner,ケビン・コスナー
Harry S. Truman,ハリー・S・トルーマン
Lynn Conway,リン・コンウェイ
Dean Ho (wrestler),ディーン樋口
Nicholas Meyer,ニコラス・メイヤー
"Weird Al" Yankovic,アル・ヤンコビック
Robert Legato,ロバート・レガート
Stan Coveleski,スタン・コベレスキ
Thelma Estrin,テルマ・エストリン
John Adair,ジョン・アデア・(ケンタッキー州知事)
Adele Goldberg (computer scientist),アデル・ゴールドバーグ
Shafi Goldwasser,シャフィ・ゴールドワッサー
Jon Huntsman Jr.,ジョン・ミード・ハンツマン・(ジュニア)
Beck,ベック・(歌手)
Patti Smith,パティ・スミス
Scrooge McDuck,スクルージ・マクダック
Carl Barks,カール・バークス
Linda Lovelace,リンダ・ラヴレース
Carl Sagan,カール・セーガン
Corbin Bleu,コービン・ブルー
Michael Bloomberg,マイケル・ブルームバーグ
Venus Williams,ビーナス・ウィリアムズ
Annie Easley,アニー・イーズリー
Zachary Taylor,ザカリー・テイラー
Jimmy Kimmel,ジミー・キンメル
Eugenio Calabi,エウジェニオ・カラビ
Larry Page,ラリー・ペイジ
John Frazier,ジョン・フレイザー・(視覚効果スーパーバイザー)
Kurt Cobain,カート・コバーン
Aaliyah,アリーヤ
Eric Barba,エリック・バーバ
Richard Edlund,リチャード・エドランド
Dave Grohl,デイヴ・グロール
Britney Spears,ブリトニー・スピアーズ
Cher,シェール
James Meredith,ジェームズ・メレディス
Miranda Cosgrove,ミランダ・コスグローヴ
Bill Gates,ビル・ゲイツ
Neil Young,ニール・ヤング
Meryl Streep,メリル・ストリープ
Joseph Brodsky,ヨシフ・ブロツキー
Walt Disney,ウォルト・ディズニー
Ken Ralston,ケン・ローストン
Coco Austin,ココ・オースティン
Stevie Wonder,スティーヴィー・ワンダー
Grace Hopper,グレース・ホッパー
Nikki Haley,ニッキー・ヘイリー
Margaret Hamilton (software engineer),マーガレット・ハミルトン・(科学者)
Betty Holberton,ベティ・ホルバートン
Juan Trippe,ファン・トリップ
L. B. Abbott,L・B・アボット
Black Francis,ブラック・フランシス
Douglas Shearer,ダグラス・シアラー
Judy Garland,ジュディ・ガーランド
Millard Fillmore,ミラード・フィルモア
Herman Melville,ハーマン・メルヴィル
Andrew Johnson,アンドリュー・ジョンソン
Franklin Pierce,フランクリン・ピアース
Jason Lee (actor),ジェイソン・リー
James Buchanan,ジェームズ・ブキャナン
Gordon Freeman,ゴードン・フリーマン
Ernst Mayr,エルンスト・マイヤー
Thomas Edison,トーマス・エジソン
Albert Einstein,アルベルト・アインシュタイン
Andy Warhol,アンディ・ウォーホル
John Boehner,ジョン・ベイナー
John Bardeen,ジョン・バーディーン
Katherine Johnson,キャサリン・ジョンソン
Lynne Jolitz,リン・ジョリッツ
Jennifer Capriati,ジェニファー・カプリアティ
President of the United States,アメリカ合衆国大統領
Frank Lloyd Wright,フランク・ロイド・ライト
Henry Ford,ヘンリー・フォード
Beth Ditto,ベス・ディットー
George Soros,ジョージ・ソロス
Bill Clinton,ビル・クリントン
David Paterson,デビッド・パターソン・(政治家)
Andrew Cuomo,アンドリュー・クオモ
Eliot Spitzer,エリオット・スピッツァー
Mario,マリオ・(ゲームキャラクター)
Janis Joplin,ジャニス・ジョプリン
Carmelita Jeter,カーメリタ・ジーター
Allyson Felix,アリソン・フェリックス
Dave Arneson,デイヴ・アーネソン
Bruno Mars,ブルーノ・マーズ
Greta Garbo,グレタ・ガルボ
Michelle Obama,ミシェル・オバマ
Bart Simpson,バート・シンプソン
Paula Creamer,ポーラ・クリーマー
Angelina Jolie,アンジェリーナ・ジョリー
Enrico Fermi,エンリコ・フェルミ
Lindsay Davenport,リンゼイ・ダベンポート
George Pataki,ジョージ・パタキ
DeeDee Trotter,ディーディー・トロッター
Sanya Richards-Ross,サーニャ・リチャーズ＝ロス
Nikola Tesla,ニコラ・テスラ
Moby,モービー
Noam Chomsky,ノーム・チョムスキー
Spencer Fullerton Baird,スペンサー・フラトン・ベアード
William T. Hamilton,ウィリアム・トーマス・ハミルトン
Kerron Clement,カーロン・クレメント
John Gillis (historian),ジョン・R・ギリス
Angelo Taylor,アンジェロ・テイラー
Bershawn Jackson,バーショーン・ジャクソン
Lil Wayne,リル・ウェイン
Bruce Springsteen,ブルース・スプリングスティーン
Gary Gygax,ゲイリー・ガイギャックス
Eminem,エミネム
Steven Spielberg,スティーヴン・スピルバーグ
Grey DeLisle,グレイ・デリスル
Tony Romo,トニー・ロモ
Bernie Madoff,バーナード・L・マドフ
Tracy Morgan,トレイシー・モーガン
Louis C.K.,ルイ・C・K
Ron Paul,ロン・ポール
Charles Lindbergh,チャールズ・リンドバーグ
Aries Merritt,アリエス・メリット
Justin Gatlin,ジャスティン・ガトリン
Marcel Duchamp,マルセル・デュシャン
Chuck Berry,チャック・ベリー
David Oliver (hurdler),デビッド・オリバー
Jeremy Wariner,ジェレミー・ウォリナー
David Payne (hurdler),デビッド・ペイン
David Neville (sprinter),デービッド・ネビル
Jimi Hendrix,ジミ・ヘンドリックス
Arnold Palmer,アーノルド・パーマー
Jack Nicklaus,ジャック・ニクラス
DeForest Kelley,デフォレスト・ケリー
Phoebe Cates,フィービー・ケイツ
Leonard Nimoy,レナード・ニモイ
Hanna R. Hall,ハンナ・ホール
Fred Armisen,フレッド・アーミセン
Liza Minnelli,ライザ・ミネリ
Neil Armstrong,ニール・アームストロング
Pharrell Williams,ファレル・ウィリアムス
Chris Evert,クリス・エバート
Cyndi Lauper,シンディ・ローパー
Tim Lincecum,ティム・リンスカム
LaShawn Merritt,ラショーン・メリット
Shawn Crawford,ショーン・クロフォード
Walter Dix,ウォルター・ディックス
Dan O'Brien,ダン・オブライエン
Marissa Mayer,マリッサ・メイヤー
Evi Nemeth,エヴィ・ネメス
Jason Richardson,ジェイソン・リチャードソン
Félix Sánchez (hurdler),フェリックス・サンチェス
Madonna,マドンナ・(歌手)
Jean E. Sammet,ジーン・E・サメット
Curtis LeMay,カーチス・ルメイ
Charles K. Kao,チャールズ・カオ
Eddie Cochran,エディ・コクラン
James Brown,ジェームス・ブラウン
Kanye West,カニエ・ウェスト
Humphrey Bogart,ハンフリー・ボガート
Reese Hoffa,リース・ホッファ
Will Claye,ウィル・クレイ
Christian Taylor (athlete),クリスチャン・テイラー
James T. Kirk,ジェームズ・T・カーク
Pete Sampras,ピート・サンプラス
Gerald Ford,ジェラルド・R・フォード
Ella Fitzgerald,エラ・フィッツジェラルド
Buddy Holly,バディ・ホリー
Seth Meyers,セス・マイヤーズ
Sharon Van Etten,シャロン・ヴァン・エッテン
Jason Sudeikis,ジェイソン・サダイキス
Bill Hader,ビル・ヘイダー
Tina Fey,ティナ・フェイ
Richard Nixon,リチャード・ニクソン
50 Cent,50セント
Bruce Lee,ブルース・リー
Robert Mitchum,ロバート・ミッチャム
John McEnroe,ジョン・マッケンロー
Steve Martin,スティーヴ・マーティン
Brownie Mary,ブラウニー・メアリー
Louis Armstrong,ルイ・アームストロング
Lashinda Demus,ラシンダ・ディーマス
Dr. Dre,ドクター・ドレー
Snoop Dogg,スヌープ・ドッグ
Lyndon B. Johnson,リンドン・ジョンソン
Frances Allen,フランシス・E・アレン
Tupac Shakur,2パック
Melvin Calvin,メルヴィン・カルヴィン
Tandy Warnow,タンディ・ワルノ
Mazie Hirono,メイジー・ヒロノ
Ed O'Neill,エド・オニール
Stanley Kubrick,スタンリー・キューブリック
David Lynch,デイヴィッド・リンチ
Hillary Clinton,ヒラリー・クリントン
Jenn Suhr,ジェニファー・サー
Brittney Reese,ブリトニー・リース
Edgar Allan Poe,エドガー・アラン・ポー
Tom Hanks,トム・ハンクス
Ashton Eaton,アシュトン・イートン
Trey Hardee,トレイ・ハーディ
Joe Biden,ジョー・バイデン
Kaley Cuoco,ケイリー・クオコ
Charles Simonyi,チャールズ・シモニー
Dana Scott,デイナ・スコット
Forrest J Ackerman,フォレスト・J・アッカーマン
Debbie Wasserman Schultz,デビー・ワッサーマン・シュルツ
William Bartram,ウィリアム・バートラム
Ira Remsen,アイラ・レムセン
James B. Conant,ジェイムス・コナント
Louis Plack Hammett,ルイス・ハメット
Michael Chekhov,マイケル・チェーホフ
Dizzy Gillespie,ディジー・ガレスピー
Peter J. Denning,ピーター・J・デニング
Cass Elliot,キャス・エリオット
John M. Clayton,ジョン・ミドルトン・クレイトン・(国務長官)
Oscar Robertson,オスカー・ロバートソン
Ira Sachs,アイラ・サックス
Lance Armstrong,ランス・アームストロング
Bode Miller,ボディー・ミラー
Buzz Aldrin,バズ・オルドリン
Emily Warren Roebling,エミリー・ウォーレン・ローブリング
Ray William Johnson,レイ・ウィリアム・ジョンソン
Solomon Burke,ソロモン・バーク
Ronald Reagan,ロナルド・レーガン
Harvey Milk,ハーヴェイ・ミルク
John von Neumann,ジョン・フォン・ノイマン
Kathleen Antonelli,キャスリーン・アントネッリ
Andy Rubin,アンディ・ルービン
Randy Pausch,ランディ・パウシュ
Mark Twain,マーク・トウェイン
John F. Kennedy,ジョン・F・ケネディ
Soong Mei-ling,宋美齢
Ellen Swallow Richards,エレン・スワロウ・リチャーズ
Chet Baker,チェット・ベイカー
John Romita Jr.,ジョン・ロミータ・Jr
Laura Berg,ローラ・バーグ
Igor Stravinsky,イーゴリ・ストラヴィンスキー
Lindsey Vonn,リンゼイ・ボン
Elie Wiesel,エリ・ヴィーゼル
Ted Stevens,テッド・スティーヴンス
Joseph Stiglitz,ジョセフ・E・スティグリッツ
Susan Rice,スーザン・ライス
Trent Lott,トレント・ロット
Edward Teller,エドワード・テラー
Allen Ginsberg,アレン・ギンズバーグ
Tess Gerritsen,テス・ジェリッツェン
Dwight D. Eisenhower,ドワイト・D・アイゼンハワー
Donald Knuth,ドナルド・クヌース
Anousheh Ansari,アニューシャ・アンサリ
Mary Anderson (inventor),メアリー・アンダーソン
Chuck Norris,チャック・ノリス
Dan Brown,ダン・ブラウン
Rebecca Black,レベッカ・ブラック
Frank Borman,フランク・ボーマン
Arnold Gesell,アーノルド・ゲゼル
Henry Molaison,HM・(患者)
John Coltrane,ジョン・コルトレーン
John Ford,ジョン・フォード
Bruce Willis,ブルース・ウィリス
Leslie Nielsen,レスリー・ニールセン
Arnold Schwarzenegger,アーノルド・シュワルツェネッガー
Sasha Grey,サーシャ・グレイ
D. W. Griffith,D・W・グリフィス
Claudia Wells,クラウディア・ウェルズ
King Vidor,キング・ヴィダー
Leon Cooper,レオン・クーパー
Colin Kaepernick,コリン・キャパニック
Alfred Hitchcock,アルフレッド・ヒッチコック
Sam Witwer,サム・ウィットワー
Steve Jablonsky,スティーブ・ジャブロンスキー
Gregory Smith (actor),グレゴリー・スミス・(俳優)
Matthew Michael Carnahan,マシュー・マイケル・カーナハン
Andre Agassi,アンドレ・アガシ
Laurie Holden,ローリー・ホールデン
Rhoda Griffis,ローダ・グリフィス
Thomas Jane,トーマス・ジェーン
Saul Bellow,ソール・ベロー
Jack Shephard,ジャック・シェパード・(LOST)
Selena Gomez,セレーナ・ゴメス
Michael Jackson,マイケル・ジャクソン
Edwin McMillan,エドウィン・マクミラン
Zak Penn,ザック・ペン
Ruth R. Benerito,ルース・ベネリト
Samuel P. Huntington,サミュエル・P・ハンティントン
Mario Molina,マリオ・モリーナ
Sam Peckinpah,サム・ペキンパー
Budd Boetticher,バッド・ベティカー
Rouben Mamoulian,ルーベン・マムーリアン
Robin Williams,ロビン・ウィリアムズ
Tod Browning,トッド・ブラウニング
James Watson,ジェームズ・ワトソン
Geronimo,ジェロニモ
Karen Wetterhahn,カレン・ヴェッターハーン
Richard Stallman,リチャード・ストールマン
Ryan Whitney (actress),ライアン・ニューマン・(女優)
Arthur P. Jacobs,アーサー・P・ジェイコブス
Peter DeLuise,ピーター・デルイーズ
Gregory Itzin,グレゴリー・イッツェン
Luise Rainer,ルイーゼ・ライナー
Skrillex,スクリレックス
Daniel Morgan,ダニエル・モーガン
Pamela Anderson,パメラ・アンダーソン
Béla Bartók,バルトーク・ベーラ
Phil Hill,フィル・ヒル
Geoffrey Arend,ジェフリー・エアンド
Hawkeye (Clint Barton),ホークアイ・(マーベル・コミック)
Henry Fonda,ヘンリー・フォンダ
John Cassavetes,ジョン・カサヴェテス
George Stevens,ジョージ・スティーヴンス
M. Night Shyamalan,M・ナイト・シャマラン
Michael Curtiz,マイケル・カーティス
James Dean,ジェームズ・ディーン
Eleanor Roosevelt,エレノア・ルーズベルト
Wally Schirra,ウォルター・シラー
Julie Delpy,ジュリー・デルピー
Cannonball Adderley,キャノンボール・アダレイ
Richard Dysart,リチャード・ダイサート
Lester Young,レスター・ヤング
Rufus R. Jones,ルーファス・ジョーンズ
John Gregg (Texas politician),ジョン・グレッグ
Amelia Earhart,アメリア・イアハート
Chester Bennington,チェスター・ベニントン
Brad Delson,ブラッド・デルソン
Joe Hahn,ジョー・ハーン
Mike Shinoda,マイク・シノダ
William Wyler,ウィリアム・ワイラー
Frank Capra,フランク・キャプラ
Robert Siodmak,ロバート・シオドマク
Cary Grant,ケーリー・グラント
Robert Curl,ロバート・カール
Anthony Quinn,アンソニー・クイン
Gary Oldman,ゲイリー・オールドマン
Gus Grissom,ガス・グリソム
Karl Barry Sharpless,バリー・シャープレス
Kevin Rudolf,ケヴィン・ルドルフ
Grace Kelly,グレース・ケリー
Jacqueline Cochran,ジャクリーン・コクラン
Vincente Minnelli,ヴィンセント・ミネリ
Jack Angel,ジャック・エンジェル
Quentin Tarantino,クエンティン・タランティーノ
"Albert II, Prince of Monaco",アルベール2世・(モナコ公)
Rob Bourdon,ロブ・ボードン
Paul Simon,ポール・サイモン
William Anders,ウィリアム・アンダース
Miloš Forman,ミロス・フォアマン
William Lipscomb,ウィリアム・リプスコム
Tara Strong,タラ・ストロング
Duke Ellington,デューク・エリントン
Mike Nichols,マイク・ニコルズ
Hermann Joseph Muller,ハーマン・J・マラー
Dave Farrell,デイヴ・ファーレル
Franklin J. Schaffner,フランクリン・J・シャフナー
Michael Weston,マイケル・ウェストン
Pete La Roca,ピート・ラロカ
Carmen Argenziano,カーメン・アルジェンツィアノ
Stanford Moore,スタンフォード・ムーア
Tjalling Koopmans,チャリング・クープマンス
John Barry (composer),ジョン・バリー・(作曲家)
Fritz Lang,フリッツ・ラング
Maya Angelou,マヤ・アンジェロウ
Art Garfunkel,アート・ガーファンクル
Richard Steven Horvitz,リチャード・ホーヴィッツ
Lizard (character),リザード・(マーベル・コミック)
William Standish Knowles,ウィリアム・ノールズ
Alan MacDiarmid,アラン・マクダイアミッド
Nathan Barr,ネイサン・バー
Otto E. Neugebauer,オットー・ノイゲバウアー
Inge Morath,インゲ・モラス
Alan J. Pakula,アラン・J・パクラ
George A. Romero,ジョージ・A・ロメロ
Milo Ventimiglia,マイロ・ヴィンティミリア
F. Sherwood Rowland,フランク・シャーウッド・ローランド
Sydney Pollack,シドニー・ポラック
Jim Lovell,ジム・ラヴェル
Elmer Bernstein,エルマー・バーンスタイン
Isabel Allende,イサベル・アジェンデ
Kayla Ewell,ケイラ・ユーウェル
CeeLo Green,シーロー・グリーン
Woody Guthrie,ウディ・ガスリー
Al Gore,アル・ゴア
Billy Wilder,ビリー・ワイルダー
Sidney Lumet,シドニー・ルメット
Ernst Lubitsch,エルンスト・ルビッチ
Ed Sullivan,エド・サリヴァン
Edward G. Robinson,エドワード・G・ロビンソン
John Milius,ジョン・ミリアス
AJ Styles,AJスタイルズ
Leon Henkin,レオン・ヘンキン
Spike Lee,スパイク・リー
John Landis,ジョン・ランディス
John Huston,ジョン・ヒューストン
George Roy Hill,ジョージ・ロイ・ヒル
August Becker (socialist),アウグスト・ベッカー
Hermann Broch,ヘルマン・ブロッホ
Fritz Heider,フリッツ・ハイダー
Ernst von Glasersfeld,エルンスト・フォン・グレーザーズフェルド
Lena Horne,レナ・ホーン
Charles Duke,チャールズ・デューク
Basil Poledouris,ベイジル・ポールドゥリス
Robert Dahl,ロバート・ダール
John Adams (composer),ジョン・クーリッジ・アダムズ
Anarquia,マット・バレラ
Joaquin Wilde,マイケル・パリス
Jesse Sorensen,ジェシー・ソーレンセン
Josh Duhamel,ジョシュ・デュアメル
Howard Hawks,ハワード・ホークス
James Ivory,ジェームズ・アイヴォリー
William Friedkin,ウィリアム・フリードキン
Joseph L. Mankiewicz,ジョーゼフ・L・マンキーウィッツ
Joey King,ジョーイ・キング
Ivan Illich,イヴァン・イリイチ
Hans Kelsen,ハンス・ケルゼン
Veronica Lake,ヴェロニカ・レイク
Peter Drucker,ピーター・ドラッカー
Ludwig von Mises,ルートヴィヒ・フォン・ミーゼス
Zak Whitbread,ザク・ウィットブレッド
Thomas J. J. Altizer,トマス・アルタイザー
Shaun Toub,ショーン・トーブ
Ruth Brown,ルース・ブラウン
Steve Jobs,スティーブ・ジョブズ
Josef Hoffmann,ヨーゼフ・ホフマン
Richard Neutra,リチャード・ノイトラ
Karl von Terzaghi,カール・テルツァーギ
Bruno Bettelheim,ブルーノ・ベッテルハイム
Karl Landsteiner,カール・ラントシュタイナー
Wilhelm Reich,ヴィルヘルム・ライヒ
Peter L. Berger,ピーター・L・バーガー
Clark Gregg,クラーク・グレッグ
Walter Munk,ウォルター・ムンク
Jon Moxley,ジョナサン・グッド
Gene Havlick,ジーン・ハヴリック
Zakk Wylde,ザック・ワイルド
Gunning Bedford Jr.,ガニング・ベッドフォード・ジュニア
Kevin Willis,ケビン・ウィリス
Robert Taylor (American actor),ロバート・テイラー・(俳優)
Robert Cloughen,ロバート・クルーヘン
Zalmay Khalilzad,ザルメイ・ハリルザド
Lorenzo Lamas,ロレンツォ・ラマス
Jim Wynorski,ジム・ウィノースキー
Lady Gaga,レディー・ガガ
Joe Pesci,ジョー・ペシ
Elias Boudinot,エリアス・ブーディノット
Frances Spence,フランシス・スペンス
Fannie Bloomfield Zeisler,ファニー・ブルームフィールド・ツァイスラー
Porter Robinson,ポーター・ロビンソン
Heidemarie Stefanyshyn-Piper,ハイディマリー・ステファニション＝パイパー
Katharine Burr Blodgett,キャサリン・ブロジェット
Karol Rathaus,カロル・ラートハウス
Bibi Besch,ビビ・ベッシュ
Henry Lehrman,ヘンリー・レアマン
Herbert J. Gans,ハーバート・J・ガンズ
Peter J. Katzenstein,ピーター・カッツェンスタイン
Dilshad Vadsaria,ディルシャッド・ヴァザリア
George Nakashima,ジョージ・ナカシマ
James Rector,ジェームズ・レクター
Dale Dye,デイル・ダイ
Larry Semon,ラリー・シモン
Frederick John Kiesler,フレデリック・キースラー
Lois Nettleton,ロイス・ネットルトン
Zane Grey,ゼイン・グレイ
Milt Gabler,ミルト・ゲイブラー
John Eisele,ジョン・アイセル
John Gavin,ジョン・ギャヴィン
RZA,RZA
LL Cool J,LL・クール・J
Barry N. Malzberg,バリイ・N・マルツバーグ
Lukas Ligeti,ルーカス・リゲティ
John S. Mosby,ジョン・モスビー
Emma Stone,エマ・ストーン
Morris Kirksey,モリス・カークシー
Taboo (rapper),タブー・(ラッパー)
Lilia Skala,リリア・スカラ
Hilde Bruch,ヒルデ・ブルック
Zara Nelsova,ザラ・ネルソヴァ
DeHart Hubbard,ウィリアム・デハート・ハバード
Subrahmanyan Chandrasekhar,スブラマニアン・チャンドラセカール
Frank R. Paul,フランク・R・パウル
Kurt Roger,クルト・ロゲール
Bernard Rudofsky,バーナード・ルドフスキー
Paul Alfred Weiss,ポール・ワイス
Victor L. Berger,ヴィクター・L・バーガー
Jim DeMint,ジム・デミント
Josephine Cochrane,ジョセフィン・コクラン
Tracy Caldwell Dyson,トレイシー・コールドウェル
Nadine Strossen,ナディーン・ストロッセン
Ruth Teitelbaum,ルース・タイテルバウム
Bob Beamon,ボブ・ビーモン
Parry O'Brien,パリー・オブライエン
Edwin Moses,エドウィン・モーゼス
Bob Mathias,ボブ・マサイアス
Maria Franziska von Trapp,マリア・フランツィスカ・フォン・トラップ
Margaret Stonborough-Wittgenstein,マルガレーテ・ストーンボロー＝ウィトゲンシュタイン
Scott Glenn,スコット・グレン
Matthew Fontaine Maury,マシュー・フォンテーン・モーリー
Rockwell Kent,ロックウェル・ケント
Huntress (Helena Bertinelli),ハントレス
Maurice Bloomfield,モーリス・ブルームフィールド
Phil Niekro,フィル・ニークロ
Edgar Rice Burroughs,エドガー・ライス・バローズ
Indiana Jones (character),インディアナ・ジョーンズ
Olympia Snowe,オリンピア・スノー
Al Oerter,アル・オーター
Susan Collins,スーザン・コリンズ・(政治家)
Ray Ewry,レイ・ユーリー
Tommie Smith,トミー・スミス
Jesse Owens,ジェシー・オーエンス
Amy Klobuchar,エイミー・クロブシャー
Swedish Americans,スウェーデン系アメリカ人
Jerome Bruner,ジェローム・ブルーナー
Janice E. Voss,ジャニス・E・ヴォス
Gustav Bergmann,グスタフ・ベルクマン
Adolph Baller,アドルフ・バラー
Scott O'Dell,スコット・オデール
Ernst B. Haas,エルンスト・B・ハース
Lisa Murkowski,リーサ・マーカウスキー
John Kerry,ジョン・フォーブズ・ケリー
Ida Lupino,アイダ・ルピノ
David Geffen,デヴィッド・ゲフィン
Albert Pujols,アルバート・プホルス
Kirsten Gillibrand,カーステン・ギリブランド
Lindsey Graham,リンゼー・グラム
Dylan McDermott,ディラン・マクダーモット
Otto Preminger,オットー・プレミンジャー
Arthur Ashe,アーサー・アッシュ
Martin Nowak,マーティン・ノヴァク
Paul Kohner,ポール・コーナー
Tracy Austin,トレーシー・オースチン
Reginald Le Borg,レジナルド・ル・ボーグ
Dan Morgenstern,ダン・モルゲンシュテルン
Aida Turturro,アイダ・タートゥーロ
Sherri Martel,シェリー・マーテル
Rob Brantly,ロブ・ブラントリー
Fritz Zwicky,フリッツ・ツビッキー
Tyler Cloyd,タイラー・クロイド
Lex Luger,レックス・ルガー
Michael S. Hart,マイケル・S・ハート
Charles Vidor,チャールズ・ヴィダー
Reggie Geary,レジー・ゲーリー
Jack Benny,ジャック・ベニー
Norman Taber,ノーマン・テーバー
Carl Johnson (athlete),カール・ジョンソン・(陸上選手)
Pat Buchanan,パット・ブキャナン
Basil Bennett,バジル・ベネット
Donald Trump,ドナルド・トランプ
Eric Butorac,エリック・ブトラック
John H. Herz,ジョン・ハーツ
Helmut Landsberg,ヘルムート・ランズベルク
Dakota Fanning,ダコタ・ファニング
Hans Heinrich von Twardowski,ハンス・ハインリッヒ・フォン・トワルドフスキー
James Blake (tennis),ジェームズ・ブレーク・(テニス選手)
Pauline Betz,ポーリーン・ベッツ
Jack Finney,ジャック・フィニイ
David Zinman,デイヴィッド・ジンマン
Bill Goldberg,ビル・ゴールドバーグ
Melville S. Green,メルヴィル・S・グリーン
Christian York,ジェイソン・スペンス
Zeppo Marx,ゼッポ・マルクス
Louise Brough,ルイーズ・ブラフ
Bob Bryan,ボブ・ブライアン
Don Budge,ドン・バッジ
Mike Bryan,マイク・ブライアン
Taylor Lautner,テイラー・ロートナー
Barnum Brown,バーナム・ブラウン
Abraham Maslow,アブラハム・マズロー
Jim Courier,ジム・クーリエ
Josh Sussman,ジョシュ・サスマン
Michael Chang,マイケル・チャン
Jimmy Connors,ジミー・コナーズ
Jeremy Renner,ジェレミー・レナー
Jon Bon Jovi,ジョン・ボン・ジョヴィ
Dorothy Cheney,ドロシー・バンディ
Maureen Connolly,モーリーン・コノリー
Meredith Colket,メレディス・コルケット
Lauren Davis,ローレン・デービス
Dwight F. Davis,ドワイト・フィリー・デービス
Kevin Curren,ケビン・カレン
Henri François Pittier,アンリ・ピティエ
Lawrence Lasker,ローレンス・ラスカー
David Coverdale,デイヴィッド・カヴァデール
Ted Ligety,テッド・リゲティ
Roy Raymond,ロイ・レイモンド
Shawn Kemp,ショーン・ケンプ
Muggsy Bogues,マグシー・ボーグス
J. K. Simmons,J・K・シモンズ
George Carlin,ジョージ・カーリン
Paul Bunyan,ポール・バニヤン
